Title,Link,Date,Source,Summary,Term,LanguageQueried
"Mercury soars above normal as NE bears brunt of heat, humidity - The Shillong Times",https://news.google.com/rss/articles/CBMipAFBVV95cUxPaVlaTTMtVXkxS3NOQTI3bUxxRERYcEZmMTFUNk1uUFVCdy0zaUZvejhtckl5X3JVNDR6dm5RV1oyWkM4TzNPMEJDc19IeWUwdWpwY3lmcUM1MDEtR3ZQNzNpUnhjeDdxTlBFSTFWMlVBbXhuQXBrT0JnTW5EVkd1cmNYSVRtczBEc3BVYmF5V0pLSkVBTlIwQ19wN0ZNVllmRHNjRA?oc=5,2025-06-11 21:01:27,The Shillong Times,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPaVlaTTMtVXkxS3NOQTI3bUxxRERYcEZmMTFUNk1uUFVCdy0zaUZvejhtckl5X3JVNDR6dm5RV1oyWkM4TzNPMEJDc19IeWUwdWpwY3lmcUM1MDEtR3ZQNzNpUnhjeDdxTlBFSTFWMlVBbXhuQXBrT0JnTW5EVkd1cmNYSVRtczBEc3BVYmF5V0pLSkVBTlIwQ19wN0ZNVllmRHNjRA?oc=5"" target=""_blank"">Mercury soars above normal as NE bears brunt of heat, humidity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Shillong Times</font>",Heatwave,en
ENGLISH MORNING NEWS 0815 - - NEWS ON AIR,https://news.google.com/rss/articles/CBMif0FVX3lxTE1ZTFoxSXZnWHBRYWZkYU1ucVNZby1JNEJYXzhydXdTQjNvWTN6MWh3SzFFYk10dlZ3dEwybXlhWTdSM1lvdXJtbDl4T2cwVDhqV0JYZGJXSnE0ZWJXMlJJVXZXWFZXRlpKTkVubnd0U2hBeEJjMl9WTlkxNXhPRDg?oc=5,2025-06-12 02:28:46,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1ZTFoxSXZnWHBRYWZkYU1ucVNZby1JNEJYXzhydXdTQjNvWTN6MWh3SzFFYk10dlZ3dEwybXlhWTdSM1lvdXJtbDl4T2cwVDhqV0JYZGJXSnE0ZWJXMlJJVXZXWFZXRlpKTkVubnd0U2hBeEJjMl9WTlkxNXhPRDg?oc=5"" target=""_blank"">ENGLISH MORNING NEWS 0815 -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
Shillong sizzles as mercury soars above normal - The Shillong Times,https://news.google.com/rss/articles/CBMikAFBVV95cUxQOEZqYzh3eXVDTHJJMm1VM2ZnOVhVUE54aXZsdlQ0ZjdZdUkzU29LbDhZQnVqaGlnMGNFYWViV085Ui1DcURmTkRjQ2xkdGwzUDNtV0lJbThJZ3gyZHNrNG1sMHpjcjFsTlV2ODloWjNkZ211SEdDZV9Bc1JTaGNkNkhYNktUS2FYR29KTjQxZ0k?oc=5,2025-06-12 04:23:22,The Shillong Times,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQOEZqYzh3eXVDTHJJMm1VM2ZnOVhVUE54aXZsdlQ0ZjdZdUkzU29LbDhZQnVqaGlnMGNFYWViV085Ui1DcURmTkRjQ2xkdGwzUDNtV0lJbThJZ3gyZHNrNG1sMHpjcjFsTlV2ODloWjNkZ211SEdDZV9Bc1JTaGNkNkhYNktUS2FYR29KTjQxZ0k?oc=5"" target=""_blank"">Shillong sizzles as mercury soars above normal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Shillong Times</font>",Heatwave,en
Meghalaya records soaring temperatures as Northeast heatwave intensifies - nenow.in,https://news.google.com/rss/articles/CBMivAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1N9IBvAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1Nw?oc=5,2025-06-12 08:00:00,nenow.in,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1N9IBvAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1Nw?oc=5"" target=""_blank"">Meghalaya records soaring temperatures as Northeast heatwave intensifies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nenow.in</font>",Heatwave,en
Heatwave in Delhi: Health Ministry asks people to stay indoors during peak hours - IBTimes India,https://news.google.com/rss/articles/CBMiqgFBVV95cUxObW9FRzhKUktzdHhkRlhSekNBREpmWGlkdGRDRjg3V2pKNzJxM184U3dwVDU2bG1mczlJYjZsSE5mU0lNRVIxb1ViYld5RjdvLXNMZkZkXzBlbUE3azE3UTlzaGUtcWlwNzF5blZ1eDJBTVJaZDRBSTAxS1BjaUQwRWRNTnV0R19ibjdVOWh3eGlmUjZXOFlkR1g4VlBOdkZmbGVSSHVVa3dqUQ?oc=5,2025-06-11 17:37:39,IBTimes India,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObW9FRzhKUktzdHhkRlhSekNBREpmWGlkdGRDRjg3V2pKNzJxM184U3dwVDU2bG1mczlJYjZsSE5mU0lNRVIxb1ViYld5RjdvLXNMZkZkXzBlbUE3azE3UTlzaGUtcWlwNzF5blZ1eDJBTVJaZDRBSTAxS1BjaUQwRWRNTnV0R19ibjdVOWh3eGlmUjZXOFlkR1g4VlBOdkZmbGVSSHVVa3dqUQ?oc=5"" target=""_blank"">Heatwave in Delhi: Health Ministry asks people to stay indoors during peak hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBTimes India</font>",Heatwave,en
"Mercury soars above normal as NE bears brunt of heat, humidity - The Shillong Times",https://news.google.com/rss/articles/CBMipAFBVV95cUxPaVlaTTMtVXkxS3NOQTI3bUxxRERYcEZmMTFUNk1uUFVCdy0zaUZvejhtckl5X3JVNDR6dm5RV1oyWkM4TzNPMEJDc19IeWUwdWpwY3lmcUM1MDEtR3ZQNzNpUnhjeDdxTlBFSTFWMlVBbXhuQXBrT0JnTW5EVkd1cmNYSVRtczBEc3BVYmF5V0pLSkVBTlIwQ19wN0ZNVllmRHNjRA?oc=5,2025-06-11 21:01:27,The Shillong Times,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPaVlaTTMtVXkxS3NOQTI3bUxxRERYcEZmMTFUNk1uUFVCdy0zaUZvejhtckl5X3JVNDR6dm5RV1oyWkM4TzNPMEJDc19IeWUwdWpwY3lmcUM1MDEtR3ZQNzNpUnhjeDdxTlBFSTFWMlVBbXhuQXBrT0JnTW5EVkd1cmNYSVRtczBEc3BVYmF5V0pLSkVBTlIwQ19wN0ZNVllmRHNjRA?oc=5"" target=""_blank"">Mercury soars above normal as NE bears brunt of heat, humidity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Shillong Times</font>",Heatwave,en
ENGLISH MORNING NEWS 0815 - - NEWS ON AIR,https://news.google.com/rss/articles/CBMif0FVX3lxTE1ZTFoxSXZnWHBRYWZkYU1ucVNZby1JNEJYXzhydXdTQjNvWTN6MWh3SzFFYk10dlZ3dEwybXlhWTdSM1lvdXJtbDl4T2cwVDhqV0JYZGJXSnE0ZWJXMlJJVXZXWFZXRlpKTkVubnd0U2hBeEJjMl9WTlkxNXhPRDg?oc=5,2025-06-12 02:28:46,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE1ZTFoxSXZnWHBRYWZkYU1ucVNZby1JNEJYXzhydXdTQjNvWTN6MWh3SzFFYk10dlZ3dEwybXlhWTdSM1lvdXJtbDl4T2cwVDhqV0JYZGJXSnE0ZWJXMlJJVXZXWFZXRlpKTkVubnd0U2hBeEJjMl9WTlkxNXhPRDg?oc=5"" target=""_blank"">ENGLISH MORNING NEWS 0815 -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
Shillong sizzles as mercury soars above normal - The Shillong Times,https://news.google.com/rss/articles/CBMikAFBVV95cUxQOEZqYzh3eXVDTHJJMm1VM2ZnOVhVUE54aXZsdlQ0ZjdZdUkzU29LbDhZQnVqaGlnMGNFYWViV085Ui1DcURmTkRjQ2xkdGwzUDNtV0lJbThJZ3gyZHNrNG1sMHpjcjFsTlV2ODloWjNkZ211SEdDZV9Bc1JTaGNkNkhYNktUS2FYR29KTjQxZ0k?oc=5,2025-06-12 04:23:22,The Shillong Times,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQOEZqYzh3eXVDTHJJMm1VM2ZnOVhVUE54aXZsdlQ0ZjdZdUkzU29LbDhZQnVqaGlnMGNFYWViV085Ui1DcURmTkRjQ2xkdGwzUDNtV0lJbThJZ3gyZHNrNG1sMHpjcjFsTlV2ODloWjNkZ211SEdDZV9Bc1JTaGNkNkhYNktUS2FYR29KTjQxZ0k?oc=5"" target=""_blank"">Shillong sizzles as mercury soars above normal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Shillong Times</font>",Heatwave,en
Meghalaya records soaring temperatures as Northeast heatwave intensifies - nenow.in,https://news.google.com/rss/articles/CBMivAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1N9IBvAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1Nw?oc=5,2025-06-12 08:00:00,nenow.in,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1N9IBvAFBVV95cUxNSXhqbUdaYnVoanZXQVpTT3ZFUHlzeFRUWVNobUNvVFZ5MU9maUF0T2E5UlROREdkTkRPVDlpaUNiSEphR2djVU96c1Z5TmxWY0xsdE9BdWRaT1Fia1ZnWks4YVJHUVJNNmJqQ2ZjdmN6NVQ2UmF1Zk9yNnJ3MDJQZ1BXamQ2SGxJT3lmWVFPeUo2WHJHNE1ROW5vbUtfQUpvd1p3czRTQlRSQnRXZVJscGtqeVJYeXRIaXo1Nw?oc=5"" target=""_blank"">Meghalaya records soaring temperatures as Northeast heatwave intensifies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nenow.in</font>",Heatwave,en
Heatwave in Delhi: Health Ministry asks people to stay indoors during peak hours - IBTimes India,https://news.google.com/rss/articles/CBMiqgFBVV95cUxObW9FRzhKUktzdHhkRlhSekNBREpmWGlkdGRDRjg3V2pKNzJxM184U3dwVDU2bG1mczlJYjZsSE5mU0lNRVIxb1ViYld5RjdvLXNMZkZkXzBlbUE3azE3UTlzaGUtcWlwNzF5blZ1eDJBTVJaZDRBSTAxS1BjaUQwRWRNTnV0R19ibjdVOWh3eGlmUjZXOFlkR1g4VlBOdkZmbGVSSHVVa3dqUQ?oc=5,2025-06-11 17:37:39,IBTimes India,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxObW9FRzhKUktzdHhkRlhSekNBREpmWGlkdGRDRjg3V2pKNzJxM184U3dwVDU2bG1mczlJYjZsSE5mU0lNRVIxb1ViYld5RjdvLXNMZkZkXzBlbUE3azE3UTlzaGUtcWlwNzF5blZ1eDJBTVJaZDRBSTAxS1BjaUQwRWRNTnV0R19ibjdVOWh3eGlmUjZXOFlkR1g4VlBOdkZmbGVSSHVVa3dqUQ?oc=5"" target=""_blank"">Heatwave in Delhi: Health Ministry asks people to stay indoors during peak hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBTimes India</font>",Heatwave,en
