Title,Link,Date,Source,Summary,Term,LanguageQueried
"Heavy rain in Nagaland, water released from Doyang dam flood Golaghat - Times of India",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeHVRTzRjRjBNRjVoUHpfclZtM0RIdDdCS204OS04T0hJeW1xRVJTOUJRbWFZcTdOUXhDQUItcHlOT2Jkb0JsQVktdVZjUVFKREppUXJTdTg2eXNQSGF4LS0zaDFzR2hlN0l6Yjlma3o5TU5UR01rcG12WHBUN1ZUZF9WYUEyaTlEREZteFZNeUZxY0g3Mk1vTUd6dDkyR0hZOTFkTkVLQjVnZjVVbllVUFF5TVlsRU81aWJCUm8xOW9MS2huaHJrOWs0ZU9QdVdLcXRmT19MX1NfMDAx0gHiAUFVX3lxTE5nU3UyVW16eXd2WHB0M3ZPRkUtTk1pb0ZKc1NKQ3J4SkhSdnZxVXRuelBRYUhHMk1zbXJPeDZ1RUJkSVpwci00dlFoUkJqZExTNGdHNnRXSl9uWGJGRkxfYVdHOHFrRnA4MVp1NVItSWxfaGYzdExBbTI1eHFzMXNJM3J6cmktZVpvWms2em53WHJHaWpTako0M1NweElMTVFPMnd4WngwZGNNSGtZcm51bHh6VkdIU0RJcmZ5TFNyTGJiQXd2U3NhSXNnUzF2X1dMVmdvZktzc3N6Qy0yejlkaHc?oc=5,2025-09-16 18:57:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeHVRTzRjRjBNRjVoUHpfclZtM0RIdDdCS204OS04T0hJeW1xRVJTOUJRbWFZcTdOUXhDQUItcHlOT2Jkb0JsQVktdVZjUVFKREppUXJTdTg2eXNQSGF4LS0zaDFzR2hlN0l6Yjlma3o5TU5UR01rcG12WHBUN1ZUZF9WYUEyaTlEREZteFZNeUZxY0g3Mk1vTUd6dDkyR0hZOTFkTkVLQjVnZjVVbllVUFF5TVlsRU81aWJCUm8xOW9MS2huaHJrOWs0ZU9QdVdLcXRmT19MX1NfMDAx0gHiAUFVX3lxTE5nU3UyVW16eXd2WHB0M3ZPRkUtTk1pb0ZKc1NKQ3J4SkhSdnZxVXRuelBRYUhHMk1zbXJPeDZ1RUJkSVpwci00dlFoUkJqZExTNGdHNnRXSl9uWGJGRkxfYVdHOHFrRnA4MVp1NVItSWxfaGYzdExBbTI1eHFzMXNJM3J6cmktZVpvWms2em53WHJHaWpTako0M1NweElMTVFPMnd4WngwZGNNSGtZcm51bHh6VkdIU0RJcmZ5TFNyTGJiQXd2U3NhSXNnUzF2X1dMVmdvZktzc3N6Qy0yejlkaHc?oc=5"" target=""_blank"">Heavy rain in Nagaland, water released from Doyang dam flood Golaghat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"NEEPCO dam release, heavy Nagaland rains flood 56 villages in Assam’s Golaghat - The Assam Tribune",https://news.google.com/rss/articles/CBMitgFBVV95cUxPZF9BV2hUNkV4Q2lXWmVUNWJ5RGxaaEVmZUVscmlRc0pHMmlIdEFFV3RDWkNhZzg0MzBwNHlKalNDbFJ6cERDazNvTHVMVHFPaEdHZ1pob0Q1Z2c1cDVNcl9jdUhwZjhNODAzekxLVG5yYThidDhUdlZ1NHNpY0cwaEhzOVVfbS1xdUJpUWdjSkx2bkRXTXp0eExIUE16UGE0VUhESldxWmV2OUtaTHh6WnRfZGhIZ9IBuwFBVV95cUxNVjVuLS1KQ21HbENwc0tvQXk3Y1p5Smo1X1JPTlIxMEg3MTBKdGc5M3kxcGFPMV9kME90WmgyaUFCOG5WOFJBSzJyMVB0STBLRTlNVFNUbjBBQ1FWclFwOVhjY3Y2ZmtTc3RQMEJPVTdQRmotdWtsM1ZoeXFWS01CNUhEN1FONDlNblpHOWF0SERySWtSazNFc3A5TjJFd196OGdZQ2lrczhOMkdWTklmWnRHRlNaaUU0N0dB?oc=5,2025-09-16 14:00:36,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPZF9BV2hUNkV4Q2lXWmVUNWJ5RGxaaEVmZUVscmlRc0pHMmlIdEFFV3RDWkNhZzg0MzBwNHlKalNDbFJ6cERDazNvTHVMVHFPaEdHZ1pob0Q1Z2c1cDVNcl9jdUhwZjhNODAzekxLVG5yYThidDhUdlZ1NHNpY0cwaEhzOVVfbS1xdUJpUWdjSkx2bkRXTXp0eExIUE16UGE0VUhESldxWmV2OUtaTHh6WnRfZGhIZ9IBuwFBVV95cUxNVjVuLS1KQ21HbENwc0tvQXk3Y1p5Smo1X1JPTlIxMEg3MTBKdGc5M3kxcGFPMV9kME90WmgyaUFCOG5WOFJBSzJyMVB0STBLRTlNVFNUbjBBQ1FWclFwOVhjY3Y2ZmtTc3RQMEJPVTdQRmotdWtsM1ZoeXFWS01CNUhEN1FONDlNblpHOWF0SERySWtSazNFc3A5TjJFd196OGdZQ2lrczhOMkdWTklmWnRHRlNaaUU0N0dB?oc=5"" target=""_blank"">NEEPCO dam release, heavy Nagaland rains flood 56 villages in Assam’s Golaghat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
‘Bistirna Parore’ cruise docks at Guwahati; hundreds honour Bhupen Hazarika’s legacy - The Assam Tribune,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1l1OGVZcVVnRDgwVE9ZUm5FYnA5c1VzTzFTYlBoc1JjX1RfbC0zZjBvM3hUazhUYW5ON1FtdDNrQU14QzZqMkRHN0dETUlycG9QZGhkWlgyNkZFbjlndXoyN01jQjREZ3hpYUQ1UENaT1ZhV2dMeWhEZ3BLdHRRRUV0TGRIR3JrMGNkMHZzdkJVeDQzZGxfUmZJLW55U0FpVG12Z0hBblBHRDlrX1dGQ2tOUjRLbk52aFAw0gHAAUFVX3lxTE1NYnZUUlFQOG5oWGFTbWF3dnlBdGlXb285T051WmFpeGNpNkNORElCUmJyUEpTNDREbGNxVXFZNGxHSXd2eGY2dkpXT2pyVE5WamtFX2Nzei1TanE2UTJoY3I1VUJ5VllxMEltZlUwQ1owOFRjRVFRVDdlM3BoVkp2X2dUdWtGZWxaUFAyZVotVHQ3TG03Mkl5TjJUWjRUY3BYMDRXdm42b1VwaVBDUXdjSnFDcVVnQk1XR2p0WXhkXw?oc=5,2025-09-16 16:58:48,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1l1OGVZcVVnRDgwVE9ZUm5FYnA5c1VzTzFTYlBoc1JjX1RfbC0zZjBvM3hUazhUYW5ON1FtdDNrQU14QzZqMkRHN0dETUlycG9QZGhkWlgyNkZFbjlndXoyN01jQjREZ3hpYUQ1UENaT1ZhV2dMeWhEZ3BLdHRRRUV0TGRIR3JrMGNkMHZzdkJVeDQzZGxfUmZJLW55U0FpVG12Z0hBblBHRDlrX1dGQ2tOUjRLbk52aFAw0gHAAUFVX3lxTE1NYnZUUlFQOG5oWGFTbWF3dnlBdGlXb285T051WmFpeGNpNkNORElCUmJyUEpTNDREbGNxVXFZNGxHSXd2eGY2dkpXT2pyVE5WamtFX2Nzei1TanE2UTJoY3I1VUJ5VllxMEltZlUwQ1owOFRjRVFRVDdlM3BoVkp2X2dUdWtGZWxaUFAyZVotVHQ3TG03Mkl5TjJUWjRUY3BYMDRXdm42b1VwaVBDUXdjSnFDcVVnQk1XR2p0WXhkXw?oc=5"" target=""_blank"">‘Bistirna Parore’ cruise docks at Guwahati; hundreds honour Bhupen Hazarika’s legacy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
Undercover IAS officer exposes corruption in Silchar Sadar Circle; two suspended - The Assam Tribune,https://news.google.com/rss/articles/CBMiugFBVV95cUxOYkZZTFkxUmpXZGp6ZTl1bFdOa1Z4Y1EzX201Nnp1d3hZWndEQzdMME9ueWJWb2lkTWtIQXE4MGhJNkpNTm04cndfNjlyb2kyWkEzdVI5ZXZWdnZxaEM1WWd6eHFzYm5ZQ1I3b01aT2gyUERsMnoxNTVWQUhTdE5ITi1CR1BrWm5QOEh3c0FqYXVNWGNycHpLcmlfSlN2ZHBwS1I5TDRoSUZYNTR1d09KWEhsSTlLdkNpdXfSAb8BQVVfeXFMTy1mV3dHeEVxNjlYNVFaU0c3a1NFM1pWOUtBSFVDZWlSaEJXVmVnZ3p3NnFZeUNHN3hUa01xN1NzSEdxcjJSQjJESDdYNjlwTDdPSkgtTC1DLUxxR0M0bnAxRE83Y1hIQWJFZHpTc2VxYXZ1Q2xmdkRIYkE3UjRGcGdQN05vc3A2c3I4N2luUjJ4RzdyNXBPdG5vUE1BQXdOOFhEZWFZeFZicHZNV1B5Tm1qWTdGazVrM0d2QXhwLUU?oc=5,2025-09-16 14:47:27,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOYkZZTFkxUmpXZGp6ZTl1bFdOa1Z4Y1EzX201Nnp1d3hZWndEQzdMME9ueWJWb2lkTWtIQXE4MGhJNkpNTm04cndfNjlyb2kyWkEzdVI5ZXZWdnZxaEM1WWd6eHFzYm5ZQ1I3b01aT2gyUERsMnoxNTVWQUhTdE5ITi1CR1BrWm5QOEh3c0FqYXVNWGNycHpLcmlfSlN2ZHBwS1I5TDRoSUZYNTR1d09KWEhsSTlLdkNpdXfSAb8BQVVfeXFMTy1mV3dHeEVxNjlYNVFaU0c3a1NFM1pWOUtBSFVDZWlSaEJXVmVnZ3p3NnFZeUNHN3hUa01xN1NzSEdxcjJSQjJESDdYNjlwTDdPSkgtTC1DLUxxR0M0bnAxRE83Y1hIQWJFZHpTc2VxYXZ1Q2xmdkRIYkE3UjRGcGdQN05vc3A2c3I4N2luUjJ4RzdyNXBPdG5vUE1BQXdOOFhEZWFZeFZicHZNV1B5Tm1qWTdGazVrM0d2QXhwLUU?oc=5"" target=""_blank"">Undercover IAS officer exposes corruption in Silchar Sadar Circle; two suspended</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
Leaders stress timely implementation of Adivasi Peace Accord on its 3rd anniversary - The Assam Tribune,https://news.google.com/rss/articles/CBMivwFBVV95cUxNejcyWTA0d0RtU3lYWHBqRlZpQWhGZFpwT2Z6ckI5aXRPWjdIMVY0Z3A5NEVObmhJTmpjckoyM2dTTVRJOEpRNFdyQ2F0YlctLTYwNk1HZmg2bUNxeGl4T2JXNWp5Q1B0NXRmekxrNW1pZWUydVAxUkoxelpyTmk1ZDBtQ1QyY0xzZ082MTBMbGJncjIydFBtOFpqS3VrQjF0amtoMlduNnZueTMwaGkyaFdmU1NwVTEzOHd3bWl4Y9IBxAFBVV95cUxOT2RIU1I0d3hLVTlaMThadjJGbTQ4dVhrUzdHWjR3eW90cnpoWVRVd1RCSDFuS3psa19ZQjBXR2tGanBRQk5ZQkpRMUZHLUNlZFE3VTVoanM2cFVSbFhDd2gtMVNwZjRaNFNTWHNGSDJZTXRzUWdCRnFqZVJqWjN3aTRMU1VOSDl6YlZxeXJnMkcwRG5CdlhTRXpkLWZtR3JFbkVBOTRmeVd4b2h3TjRPckFDS0pGV1psM3NOUzJCTDdyNmst?oc=5,2025-09-16 14:42:38,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxNejcyWTA0d0RtU3lYWHBqRlZpQWhGZFpwT2Z6ckI5aXRPWjdIMVY0Z3A5NEVObmhJTmpjckoyM2dTTVRJOEpRNFdyQ2F0YlctLTYwNk1HZmg2bUNxeGl4T2JXNWp5Q1B0NXRmekxrNW1pZWUydVAxUkoxelpyTmk1ZDBtQ1QyY0xzZ082MTBMbGJncjIydFBtOFpqS3VrQjF0amtoMlduNnZueTMwaGkyaFdmU1NwVTEzOHd3bWl4Y9IBxAFBVV95cUxOT2RIU1I0d3hLVTlaMThadjJGbTQ4dVhrUzdHWjR3eW90cnpoWVRVd1RCSDFuS3psa19ZQjBXR2tGanBRQk5ZQkpRMUZHLUNlZFE3VTVoanM2cFVSbFhDd2gtMVNwZjRaNFNTWHNGSDJZTXRzUWdCRnFqZVJqWjN3aTRMU1VOSDl6YlZxeXJnMkcwRG5CdlhTRXpkLWZtR3JFbkVBOTRmeVd4b2h3TjRPckFDS0pGV1psM3NOUzJCTDdyNmst?oc=5"" target=""_blank"">Leaders stress timely implementation of Adivasi Peace Accord on its 3rd anniversary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
"Despite Rs 2,000 Cr annual inflow, BTC lags on development, CM flags mismanagement - The Assam Tribune",https://news.google.com/rss/articles/CBMiugFBVV95cUxNYXNmMm1POTJ6Wk96MUp5WUJuS1NnSjNrRnNQaHdaVl81d01YYmhFNU4wSng5cGVraTI3VlJNYWhSdElBZmxZT2Z0N043b081WXNqZWxZMVBuRkVQcW5MaGFyM2YtNGh4Nlk1YWJLSGpVd1FNUXl6bThBb2pxdnFBdU1XYzF2LVdhTXQwUTg0dGtpOFM1U1R1UlRNTFluYVBVN1F4eWlObDc2UHkxaFgtQ3hSQ0lPNE84YUHSAb8BQVVfeXFMUHg0N0ZBeURCak95QzFXS3BON1ZqZEs5U1FuX1E1SlpMZmlmNFVwYTN6SW5RdXRGOVgyNnhodGxvTEd1cV9fMFVKaUF2UG1ZZ1FqRGwtMXBvVFFYc3lQcVRzVEVSOXp0djcyUDdnS2VpYzI3Z0FIUDRtZFcwOUV5dHRiaUNNek1rU0I1WnFhemlnM1E3VmRFWjdaSUpUaGxxZUd2UFV1cmFSNGRQRjh6cFlvTkdJd0NCaDJtZlJ2VE0?oc=5,2025-09-16 15:22:33,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNYXNmMm1POTJ6Wk96MUp5WUJuS1NnSjNrRnNQaHdaVl81d01YYmhFNU4wSng5cGVraTI3VlJNYWhSdElBZmxZT2Z0N043b081WXNqZWxZMVBuRkVQcW5MaGFyM2YtNGh4Nlk1YWJLSGpVd1FNUXl6bThBb2pxdnFBdU1XYzF2LVdhTXQwUTg0dGtpOFM1U1R1UlRNTFluYVBVN1F4eWlObDc2UHkxaFgtQ3hSQ0lPNE84YUHSAb8BQVVfeXFMUHg0N0ZBeURCak95QzFXS3BON1ZqZEs5U1FuX1E1SlpMZmlmNFVwYTN6SW5RdXRGOVgyNnhodGxvTEd1cV9fMFVKaUF2UG1ZZ1FqRGwtMXBvVFFYc3lQcVRzVEVSOXp0djcyUDdnS2VpYzI3Z0FIUDRtZFcwOUV5dHRiaUNNek1rU0I1WnFhemlnM1E3VmRFWjdaSUpUaGxxZUd2UFV1cmFSNGRQRjh6cFlvTkdJd0NCaDJtZlJ2VE0?oc=5"" target=""_blank"">Despite Rs 2,000 Cr annual inflow, BTC lags on development, CM flags mismanagement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
Assam on alert: Govt issues warning amid IMD forecast of rain till Sept 22 - The Assam Tribune,https://news.google.com/rss/articles/CBMiugFBVV95cUxNLTg2Z3ZjVjVrYmRXdGdvVFNZN3NKdm03cDdxblRROTJzYTctQTV4dWR3eWEyNzYwNWRCTU9DU2Q3Tm9JR25IZGtwUHFITlhpVlMtMzhDMGoyNW5FYmhkanlUMGJUVkJJcnZoWEp6YzEzakNhaVZ1bnRMZUdDb2xJQWsxSTNqN0F4ajB5SjRZSEVUcERXbHNBbnlyOFBEdDB5YVBzUWtWQmhqdWFxUGl2Ri1neF8yVlRKTFHSAb8BQVVfeXFMTnlsT1d4RXl5RW8tOEVhanFvMHZvcTZDZG9JclhtTE4wclRJZGVFQW9DREdhekJxbk0wN2Z2NG9OMWc1NUMwbm1sSkphcGJMRHNZQ0k5TDNZbmVIbjdjZnJzUW9udWVvaXZlTS1VaTRHUElLZUxOZ194VnNjazZVU09TV3ZULWxoSUoyb01zUDFsenY4a2s1aTYzajZleExvV2l5VjJmbEJoWWVpMG9lRmkxcnZNdktJU0dtUWFqOEU?oc=5,2025-09-16 17:40:24,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNLTg2Z3ZjVjVrYmRXdGdvVFNZN3NKdm03cDdxblRROTJzYTctQTV4dWR3eWEyNzYwNWRCTU9DU2Q3Tm9JR25IZGtwUHFITlhpVlMtMzhDMGoyNW5FYmhkanlUMGJUVkJJcnZoWEp6YzEzakNhaVZ1bnRMZUdDb2xJQWsxSTNqN0F4ajB5SjRZSEVUcERXbHNBbnlyOFBEdDB5YVBzUWtWQmhqdWFxUGl2Ri1neF8yVlRKTFHSAb8BQVVfeXFMTnlsT1d4RXl5RW8tOEVhanFvMHZvcTZDZG9JclhtTE4wclRJZGVFQW9DREdhekJxbk0wN2Z2NG9OMWc1NUMwbm1sSkphcGJMRHNZQ0k5TDNZbmVIbjdjZnJzUW9udWVvaXZlTS1VaTRHUElLZUxOZ194VnNjazZVU09TV3ZULWxoSUoyb01zUDFsenY4a2s1aTYzajZleExvV2l5VjJmbEJoWWVpMG9lRmkxcnZNdktJU0dtUWFqOEU?oc=5"" target=""_blank"">Assam on alert: Govt issues warning amid IMD forecast of rain till Sept 22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
"Heavy rain in Nagaland, water released from Doyang dam flood Golaghat - Times of India",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeHVRTzRjRjBNRjVoUHpfclZtM0RIdDdCS204OS04T0hJeW1xRVJTOUJRbWFZcTdOUXhDQUItcHlOT2Jkb0JsQVktdVZjUVFKREppUXJTdTg2eXNQSGF4LS0zaDFzR2hlN0l6Yjlma3o5TU5UR01rcG12WHBUN1ZUZF9WYUEyaTlEREZteFZNeUZxY0g3Mk1vTUd6dDkyR0hZOTFkTkVLQjVnZjVVbllVUFF5TVlsRU81aWJCUm8xOW9MS2huaHJrOWs0ZU9QdVdLcXRmT19MX1NfMDAx0gHiAUFVX3lxTE5nU3UyVW16eXd2WHB0M3ZPRkUtTk1pb0ZKc1NKQ3J4SkhSdnZxVXRuelBRYUhHMk1zbXJPeDZ1RUJkSVpwci00dlFoUkJqZExTNGdHNnRXSl9uWGJGRkxfYVdHOHFrRnA4MVp1NVItSWxfaGYzdExBbTI1eHFzMXNJM3J6cmktZVpvWms2em53WHJHaWpTako0M1NweElMTVFPMnd4WngwZGNNSGtZcm51bHh6VkdIU0RJcmZ5TFNyTGJiQXd2U3NhSXNnUzF2X1dMVmdvZktzc3N6Qy0yejlkaHc?oc=5,2025-09-16 18:57:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQeHVRTzRjRjBNRjVoUHpfclZtM0RIdDdCS204OS04T0hJeW1xRVJTOUJRbWFZcTdOUXhDQUItcHlOT2Jkb0JsQVktdVZjUVFKREppUXJTdTg2eXNQSGF4LS0zaDFzR2hlN0l6Yjlma3o5TU5UR01rcG12WHBUN1ZUZF9WYUEyaTlEREZteFZNeUZxY0g3Mk1vTUd6dDkyR0hZOTFkTkVLQjVnZjVVbllVUFF5TVlsRU81aWJCUm8xOW9MS2huaHJrOWs0ZU9QdVdLcXRmT19MX1NfMDAx0gHiAUFVX3lxTE5nU3UyVW16eXd2WHB0M3ZPRkUtTk1pb0ZKc1NKQ3J4SkhSdnZxVXRuelBRYUhHMk1zbXJPeDZ1RUJkSVpwci00dlFoUkJqZExTNGdHNnRXSl9uWGJGRkxfYVdHOHFrRnA4MVp1NVItSWxfaGYzdExBbTI1eHFzMXNJM3J6cmktZVpvWms2em53WHJHaWpTako0M1NweElMTVFPMnd4WngwZGNNSGtZcm51bHh6VkdIU0RJcmZ5TFNyTGJiQXd2U3NhSXNnUzF2X1dMVmdvZktzc3N6Qy0yejlkaHc?oc=5"" target=""_blank"">Heavy rain in Nagaland, water released from Doyang dam flood Golaghat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"NEEPCO dam release, heavy Nagaland rains flood 56 villages in Assam’s Golaghat - The Assam Tribune",https://news.google.com/rss/articles/CBMitgFBVV95cUxPZF9BV2hUNkV4Q2lXWmVUNWJ5RGxaaEVmZUVscmlRc0pHMmlIdEFFV3RDWkNhZzg0MzBwNHlKalNDbFJ6cERDazNvTHVMVHFPaEdHZ1pob0Q1Z2c1cDVNcl9jdUhwZjhNODAzekxLVG5yYThidDhUdlZ1NHNpY0cwaEhzOVVfbS1xdUJpUWdjSkx2bkRXTXp0eExIUE16UGE0VUhESldxWmV2OUtaTHh6WnRfZGhIZ9IBuwFBVV95cUxNVjVuLS1KQ21HbENwc0tvQXk3Y1p5Smo1X1JPTlIxMEg3MTBKdGc5M3kxcGFPMV9kME90WmgyaUFCOG5WOFJBSzJyMVB0STBLRTlNVFNUbjBBQ1FWclFwOVhjY3Y2ZmtTc3RQMEJPVTdQRmotdWtsM1ZoeXFWS01CNUhEN1FONDlNblpHOWF0SERySWtSazNFc3A5TjJFd196OGdZQ2lrczhOMkdWTklmWnRHRlNaaUU0N0dB?oc=5,2025-09-16 14:00:36,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPZF9BV2hUNkV4Q2lXWmVUNWJ5RGxaaEVmZUVscmlRc0pHMmlIdEFFV3RDWkNhZzg0MzBwNHlKalNDbFJ6cERDazNvTHVMVHFPaEdHZ1pob0Q1Z2c1cDVNcl9jdUhwZjhNODAzekxLVG5yYThidDhUdlZ1NHNpY0cwaEhzOVVfbS1xdUJpUWdjSkx2bkRXTXp0eExIUE16UGE0VUhESldxWmV2OUtaTHh6WnRfZGhIZ9IBuwFBVV95cUxNVjVuLS1KQ21HbENwc0tvQXk3Y1p5Smo1X1JPTlIxMEg3MTBKdGc5M3kxcGFPMV9kME90WmgyaUFCOG5WOFJBSzJyMVB0STBLRTlNVFNUbjBBQ1FWclFwOVhjY3Y2ZmtTc3RQMEJPVTdQRmotdWtsM1ZoeXFWS01CNUhEN1FONDlNblpHOWF0SERySWtSazNFc3A5TjJFd196OGdZQ2lrczhOMkdWTklmWnRHRlNaaUU0N0dB?oc=5"" target=""_blank"">NEEPCO dam release, heavy Nagaland rains flood 56 villages in Assam’s Golaghat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
‘Bistirna Parore’ cruise docks at Guwahati; hundreds honour Bhupen Hazarika’s legacy - The Assam Tribune,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1l1OGVZcVVnRDgwVE9ZUm5FYnA5c1VzTzFTYlBoc1JjX1RfbC0zZjBvM3hUazhUYW5ON1FtdDNrQU14QzZqMkRHN0dETUlycG9QZGhkWlgyNkZFbjlndXoyN01jQjREZ3hpYUQ1UENaT1ZhV2dMeWhEZ3BLdHRRRUV0TGRIR3JrMGNkMHZzdkJVeDQzZGxfUmZJLW55U0FpVG12Z0hBblBHRDlrX1dGQ2tOUjRLbk52aFAw0gHAAUFVX3lxTE1NYnZUUlFQOG5oWGFTbWF3dnlBdGlXb285T051WmFpeGNpNkNORElCUmJyUEpTNDREbGNxVXFZNGxHSXd2eGY2dkpXT2pyVE5WamtFX2Nzei1TanE2UTJoY3I1VUJ5VllxMEltZlUwQ1owOFRjRVFRVDdlM3BoVkp2X2dUdWtGZWxaUFAyZVotVHQ3TG03Mkl5TjJUWjRUY3BYMDRXdm42b1VwaVBDUXdjSnFDcVVnQk1XR2p0WXhkXw?oc=5,2025-09-16 16:58:48,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1l1OGVZcVVnRDgwVE9ZUm5FYnA5c1VzTzFTYlBoc1JjX1RfbC0zZjBvM3hUazhUYW5ON1FtdDNrQU14QzZqMkRHN0dETUlycG9QZGhkWlgyNkZFbjlndXoyN01jQjREZ3hpYUQ1UENaT1ZhV2dMeWhEZ3BLdHRRRUV0TGRIR3JrMGNkMHZzdkJVeDQzZGxfUmZJLW55U0FpVG12Z0hBblBHRDlrX1dGQ2tOUjRLbk52aFAw0gHAAUFVX3lxTE1NYnZUUlFQOG5oWGFTbWF3dnlBdGlXb285T051WmFpeGNpNkNORElCUmJyUEpTNDREbGNxVXFZNGxHSXd2eGY2dkpXT2pyVE5WamtFX2Nzei1TanE2UTJoY3I1VUJ5VllxMEltZlUwQ1owOFRjRVFRVDdlM3BoVkp2X2dUdWtGZWxaUFAyZVotVHQ3TG03Mkl5TjJUWjRUY3BYMDRXdm42b1VwaVBDUXdjSnFDcVVnQk1XR2p0WXhkXw?oc=5"" target=""_blank"">‘Bistirna Parore’ cruise docks at Guwahati; hundreds honour Bhupen Hazarika’s legacy</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
