Title,Link,Date,Source,Summary,Term,LanguageQueried
Delhi Flood Video : डूबती दिल्ली! वीडियो देखकर डर जाएंगे आप भी - Prabhat Khabar,https://news.google.com/rss/articles/CBMihgFBVV95cUxOazY4REtsSXV1Z1lzeDNWWUlmWlZoeFVNWVJvSk4wQ3pqOVVHa0M5MUZRRl9vY2lZVkZILUowdEg4UDJKemgtTWVTSW5wZUtkZ0NKR1dJR0dyMFpyT3pUaHBnWXVwbEVFWktOM0xFQndxc3dnLUtXUUZ3bFdtM1FzRkhuaENNUdIBiwFBVV95cUxPZkxWVmVZcVpWQVczdGdFNFlhaXFaQ3ZFWjhkcVJLVDdFU2lfU2RHMWM2NTFES0JTVHlVSi1TR0FoUEdweGtVWHRJVGQ5eWtFSXRqMGE5V25ybnhGLVBUaUoxODBvYzVwTVV5eV9xbHJxX0lyaVZwRTZ6WUtOR3ZRREQ1R1o2eEdtWkg4?oc=5,2025-09-05 09:33:31,Prabhat Khabar,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxOazY4REtsSXV1Z1lzeDNWWUlmWlZoeFVNWVJvSk4wQ3pqOVVHa0M5MUZRRl9vY2lZVkZILUowdEg4UDJKemgtTWVTSW5wZUtkZ0NKR1dJR0dyMFpyT3pUaHBnWXVwbEVFWktOM0xFQndxc3dnLUtXUUZ3bFdtM1FzRkhuaENNUdIBiwFBVV95cUxPZkxWVmVZcVpWQVczdGdFNFlhaXFaQ3ZFWjhkcVJLVDdFU2lfU2RHMWM2NTFES0JTVHlVSi1TR0FoUEdweGtVWHRJVGQ5eWtFSXRqMGE5V25ybnhGLVBUaUoxODBvYzVwTVV5eV9xbHJxX0lyaVZwRTZ6WUtOR3ZRREQ1R1o2eEdtWkg4?oc=5"" target=""_blank"">Delhi Flood Video : डूबती दिल्ली! वीडियो देखकर डर जाएंगे आप भी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Prabhat Khabar</font>",Disaster,or
Video | Weather Update: Flood पर Supreme Court में सुनवाई | Bharat Ki Baat Batata Hoon | Syed Suhail - NDTV.in,https://news.google.com/rss/articles/CBMisgFBVV95cUxPeTd6ZnlFMmZrQW1rQWdIbmhZUzB2LWZJWHBkZEd6blE4V3RqWW9LWGphTHR2WlhwaGtPRkVBSE5ZZTlaQUd3WFFlMGhobWNsaEN4eXM2WlJVajNsYnVna0dESWFhZmVibjFCVEdDOTZKRkpUOExtNEYtcXB4aE91amVqSE1SZk1TaXJnTFMxRmp2MEdiNWJLelM1WkNURGNqQXJrZ1gxUkp2QUdpckwwZlV3?oc=5,2025-09-05 04:05:35,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPeTd6ZnlFMmZrQW1rQWdIbmhZUzB2LWZJWHBkZEd6blE4V3RqWW9LWGphTHR2WlhwaGtPRkVBSE5ZZTlaQUd3WFFlMGhobWNsaEN4eXM2WlJVajNsYnVna0dESWFhZmVibjFCVEdDOTZKRkpUOExtNEYtcXB4aE91amVqSE1SZk1TaXJnTFMxRmp2MEdiNWJLelM1WkNURGNqQXJrZ1gxUkp2QUdpckwwZlV3?oc=5"" target=""_blank"">Video | Weather Update: Flood पर Supreme Court में सुनवाई | Bharat Ki Baat Batata Hoon | Syed Suhail</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,or
"नशे में धुत दरोगा का वीडियो वायरल, निलंबित - Hindustan",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNY2lMdWhXQmw3dkVZdW11YjJYYTg2RFBaenFKaEpwTU9mMHFuUkF3cVR3ODFEVnNYdWtfRnlJZ3FGTmczcmRYUlY1a2FMRXN4ZlI1d08yQUI0X1ZsU1QxTEhBZENlN2xCanBMX2JrbklIdmczdGdKRHdUOVQwalltMlF1ODdqdzUyVHdVbm1WNVk0UW8xLXdoMkdMUHRIb3M1STVWOVVGUHdFMWk4MU1YZ2EwclZfS2l5MTVhVG44VHE0MExlX21wbG1QVzFEYjd0cWpKcU9pR2xGTWZCRnZ30gHkAUFVX3lxTE5PdU0yaHlsaFA2ekxsNXMyaXhSeGdTWEl3ajRyQkFIVnpYaWFSZ0NwTHBISUgtOUFIeF9MQVZoQXN3LW0xdlZZeTZUcDE1Z1BXdDU5Z3J3WUhKTnRKaHhxWC11WkdkNHdGX0pzVS1GMkVBQ0MyYjhBTmgtdXVyNm11RkJ3dmpjWHFXUi1uZ21ibTZId3BwUlRRcjRvRTdudlU3QUhxczJTczNiWEdzRDZaR0xkSDRBdzZtRmhVdldRVjI5QUFOdVJZQXBOTEV6OHNzQ1AxbUZqdGEwRUN1WFFqTWdMSA?oc=5,2025-09-05 03:12:44,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNY2lMdWhXQmw3dkVZdW11YjJYYTg2RFBaenFKaEpwTU9mMHFuUkF3cVR3ODFEVnNYdWtfRnlJZ3FGTmczcmRYUlY1a2FMRXN4ZlI1d08yQUI0X1ZsU1QxTEhBZENlN2xCanBMX2JrbklIdmczdGdKRHdUOVQwalltMlF1ODdqdzUyVHdVbm1WNVk0UW8xLXdoMkdMUHRIb3M1STVWOVVGUHdFMWk4MU1YZ2EwclZfS2l5MTVhVG44VHE0MExlX21wbG1QVzFEYjd0cWpKcU9pR2xGTWZCRnZ30gHkAUFVX3lxTE5PdU0yaHlsaFA2ekxsNXMyaXhSeGdTWEl3ajRyQkFIVnpYaWFSZ0NwTHBISUgtOUFIeF9MQVZoQXN3LW0xdlZZeTZUcDE1Z1BXdDU5Z3J3WUhKTnRKaHhxWC11WkdkNHdGX0pzVS1GMkVBQ0MyYjhBTmgtdXVyNm11RkJ3dmpjWHFXUi1uZ21ibTZId3BwUlRRcjRvRTdudlU3QUhxczJTczNiWEdzRDZaR0xkSDRBdzZtRmhVdldRVjI5QUFOdVJZQXBOTEV6OHNzQ1AxbUZqdGEwRUN1WFFqTWdMSA?oc=5"" target=""_blank"">नशे में धुत दरोगा का वीडियो वायरल, निलंबित</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,or
देखते ही देखते छतें उड़ने लगीं और पेड़ गिरने लगे...सतना में चक्रवाती तूफान से 60 घर तबाह - Jagran,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQRDk4Sk9RNDNHekdwZFk0MHlLNUFSMjVpckxBZ2tLNXNNZ1dSWC1vNHFNZlVBSHNsbTNvbzlLR3M3UENma3VyOFE3d0FPUEFSRjRIc21HOHVRa0xuQl9IT3MwenZzUHRJNWhzTlFQUXM0RmxST1hUamZveHE4RVFFaXFPNjlkSkthUVZpUnhNSGFwRWhOSU1IY21XZGZLUXFyQVItdVZ5elFPVGU1VkxDOHdCRVVvamlCV2V3?oc=5,2025-09-04 18:27:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQRDk4Sk9RNDNHekdwZFk0MHlLNUFSMjVpckxBZ2tLNXNNZ1dSWC1vNHFNZlVBSHNsbTNvbzlLR3M3UENma3VyOFE3d0FPUEFSRjRIc21HOHVRa0xuQl9IT3MwenZzUHRJNWhzTlFQUXM0RmxST1hUamZveHE4RVFFaXFPNjlkSkthUVZpUnhNSGFwRWhOSU1IY21XZGZLUXFyQVItdVZ5elFPVGU1VkxDOHdCRVVvamlCV2V3?oc=5"" target=""_blank"">देखते ही देखते छतें उड़ने लगीं और पेड़ गिरने लगे...सतना में चक्रवाती तूफान से 60 घर तबाह</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Disaster,or
"हिमाचल के कुल्लू में भरभराकर गिरा पूरा पहाड़, देखें लैंडस्लाइड का लाइव वीडियो - AajTak",https://news.google.com/rss/articles/CBMigwJBVV95cUxOUjdlY0F4ZjVFbUhybzQ2VGUxTXVuUjhzUWhjY25EZFNNalE4dWdoby1kemlZUXo4NWh0Z0hRZ3A4ekg0MGZUM3VHb3hGWm9PZzRxZW5tN2xOdzlQaUpiNlk5TXVyRGdfQ3B2emZlRnE1SGtNRk50NGcta1dEMVgwX3hYZmw3U0hFekJfOTVWM3ktdEM3VmYwalAtRFR4NWJXcW1oSGlQTnBWYmQxVi1MWk81X2ptUlhObDkzSlNvZDR2TnNEa2l5bWxPZXEtaTdRWl9ocExnTVBMRDV2a3o4R1lCVGo5OU96UEx4S0RlLW54Z18zd3ZlOXNFLTZvaDRqQi1J0gGDAkFVX3lxTE5SN2VjQXhmNUVtSHJvNDZUZTFNdW5SOHNRaGNjbkRkU01qUTh1Z2hvLWR6aVlRejg1aHRnSFFncDh6SDQwZlQzdUdveEZab09nNHFlbm03bE53OVBpSmI2WTlNdXJEZ19DcHZ6ZmVGcTVIa01GTnQ0Zy1rV0QxWDBfeFhmbDdTSEV6Ql85NVYzeS10QzdWZjBqUC1EVHg1YldxbWhIaVBOcFZiZDFWLUxaTzVfam1SWE5sOTNKU29kNHZOc0RraXltbE9lcS1pN1FaX2hwTGdNUExENXZrejhHWUJUajk5T3pQTHhLRGUtbnhnXzN3dmU5c0UtNm9oNGpCLUk?oc=5,2025-09-05 08:21:34,AajTak,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxOUjdlY0F4ZjVFbUhybzQ2VGUxTXVuUjhzUWhjY25EZFNNalE4dWdoby1kemlZUXo4NWh0Z0hRZ3A4ekg0MGZUM3VHb3hGWm9PZzRxZW5tN2xOdzlQaUpiNlk5TXVyRGdfQ3B2emZlRnE1SGtNRk50NGcta1dEMVgwX3hYZmw3U0hFekJfOTVWM3ktdEM3VmYwalAtRFR4NWJXcW1oSGlQTnBWYmQxVi1MWk81X2ptUlhObDkzSlNvZDR2TnNEa2l5bWxPZXEtaTdRWl9ocExnTVBMRDV2a3o4R1lCVGo5OU96UEx4S0RlLW54Z18zd3ZlOXNFLTZvaDRqQi1J0gGDAkFVX3lxTE5SN2VjQXhmNUVtSHJvNDZUZTFNdW5SOHNRaGNjbkRkU01qUTh1Z2hvLWR6aVlRejg1aHRnSFFncDh6SDQwZlQzdUdveEZab09nNHFlbm03bE53OVBpSmI2WTlNdXJEZ19DcHZ6ZmVGcTVIa01GTnQ0Zy1rV0QxWDBfeFhmbDdTSEV6Ql85NVYzeS10QzdWZjBqUC1EVHg1YldxbWhIaVBOcFZiZDFWLUxaTzVfam1SWE5sOTNKU29kNHZOc0RraXltbE9lcS1pN1FaX2hwTGdNUExENXZrejhHWUJUajk5T3pQTHhLRGUtbnhnXzN3dmU5c0UtNm9oNGpCLUk?oc=5"" target=""_blank"">हिमाचल के कुल्लू में भरभराकर गिरा पूरा पहाड़, देखें लैंडस्लाइड का लाइव वीडियो</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AajTak</font>",Disaster,or
Video | Manali Flood Ground Report: 30 साल बाद फिर लौटा कहर! मनाली बर्बाद हो गया | Weather News | Top News - NDTV.in,https://news.google.com/rss/articles/CBMiygFBVV95cUxQd1pEYVFPcElMZFBWMnBGVGJCZmI1V0pRTEc3U2p3YUFtc21lY3FpNUlHSGQycW5NRWtsTUVOUlk3eWtxTTU1UmlNcGFLRWdJcElPNm1jLWttbnVyVzk4TC1reHJJbGdUYWx5bkRMZ0g5cE1qOVByTURHcnhwYm9fOFVtOVNmX3JKdzlvcFh6MjN4MW9YcUk2R3JxNXMxcklEY2N2LU1YenozT0JGRUpPYUxWY2FxdzdBMDlTdl9QZHQtSWZUYnZDVFVR?oc=5,2025-09-05 02:33:31,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQd1pEYVFPcElMZFBWMnBGVGJCZmI1V0pRTEc3U2p3YUFtc21lY3FpNUlHSGQycW5NRWtsTUVOUlk3eWtxTTU1UmlNcGFLRWdJcElPNm1jLWttbnVyVzk4TC1reHJJbGdUYWx5bkRMZ0g5cE1qOVByTURHcnhwYm9fOFVtOVNmX3JKdzlvcFh6MjN4MW9YcUk2R3JxNXMxcklEY2N2LU1YenozT0JGRUpPYUxWY2FxdzdBMDlTdl9QZHQtSWZUYnZDVFVR?oc=5"" target=""_blank"">Video | Manali Flood Ground Report: 30 साल बाद फिर लौटा कहर! मनाली बर्बाद हो गया | Weather News | Top News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,or
"दिल्ली में यमुना उफान पर, कई जगहों में घुसा पानी | Delhi Flood | weather update | Yamuna Flood - Oneindia Hindi",https://news.google.com/rss/articles/CBMizwFBVV95cUxNT2RMWHVDcUVoMjYxX3JGZmJvS2RJanRRVDRNNUtUUjJ5bGVNMnV0SlFpT01sVFFrUEFTMXI4dWcxeEtocFA5S0RuU2VEUEFRNUh4Zi1oV0x2NnRNNElGM3BhVnpuU2dFeTRtYmJDTnBKNkViM0JPR09sYVJJZHo3Zzl4c0RrcXc0SXVfWWVobWRSS2R4c1BTeEtrZWw2TGswcXR5NExaWGZaS25wNFJjeFhCRE41NGloc0JzdG1Uem5WY1VGWGhhbmFjN1lzb2c?oc=5,2025-09-04 16:30:02,Oneindia Hindi,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNT2RMWHVDcUVoMjYxX3JGZmJvS2RJanRRVDRNNUtUUjJ5bGVNMnV0SlFpT01sVFFrUEFTMXI4dWcxeEtocFA5S0RuU2VEUEFRNUh4Zi1oV0x2NnRNNElGM3BhVnpuU2dFeTRtYmJDTnBKNkViM0JPR09sYVJJZHo3Zzl4c0RrcXc0SXVfWWVobWRSS2R4c1BTeEtrZWw2TGswcXR5NExaWGZaS25wNFJjeFhCRE41NGloc0JzdG1Uem5WY1VGWGhhbmFjN1lzb2c?oc=5"" target=""_blank"">दिल्ली में यमुना उफान पर, कई जगहों में घुसा पानी | Delhi Flood | weather update | Yamuna Flood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Hindi</font>",Disaster,or
"Video | Weather Update: Floods-Rain पर SC सख्त, संज्ञान लेकर केंद्र-राज्य सरकारों को किया Notice जारी - NDTV.in",https://news.google.com/rss/articles/CBMiygFBVV95cUxOTGZ1TXBlNjBVdFFSbGdLWGREVWxXSmY3aU42Ui1IUzlUQUxWSHZaRm1mLW1icWdPeW96ZUVFWC1xZ1NZajlQWlNEdkowVHJ3Y0w5eExPNjZHU2pwcm5GVUVneE8waFlZbFpvSDRQTG9Ld2llNjMwMVluVFBtZk9VTG9GY1ctZTFLN0ROUkVSWWFVY3cwTlJDTmktZ0w4UWNWdkxPNDZ1Z1Y5XzdPMW8xSXVQd3BEZmZXd3k0RXFxMkFSUTNNNU1WSUJR?oc=5,2025-09-04 20:30:01,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOTGZ1TXBlNjBVdFFSbGdLWGREVWxXSmY3aU42Ui1IUzlUQUxWSHZaRm1mLW1icWdPeW96ZUVFWC1xZ1NZajlQWlNEdkowVHJ3Y0w5eExPNjZHU2pwcm5GVUVneE8waFlZbFpvSDRQTG9Ld2llNjMwMVluVFBtZk9VTG9GY1ctZTFLN0ROUkVSWWFVY3cwTlJDTmktZ0w4UWNWdkxPNDZ1Z1Y5XzdPMW8xSXVQd3BEZmZXd3k0RXFxMkFSUTNNNU1WSUJR?oc=5"" target=""_blank"">Video | Weather Update: Floods-Rain पर SC सख्त, संज्ञान लेकर केंद्र-राज्य सरकारों को किया Notice जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,or
N Odisha districts again face spectre of flood - Times of India,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT1A0TXR1UmtmN3RkUnFyZ1Mxb0hmVUc4bVB5OTVmMER6MjNTQTR5N3g3NXgydExqc1o2SGFmRzBkQkM3QzJJejVsWVF2cllpWXQzNm15RHJvY3pfeVdtMnhVMnBJaGxnNWJJVG1QR2RwNjVHejVqT0w2ejlHVXl0SjVyeHdCTDNlVkxYR3E5NWI2N0J2OHZMNlBPTk1pWW1PcjRHeVVYTXBiaFZkYWttRUtmVUNZVzh1ZGlSNkJaZUNBVTTSAcgBQVVfeXFMUHh4ZkVWeThvNndBeTJLb05zTktJNTZ6Vl9fbmdHWENkZlJoYXEwRUpDcTNWR1d1bGJzUkJ5ZEJCdkNrNEthLXBRLXBmcUhYTEwydEFKVWE5VVNBNVdUODQ3WkFwT2s3bFV3TXIzNFRhaGVzM3dQTmNJTkhzbHFhR284YXhIOVZpRk9ZOHV5SXMwYmZfMlppSzlsSmxtb0N1Ylh4LU9YeWpDOWFmODZwb2J6c1ZpblNTd0R6MmxvbExLSTBfU0k0eXo?oc=5,2025-09-05 05:00:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT1A0TXR1UmtmN3RkUnFyZ1Mxb0hmVUc4bVB5OTVmMER6MjNTQTR5N3g3NXgydExqc1o2SGFmRzBkQkM3QzJJejVsWVF2cllpWXQzNm15RHJvY3pfeVdtMnhVMnBJaGxnNWJJVG1QR2RwNjVHejVqT0w2ejlHVXl0SjVyeHdCTDNlVkxYR3E5NWI2N0J2OHZMNlBPTk1pWW1PcjRHeVVYTXBiaFZkYWttRUtmVUNZVzh1ZGlSNkJaZUNBVTTSAcgBQVVfeXFMUHh4ZkVWeThvNndBeTJLb05zTktJNTZ6Vl9fbmdHWENkZlJoYXEwRUpDcTNWR1d1bGJzUkJ5ZEJCdkNrNEthLXBRLXBmcUhYTEwydEFKVWE5VVNBNVdUODQ3WkFwT2s3bFV3TXIzNFRhaGVzM3dQTmNJTkhzbHFhR284YXhIOVZpRk9ZOHV5SXMwYmZfMlppSzlsSmxtb0N1Ylh4LU9YeWpDOWFmODZwb2J6c1ZpblNTd0R6MmxvbExLSTBfU0k0eXo?oc=5"" target=""_blank"">N Odisha districts again face spectre of flood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone Dana spares Bengal from major destruction, govt remains on high alert - MSN",https://news.google.com/rss/articles/CBMi7AJBVV95cUxOdnY5Y3NBbXgzaWlFNkNsd1h1WV9OSUoweTJENkl4ZWt6NjFvaHQxbTVUb2gyR0JxWV9LN05wM2hPaElBdGltX05iTzdJVV9DTHpTZkFaanBzZ3phaFp1QkJsclRHbEk3TDkySWxVQ2hWY2NpLWlZa3NaUzdiUGtVMEhXOVhEUkQweERXaFdSV241cm1sSzdzUEloQ3cwc3QtamJTNjdhcE1TZDVMR1kwOFNLendXWWlQM2Yxb29OcTdzQ21VYmdRZVRUOUgtTU81c0N5QlJWRXVnZDJZdVBOSDRVQjduakhrN2Z5RkY4d3VYTlAtbC1CVld6bFVDa1UtS1hpY2pYN0JYRU1JVzVGRkJYZjlxbGQzNHZucndqcXA5eHZGY0lOWkw3NmNpY0Ezc09CZ0hMeHhNM2hPT1ZVajd2UTU3WmJCRkUxLTl1aTdKMjhYUnc3TXVDVjdHMHZJdTV0bUdXZ29iLVM2?oc=5,2025-09-04 21:00:31,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7AJBVV95cUxOdnY5Y3NBbXgzaWlFNkNsd1h1WV9OSUoweTJENkl4ZWt6NjFvaHQxbTVUb2gyR0JxWV9LN05wM2hPaElBdGltX05iTzdJVV9DTHpTZkFaanBzZ3phaFp1QkJsclRHbEk3TDkySWxVQ2hWY2NpLWlZa3NaUzdiUGtVMEhXOVhEUkQweERXaFdSV241cm1sSzdzUEloQ3cwc3QtamJTNjdhcE1TZDVMR1kwOFNLendXWWlQM2Yxb29OcTdzQ21VYmdRZVRUOUgtTU81c0N5QlJWRXVnZDJZdVBOSDRVQjduakhrN2Z5RkY4d3VYTlAtbC1CVld6bFVDa1UtS1hpY2pYN0JYRU1JVzVGRkJYZjlxbGQzNHZucndqcXA5eHZGY0lOWkw3NmNpY0Ezc09CZ0hMeHhNM2hPT1ZVajd2UTU3WmJCRkUxLTl1aTdKMjhYUnc3TXVDVjdHMHZJdTV0bUdXZ29iLVM2?oc=5"" target=""_blank"">Cyclone Dana spares Bengal from major destruction, govt remains on high alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
