Title,Link,Date,Source,Summary,Place
"Data: Between 2014 & 2023, Frequency of Heavy Rainfall events reduced in Karnataka, Odisha & AP while increasing in MP, Gujarat & UP - Factly",https://news.google.com/rss/articles/CBMi2AFBVV95cUxQLUdZWDFCbUg3XzB3TW84UGVELXoyZVFjVUtONTlCaHRGMnJVcUxBYVNJNGRmenJyLWVEWWNraG5fd2VXeFN1T0xabzE3RFFtbTl2clZvNHdDZVNwRWZkdVFkblhtd2JDSWJTLW1UVTlHSVg1RkNYVDR6UlhWTFU2cDJHZGpvRU9RRWVzd0k0SVRkZHRleGM0RFBpcE5CdlBJRTQxZG53aDd0OHZvYWVqRVFnNlhiZkkwbTkwT3ZseWZMSGFJOVZTTDNubENQbmhER0ljZTRFeWE?oc=5,2024-08-06 05:16:42,Factly,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxQLUdZWDFCbUg3XzB3TW84UGVELXoyZVFjVUtONTlCaHRGMnJVcUxBYVNJNGRmenJyLWVEWWNraG5fd2VXeFN1T0xabzE3RFFtbTl2clZvNHdDZVNwRWZkdVFkblhtd2JDSWJTLW1UVTlHSVg1RkNYVDR6UlhWTFU2cDJHZGpvRU9RRWVzd0k0SVRkZHRleGM0RFBpcE5CdlBJRTQxZG53aDd0OHZvYWVqRVFnNlhiZkkwbTkwT3ZseWZMSGFJOVZTTDNubENQbmhER0ljZTRFeWE?oc=5"" target=""_blank"">Data: Between 2014 & 2023, Frequency of Heavy Rainfall events reduced in Karnataka, Odisha & AP while increasing in MP, Gujarat & UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Factly</font>",
"Deep depression leaves UP, get set to welcome rain - Hindustan Times",https://news.google.com/rss/articles/CBMivgFBVV95cUxNWmZMcENqS3pxMVpSMjJURzEzQm1Dc1dHczhRZm5QM0JtYXVZRDBGS2Fnc3BzbnNwMHRyaEtkNEQzWms2cnRBNUFHVV9BT1ZYa0VOeWFFS0FDSFNtdHUyR2ZXOUsyYXlYb2ZnUl9rS2t2cjdFSXZ4NEVURjBsSXBocFlIRWJocHJjb21IUklIMURmQ0FIOTI2NVJCZTFXUTBsVUh2QUZSeERnYXZZc0E2S0kzaVNlOHhobWg4LXF30gHDAUFVX3lxTE5CLXV6NkFGTXBxeHh0WDFJZEJON3RsU2dMeGt0SFBGR3kyemZMOF9jdklzMWxNTVlKZDI2dHQ5Mm9ZWUx6Q2NDemJsRnNjSFREYm4yYVVERG9EU3gwVk5wQnhoMzFQcjl2UW5wMHhheDY3SG9WMXZ0ODhvVFRsWjh4cS1jS3BGSlFoaU1BRUJudzlJckVNcEpSSWZtV3hENHd6aEdkOVRmb0NGUVNjcm1YZmJ2UTdQZnVPamV5WGpYX01TWQ?oc=5,2024-08-05 22:02:26,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxNWmZMcENqS3pxMVpSMjJURzEzQm1Dc1dHczhRZm5QM0JtYXVZRDBGS2Fnc3BzbnNwMHRyaEtkNEQzWms2cnRBNUFHVV9BT1ZYa0VOeWFFS0FDSFNtdHUyR2ZXOUsyYXlYb2ZnUl9rS2t2cjdFSXZ4NEVURjBsSXBocFlIRWJocHJjb21IUklIMURmQ0FIOTI2NVJCZTFXUTBsVUh2QUZSeERnYXZZc0E2S0kzaVNlOHhobWg4LXF30gHDAUFVX3lxTE5CLXV6NkFGTXBxeHh0WDFJZEJON3RsU2dMeGt0SFBGR3kyemZMOF9jdklzMWxNTVlKZDI2dHQ5Mm9ZWUx6Q2NDemJsRnNjSFREYm4yYVVERG9EU3gwVk5wQnhoMzFQcjl2UW5wMHhheDY3SG9WMXZ0ODhvVFRsWjh4cS1jS3BGSlFoaU1BRUJudzlJckVNcEpSSWZtV3hENHd6aEdkOVRmb0NGUVNjcm1YZmJ2UTdQZnVPamV5WGpYX01TWQ?oc=5"" target=""_blank"">Deep depression leaves UP, get set to welcome rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
Heavy rain forecast in most parts of Odisha for three days - The Week,https://news.google.com/rss/articles/CBMif0FVX3lxTE5YNEpneEJqN2RVeXJvUGtmcmpzWTJRNHpwWmpXTTdjVGlXSmM4ZUlWQWFseGZHS2RJRXE3OFptZWpIdzh0YXJ3Z1ZSbkMzVmM2akxadmdENktKMjE1a0NUYkJKYWN2RUdRTzBjN1JjZ08zZkdPZlY1c2hwNDh0SkHSAYQBQVVfeXFMTVFGcFdTQTZFV1hVTmt5M2o2T1hQVDNsbUczNTRqVjh0aEF4b0RWaFpjQ2FfV2d5cmN4dzFGd095MHpfaWNaYVB2NW1LZ3BGdG9nUmtDQXV3dVpBUkF3UjFkUnFuMlpBelN4Rk10OGZWSExOT09WcktWVWM3SGVma3NHUGZt?oc=5,2024-08-05 22:38:31,The Week,"<a href=""https://news.google.com/rss/articles/CBMif0FVX3lxTE5YNEpneEJqN2RVeXJvUGtmcmpzWTJRNHpwWmpXTTdjVGlXSmM4ZUlWQWFseGZHS2RJRXE3OFptZWpIdzh0YXJ3Z1ZSbkMzVmM2akxadmdENktKMjE1a0NUYkJKYWN2RUdRTzBjN1JjZ08zZkdPZlY1c2hwNDh0SkHSAYQBQVVfeXFMTVFGcFdTQTZFV1hVTmt5M2o2T1hQVDNsbUczNTRqVjh0aEF4b0RWaFpjQ2FfV2d5cmN4dzFGd095MHpfaWNaYVB2NW1LZ3BGdG9nUmtDQXV3dVpBUkF3UjFkUnFuMlpBelN4Rk10OGZWSExOT09WcktWVWM3SGVma3NHUGZt?oc=5"" target=""_blank"">Heavy rain forecast in most parts of Odisha for three days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Week</font>",
MeT predicts light to moderate rain in Odisha for the next 7 days - Kalinga TV,https://news.google.com/rss/articles/CBMimwFBVV95cUxPYnVWWnpUVGZrNjFEdVB3aWdJaDA0eGxuOTRVWk9ScExrNjlqYmlxMjlkaFBpTU12VWRrS1VZRWNNcXM4a3NMV3R1cDAzNjh3cHoweGhaQ3A4OUZpVkk0RlZ0SjNjRHNuTUJndGxWUWJtMGdZMlZzaDhhVXAzUEptdDJxOHZULUhDbng4UmhGa1VKbGZ1UTJpbDBZNNIBoAFBVV95cUxPRXd2Q05YUjNYMXFOb1JBSHloem5QYW9nNjdXVEpzLUJRbVdIdzZuLVZVX3BrTWgtZUNCejkxdkRKTUFqeXZKaC1Ic1RselBFcmxDdWRFSlNrcTkxYmh1bm1wZ0xtZzRnNzBqNmVtZGV1dkxSMG81Zmw1UWJEVGxUZGw3cE9FYjh5VU1mamw4Zzl2alNDNmlyTFJESU9qVjF2?oc=5,2024-08-05 14:14:07,Kalinga TV,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPYnVWWnpUVGZrNjFEdVB3aWdJaDA0eGxuOTRVWk9ScExrNjlqYmlxMjlkaFBpTU12VWRrS1VZRWNNcXM4a3NMV3R1cDAzNjh3cHoweGhaQ3A4OUZpVkk0RlZ0SjNjRHNuTUJndGxWUWJtMGdZMlZzaDhhVXAzUEptdDJxOHZULUhDbng4UmhGa1VKbGZ1UTJpbDBZNNIBoAFBVV95cUxPRXd2Q05YUjNYMXFOb1JBSHloem5QYW9nNjdXVEpzLUJRbVdIdzZuLVZVX3BrTWgtZUNCejkxdkRKTUFqeXZKaC1Ic1RselBFcmxDdWRFSlNrcTkxYmh1bm1wZ0xtZzRnNzBqNmVtZGV1dkxSMG81Zmw1UWJEVGxUZGw3cE9FYjh5VU1mamw4Zzl2alNDNmlyTFJESU9qVjF2?oc=5"" target=""_blank"">MeT predicts light to moderate rain in Odisha for the next 7 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kalinga TV</font>",
"Weather Update: IMD predicts light to moderate rains in Delhi, heavy rainfall in 10 states - Business Today",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPamxORFRsa1RCVjhGc0JmbEhVdEh6MVc2RG9VX0k4b0JvMFY1bWZlbkJkRVZqajIxR3ROOVBBbTBEUERyRmVOUmg2MURidWFBcG1MNnlidVl3SC1iSnlITlE2VWF0UzRUd0drWk10UXNBTFNTdlNCbkhYM0ZzTkZsZUk1eHY0dGNsRDlHV0ZfS1k5Xy1qUXdDQldmdXJZMnlhVGp4U3hveUZfRVNsMTFuMUtmd0xvVWg0NURUN0ZvcWhxQTlXWDNMWmV5RWc0ZERtWDBhRGUyX0J2X3ZVZUhGVg?oc=5,2024-08-06 07:57:30,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPamxORFRsa1RCVjhGc0JmbEhVdEh6MVc2RG9VX0k4b0JvMFY1bWZlbkJkRVZqajIxR3ROOVBBbTBEUERyRmVOUmg2MURidWFBcG1MNnlidVl3SC1iSnlITlE2VWF0UzRUd0drWk10UXNBTFNTdlNCbkhYM0ZzTkZsZUk1eHY0dGNsRDlHV0ZfS1k5Xy1qUXdDQldmdXJZMnlhVGp4U3hveUZfRVNsMTFuMUtmd0xvVWg0NURUN0ZvcWhxQTlXWDNMWmV5RWc0ZERtWDBhRGUyX0J2X3ZVZUhGVg?oc=5"" target=""_blank"">Weather Update: IMD predicts light to moderate rains in Delhi, heavy rainfall in 10 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",
"Weather update: IMD issues orange alert in 10 states, yellow alert for heavy rainfall in Delhi today | Today News - Mint",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPemFnV1NDRzducG4tTlF5TXRoMXlUMzhRalhKVVRLTVhMcmNtSkhiY3FSc0FEVFY2bGN5andTcUJVM3BJb19CN3ExUFU4bWtKbjFNUXFQTWVWTTdPX1VuTWRiV0RLV1FJRkxzaTkzbVhtWWYwZ1E2Xy1FS2xKUm1FUVJfZ0VEenNYVE9nc1R3aUFXYnpteUIzaGpCbkpva3lpT1N1YXc2ZlFrQ0hGajI3dlRoemQxd3FOUHBIMWtiYXVodG1BLTYwRG5nTl9IZjAxenFZWWM1amRvSFA2MW5xaklQS0ZXYUk2MHfSAe8BQVVfeXFMTzZYbzhFWFpjY0dKWk1EM2xkSDV0Qk1sRlE2TEdPVWNyTjRDTGlVMkhQS2I0ZV9ZZGxYRFFSMWpSMkZ1bTd5Z3o1cUoxc0JrT0M2ZFgwZER4M1RVaktkMUtFVHRqU1dwcllaNU1McnRKVDVNVTVoODZFd1lqdUhzVFhma01VdXNVR3JBekVsU0xleS1iRU1MM2c5Y0ZIa1NURFpvZzd1eHZPS2ppTV9xb2t0Y1JMUHNtbVRjWTBfMnVwYktXa0lnMTA4ZWI2Xzd6MEViYjFRTUNVOWxsbFdrMkI4cF9QbkRvTWxmaHNRSEk?oc=5,2024-08-06 06:46:35,Mint,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPemFnV1NDRzducG4tTlF5TXRoMXlUMzhRalhKVVRLTVhMcmNtSkhiY3FSc0FEVFY2bGN5andTcUJVM3BJb19CN3ExUFU4bWtKbjFNUXFQTWVWTTdPX1VuTWRiV0RLV1FJRkxzaTkzbVhtWWYwZ1E2Xy1FS2xKUm1FUVJfZ0VEenNYVE9nc1R3aUFXYnpteUIzaGpCbkpva3lpT1N1YXc2ZlFrQ0hGajI3dlRoemQxd3FOUHBIMWtiYXVodG1BLTYwRG5nTl9IZjAxenFZWWM1amRvSFA2MW5xaklQS0ZXYUk2MHfSAe8BQVVfeXFMTzZYbzhFWFpjY0dKWk1EM2xkSDV0Qk1sRlE2TEdPVWNyTjRDTGlVMkhQS2I0ZV9ZZGxYRFFSMWpSMkZ1bTd5Z3o1cUoxc0JrT0M2ZFgwZER4M1RVaktkMUtFVHRqU1dwcllaNU1McnRKVDVNVTVoODZFd1lqdUhzVFhma01VdXNVR3JBekVsU0xleS1iRU1MM2c5Y0ZIa1NURFpvZzd1eHZPS2ppTV9xb2t0Y1JMUHNtbVRjWTBfMnVwYktXa0lnMTA4ZWI2Xzd6MEViYjFRTUNVOWxsbFdrMkI4cF9QbkRvTWxmaHNRSEk?oc=5"" target=""_blank"">Weather update: IMD issues orange alert in 10 states, yellow alert for heavy rainfall in Delhi today | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
J’khand to get more rain from today: IMD - The Times of India,https://news.google.com/rss/articles/CBMixwFBVV95cUxOR193R0pkanUtbXEtM19BUFR3OWVpcnI5UUlwdER0WHozYXZyay1FT1RES2RZQllTSm9FLWItNEdBWXFUeEdibldXZW8tcWkyM25SalhBN0hXRXFFRXNxajFQTHNzaUJ2SURXaVhHVnFzV1FaTy1nRGdab2QzUXJSNjRYMjduQzZPYklxTk5NeFVVRk54YkxOaVhHT3pFQUNhRFlHSktFUnlLZTRVejhaU0lsczhYWVliMU9TbmZ3SnF2Sjl0YlN30gHMAUFVX3lxTE5vRzVmbnczM0h4cTBrSVotbzZ3ZHlrNjBSTExMcTJjQVREZHdScmpJREFLX0xjSlJidG1sMmdmcEJ1Yk4tZzJEZkZicXVsX1F5TlR0Z25BbzFhSnl4OW50ZXV1SXhaM2I4XzVYeTdwRFlicndzcl9SRkxZUVBLMlVWOGtvOXEwM2paZWJrclZrb0RzcGFLUjZKUFUwSkd1a3dMSll6cGppVkdOaHU4MW5LUmMyNXFOTVByRF9UQ3lfQkcwdnczMTAxcWZfWQ?oc=5,2024-08-06 05:26:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOR193R0pkanUtbXEtM19BUFR3OWVpcnI5UUlwdER0WHozYXZyay1FT1RES2RZQllTSm9FLWItNEdBWXFUeEdibldXZW8tcWkyM25SalhBN0hXRXFFRXNxajFQTHNzaUJ2SURXaVhHVnFzV1FaTy1nRGdab2QzUXJSNjRYMjduQzZPYklxTk5NeFVVRk54YkxOaVhHT3pFQUNhRFlHSktFUnlLZTRVejhaU0lsczhYWVliMU9TbmZ3SnF2Sjl0YlN30gHMAUFVX3lxTE5vRzVmbnczM0h4cTBrSVotbzZ3ZHlrNjBSTExMcTJjQVREZHdScmpJREFLX0xjSlJidG1sMmdmcEJ1Yk4tZzJEZkZicXVsX1F5TlR0Z25BbzFhSnl4OW50ZXV1SXhaM2I4XzVYeTdwRFlicndzcl9SRkxZUVBLMlVWOGtvOXEwM2paZWJrclZrb0RzcGFLUjZKUFUwSkd1a3dMSll6cGppVkdOaHU4MW5LUmMyNXFOTVByRF9UQ3lfQkcwdnczMTAxcWZfWQ?oc=5"" target=""_blank"">J’khand to get more rain from today: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
India News | Heavy Rain Forecast in Most Parts of Odisha for Three Days - LatestLY,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQWnVYVWpfdkc0R3Z2LVRFenJHOFUxeEx4S0lnQTdldHotMWdzNUJ6ZDVRNzRpWG9BazJ3bzRoRnAxLWNzMXdDQjUxQVcwVXRtbnJXd2tPNDVkbWFRcEtUZHllR19fV2ZSYTlaejF2YVpibUF1OVdVakVvM2ZpZF81RGpRd2lrdk5NTms5clZKalYtb2psdGJqVldRVWxfUXVyMXc2MHNPR2VrWHBCbHZTdUphY0h2R3ltNVpJ0gHAAUFVX3lxTE1GWjBDa2txaEhVQ3k2T1VlNTNMc0VabE14UDR4dVdRbm9JeTFlbFpzUTFETEZMal9DZ1ZYaXljQ2t2c1dMeUthTV9ZU2FqUmVBRVg0alhEWUdSdVVDelliV2pIWE5lWjlZTlp2eGVKSGVLbUJ0aTlFNl9DeE1GT2kwQXdqdFNTMDJESGdUV2JsY0E4QmNROER5dGpvNS1UNVNVa1R1bGktWG4wVzN1OG52SW15LS1LN0hOdDJFaFFDRA?oc=5,2024-08-05 22:34:16,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQWnVYVWpfdkc0R3Z2LVRFenJHOFUxeEx4S0lnQTdldHotMWdzNUJ6ZDVRNzRpWG9BazJ3bzRoRnAxLWNzMXdDQjUxQVcwVXRtbnJXd2tPNDVkbWFRcEtUZHllR19fV2ZSYTlaejF2YVpibUF1OVdVakVvM2ZpZF81RGpRd2lrdk5NTms5clZKalYtb2psdGJqVldRVWxfUXVyMXc2MHNPR2VrWHBCbHZTdUphY0h2R3ltNVpJ0gHAAUFVX3lxTE1GWjBDa2txaEhVQ3k2T1VlNTNMc0VabE14UDR4dVdRbm9JeTFlbFpzUTFETEZMal9DZ1ZYaXljQ2t2c1dMeUthTV9ZU2FqUmVBRVg0alhEWUdSdVVDelliV2pIWE5lWjlZTlp2eGVKSGVLbUJ0aTlFNl9DeE1GT2kwQXdqdFNTMDJESGdUV2JsY0E4QmNROER5dGpvNS1UNVNVa1R1bGktWG4wVzN1OG52SW15LS1LN0hOdDJFaFFDRA?oc=5"" target=""_blank"">India News | Heavy Rain Forecast in Most Parts of Odisha for Three Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",
Water Level Rising Significantly In Odisha’s Hirakud Dam - Ommcom News,https://news.google.com/rss/articles/CBMilAFBVV95cUxQMDR3ZnFUN2c2eWxmTVplbHBxWmpBWjg4aUdhZUxhZE5HTHczTFRDYzllLWQ3bjVpZUpxNkdUWDh0clpJdjBTZGhFaUt3bGRGMnZacFZoalNES2hTNWpmVzRYMThCMUJ1YzE1eWZZdXRwQTh6UmNoQ2RGeVVIOC1rdmtBQUJtNlRxU2xQNGdIZ1RTMFpk?oc=5,2024-08-06 09:19:52,Ommcom News,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQMDR3ZnFUN2c2eWxmTVplbHBxWmpBWjg4aUdhZUxhZE5HTHczTFRDYzllLWQ3bjVpZUpxNkdUWDh0clpJdjBTZGhFaUt3bGRGMnZacFZoalNES2hTNWpmVzRYMThCMUJ1YzE1eWZZdXRwQTh6UmNoQ2RGeVVIOC1rdmtBQUJtNlRxU2xQNGdIZ1RTMFpk?oc=5"" target=""_blank"">Water Level Rising Significantly In Odisha’s Hirakud Dam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ommcom News</font>",
Odisha Braces for Heavy Rainfall Over Next Three Days - Devdiscourse,https://news.google.com/rss/articles/CBMiugFBVV95cUxOWWVMakhzak9SaG42VmFYZGYyZE9UeWIyeDhFV1hIS25IYzNfYVVJMFcxRksyUFQtbzNyZkRqajFqLVdLZTk0OVpzRHRPOVd6ZF80QmpZWU82LS1IQ3RUeVMxQ0JxczM3cXhOUUZFNnlvOVl4dkcxY2RoRVVZSjdDYnItRnE2cmNhRGVyWFk2Z3EySVoxSkdsSEtyU0xzTnJqZVl5STM0OFVScHdLYnVTYlhDSGJRR0M1YWfSAb8BQVVfeXFMTkJJbVVRX3QxeWE4VlIzLUhSSVFoOUZ0X0hHZktyOF9KVjc0ckpNUFU3SnVxNUxLQXNMQXdhUm0xV0F5NzVpOWdlaXZxS1gxb2pEOGtfeXQ4RzhzTTg1ajVCZk9IdkIzVGctSzA4MHQycXlwc05UTDhNWWJkSnJiSkJJYlFBZnRkUS1MQUhZSVVHMmN1bFRRTEVRUmpDLWphdUJPTUQ2UC1rbUVFX3JzWjFIU0R3V19BNGh1NkFXT3c?oc=5,2024-08-05 22:32:33,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOWWVMakhzak9SaG42VmFYZGYyZE9UeWIyeDhFV1hIS25IYzNfYVVJMFcxRksyUFQtbzNyZkRqajFqLVdLZTk0OVpzRHRPOVd6ZF80QmpZWU82LS1IQ3RUeVMxQ0JxczM3cXhOUUZFNnlvOVl4dkcxY2RoRVVZSjdDYnItRnE2cmNhRGVyWFk2Z3EySVoxSkdsSEtyU0xzTnJqZVl5STM0OFVScHdLYnVTYlhDSGJRR0M1YWfSAb8BQVVfeXFMTkJJbVVRX3QxeWE4VlIzLUhSSVFoOUZ0X0hHZktyOF9KVjc0ckpNUFU3SnVxNUxLQXNMQXdhUm0xV0F5NzVpOWdlaXZxS1gxb2pEOGtfeXQ4RzhzTTg1ajVCZk9IdkIzVGctSzA4MHQycXlwc05UTDhNWWJkSnJiSkJJYlFBZnRkUS1MQUhZSVVHMmN1bFRRTEVRUmpDLWphdUJPTUQ2UC1rbUVFX3JzWjFIU0R3V19BNGh1NkFXT3c?oc=5"" target=""_blank"">Odisha Braces for Heavy Rainfall Over Next Three Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",
