Title,Link,Date,Source,Summary,Place
IMD warns heavy rainfall in Odisha next 24 hours - Odisha News In English,https://news.google.com/rss/articles/CBMiggFBVV95cUxNb29hV3ZCalNjb0U0NjRXOWxDU0tmZHU2SEllTDhqb3lXVkpOdUh3M1hEOHVMejdZbmhJNTU2MDgtOHd0c1FFMEpkc09OYVJHbVhMUnZiVTc2NVFVa1luZmk0VUt5akNIMnRFMDMzSWtQXzVUMHQtc05SaWdDZ192aVF3?oc=5,2024-09-22 18:43:25,Odisha News In English,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNb29hV3ZCalNjb0U0NjRXOWxDU0tmZHU2SEllTDhqb3lXVkpOdUh3M1hEOHVMejdZbmhJNTU2MDgtOHd0c1FFMEpkc09OYVJHbVhMUnZiVTc2NVFVa1luZmk0VUt5akNIMnRFMDMzSWtQXzVUMHQtc05SaWdDZ192aVF3?oc=5"" target=""_blank"">IMD warns heavy rainfall in Odisha next 24 hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha News In English</font>",
Weather Forecast: IMD predicts isolated heavy rainfall across India this week as monsoon retreats - The Financial Express,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPOFNvdDdJTTg1TGF2M0pTTURvLXltcTFLU0RVaDdYQ3FJZmZNY201NjdGSWFnMkVvZlBCeFBEb3BjamdMTTluWlZrYWhsUEdjSUJNSnh1aFdmMUlDamhRNWFfZElOVTJPQnBJMG01TlE4VlVlWGIyRk55czJKajVHUkd0MV9EWkpLZHBxS1AxOHU2a2VLaEdvdG5Oazh0MXBLRmRqaEJUM0lKd010YU0xRjh2V3FKWDJ3Szhoa2RQZUpsLVpObEhyQzBVdzhIU1hHa2toTE1IblZLWnBnTTRHUFR5UdIB6gFBVV95cUxQRkVkWXhIZy1mTkltRmpHWXZTYmZvNVY4V1p4WHROLXlPREF2YU0wa1RNam1GbTlfd18tOGw2RFE3enRsVlRqeUxCU1RBSUZVeWxHb19NZjJZODF2YmFTYUVHSGtKcVdCZ19pb09oVExkZkdsZXZVN3ptS3lHYXN6SXUyTUNLbWFEZWJ3Z1NKb3lhdUZMekR5Rk55bUFMTDdZVk5ZMDJOUzU4alFaYVI4b18taEFmYWNYT3Y2SFBBSk9rTGxSaWs5WGZieHVLT1BWSzZUcTZzbzR4T19WMk5WNXdRVXlOSE45OHc?oc=5,2024-09-23 08:40:11,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPOFNvdDdJTTg1TGF2M0pTTURvLXltcTFLU0RVaDdYQ3FJZmZNY201NjdGSWFnMkVvZlBCeFBEb3BjamdMTTluWlZrYWhsUEdjSUJNSnh1aFdmMUlDamhRNWFfZElOVTJPQnBJMG01TlE4VlVlWGIyRk55czJKajVHUkd0MV9EWkpLZHBxS1AxOHU2a2VLaEdvdG5Oazh0MXBLRmRqaEJUM0lKd010YU0xRjh2V3FKWDJ3Szhoa2RQZUpsLVpObEhyQzBVdzhIU1hHa2toTE1IblZLWnBnTTRHUFR5UdIB6gFBVV95cUxQRkVkWXhIZy1mTkltRmpHWXZTYmZvNVY4V1p4WHROLXlPREF2YU0wa1RNam1GbTlfd18tOGw2RFE3enRsVlRqeUxCU1RBSUZVeWxHb19NZjJZODF2YmFTYUVHSGtKcVdCZ19pb09oVExkZkdsZXZVN3ptS3lHYXN6SXUyTUNLbWFEZWJ3Z1NKb3lhdUZMekR5Rk55bUFMTDdZVk5ZMDJOUzU4alFaYVI4b18taEFmYWNYT3Y2SFBBSk9rTGxSaWs5WGZieHVLT1BWSzZUcTZzbzR4T19WMk5WNXdRVXlOSE45OHc?oc=5"" target=""_blank"">Weather Forecast: IMD predicts isolated heavy rainfall across India this week as monsoon retreats</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
Mumbai Weather Update: Week-Long Thundershowers Or Rains Expected In City - Free Press Journal,https://news.google.com/rss/articles/CBMisAFBVV95cUxOTEtyN2taOG9MTGswVXJDdFZVOXRYSlFfdW90S1lYQ0hzbUpCa2FJU1VNRFlkUXkwSVNReUEwZ3IxWEdXQ243QUZiWjNfdnBiZVdlR2owdlZjOEpXaHdNbktfRFI2ejhZSDRITGN0QXVqLWtPYVZLSmVOWnJBUWVhNVBNQkxDZVlKVDZRMVgxTEtzZ3VTUk5lZ2VwX3V6dkkwb1p3a29TajFYX01ucERYZdIBtgFBVV95cUxPdzBGcVhESE9jSjVLOGFpcU1nYmRzOG1tSF9UQjBfN0ZQMWQzVVZxUHRjUVNLck90ZHkyVW5ubDYwOV8wNHZWTHFRWDJUVnFCeFFUT3pJV0E3QzU5VXVBQUQ2b0RITFJvSFFWTi1vMHRjYlJyZURSYk9LNGVZaEpMemFVeEJsWVR6eVVDM1lwdGhYei1iQ1FLbzBTMkNXMEFOZ2lCbEFhdEUzenFaV1paZ1I5UUJNZw?oc=5,2024-09-23 08:58:14,Free Press Journal,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOTEtyN2taOG9MTGswVXJDdFZVOXRYSlFfdW90S1lYQ0hzbUpCa2FJU1VNRFlkUXkwSVNReUEwZ3IxWEdXQ243QUZiWjNfdnBiZVdlR2owdlZjOEpXaHdNbktfRFI2ejhZSDRITGN0QXVqLWtPYVZLSmVOWnJBUWVhNVBNQkxDZVlKVDZRMVgxTEtzZ3VTUk5lZ2VwX3V6dkkwb1p3a29TajFYX01ucERYZdIBtgFBVV95cUxPdzBGcVhESE9jSjVLOGFpcU1nYmRzOG1tSF9UQjBfN0ZQMWQzVVZxUHRjUVNLck90ZHkyVW5ubDYwOV8wNHZWTHFRWDJUVnFCeFFUT3pJV0E3QzU5VXVBQUQ2b0RITFJvSFFWTi1vMHRjYlJyZURSYk9LNGVZaEpMemFVeEJsWVR6eVVDM1lwdGhYei1iQ1FLbzBTMkNXMEFOZ2lCbEFhdEUzenFaV1paZ1I5UUJNZw?oc=5"" target=""_blank"">Mumbai Weather Update: Week-Long Thundershowers Or Rains Expected In City</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Free Press Journal</font>",
"Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update - Times Bull",https://news.google.com/rss/articles/CBMitgFBVV95cUxQR2xwOGNiQi1RNy1DNTduRjZoUFQ1dVdwRWtQRmoxdEEzczRBRWZySURuQ05VeUxoblUzNld5Tnh6RnJ2SDFidERxRE5OME9XSU5id1lMSHJWM2hfZm1zVmN1Nnd0MFBPQVh4bGEwdlMyem5XaXpsdTJVa1J1aVpHTFZsczc5WS1OTENXMkdicEtINkJkcnlwbVQ2UkFVQ21tSDI2VUhhVUpzZmVvczFqNnB6SXlTQQ?oc=5,2024-09-23 07:23:47,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQR2xwOGNiQi1RNy1DNTduRjZoUFQ1dVdwRWtQRmoxdEEzczRBRWZySURuQ05VeUxoblUzNld5Tnh6RnJ2SDFidERxRE5OME9XSU5id1lMSHJWM2hfZm1zVmN1Nnd0MFBPQVh4bGEwdlMyem5XaXpsdTJVa1J1aVpHTFZsczc5WS1OTENXMkdicEtINkJkcnlwbVQ2UkFVQ21tSDI2VUhhVUpzZmVvczFqNnB6SXlTQQ?oc=5"" target=""_blank"">Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
Odisha Women U-19 cricket team announced - Odisha News In English,https://news.google.com/rss/articles/CBMidkFVX3lxTE4wUDQ1TENxNHNXQll3MHVmUmNvTWdFRHNQT29IaHlXRjYtQnJvaE9MLW1vVUFfYzV3dlU0azlKOG5GQkFEaTA5ZjdUQkV5Q3A0N3BpQjVldEFCR3dBdURMWlZQOGxUQkZFSS10eGItaThWYTN0OWc?oc=5,2024-09-22 20:22:57,Odisha News In English,"<a href=""https://news.google.com/rss/articles/CBMidkFVX3lxTE4wUDQ1TENxNHNXQll3MHVmUmNvTWdFRHNQT29IaHlXRjYtQnJvaE9MLW1vVUFfYzV3dlU0azlKOG5GQkFEaTA5ZjdUQkV5Q3A0N3BpQjVldEFCR3dBdURMWlZQOGxUQkZFSS10eGItaThWYTN0OWc?oc=5"" target=""_blank"">Odisha Women U-19 cricket team announced</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha News In English</font>",
Odisha CM cancelled Mayurbhanj's visit due to helicopter technical snag - Odisha News In English,https://news.google.com/rss/articles/CBMinwFBVV95cUxPWXk2enFRSkgwRnZ5aDctSmFrQ2ZNeDNZYTBLUGJ4aGpIeTZDY3IzRnlqbGNFR1ZQVU1uWVlKMTlWWW00bENrZ1A2am1UeHN6UVdjMUJmZVM1UHpNb2xjejRsMGpDNUJZblVNMl9naUJRS0VCMlVCbE52VVRFWFRjeXZiaThHZE1Hd2VTRlA0dVRCT2NHZkRRRDJxbEtvLUE?oc=5,2024-09-22 20:17:56,Odisha News In English,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPWXk2enFRSkgwRnZ5aDctSmFrQ2ZNeDNZYTBLUGJ4aGpIeTZDY3IzRnlqbGNFR1ZQVU1uWVlKMTlWWW00bENrZ1A2am1UeHN6UVdjMUJmZVM1UHpNb2xjejRsMGpDNUJZblVNMl9naUJRS0VCMlVCbE52VVRFWFRjeXZiaThHZE1Hd2VTRlA0dVRCT2NHZkRRRDJxbEtvLUE?oc=5"" target=""_blank"">Odisha CM cancelled Mayurbhanj's visit due to helicopter technical snag</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha News In English</font>",
"Tomorrow’s weather 23 September 2024: Sunshine in Delhi-NCR and snowfall on the mountains, know what will be the condition of Uttar Pradesh tomorrow, read the weather update - Presswire18",https://news.google.com/rss/articles/CBMinwJBVV95cUxOR3lBSmw5d0RVOHJobHVSNnd3OFltbGtkSl9lcVdVV1lkekhCTkJzNWJDWVJHam5lZ21pWlJDOU5EdzdkMUJ0SE9mV2J6SmpiWUduX1AxbkdURDNNRUtmZU1lVTZBc0lSV1NxMjIydms4V3pZeDMtQkpZbGZUU2V0LWtCWnNDOEFQQzBEM0ZkN0ZNNG5Ka0RiMVM1NU8tQXJscm15QlJJZXloNXVhTWdtTkJLXzZCaGJBaUczT1ZTWVdkUzZTR0lIMFR0YkxrR3JiWXNFRk9hcmVkb2lhZmJFbm9OSUxNZm5DckpGQUpLWDZmTlFmeFhnSXRUT253Vk90NlVjYkpKckE5bU5IZjFhOHhCOTI5WE94dlg5d0hIbw?oc=5,2024-09-22 16:41:02,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxOR3lBSmw5d0RVOHJobHVSNnd3OFltbGtkSl9lcVdVV1lkekhCTkJzNWJDWVJHam5lZ21pWlJDOU5EdzdkMUJ0SE9mV2J6SmpiWUduX1AxbkdURDNNRUtmZU1lVTZBc0lSV1NxMjIydms4V3pZeDMtQkpZbGZUU2V0LWtCWnNDOEFQQzBEM0ZkN0ZNNG5Ka0RiMVM1NU8tQXJscm15QlJJZXloNXVhTWdtTkJLXzZCaGJBaUczT1ZTWVdkUzZTR0lIMFR0YkxrR3JiWXNFRk9hcmVkb2lhZmJFbm9OSUxNZm5DckpGQUpLWDZmTlFmeFhnSXRUT253Vk90NlVjYkpKckE5bU5IZjFhOHhCOTI5WE94dlg5d0hIbw?oc=5"" target=""_blank"">Tomorrow’s weather 23 September 2024: Sunshine in Delhi-NCR and snowfall on the mountains, know what will be the condition of Uttar Pradesh tomorrow, read the weather update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
"Weather Update: Heavy rains predicted in Odisha & Telangana, dry weather in Delhi-NCR - News9 LIVE",https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVmZTSTJRVGlZMDljV0lpQXItYmtrTWl2MEF1bFQ2RHdjSnMwb3c4Z0N6YURLSnlDWHVjUUdTcVVOdWlwb2x3ZzdlN0N4dm13eERIY2l2RHJsRHBPU3ZIbE5majF5YkwwVnFheEtCQlNjMUdVTVBRR3BfLTNKSks4bTdFNFVIODdTc0ZjVEtpMllOTnh1UXZfcDRNMEYxRGJYV21rYXVlYnVrVFphVXRoUkszdWtPYTYwb0hSekZrLUMwREVaS242cHFubVlTRE00NnNLd19B0gHbAUFVX3lxTE9pZEY2cWw2QWNlM2ZFZzBzYlJlNTRfQUJUek5na2dmNDdSYk5ld21QZUVPZWN1OFo1VEMwdWVpVUdjeHBtVFhNWjZjR3dROEFJT2F2ZzRpRlRPZDA5MmxnSFcxV1VXN3djajNlRXBzeEZSZlZUNGV2N1hvUlRRLWpyT1ZZZjY5Mi1zOEh3ZWRGOXdiSDNEQ1RBNFYzNFFmMGVKXy05SFY0aGJkY25JVWtrRm1fZTJiTkpuR3pqcjJzXzRScGpzMmgzRWhrRnVDZWU5bklkR1BYLS0yVQ?oc=5,2024-09-23 07:17:18,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVmZTSTJRVGlZMDljV0lpQXItYmtrTWl2MEF1bFQ2RHdjSnMwb3c4Z0N6YURLSnlDWHVjUUdTcVVOdWlwb2x3ZzdlN0N4dm13eERIY2l2RHJsRHBPU3ZIbE5majF5YkwwVnFheEtCQlNjMUdVTVBRR3BfLTNKSks4bTdFNFVIODdTc0ZjVEtpMllOTnh1UXZfcDRNMEYxRGJYV21rYXVlYnVrVFphVXRoUkszdWtPYTYwb0hSekZrLUMwREVaS242cHFubVlTRE00NnNLd19B0gHbAUFVX3lxTE9pZEY2cWw2QWNlM2ZFZzBzYlJlNTRfQUJUek5na2dmNDdSYk5ld21QZUVPZWN1OFo1VEMwdWVpVUdjeHBtVFhNWjZjR3dROEFJT2F2ZzRpRlRPZDA5MmxnSFcxV1VXN3djajNlRXBzeEZSZlZUNGV2N1hvUlRRLWpyT1ZZZjY5Mi1zOEh3ZWRGOXdiSDNEQ1RBNFYzNFFmMGVKXy05SFY0aGJkY25JVWtrRm1fZTJiTkpuR3pqcjJzXzRScGpzMmgzRWhrRnVDZWU5bklkR1BYLS0yVQ?oc=5"" target=""_blank"">Weather Update: Heavy rains predicted in Odisha & Telangana, dry weather in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
"23 September Weather: Monsoon days are over, its departure begins today; these 13 states will get drenched on their way - AnyTV News",https://news.google.com/rss/articles/CBMi4gFBVV95cUxNeFFMelRUMGdoUWFOY1BWX0xYVFhEeTloWmZwM1BBRWRCelFOUmJjUWtyVE8wVFY5ZGlDbHBhbTZyOXJUX0ZzRGx4Yjd5QTdvREF1djh1ek9KRlJya0JUc291WjVXUzJlejZJZGI1MmhNekppRGdOSnFTeklNd3ptYnFreFJ6WXB4bnVZVUFrOU1wbnFCVERRaUp0VHpoUHFldmhJMWt4WDZadE5XTFlIMFpyV3JTcTNXVm11OVk2MURpNS1FbG54aldtTmpnVENMNjVYSnRXU0FRME51WnYxczBn0gHnAUFVX3lxTE0tS3A1LU9CUDdsSE1sV0o5anRXNWNjdVF1NUhIdnRkSk5vamxxaXBpMDl5cGRGaVB5NEdXZ2N5Zm5BTmI2TzhrbFpnMHpCalJJUnpfSGZQQ1VhY1MtNE54Q0FLNEM1S0trOE1ZdDRGVTBpaThDcDNLWGVfQkFSa3ZwRXJrWHk3VDBQXzdlVENZbGliT0pUczdJTy1jQmczY2lDLTlTWHNkWWo3YzFNQWRXMmw4VEtiM2V5dlpZQkRidE5sbXVfSmk2OEJwX0pZTk8tMDB1SUFfV2NuUXB4YTdWWGVtekRrcw?oc=5,2024-09-23 09:55:53,AnyTV News,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNeFFMelRUMGdoUWFOY1BWX0xYVFhEeTloWmZwM1BBRWRCelFOUmJjUWtyVE8wVFY5ZGlDbHBhbTZyOXJUX0ZzRGx4Yjd5QTdvREF1djh1ek9KRlJya0JUc291WjVXUzJlejZJZGI1MmhNekppRGdOSnFTeklNd3ptYnFreFJ6WXB4bnVZVUFrOU1wbnFCVERRaUp0VHpoUHFldmhJMWt4WDZadE5XTFlIMFpyV3JTcTNXVm11OVk2MURpNS1FbG54aldtTmpnVENMNjVYSnRXU0FRME51WnYxczBn0gHnAUFVX3lxTE0tS3A1LU9CUDdsSE1sV0o5anRXNWNjdVF1NUhIdnRkSk5vamxxaXBpMDl5cGRGaVB5NEdXZ2N5Zm5BTmI2TzhrbFpnMHpCalJJUnpfSGZQQ1VhY1MtNE54Q0FLNEM1S0trOE1ZdDRGVTBpaThDcDNLWGVfQkFSa3ZwRXJrWHk3VDBQXzdlVENZbGliT0pUczdJTy1jQmczY2lDLTlTWHNkWWo3YzFNQWRXMmw4VEtiM2V5dlpZQkRidE5sbXVfSmk2OEJwX0pZTk8tMDB1SUFfV2NuUXB4YTdWWGVtekRrcw?oc=5"" target=""_blank"">23 September Weather: Monsoon days are over, its departure begins today; these 13 states will get drenched on their way</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AnyTV News</font>",
"Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update - indias.news",https://news.google.com/rss/articles/CBMioAFBVV95cUxQcGJ5UnhqaG9XMjZZTy1oQzVEWGFXRFdVNVFEMkxuamM1ODlLakVwRnpSdVB3c3JYYnZoVVZvLV81WTlURDNpZ1RBXzU2RGtKNWcxbnZWWVBJcFdnbjRZQ21DcG9JNDRocTZzeUF6Unp4bDkzWGVELVFoMzQwR0lsc3VBS2hBZmp2d0o0ajVkQWpVYmxOZHZhSnN4bUZ0S0pJ?oc=5,2024-09-23 07:40:24,indias.news,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQcGJ5UnhqaG9XMjZZTy1oQzVEWGFXRFdVNVFEMkxuamM1ODlLakVwRnpSdVB3c3JYYnZoVVZvLV81WTlURDNpZ1RBXzU2RGtKNWcxbnZWWVBJcFdnbjRZQ21DcG9JNDRocTZzeUF6Unp4bDkzWGVELVFoMzQwR0lsc3VBS2hBZmp2d0o0ajVkQWpVYmxOZHZhSnN4bUZ0S0pJ?oc=5"" target=""_blank"">Monsoon Alert: There will be heavy rain in 16 states after 24 hours, know update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
