Title,Link,Date,Source,Summary,Term,LanguageQueried
ਤਾਜ਼ਾ ਖ਼ਬਰਾਂ - Rozana Spokesman - rozanaspokesman.in,https://news.google.com/rss/articles/CBMixAFBVV95cUxPQWJoUVZTNG1TXzIxWFZzZy1wdkY5N09vZ1dEZk9fdGc1Z3pjLWtYSGhWMnB6WFAtLW9TQ1Q4VzVJTFV1ZEJpaWNLdWxEZ1MtUHdwSHJUeTlpWGtRbDdVWmlqcS1HeGJiZm45ZkhPV1FrR2NScmJEcEJxTUp5TUQ5TktjMFppMHhUZHV6Qk5PczBrTjZCY1dEQkw2NUZCUUJwUC1wck4xQ1FNNUZZN0FKbl9SRTZQem9YWXI3VGNCQ2tFN28z?oc=5,2025-05-17 13:20:55,rozanaspokesman.in,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPQWJoUVZTNG1TXzIxWFZzZy1wdkY5N09vZ1dEZk9fdGc1Z3pjLWtYSGhWMnB6WFAtLW9TQ1Q4VzVJTFV1ZEJpaWNLdWxEZ1MtUHdwSHJUeTlpWGtRbDdVWmlqcS1HeGJiZm45ZkhPV1FrR2NScmJEcEJxTUp5TUQ5TktjMFppMHhUZHV6Qk5PczBrTjZCY1dEQkw2NUZCUUJwUC1wck4xQ1FNNUZZN0FKbl9SRTZQem9YWXI3VGNCQ2tFN28z?oc=5"" target=""_blank"">ਤਾਜ਼ਾ ਖ਼ਬਰਾਂ - Rozana Spokesman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">rozanaspokesman.in</font>",Disaster,pa
"ਪੰਜਾਬ 'ਚ ਤੇਜ਼ ਤੂਫਾਨ-ਗਰਜ ਸਣੇ ਬਿਜਲੀ ਡਿੱਗਣ ਦਾ ਅਲਰਟ, ਜਾਣੋ ਮੌਸਮ ਦੀ ਤਾਜ਼ਾ ਅਪਡੇਟ... - ABP Punjabi",https://news.google.com/rss/articles/CBMi1AFBVV95cUxNSF8ySEZLd3JfOG9mYjJxVHNINXMyMlRJNVhUX25qTzhlNEZVMFVvUTBFVzNhcGlIWlRWdGRnN3pOWXJpY2hzalFYa3dsSWs5N0lRN3NEZlVpWXQ0MjlETTBJRDdIUHBRV1V2a0QwczB4aF93RWh2ajFKNXZ2bVBoQV9vbEN3ZktJdTd5dzktUUh6MG9jQVRIVnc3Z2FnMlpveXVVblBVa2E0QThJQlRqRTdoY3hLY2dLaG1lTUttbWlYUndqUmVQd1hWNlVpbDFlX3ZYaNIB1AFBVV95cUxNSF8ySEZLd3JfOG9mYjJxVHNINXMyMlRJNVhUX25qTzhlNEZVMFVvUTBFVzNhcGlIWlRWdGRnN3pOWXJpY2hzalFYa3dsSWs5N0lRN3NEZlVpWXQ0MjlETTBJRDdIUHBRV1V2a0QwczB4aF93RWh2ajFKNXZ2bVBoQV9vbEN3ZktJdTd5dzktUUh6MG9jQVRIVnc3Z2FnMlpveXVVblBVa2E0QThJQlRqRTdoY3hLY2dLaG1lTUttbWlYUndqUmVQd1hWNlVpbDFlX3ZYaA?oc=5,2025-05-17 11:56:53,ABP Punjabi,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNSF8ySEZLd3JfOG9mYjJxVHNINXMyMlRJNVhUX25qTzhlNEZVMFVvUTBFVzNhcGlIWlRWdGRnN3pOWXJpY2hzalFYa3dsSWs5N0lRN3NEZlVpWXQ0MjlETTBJRDdIUHBRV1V2a0QwczB4aF93RWh2ajFKNXZ2bVBoQV9vbEN3ZktJdTd5dzktUUh6MG9jQVRIVnc3Z2FnMlpveXVVblBVa2E0QThJQlRqRTdoY3hLY2dLaG1lTUttbWlYUndqUmVQd1hWNlVpbDFlX3ZYaNIB1AFBVV95cUxNSF8ySEZLd3JfOG9mYjJxVHNINXMyMlRJNVhUX25qTzhlNEZVMFVvUTBFVzNhcGlIWlRWdGRnN3pOWXJpY2hzalFYa3dsSWs5N0lRN3NEZlVpWXQ0MjlETTBJRDdIUHBRV1V2a0QwczB4aF93RWh2ajFKNXZ2bVBoQV9vbEN3ZktJdTd5dzktUUh6MG9jQVRIVnc3Z2FnMlpveXVVblBVa2E0QThJQlRqRTdoY3hLY2dLaG1lTUttbWlYUndqUmVQd1hWNlVpbDFlX3ZYaA?oc=5"" target=""_blank"">ਪੰਜਾਬ 'ਚ ਤੇਜ਼ ਤੂਫਾਨ-ਗਰਜ ਸਣੇ ਬਿਜਲੀ ਡਿੱਗਣ ਦਾ ਅਲਰਟ, ਜਾਣੋ ਮੌਸਮ ਦੀ ਤਾਜ਼ਾ ਅਪਡੇਟ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Punjabi</font>",Disaster,pa
Tornado in USA: ਅਮਰੀਕਾ ਦੇ ਸੇਂਟ ਲੁਈਸ ’ਚ ਆਏ ਭਿਆਨਕ ਤੂਫ਼ਾਨ ਕਾਰਨ ਪੰਜ ਲੋਕਾਂ ਦੀ ਮੌਤ - rozanaspokesman.in,https://news.google.com/rss/articles/CBMivgFBVV95cUxQR1hzRjJObjdBaDQzM2w3QkVTMGJQcVpqN01IWlIwUXdLa1MtckswTUtJbDRwbm0wRThOcGJheWNGbGJaRFFFc2ItN0Y2REJXS3k0U2xTSVRLcGxma3VwWWxUWHFmWUZ5Tjl6Sm5EbFhlN0VwYzNoVFpSdmtRSjV3Rm8xZjNKYjRQRV9MaGQzNzF0cXA3ZUcwV3VHR2MwN05mWkVzaU5wOFFuUHJZbS15dHBhMWRaSEhab3I3RUN30gHDAUFVX3lxTE45Q2ZoM2R2OGNiaDhCZzlyUm5hRGRFb25SNG44YnhScmRYVHdaTld1anEwSjhMODNaYk42LVNzRlFlVFhFZVNfY3JORUZLT2d3M1RwU09xRTgyVG5EMGFDbW5uRVBQQV96WlJUbTMyM2d2Vmk3MXdKUm1ZU0Nub1FTOEtTTXFHZGdDWDh6RzV2dEduR3EyV0VlNFI1bnpCTU5RWFZPZHQtZXAtV2Vvc2ctWEhJdkxjS2dObzJBTFp6VFMzTQ?oc=5,2025-05-17 11:58:00,rozanaspokesman.in,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQR1hzRjJObjdBaDQzM2w3QkVTMGJQcVpqN01IWlIwUXdLa1MtckswTUtJbDRwbm0wRThOcGJheWNGbGJaRFFFc2ItN0Y2REJXS3k0U2xTSVRLcGxma3VwWWxUWHFmWUZ5Tjl6Sm5EbFhlN0VwYzNoVFpSdmtRSjV3Rm8xZjNKYjRQRV9MaGQzNzF0cXA3ZUcwV3VHR2MwN05mWkVzaU5wOFFuUHJZbS15dHBhMWRaSEhab3I3RUN30gHDAUFVX3lxTE45Q2ZoM2R2OGNiaDhCZzlyUm5hRGRFb25SNG44YnhScmRYVHdaTld1anEwSjhMODNaYk42LVNzRlFlVFhFZVNfY3JORUZLT2d3M1RwU09xRTgyVG5EMGFDbW5uRVBQQV96WlJUbTMyM2d2Vmk3MXdKUm1ZU0Nub1FTOEtTTXFHZGdDWDh6RzV2dEduR3EyV0VlNFI1bnpCTU5RWFZPZHQtZXAtV2Vvc2ctWEhJdkxjS2dObzJBTFp6VFMzTQ?oc=5"" target=""_blank"">Tornado in USA: ਅਮਰੀਕਾ ਦੇ ਸੇਂਟ ਲੁਈਸ ’ਚ ਆਏ ਭਿਆਨਕ ਤੂਫ਼ਾਨ ਕਾਰਨ ਪੰਜ ਲੋਕਾਂ ਦੀ ਮੌਤ</a>&nbsp;&nbsp;<font color=""#6f6f6f"">rozanaspokesman.in</font>",Disaster,pa
Fake ‘Cyclone Shakti’ news sparks panic; met expert explains cyclonic circulation vs storm - Mint,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPQnZFeGVOcWJVcUxMUUFMRzB6TTc3ZnJFWkxjMnhDRm1ZWUxuMVFJSFY4NkJIdmxFZ2d3Z0JST0Vkek5KS1RiRkVnbEZiSGJmTmZYT2hqdUVydjJaMkZrVjJOMk82T05vOW4xTktUZU9XMUt1TUcxc1NscTlJT2FjcnNKdFRvdEZkU2JOMThTSjN5R0dFLU5mcTJZTTdFOHpOTUs5akNKZTB3LTdRZnVSeWtVd2dEMVdhbGwxb2dWUkE4NVFBbF9PNElFWjJCVUNZLUVR0gHYAUFVX3lxTE1EZmFjZ2VHcjItd0haSmNNMWJONzQ5Wl9vVzdTbzBtWmNjY0NBaTFOcFo2cm5SWWVHVnBOY2hVN3pkWXVhS2NaMkpRVUdSem1ITmQ0WDNkU0NxNkJPYVNMcVlOa0NxaU9CVlFMVE5xaVppUWo2dVpzcVUxTUJoQ3lWRVMxSy1GZFZCbEhwQlFCWVlQVlA2bzRwemwzcHBCRmVaTGlsMERoRUl4MHAzR185a2FTRHF0YTktVjNRNU5vME9BOG1PQ2s3blg3LXVKdDRGM016aS15cw?oc=5,2025-05-18 07:25:29,Mint,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPQnZFeGVOcWJVcUxMUUFMRzB6TTc3ZnJFWkxjMnhDRm1ZWUxuMVFJSFY4NkJIdmxFZ2d3Z0JST0Vkek5KS1RiRkVnbEZiSGJmTmZYT2hqdUVydjJaMkZrVjJOMk82T05vOW4xTktUZU9XMUt1TUcxc1NscTlJT2FjcnNKdFRvdEZkU2JOMThTSjN5R0dFLU5mcTJZTTdFOHpOTUs5akNKZTB3LTdRZnVSeWtVd2dEMVdhbGwxb2dWUkE4NVFBbF9PNElFWjJCVUNZLUVR0gHYAUFVX3lxTE1EZmFjZ2VHcjItd0haSmNNMWJONzQ5Wl9vVzdTbzBtWmNjY0NBaTFOcFo2cm5SWWVHVnBOY2hVN3pkWXVhS2NaMkpRVUdSem1ITmQ0WDNkU0NxNkJPYVNMcVlOa0NxaU9CVlFMVE5xaVppUWo2dVpzcVUxTUJoQ3lWRVMxSy1GZFZCbEhwQlFCWVlQVlA2bzRwemwzcHBCRmVaTGlsMERoRUl4MHAzR185a2FTRHF0YTktVjNRNU5vME9BOG1PQ2s3blg3LXVKdDRGM016aS15cw?oc=5"" target=""_blank"">Fake ‘Cyclone Shakti’ news sparks panic; met expert explains cyclonic circulation vs storm</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Disaster,en
"Severe Midwest weather, including tornado, leaves 14 dead in Kentucky; 7 in Missouri - The Indian Express",https://news.google.com/rss/articles/CBMivAFBVV95cUxNNEp1SV8teTh3d3lqVkFiUWpSV1NIZTlPMXJmb1hnV1FjOTR3YmI2aFhkSGFmVTRGeWZxYXFYREdPQ2VxTnZjaV9CTmRTc0h2QWhtVC1WZWRBY2JlWXdQTWw3R2JfN0N3V0tnOW9IMFFGRzVhVTlkV3VYdmtMSWJHU3lfZFhRaGNoQ0FoWlV5RmFjb2NVWFVjMkR0aU1DNWpld3NJeFpsMW51SFhmcUNHc3hub20wblJfWW50YtIBwwFBVV95cUxPSkZ6amd5MmpLUDZqZzZKZ3daOXRCMWxIOUZUekJ6MWZWYi0ydE1CR2Ezb2JpZ1BiellMdENqeHZIejhkT3ZrM05ScU44QUF6emEtQ3A0S3hBYnV2cnM0NTI2cHczZFlPZ1BEb3VEMV96MzZlSU11bTU3LVZfUTJLb1hSdENXMTJfNFBqZHI1WlN2Wm85dmlwamZTa2UzQlZqTUd5RHRoVEJ3Y1d2bjhMN3A1UHpmTnZaUWRWMFp6SXUxOW8?oc=5,2025-05-17 22:49:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNNEp1SV8teTh3d3lqVkFiUWpSV1NIZTlPMXJmb1hnV1FjOTR3YmI2aFhkSGFmVTRGeWZxYXFYREdPQ2VxTnZjaV9CTmRTc0h2QWhtVC1WZWRBY2JlWXdQTWw3R2JfN0N3V0tnOW9IMFFGRzVhVTlkV3VYdmtMSWJHU3lfZFhRaGNoQ0FoWlV5RmFjb2NVWFVjMkR0aU1DNWpld3NJeFpsMW51SFhmcUNHc3hub20wblJfWW50YtIBwwFBVV95cUxPSkZ6amd5MmpLUDZqZzZKZ3daOXRCMWxIOUZUekJ6MWZWYi0ydE1CR2Ezb2JpZ1BiellMdENqeHZIejhkT3ZrM05ScU44QUF6emEtQ3A0S3hBYnV2cnM0NTI2cHczZFlPZ1BEb3VEMV96MzZlSU11bTU3LVZfUTJLb1hSdENXMTJfNFBqZHI1WlN2Wm85dmlwamZTa2UzQlZqTUd5RHRoVEJ3Y1d2bjhMN3A1UHpmTnZaUWRWMFp6SXUxOW8?oc=5"" target=""_blank"">Severe Midwest weather, including tornado, leaves 14 dead in Kentucky; 7 in Missouri</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"21 killed as suspected tornadoes hit Missouri, Kentucky - Yes Punjab News",https://news.google.com/rss/articles/CBMigwFBVV95cUxOZXAxRGp6RVNSRzBES2pxeWZkZlh4T0VfRDAyRENiRHlBcGRDdGJBN2ZSNVpBN21kNFlVNVFiMURZNVZubXBMd2VGNjAyVE83c0luMHlRMmdTb2ZQSlcxeTlTajE5YjRWU3pURmtyd3EzY3laUGJOa1hHZnlEWDdEdUx4TQ?oc=5,2025-05-18 08:59:15,Yes Punjab News,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOZXAxRGp6RVNSRzBES2pxeWZkZlh4T0VfRDAyRENiRHlBcGRDdGJBN2ZSNVpBN21kNFlVNVFiMURZNVZubXBMd2VGNjAyVE83c0luMHlRMmdTb2ZQSlcxeTlTajE5YjRWU3pURmtyd3EzY3laUGJOa1hHZnlEWDdEdUx4TQ?oc=5"" target=""_blank"">21 killed as suspected tornadoes hit Missouri, Kentucky</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Yes Punjab News</font>",Disaster,en
"Severe Midwest weather, including a tornado, leaves at least 14 dead in Kentucky; 7 dead in Missouri - The Economic Times",https://news.google.com/rss/articles/CBMikwJBVV95cUxOcXlvUkhOU2dXcFpCcUFsYmZWVTM5MGFqZU1XVTZzWTBtMXpJaFFhZk5hSldZWExRRFAwUlotZmFaRVlKa2xvZjU5NS1oWkIxV0p3TkVoMUc2ZmR3UXNLMWozQjdJS2pxRkhMR2ROWVRhcXdSdHF3Z1B0Q3ZZc28zb0E4MkYzdGRjOGREY3ZwTHl0b3dZekFLRlkxeDZSMHdLaS1LdURUQlJ1ZWt0cm83WDBkeVNLQ00zOHFFWndQOHlaNjZYNDdUM1QxcVU3bVgtdENkM1VIYXVaTmRVWG9ycFlDWUZKNU5XdlZjQlNvUk5xRFprd183ZEhuSFBpT2c1RV9jXzBPZVZmR2JsTW1Rc0haY9IBkwJBVV95cUxOcXlvUkhOU2dXcFpCcUFsYmZWVTM5MGFqZU1XVTZzWTBtMXpJaFFhZk5hSldZWExRRFAwUlotZmFaRVlKa2xvZjU5NS1oWkIxV0p3TkVoMUc2ZmR3UXNLMWozQjdJS2pxRkhMR2ROWVRhcXdSdHF3Z1B0Q3ZZc28zb0E4MkYzdGRjOGREY3ZwTHl0b3dZekFLRlkxeDZSMHdLaS1LdURUQlJ1ZWt0cm83WDBkeVNLQ00zOHFFWndQOHlaNjZYNDdUM1QxcVU3bVgtdENkM1VIYXVaTmRVWG9ycFlDWUZKNU5XdlZjQlNvUk5xRFprd183ZEhuSFBpT2c1RV9jXzBPZVZmR2JsTW1Rc0haYw?oc=5,2025-05-17 17:47:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMikwJBVV95cUxOcXlvUkhOU2dXcFpCcUFsYmZWVTM5MGFqZU1XVTZzWTBtMXpJaFFhZk5hSldZWExRRFAwUlotZmFaRVlKa2xvZjU5NS1oWkIxV0p3TkVoMUc2ZmR3UXNLMWozQjdJS2pxRkhMR2ROWVRhcXdSdHF3Z1B0Q3ZZc28zb0E4MkYzdGRjOGREY3ZwTHl0b3dZekFLRlkxeDZSMHdLaS1LdURUQlJ1ZWt0cm83WDBkeVNLQ00zOHFFWndQOHlaNjZYNDdUM1QxcVU3bVgtdENkM1VIYXVaTmRVWG9ycFlDWUZKNU5XdlZjQlNvUk5xRFprd183ZEhuSFBpT2c1RV9jXzBPZVZmR2JsTW1Rc0haY9IBkwJBVV95cUxOcXlvUkhOU2dXcFpCcUFsYmZWVTM5MGFqZU1XVTZzWTBtMXpJaFFhZk5hSldZWExRRFAwUlotZmFaRVlKa2xvZjU5NS1oWkIxV0p3TkVoMUc2ZmR3UXNLMWozQjdJS2pxRkhMR2ROWVRhcXdSdHF3Z1B0Q3ZZc28zb0E4MkYzdGRjOGREY3ZwTHl0b3dZekFLRlkxeDZSMHdLaS1LdURUQlJ1ZWt0cm83WDBkeVNLQ00zOHFFWndQOHlaNjZYNDdUM1QxcVU3bVgtdENkM1VIYXVaTmRVWG9ycFlDWUZKNU5XdlZjQlNvUk5xRFprd183ZEhuSFBpT2c1RV9jXzBPZVZmR2JsTW1Rc0haYw?oc=5"" target=""_blank"">Severe Midwest weather, including a tornado, leaves at least 14 dead in Kentucky; 7 dead in Missouri</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
GRAP-1 returns to Delhi as dust from Pakistan takes city's AQI to poor category - MSN,https://news.google.com/rss/articles/CBMixgFBVV95cUxNQ3dhbm1GdDlfblZxXzB1eC1hRFlkVmItM25wX21vLWMwQ2h3VjY2enpQX0NhYUt1ZXBWWERVQm1HMlVMYU1hRURCbV92ZDJjQi01amNQVk1sM0M0Rmt3RC1fMHp0Vm1Va2llSXlBaFZ1YTJNbTk2ZjNpWGtOalBGa21rb0p2VzM5Y2NIeG1iVU5nUGJYUzIzc1g2U0lsN0JoeTE1WmVxUGIxWFJTMnlOVU1oMGw1ZEgyZEUtME1oSzlSTGlRT3c?oc=5,2025-05-18 06:30:40,MSN,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNQ3dhbm1GdDlfblZxXzB1eC1hRFlkVmItM25wX21vLWMwQ2h3VjY2enpQX0NhYUt1ZXBWWERVQm1HMlVMYU1hRURCbV92ZDJjQi01amNQVk1sM0M0Rmt3RC1fMHp0Vm1Va2llSXlBaFZ1YTJNbTk2ZjNpWGtOalBGa21rb0p2VzM5Y2NIeG1iVU5nUGJYUzIzc1g2U0lsN0JoeTE1WmVxUGIxWFJTMnlOVU1oMGw1ZEgyZEUtME1oSzlSTGlRT3c?oc=5"" target=""_blank"">GRAP-1 returns to Delhi as dust from Pakistan takes city's AQI to poor category</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
US: Around 16 dead as tornadoes rip through Missouri and Kentucky; widespread power outages reported - Babushahi.com,https://news.google.com/rss/articles/CBMiXkFVX3lxTE55X1I3a0RtMzNBYkFyM2cyQ0pOalZUdVQwMG5wZVllRldQWkNjYlB3TmVhN1FGal9OYjVSay1lekRnTGVUMi1XLWpEd0tLVlNfTU9Wd1BvNWNYcnczZVE?oc=5,2025-05-17 19:44:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTE55X1I3a0RtMzNBYkFyM2cyQ0pOalZUdVQwMG5wZVllRldQWkNjYlB3TmVhN1FGal9OYjVSay1lekRnTGVUMi1XLWpEd0tLVlNfTU9Wd1BvNWNYcnczZVE?oc=5"" target=""_blank"">US: Around 16 dead as tornadoes rip through Missouri and Kentucky; widespread power outages reported</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",Disaster,en
"At least 23 dead amid severe storm in Midwest and South US, 14 killed in Kentucky: All you need to know - Mint",https://news.google.com/rss/articles/CBMi8AFBVV95cUxPME5JcW1PbXowMFBIcUJIY2YtQzBEUjJfa1UxY3l6bWJTVl82M1NxUUxxNHdsZGkxTmg2Rzl1WkhLV0pnUzdoM0FqQlVCek9yWkFlTHRyQnZRX2VGeUE1NVBZU0RjWHJSbUE1bTBHM0xyOUxScTR3Uk1iakg0UUJETTRDSjBscWU5VnlldUtQeGxoNExTUjA1dUJXSkp0VlM3dEVTTllmSVpXc1N2aUFuOFNyc242RnkxTUxneXZhQlliOXNORDJGdkJfQ3h0ZVdyWVdPOHhvNFJqd0xnaDlHSk0yOFBneURWY195ZkZ1Zk7SAfYBQVVfeXFMTTBUZ0lUQW1MVlpzR3hfZHh1dm8wVUdmVWZTWUswS3o5dU1ZVVI2Q19fLU12YzlobnpxZE5kWmVhUEI4Skh6M2s0a3VCRVpmeU95a3BYQl9XVlJiQ0ZmTEFnY0IxdUt5bFRvLXBQMmhDWjBxRnJ4NV82N0lmbFhUSTBjOGJrbnh3dWNPNDBvQmh0blBiLTBNM0EzYkZrTkVvWEdPM1YtZVZQN2pOVVl3VzlEbzNZRVl1NW5TT3ZYdnl5QjEyR1p5b2wwTmdHZ2hxOXJoOWJWSzViejc3VE5EejRfUElLRTdTNlhWSDVrbkYxRmlGT0RB?oc=5,2025-05-17 22:34:50,Mint,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxPME5JcW1PbXowMFBIcUJIY2YtQzBEUjJfa1UxY3l6bWJTVl82M1NxUUxxNHdsZGkxTmg2Rzl1WkhLV0pnUzdoM0FqQlVCek9yWkFlTHRyQnZRX2VGeUE1NVBZU0RjWHJSbUE1bTBHM0xyOUxScTR3Uk1iakg0UUJETTRDSjBscWU5VnlldUtQeGxoNExTUjA1dUJXSkp0VlM3dEVTTllmSVpXc1N2aUFuOFNyc242RnkxTUxneXZhQlliOXNORDJGdkJfQ3h0ZVdyWVdPOHhvNFJqd0xnaDlHSk0yOFBneURWY195ZkZ1Zk7SAfYBQVVfeXFMTTBUZ0lUQW1MVlpzR3hfZHh1dm8wVUdmVWZTWUswS3o5dU1ZVVI2Q19fLU12YzlobnpxZE5kWmVhUEI4Skh6M2s0a3VCRVpmeU95a3BYQl9XVlJiQ0ZmTEFnY0IxdUt5bFRvLXBQMmhDWjBxRnJ4NV82N0lmbFhUSTBjOGJrbnh3dWNPNDBvQmh0blBiLTBNM0EzYkZrTkVvWEdPM1YtZVZQN2pOVVl3VzlEbzNZRVl1NW5TT3ZYdnl5QjEyR1p5b2wwTmdHZ2hxOXJoOWJWSzViejc3VE5EejRfUElLRTdTNlhWSDVrbkYxRmlGT0RB?oc=5"" target=""_blank"">At least 23 dead amid severe storm in Midwest and South US, 14 killed in Kentucky: All you need to know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",Disaster,en
