Title,Link,Date,Source,Summary,Term,LanguageQueried
28 killed across Punjab in rain-related incidents over last 24 hours: rescue official - Dawn,https://news.google.com/rss/articles/CBMiSEFVX3lxTE4tWjkweTUxTzVFOURUQjRWbXNuaTdTLXlmVklvTFFOSmtVeWI1X1R6VUFkLVRTVWpIVVliLVJSMUpObnctbTRSctIBTkFVX3lxTE13ZndyU2Y0b25oMmVPQ09kcXhXXzZ4bEY3R3BDM3JYMGgxY1BEYi13RWNITThfOWlqVkFPTWZPZk0xRVcxaF9oT0R5V2NnZw?oc=5,2025-07-16 18:44:36,Dawn,"<a href=""https://news.google.com/rss/articles/CBMiSEFVX3lxTE4tWjkweTUxTzVFOURUQjRWbXNuaTdTLXlmVklvTFFOSmtVeWI1X1R6VUFkLVRTVWpIVVliLVJSMUpObnctbTRSctIBTkFVX3lxTE13ZndyU2Y0b25oMmVPQ09kcXhXXzZ4bEY3R3BDM3JYMGgxY1BEYi13RWNITThfOWlqVkFPTWZPZk0xRVcxaF9oT0R5V2NnZw?oc=5"" target=""_blank"">28 killed across Punjab in rain-related incidents over last 24 hours: rescue official</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dawn</font>",Disaster,en
"Pakistan: 6 killed, dozens injured as heavy monsoon rains lash Punjab, low-lying areas submerged - MSN",https://news.google.com/rss/articles/CBMi2AFBVV95cUxNazNEMWNXSC1YTlMzWTZUOXVsV3BnME1aNXc5T2QyaFZ1ck10eHItcVo5Z1B6RTJjSVRWYWo1azRabmVhd3ZNRGhncjRTZ3FEVW1qSkNkcUpQWTl1NlNhWEQwd3FZdWRrOEJ5Z2hkay1uTl80enI4SkhjT1hKcEJnV0VhS3BORjRYckp0X29HanBRRU1NeUhYUXRoYklUaFk0R0t6cjlGWmNxeFV0QnFHa1JOTFNIZUFJLVp2dFdfeVc2QUpSYTlNR3VQQ3FpdkNYWDF1UHlJLWk?oc=5,2025-07-16 13:17:59,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNazNEMWNXSC1YTlMzWTZUOXVsV3BnME1aNXc5T2QyaFZ1ck10eHItcVo5Z1B6RTJjSVRWYWo1azRabmVhd3ZNRGhncjRTZ3FEVW1qSkNkcUpQWTl1NlNhWEQwd3FZdWRrOEJ5Z2hkay1uTl80enI4SkhjT1hKcEJnV0VhS3BORjRYckp0X29HanBRRU1NeUhYUXRoYklUaFk0R0t6cjlGWmNxeFV0QnFHa1JOTFNIZUFJLVp2dFdfeVc2QUpSYTlNR3VQQ3FpdkNYWDF1UHlJLWk?oc=5"" target=""_blank"">Pakistan: 6 killed, dozens injured as heavy monsoon rains lash Punjab, low-lying areas submerged</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"World’s oldest marathon runner, known as ‘Turbaned Torpedo,’ dies at 114 in hit-and-run - MSN",https://news.google.com/rss/articles/CBMizwFBVV95cUxOV3dOQzRHODBTMXFtNGw5UllBLW1kM1ZlWkhCWlAxVXZncm10NnNEQVlTRGxacW5rX1hoRi1WSmM1eXZQSVVCeVJHdUt4cHRWSHo4UGtZV1NmclJTR1J4NGVqU29rekdGUUZKTFFNWEl6czVDVU9pMUhiVGo5UjhJd0tQVkZEMFdBVTNxd0NyRlhabVg0QUVKT0hwRjFQeVRSdWM3YVZpQ0N3TGZvcWJpUWNDT1NRc0gxbkFYVjFGUkRBcU1KLThyOFdmbVhJTzQ?oc=5,2025-07-16 13:19:14,MSN,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOV3dOQzRHODBTMXFtNGw5UllBLW1kM1ZlWkhCWlAxVXZncm10NnNEQVlTRGxacW5rX1hoRi1WSmM1eXZQSVVCeVJHdUt4cHRWSHo4UGtZV1NmclJTR1J4NGVqU29rekdGUUZKTFFNWEl6czVDVU9pMUhiVGo5UjhJd0tQVkZEMFdBVTNxd0NyRlhabVg0QUVKT0hwRjFQeVRSdWM3YVZpQ0N3TGZvcWJpUWNDT1NRc0gxbkFYVjFGUkRBcU1KLThyOFdmbVhJTzQ?oc=5"" target=""_blank"">World’s oldest marathon runner, known as ‘Turbaned Torpedo,’ dies at 114 in hit-and-run</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Multi-day severe storm, tornado risk builds in Ontario and Quebec - MSN",https://news.google.com/rss/articles/CBMivgFBVV95cUxOZm5rQmtJcEZ4SURMSnBBOXhXWFJOeVhXSHc5TWp2bXY4akpLVjc3X3JIQ1RSYlFCWTd6aTJrRDRMU0FsUXRnRS1MY1Rsb2NadkdvazF5TkQ4MFRQb1g3SERuWEhKOWVzTG5mVHVBcjh5ck1LNS1rZVpIdkg2T0poMlVtWTJoalFkZV94b3RYNXR3Z1I1OURMTGhqR1RBS3B1dUF2VS1kZXpqTjdnUGFPaXdWMFZ5NUtSWWpHeG93?oc=5,2025-07-16 16:35:07,MSN,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOZm5rQmtJcEZ4SURMSnBBOXhXWFJOeVhXSHc5TWp2bXY4akpLVjc3X3JIQ1RSYlFCWTd6aTJrRDRMU0FsUXRnRS1MY1Rsb2NadkdvazF5TkQ4MFRQb1g3SERuWEhKOWVzTG5mVHVBcjh5ck1LNS1rZVpIdkg2T0poMlVtWTJoalFkZV94b3RYNXR3Z1I1OURMTGhqR1RBS3B1dUF2VS1kZXpqTjdnUGFPaXdWMFZ5NUtSWWpHeG93?oc=5"" target=""_blank"">Multi-day severe storm, tornado risk builds in Ontario and Quebec</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Flash flood fear: NDMA issues red alert for Punjab, KP & Balochistan - Daily Times",https://news.google.com/rss/articles/CBMioAFBVV95cUxPZUFnZWcxMFVvT0xjaklMSXk0RXdBdVdEd01LS0VlNU1JNnBmeVJZeG1lY3J5QThIVi1WVXVQZ3BHWHdqcGh5OTM3Y0lEWndjZTFzUVM3TndJc1hHSDhVbkNNdWhIZENGcEJEWHpjME9NVXFpWUxYaEVfZXBSdUVEZVF3X3Fpa1BTWEQ2ZnlFQ1ZHeUgzUWVmckQtSVFJWUdl0gGmAUFVX3lxTE16RWhlT2lUWkY1dDFvcF9IM1R6ek51cVM5UTNWT2ltNXVBNC1NdHRfckR4QlVPMTM3Sk5hVy1saUFiWmcyMlpwN0ZfZ1hNV3ZuWlZVbnRZNTVVdUZoZ3NKVjlCbk5KU1A0U29YLTFwZXdtZzN6V0RSbGlWa2ZWeXNkQUQwNnlCOHRibTRDajFrd0xnNUFLVkN4VnlPVDRMZmFzdy1iOEE?oc=5,2025-07-17 05:50:23,Daily Times,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxPZUFnZWcxMFVvT0xjaklMSXk0RXdBdVdEd01LS0VlNU1JNnBmeVJZeG1lY3J5QThIVi1WVXVQZ3BHWHdqcGh5OTM3Y0lEWndjZTFzUVM3TndJc1hHSDhVbkNNdWhIZENGcEJEWHpjME9NVXFpWUxYaEVfZXBSdUVEZVF3X3Fpa1BTWEQ2ZnlFQ1ZHeUgzUWVmckQtSVFJWUdl0gGmAUFVX3lxTE16RWhlT2lUWkY1dDFvcF9IM1R6ek51cVM5UTNWT2ltNXVBNC1NdHRfckR4QlVPMTM3Sk5hVy1saUFiWmcyMlpwN0ZfZ1hNV3ZuWlZVbnRZNTVVdUZoZ3NKVjlCbk5KU1A0U29YLTFwZXdtZzN6V0RSbGlWa2ZWeXNkQUQwNnlCOHRibTRDajFrd0xnNUFLVkN4VnlPVDRMZmFzdy1iOEE?oc=5"" target=""_blank"">Flash flood fear: NDMA issues red alert for Punjab, KP & Balochistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Times</font>",Disaster,en
"Heavy rains kill 27, injure 46 across Punjab - Minute Mirror",https://news.google.com/rss/articles/CBMihgFBVV95cUxPdE1SYllwcmgzS1A4QkJ0RkZYSjBPUWdsYk84QXZ2alNHYVRCMmd2eUYxcmZVSmZDejFRQXk0bjA3U0NtbEpGVjl6LXBFSktSUXVLamcxbHdtQlNHUC1tcFQ1aGw4bTdqeGRreDBMY1ZqWl9STkpNQUViUXBDd29NWktIcHYxZw?oc=5,2025-07-16 23:11:13,Minute Mirror,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxPdE1SYllwcmgzS1A4QkJ0RkZYSjBPUWdsYk84QXZ2alNHYVRCMmd2eUYxcmZVSmZDejFRQXk0bjA3U0NtbEpGVjl6LXBFSktSUXVLamcxbHdtQlNHUC1tcFQ1aGw4bTdqeGRreDBMY1ZqWl9STkpNQUViUXBDd29NWktIcHYxZw?oc=5"" target=""_blank"">Heavy rains kill 27, injure 46 across Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Minute Mirror</font>",Disaster,en
"Rains, windstorms kill 31 in Punjab - The News International",https://news.google.com/rss/articles/CBMigAFBVV95cUxNZm5YQ2JKWmd1azZWUUY5a3dzeGVvRkZxZFBYdFBPZFBDamN4M1RlM1JIcVVGWkx0Y3JDVUhqbDdlTHo1MFlTMTcwVVBoTWlCR3YwUklaRGFmS1l5NlNFOVVCbXNJOW5JQzBWU1JIZ0p6RVd4VXFYMXdNMHBYT2pXZNIBfkFVX3lxTFBZZFZqUlBqblB3bklmX25sbFF1enRETHVxUGNTbE1Ia3NmRWlYckQwdXJ2amNoeDAxTDFXOG9ETFpUYnRnYndFTkQ4alp4VnBxVjNWY0x0bmNkTnNHb2t2a0FfQUNxeHBCdjRFcG9CT0U1NGN5N2JKWVVWZ3ZOZw?oc=5,2025-07-17 08:15:27,The News International,"<a href=""https://news.google.com/rss/articles/CBMigAFBVV95cUxNZm5YQ2JKWmd1azZWUUY5a3dzeGVvRkZxZFBYdFBPZFBDamN4M1RlM1JIcVVGWkx0Y3JDVUhqbDdlTHo1MFlTMTcwVVBoTWlCR3YwUklaRGFmS1l5NlNFOVVCbXNJOW5JQzBWU1JIZ0p6RVd4VXFYMXdNMHBYT2pXZNIBfkFVX3lxTFBZZFZqUlBqblB3bklmX25sbFF1enRETHVxUGNTbE1Ia3NmRWlYckQwdXJ2amNoeDAxTDFXOG9ETFpUYnRnYndFTkQ4alp4VnBxVjNWY0x0bmNkTnNHb2t2a0FfQUNxeHBCdjRFcG9CT0U1NGN5N2JKWVVWZ3ZOZw?oc=5"" target=""_blank"">Rains, windstorms kill 31 in Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News International</font>",Disaster,en
Deadly Monsoon Rains: 33 Dead in Punjab Province - INCPak,https://news.google.com/rss/articles/CBMihwFBVV95cUxQbmZsWGNPZlozSld2RDdta0lfQVlNU2NzZl9ZR1UxZm1CTzdMSWxHeHoycUptNjc5bF9adkYtZ3AyMVNTR2tJMGxaek9lcjcyTEQzWkRVNWZTTjVFQlZzZ1B5Z0p5TS1HM3NwR2RHck1ZbEY2bWswX19BeTJ2XzJ3bnJrVUFfcGc?oc=5,2025-07-17 09:50:09,INCPak,"<a href=""https://news.google.com/rss/articles/CBMihwFBVV95cUxQbmZsWGNPZlozSld2RDdta0lfQVlNU2NzZl9ZR1UxZm1CTzdMSWxHeHoycUptNjc5bF9adkYtZ3AyMVNTR2tJMGxaek9lcjcyTEQzWkRVNWZTTjVFQlZzZ1B5Z0p5TS1HM3NwR2RHck1ZbEY2bWswX19BeTJ2XzJ3bnJrVUFfcGc?oc=5"" target=""_blank"">Deadly Monsoon Rains: 33 Dead in Punjab Province</a>&nbsp;&nbsp;<font color=""#6f6f6f"">INCPak</font>",Disaster,en
"Monsoon storms kill 27 across Punjab, more rain expected - Daily Times",https://news.google.com/rss/articles/CBMilAFBVV95cUxQSWZfRlEzTmc1LXZhc1c4aGtwOG00V3BqOTNSSDlodHI3S3JPV2gtZmVvTVozVC12VktSVW1CQVBJU2N2Q296LURVZ3BmVzRqOWJfMUtvRFhzU0pfVDN2ZVlOREJrRkNMWjJfN1JteE1TTEtwZzJUS3RBSjVrX2dsTENRaXd3aXpSSmRPYTZRTTVGYXZ60gGaAUFVX3lxTE9KM3RBM2hWZFBRMGJqcHE3R3pzTElnQmV0UUo0NW1mc1VjVjNSb0I2WUZZbkV6Zk5USU4tMHQ3M1pwclFJaUdUYnBld0ZUV0lxV1VXbDBCRWhjU0UtYXJURXpKNnVpcHBsNERDU216a3ZEbkxOZzJJRXlIYUttYkJqUlJOTzEzekllU19UM3V5VHM2U3dDQXo2SVE?oc=5,2025-07-17 05:04:47,Daily Times,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQSWZfRlEzTmc1LXZhc1c4aGtwOG00V3BqOTNSSDlodHI3S3JPV2gtZmVvTVozVC12VktSVW1CQVBJU2N2Q296LURVZ3BmVzRqOWJfMUtvRFhzU0pfVDN2ZVlOREJrRkNMWjJfN1JteE1TTEtwZzJUS3RBSjVrX2dsTENRaXd3aXpSSmRPYTZRTTVGYXZ60gGaAUFVX3lxTE9KM3RBM2hWZFBRMGJqcHE3R3pzTElnQmV0UUo0NW1mc1VjVjNSb0I2WUZZbkV6Zk5USU4tMHQ3M1pwclFJaUdUYnBld0ZUV0lxV1VXbDBCRWhjU0UtYXJURXpKNnVpcHBsNERDU216a3ZEbkxOZzJJRXlIYUttYkJqUlJOTzEzekllU19UM3V5VHM2U3dDQXo2SVE?oc=5"" target=""_blank"">Monsoon storms kill 27 across Punjab, more rain expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Times</font>",Disaster,en
NEOC warns of more flash floods amid widespread monsoon rains - Dialogue Pakistan,https://news.google.com/rss/articles/CBMingFBVV95cUxOTFlUd2RxTEZzNmtiUlEzWXhtbmhrRWJqbFN1RWZVNjh4TUQ4Wmg4UGstc2ZUUWdfZnRnajhqdFdQZGpmX2NGVURxVVZJUElBSDNPSEpRWWJKZ05rTnRmMTd1MjB5eDJmRWlvc3k5cktwTnY2bVBsazE5czZyNFJLRVpRaVBKZTB1NjZraXVlbDBtREwzcmhTd2U3c3JHUQ?oc=5,2025-07-16 18:02:00,Dialogue Pakistan,"<a href=""https://news.google.com/rss/articles/CBMingFBVV95cUxOTFlUd2RxTEZzNmtiUlEzWXhtbmhrRWJqbFN1RWZVNjh4TUQ4Wmg4UGstc2ZUUWdfZnRnajhqdFdQZGpmX2NGVURxVVZJUElBSDNPSEpRWWJKZ05rTnRmMTd1MjB5eDJmRWlvc3k5cktwTnY2bVBsazE5czZyNFJLRVpRaVBKZTB1NjZraXVlbDBtREwzcmhTd2U3c3JHUQ?oc=5"" target=""_blank"">NEOC warns of more flash floods amid widespread monsoon rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dialogue Pakistan</font>",Disaster,en
