Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: Heatwave To Persist In Bihar, UP; Heavy Rain Likely In Kerala, Tamil Nadu, Assam Till May 16 - Jagran English",https://news.google.com/rss/articles/CBMi3gFBVV95cUxPcnhHXzFRSktEOXBhTGF1Z0E4QzhWcDQ1S0RRSlMtcXRFNlhDeWwwcmREOEdReFh0T3VyLWlJN0k0TnhWVy1tMFhvTHlHYV9VaHZoaHkzQUVtdVYtRGdCYlVZMWFsYWo2QVFvMV9paXB0UnhjS2tYdUF0b3V4SG1TVlhfYjlHX2RxdXkwSy02S3NYbzUyWDdmLWVfTU9jU09jaEJaZTdhWDJVcXpnREZiRnBZbTFPY1Rvdk1tUE1SQmg1cmNydnBvVUFDUWcyRndkWUUyQlRDT183SWlCeUE?oc=5,2025-05-13 11:21:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPcnhHXzFRSktEOXBhTGF1Z0E4QzhWcDQ1S0RRSlMtcXRFNlhDeWwwcmREOEdReFh0T3VyLWlJN0k0TnhWVy1tMFhvTHlHYV9VaHZoaHkzQUVtdVYtRGdCYlVZMWFsYWo2QVFvMV9paXB0UnhjS2tYdUF0b3V4SG1TVlhfYjlHX2RxdXkwSy02S3NYbzUyWDdmLWVfTU9jU09jaEJaZTdhWDJVcXpnREZiRnBZbTFPY1Rvdk1tUE1SQmg1cmNydnBvVUFDUWcyRndkWUUyQlRDT183SWlCeUE?oc=5"" target=""_blank"">Weather Update: Heatwave To Persist In Bihar, UP; Heavy Rain Likely In Kerala, Tamil Nadu, Assam Till May 16</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
"Schools shut in Punjab's Amritsar, Pathankot as a precautionary measure - Business Standard",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPeURya0pFdncwNnRnVHZ0YVFlM1Z3WGFDR3BDY3kwRzBZOVVocVRGUHB4RmtDYmRzay1aSjVrLXc1d2pqVkJ1NmV2V1NOeXVSZXlabXptZWpqUVNaSVpBYTY1UkY5LXFDdHdMYThSNEhULVJiRGNFS1JybkZPS1JoNHNqeWVCaDBDWVZNcjNaakNJd2FkSk9fWTJDUWtyS3lDZ3ZDTXpTYTJNZlZTbHB0NElWNG1vRTQ4SjQzZjBwM1pJaGh3X0FJeNIBzgFBVV95cUxPeXJ0OWsycGdWZUx6VEZuVFVyZ0o4Yk8wRzJvQkFlekJJVV9NOWtTZ2EyWFVzb20zOUltdGRLMmFnR1doUEtYdkNMUGp1OVhEXzgyeEhEa3BMR0REMUxyT1FPMmhsU29wc3U3ZEswdk5GNVRpaTZmQWRhZ25nUU9IWFdJQ0tPaklGN3o4RnVEejRnTlNrb1djY1F5Y2ozQ0wzUXBmenVsekpHeEEyY29vQmp5R2JrT0V4RlNSVHVDcjlZNzhTZ3A5WGhzVDlEdw?oc=5,2025-05-13 11:40:55,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPeURya0pFdncwNnRnVHZ0YVFlM1Z3WGFDR3BDY3kwRzBZOVVocVRGUHB4RmtDYmRzay1aSjVrLXc1d2pqVkJ1NmV2V1NOeXVSZXlabXptZWpqUVNaSVpBYTY1UkY5LXFDdHdMYThSNEhULVJiRGNFS1JybkZPS1JoNHNqeWVCaDBDWVZNcjNaakNJd2FkSk9fWTJDUWtyS3lDZ3ZDTXpTYTJNZlZTbHB0NElWNG1vRTQ4SjQzZjBwM1pJaGh3X0FJeNIBzgFBVV95cUxPeXJ0OWsycGdWZUx6VEZuVFVyZ0o4Yk8wRzJvQkFlekJJVV9NOWtTZ2EyWFVzb20zOUltdGRLMmFnR1doUEtYdkNMUGp1OVhEXzgyeEhEa3BMR0REMUxyT1FPMmhsU29wc3U3ZEswdk5GNVRpaTZmQWRhZ25nUU9IWFdJQ0tPaklGN3o4RnVEejRnTlNrb1djY1F5Y2ozQ0wzUXBmenVsekpHeEEyY29vQmp5R2JrT0V4RlNSVHVDcjlZNzhTZ3A5WGhzVDlEdw?oc=5"" target=""_blank"">Schools shut in Punjab's Amritsar, Pathankot as a precautionary measure</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
"Lahore, Punjab weather: Hotter days ahead - Pakistan Observer",https://news.google.com/rss/articles/CBMickFVX3lxTE4tS2pBX09IU1BGZk40dU5PRF9iTVRRdUFseHRjYUM3UmUzUko2OFpIVDRNQ2FTS1F2ODVBaTJwYV8waXVoLW0yX3E5TjRKc1VHRmtpYkdNYU85cGZwbzk5TTRETlpsZ2JCMmk2RlN0ems1Zw?oc=5,2025-05-13 22:22:52,Pakistan Observer,"<a href=""https://news.google.com/rss/articles/CBMickFVX3lxTE4tS2pBX09IU1BGZk40dU5PRF9iTVRRdUFseHRjYUM3UmUzUko2OFpIVDRNQ2FTS1F2ODVBaTJwYV8waXVoLW0yX3E5TjRKc1VHRmtpYkdNYU85cGZwbzk5TTRETlpsZ2JCMmk2RlN0ems1Zw?oc=5"" target=""_blank"">Lahore, Punjab weather: Hotter days ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pakistan Observer</font>",Heatwave,en
"Lahore, Punjab weather; rains shower relief as wet spell continues - Pakistan Observer",https://news.google.com/rss/articles/CBMikwFBVV95cUxPSzZuMHhUS3RTWTVOeU93VXVVNFpVTzBBdzBubkJhdE9URkJieFZkNkNmRUVxTE1DbkNaV0Nicjg1NUpja0VqN0RBbWZZbzhVa3FkblBpT0sxbVJKa0tyem1rbF9FOU16SnVJejFGU1JzTDR1UVZ1cWFWQVZURm9za0xuX2VpbzJZS2NMTk9vb2ZvQjg?oc=5,2025-05-13 16:11:39,Pakistan Observer,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPSzZuMHhUS3RTWTVOeU93VXVVNFpVTzBBdzBubkJhdE9URkJieFZkNkNmRUVxTE1DbkNaV0Nicjg1NUpja0VqN0RBbWZZbzhVa3FkblBpT0sxbVJKa0tyem1rbF9FOU16SnVJejFGU1JzTDR1UVZ1cWFWQVZURm9za0xuX2VpbzJZS2NMTk9vb2ZvQjg?oc=5"" target=""_blank"">Lahore, Punjab weather; rains shower relief as wet spell continues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pakistan Observer</font>",Heatwave,en
"Kolkata Weather Update: Hot & humid day on cards, sporadic rain likely throughout the day - Times of India",https://news.google.com/rss/articles/CBMi8gFBVV95cUxOOFV1SUpiTndSRjdkOU1remtyX3FyWWczQUpyZF9DbUNHd2R3ZU1FUEk3NlhFalB6YTdqZENkaXVSNlhrY2tFSXdFWVhTQklyZGRaYXoybVZtZG1vYkE0Y01tZlVhY0tLdDJOZk9VUkw4WG5YdUh6Y1BTSmo1QURLdmFOemVmZVpjeWJ5aHoyM2VrdFk2Y3kwVEpXYy1fMnpWOHVTVVJUOEVFeDdnMFFKN1FHQ2lsb3BMc0owcTZjN0VlOERXUnBLNzNnRWJBWXhKZ3VRR0J3ZjZCdTE0S0FRUUlXcE8xZzlDWDlma3p4TnFyUdIB9wFBVV95cUxOcEpuQVA2WkRpQy1fSDhTdDBlUDBlai1YbGwyTV9kdmdERG5qZ08wSDNvZDNtXzhqTDU4ZTZCLXN4VHJDcDVkcXNjTzIyNW12QXZ5RU15WDZWdG8waU1xTktOYy1fTlQyX2dYWi11U2FWbG5KeldVeURTaThiZGhzdnJVU2g5TFZXTUZ2eVpjSkNoOFRvMUJTRllVa3JOTnFERl9YMDJ0UzZpZzdrZGc3bjdSY1lFYkJiLTQtUnJEeTBCZWowVHFLQnZMX3l4c3QzTEtCN3U2VnZibEZlc1l3M04wUmt6UkRaMC1TWEJvdmxVSmNRbzln?oc=5,2025-05-13 11:07:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxOOFV1SUpiTndSRjdkOU1remtyX3FyWWczQUpyZF9DbUNHd2R3ZU1FUEk3NlhFalB6YTdqZENkaXVSNlhrY2tFSXdFWVhTQklyZGRaYXoybVZtZG1vYkE0Y01tZlVhY0tLdDJOZk9VUkw4WG5YdUh6Y1BTSmo1QURLdmFOemVmZVpjeWJ5aHoyM2VrdFk2Y3kwVEpXYy1fMnpWOHVTVVJUOEVFeDdnMFFKN1FHQ2lsb3BMc0owcTZjN0VlOERXUnBLNzNnRWJBWXhKZ3VRR0J3ZjZCdTE0S0FRUUlXcE8xZzlDWDlma3p4TnFyUdIB9wFBVV95cUxOcEpuQVA2WkRpQy1fSDhTdDBlUDBlai1YbGwyTV9kdmdERG5qZ08wSDNvZDNtXzhqTDU4ZTZCLXN4VHJDcDVkcXNjTzIyNW12QXZ5RU15WDZWdG8waU1xTktOYy1fTlQyX2dYWi11U2FWbG5KeldVeURTaThiZGhzdnJVU2g5TFZXTUZ2eVpjSkNoOFRvMUJTRllVa3JOTnFERl9YMDJ0UzZpZzdrZGc3bjdSY1lFYkJiLTQtUnJEeTBCZWowVHFLQnZMX3l4c3QzTEtCN3U2VnZibEZlc1l3M04wUmt6UkRaMC1TWEJvdmxVSmNRbzln?oc=5"" target=""_blank"">Kolkata Weather Update: Hot & humid day on cards, sporadic rain likely throughout the day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"IMD weather alert: Heavy rains in Assam and Meghalaya; heatwave conditions in Rajasthan, UP - CNBC TV18",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQWElRdmJDV2FfV3pYb0NqS0tHREtTVlRTT1F1TVEyN1FVOWUteXhWb2tOTVluVEp5bWpZa2Q4bjk5dVlWVXFKWUQwbHRLbVNnSkpZWU5fWWNjY3pMNnRYZ3Bja296X3dtd3ppblJSc05SbnQ3ZXdaWjVTcDRYRURHS3FKLXlwa19OOFVXY1Z5Wnp2elVkYWVHTnRKLWZQU2h4VGRDQzRhOHdfMkFnTUd4TzktanFScGZ0UVE5cWtHNXFnUHlaZHlMNWxJaU40bThwMmFmLWJBREdUVmJm0gHiAUFVX3lxTE9ycXV3S2xlZTdlQ0tfelctRmw5NFZnSFBQd2V1VGZpX3d0emVGQ2JGMlZzLWliajFmUk16TG5VTVlVSlNZRnA1RUR6UWdUcjN3SHgyQ3dtRkJjNG1IblM0bGVmc2VIeWJYNzFGTFp1V0IwMFN1QklwZkxsMFBCVGkwUXFyS0dIU3hiTzNxWGlzeXVDdkloTE0tdXNqRzdnSFlBcWRZb1JtTEJ3MkRUREpibUM3RDR5Mld1Q040aDZMR29TeWhQdnUwdDF5QkZwYVZrTWZxbVljLTFxNHB3NFA2SkE?oc=5,2025-05-13 10:26:13,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQWElRdmJDV2FfV3pYb0NqS0tHREtTVlRTT1F1TVEyN1FVOWUteXhWb2tOTVluVEp5bWpZa2Q4bjk5dVlWVXFKWUQwbHRLbVNnSkpZWU5fWWNjY3pMNnRYZ3Bja296X3dtd3ppblJSc05SbnQ3ZXdaWjVTcDRYRURHS3FKLXlwa19OOFVXY1Z5Wnp2elVkYWVHTnRKLWZQU2h4VGRDQzRhOHdfMkFnTUd4TzktanFScGZ0UVE5cWtHNXFnUHlaZHlMNWxJaU40bThwMmFmLWJBREdUVmJm0gHiAUFVX3lxTE9ycXV3S2xlZTdlQ0tfelctRmw5NFZnSFBQd2V1VGZpX3d0emVGQ2JGMlZzLWliajFmUk16TG5VTVlVSlNZRnA1RUR6UWdUcjN3SHgyQ3dtRkJjNG1IblM0bGVmc2VIeWJYNzFGTFp1V0IwMFN1QklwZkxsMFBCVGkwUXFyS0dIU3hiTzNxWGlzeXVDdkloTE0tdXNqRzdnSFlBcWRZb1JtTEJ3MkRUREpibUM3RDR5Mld1Q040aDZMR29TeWhQdnUwdDF5QkZwYVZrTWZxbVljLTFxNHB3NFA2SkE?oc=5"" target=""_blank"">IMD weather alert: Heavy rains in Assam and Meghalaya; heatwave conditions in Rajasthan, UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
"IMD Predicts Intense Rainfall, Thunderstorms, And Heatwaves Across India - ETV Bharat",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOOTRNWEp2V2pwaE9xVWsta2NLbmIzYVRZd1FXXy1fQU9Bek5EYklsWk9UdmhMQUVmUGo4Z0FUaXhHTWw3TDlaSzhMekRGREJhb0RJQVo5NnFlRTR0eC11NC1uMlJUVlEwNzNWN2tBZmVWd2pvb0wtYXl5YUlHOEtJSFpWRVBSUmI3S0pVZ0FfWWhIVkl5RmtraUVNOW8wUzZFNHpQTUdaNE1mY29vbGpvdGJiQzIycHlweGFzb2poaFlfSFNNMmRmQmhvMXNxaE1PZ3hCOdIB2gFBVV95cUxPdDYzSWhHSEt1cXFHOXF3WHJzN0YzazRIcFB2YnRqTE1SWi1EWVN6M0o0eEVudmhGcDNIMTlqVFotRWpqS1hqZGdKbVVleDJfRWQtWlBveVVTQlVRa3ZKRkxSZTRSbmI1QVZEbmFSQUx1MFRxVThvTU9YNTBqU2lKcks5OWJlalNZNElDZUY0MVJCRFVmZlliMEVPeWVvVjRZVllhanVDalc4by1YU1ZzMnVUaTRzNnVaNmQtNkFtZjhlX0RXb3JLTWk0a3cyRXlEc21TdEczZ21Zdw?oc=5,2025-05-13 12:29:17,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOOTRNWEp2V2pwaE9xVWsta2NLbmIzYVRZd1FXXy1fQU9Bek5EYklsWk9UdmhMQUVmUGo4Z0FUaXhHTWw3TDlaSzhMekRGREJhb0RJQVo5NnFlRTR0eC11NC1uMlJUVlEwNzNWN2tBZmVWd2pvb0wtYXl5YUlHOEtJSFpWRVBSUmI3S0pVZ0FfWWhIVkl5RmtraUVNOW8wUzZFNHpQTUdaNE1mY29vbGpvdGJiQzIycHlweGFzb2poaFlfSFNNMmRmQmhvMXNxaE1PZ3hCOdIB2gFBVV95cUxPdDYzSWhHSEt1cXFHOXF3WHJzN0YzazRIcFB2YnRqTE1SWi1EWVN6M0o0eEVudmhGcDNIMTlqVFotRWpqS1hqZGdKbVVleDJfRWQtWlBveVVTQlVRa3ZKRkxSZTRSbmI1QVZEbmFSQUx1MFRxVThvTU9YNTBqU2lKcks5OWJlalNZNElDZUY0MVJCRFVmZlliMEVPeWVvVjRZVllhanVDalc4by1YU1ZzMnVUaTRzNnVaNmQtNkFtZjhlX0RXb3JLTWk0a3cyRXlEc21TdEczZ21Zdw?oc=5"" target=""_blank"">IMD Predicts Intense Rainfall, Thunderstorms, And Heatwaves Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
Special arrangements made at Alipore Zoo in Kolkata to keep animals cool during extreme heat - ANI News,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOTjlOQmFFUWdnUEk4aHMzNkNOVTh6aGQ3WHdSWE91eDkxOEUzdm1PRFdrYUtLbEFwQnR0cmV1WHJjRnBjOEs3elBJT3RvZGRzcEpqQUF0SnNuUVcyek84ek5ra2cwWUlKMzhHb2dmSV9PaFJmYlRHNGpyME4wakNtN0FCZWtVR1RHd1lzWDZpY0Y2VUJvM0puZ015bVZxV3dpOG9QN1RBWmZIZFNoQl9Qc3Nxekd5djY1NDRyUmFjNi1tSFdUNF9odG16UW9ZbkdtY1NEWkJLU2dfRi1Vd3lNT24xY1Q5NGJWcDktOA?oc=5,2025-05-13 20:47:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOTjlOQmFFUWdnUEk4aHMzNkNOVTh6aGQ3WHdSWE91eDkxOEUzdm1PRFdrYUtLbEFwQnR0cmV1WHJjRnBjOEs3elBJT3RvZGRzcEpqQUF0SnNuUVcyek84ek5ra2cwWUlKMzhHb2dmSV9PaFJmYlRHNGpyME4wakNtN0FCZWtVR1RHd1lzWDZpY0Y2VUJvM0puZ015bVZxV3dpOG9QN1RBWmZIZFNoQl9Qc3Nxekd5djY1NDRyUmFjNi1tSFdUNF9odG16UW9ZbkdtY1NEWkJLU2dfRi1Vd3lNT24xY1Q5NGJWcDktOA?oc=5"" target=""_blank"">Special arrangements made at Alipore Zoo in Kolkata to keep animals cool during extreme heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",Heatwave,en
Directive to establish ‘heatstroke rooms’ in jails - The News International,https://news.google.com/rss/articles/CBMikwFBVV95cUxPNV9MVUZrZmQtRklwVC1sM3dUN2FQUUNxa0RpOWVBbGp1UlRBYzRRREF0bkZJSHdBd0d6MmE2Y2xMaTgzNG5qUnNYUjkzX3ljX19EUUUtX29USW1aRXQ2VXpTNV8wSlpDbUtMUlphd2xaV3NZV05jWm5XNVVkQ0pEU1h3N0QyZFRoVFEzS29RWENLZms?oc=5,2025-05-14 02:04:40,The News International,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPNV9MVUZrZmQtRklwVC1sM3dUN2FQUUNxa0RpOWVBbGp1UlRBYzRRREF0bkZJSHdBd0d6MmE2Y2xMaTgzNG5qUnNYUjkzX3ljX19EUUUtX29USW1aRXQ2VXpTNV8wSlpDbUtMUlphd2xaV3NZV05jWm5XNVVkQ0pEU1h3N0QyZFRoVFEzS29RWENLZms?oc=5"" target=""_blank"">Directive to establish ‘heatstroke rooms’ in jails</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The News International</font>",Heatwave,en
"Weather update for Lahore, Punjab; Rains, isolated hailstorms likely - Pakistan Observer",https://news.google.com/rss/articles/CBMilAFBVV95cUxQN0p5bl9TVEtWb3JvSkFjQ3B3aGY2LVBaWWEwaUVFSEdmRnM3dFRvUmdwdnJxTWZCV18wb19vSWJMdjZfck9WYUdScGpNX1I5MTB2MldmRDdhYTFxTGhBV3g4dHltTjRzVWdnUFQ2Rmx3NExOa2w1VTRLOHlvV3hpUTBDd2dqbVNFaG1VV2gxU0RXS3My?oc=5,2025-05-13 19:49:21,Pakistan Observer,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxQN0p5bl9TVEtWb3JvSkFjQ3B3aGY2LVBaWWEwaUVFSEdmRnM3dFRvUmdwdnJxTWZCV18wb19vSWJMdjZfck9WYUdScGpNX1I5MTB2MldmRDdhYTFxTGhBV3g4dHltTjRzVWdnUFQ2Rmx3NExOa2w1VTRLOHlvV3hpUTBDd2dqbVNFaG1VV2gxU0RXS3My?oc=5"" target=""_blank"">Weather update for Lahore, Punjab; Rains, isolated hailstorms likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pakistan Observer</font>",Heatwave,en
