Title,Link,Date,Source,Summary,Term,LanguageQueried
"Hot, humid weather grips Pakistan as rain looms in Northern regions - Daily Times",https://news.google.com/rss/articles/CBMiowFBVV95cUxQZFdWTWlJaXh0RERGT3pMOVROTlJPS3hnQlVBb2hqYXFERTAzS21aLTZRR1ZwdXk1Vjh3LU5lVUtxZzhraGhEUDg1cXRNOG1Ea1V0bFFQN2lQMXg5S2tGMWNpZFNLMkhrZzFfN1Nid2phVHpydmc5bDl3NVVtOU9XN0owTC14cy1iUmg5UFgyOHVWSm5XeUdsUFhmbkM2OFpzSVFv0gGoAUFVX3lxTE4zNGgwY3QtcER1TkhXb2VKYTVWZzdmd2ZueEVOYnBzNllEUjBHbmtYTlBjUGVHUUpObE5NQXY2Zk9wSldBQXhaaHFrc1Y1WXpHSVVaLW5UczlWTFBmNnBGeXNYcDVKS0dCM2thNTZUNU1lcTRFTTZBdnlEVUdfYlFEZmZtMXI4cm1aRlVjd3VWMFg5bWtXU1V4Z05naHJERkdNSGVnZDFfWQ?oc=5,2025-07-02 18:09:58,Daily Times,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxQZFdWTWlJaXh0RERGT3pMOVROTlJPS3hnQlVBb2hqYXFERTAzS21aLTZRR1ZwdXk1Vjh3LU5lVUtxZzhraGhEUDg1cXRNOG1Ea1V0bFFQN2lQMXg5S2tGMWNpZFNLMkhrZzFfN1Nid2phVHpydmc5bDl3NVVtOU9XN0owTC14cy1iUmg5UFgyOHVWSm5XeUdsUFhmbkM2OFpzSVFv0gGoAUFVX3lxTE4zNGgwY3QtcER1TkhXb2VKYTVWZzdmd2ZueEVOYnBzNllEUjBHbmtYTlBjUGVHUUpObE5NQXY2Zk9wSldBQXhaaHFrc1Y1WXpHSVVaLW5UczlWTFBmNnBGeXNYcDVKS0dCM2thNTZUNU1lcTRFTTZBdnlEVUdfYlFEZmZtMXI4cm1aRlVjd3VWMFg5bWtXU1V4Z05naHJERkdNSGVnZDFfWQ?oc=5"" target=""_blank"">Hot, humid weather grips Pakistan as rain looms in Northern regions</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Times</font>",Heatwave,en
"Met Office predicts hot, humid weather in most parts of country - nation.com.pk",https://news.google.com/rss/articles/CBMiogFBVV95cUxPSnZGaTZhalpOZi1yZ0hyWXpsNzVhX3ZHaWtKcHRRMXBFQXZDdURma1Y1UXQta3VRQnJ6QmJZZ1pWNW1YVGNjUERvTHNpTzhxSm9mWXhfX2lad0R1ZWRXeVdlNENmQ3NCLTNOTkNVNnkyd09RRk9wWTB4R1V1dW0zX2E2OTBLSFRFNmVZQl91Z0FJX3lIWVhDMERKVWlaR3Ztd3fSAbIBQVVfeXFMUEY4WmZ4WDYwUmpSQ25TVzB5SWpLMmU2TThHaExKNkVVd0xxVDZxZV9kanVqbkZvVVdjOEpudGtSeEdkUXdGcHBBTy1hVGhSUkMycUJmRUV6dTlZMmM2MlZMZXlhaVY3UG5xVmhBX1F6OW9RWGc1a3VNb0FKdHdFYTRxbEEwY19iUXNvV2ZHdGhIaEZOamN4bjRuUVM4RnNBaXFZV1JpejNEcEZKNGNaWVVodw?oc=5,2025-07-02 12:13:00,nation.com.pk,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPSnZGaTZhalpOZi1yZ0hyWXpsNzVhX3ZHaWtKcHRRMXBFQXZDdURma1Y1UXQta3VRQnJ6QmJZZ1pWNW1YVGNjUERvTHNpTzhxSm9mWXhfX2lad0R1ZWRXeVdlNENmQ3NCLTNOTkNVNnkyd09RRk9wWTB4R1V1dW0zX2E2OTBLSFRFNmVZQl91Z0FJX3lIWVhDMERKVWlaR3Ztd3fSAbIBQVVfeXFMUEY4WmZ4WDYwUmpSQ25TVzB5SWpLMmU2TThHaExKNkVVd0xxVDZxZV9kanVqbkZvVVdjOEpudGtSeEdkUXdGcHBBTy1hVGhSUkMycUJmRUV6dTlZMmM2MlZMZXlhaVY3UG5xVmhBX1F6OW9RWGc1a3VNb0FKdHdFYTRxbEEwY19iUXNvV2ZHdGhIaEZOamN4bjRuUVM4RnNBaXFZV1JpejNEcEZKNGNaWVVodw?oc=5"" target=""_blank"">Met Office predicts hot, humid weather in most parts of country</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nation.com.pk</font>",Heatwave,en
"Met office forecasts rain for some regions amid widespread heat, humidity - Aaj English TV",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9CaWdtWERLZWk1Vkc2MDNjQlZHMnAtcnZjUUt5dTROUHQ3WDFXSkFESkcxT3BqT1ZsWXRZYWxEbW9XNk1DbzMwRUNaTmRaSmN6aWxN0gFTQVVfeXFMT0JpZ21YREtlaTVWRzYwM2NCVkcycC1ydmNRS3l1NE5QdDdYMVdKQURKRzFPcGpPVmxZdFlhbERtb1c2TUNvMzBFQ1pOZFpKY3ppbE0?oc=5,2025-07-02 12:13:14,Aaj English TV,"<a href=""https://news.google.com/rss/articles/CBMiU0FVX3lxTE9CaWdtWERLZWk1Vkc2MDNjQlZHMnAtcnZjUUt5dTROUHQ3WDFXSkFESkcxT3BqT1ZsWXRZYWxEbW9XNk1DbzMwRUNaTmRaSmN6aWxN0gFTQVVfeXFMT0JpZ21YREtlaTVWRzYwM2NCVkcycC1ydmNRS3l1NE5QdDdYMVdKQURKRzFPcGpPVmxZdFlhbERtb1c2TUNvMzBFQ1pOZFpKY3ppbE0?oc=5"" target=""_blank"">Met office forecasts rain for some regions amid widespread heat, humidity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj English TV</font>",Heatwave,en
Too hot to handle: Is this heat the new normal? - MSN,https://news.google.com/rss/articles/CBMivAFBVV95cUxNLWtwOEQ5TGZGSVZRTWtvNVdKUFR6Q0ZvUkVBaXZ0ZFM1eVF2My01MWU2X0tyVDRIT1FPQ1RfOUFvXzJHdnpneVJKV3V0YUNVbkVwTEpvMHF0cVg0aDlYbmJkNHowdHVrdTFHSE5KaDFLcl9kTXFVYUk0WmNGdmkwQ0NodEQxTXh2cmVQdEt5bVVKUi1JWG9oS05ya3QwLW5DRnRMZ1lNNXQ3bXkxTzhncDVPTXdZVXl4Y0hxSw?oc=5,2025-07-02 13:56:24,MSN,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNLWtwOEQ5TGZGSVZRTWtvNVdKUFR6Q0ZvUkVBaXZ0ZFM1eVF2My01MWU2X0tyVDRIT1FPQ1RfOUFvXzJHdnpneVJKV3V0YUNVbkVwTEpvMHF0cVg0aDlYbmJkNHowdHVrdTFHSE5KaDFLcl9kTXFVYUk0WmNGdmkwQ0NodEQxTXh2cmVQdEt5bVVKUi1JWG9oS05ya3QwLW5DRnRMZ1lNNXQ3bXkxTzhncDVPTXdZVXl4Y0hxSw?oc=5"" target=""_blank"">Too hot to handle: Is this heat the new normal?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Hot and humid weather to persist across Pakistan - nation.com.pk,https://news.google.com/rss/articles/CBMijwFBVV95cUxQUW5xRWNJQ2hTQk0wZnoxcHR3S1MwOTRnZGpWX1NIMW1URG1tN2xNb2NyQVBsaWFHSEFHa19aUG1XbkQ5TlJYWGJkU1JsUGZYM05mNHQwNmpwblYzWUh0VUhMZ2xzdGRmNXN4OGxOZzRFaTRIeWkwNHZQU3lQZ1c4R3R2MkNJVDQxYmdwOExqTdIBnwFBVV95cUxPVDNsQm9wM1pYVHl0eDNHR3FNc2lHUEZZX0RCclBJUHduRTltMVhXbEdmRVpadmREYTJFQU9DalJkLUtTWTVQOVlFZVhYbU1ZOEJydUI3Uzd2S2VhT2paSnF5RC14V09YMll6OTY1dVRBNUhyNldkaDhsQl93VUIwdXpobjlDaURxYVNXbW5QTXJjZVdCV0ZHR3liTEgtOGc?oc=5,2025-07-02 12:09:17,nation.com.pk,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxQUW5xRWNJQ2hTQk0wZnoxcHR3S1MwOTRnZGpWX1NIMW1URG1tN2xNb2NyQVBsaWFHSEFHa19aUG1XbkQ5TlJYWGJkU1JsUGZYM05mNHQwNmpwblYzWUh0VUhMZ2xzdGRmNXN4OGxOZzRFaTRIeWkwNHZQU3lQZ1c4R3R2MkNJVDQxYmdwOExqTdIBnwFBVV95cUxPVDNsQm9wM1pYVHl0eDNHR3FNc2lHUEZZX0RCclBJUHduRTltMVhXbEdmRVpadmREYTJFQU9DalJkLUtTWTVQOVlFZVhYbU1ZOEJydUI3Uzd2S2VhT2paSnF5RC14V09YMll6OTY1dVRBNUhyNldkaDhsQl93VUIwdXpobjlDaURxYVNXbW5QTXJjZVdCV0ZHR3liTEgtOGc?oc=5"" target=""_blank"">Hot and humid weather to persist across Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nation.com.pk</font>",Heatwave,en
Too hot to handle: Is this heat the new normal? - DW,https://news.google.com/rss/articles/CBMiowFBVV95cUxOeVBhQTI1aXdrXzUyaU02YkVWdzVSckVqVGVsSW4zb0hDTk1PbzQyV3ZwWkVCZjRZYVRMdW9LVFVOSElwYkNiVk9jaXczczZSVUJHTjdHdUEtUHBIaUhwUVBHSWpIUDJmd3I1UjVieEoyZDduR3hSSXU1RVdJUFRiZTZpb3FXeVNrQ0JjMnc2N09oS0lNQUFSS09aRGJMODhhb1lJ0gGjAUFVX3lxTE8yYXF1d25KV0p2NFNxeFhlbFE1dXN5YU9KeXVwQ1BBZTR5Q1FPRlA4VkNhZmVha25mRV9wZnpFWTNsMmpMMlRrN2NoNWdYd29SYjBmaXB0MmVrNVd4Nk11UlFUeGphUy1tUHVha3l4MmxDVEMyVEZmTlRTUWhtWU5kZmdKWGwzTmdvUS1MM0ZvQUtOZFpoZWhWYTZ1UjREajhneGM?oc=5,2025-07-02 11:00:40,DW,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOeVBhQTI1aXdrXzUyaU02YkVWdzVSckVqVGVsSW4zb0hDTk1PbzQyV3ZwWkVCZjRZYVRMdW9LVFVOSElwYkNiVk9jaXczczZSVUJHTjdHdUEtUHBIaUhwUVBHSWpIUDJmd3I1UjVieEoyZDduR3hSSXU1RVdJUFRiZTZpb3FXeVNrQ0JjMnc2N09oS0lNQUFSS09aRGJMODhhb1lJ0gGjAUFVX3lxTE8yYXF1d25KV0p2NFNxeFhlbFE1dXN5YU9KeXVwQ1BBZTR5Q1FPRlA4VkNhZmVha25mRV9wZnpFWTNsMmpMMlRrN2NoNWdYd29SYjBmaXB0MmVrNVd4Nk11UlFUeGphUy1tUHVha3l4MmxDVEMyVEZmTlRTUWhtWU5kZmdKWGwzTmdvUS1MM0ZvQUtOZFpoZWhWYTZ1UjREajhneGM?oc=5"" target=""_blank"">Too hot to handle: Is this heat the new normal?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DW</font>",Heatwave,en
Too hot to handle: Is this heat the new normal? - Dhaka Tribune,https://news.google.com/rss/articles/CBMikAFBVV95cUxPQzlsblFCdDZ5UW52LTQxQ0V6RF9DMXF5RlBGRmwzX1p6VmFwM09aRkdmbEkzcFBxaXJpV0ZLRGpMWlotOVptSmxmTmFBRjhpZkVLZktxbzRYQVRfeU1MRy03ZVU3cGV2MHZWMTl3dUg2TTcwd1JVVXo2ck1fdk4zc1NWWFdDcENmSGFEYlNwcmzSAZYBQVVfeXFMUGdXRTlscTdPaVg0MUVZak5EZ0VSNjV6UXRFYTY3dzJZTTg2eFFzSWZYSmJSdjBXYlhobW02VHdBbVFxS1ZlZXZ4ZlVjWWUwUUxnTTAta083Mk9ra1FYZWxnaG1oQ1RoVGFhR2pFT2ExTE94YlpxVDRMYnNWUDdtNHRheXdsSEJMRF92TFl4U2l0TE9Da213?oc=5,2025-07-02 18:00:00,Dhaka Tribune,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxPQzlsblFCdDZ5UW52LTQxQ0V6RF9DMXF5RlBGRmwzX1p6VmFwM09aRkdmbEkzcFBxaXJpV0ZLRGpMWlotOVptSmxmTmFBRjhpZkVLZktxbzRYQVRfeU1MRy03ZVU3cGV2MHZWMTl3dUg2TTcwd1JVVXo2ck1fdk4zc1NWWFdDcENmSGFEYlNwcmzSAZYBQVVfeXFMUGdXRTlscTdPaVg0MUVZak5EZ0VSNjV6UXRFYTY3dzJZTTg2eFFzSWZYSmJSdjBXYlhobW02VHdBbVFxS1ZlZXZ4ZlVjWWUwUUxnTTAta083Mk9ra1FYZWxnaG1oQ1RoVGFhR2pFT2ExTE94YlpxVDRMYnNWUDdtNHRheXdsSEJMRF92TFl4U2l0TE9Da213?oc=5"" target=""_blank"">Too hot to handle: Is this heat the new normal?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dhaka Tribune</font>",Heatwave,en
"Pakistan Weather Forecast: Rain, Thunderstorms Hit Sindh, Punjab, and More in July 2025 - PhotoNews Pakistan",https://news.google.com/rss/articles/CBMibkFVX3lxTE92dlJzQ1g4NTNQSG9NNFBodFJTaXpoR0RITm1pLWwzR3JXSE9mSXFBR2JfeTItQmZDeDBZR2tPNVJfNm00cFVCNjF3bVQ3SHdsRzd6ZGJjUlZNd2tOVzhsNWlfYThoM2lqTGRHNXBn?oc=5,2025-07-02 13:34:33,PhotoNews Pakistan,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE92dlJzQ1g4NTNQSG9NNFBodFJTaXpoR0RITm1pLWwzR3JXSE9mSXFBR2JfeTItQmZDeDBZR2tPNVJfNm00cFVCNjF3bVQ3SHdsRzd6ZGJjUlZNd2tOVzhsNWlfYThoM2lqTGRHNXBn?oc=5"" target=""_blank"">Pakistan Weather Forecast: Rain, Thunderstorms Hit Sindh, Punjab, and More in July 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PhotoNews Pakistan</font>",Heatwave,en
"Karachi weather: Light rain, winds forecasted for port city - Daily Ausaf",https://news.google.com/rss/articles/CBMinAFBVV95cUxQU080Nkt1NUJlenJ5dDdIdlNZNGVwX2hfa2o0LTNwVmNQWkVSUVZIY0IxcE53Zno5Y0dkOThGTl9WWGszM180aHFFalExX1JtZktTLUV1R1kzOC1BUUtWSkdoZWFRNlUxNnVwUXBiZ0IzSmlCVlhBbGFPUUlqaDlYWTNSaE53WmJKTFNpakk1amZjV0hYcTlzSDlSazjSAaIBQVVfeXFMTzFXcnFUTVVSR1dZMXJCMWhjOG5MM0tCWXNNRjJfS2hsTGJCY19jSUZ3RU1iTXcyd1hBVW9QTEFRMzV3aDZ5djhhdlQ3Yks3eEJrSmk5U3N0d1dob2tWSVluZFRRYThtVFFtNzRMbWhqWXFHblFZa290bGItUXptYVV1dDktaDJaY3ViR0F0RmU3Wlg5YURFcklaZFZud1dHeHNR?oc=5,2025-07-02 15:37:53,Daily Ausaf,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQU080Nkt1NUJlenJ5dDdIdlNZNGVwX2hfa2o0LTNwVmNQWkVSUVZIY0IxcE53Zno5Y0dkOThGTl9WWGszM180aHFFalExX1JtZktTLUV1R1kzOC1BUUtWSkdoZWFRNlUxNnVwUXBiZ0IzSmlCVlhBbGFPUUlqaDlYWTNSaE53WmJKTFNpakk1amZjV0hYcTlzSDlSazjSAaIBQVVfeXFMTzFXcnFUTVVSR1dZMXJCMWhjOG5MM0tCWXNNRjJfS2hsTGJCY19jSUZ3RU1iTXcyd1hBVW9QTEFRMzV3aDZ5djhhdlQ3Yks3eEJrSmk5U3N0d1dob2tWSVluZFRRYThtVFFtNzRMbWhqWXFHblFZa290bGItUXptYVV1dDktaDJaY3ViR0F0RmU3Wlg5YURFcklaZFZud1dHeHNR?oc=5"" target=""_blank"">Karachi weather: Light rain, winds forecasted for port city</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Ausaf</font>",Heatwave,en
"PMD forecasts nationwide heatwave, isolated rain in Northern Pakistan - Minute Mirror",https://news.google.com/rss/articles/CBMipwFBVV95cUxPY01yaXFnTnBKT2Z6UlRSUXVmUlBpT0VnUHo4RUpVYTczMmdBWWd1ZE12eE4tV3lwcW1DWkRrZVRKX2RVYk1IZjVONmZrNXNFbDlUQ2s5eFhtRGVhMFMxdWxwQW4zOHNDX1drT2tzMExhRlFjUXVnV3lQQXh6WVBhMlB3UjJycWNUWkJyUDlrUzhQRjlpUXEzU19YVl9GWVRNOHJ1cktjQQ?oc=5,2025-07-02 11:07:38,Minute Mirror,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxPY01yaXFnTnBKT2Z6UlRSUXVmUlBpT0VnUHo4RUpVYTczMmdBWWd1ZE12eE4tV3lwcW1DWkRrZVRKX2RVYk1IZjVONmZrNXNFbDlUQ2s5eFhtRGVhMFMxdWxwQW4zOHNDX1drT2tzMExhRlFjUXVnV3lQQXh6WVBhMlB3UjJycWNUWkJyUDlrUzhQRjlpUXEzU19YVl9GWVRNOHJ1cktjQQ?oc=5"" target=""_blank"">PMD forecasts nationwide heatwave, isolated rain in Northern Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Minute Mirror</font>",Heatwave,en
