Title,Link,Date,Source,Summary,Place
"Pakistan Monsoon Floods 2024 Situation Report - August 29, 2024 - ReliefWeb",https://news.google.com/rss/articles/CBMinwFBVV95cUxQa2hDcjNXZEdmNkdxTG53Wk90QVRBeU4yTkk3Q2g1MXpVdUhqdDFCUy1HOXdqNmNRU0liWFMxcnpZTE82MHd4TDlOeFJsN05vcTc1bWlmSjhIbmJxWVZPSnpPYnNLYnZjVTFFLW9PLWYzOEZqMjRZWGl2YkZLRnFwNlpDTmhVb0l0UEQ2eXZ2ckN4dDhuSjdIbnloSUtRZ2c?oc=5,2024-08-30 15:45:04,ReliefWeb,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQa2hDcjNXZEdmNkdxTG53Wk90QVRBeU4yTkk3Q2g1MXpVdUhqdDFCUy1HOXdqNmNRU0liWFMxcnpZTE82MHd4TDlOeFJsN05vcTc1bWlmSjhIbmJxWVZPSnpPYnNLYnZjVTFFLW9PLWYzOEZqMjRZWGl2YkZLRnFwNlpDTmhVb0l0UEQ2eXZ2ckN4dDhuSjdIbnloSUtRZ2c?oc=5"" target=""_blank"">Pakistan Monsoon Floods 2024 Situation Report - August 29, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ReliefWeb</font>",
Pakistan release Shaheen Afridi from Bangladesh Test squad - Arab News,https://news.google.com/rss/articles/CBMiTkFVX3lxTE5CMWg2b28tV3JTX1M2aHdKUDhSZVV6OUxFZFlULWJxenZUcUNEMTBSVGtlVzE3YzNRdmFOWlFHODN1bHhpVDNkS01yczVrdw?oc=5,2024-08-30 21:52:32,Arab News,"<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTE5CMWg2b28tV3JTX1M2aHdKUDhSZVV6OUxFZFlULWJxenZUcUNEMTBSVGtlVzE3YzNRdmFOWlFHODN1bHhpVDNkS01yczVrdw?oc=5"" target=""_blank"">Pakistan release Shaheen Afridi from Bangladesh Test squad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arab News</font>",
Heavy Rain and Flood Warnings Across Pakistan | Monsoon 2024 | NDMA Alert - The Express Tribune,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9QSHh6eDVxWFY4YU9BT1Q1Rk50VEEwOVRYNXlzNmhXdmJHVFBiVXowVC03QU9jb1dERHZIRkx3Q0pFY0xWUVBWUzJiOEJjOVJOTlZ6N1BxYXZNNVVJUU5KOXo1UXlWblJq?oc=5,2024-08-30 18:24:31,The Express Tribune,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE9QSHh6eDVxWFY4YU9BT1Q1Rk50VEEwOVRYNXlzNmhXdmJHVFBiVXowVC03QU9jb1dERHZIRkx3Q0pFY0xWUVBWUzJiOEJjOVJOTlZ6N1BxYXZNNVVJUU5KOXo1UXlWblJq?oc=5"" target=""_blank"">Heavy Rain and Flood Warnings Across Pakistan | Monsoon 2024 | NDMA Alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Express Tribune</font>",
Pakistan sees 60% more rains than usual this monsoon season — Met Office - Arab News Pakistan,https://news.google.com/rss/articles/CBMiWEFVX3lxTE9ZZEUwREc1dTB0M0VOTTQwWi1ZMU5GZHdCbHJkaVRzZkJ1cFdnbzh2cUhZRGoyMjVSOTgwZl9HMVl6VHZWa2s4QXJUbmt2NGpMdW9JSnV0MVE?oc=5,2024-08-30 18:48:54,Arab News Pakistan,"<a href=""https://news.google.com/rss/articles/CBMiWEFVX3lxTE9ZZEUwREc1dTB0M0VOTTQwWi1ZMU5GZHdCbHJkaVRzZkJ1cFdnbzh2cUhZRGoyMjVSOTgwZl9HMVl6VHZWa2s4QXJUbmt2NGpMdW9JSnV0MVE?oc=5"" target=""_blank"">Pakistan sees 60% more rains than usual this monsoon season — Met Office</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Arab News Pakistan</font>",
"Punjab Weather and AQI Today: Warm start at 25.76 °C, check weather forecast for August 30, 2024 - MSN",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOSWJGNFlXTzdWSXFBa0I2M0E5d1JBV1czbHFqckxxVXdrcVdjZXIxajlmZ045MGlMTlhkU3ZMUjBrUTY3blZDWkhZUXdLRFVzYmdpaW81MmF0ZVdfVEVKYXFVU1ZFejZUV2F2eFJkdVNZRFhQWjNCY3VoekJtTWdDaXJ3NjdlcEx4RmhvWVo0ZVV0NG96Qm5NaW9Bam96VlE4U3lxeHJhZVFYQWdRU09zNnBSbzBxTUlJS2NaQWZ5MS00b3Y4V2J5QWFnU3pUTmktQ0VBOU5mVQ?oc=5,2024-08-31 00:40:08,MSN,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOSWJGNFlXTzdWSXFBa0I2M0E5d1JBV1czbHFqckxxVXdrcVdjZXIxajlmZ045MGlMTlhkU3ZMUjBrUTY3blZDWkhZUXdLRFVzYmdpaW81MmF0ZVdfVEVKYXFVU1ZFejZUV2F2eFJkdVNZRFhQWjNCY3VoekJtTWdDaXJ3NjdlcEx4RmhvWVo0ZVV0NG96Qm5NaW9Bam96VlE4U3lxeHJhZVFYQWdRU09zNnBSbzBxTUlJS2NaQWZ5MS00b3Y4V2J5QWFnU3pUTmktQ0VBOU5mVQ?oc=5"" target=""_blank"">Punjab Weather and AQI Today: Warm start at 25.76 °C, check weather forecast for August 30, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
House collapse in monsoon rains kills 12 in Pakistan - Dhaka Tribune,https://news.google.com/rss/articles/CBMinAFBVV95cUxOM1ZndnRSV21nQ1Q4MF9OUFZ0WW9Sb09rQ3llTGlaWVAzRE5BYlg5MjdabzdYTURLLUhDU0dsZUxRT3VkeE13LXZsSURVTlY4Qkl3dXdoanlmdzJOcVNtczZZWndXT2JSdGRuOHhjakpvVmQwWERpOHRHMGMzRENPZl9EQlNmS0dtcWNDMlpYYXROUVVZempLNVV3RGTSAaIBQVVfeXFMUGQxOFlOSDNaZEV3aXU5YlFMVmdsSEVQNXE0MmVvSWwwSGYzc2hSY1d5d214enBNbmxyNl9QckotSHBNSjJueXJzV2NyaFMxbUFWWWM0WkstTldZX0d5d2FzaTE4VGlpQ1FVMnFyX25WOXItZlhMam9sWG02bVBzblV0Z3VoTV9idmdGeFk3UVE0OXRYemdKOURoYjRTcWt0Wi13?oc=5,2024-08-30 16:14:54,Dhaka Tribune,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxOM1ZndnRSV21nQ1Q4MF9OUFZ0WW9Sb09rQ3llTGlaWVAzRE5BYlg5MjdabzdYTURLLUhDU0dsZUxRT3VkeE13LXZsSURVTlY4Qkl3dXdoanlmdzJOcVNtczZZWndXT2JSdGRuOHhjakpvVmQwWERpOHRHMGMzRENPZl9EQlNmS0dtcWNDMlpYYXROUVVZempLNVV3RGTSAaIBQVVfeXFMUGQxOFlOSDNaZEV3aXU5YlFMVmdsSEVQNXE0MmVvSWwwSGYzc2hSY1d5d214enBNbmxyNl9QckotSHBNSjJueXJzV2NyaFMxbUFWWWM0WkstTldZX0d5d2FzaTE4VGlpQ1FVMnFyX25WOXItZlhMam9sWG02bVBzblV0Z3VoTV9idmdGeFk3UVE0OXRYemdKOURoYjRTcWt0Wi13?oc=5"" target=""_blank"">House collapse in monsoon rains kills 12 in Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dhaka Tribune</font>",
Pakistan: 12 members of family killed in roof collapse incident amidst heavy rain - Babushahi.com,https://news.google.com/rss/articles/CBMiXkFVX3lxTFA5YjhqR21wSXAyNENkVVJnMkY0SkdyZ2xkZ3NBT2xoM201b3hmZXlNV3FoREtFLWNXQW01X2N3M3hBTkRPeTYtc2pmLWZ3TkVXNU03Rm9vdFhKa3ZUSGc?oc=5,2024-08-30 17:15:00,Babushahi.com,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFA5YjhqR21wSXAyNENkVVJnMkY0SkdyZ2xkZ3NBT2xoM201b3hmZXlNV3FoREtFLWNXQW01X2N3M3hBTkRPeTYtc2pmLWZ3TkVXNU03Rm9vdFhKa3ZUSGc?oc=5"" target=""_blank"">Pakistan: 12 members of family killed in roof collapse incident amidst heavy rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Babushahi.com</font>",
PDMA Issues A Flood Alert Fact Sheet In View Of The CM Punjab's Directives - Daily Parliament Times,https://news.google.com/rss/articles/CBMivwFBVV95cUxQZHhUX3djbThXYW44MTBLd2lzS182eGlPVnFrSHIyTW5qODVnUWUzMnRVM296V3k2SGRhZzYwYjVXUEp4bjlRX1lWQTh0RXZxYmo3TUJGUjNCXzBaaEZVRnhSLUJ3M1V4MktLb2NWSTAwS0U4Tm9kVW9DeEQydWdVekUwLWlPNFFoT2NYY0lkYkVRM2toS0NZR3lJZjJDc3lwZ1JaNk1fTVRkZEJiYlBaMDVqbFFhVlRvU0hUMy1ZOA?oc=5,2024-08-30 18:56:07,Daily Parliament Times,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQZHhUX3djbThXYW44MTBLd2lzS182eGlPVnFrSHIyTW5qODVnUWUzMnRVM296V3k2SGRhZzYwYjVXUEp4bjlRX1lWQTh0RXZxYmo3TUJGUjNCXzBaaEZVRnhSLUJ3M1V4MktLb2NWSTAwS0U4Tm9kVW9DeEQydWdVekUwLWlPNFFoT2NYY0lkYkVRM2toS0NZR3lJZjJDc3lwZ1JaNk1fTVRkZEJiYlBaMDVqbFFhVlRvU0hUMy1ZOA?oc=5"" target=""_blank"">PDMA Issues A Flood Alert Fact Sheet In View Of The CM Punjab's Directives</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Parliament Times</font>",
New spell of rainfall expected from Sept 2 in Pakistan - Aaj News,https://news.google.com/rss/articles/CBMilwFBVV95cUxORjgwWG5BRGhfS0tXNzhJX2FUTTBaRnR4WjhzT1NCUUhCa0NSRzFVOWg2NndaVjNtczBINEdneHk3VjVycmJ6UzV6MGJzVm4zT0NDV2JWdXZmdUwtRTlpdU1OZzZ3aWxNWGFkUzRnM1dzRUd1T1Q4NWFCbkJIdjQwamJQdHJFekQydlNjc2NGRzNQd1kwaXdN0gFTQVVfeXFMUHVscDVKM1RQclJCdTNDanBvYWJYVVBsd2xmYjhpbWdzQTh1bVlEOFZIUTNnZjdtblBaa3owejRpNDVRYmVHaWp3NVVWOFpBemFKRE0?oc=5,2024-08-30 17:32:42,Aaj News,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxORjgwWG5BRGhfS0tXNzhJX2FUTTBaRnR4WjhzT1NCUUhCa0NSRzFVOWg2NndaVjNtczBINEdneHk3VjVycmJ6UzV6MGJzVm4zT0NDV2JWdXZmdUwtRTlpdU1OZzZ3aWxNWGFkUzRnM1dzRUd1T1Q4NWFCbkJIdjQwamJQdHJFekQydlNjc2NGRzNQd1kwaXdN0gFTQVVfeXFMUHVscDVKM1RQclJCdTNDanBvYWJYVVBsd2xmYjhpbWdzQTh1bVlEOFZIUTNnZjdtblBaa3owejRpNDVRYmVHaWp3NVVWOFpBemFKRE0?oc=5"" target=""_blank"">New spell of rainfall expected from Sept 2 in Pakistan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj News</font>",
Fast track passport latest fee in Pak rupees August 2024 - Pakistan Observer,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQbnM0d2xzZ05MWENNenY1N00yLW93VXZCejVHZjBnZXdDX0pSQUFEWmd1VzgwTHFPS082QjFrWjdxYTZ2dHhuMjRtOXpiSkstTjdrcG9TbTdZRjI5Vkg1Q1hJR3NOUkQ3Q054MGV1ZXlxMjhDVGhONzdTY0ROSW9JeFI5LXdHUGd2ZVdn?oc=5,2024-08-31 06:31:20,Pakistan Observer,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxQbnM0d2xzZ05MWENNenY1N00yLW93VXZCejVHZjBnZXdDX0pSQUFEWmd1VzgwTHFPS082QjFrWjdxYTZ2dHhuMjRtOXpiSkstTjdrcG9TbTdZRjI5Vkg1Q1hJR3NOUkQ3Q054MGV1ZXlxMjhDVGhONzdTY0ROSW9JeFI5LXdHUGd2ZVdn?oc=5"" target=""_blank"">Fast track passport latest fee in Pak rupees August 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pakistan Observer</font>",
