Title,Link,Date,Source,Summary,Place
"Monsoon Begins Exit from Maharashtra, IMD Predicts Exit by October 10 - The Bridge Chronicle",https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0FWTGVoaGtlUzNWNmIxRG9veUdGdktvMHgtdDRLZnE0Mk9aQ2dOWnREWG56QzV5aUh1MS04QXN3emJSSm90dmZzYkREVVBDTjVNZndNaWVHWDBUWVEzTGV6Qm5RUVUwcFViUmJHa2FnWGdHREJ3Z1Q2R3dNLWVFamVtX3VQZFFCUFVhanBEaUt6b0lfTlg2MTNQc0lib1RTNW42QzN2OGNrTDY10gG6AUFVX3lxTE9BUnFTancxMXZTejBWODBCbThXNDhZQmo4UFhSSlNmcmt6ZDYwdi1WdDA2d1FJOFFLSTB1U0JyVjRvQTRReFd2bGprZVJpeWhKVUx0Z3JiejVLQlhVY2tIUEM4VWZCTzBJanJaVjhkaTI5eC1aeklVUmhTZHJ0emZESFliTFFBM2p2WjFWcDdvNmcxTnNtUC1YT2haTHZTLW1qZi1keXFWYTRPWERocjV6d0Vkd0Y1QWdjdw?oc=5,2024-10-06 08:16:31,The Bridge Chronicle,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0FWTGVoaGtlUzNWNmIxRG9veUdGdktvMHgtdDRLZnE0Mk9aQ2dOWnREWG56QzV5aUh1MS04QXN3emJSSm90dmZzYkREVVBDTjVNZndNaWVHWDBUWVEzTGV6Qm5RUVUwcFViUmJHa2FnWGdHREJ3Z1Q2R3dNLWVFamVtX3VQZFFCUFVhanBEaUt6b0lfTlg2MTNQc0lib1RTNW42QzN2OGNrTDY10gG6AUFVX3lxTE9BUnFTancxMXZTejBWODBCbThXNDhZQmo4UFhSSlNmcmt6ZDYwdi1WdDA2d1FJOFFLSTB1U0JyVjRvQTRReFd2bGprZVJpeWhKVUx0Z3JiejVLQlhVY2tIUEM4VWZCTzBJanJaVjhkaTI5eC1aeklVUmhTZHJ0emZESFliTFFBM2p2WjFWcDdvNmcxTnNtUC1YT2haTHZTLW1qZi1keXFWYTRPWERocjV6d0Vkd0Y1QWdjdw?oc=5"" target=""_blank"">Monsoon Begins Exit from Maharashtra, IMD Predicts Exit by October 10</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Bridge Chronicle</font>",
Rain in parts of Punjab ends long spell of muggy weather - Dunya News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQQi1adk4yRFMwSGd1MTRXeGcwdXRYQU1NWE9lWVdOR09kZkpUSGVPY3dIUThpVEl3bTR1N29mV09GcDZtel9GT1dLeDBvSnFhSFdnV1dlYlVxSE50MEpyOU4xekpUVGJ6bHl3WnNFWFhSRjY5Tkx0NzRNZllaSXowOXlmOThvYVYyN2I4UG4zU0tfSHdCRWFQdmNpTFFDNWRpdWxHX3VWbDPSAVZBVV95cUxNdFRHcXFXdEVZSlNVbGNXUC1CMHJ4SFpaN1VZaWVuaXZhX0NLWjVWRy04N3FPYmtBU2FCd3M3NTJLSlFldm9FU0dxNkoyYmFfTWJXZko0dw?oc=5,2024-10-06 02:34:49,Dunya News,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQQi1adk4yRFMwSGd1MTRXeGcwdXRYQU1NWE9lWVdOR09kZkpUSGVPY3dIUThpVEl3bTR1N29mV09GcDZtel9GT1dLeDBvSnFhSFdnV1dlYlVxSE50MEpyOU4xekpUVGJ6bHl3WnNFWFhSRjY5Tkx0NzRNZllaSXowOXlmOThvYVYyN2I4UG4zU0tfSHdCRWFQdmNpTFFDNWRpdWxHX3VWbDPSAVZBVV95cUxNdFRHcXFXdEVZSlNVbGNXUC1CMHJ4SFpaN1VZaWVuaXZhX0NLWjVWRy04N3FPYmtBU2FCd3M3NTJLSlFldm9FU0dxNkoyYmFfTWJXZko0dw?oc=5"" target=""_blank"">Rain in parts of Punjab ends long spell of muggy weather</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dunya News</font>",
10 dead in Meghalaya flash floods triggered by torrential rainfall - Hindustan Times,https://news.google.com/rss/articles/CBMixgFBVV95cUxOcTZsUFY3QXFkanpVMC1PRy01UmdoYi1QRk1RcWEwcTJXTXNvbGMtdWpvaWNGMVJPc215aTREazB4V0pLanRuUlU1TkxIMjZJTWtVQ3NpU0NkblplSFM0bEd4eEhEMlZ5UTZzeHdYS3hsQ294TTVlZUZqLTE1b1F0Wkx0RDJjMXU4ZzVsV0F0YXVrZ3BxTVFEcmNPMXNUWFgyTmZIRm5HdnZpeWNzb3dVemlnM2J4SERvLThyUkFNSjU2MloxUUE?oc=5,2024-10-06 07:13:01,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOcTZsUFY3QXFkanpVMC1PRy01UmdoYi1QRk1RcWEwcTJXTXNvbGMtdWpvaWNGMVJPc215aTREazB4V0pLanRuUlU1TkxIMjZJTWtVQ3NpU0NkblplSFM0bEd4eEhEMlZ5UTZzeHdYS3hsQ294TTVlZUZqLTE1b1F0Wkx0RDJjMXU4ZzVsV0F0YXVrZ3BxTVFEcmNPMXNUWFgyTmZIRm5HdnZpeWNzb3dVemlnM2J4SERvLThyUkFNSjU2MloxUUE?oc=5"" target=""_blank"">10 dead in Meghalaya flash floods triggered by torrential rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
IMD Confirms Timely Monsoon Exit from Maharashtra with Rainfall Alerts Issued - PUNE.NEWS,https://news.google.com/rss/articles/CBMiswFBVV95cUxORWtBUzVNMTJjNS10Njh4ZElkeXFaclJ6Z2xBdkNaVnZwMy03VXBzdHk0amJDcmZKeVVoLThVaGJjbGRhcXZ2UzE0RXRSSXk4ak81cXM2Nm5HOTdnNEN6cUFIZHFjcEpuWDVMTVk4S1dzV2dsS25ZWlVZMzNiVnJfRE9FMTVVM3hoZDVoeGk5VTNEMmlRSmFiNEtCajd0Y2ZrZ3BfSVk3X1NBTmpOT0poNGtPWQ?oc=5,2024-10-06 09:56:01,PUNE.NEWS,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxORWtBUzVNMTJjNS10Njh4ZElkeXFaclJ6Z2xBdkNaVnZwMy03VXBzdHk0amJDcmZKeVVoLThVaGJjbGRhcXZ2UzE0RXRSSXk4ak81cXM2Nm5HOTdnNEN6cUFIZHFjcEpuWDVMTVk4S1dzV2dsS25ZWlVZMzNiVnJfRE9FMTVVM3hoZDVoeGk5VTNEMmlRSmFiNEtCajd0Y2ZrZ3BfSVk3X1NBTmpOT0poNGtPWQ?oc=5"" target=""_blank"">IMD Confirms Timely Monsoon Exit from Maharashtra with Rainfall Alerts Issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PUNE.NEWS</font>",
"Southwest Monsoon Rains in India Hit Four-Year High, Benefiting Agriculture Sector - Capital FM Kenya",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQZzcybVdwV3ZoMFp4SFlJSXdfdHRMazFRZ2dHcEJPVlpqVXNoclc1bFJfSWdJMzd4WHRGYWdGbjlZSjRPejVkbmQyOEJoTWQtMnRlQW5vd3JrWVZsNTlIMFJXc2h6Q2k0cEx2Z25LMWlZTkU2OEtPTFVobk1KcW04dUlXcG13NnF3VW1ZOU9mbHRWYUxYY3hsWkhKRmdGcE9GbUJxdjhVQ21TZHNpU0trRkpUM1FMeFZ0QWlvZ29oX1c?oc=5,2024-10-06 02:18:02,Capital FM Kenya,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQZzcybVdwV3ZoMFp4SFlJSXdfdHRMazFRZ2dHcEJPVlpqVXNoclc1bFJfSWdJMzd4WHRGYWdGbjlZSjRPejVkbmQyOEJoTWQtMnRlQW5vd3JrWVZsNTlIMFJXc2h6Q2k0cEx2Z25LMWlZTkU2OEtPTFVobk1KcW04dUlXcG13NnF3VW1ZOU9mbHRWYUxYY3hsWkhKRmdGcE9GbUJxdjhVQ21TZHNpU0trRkpUM1FMeFZ0QWlvZ29oX1c?oc=5"" target=""_blank"">Southwest Monsoon Rains in India Hit Four-Year High, Benefiting Agriculture Sector</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Capital FM Kenya</font>",
"Punjab Weather and AQI Today: Warm start at 25.61 °C, check weather forecast for October 5, 2024 - MSN",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPZEg0V21MeFEtcHA0N05qeEplUzBxM3ktVU5MUTFuTWZPYVcwQUs5UTY2M3VWSDZybkZvNl9fQlNEZ1RFWnd0ajFHVGtvLXptaE5VcXJsaHlITHlXRHhuLUtTTUoycTh5aEwyNWh3ZzZOamoyV1dRSHd1TWlBLUpPeDVwWFN3ZW9TVmo3bjY3V3RqNDJHbklZU1FLZzhfSWprcFZ4QlNjTWNLc3Exckg4TnAxMnJRdGxyOERDUHF1NTMtdDdUa0dfd1dpaHRwWlI5OWlUTF82YkI?oc=5,2024-10-05 13:55:49,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPZEg0V21MeFEtcHA0N05qeEplUzBxM3ktVU5MUTFuTWZPYVcwQUs5UTY2M3VWSDZybkZvNl9fQlNEZ1RFWnd0ajFHVGtvLXptaE5VcXJsaHlITHlXRHhuLUtTTUoycTh5aEwyNWh3ZzZOamoyV1dRSHd1TWlBLUpPeDVwWFN3ZW9TVmo3bjY3V3RqNDJHbklZU1FLZzhfSWprcFZ4QlNjTWNLc3Exckg4TnAxMnJRdGxyOERDUHF1NTMtdDdUa0dfd1dpaHRwWlI5OWlUTF82YkI?oc=5"" target=""_blank"">Punjab Weather and AQI Today: Warm start at 25.61 °C, check weather forecast for October 5, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Aamir Khan, Fatima Sana dating rumours go viral again - Dunya News",https://news.google.com/rss/articles/CBMipAFBVV95cUxPOVZlTVF0RG5WYzR3M0xRQ3FlOURqQTlBeWhwOFNWRjlLdHBjYWJ0enJoN19fUDZ0YjJYSjJtZzhsRGx6R1c2ZXBVSTFBQjEzQ1JNeWdQejM5VndQUmZkeXhseUVxenc2TWhaQVNmSWY2MGtCdjlfTS1vZDdVV2E3VG5QZjgtQzJ4WXBNWDgxUkp6cFp1RXJOX3pLVXpGbnlHbzJabdIBVkFVX3lxTE90TzloamZUUmRuM0c2eEpLb3FmbGh0Z1hLMVE5bVIzbkZGUG55R0ttMzY2cWFZTmhKQmMya294TlotWDBmUy1OVk5SSEtfbGtlWXRQcUpn?oc=5,2024-10-06 08:14:43,Dunya News,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxPOVZlTVF0RG5WYzR3M0xRQ3FlOURqQTlBeWhwOFNWRjlLdHBjYWJ0enJoN19fUDZ0YjJYSjJtZzhsRGx6R1c2ZXBVSTFBQjEzQ1JNeWdQejM5VndQUmZkeXhseUVxenc2TWhaQVNmSWY2MGtCdjlfTS1vZDdVV2E3VG5QZjgtQzJ4WXBNWDgxUkp6cFp1RXJOX3pLVXpGbnlHbzJabdIBVkFVX3lxTE90TzloamZUUmRuM0c2eEpLb3FmbGh0Z1hLMVE5bVIzbkZGUG55R0ttMzY2cWFZTmhKQmMya294TlotWDBmUy1OVk5SSEtfbGtlWXRQcUpn?oc=5"" target=""_blank"">Aamir Khan, Fatima Sana dating rumours go viral again</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dunya News</font>",
Defending champions Australia beat Sri Lanka by six wickets - Dunya News,https://news.google.com/rss/articles/CBMirAFBVV95cUxQWFV0MWpUdzlfTzVfUjBQS0I4M0ZITkdORVpaTHkyNjJmcy14YWd0cHlMN1FZNnJNa1FRNndzek40QmJBMjlQS2U0S2kxQXZsRDFIZWdBZjZyVkRUV19XWWhqS3VCeTNaZkJQaldLY0FndTljRGRScE5zSFYtMUlJVVNxU1luN2IxelNFUTMxSlRBbWszSjdPMmZKMFRjSVVYRTducTFuazUycGN10gFWQVVfeXFMTnlDdWtUYkRYSFBQS19JUDBaNmlheVM1TmRqVUJCbmtNa1RuX1A0WTF2TU1oajkza0o5emQ5MDlWTFBKa0VqR0IyVkFBUXFHa1lydlZTV0E?oc=5,2024-10-05 18:59:18,Dunya News,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxQWFV0MWpUdzlfTzVfUjBQS0I4M0ZITkdORVpaTHkyNjJmcy14YWd0cHlMN1FZNnJNa1FRNndzek40QmJBMjlQS2U0S2kxQXZsRDFIZWdBZjZyVkRUV19XWWhqS3VCeTNaZkJQaldLY0FndTljRGRScE5zSFYtMUlJVVNxU1luN2IxelNFUTMxSlRBbWszSjdPMmZKMFRjSVVYRTducTFuazUycGN10gFWQVVfeXFMTnlDdWtUYkRYSFBQS19JUDBaNmlheVM1TmRqVUJCbmtNa1RuX1A0WTF2TU1oajkza0o5emQ5MDlWTFBKa0VqR0IyVkFBUXFHa1lydlZTV0E?oc=5"" target=""_blank"">Defending champions Australia beat Sri Lanka by six wickets</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dunya News</font>",
Pakistan to take on India in Women's T20 World Cup clash on Sunday - Dunya News,https://news.google.com/rss/articles/CBMitAFBVV95cUxORVdXTkZXTzYwUVRZei1WU3F4NWFyM3A5ZzZ1RURJTXc4c3QwUjZCWHRKcU5ZeGowTnE3SUUtMTRHTGtXOWJhdDVXTGFCRVpHenkyNzRIaUlTdklIVnpVcVlJbjZZbDgxeDE3el85cWdfSGhPZi1LNVFvdGgya0ktOEhZaUNGZmFDM0xCemVzNEhJT21iV2dFN0hJb2lQbGlnWHJQNGRZTDZya3JIT1JYV0NpR0U?oc=5,2024-10-05 12:58:12,Dunya News,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxORVdXTkZXTzYwUVRZei1WU3F4NWFyM3A5ZzZ1RURJTXc4c3QwUjZCWHRKcU5ZeGowTnE3SUUtMTRHTGtXOWJhdDVXTGFCRVpHenkyNzRIaUlTdklIVnpVcVlJbjZZbDgxeDE3el85cWdfSGhPZi1LNVFvdGgya0ktOEhZaUNGZmFDM0xCemVzNEhJT21iV2dFN0hJb2lQbGlnWHJQNGRZTDZya3JIT1JYV0NpR0U?oc=5"" target=""_blank"">Pakistan to take on India in Women's T20 World Cup clash on Sunday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dunya News</font>",
"Terrorists ringleader, two others killed in Swat IBO involved in attack on foreign diplomats - Dunya News",https://news.google.com/rss/articles/CBMiXkFVX3lxTFB2VW1IZGwtTFJOdEZUWldpS1o2Mk9uNmNSUlhwUEZ1Uk9XNWRYMWJWQ0g0TTBHNWh1bUlkdlE5S3pyeHdocXNMMEdjcmxLZi15WHJuQlBLVEJwY0VfQXfSAVZBVV95cUxOUmFQN0N2bEo1ZWJ0NGQxcmdvUWRCNHV5U252SU5wYjFjYlUxZkwtYTFtTVBob1dsN2k0T0J5aDRRaGtlRFhBaDA5STNhb21iRDhZN0FaQQ?oc=5,2024-10-05 13:17:31,Dunya News,"<a href=""https://news.google.com/rss/articles/CBMiXkFVX3lxTFB2VW1IZGwtTFJOdEZUWldpS1o2Mk9uNmNSUlhwUEZ1Uk9XNWRYMWJWQ0g0TTBHNWh1bUlkdlE5S3pyeHdocXNMMEdjcmxLZi15WHJuQlBLVEJwY0VfQXfSAVZBVV95cUxOUmFQN0N2bEo1ZWJ0NGQxcmdvUWRCNHV5U252SU5wYjFjYlUxZkwtYTFtTVBob1dsN2k0T0J5aDRRaGtlRFhBaDA5STNhb21iRDhZN0FaQQ?oc=5"" target=""_blank"">Terrorists ringleader, two others killed in Swat IBO involved in attack on foreign diplomats</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dunya News</font>",
