Title,Link,Date,Source,Summary,Place
Monsoon withdraws from parts of Rajasthan - The Hindu,https://news.google.com/rss/articles/CBMirwFBVV95cUxPT3lORWh2alVLcHo5M0x6WDVwWXhUb00xaUZQSzNfUHcxYUFNakNGVjdGeVJfbERSUWx2NmYwTFowT3d4cGJWNXNYc3Z6Q0ZxemY3cGdKRGdjWWoyVDVXLWYyd2Jxb05OYzNMVkpsWEY3Nk9Fajg3MVNmdGRMbVVRWjc2VXpMdlQzSXkwRHZvV0djTTlzb3dVYmhmaG9KUjVSMW8yWWdHLVJqOVlEdTdV0gG2AUFVX3lxTE1LQ1hZZzU5VnR6bURhTVpNeV93ckw1Qk1GQkxNMXdGNnB3VGE4cFIwTHpiM3BHb29oT1dLQXBKV2lha2NVektjUWwwbzlkeDdpOUdLME5QRXMwNXM4WDY5cnlBVzJiNjlYb2l3ZUNwUWhyYVNUT0FsTjZyU1Rsc1o3ekIyamRTOGJONjBBaWNlb3JGN3FPTm9rZnNTVDJNZkJKR3NPUVNKMWt0YncxU2JBRUJmRU5n?oc=5,2024-09-23 22:47:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPT3lORWh2alVLcHo5M0x6WDVwWXhUb00xaUZQSzNfUHcxYUFNakNGVjdGeVJfbERSUWx2NmYwTFowT3d4cGJWNXNYc3Z6Q0ZxemY3cGdKRGdjWWoyVDVXLWYyd2Jxb05OYzNMVkpsWEY3Nk9Fajg3MVNmdGRMbVVRWjc2VXpMdlQzSXkwRHZvV0djTTlzb3dVYmhmaG9KUjVSMW8yWWdHLVJqOVlEdTdV0gG2AUFVX3lxTE1LQ1hZZzU5VnR6bURhTVpNeV93ckw1Qk1GQkxNMXdGNnB3VGE4cFIwTHpiM3BHb29oT1dLQXBKV2lha2NVektjUWwwbzlkeDdpOUdLME5QRXMwNXM4WDY5cnlBVzJiNjlYb2l3ZUNwUWhyYVNUT0FsTjZyU1Rsc1o3ekIyamRTOGJONjBBaWNlb3JGN3FPTm9rZnNTVDJNZkJKR3NPUVNKMWt0YncxU2JBRUJmRU5n?oc=5"" target=""_blank"">Monsoon withdraws from parts of Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"After 6-day delay, southwest monsoon withdraws from northwest Rajasthan and Kutch: IMD - The Indian Express",https://news.google.com/rss/articles/CBMiygFBVV95cUxPSnctdzZMb293MGRzZUh6WVhCaEV6ZjBjQU9lWUp0WmtEWnd2MUhMamxRQU9jWk55cWFqY2NmSFB5eHhHdlAwbHlCR0Z4Z3dpUWZXVmtGRTdPM05MdHEyZ0pUbXhxaTVQSnNqdVl0a21CQ3lYTU9NOFF5OHhpWEp4MnAyM3JtbVp5UDJBSW5lcGtJWTRfNWRfVkMzOVU1NTBTMWJxUndDT2pHR1FCdldZVUQtOUpBZEhCdlRNRDB1RlQ1NjVBOGpDbnFB0gHQAUFVX3lxTE5GcTA1OUtmWllRSUZ6VG51THdaVDV4SF9ESWZ1VE9scXhoejM1NXdKb1l3cl8xRjBHTWFNSkQ0ZTJzTW1jSWpsWGhZVkNrNjZCOWFvWkRFWUxjV1NiQkYwQzd6eGdIVE1SUk1oR3M0TkFYR0p5X3NBZlFLUnlNakp1SEcxTnNKVXBqbG9PelBuNElwVFNqdENtNXB3eHVwWTgyRDVYenFTYVQ2bnE3TFlpSmhEUjFKNXZEVFcxSW9pWXI3SUNabGUyczlNNkJBZnU?oc=5,2024-09-23 14:46:11,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPSnctdzZMb293MGRzZUh6WVhCaEV6ZjBjQU9lWUp0WmtEWnd2MUhMamxRQU9jWk55cWFqY2NmSFB5eHhHdlAwbHlCR0Z4Z3dpUWZXVmtGRTdPM05MdHEyZ0pUbXhxaTVQSnNqdVl0a21CQ3lYTU9NOFF5OHhpWEp4MnAyM3JtbVp5UDJBSW5lcGtJWTRfNWRfVkMzOVU1NTBTMWJxUndDT2pHR1FCdldZVUQtOUpBZEhCdlRNRDB1RlQ1NjVBOGpDbnFB0gHQAUFVX3lxTE5GcTA1OUtmWllRSUZ6VG51THdaVDV4SF9ESWZ1VE9scXhoejM1NXdKb1l3cl8xRjBHTWFNSkQ0ZTJzTW1jSWpsWGhZVkNrNjZCOWFvWkRFWUxjV1NiQkYwQzd6eGdIVE1SUk1oR3M0TkFYR0p5X3NBZlFLUnlNakp1SEcxTnNKVXBqbG9PelBuNElwVFNqdENtNXB3eHVwWTgyRDVYenFTYVQ2bnE3TFlpSmhEUjFKNXZEVFcxSW9pWXI3SUNabGUyczlNNkJBZnU?oc=5"" target=""_blank"">After 6-day delay, southwest monsoon withdraws from northwest Rajasthan and Kutch: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
India's monsoon begins to retreat after delivering surplus rains: IMD - Business Standard,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQWo2NGxXY0pHUmZzLW9IN3JjSTZkbDdsNGJKZnZEYlBieWJCLWxEMG45UFJRc1FpSHUtNjE3SGt1dTRGRmNfbGNaelNSTElBeDBkUkhnQ1NranRkeHZOYm53MktLblo1d2J4dG5HTmRjcmRleXN3XzhRMlQ4RmpwTndDV1I1d1llVk93ZVVMQ1BPT1laYTJRR2UyakFQemZzak14M1Q1S1B2T0F6Mjl6Tm1oOWtzRGl0bkdWd3hPdkt6WEozVjJWeHJ4THFnLXp5S1Fn0gHTAUFVX3lxTE1BajY0bFdjSkdSZnMtb0g3cmNJNmRsN2w0YkpmdkRiUGJ5YkItbEQwbjlQUlFzUWlIdS02MTdIa3V1NEZGY19sY1p6U1JMSUF4MGRSSGdDU2tqdGR4dk5ibncyS0tuWjV3Ynh0bkdOZGNyZGV5c3dfOFEyVDhGanBOd0NXUjV3WWVWT3dlVUxDUE9PWVphMlFHZTJqQVB6ZnNqTXgzVDVLUHZPQXoyOXpObWg5a3NEaXRuR1Z3eE92S3pYSjNWMlZ4cnhMcWctenlLUWc?oc=5,2024-09-23 20:48:52,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQWo2NGxXY0pHUmZzLW9IN3JjSTZkbDdsNGJKZnZEYlBieWJCLWxEMG45UFJRc1FpSHUtNjE3SGt1dTRGRmNfbGNaelNSTElBeDBkUkhnQ1NranRkeHZOYm53MktLblo1d2J4dG5HTmRjcmRleXN3XzhRMlQ4RmpwTndDV1I1d1llVk93ZVVMQ1BPT1laYTJRR2UyakFQemZzak14M1Q1S1B2T0F6Mjl6Tm1oOWtzRGl0bkdWd3hPdkt6WEozVjJWeHJ4THFnLXp5S1Fn0gHTAUFVX3lxTE1BajY0bFdjSkdSZnMtb0g3cmNJNmRsN2w0YkpmdkRiUGJ5YkItbEQwbjlQUlFzUWlIdS02MTdIa3V1NEZGY19sY1p6U1JMSUF4MGRSSGdDU2tqdGR4dk5ibncyS0tuWjV3Ynh0bkdOZGNyZGV5c3dfOFEyVDhGanBOd0NXUjV3WWVWT3dlVUxDUE9PWVphMlFHZTJqQVB6ZnNqTXgzVDVLUHZPQXoyOXpObWg5a3NEaXRuR1Z3eE92S3pYSjNWMlZ4cnhMcWctenlLUWc?oc=5"" target=""_blank"">India's monsoon begins to retreat after delivering surplus rains: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Withdrawal of Southwest Monsoon 2024 begins today from parts of West Rajasthan and Kutch - DeshGujarat,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPVVd1aGtNcTE0NmxpVnVISG0xZjRTWFRKUXd5c3J5MVNPbjBQUDJ1bkVxUXBVOGpKWVBsS2E0cTdnZVRXOXpFeHV6aG9nWTRFMGo5MC1udmVNOWItb1R3S2l6THZYM2JEUWlpZnZCdms0LWNFV1NIcGVYWlpwUXkyZ0dGSlk1alFzTVNDUDBhU1lMZV9hNzN6REtzSDc4Nk4zeGk1Mkk1X1lVWXZ5MW91ZTN6ZkhjdjhIbTB2WklJS3JLUQ?oc=5,2024-09-23 15:18:21,DeshGujarat,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPVVd1aGtNcTE0NmxpVnVISG0xZjRTWFRKUXd5c3J5MVNPbjBQUDJ1bkVxUXBVOGpKWVBsS2E0cTdnZVRXOXpFeHV6aG9nWTRFMGo5MC1udmVNOWItb1R3S2l6THZYM2JEUWlpZnZCdms0LWNFV1NIcGVYWlpwUXkyZ0dGSlk1alFzTVNDUDBhU1lMZV9hNzN6REtzSDc4Nk4zeGk1Mkk1X1lVWXZ5MW91ZTN6ZkhjdjhIbTB2WklJS3JLUQ?oc=5"" target=""_blank"">Withdrawal of Southwest Monsoon 2024 begins today from parts of West Rajasthan and Kutch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DeshGujarat</font>",
"Monsoon withdrawal soon, but heavy rains to continue across India: IMD - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2NjMU5UR1VtVXhyOTJuQ1JFQURkRXFuaXU3Y1JXUWVRMjIzRUJxdkFlZGstQjh3ZUNBSjY3TGc4UDRhc3Z0OGxubFNrWDRqSmpuS1JWRGZsRTVSalM4U1NlRlRvdlRLc1ZkOUtXeEFZQ0NqRU9Rdm1mVXEzaEdjRjhodC00ZzV2Nm1yWmlrWU9IaEhScjVBNXlIRXQtUzlZXzUtbHRzN25wRlpnSEtCOU5jMjRQQjg4bl92eFVTT2kwdXZOV2czeGVBNVNqUdIB0wFBVV95cUxNUmhVYWVDajRtYWh1dlFiTU1WUXpYQWhQY24wOGFTWGVnY25UZ2duX1JTTU54aTZYV056a2xZdldyQ1FFdVFUbllIQ0FVUldpUlZzSENRbGNQZXlFLXlpZ29jN3RKa2J5ZGxwajlxcElKTVIzRk5vQlJwME1FSWxUaHpOSHRVZFA3MjNtWHF5MzAxd1hjbFRCcnVFTzdlbWZyWEtmREc4R29wTm5QM19uZ3MtM1RHOGlMRHFoODNBN1A5V1BRcmFfSkxRbFBhQWw4WmVF?oc=5,2024-09-23 16:54:02,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQS2NjMU5UR1VtVXhyOTJuQ1JFQURkRXFuaXU3Y1JXUWVRMjIzRUJxdkFlZGstQjh3ZUNBSjY3TGc4UDRhc3Z0OGxubFNrWDRqSmpuS1JWRGZsRTVSalM4U1NlRlRvdlRLc1ZkOUtXeEFZQ0NqRU9Rdm1mVXEzaEdjRjhodC00ZzV2Nm1yWmlrWU9IaEhScjVBNXlIRXQtUzlZXzUtbHRzN25wRlpnSEtCOU5jMjRQQjg4bl92eFVTT2kwdXZOV2czeGVBNVNqUdIB0wFBVV95cUxNUmhVYWVDajRtYWh1dlFiTU1WUXpYQWhQY24wOGFTWGVnY25UZ2duX1JTTU54aTZYV056a2xZdldyQ1FFdVFUbllIQ0FVUldpUlZzSENRbGNQZXlFLXlpZ29jN3RKa2J5ZGxwajlxcElKTVIzRk5vQlJwME1FSWxUaHpOSHRVZFA3MjNtWHF5MzAxd1hjbFRCcnVFTzdlbWZyWEtmREc4R29wTm5QM19uZ3MtM1RHOGlMRHFoODNBN1A5V1BRcmFfSkxRbFBhQWw4WmVF?oc=5"" target=""_blank"">Monsoon withdrawal soon, but heavy rains to continue across India: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Southwest Monsoon Withdrawal Begins; Heavy Rainfall Expected Over These Regions During Next 3-4 Days - NDTV Profit,https://news.google.com/rss/articles/CBMiywFBVV95cUxOUHFJakNneFJqWVpzMXo4MkQ3UW9NbUpZOUpYazdFeVM2a1prNk4xR05TSU01MVV4NGtOUHpfMHZ5bnNkRkJSYzJ1UzJRd3ZwMkhMbzJ5TTBmLW5ZZC1GQThMOHd1UzlPX0JCREY0SnhDOGRvaUZYdUI3NGJhN3p3akVXbnV6TWE4OVdNQ3lhZkN5X3VZN0ptdlVieEZkdjFXR012a0lNdkZiWTdEZ0c5N2t3anUwdU4xSlNhRHhsSGRFcERMdk9oZUJXcw?oc=5,2024-09-23 18:07:08,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOUHFJakNneFJqWVpzMXo4MkQ3UW9NbUpZOUpYazdFeVM2a1prNk4xR05TSU01MVV4NGtOUHpfMHZ5bnNkRkJSYzJ1UzJRd3ZwMkhMbzJ5TTBmLW5ZZC1GQThMOHd1UzlPX0JCREY0SnhDOGRvaUZYdUI3NGJhN3p3akVXbnV6TWE4OVdNQ3lhZkN5X3VZN0ptdlVieEZkdjFXR012a0lNdkZiWTdEZ0c5N2t3anUwdU4xSlNhRHhsSGRFcERMdk9oZUJXcw?oc=5"" target=""_blank"">Southwest Monsoon Withdrawal Begins; Heavy Rainfall Expected Over These Regions During Next 3-4 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",
Monsoon starts retreating after delivering surplus rain in India - India Today,https://news.google.com/rss/articles/CBMivwFBVV95cUxQYTdNYW9hZ0c3U1paaG1xazhQNFZDcUU3aUh4WmJ5SlBZX0pFUGRDdWlyNkFRQjNlTG12dW1Qcjc4UjV3QXVEeWZEejNsa0pOZXFVWGdDeXFlY3hFd04xQ3F0YWgwNmk4dFFjMW1zVkJRWE1ZejZoRHRQNE1ZVTVxOF9ONEJDYUNGX3IwbWVJRXJsWUFkQndrUTN6VUNIOVBPNUE1ZzBLN01sMHZMaWV1S3hMamhudFV1UWYtUzJEVdIBxAFBVV95cUxQSUdWaV9wWTV6SU1UR3J3TGZQNXRsVjdjdEdZR3FaZWtBbzYyMWYyQXZDTTcxaHNCN2k2U0pXVHJ4ZURRcFNFeXpUNVFQODl4ZzhvemVKU2g5eDRlZHMtbl9GLTFuemlidGU1MkNXLUxybWRFUXZNbU85M3BLeHllVjVnRXVtb3AxV0M4VERVaDZrMTV4SHlhRXhtZmtESzhxeDRVSTNSYkJqUnNFSGNtOFNudlFrTVEzNW1OT05NOTdkQmst?oc=5,2024-09-24 05:46:30,India Today,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQYTdNYW9hZ0c3U1paaG1xazhQNFZDcUU3aUh4WmJ5SlBZX0pFUGRDdWlyNkFRQjNlTG12dW1Qcjc4UjV3QXVEeWZEejNsa0pOZXFVWGdDeXFlY3hFd04xQ3F0YWgwNmk4dFFjMW1zVkJRWE1ZejZoRHRQNE1ZVTVxOF9ONEJDYUNGX3IwbWVJRXJsWUFkQndrUTN6VUNIOVBPNUE1ZzBLN01sMHZMaWV1S3hMamhudFV1UWYtUzJEVdIBxAFBVV95cUxQSUdWaV9wWTV6SU1UR3J3TGZQNXRsVjdjdEdZR3FaZWtBbzYyMWYyQXZDTTcxaHNCN2k2U0pXVHJ4ZURRcFNFeXpUNVFQODl4ZzhvemVKU2g5eDRlZHMtbl9GLTFuemlidGU1MkNXLUxybWRFUXZNbU85M3BLeHllVjVnRXVtb3AxV0M4VERVaDZrMTV4SHlhRXhtZmtESzhxeDRVSTNSYkJqUnNFSGNtOFNudlFrTVEzNW1OT05NOTdkQmst?oc=5"" target=""_blank"">Monsoon starts retreating after delivering surplus rain in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
"Southwest monsoon begins withdrawing from west Rajasthan, Kutch - MSN",https://news.google.com/rss/articles/CBMisAFBVV95cUxORkFURnpKLVhyZ2kzWkxEeEFnYlN6SmJSV1ZPM3k3c2pCeFdMRktpZExTUWtWVjM5QzNFcEJuS0JqZG5fN3M3Y0lIMGh6cEtsRnB2NHBuS1BMdWlvb1owODg0N2ZOaTgtck1neTdLTWpiMjZGQ0RWWFpRcC1ZOTVFMmxRQVNxMUdSdWhEc2FzbFo2RmRKSVJoRGJoQjhWbTdBenYza1dmdVNiN0U0ZVJHaA?oc=5,2024-09-23 19:21:13,MSN,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxORkFURnpKLVhyZ2kzWkxEeEFnYlN6SmJSV1ZPM3k3c2pCeFdMRktpZExTUWtWVjM5QzNFcEJuS0JqZG5fN3M3Y0lIMGh6cEtsRnB2NHBuS1BMdWlvb1owODg0N2ZOaTgtck1neTdLTWpiMjZGQ0RWWFpRcC1ZOTVFMmxRQVNxMUdSdWhEc2FzbFo2RmRKSVJoRGJoQjhWbTdBenYza1dmdVNiN0U0ZVJHaA?oc=5"" target=""_blank"">Southwest monsoon begins withdrawing from west Rajasthan, Kutch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Monsoon begins retreat from northwest India, despite slow start India records 5% surplus rainfall - Business Today",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPX215WEh5S2w2ejk3Z3FLVW5JOGctSkEyQ0JmcGNPZ21ldGNlcWRnZHhyWlJfTEhsSzg3dUowWVFnQjJVMVA2MVNSSmZ2WXlSTzV6YUdhM2FyYV9FcUg1Q1pFX1JMbDZ1akx0Ty1tb1U0TndFaGg1X0gtbHk0ajlaczFSc1EtOURYdEcwWl9pY0NRUGJHOWZXR3dUdVM4anZlcFp6RmR4Zk9tZzdpbkQyZjdMX3hwRWdsamY5ZkZydHhRQng0TTVzdGo1M0E2V1RUcUloWWRNT25Kby1LUEJ1Y0NRYnJreGtzNkE?oc=5,2024-09-23 18:44:28,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPX215WEh5S2w2ejk3Z3FLVW5JOGctSkEyQ0JmcGNPZ21ldGNlcWRnZHhyWlJfTEhsSzg3dUowWVFnQjJVMVA2MVNSSmZ2WXlSTzV6YUdhM2FyYV9FcUg1Q1pFX1JMbDZ1akx0Ty1tb1U0TndFaGg1X0gtbHk0ajlaczFSc1EtOURYdEcwWl9pY0NRUGJHOWZXR3dUdVM4anZlcFp6RmR4Zk9tZzdpbkQyZjdMX3hwRWdsamY5ZkZydHhRQng0TTVzdGo1M0E2V1RUcUloWWRNT25Kby1LUEJ1Y0NRYnJreGtzNkE?oc=5"" target=""_blank"">Monsoon begins retreat from northwest India, despite slow start India records 5% surplus rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",
"Monsoon begins to retreat after delivering surplus rains, says IMD - Business Standard",https://news.google.com/rss/articles/CBMizwFBVV95cUxQRTdmcG9BanVFbldncEZpbWdNOG9qWW8tZkd0U3lUUzNNZTYxMVI2WHhHc2VmM2NUcFRXQ1RNQXlMUWx4TlJuQ1NneWtrdnI2bVQ2MzhnX1p1b0xjdnVEbmtRU2hfTW5mNzZPVG1DTDREYlNuM0xmeWpvQW1pbWhMMGhYQmcwb3FHdHJSZkF5Ti1RWmZtQkFaa3lOQW1uUEZmY0FPbVdHRTZOUEdVWWhCQ3hrSnhrNFVLOVl1NDNGbmZESHhYSnotLTdaZDB5cjjSAc8BQVVfeXFMUEU3ZnBvQWp1RW5XZ3BGaW1nTThvallvLWZHdFN5VFMzTWU2MTFSNlh4R3NlZjNjVHBUV0NUTUF5TFFseE5SbkNTZ3lra3ZyNm1UNjM4Z19adW9MY3Z1RG5rUVNoX01uZjc2T1RtQ0w0RGJTbjNMZnlqb0FtaW1oTDBoWEJnMG9xR3RyUmZBeU4tUVpmbUJBWmt5TkFtblBGZmNBT21XR0U2TlBHVVloQkN4a0p4azRVSzlZdTQzRm5mREh4WEp6LS03WmQweXI4?oc=5,2024-09-23 15:19:56,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQRTdmcG9BanVFbldncEZpbWdNOG9qWW8tZkd0U3lUUzNNZTYxMVI2WHhHc2VmM2NUcFRXQ1RNQXlMUWx4TlJuQ1NneWtrdnI2bVQ2MzhnX1p1b0xjdnVEbmtRU2hfTW5mNzZPVG1DTDREYlNuM0xmeWpvQW1pbWhMMGhYQmcwb3FHdHJSZkF5Ti1RWmZtQkFaa3lOQW1uUEZmY0FPbVdHRTZOUEdVWWhCQ3hrSnhrNFVLOVl1NDNGbmZESHhYSnotLTdaZDB5cjjSAc8BQVVfeXFMUEU3ZnBvQWp1RW5XZ3BGaW1nTThvallvLWZHdFN5VFMzTWU2MTFSNlh4R3NlZjNjVHBUV0NUTUF5TFFseE5SbkNTZ3lra3ZyNm1UNjM4Z19adW9MY3Z1RG5rUVNoX01uZjc2T1RtQ0w0RGJTbjNMZnlqb0FtaW1oTDBoWEJnMG9xR3RyUmZBeU4tUVpmbUJBWmt5TkFtblBGZmNBT21XR0U2TlBHVVloQkN4a0p4azRVSzlZdTQzRm5mREh4WEp6LS03WmQweXI4?oc=5"" target=""_blank"">Monsoon begins to retreat after delivering surplus rains, says IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
