Title,Link,Date,Source,Summary,Term,LanguageQueried
Kolkata Weather LATEST update: Cyclone Shakti bring storm by the end of May? Read on - MSN,https://news.google.com/rss/articles/CBMiywFBVV95cUxOQl9TUXZ0eGEzNWRxd2h1SDdxQzJDQlhJcWxXTENqLWNHYkFXYWlzdkpCaUlhc0cyNFdJNHpqalhFeExVVDBOck5uOXNfalBUTXdpcXRRS2xnbGZsTlp3bkVua1F4eWZtVjRNdVRHemxXa2RYSG04YWZnSWxneWtkUVdNZmRxa1ZsbkVHR18wQ2N3LUVKbGUtb0pJWjl0VWZjbEpEbjBzaVVIQmxlaFM0N3lIOHBrYnRyYUNlZFYtM2xZZ0laRzRXdGZlNA?oc=5,2025-05-19 14:39:58,MSN,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOQl9TUXZ0eGEzNWRxd2h1SDdxQzJDQlhJcWxXTENqLWNHYkFXYWlzdkpCaUlhc0cyNFdJNHpqalhFeExVVDBOck5uOXNfalBUTXdpcXRRS2xnbGZsTlp3bkVua1F4eWZtVjRNdVRHemxXa2RYSG04YWZnSWxneWtkUVdNZmRxa1ZsbkVHR18wQ2N3LUVKbGUtb0pJWjl0VWZjbEpEbjBzaVVIQmxlaFM0N3lIOHBrYnRyYUNlZFYtM2xZZ0laRzRXdGZlNA?oc=5"" target=""_blank"">Kolkata Weather LATEST update: Cyclone Shakti bring storm by the end of May? Read on</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"IMD Weather Today: Bengaluru sees heaviest May rain in 2 years; South, Central India on cyclone watch - The Economic Times",https://news.google.com/rss/articles/CBMi_gFBVV95cUxPQ2FHVWZ2RkRsT0ZGREJRajI1eU5fVV9NSmg4eTdwLWc5WWdLXzl4QWVCTWtjeU1jWG9Sb0xodVBmVVVhNVg0dmNYWFdzUDd2RUV4cThkOE5HTjF6eVdOS25WTjVTSThQNzNkNHVDc2VWU0x1VUZwdnQ4MlBRUzFTSFRiUzFkZjRUd3psYUtJOXV3OXJsMWJ0WjJ0TjZpME5PdzIzdGpINEdLYm5QRjdGWWZ0Q0ZTbUh6SHVZLXBaTVl0UDBncnp5dUoxX2JUbmY5Y3ptUjlNMURYVTRPUU93c2NmMHZ5REVNdVBtd1V4QUZQdFZBVFhRTlhuZVZGUdIBgwJBVV95cUxQLXlVQ0JFR0lQRE05M004bi1GTkd1a251dzB1R3k5S28za1ctMUFhaWVRVVRsVjAxUUZrb0kxdFJ5MTQwTG55T0hIdkZFWWpNYUE3T1hwbWF0MDlybS1Lek4xcWZ3c3N6d19JQUVUODllcDdiVThtTVRTNlR3ak1OMTRXeTJCaFl4MjZGVTIwVW1HOVZfbEl5UzhkbWVpSTlYbUQwOEk0N3EwRDJTeXZnREhKOXBFR2Y5MnVSTVJHSFozVUFZTjVvRXRjaldBRVhfOUdkWG5oLW1YUUoxQkhrQmh3OWtEZnk5RllORWo1dklTSlprU2Z0bnpGaU1SVmEtUnF3?oc=5,2025-05-20 07:55:04,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxPQ2FHVWZ2RkRsT0ZGREJRajI1eU5fVV9NSmg4eTdwLWc5WWdLXzl4QWVCTWtjeU1jWG9Sb0xodVBmVVVhNVg0dmNYWFdzUDd2RUV4cThkOE5HTjF6eVdOS25WTjVTSThQNzNkNHVDc2VWU0x1VUZwdnQ4MlBRUzFTSFRiUzFkZjRUd3psYUtJOXV3OXJsMWJ0WjJ0TjZpME5PdzIzdGpINEdLYm5QRjdGWWZ0Q0ZTbUh6SHVZLXBaTVl0UDBncnp5dUoxX2JUbmY5Y3ptUjlNMURYVTRPUU93c2NmMHZ5REVNdVBtd1V4QUZQdFZBVFhRTlhuZVZGUdIBgwJBVV95cUxQLXlVQ0JFR0lQRE05M004bi1GTkd1a251dzB1R3k5S28za1ctMUFhaWVRVVRsVjAxUUZrb0kxdFJ5MTQwTG55T0hIdkZFWWpNYUE3T1hwbWF0MDlybS1Lek4xcWZ3c3N6d19JQUVUODllcDdiVThtTVRTNlR3ak1OMTRXeTJCaFl4MjZGVTIwVW1HOVZfbEl5UzhkbWVpSTlYbUQwOEk0N3EwRDJTeXZnREhKOXBFR2Y5MnVSTVJHSFozVUFZTjVvRXRjaldBRVhfOUdkWG5oLW1YUUoxQkhrQmh3OWtEZnk5RllORWo1dklTSlprU2Z0bnpGaU1SVmEtUnF3?oc=5"" target=""_blank"">IMD Weather Today: Bengaluru sees heaviest May rain in 2 years; South, Central India on cyclone watch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
"Bengaluru weather: IMD issues yellow alert, heavy rainfall expected today - Business Standard",https://news.google.com/rss/articles/CBMitwFBVV95cUxNb3ZtSmdNeVhfbjdxeFFQelN5SklyQ2I5cE9OUUFSdGxndjdQUDg3azJuV0k4MXlLUW9sT0xwbFN0QmhReWstbklDck9rLXpTUk5EZ1RnZ0puRGxYMjNLM3V4aVd3V1JtajU0MFJiNTVWOGhTMzBLekQwQVh6ZFJ2RDYyUElwNk44dnM0cWZlRjAtR1JVT05maXc5TjlYcHp6WllRYzdkekY5MlptM1pVR2RtbjhiYjTSAbwBQVVfeXFMT1JIWm9MNXlKV0NWcjFRVFEwNjJYR1pQbUx5WlFqc0V6RnRhaHBPMXJfTExHTE9iOWczUk4tOG14b2JuaUJ2WUVBYm91S01LelVwVHNZODN1dkVWcU5xeVRwMGpabTFLLVhZZ0xrcmpHTWVNZWQ5WEFlTlI1YVNOamllcmtIbWhpck9zRFF2bFZLY1VaYnBXTHQ0U1h2U0hlY3psR0c0eVJXbENzS1NmX2NTYnhsb3FFNjk2d0s?oc=5,2025-05-19 15:16:23,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNb3ZtSmdNeVhfbjdxeFFQelN5SklyQ2I5cE9OUUFSdGxndjdQUDg3azJuV0k4MXlLUW9sT0xwbFN0QmhReWstbklDck9rLXpTUk5EZ1RnZ0puRGxYMjNLM3V4aVd3V1JtajU0MFJiNTVWOGhTMzBLekQwQVh6ZFJ2RDYyUElwNk44dnM0cWZlRjAtR1JVT05maXc5TjlYcHp6WllRYzdkekY5MlptM1pVR2RtbjhiYjTSAbwBQVVfeXFMT1JIWm9MNXlKV0NWcjFRVFEwNjJYR1pQbUx5WlFqc0V6RnRhaHBPMXJfTExHTE9iOWczUk4tOG14b2JuaUJ2WUVBYm91S01LelVwVHNZODN1dkVWcU5xeVRwMGpabTFLLVhZZ0xrcmpHTWVNZWQ5WEFlTlI1YVNOamllcmtIbWhpck9zRFF2bFZLY1VaYnBXTHQ0U1h2U0hlY3psR0c0eVJXbENzS1NmX2NTYnhsb3FFNjk2d0s?oc=5"" target=""_blank"">Bengaluru weather: IMD issues yellow alert, heavy rainfall expected today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Weather Alert Across 11 States: Storms, Rain Lash North & South India; Heatwave Persists in Rajasthan - udaipurkiran.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxPWUpJQV80WjhoWGFCZk02TjllYTJqdm40RXptbVhjeTdvME1zenI5RzRReVNodmJ0VGRHZ19DYVRYbXc5S21YRTlRZ0puQTkwNWktdTM5d0NSNi1sQVI2TGVxYkJ0UGkxRTJyNHpaU2RTZjhZU0luTi1lUG9VenlzRDBubWdQS0RzMnRpQXJjcGpmbU9iOWxQUUpUN0FaRDZvZWI2US1za1p3MkxWTjNr?oc=5,2025-05-20 09:32:52,udaipurkiran.com,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPWUpJQV80WjhoWGFCZk02TjllYTJqdm40RXptbVhjeTdvME1zenI5RzRReVNodmJ0VGRHZ19DYVRYbXc5S21YRTlRZ0puQTkwNWktdTM5d0NSNi1sQVI2TGVxYkJ0UGkxRTJyNHpaU2RTZjhZU0luTi1lUG9VenlzRDBubWdQS0RzMnRpQXJjcGpmbU9iOWxQUUpUN0FaRDZvZWI2US1za1p3MkxWTjNr?oc=5"" target=""_blank"">Weather Alert Across 11 States: Storms, Rain Lash North & South India; Heatwave Persists in Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.com</font>",Disaster,en
"Storms, Lightning Claim 7 Lives in Bihar and Kashmir; IMD Issues Rain, Heatwave Alerts for 14 States - udaipurkiran.com",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYjF1RllNZ0x0RmxXQ2h1eGgzNVgzQXdnSkd0dHBlcmNFQWVrZWYyemxxZnVpTlM1WnViNGpQak51eXM0R2JuSk1SRGp1ZFhuM0ZnRm1sRzdkNFhRY0EwdGdGWE1YVm1kSzhBS1Mwbm5uMTkwUGdZaHFXWmdaV2U0SFpndUxjSV8yYThhSzRPU3NrV1cydFJITFg2ZVBvUWdVMExzVTNxSkQwZ3BwZS1ab0l3WERtcHl4TlNUNkwtQlk?oc=5,2025-05-19 11:13:59,udaipurkiran.com,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYjF1RllNZ0x0RmxXQ2h1eGgzNVgzQXdnSkd0dHBlcmNFQWVrZWYyemxxZnVpTlM1WnViNGpQak51eXM0R2JuSk1SRGp1ZFhuM0ZnRm1sRzdkNFhRY0EwdGdGWE1YVm1kSzhBS1Mwbm5uMTkwUGdZaHFXWmdaV2U0SFpndUxjSV8yYThhSzRPU3NrV1cydFJITFg2ZVBvUWdVMExzVTNxSkQwZ3BwZS1ab0l3WERtcHl4TlNUNkwtQlk?oc=5"" target=""_blank"">Storms, Lightning Claim 7 Lives in Bihar and Kashmir; IMD Issues Rain, Heatwave Alerts for 14 States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.com</font>",Disaster,en
Kolkata Weather LATEST update: Cyclone Shakti bring storm by the end of May? Read on - MSN,https://news.google.com/rss/articles/CBMiywFBVV95cUxOQl9TUXZ0eGEzNWRxd2h1SDdxQzJDQlhJcWxXTENqLWNHYkFXYWlzdkpCaUlhc0cyNFdJNHpqalhFeExVVDBOck5uOXNfalBUTXdpcXRRS2xnbGZsTlp3bkVua1F4eWZtVjRNdVRHemxXa2RYSG04YWZnSWxneWtkUVdNZmRxa1ZsbkVHR18wQ2N3LUVKbGUtb0pJWjl0VWZjbEpEbjBzaVVIQmxlaFM0N3lIOHBrYnRyYUNlZFYtM2xZZ0laRzRXdGZlNA?oc=5,2025-05-19 14:39:58,MSN,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOQl9TUXZ0eGEzNWRxd2h1SDdxQzJDQlhJcWxXTENqLWNHYkFXYWlzdkpCaUlhc0cyNFdJNHpqalhFeExVVDBOck5uOXNfalBUTXdpcXRRS2xnbGZsTlp3bkVua1F4eWZtVjRNdVRHemxXa2RYSG04YWZnSWxneWtkUVdNZmRxa1ZsbkVHR18wQ2N3LUVKbGUtb0pJWjl0VWZjbEpEbjBzaVVIQmxlaFM0N3lIOHBrYnRyYUNlZFYtM2xZZ0laRzRXdGZlNA?oc=5"" target=""_blank"">Kolkata Weather LATEST update: Cyclone Shakti bring storm by the end of May? Read on</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"IMD Weather Today: Bengaluru sees heaviest May rain in 2 years; South, Central India on cyclone watch - The Economic Times",https://news.google.com/rss/articles/CBMi_gFBVV95cUxPQ2FHVWZ2RkRsT0ZGREJRajI1eU5fVV9NSmg4eTdwLWc5WWdLXzl4QWVCTWtjeU1jWG9Sb0xodVBmVVVhNVg0dmNYWFdzUDd2RUV4cThkOE5HTjF6eVdOS25WTjVTSThQNzNkNHVDc2VWU0x1VUZwdnQ4MlBRUzFTSFRiUzFkZjRUd3psYUtJOXV3OXJsMWJ0WjJ0TjZpME5PdzIzdGpINEdLYm5QRjdGWWZ0Q0ZTbUh6SHVZLXBaTVl0UDBncnp5dUoxX2JUbmY5Y3ptUjlNMURYVTRPUU93c2NmMHZ5REVNdVBtd1V4QUZQdFZBVFhRTlhuZVZGUdIBgwJBVV95cUxQLXlVQ0JFR0lQRE05M004bi1GTkd1a251dzB1R3k5S28za1ctMUFhaWVRVVRsVjAxUUZrb0kxdFJ5MTQwTG55T0hIdkZFWWpNYUE3T1hwbWF0MDlybS1Lek4xcWZ3c3N6d19JQUVUODllcDdiVThtTVRTNlR3ak1OMTRXeTJCaFl4MjZGVTIwVW1HOVZfbEl5UzhkbWVpSTlYbUQwOEk0N3EwRDJTeXZnREhKOXBFR2Y5MnVSTVJHSFozVUFZTjVvRXRjaldBRVhfOUdkWG5oLW1YUUoxQkhrQmh3OWtEZnk5RllORWo1dklTSlprU2Z0bnpGaU1SVmEtUnF3?oc=5,2025-05-20 07:55:04,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi_gFBVV95cUxPQ2FHVWZ2RkRsT0ZGREJRajI1eU5fVV9NSmg4eTdwLWc5WWdLXzl4QWVCTWtjeU1jWG9Sb0xodVBmVVVhNVg0dmNYWFdzUDd2RUV4cThkOE5HTjF6eVdOS25WTjVTSThQNzNkNHVDc2VWU0x1VUZwdnQ4MlBRUzFTSFRiUzFkZjRUd3psYUtJOXV3OXJsMWJ0WjJ0TjZpME5PdzIzdGpINEdLYm5QRjdGWWZ0Q0ZTbUh6SHVZLXBaTVl0UDBncnp5dUoxX2JUbmY5Y3ptUjlNMURYVTRPUU93c2NmMHZ5REVNdVBtd1V4QUZQdFZBVFhRTlhuZVZGUdIBgwJBVV95cUxQLXlVQ0JFR0lQRE05M004bi1GTkd1a251dzB1R3k5S28za1ctMUFhaWVRVVRsVjAxUUZrb0kxdFJ5MTQwTG55T0hIdkZFWWpNYUE3T1hwbWF0MDlybS1Lek4xcWZ3c3N6d19JQUVUODllcDdiVThtTVRTNlR3ak1OMTRXeTJCaFl4MjZGVTIwVW1HOVZfbEl5UzhkbWVpSTlYbUQwOEk0N3EwRDJTeXZnREhKOXBFR2Y5MnVSTVJHSFozVUFZTjVvRXRjaldBRVhfOUdkWG5oLW1YUUoxQkhrQmh3OWtEZnk5RllORWo1dklTSlprU2Z0bnpGaU1SVmEtUnF3?oc=5"" target=""_blank"">IMD Weather Today: Bengaluru sees heaviest May rain in 2 years; South, Central India on cyclone watch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
"Bengaluru weather: IMD issues yellow alert, heavy rainfall expected today - Business Standard",https://news.google.com/rss/articles/CBMitwFBVV95cUxNb3ZtSmdNeVhfbjdxeFFQelN5SklyQ2I5cE9OUUFSdGxndjdQUDg3azJuV0k4MXlLUW9sT0xwbFN0QmhReWstbklDck9rLXpTUk5EZ1RnZ0puRGxYMjNLM3V4aVd3V1JtajU0MFJiNTVWOGhTMzBLekQwQVh6ZFJ2RDYyUElwNk44dnM0cWZlRjAtR1JVT05maXc5TjlYcHp6WllRYzdkekY5MlptM1pVR2RtbjhiYjTSAbwBQVVfeXFMT1JIWm9MNXlKV0NWcjFRVFEwNjJYR1pQbUx5WlFqc0V6RnRhaHBPMXJfTExHTE9iOWczUk4tOG14b2JuaUJ2WUVBYm91S01LelVwVHNZODN1dkVWcU5xeVRwMGpabTFLLVhZZ0xrcmpHTWVNZWQ5WEFlTlI1YVNOamllcmtIbWhpck9zRFF2bFZLY1VaYnBXTHQ0U1h2U0hlY3psR0c0eVJXbENzS1NmX2NTYnhsb3FFNjk2d0s?oc=5,2025-05-19 15:16:23,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNb3ZtSmdNeVhfbjdxeFFQelN5SklyQ2I5cE9OUUFSdGxndjdQUDg3azJuV0k4MXlLUW9sT0xwbFN0QmhReWstbklDck9rLXpTUk5EZ1RnZ0puRGxYMjNLM3V4aVd3V1JtajU0MFJiNTVWOGhTMzBLekQwQVh6ZFJ2RDYyUElwNk44dnM0cWZlRjAtR1JVT05maXc5TjlYcHp6WllRYzdkekY5MlptM1pVR2RtbjhiYjTSAbwBQVVfeXFMT1JIWm9MNXlKV0NWcjFRVFEwNjJYR1pQbUx5WlFqc0V6RnRhaHBPMXJfTExHTE9iOWczUk4tOG14b2JuaUJ2WUVBYm91S01LelVwVHNZODN1dkVWcU5xeVRwMGpabTFLLVhZZ0xrcmpHTWVNZWQ5WEFlTlI1YVNOamllcmtIbWhpck9zRFF2bFZLY1VaYnBXTHQ0U1h2U0hlY3psR0c0eVJXbENzS1NmX2NTYnhsb3FFNjk2d0s?oc=5"" target=""_blank"">Bengaluru weather: IMD issues yellow alert, heavy rainfall expected today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Weather Alert Across 11 States: Storms, Rain Lash North & South India; Heatwave Persists in Rajasthan - udaipurkiran.com",https://news.google.com/rss/articles/CBMirwFBVV95cUxPWUpJQV80WjhoWGFCZk02TjllYTJqdm40RXptbVhjeTdvME1zenI5RzRReVNodmJ0VGRHZ19DYVRYbXc5S21YRTlRZ0puQTkwNWktdTM5d0NSNi1sQVI2TGVxYkJ0UGkxRTJyNHpaU2RTZjhZU0luTi1lUG9VenlzRDBubWdQS0RzMnRpQXJjcGpmbU9iOWxQUUpUN0FaRDZvZWI2US1za1p3MkxWTjNr?oc=5,2025-05-20 09:32:52,udaipurkiran.com,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxPWUpJQV80WjhoWGFCZk02TjllYTJqdm40RXptbVhjeTdvME1zenI5RzRReVNodmJ0VGRHZ19DYVRYbXc5S21YRTlRZ0puQTkwNWktdTM5d0NSNi1sQVI2TGVxYkJ0UGkxRTJyNHpaU2RTZjhZU0luTi1lUG9VenlzRDBubWdQS0RzMnRpQXJjcGpmbU9iOWxQUUpUN0FaRDZvZWI2US1za1p3MkxWTjNr?oc=5"" target=""_blank"">Weather Alert Across 11 States: Storms, Rain Lash North & South India; Heatwave Persists in Rajasthan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.com</font>",Disaster,en
"Storms, Lightning Claim 7 Lives in Bihar and Kashmir; IMD Issues Rain, Heatwave Alerts for 14 States - udaipurkiran.com",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYjF1RllNZ0x0RmxXQ2h1eGgzNVgzQXdnSkd0dHBlcmNFQWVrZWYyemxxZnVpTlM1WnViNGpQak51eXM0R2JuSk1SRGp1ZFhuM0ZnRm1sRzdkNFhRY0EwdGdGWE1YVm1kSzhBS1Mwbm5uMTkwUGdZaHFXWmdaV2U0SFpndUxjSV8yYThhSzRPU3NrV1cydFJITFg2ZVBvUWdVMExzVTNxSkQwZ3BwZS1ab0l3WERtcHl4TlNUNkwtQlk?oc=5,2025-05-19 11:13:59,udaipurkiran.com,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYjF1RllNZ0x0RmxXQ2h1eGgzNVgzQXdnSkd0dHBlcmNFQWVrZWYyemxxZnVpTlM1WnViNGpQak51eXM0R2JuSk1SRGp1ZFhuM0ZnRm1sRzdkNFhRY0EwdGdGWE1YVm1kSzhBS1Mwbm5uMTkwUGdZaHFXWmdaV2U0SFpndUxjSV8yYThhSzRPU3NrV1cydFJITFg2ZVBvUWdVMExzVTNxSkQwZ3BwZS1ab0l3WERtcHl4TlNUNkwtQlk?oc=5"" target=""_blank"">Storms, Lightning Claim 7 Lives in Bihar and Kashmir; IMD Issues Rain, Heatwave Alerts for 14 States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.com</font>",Disaster,en
