Title,Link,Date,Source,Summary,Term,LanguageQueried
Sikkim Weather Update: Deadly Landslide Claims 4 Lives as Heavy Rain Alert Continues - Outlook India,https://news.google.com/rss/articles/CBMivgFBVV95cUxORnNfM2pFeGVza0JTMThXbXNpaU9YRVdGZXJmTk9UaC1NY2VlMFZwOVY3MEoyTTZHSWJXUjRlVFpSSC1WUFcxZzBSUHB5bzB3RXUwZGVHZ0xRVEw5RmJ0RW5SX2QxNTNsLTh4czZHMlZYUml0UmxBWWxjZk5oUG1HeVltWlhDNlRkaWZ5X3p3LU81ZnVZRkVsa2lIMTJfOEQ2dk54R2FPell6ejJ6by05VlMtMmJUd01qcnItX3Z30gHLAUFVX3lxTE9IcFFfVmtzc2FlU2dRNUxGTm9HM1E4VWlCcE14VThmRUdEcG5MVG13eUgwcWx2U3lfQktqbnJfYWJuQ0hyd1FmUVNBbHNUai1kUWZ5WHVOLXpleVk0aVJIRkZReThEWFZvcFZOWkRSTWc4dDd3OTJ6by1EVUVkOEZuU2xkLWMwbmQ0N1Znd0R0ZmNmN1hhRk5vZVBRLVZENkVXbnN4S2ItWFhFSWlIWmZGOG1sbW8zOW1sX0N2UXl5X3hVLWNwS0ZMWDkw?oc=5,2025-09-12 12:15:04,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxORnNfM2pFeGVza0JTMThXbXNpaU9YRVdGZXJmTk9UaC1NY2VlMFZwOVY3MEoyTTZHSWJXUjRlVFpSSC1WUFcxZzBSUHB5bzB3RXUwZGVHZ0xRVEw5RmJ0RW5SX2QxNTNsLTh4czZHMlZYUml0UmxBWWxjZk5oUG1HeVltWlhDNlRkaWZ5X3p3LU81ZnVZRkVsa2lIMTJfOEQ2dk54R2FPell6ejJ6by05VlMtMmJUd01qcnItX3Z30gHLAUFVX3lxTE9IcFFfVmtzc2FlU2dRNUxGTm9HM1E4VWlCcE14VThmRUdEcG5MVG13eUgwcWx2U3lfQktqbnJfYWJuQ0hyd1FmUVNBbHNUai1kUWZ5WHVOLXpleVk0aVJIRkZReThEWFZvcFZOWkRSTWc4dDd3OTJ6by1EVUVkOEZuU2xkLWMwbmQ0N1Znd0R0ZmNmN1hhRk5vZVBRLVZENkVXbnN4S2ItWFhFSWlIWmZGOG1sbW8zOW1sX0N2UXl5X3hVLWNwS0ZMWDkw?oc=5"" target=""_blank"">Sikkim Weather Update: Deadly Landslide Claims 4 Lives as Heavy Rain Alert Continues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",Disaster,en
Buried but Breathing: 7-Year-Old Girl Survives Sikkim Landslide - Northeast Live,https://news.google.com/rss/articles/CBMirAFBVV95cUxPWGc2c3cyRnRpTVFydnNjUjJES0RCb3BpdWZEeW12RzE3SDR2RVk5RXdfOGplOUhpSElZaHIxZE5rYVpXQTVacmxhMW5tcnRDYUMtaDAxU3hJd0NHWGNUc0ljZVhLQ0M4MDJFWGhDN3ZKUXNScVliSThiVHRER0J6ei02bV9KOFIwS2xhVEpPZGd6cG5HT01DdUkyUlFSZ2lwZ3U1S2cwSHJMRzJD?oc=5,2025-09-12 12:15:57,Northeast Live,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPWGc2c3cyRnRpTVFydnNjUjJES0RCb3BpdWZEeW12RzE3SDR2RVk5RXdfOGplOUhpSElZaHIxZE5rYVpXQTVacmxhMW5tcnRDYUMtaDAxU3hJd0NHWGNUc0ljZVhLQ0M4MDJFWGhDN3ZKUXNScVliSThiVHRER0J6ei02bV9KOFIwS2xhVEpPZGd6cG5HT01DdUkyUlFSZ2lwZ3U1S2cwSHJMRzJD?oc=5"" target=""_blank"">Buried but Breathing: 7-Year-Old Girl Survives Sikkim Landslide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeast Live</font>",Disaster,en
"7-year-old rescued from landslide debris that claimed 3 lives in Sikkim, India - The Watchers - Watching the world evolve and transform",https://news.google.com/rss/articles/CBMisAFBVV95cUxOSjN1M3ZmUFlXbWJIbDZKSkZKc2tPT3JWdGlpR3ZzQnY5d1ZxZVdVbnFFU1NHenVtd1l1UWc5M2V4cklpb3BOTENrN0tOeWhZUkxla2QxTFlUX1hodnluWVdpR09OeHU3VV9aaU9mX0xYQVlTM2EtZlo1WnhPNFlCSjFjcFZ6UmFzUWZzWUhqVWZQamhBR1c3VmRXZmlKMnFST3EtcGJ1dXFoV0Z1cHU5OA?oc=5,2025-09-12 23:43:46,The Watchers - Watching the world evolve and transform,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOSjN1M3ZmUFlXbWJIbDZKSkZKc2tPT3JWdGlpR3ZzQnY5d1ZxZVdVbnFFU1NHenVtd1l1UWc5M2V4cklpb3BOTENrN0tOeWhZUkxla2QxTFlUX1hodnluWVdpR09OeHU3VV9aaU9mX0xYQVlTM2EtZlo1WnhPNFlCSjFjcFZ6UmFzUWZzWUhqVWZQamhBR1c3VmRXZmlKMnFST3EtcGJ1dXFoV0Z1cHU5OA?oc=5"" target=""_blank"">7-year-old rescued from landslide debris that claimed 3 lives in Sikkim, India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Watchers - Watching the world evolve and transform</font>",Disaster,en
"4 killed as heavy rain triggers landslide in Sikkim, rescue ops underway - MSN",https://news.google.com/rss/articles/CBMivAFBVV95cUxQRE1MLV9URkZPYWd4RGgtaVBEQUViTzh0ZXFaZ0hCdWNqNWJfeU43NVlrOW5KU0VmREZ4eE1uYWl3VWkxV2FGLW5hY0NCdDBzTnhWX1dNV0JGWE5Kc3JUSWdOaWJnRkVnNERpOEl0SWRsY19FbFdhbzFOdjhNaFdEeWNKUXoyOXpKTUx0cmlXU05qT09pRW1mZTRzUHpQUGt0MXFKREZrN0RoU2NrTVFSYmFtbkdxOVAwNGlfQg?oc=5,2025-09-12 16:21:41,MSN,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQRE1MLV9URkZPYWd4RGgtaVBEQUViTzh0ZXFaZ0hCdWNqNWJfeU43NVlrOW5KU0VmREZ4eE1uYWl3VWkxV2FGLW5hY0NCdDBzTnhWX1dNV0JGWE5Kc3JUSWdOaWJnRkVnNERpOEl0SWRsY19FbFdhbzFOdjhNaFdEeWNKUXoyOXpKTUx0cmlXU05qT09pRW1mZTRzUHpQUGt0MXFKREZrN0RoU2NrTVFSYmFtbkdxOVAwNGlfQg?oc=5"" target=""_blank"">4 killed as heavy rain triggers landslide in Sikkim, rescue ops underway</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Three dead, two injured in Sikkim landslide - MSN",https://news.google.com/rss/articles/CBMilgFBVV95cUxOM0pSZ3ZCYTFMb3h6NDJRdFlWTTJNNVFzbTdlQTUwM1gxR1lXYWNENFMzUjF6ZldCeEZhdDhMZTZHdlA0SjBwWVdSbXpPTWowS19jR0hkWGVNbVFOV2hRVnVDVWI0VFk4M1R2TzBWc3lKSEhPQ0RvWDhQa1VwZjRWWXBZMWhNUEdxazVHRTBseF9ycVFKcmc?oc=5,2025-09-12 15:12:47,MSN,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxOM0pSZ3ZCYTFMb3h6NDJRdFlWTTJNNVFzbTdlQTUwM1gxR1lXYWNENFMzUjF6ZldCeEZhdDhMZTZHdlA0SjBwWVdSbXpPTWowS19jR0hkWGVNbVFOV2hRVnVDVWI0VFk4M1R2TzBWc3lKSEhPQ0RvWDhQa1VwZjRWWXBZMWhNUEdxazVHRTBseF9ycVFKcmc?oc=5"" target=""_blank"">Three dead, two injured in Sikkim landslide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"12th September: Delhi HC Bomb Scare, Sushila Karki likely Nepal Interim Leader & 4 Dead In Sikkim Landslide - India Today",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcGdYMGtGUlp0Q2pVTm1MUmh1emNBb2N1REhRVTJRenJqQURRa1VGMllkb3lWd0lPWGpZTjlTR19qdDRjb0ZQZ3RqM041cWRsM1hla0pWcjdadGdBcHFoSmw5VW9xMUY1T3ZzQ19STC1JM3hlenF2MU1CRHFBdDhBZnRLUmdxVDdKRWl3?oc=5,2025-09-12 19:07:58,India Today,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcGdYMGtGUlp0Q2pVTm1MUmh1emNBb2N1REhRVTJRenJqQURRa1VGMllkb3lWd0lPWGpZTjlTR19qdDRjb0ZQZ3RqM041cWRsM1hla0pWcjdadGdBcHFoSmw5VW9xMUY1T3ZzQ19STC1JM3hlenF2MU1CRHFBdDhBZnRLUmdxVDdKRWl3?oc=5"" target=""_blank"">12th September: Delhi HC Bomb Scare, Sushila Karki likely Nepal Interim Leader & 4 Dead In Sikkim Landslide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"3 Of A Family Die In Sikkim Landslide, Granddaughter, 7, Rescued Alive - MSN",https://news.google.com/rss/articles/CBMitwFBVV95cUxPQi1FSVdhZm5TNHBKUVZFY0xzS2E2aGkwcEtLaGY4QTBfU2hLSmFiVTJKNE9lSlVwZml2OTRvcThsZ1NZb1dLeUxUMktPOVR4VkdhRDAwR1lxWXZWOHBZYW01UXliMDNXT0JUVVJWd1BsZjQ1X05JekpTUzVEbXNnbTB5MmI1OW5LTVdMUVl0R19EekNoM216T09rdDN6d3hHUVpvYUtFdmZ5ZVZTbHBvWEN3Rk1YNzA?oc=5,2025-09-12 14:17:27,MSN,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPQi1FSVdhZm5TNHBKUVZFY0xzS2E2aGkwcEtLaGY4QTBfU2hLSmFiVTJKNE9lSlVwZml2OTRvcThsZ1NZb1dLeUxUMktPOVR4VkdhRDAwR1lxWXZWOHBZYW01UXliMDNXT0JUVVJWd1BsZjQ1X05JekpTUzVEbXNnbTB5MmI1OW5LTVdMUVl0R19EekNoM216T09rdDN6d3hHUVpvYUtFdmZ5ZVZTbHBvWEN3Rk1YNzA?oc=5"" target=""_blank"">3 Of A Family Die In Sikkim Landslide, Granddaughter, 7, Rescued Alive</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Sikkim Landslide: Four Dead, Rescuers Build Makeshift Tree Log Bridge To Reeach Victims - MSN",https://news.google.com/rss/articles/CBMizwFBVV95cUxPaGNLeEFjS3IwbjJzdHRhbm1VeUttdUhyUjVlRzRFQk9LXzJNV0hCME9qTGFhclZIQmVyaXpoT3psYXFrRk92MDVZWWhuM09oSm8wcjVSS0FmbVZnMmpncGprU2Zwems4ckVkcV9yWS1ZREZDT3ByNFZvZ3FUTEJZR1NZMnVsV1ZzY002MHowRUVUTUVXaW5lYTFYY2VvVUttN1BNdGh3N0kzSDNKcHdPblNpd3haU0V3UmVNQVlDWUE3d0czTGRvaDF2V0MyYjQ?oc=5,2025-09-12 10:37:14,MSN,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPaGNLeEFjS3IwbjJzdHRhbm1VeUttdUhyUjVlRzRFQk9LXzJNV0hCME9qTGFhclZIQmVyaXpoT3psYXFrRk92MDVZWWhuM09oSm8wcjVSS0FmbVZnMmpncGprU2Zwems4ckVkcV9yWS1ZREZDT3ByNFZvZ3FUTEJZR1NZMnVsV1ZzY002MHowRUVUTUVXaW5lYTFYY2VvVUttN1BNdGh3N0kzSDNKcHdPblNpd3haU0V3UmVNQVlDWUE3d0czTGRvaDF2V0MyYjQ?oc=5"" target=""_blank"">Sikkim Landslide: Four Dead, Rescuers Build Makeshift Tree Log Bridge To Reeach Victims</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
Sikkim Weather Update: Deadly Landslide Claims 4 Lives as Heavy Rain Alert Continues - Outlook India,https://news.google.com/rss/articles/CBMivgFBVV95cUxORnNfM2pFeGVza0JTMThXbXNpaU9YRVdGZXJmTk9UaC1NY2VlMFZwOVY3MEoyTTZHSWJXUjRlVFpSSC1WUFcxZzBSUHB5bzB3RXUwZGVHZ0xRVEw5RmJ0RW5SX2QxNTNsLTh4czZHMlZYUml0UmxBWWxjZk5oUG1HeVltWlhDNlRkaWZ5X3p3LU81ZnVZRkVsa2lIMTJfOEQ2dk54R2FPell6ejJ6by05VlMtMmJUd01qcnItX3Z30gHLAUFVX3lxTE9IcFFfVmtzc2FlU2dRNUxGTm9HM1E4VWlCcE14VThmRUdEcG5MVG13eUgwcWx2U3lfQktqbnJfYWJuQ0hyd1FmUVNBbHNUai1kUWZ5WHVOLXpleVk0aVJIRkZReThEWFZvcFZOWkRSTWc4dDd3OTJ6by1EVUVkOEZuU2xkLWMwbmQ0N1Znd0R0ZmNmN1hhRk5vZVBRLVZENkVXbnN4S2ItWFhFSWlIWmZGOG1sbW8zOW1sX0N2UXl5X3hVLWNwS0ZMWDkw?oc=5,2025-09-12 12:15:04,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxORnNfM2pFeGVza0JTMThXbXNpaU9YRVdGZXJmTk9UaC1NY2VlMFZwOVY3MEoyTTZHSWJXUjRlVFpSSC1WUFcxZzBSUHB5bzB3RXUwZGVHZ0xRVEw5RmJ0RW5SX2QxNTNsLTh4czZHMlZYUml0UmxBWWxjZk5oUG1HeVltWlhDNlRkaWZ5X3p3LU81ZnVZRkVsa2lIMTJfOEQ2dk54R2FPell6ejJ6by05VlMtMmJUd01qcnItX3Z30gHLAUFVX3lxTE9IcFFfVmtzc2FlU2dRNUxGTm9HM1E4VWlCcE14VThmRUdEcG5MVG13eUgwcWx2U3lfQktqbnJfYWJuQ0hyd1FmUVNBbHNUai1kUWZ5WHVOLXpleVk0aVJIRkZReThEWFZvcFZOWkRSTWc4dDd3OTJ6by1EVUVkOEZuU2xkLWMwbmQ0N1Znd0R0ZmNmN1hhRk5vZVBRLVZENkVXbnN4S2ItWFhFSWlIWmZGOG1sbW8zOW1sX0N2UXl5X3hVLWNwS0ZMWDkw?oc=5"" target=""_blank"">Sikkim Weather Update: Deadly Landslide Claims 4 Lives as Heavy Rain Alert Continues</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",Disaster,en
Buried but Breathing: 7-Year-Old Girl Survives Sikkim Landslide - Northeast Live,https://news.google.com/rss/articles/CBMirAFBVV95cUxPWGc2c3cyRnRpTVFydnNjUjJES0RCb3BpdWZEeW12RzE3SDR2RVk5RXdfOGplOUhpSElZaHIxZE5rYVpXQTVacmxhMW5tcnRDYUMtaDAxU3hJd0NHWGNUc0ljZVhLQ0M4MDJFWGhDN3ZKUXNScVliSThiVHRER0J6ei02bV9KOFIwS2xhVEpPZGd6cG5HT01DdUkyUlFSZ2lwZ3U1S2cwSHJMRzJD?oc=5,2025-09-12 12:15:57,Northeast Live,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxPWGc2c3cyRnRpTVFydnNjUjJES0RCb3BpdWZEeW12RzE3SDR2RVk5RXdfOGplOUhpSElZaHIxZE5rYVpXQTVacmxhMW5tcnRDYUMtaDAxU3hJd0NHWGNUc0ljZVhLQ0M4MDJFWGhDN3ZKUXNScVliSThiVHRER0J6ei02bV9KOFIwS2xhVEpPZGd6cG5HT01DdUkyUlFSZ2lwZ3U1S2cwSHJMRzJD?oc=5"" target=""_blank"">Buried but Breathing: 7-Year-Old Girl Survives Sikkim Landslide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Northeast Live</font>",Disaster,en
