Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD: Heatwave in Northwest, Heavy Rains in East and Northeast - The Impressive Times",https://news.google.com/rss/articles/CBMiV0FVX3lxTE9PV0U2TkRWeDNuQ3pIUmdqcGM4VDJyWDdBX25WZkYydzRpRFhlWFJpLWMzWDJ3UDM3YjJTdVphTndNLUV4SWV4SnhtbjcwMThKM18zMTRFNA?oc=5,2025-04-25 12:32:34,The Impressive Times,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE9PV0U2TkRWeDNuQ3pIUmdqcGM4VDJyWDdBX25WZkYydzRpRFhlWFJpLWMzWDJ3UDM3YjJTdVphTndNLUV4SWV4SnhtbjcwMThKM18zMTRFNA?oc=5"" target=""_blank"">IMD: Heatwave in Northwest, Heavy Rains in East and Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Impressive Times</font>",Heatwave,en
IMD Issues Heatwave Warnings Across India: Forecast for the Next 6 Days Remains Bleak - outlookbusiness.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNcWE3QVBqY1lBNDA4XzRYX3BweTF1S0RxM1JMbmVtUU56ZEQzUHdsOFhNcmphOWZKVHZxdk5NT3RHT200WDl1cWxCbEVBRWRINTFXOWtkcC1LUHZIMnR5bTBiS2Z6THlPX2lJNVhra1Jsd05ISGh4cllDOFEzWnVjRUVuS1JNZ0VKMjhDZVdyaEUyTjJlMl9GUzlB0gGnAUFVX3lxTE5jRmtTUndzT3FyM0VnYUpDZ1d4OVBXYUhpWENwS0lSbnFtc0tqMFhWQzFrcF91bVoxN05WRjRKNG8xaVp4WC1GLXN1RGNGWnoxQ18wcmdqSFFIaWQ3OGg1ellhaS1IWWRBMzBWSzJIZ081azkxUlNla21sLXZCRmk1ZjBTTHduaVNDLUQ1aFVHMlRnSUZTc2NGWUl3bFFwd2tyZWlfVVI4?oc=5,2025-04-25 11:53:50,outlookbusiness.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNcWE3QVBqY1lBNDA4XzRYX3BweTF1S0RxM1JMbmVtUU56ZEQzUHdsOFhNcmphOWZKVHZxdk5NT3RHT200WDl1cWxCbEVBRWRINTFXOWtkcC1LUHZIMnR5bTBiS2Z6THlPX2lJNVhra1Jsd05ISGh4cllDOFEzWnVjRUVuS1JNZ0VKMjhDZVdyaEUyTjJlMl9GUzlB0gGnAUFVX3lxTE5jRmtTUndzT3FyM0VnYUpDZ1d4OVBXYUhpWENwS0lSbnFtc0tqMFhWQzFrcF91bVoxN05WRjRKNG8xaVp4WC1GLXN1RGNGWnoxQ18wcmdqSFFIaWQ3OGg1ellhaS1IWWRBMzBWSzJIZ081azkxUlNla21sLXZCRmk1ZjBTTHduaVNDLUQ1aFVHMlRnSUZTc2NGWUl3bFFwd2tyZWlfVVI4?oc=5"" target=""_blank"">IMD Issues Heatwave Warnings Across India: Forecast for the Next 6 Days Remains Bleak</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outlookbusiness.com</font>",Heatwave,en
"IMD Weather Forecast Predicts Rising Heat In Delhi, Temperature Swings Across India - news24online.com",https://news.google.com/rss/articles/CBMivgFBVV95cUxPMkFQZFphYWYxQm1RTmFCRHhMbG0wN0lNMGhEWkNDZnE1RW13WVYwZ1JzMXJISV9jajBvU0VUQnB4aEVnS1E3Q2paXzA3TG9jRWdqR29VOEx6NGtfQWt1MzFDNWxwN0VUTURZTjZhY0MzMkZ3eXdXTUFaVXZRdnVrT3RMY01hb09JMHpsM1l6dnNsZndDbDcycldzSW9XWGxFclpBdmViNERvZXlYQ25maVBPRG1FSjhOZWotSTRn?oc=5,2025-04-25 21:48:18,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPMkFQZFphYWYxQm1RTmFCRHhMbG0wN0lNMGhEWkNDZnE1RW13WVYwZ1JzMXJISV9jajBvU0VUQnB4aEVnS1E3Q2paXzA3TG9jRWdqR29VOEx6NGtfQWt1MzFDNWxwN0VUTURZTjZhY0MzMkZ3eXdXTUFaVXZRdnVrT3RMY01hb09JMHpsM1l6dnNsZndDbDcycldzSW9XWGxFclpBdmViNERvZXlYQ25maVBPRG1FSjhOZWotSTRn?oc=5"" target=""_blank"">IMD Weather Forecast Predicts Rising Heat In Delhi, Temperature Swings Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab - Krishi Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5,2025-04-26 07:36:25,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
IMD issues heatwave alert for Northwest India. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5,2025-04-25 10:36:58,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNVzdFdFp2cjJDLXUyZ0RhaGtDR3NOS2RjQmMxSUtPR01XOFBLcVpTdDFIV3V5bXNsdDhHSUxxNHgtcXRtVmgybFJyTldFYm5PdENvZFozVDdwcU1Sa0xhREg3dEMyT2pwVjloMHNqLWNsSDZHM3F5cE1RTmRmVEotM25MQlFBSzdBcUhGRzlTY0Fka0FpRFlSUmk1RGs5cGJr?oc=5"" target=""_blank"">IMD issues heatwave alert for Northwest India.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
"Brutal Heatwave Grips India: Brahmapuri Records Scorching 45.5°C, IMD Warns of Prolonged Heat - udaipurkiran.in",https://news.google.com/rss/articles/CBMitwFBVV95cUxQdEVkbDNGZTBWMFBHSDI5MEc0dXNsS3ZZdlBaamxQR1FhM1BhN2hybjktYktZVGxHcDV5NVNyVXQyTWxlcUJyS0FIcjJMQ05KVW45S1ExQl9FR0FONkt3Q015OG9vNk0yY1o3TWN4dkl0eWI4aXFqZUFsaXpTejFHVzItTWpBWWZTRlYzLTkwMFVkdzJ3YkctWThhbTRFT2VVT1pMY19BUUtya3laZjJvSmJKUFNETk0?oc=5,2025-04-25 20:42:35,udaipurkiran.in,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxQdEVkbDNGZTBWMFBHSDI5MEc0dXNsS3ZZdlBaamxQR1FhM1BhN2hybjktYktZVGxHcDV5NVNyVXQyTWxlcUJyS0FIcjJMQ05KVW45S1ExQl9FR0FONkt3Q015OG9vNk0yY1o3TWN4dkl0eWI4aXFqZUFsaXpTejFHVzItTWpBWWZTRlYzLTkwMFVkdzJ3YkctWThhbTRFT2VVT1pMY19BUUtya3laZjJvSmJKUFNETk0?oc=5"" target=""_blank"">Brutal Heatwave Grips India: Brahmapuri Records Scorching 45.5°C, IMD Warns of Prolonged Heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">udaipurkiran.in</font>",Heatwave,en
"IMD: Heatwave in Northwest, Heavy Rains in East and Northeast - The Impressive Times",https://news.google.com/rss/articles/CBMiV0FVX3lxTE9PV0U2TkRWeDNuQ3pIUmdqcGM4VDJyWDdBX25WZkYydzRpRFhlWFJpLWMzWDJ3UDM3YjJTdVphTndNLUV4SWV4SnhtbjcwMThKM18zMTRFNA?oc=5,2025-04-25 12:32:34,The Impressive Times,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE9PV0U2TkRWeDNuQ3pIUmdqcGM4VDJyWDdBX25WZkYydzRpRFhlWFJpLWMzWDJ3UDM3YjJTdVphTndNLUV4SWV4SnhtbjcwMThKM18zMTRFNA?oc=5"" target=""_blank"">IMD: Heatwave in Northwest, Heavy Rains in East and Northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Impressive Times</font>",Heatwave,en
IMD Issues Heatwave Warnings Across India: Forecast for the Next 6 Days Remains Bleak - outlookbusiness.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxNcWE3QVBqY1lBNDA4XzRYX3BweTF1S0RxM1JMbmVtUU56ZEQzUHdsOFhNcmphOWZKVHZxdk5NT3RHT200WDl1cWxCbEVBRWRINTFXOWtkcC1LUHZIMnR5bTBiS2Z6THlPX2lJNVhra1Jsd05ISGh4cllDOFEzWnVjRUVuS1JNZ0VKMjhDZVdyaEUyTjJlMl9GUzlB0gGnAUFVX3lxTE5jRmtTUndzT3FyM0VnYUpDZ1d4OVBXYUhpWENwS0lSbnFtc0tqMFhWQzFrcF91bVoxN05WRjRKNG8xaVp4WC1GLXN1RGNGWnoxQ18wcmdqSFFIaWQ3OGg1ellhaS1IWWRBMzBWSzJIZ081azkxUlNla21sLXZCRmk1ZjBTTHduaVNDLUQ1aFVHMlRnSUZTc2NGWUl3bFFwd2tyZWlfVVI4?oc=5,2025-04-25 11:53:50,outlookbusiness.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxNcWE3QVBqY1lBNDA4XzRYX3BweTF1S0RxM1JMbmVtUU56ZEQzUHdsOFhNcmphOWZKVHZxdk5NT3RHT200WDl1cWxCbEVBRWRINTFXOWtkcC1LUHZIMnR5bTBiS2Z6THlPX2lJNVhra1Jsd05ISGh4cllDOFEzWnVjRUVuS1JNZ0VKMjhDZVdyaEUyTjJlMl9GUzlB0gGnAUFVX3lxTE5jRmtTUndzT3FyM0VnYUpDZ1d4OVBXYUhpWENwS0lSbnFtc0tqMFhWQzFrcF91bVoxN05WRjRKNG8xaVp4WC1GLXN1RGNGWnoxQ18wcmdqSFFIaWQ3OGg1ellhaS1IWWRBMzBWSzJIZ081azkxUlNla21sLXZCRmk1ZjBTTHduaVNDLUQ1aFVHMlRnSUZTc2NGWUl3bFFwd2tyZWlfVVI4?oc=5"" target=""_blank"">IMD Issues Heatwave Warnings Across India: Forecast for the Next 6 Days Remains Bleak</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outlookbusiness.com</font>",Heatwave,en
"IMD Weather Forecast Predicts Rising Heat In Delhi, Temperature Swings Across India - news24online.com",https://news.google.com/rss/articles/CBMivgFBVV95cUxPMkFQZFphYWYxQm1RTmFCRHhMbG0wN0lNMGhEWkNDZnE1RW13WVYwZ1JzMXJISV9jajBvU0VUQnB4aEVnS1E3Q2paXzA3TG9jRWdqR29VOEx6NGtfQWt1MzFDNWxwN0VUTURZTjZhY0MzMkZ3eXdXTUFaVXZRdnVrT3RMY01hb09JMHpsM1l6dnNsZndDbDcycldzSW9XWGxFclpBdmViNERvZXlYQ25maVBPRG1FSjhOZWotSTRn?oc=5,2025-04-25 21:48:18,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPMkFQZFphYWYxQm1RTmFCRHhMbG0wN0lNMGhEWkNDZnE1RW13WVYwZ1JzMXJISV9jajBvU0VUQnB4aEVnS1E3Q2paXzA3TG9jRWdqR29VOEx6NGtfQWt1MzFDNWxwN0VUTURZTjZhY0MzMkZ3eXdXTUFaVXZRdnVrT3RMY01hb09JMHpsM1l6dnNsZndDbDcycldzSW9XWGxFclpBdmViNERvZXlYQ25maVBPRG1FSjhOZWotSTRn?oc=5"" target=""_blank"">IMD Weather Forecast Predicts Rising Heat In Delhi, Temperature Swings Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab - Krishi Jagran",https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5,2025-04-26 07:36:25,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxOeXd4MjZ0UDJad1U1enF2R3Q4ajlRM2JvaFlfRzU1VGI4blltcW1fdmZZd2JLbEliT2lnTXZhVlFaNmkwQy1zd19xQ2xQWHFlVktJSFFUVUF6NklLdzVNb3ZCeW1GaU5hYy10T1pWOHMxeEZadjVEUXo2QkNBaVJMbmFQajgwZm9uVlMteENSNHZ6VTk4MzdpV0RHUkdna3d2aUxJXzN1SGxaM01pQU0xSkNkVDJGX3pmdGd3UmprWl92WEdTM25ZaGJzTHFoUldUQ3FFS3hYZzdRbkJPamhUam1NUXU5QVV3NWJ6RXp5ZVkxU01KMER0WEMydkpyZzJBZWthQ1VqR3JGYlgxSHlV?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall in Assam, Meghalaya, Arunachal; Hailstorm Alerts for Bihar, Odisha, East UP; Heatwave to Grip Delhi, Rajasthan, Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
