Title,Link,Date,Source,Summary,Term,LanguageQueried
"Tamil Nadu Weather Alert: IMD predicts week-long thunderstorm activity, coastal areas to face 65 kmph winds - MSN",https://news.google.com/rss/articles/CBMi6gFBVV95cUxPaUM5NlNiYWRrem1aY280NUw4LVZJb2I0OVk5dTc1ZzZ3UEFUVmQyQ2wtSFo4UGR5dWZYUnZZMERyTlk4Nzc5NkpHb1FZXzFwMEpvQUtxd3cxc2xEbmpGWkxfNng2V1BMVmZmazFBMm9EbW44Wk5uOHpkTzhXem9HcnE2WnhzclNFNEpyRkRrSzVwR0IyanN6V1lzMTBQOWVsSnZxQXd4YXFNRjNiMGIwR0RSWEVBbHo4QmRNRWdZRGN4dnY3Tm53U2tHZG53TGNmWnJtYl8wNk1rWU10emR2TkQ4VUktQTEyamc?oc=5,2025-07-13 18:53:11,MSN,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxPaUM5NlNiYWRrem1aY280NUw4LVZJb2I0OVk5dTc1ZzZ3UEFUVmQyQ2wtSFo4UGR5dWZYUnZZMERyTlk4Nzc5NkpHb1FZXzFwMEpvQUtxd3cxc2xEbmpGWkxfNng2V1BMVmZmazFBMm9EbW44Wk5uOHpkTzhXem9HcnE2WnhzclNFNEpyRkRrSzVwR0IyanN6V1lzMTBQOWVsSnZxQXd4YXFNRjNiMGIwR0RSWEVBbHo4QmRNRWdZRGN4dnY3Tm53U2tHZG53TGNmWnJtYl8wNk1rWU10emR2TkQ4VUktQTEyamc?oc=5"" target=""_blank"">Tamil Nadu Weather Alert: IMD predicts week-long thunderstorm activity, coastal areas to face 65 kmph winds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
EU ministers weigh response to latest Trump tariff threat - cbs19news.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxNWDJKOUtVWjZQNDMtclJFU3lrdmNUUmV3UEpubnBnaTVsdkxaYjdVaUV1Y09SejE4YVBvaWxpbWFTMmZYcDdXRF9fZkJCY2diU0tNSjk3c282bHRnUGp5UElBVTV4UkZ2Y0hZdE9wS2JNdnFQMEM0czFubXp6LTk5RVctalJYUEhTaFFPWHdTdFdxcEp0NGF6LV9VMkNHOVp2UDIydnFkZWhwQnJ2eG1DeXNnYzE3blI2MVVJLUNIbnlndHl1VzdOVndDWjRwQQ?oc=5,2025-07-14 07:07:18,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNWDJKOUtVWjZQNDMtclJFU3lrdmNUUmV3UEpubnBnaTVsdkxaYjdVaUV1Y09SejE4YVBvaWxpbWFTMmZYcDdXRF9fZkJCY2diU0tNSjk3c282bHRnUGp5UElBVTV4UkZ2Y0hZdE9wS2JNdnFQMEM0czFubXp6LTk5RVctalJYUEhTaFFPWHdTdFdxcEp0NGF6LV9VMkNHOVp2UDIydnFkZWhwQnJ2eG1DeXNnYzE3blI2MVVJLUNIbnlndHl1VzdOVndDWjRwQQ?oc=5"" target=""_blank"">EU ministers weigh response to latest Trump tariff threat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
"Train carrying diesel catches fire, rail services hit near Chennai - MSN",https://news.google.com/rss/articles/CBMitAFBVV95cUxOYmg0LVhMSEx4U0x0aDhsQUJ1RFU2MDdYNzB6TGY2MVRvTktiYktOUlF1SnJEVXlwanJnSURrc0dOUWY0d1NyeDJSMnJtc1hPTVRZMWpxNW43eTUxUHpfUjJqb1djSnpJZGw0Q1VEMmpPSzBiYnJBRnVtNUQ1c3RCREViWjNBRkp3MUxSd2x3OVZOQmxua21JelV2b1ZjMWVpRjBWbE4yNmZJWEgzSXB4cnFxOGo?oc=5,2025-07-13 13:49:23,MSN,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOYmg0LVhMSEx4U0x0aDhsQUJ1RFU2MDdYNzB6TGY2MVRvTktiYktOUlF1SnJEVXlwanJnSURrc0dOUWY0d1NyeDJSMnJtc1hPTVRZMWpxNW43eTUxUHpfUjJqb1djSnpJZGw0Q1VEMmpPSzBiYnJBRnVtNUQ1c3RCREViWjNBRkp3MUxSd2x3OVZOQmxua21JelV2b1ZjMWVpRjBWbE4yNmZJWEgzSXB4cnFxOGo?oc=5"" target=""_blank"">Train carrying diesel catches fire, rail services hit near Chennai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
Boos and applause for Trump at FIFA Club World Cup final - cbs19news.com,https://news.google.com/rss/articles/CBMizAFBVV95cUxQSWhYdm8tYkVfQzlFNlF6RGREc0JJT0t4S2hyeHZYX2taUU1RTTU2UWJhcDRMU2plN1FrLXVkOFdpbi1TOENOSzZrRW1sWXhLX2pSN0ZuNXJKZDBUaFRRTkIybHVtQWpYdWx1T0NPOFBCN1QxRmZDWmtNM0t6aV94SEo1elhMamtJYmRQLXYzVDliSkF5TnV6S0Y4LUtpdU5WaDh2R0hOdTQ0N1lkQm9KTWdnN2YzRmFYUHNnQU45MC1xLVNabkZyZ1VPcFE?oc=5,2025-07-14 04:11:15,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxQSWhYdm8tYkVfQzlFNlF6RGREc0JJT0t4S2hyeHZYX2taUU1RTTU2UWJhcDRMU2plN1FrLXVkOFdpbi1TOENOSzZrRW1sWXhLX2pSN0ZuNXJKZDBUaFRRTkIybHVtQWpYdWx1T0NPOFBCN1QxRmZDWmtNM0t6aV94SEo1elhMamtJYmRQLXYzVDliSkF5TnV6S0Y4LUtpdU5WaDh2R0hOdTQ0N1lkQm9KTWdnN2YzRmFYUHNnQU45MC1xLVNabkZyZ1VPcFE?oc=5"" target=""_blank"">Boos and applause for Trump at FIFA Club World Cup final</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
Belgium conjures up win at quidditch world cup - cbs19news.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxQWXAyNXdnWjBUWUI1dU10clZSajd0NW1qYndsVVh3WXNuVTJTMnRFdDBTNDlVWTg0SURuY1l1RGJ4amI1RzZCbXJJSU14ajk2RmlnRzd6Rm9iTUM5S2czQXhaeng0UVFGaVdPY2xUTHQ1bld3aUF1eHFucTdaN2RhZm5ZM3ZYNVhYMTVhZjVNMmh5WDZYVkZuNW9vQWo3MGxDdnRYSWJLWGxMd1lyVnFjeGJrRDc5bDdwRWFaYy1ldw?oc=5,2025-07-14 02:53:15,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQWXAyNXdnWjBUWUI1dU10clZSajd0NW1qYndsVVh3WXNuVTJTMnRFdDBTNDlVWTg0SURuY1l1RGJ4amI1RzZCbXJJSU14ajk2RmlnRzd6Rm9iTUM5S2czQXhaeng0UVFGaVdPY2xUTHQ1bld3aUF1eHFucTdaN2RhZm5ZM3ZYNVhYMTVhZjVNMmh5WDZYVkZuNW9vQWo3MGxDdnRYSWJLWGxMd1lyVnFjeGJrRDc5bDdwRWFaYy1ldw?oc=5"" target=""_blank"">Belgium conjures up win at quidditch world cup</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
US officials defend immigration raid tactics - cbs19news.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxQb1cxdUJHaXN1c0hQRGhMQURObEpuOVp5ekNkc2ZrNDE0OG1ZWnE3aW9zb09sSHRJaVJlcGFPYkdsR1dMSkZ4c2wzSXBQMVFEQVBBNU4wSkRVeEdOaHhvSTEwcVZjSXVRa3paYm56RDgxNkhHd2NyMDhOM3ZMcWhfRXlXcnY1TUxVQ05SbUJ1bkFURE1KMTlycXpZRFoyb0ttek5tWWtOYTJLZWJSclVIVzJlMjBFZ28yMGxERA?oc=5,2025-07-13 19:54:48,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQb1cxdUJHaXN1c0hQRGhMQURObEpuOVp5ekNkc2ZrNDE0OG1ZWnE3aW9zb09sSHRJaVJlcGFPYkdsR1dMSkZ4c2wzSXBQMVFEQVBBNU4wSkRVeEdOaHhvSTEwcVZjSXVRa3paYm56RDgxNkhHd2NyMDhOM3ZMcWhfRXlXcnY1TUxVQ05SbUJ1bkFURE1KMTlycXpZRFoyb0ttek5tWWtOYTJLZWJSclVIVzJlMjBFZ28yMGxERA?oc=5"" target=""_blank"">US officials defend immigration raid tactics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
Hong Kong court to hear appeals by jailed democracy campaigners - cbs19news.com,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQV1FoVzlCOHUybXFoRkVMYkFwQnBkVlpURG8xRC1nWTR5VVFRZVpUdjBLRm5JdnVSajI2Wmp6eHNVWmF5Wmhfa2t0Y0hxLUM0dHFVSjdrZkdUVGZ3OHBDUWlFTmhBSGpLdnhHbEtDRnhDRkZDOUR3OGRWUlF3YVkxekZZY2E0QTFfQkg3UVBHODBPYjFhX2dPelZtVDA0d1Y1bFFJanBGSkQ0djNheFpnRGxwSlhWaGFTYUNOMjlJbGZzby1jbXJMODVkX1Jrd1oxdUJ2SFhB?oc=5,2025-07-14 06:50:02,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQV1FoVzlCOHUybXFoRkVMYkFwQnBkVlpURG8xRC1nWTR5VVFRZVpUdjBLRm5JdnVSajI2Wmp6eHNVWmF5Wmhfa2t0Y0hxLUM0dHFVSjdrZkdUVGZ3OHBDUWlFTmhBSGpLdnhHbEtDRnhDRkZDOUR3OGRWUlF3YVkxekZZY2E0QTFfQkg3UVBHODBPYjFhX2dPelZtVDA0d1Y1bFFJanBGSkQ0djNheFpnRGxwSlhWaGFTYUNOMjlJbGZzby1jbXJMODVkX1Jrd1oxdUJ2SFhB?oc=5"" target=""_blank"">Hong Kong court to hear appeals by jailed democracy campaigners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
Actor Vijay To Lead High-Profile Protest In Tamil Nadu Custodial Death - NewsX,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQNFZubk1tZWIxRWRvLWROU2R2ajlmQk1tM2xFeV9zSGR2dVZmM085UlVxRlhCS1lxeXN1dGptam5BUnFPZ0VtTHR1cmExdlR3SHJpN2tHcGNqX0NSMG84TkpjSU5YT3Fod3JCb2lyTHVTTWJYN1JoM19sdEUxNktIRDFBd1FJMG9FSVZ2azAyMnJXREdVVlpwRFBxcVEyd3hBMUgyNlZTY1huNFl4RWRSNVZmajltZ1NNRzZwdDFkSlJzZ9IBxwFBVV95cUxObUo1ZnRXS1R3dHRJN2tfSFR3UkdfR2JQUFdFSTBKakNOMkQtT3FVYjNiWlRXTjlwM2ZBR01WTDlMdDZjeE1ENW9PakxEMjdGYzU0aTJVcXBoTjRLeng1STZ6TE9nU3RxUEtNMDlXT3BVS09EOUUtSG5hVFVFUnUtaDBDMjFJWWVrOEc2RzJsLTV2SEItMFNtT08wa0dQZHVPNjFJbkhCOEJfWFZUX3A4ZjBtNlFLRTluaElLdnA3U2VhR0V6Q2tB?oc=5,2025-07-13 12:31:06,NewsX,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxQNFZubk1tZWIxRWRvLWROU2R2ajlmQk1tM2xFeV9zSGR2dVZmM085UlVxRlhCS1lxeXN1dGptam5BUnFPZ0VtTHR1cmExdlR3SHJpN2tHcGNqX0NSMG84TkpjSU5YT3Fod3JCb2lyTHVTTWJYN1JoM19sdEUxNktIRDFBd1FJMG9FSVZ2azAyMnJXREdVVlpwRFBxcVEyd3hBMUgyNlZTY1huNFl4RWRSNVZmajltZ1NNRzZwdDFkSlJzZ9IBxwFBVV95cUxObUo1ZnRXS1R3dHRJN2tfSFR3UkdfR2JQUFdFSTBKakNOMkQtT3FVYjNiWlRXTjlwM2ZBR01WTDlMdDZjeE1ENW9PakxEMjdGYzU0aTJVcXBoTjRLeng1STZ6TE9nU3RxUEtNMDlXT3BVS09EOUUtSG5hVFVFUnUtaDBDMjFJWWVrOEc2RzJsLTV2SEItMFNtT08wa0dQZHVPNjFJbkhCOEJfWFZUX3A4ZjBtNlFLRTluaElLdnA3U2VhR0V6Q2tB?oc=5"" target=""_blank"">Actor Vijay To Lead High-Profile Protest In Tamil Nadu Custodial Death</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsX</font>",Disaster,en
EU chief delays retaliation for US tariffs in search of deal - cbs19news.com,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQd2pSTDcwTFBDdDV0Q0Z3b0JBMGt5R1UwZVU1d0VUWTlIQWVXdl9JSmx5YlI0UlVsWFN3T1JOU1Q4Q0VERHBtWF9nZ19yaDdlSm9xYzkwMlRmdEY1al9GSV9DVVhDdzNDSlBlT2VQT0pubFpzX3lOemRSaDFqYWM2Q21wcVZHM3FxVlU3VDQxb01iaUVkOUE5UndLRG5Pckc0VjZQdWxOcllSdm4zUDQzM0VRSjM3cmo2QV81T1ZmaVVjSEZueHBSZXdUdndGd281U3c?oc=5,2025-07-14 01:00:00,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQd2pSTDcwTFBDdDV0Q0Z3b0JBMGt5R1UwZVU1d0VUWTlIQWVXdl9JSmx5YlI0UlVsWFN3T1JOU1Q4Q0VERHBtWF9nZ19yaDdlSm9xYzkwMlRmdEY1al9GSV9DVVhDdzNDSlBlT2VQT0pubFpzX3lOemRSaDFqYWM2Q21wcVZHM3FxVlU3VDQxb01iaUVkOUE5UndLRG5Pckc0VjZQdWxOcllSdm4zUDQzM0VRSjM3cmo2QV81T1ZmaVVjSEZueHBSZXdUdndGd281U3c?oc=5"" target=""_blank"">EU chief delays retaliation for US tariffs in search of deal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
Club World Cup final scuffle 'should have been avoided' says Luis Enrique - cbs19news.com,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOd0pRcm9NTGFoUmlUUlJodmcwUDlfaHpKVERrZ3dSWmtyYTY0aGRrLVhGWmNlblFSbGFWUTZ3cFJyU3Y1bHVRRDhUcmo1T3lTdmI4U3pPd2UydkVqQXhGWVkzT0g3Ty1ybG1yLWd5YWJublRyeThMS1FFUWFhMjJET09HY0N6MEhpR0lnMGlUTEl4Sm5aMFY3QXJ3S3RHNW8xNC01X3dnWnhqblhvVFRPVEVuYjF1NmVacy1CZ2JXUldlcGY0THo4eHd6dXRfRGJjX1BkeDZ0MlRMTVhUZ3ZXaw?oc=5,2025-07-14 05:36:04,cbs19news.com,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOd0pRcm9NTGFoUmlUUlJodmcwUDlfaHpKVERrZ3dSWmtyYTY0aGRrLVhGWmNlblFSbGFWUTZ3cFJyU3Y1bHVRRDhUcmo1T3lTdmI4U3pPd2UydkVqQXhGWVkzT0g3Ty1ybG1yLWd5YWJublRyeThMS1FFUWFhMjJET09HY0N6MEhpR0lnMGlUTEl4Sm5aMFY3QXJ3S3RHNW8xNC01X3dnWnhqblhvVFRPVEVuYjF1NmVacy1CZ2JXUldlcGY0THo4eHd6dXRfRGJjX1BkeDZ0MlRMTVhUZ3ZXaw?oc=5"" target=""_blank"">Club World Cup final scuffle 'should have been avoided' says Luis Enrique</a>&nbsp;&nbsp;<font color=""#6f6f6f"">cbs19news.com</font>",Disaster,en
