Title,Link,Date,Source,Summary,Term,LanguageQueried
"வியட்னாமில் கரை கடந்த கால்மேகி சூறாவளி, உல‌க‌ம் செய்திகள் - தமிழ் முரசு World News in Tamil - Tamil Murasu",https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcHYwVmRnaFBuSzNNZzVmUHN4ZGdjMDlMSGJWVzREMlVpM0x0SkxKVHVmRzRhYmVlVlE5Z08wMzV0Z3VSelZwQTdNR3RqVTJIWWFncUp3MDV5LUYxa3dnXzZMckVubzVOMEp5R1BHSVA3MFkwT2lPWXpIUnhpTlFJTXIxQVBPVVliRm9v?oc=5,2025-11-07 05:21:56,Tamil Murasu,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxPcHYwVmRnaFBuSzNNZzVmUHN4ZGdjMDlMSGJWVzREMlVpM0x0SkxKVHVmRzRhYmVlVlE5Z08wMzV0Z3VSelZwQTdNR3RqVTJIWWFncUp3MDV5LUYxa3dnXzZMckVubzVOMEp5R1BHSVA3MFkwT2lPWXpIUnhpTlFJTXIxQVBPVVliRm9v?oc=5"" target=""_blank"">வியட்னாமில் கரை கடந்த கால்மேகி சூறாவளி, உல‌க‌ம் செய்திகள் - தமிழ் முரசு World News in Tamil</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tamil Murasu</font>",Disaster,ta
வியட்னாமில் கரை கடந்த கால்மேகி சூறாவளி - Tamil Murasu,https://news.google.com/rss/articles/CBMifkFVX3lxTFBWNnhhYXU4U3ItRmpUYVdaelpYQ2tPT2JzbGdhbEcwcjdEbG1xeEFoVUNzT1A4TDhRYmpSQW1Ec1dpYUlObjZfU2FPdDRzUHBrY1VuS2dMUkprLTlXNExObWNHbFpZVFVOS0pmTlkyVWFTbnVhdmU5SG9IVE9GQQ?oc=5,2025-11-07 05:21:56,Tamil Murasu,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTFBWNnhhYXU4U3ItRmpUYVdaelpYQ2tPT2JzbGdhbEcwcjdEbG1xeEFoVUNzT1A4TDhRYmpSQW1Ec1dpYUlObjZfU2FPdDRzUHBrY1VuS2dMUkprLTlXNExObWNHbFpZVFVOS0pmTlkyVWFTbnVhdmU5SG9IVE9GQQ?oc=5"" target=""_blank"">வியட்னாமில் கரை கடந்த கால்மேகி சூறாவளி</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tamil Murasu</font>",Disaster,ta
TN ALERT செயலி.. உங்க ஊர் வானிலையை ஃபோனிலேயே பெறலாம்.! உடனே டவுன்லோடு பண்ணுங்க.! - Tamil Spark,https://news.google.com/rss/articles/CBMikgFBVV95cUxQMVM2cV9TMTRCbDUtRXFaSllWeXZmNDB2RnQzLVg1ZTd3U1RfZnZ0VURWNnBKSjdFVklaVFYtNUFHVUdmTmpUcjBDcmdWS3ZSMFlsc1o5UzFIREJ2emFENjlPclI4SE5pZXp4VDRrVWV6UzJVeTZ5X3Jzc1Q2clFTWlVSdHVHZHhlMXpneXpCb0ZqZ9IBlwFBVV95cUxPMXV6LTZqNmU0WWtSZm5xMlJ6WVd5dlNkUVpBaGlPOFRZTEZIZXl3ek0xTGlJeUhfSlBDaW1UWjNsUElIeEQxdFRjYnpIZnAzZEFnWFRhZEUtQmJUNXhEdHdYSHJGa21RNUZ2Um9PdWtxQ3lJWTY0ZEh6SUxoWFl4aXc1ZFVYakZpZFUwejhlajAwNXhMQVUw?oc=5,2025-11-06 19:34:35,Tamil Spark,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxQMVM2cV9TMTRCbDUtRXFaSllWeXZmNDB2RnQzLVg1ZTd3U1RfZnZ0VURWNnBKSjdFVklaVFYtNUFHVUdmTmpUcjBDcmdWS3ZSMFlsc1o5UzFIREJ2emFENjlPclI4SE5pZXp4VDRrVWV6UzJVeTZ5X3Jzc1Q2clFTWlVSdHVHZHhlMXpneXpCb0ZqZ9IBlwFBVV95cUxPMXV6LTZqNmU0WWtSZm5xMlJ6WVd5dlNkUVpBaGlPOFRZTEZIZXl3ek0xTGlJeUhfSlBDaW1UWjNsUElIeEQxdFRjYnpIZnAzZEFnWFRhZEUtQmJUNXhEdHdYSHJGa21RNUZ2Um9PdWtxQ3lJWTY0ZEh6SUxoWFl4aXc1ZFVYakZpZFUwejhlajAwNXhMQVUw?oc=5"" target=""_blank"">TN ALERT செயலி.. உங்க ஊர் வானிலையை ஃபோனிலேயே பெறலாம்.! உடனே டவுன்லோடு பண்ணுங்க.!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tamil Spark</font>",Disaster,ta
"Hurricane, cyclone, or typhoon? Here’s what sets them apart - Times of India",https://news.google.com/rss/articles/CBMi0wFBVV95cUxPd3NuQ0ZDUlotZlVTZWVHYWhLNnFDSkhlczlkRTN3UzQ2UG5pREZYbVdzSEY2UFNqMXFRUS16R1l1MUU5T0dhS1JkMHJPOUdybjdmQ2Z3Xy1qNHNOcFk3ZnV6d1N2ZkZYeXhBU3ZDVWpkYWhOUm04Q1VycDZ6QjJTUUxtdTBnSF82VUs0V1l3YWZuMFRNNUFrek1KX1dmYTF0dkRnd3FxaWNTbmdSZlItOFQ1RDRKcThJRUhpUktVMFc4T19iZUdtM0hJQ3cwdG56azZ3?oc=5,2025-11-07 09:15:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPd3NuQ0ZDUlotZlVTZWVHYWhLNnFDSkhlczlkRTN3UzQ2UG5pREZYbVdzSEY2UFNqMXFRUS16R1l1MUU5T0dhS1JkMHJPOUdybjdmQ2Z3Xy1qNHNOcFk3ZnV6d1N2ZkZYeXhBU3ZDVWpkYWhOUm04Q1VycDZ6QjJTUUxtdTBnSF82VUs0V1l3YWZuMFRNNUFrek1KX1dmYTF0dkRnd3FxaWNTbmdSZlItOFQ1RDRKcThJRUhpUktVMFc4T19iZUdtM0hJQ3cwdG56azZ3?oc=5"" target=""_blank"">Hurricane, cyclone, or typhoon? Here’s what sets them apart</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"North Tamil Nadu records widespread rains, one more dry spell next week - The New Indian Express",https://news.google.com/rss/articles/CBMizgFBVV95cUxQOUg5c3J5ZThJeWZEaV82aVlpUGJMLXc4WTV3WUJFMUY1WkFJb09MbHdRYk9NZUx6M0Y5Ym5kTEZhdjJla1pEVVVPUnBrdjFON2U3VlpiQ1BYVllJanNvZ25LTXhQcFdfV2pCdEhBMzVoM09rdEVpaGJjaWFWM2FVTXl6R1EzTXFoLXVVanpvNmdjbUZXZDBMUHJvZ3hGUEMzeFpYS0FCWmxwcVNJbG9IMzloWlpRT2stdVptLS1OSHJXNEpEaDlmMmh4elMzZ9IB2wFBVV95cUxPTjdHcWVfWjFSTUM1MW9UYUp0c3hBTDRzb2ZIOFhvc3ZLTHRfS1F3b0xQa085Um8wVW0zc1UzMHczWTk5ZmQ3dDktR0N6ZVJLalZfREZ3QTZ0SnYzR1hQM2k4M1h1c3VSVXp3VnprLUR5OU91U041dGJtVG51bmdfdVBvMXBJMzQyM05IUUtoNmFqS1hzYkFheThmOVJVZC11QThOUnE5VTlHRUxfbHR2UHdfWXJkUXV4OTRjd25HdVFjY1NfQzdLWlh6eHVHRXdYLXVZYzB0V1QwclE?oc=5,2025-11-06 20:15:55,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQOUg5c3J5ZThJeWZEaV82aVlpUGJMLXc4WTV3WUJFMUY1WkFJb09MbHdRYk9NZUx6M0Y5Ym5kTEZhdjJla1pEVVVPUnBrdjFON2U3VlpiQ1BYVllJanNvZ25LTXhQcFdfV2pCdEhBMzVoM09rdEVpaGJjaWFWM2FVTXl6R1EzTXFoLXVVanpvNmdjbUZXZDBMUHJvZ3hGUEMzeFpYS0FCWmxwcVNJbG9IMzloWlpRT2stdVptLS1OSHJXNEpEaDlmMmh4elMzZ9IB2wFBVV95cUxPTjdHcWVfWjFSTUM1MW9UYUp0c3hBTDRzb2ZIOFhvc3ZLTHRfS1F3b0xQa085Um8wVW0zc1UzMHczWTk5ZmQ3dDktR0N6ZVJLalZfREZ3QTZ0SnYzR1hQM2k4M1h1c3VSVXp3VnprLUR5OU91U041dGJtVG51bmdfdVBvMXBJMzQyM05IUUtoNmFqS1hzYkFheThmOVJVZC11QThOUnE5VTlHRUxfbHR2UHdfWXJkUXV4OTRjd25HdVFjY1NfQzdLWlh6eHVHRXdYLXVZYzB0V1QwclE?oc=5"" target=""_blank"">North Tamil Nadu records widespread rains, one more dry spell next week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Disaster,en
Cyclonic Storm Montha Likely To Hit India's East Coast On Oct. 28: How Are Cyclones Named? - MSN,https://news.google.com/rss/articles/CBMi5wJBVV95cUxOZjRDR3V4LUZkWG94dXhWLUhhREp0MGtjTWN1a2ZEd0FmWkR4eGYtemNiT1hEOHhJRHpHU0ZtRUZISVZ5ZE5heEF6RWFYNTAyaFBld2RoSTFSZnRUd3lMVXhqSk9VZWs5ODhjZ2UyYjdXX05oN1BodVcxdXlkaXczdzVRQXNUbGotRVJqY2lrdTZxdUlkLWtmSVg5SVlnZzREMU1RdUxZSkRyU0dONXZNUGpzU1JRalNPNXJSVDZWdzJxcE1pZ3RvWWo5V2NDeXFnQnNCOWt5OEV6aGptMUZsZEJpRDE1RGpqMWwyTzIxYjh6SHVCQ1dyMnZXR1VrYk9VM1RiQkd0MnlueWwtVE9FaGVEMDNuNnZXMlhCUkdfMmxEczVOaVRIVmNyWk0wS21pY3hNYXhaWER2TmJocnlIbEhLV3pWU3Z0VEd5YUowNE1sWGJ3aUdORGJVRGpNNXd1Mnk2VXVYZw?oc=5,2025-11-07 00:27:50,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5wJBVV95cUxOZjRDR3V4LUZkWG94dXhWLUhhREp0MGtjTWN1a2ZEd0FmWkR4eGYtemNiT1hEOHhJRHpHU0ZtRUZISVZ5ZE5heEF6RWFYNTAyaFBld2RoSTFSZnRUd3lMVXhqSk9VZWs5ODhjZ2UyYjdXX05oN1BodVcxdXlkaXczdzVRQXNUbGotRVJqY2lrdTZxdUlkLWtmSVg5SVlnZzREMU1RdUxZSkRyU0dONXZNUGpzU1JRalNPNXJSVDZWdzJxcE1pZ3RvWWo5V2NDeXFnQnNCOWt5OEV6aGptMUZsZEJpRDE1RGpqMWwyTzIxYjh6SHVCQ1dyMnZXR1VrYk9VM1RiQkd0MnlueWwtVE9FaGVEMDNuNnZXMlhCUkdfMmxEczVOaVRIVmNyWk0wS21pY3hNYXhaWER2TmJocnlIbEhLV3pWU3Z0VEd5YUowNE1sWGJ3aUdORGJVRGpNNXd1Mnk2VXVYZw?oc=5"" target=""_blank"">Cyclonic Storm Montha Likely To Hit India's East Coast On Oct. 28: How Are Cyclones Named?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"School Holiday Today, November 7: Are Schools Open or Closed in Your State? - Sakshi Post",https://news.google.com/rss/articles/CBMivAFBVV95cUxPTmxtLXo2NG50a0NjZG0zd0RURVBnclhTd2w5Y0JINmFDZ0lyLVNzSzhUSG5HanIydUhEZ3JPVzRfMVBVQy0wcFpSOUxKUDdSWWNQQXNfSGk1dmNUbWp0aktMdWppM1F6ZUh2ZDdqeVEzMkxBMDBnbXJOb3h1V3hjS3ZsX3J3bFhIV3haZTJjQUtTdENKbU5QaV9ESEdPUEdybk5kYnBlZjZhWnJCYUtlZW1ad0dBT3JwX0JyZNIBvAFBVV95cUxPTmxtLXo2NG50a0NjZG0zd0RURVBnclhTd2w5Y0JINmFDZ0lyLVNzSzhUSG5HanIydUhEZ3JPVzRfMVBVQy0wcFpSOUxKUDdSWWNQQXNfSGk1dmNUbWp0aktMdWppM1F6ZUh2ZDdqeVEzMkxBMDBnbXJOb3h1V3hjS3ZsX3J3bFhIV3haZTJjQUtTdENKbU5QaV9ESEdPUEdybk5kYnBlZjZhWnJCYUtlZW1ad0dBT3JwX0JyZA?oc=5,2025-11-07 08:39:15,Sakshi Post,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPTmxtLXo2NG50a0NjZG0zd0RURVBnclhTd2w5Y0JINmFDZ0lyLVNzSzhUSG5HanIydUhEZ3JPVzRfMVBVQy0wcFpSOUxKUDdSWWNQQXNfSGk1dmNUbWp0aktMdWppM1F6ZUh2ZDdqeVEzMkxBMDBnbXJOb3h1V3hjS3ZsX3J3bFhIV3haZTJjQUtTdENKbU5QaV9ESEdPUEdybk5kYnBlZjZhWnJCYUtlZW1ad0dBT3JwX0JyZNIBvAFBVV95cUxPTmxtLXo2NG50a0NjZG0zd0RURVBnclhTd2w5Y0JINmFDZ0lyLVNzSzhUSG5HanIydUhEZ3JPVzRfMVBVQy0wcFpSOUxKUDdSWWNQQXNfSGk1dmNUbWp0aktMdWppM1F6ZUh2ZDdqeVEzMkxBMDBnbXJOb3h1V3hjS3ZsX3J3bFhIV3haZTJjQUtTdENKbU5QaV9ESEdPUEdybk5kYnBlZjZhWnJCYUtlZW1ad0dBT3JwX0JyZA?oc=5"" target=""_blank"">School Holiday Today, November 7: Are Schools Open or Closed in Your State?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sakshi Post</font>",Disaster,en
"Heavy rain to lash Tamil Nadu till November 11, schools closed in Tirupattur amid weather alert - India TV News",https://news.google.com/rss/articles/CBMinwJBVV95cUxPZFJGU1NaaTVhS2FxLWczdlVYdXdMaFlramp0RGhBZ3lodHV4WXFieVZZZk83b1htWkpycngxcWZTbjlvclh2dFlCSlFReVpXeEtQZE5ZNWNsVG5tR0pSaDEzYlF3WVFhOEVxRU93aS11OXFVdjhtR3VCOU50TklrakpHQkNYLUtlREhIUnRkcHpRbjd4dUFwMFhNaWN0Vm5RLXR0aEgtTXhzQ1dqZ29tcE5wN1daS0RzeHBrZ0VsQ1M4QlFJeExMYnVORllGbHVId1YxN3ZPSE1yV2F1anF5RUU4VVYxZmpzczc2bnlrWFZTTDRmUnhmSU4zV0hNbzBSU1pUZ2tqQXJXLVVKVEZKQ29iQ3BMQUNha0hPWEtnWdIBpAJBVV95cUxPNEk4STgzQXV0c3hHek16TjR5dW5MTURldmh0T2FnZ1JEaG9MbGFLZGVYbG5LeGRfV1QxN2pWd2R6OHFUZ0J6UXJlV3FLYXlxUjdOVlY1NUVERjBMZWRzRXMwcjVoYXFBaEk5bnBhdU5PTWtFWnVERGRrRmMtajU3enplWDF1M2M2QXU1M3c3RWFCWE9KZFZnUDhGSWlRSC1aQkRmOXlJVmlPQWxWaGxEMDJjRV9EV19IRDVxNEtFTUJFTEZwbl9VX29xSENmVDhoNUxVU0FxX2d5VEloZHlGajZES0dKOHc4NjU1ODB5YndiazhVZDlUNThpdVJsMUE1TXRfQWJPOGhTUEdaYW50RmR3N1pmby1PMHVQMHBuVkozVUlp?oc=5,2025-11-06 10:28:28,India TV News,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxPZFJGU1NaaTVhS2FxLWczdlVYdXdMaFlramp0RGhBZ3lodHV4WXFieVZZZk83b1htWkpycngxcWZTbjlvclh2dFlCSlFReVpXeEtQZE5ZNWNsVG5tR0pSaDEzYlF3WVFhOEVxRU93aS11OXFVdjhtR3VCOU50TklrakpHQkNYLUtlREhIUnRkcHpRbjd4dUFwMFhNaWN0Vm5RLXR0aEgtTXhzQ1dqZ29tcE5wN1daS0RzeHBrZ0VsQ1M4QlFJeExMYnVORllGbHVId1YxN3ZPSE1yV2F1anF5RUU4VVYxZmpzczc2bnlrWFZTTDRmUnhmSU4zV0hNbzBSU1pUZ2tqQXJXLVVKVEZKQ29iQ3BMQUNha0hPWEtnWdIBpAJBVV95cUxPNEk4STgzQXV0c3hHek16TjR5dW5MTURldmh0T2FnZ1JEaG9MbGFLZGVYbG5LeGRfV1QxN2pWd2R6OHFUZ0J6UXJlV3FLYXlxUjdOVlY1NUVERjBMZWRzRXMwcjVoYXFBaEk5bnBhdU5PTWtFWnVERGRrRmMtajU3enplWDF1M2M2QXU1M3c3RWFCWE9KZFZnUDhGSWlRSC1aQkRmOXlJVmlPQWxWaGxEMDJjRV9EV19IRDVxNEtFTUJFTEZwbl9VX29xSENmVDhoNUxVU0FxX2d5VEloZHlGajZES0dKOHc4NjU1ODB5YndiazhVZDlUNThpdVJsMUE1TXRfQWJPOGhTUEdaYW50RmR3N1pmby1PMHVQMHBuVkozVUlp?oc=5"" target=""_blank"">Heavy rain to lash Tamil Nadu till November 11, schools closed in Tirupattur amid weather alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Disaster,en
Which country is the real land of the rising sun? It’s not Japan - Times of India,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNWjNWLTBWVG9wMFlOWEFOTWpDUFVkQ3BPRTE5b0JZWDRLMlhMX0JaQS05Q3huYkFsUUo1VHo5WV9xeXI2Q1Q5dW1ma2VaZnl4VVBOYUxHM0tQYzJySTZzWGw4Mk1teE9TYUF4QkJaaTJ3OEptbUVnV3U5dnNUeG5ua1k4UE8wZ2w2RXdyQkIweFlqTTkxc29Vd1RJbUpJY2pWQUoyX2J3aDV2ZExYY0NiX05ucWZmOXF6WEtWUEhodnNES2dPTktkLXhOdFZHYkNaV3hubHU1Y0R0UdIB3wFBVV95cUxOSWNwSnd1LUJFX3BtVU1vN084VTkxel9uazY1ZWVNRFlEZjh1a0dSdTYwUW9QdUJMdFdYNkJ1dlp1enQxRXpGYi05NHo1TnVMOFNaeHVtMm05b2VEU0J0ZVZvcGh4aTBsMUM1SzczbXlNemNXclZRQ2NqcXhnSGhqOVg4aUkwZUI1Y2tadUZTdmNFNXRQM0dqQTliSDcyY09MX20wVmNqMWUycUk2Rnc5MlI5Q0NWcVFPb1YzQV9fbUFNbDZVS1RabVB3ZGNMZGZKbUJ5MkFlTHIxcVpUcDhV?oc=5,2025-11-06 13:16:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNWjNWLTBWVG9wMFlOWEFOTWpDUFVkQ3BPRTE5b0JZWDRLMlhMX0JaQS05Q3huYkFsUUo1VHo5WV9xeXI2Q1Q5dW1ma2VaZnl4VVBOYUxHM0tQYzJySTZzWGw4Mk1teE9TYUF4QkJaaTJ3OEptbUVnV3U5dnNUeG5ua1k4UE8wZ2w2RXdyQkIweFlqTTkxc29Vd1RJbUpJY2pWQUoyX2J3aDV2ZExYY0NiX05ucWZmOXF6WEtWUEhodnNES2dPTktkLXhOdFZHYkNaV3hubHU1Y0R0UdIB3wFBVV95cUxOSWNwSnd1LUJFX3BtVU1vN084VTkxel9uazY1ZWVNRFlEZjh1a0dSdTYwUW9QdUJMdFdYNkJ1dlp1enQxRXpGYi05NHo1TnVMOFNaeHVtMm05b2VEU0J0ZVZvcGh4aTBsMUM1SzczbXlNemNXclZRQ2NqcXhnSGhqOVg4aUkwZUI1Y2tadUZTdmNFNXRQM0dqQTliSDcyY09MX20wVmNqMWUycUk2Rnc5MlI5Q0NWcVFPb1YzQV9fbUFNbDZVS1RabVB3ZGNMZGZKbUJ5MkFlTHIxcVpUcDhV?oc=5"" target=""_blank"">Which country is the real land of the rising sun? It’s not Japan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Chennai Braces For Heavy Rain, Power Cuts, Waterlogging Amid IMD's Alert; Check Region-Wise Forecast - MSN",https://news.google.com/rss/articles/CBMi8wFBVV95cUxQVENVVnBHNzdnMUdJVU5LeGZDcmdqWWlvUlFqUjRicmRKNTNIUi1HczFTQ3hlb0t4dU12aUw3Si1tTGtUNFZuS2xacl8zeEo1Yy1BcmNtZUkxeFNEZ1hHR2o4ZEp6OG5wa2V1ay1VVU53aWtYU0FfbHloVTUwSkJfSXBQYjJTc2JXVV9QY1o1SFJFa08wanVxUUw4VmhWdnB3bVk2Y0d6WWhOaTA1S2JsY0xzV09QdHQ0TWhsc1FTcTV4aE5WaXVWQ0wxQ1hrM3E3Nm43cFF2TjY5R3I1QWJMMHliZWMtdm5tNzZBSXJDSm9kcU0?oc=5,2025-11-06 20:51:28,MSN,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxQVENVVnBHNzdnMUdJVU5LeGZDcmdqWWlvUlFqUjRicmRKNTNIUi1HczFTQ3hlb0t4dU12aUw3Si1tTGtUNFZuS2xacl8zeEo1Yy1BcmNtZUkxeFNEZ1hHR2o4ZEp6OG5wa2V1ay1VVU53aWtYU0FfbHloVTUwSkJfSXBQYjJTc2JXVV9QY1o1SFJFa08wanVxUUw4VmhWdnB3bVk2Y0d6WWhOaTA1S2JsY0xzV09QdHQ0TWhsc1FTcTV4aE5WaXVWQ0wxQ1hrM3E3Nm43cFF2TjY5R3I1QWJMMHliZWMtdm5tNzZBSXJDSm9kcU0?oc=5"" target=""_blank"">Chennai Braces For Heavy Rain, Power Cuts, Waterlogging Amid IMD's Alert; Check Region-Wise Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
