Title,Link,Date,Source,Summary,Term,LanguageQueried
தமிழகத்தில் லேசான மழைக்கு வாய்ப்பு : வெயில் எப்படி இருக்கும்? - வானிலை அப்டேட் - Samayam Tamil,https://news.google.com/rss/articles/CBMi1wFBVV95cUxQQ1czWDVFeGJhRjJNUEYwUVotNFNjd08wbzBWTkpiT2NITjZTTlg4RnhNRFVUYkZWZmZRQlhUeE1ILUtlQndxLV93TWZ4WU1LdWFvWS1STkFzc3F4WmNrWFRLX1dBc2tNbThOS3oySS1CaGxNTzluSjJrZTJqVWFMTTVRSUs3U01yczdja0ZrZloycThWeVpXTldZZ0hHbU5uSm52dEQydlA1SXZIYlNhWFdkU0gzbFBUSzBXUkhhTEZJamdUMXY2VmVUOUJUYUptSFRDVzVNY9IB3AFBVV95cUxNMHMwbWdhLXIyblowWEJtNi1pcTNhelVIUXRjQ19BTGtXM0NheTliTXR0cHhQUHVnUXBNcGRZV0tKUG9jZjlaOFl2VzdtelFOM25YelVldkppWWpDX1BmcDJkdzMyLXdOYXFZVm45bjA0S0F4dlBWbE5zUk9iSDVmbjRGSFk1VkpuN19fd0xiMEdEdnpNUUxOX0ZtS203SWs4ZTE2U1A4NndwWjJaYTZHOU9aWVFwQUVSejlyQWdyRVBkRWw2aW1ubGpyQmRab1dhekVqWGdpTExXMFJy?oc=5,2025-05-01 20:10:06,Samayam Tamil,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQQ1czWDVFeGJhRjJNUEYwUVotNFNjd08wbzBWTkpiT2NITjZTTlg4RnhNRFVUYkZWZmZRQlhUeE1ILUtlQndxLV93TWZ4WU1LdWFvWS1STkFzc3F4WmNrWFRLX1dBc2tNbThOS3oySS1CaGxNTzluSjJrZTJqVWFMTTVRSUs3U01yczdja0ZrZloycThWeVpXTldZZ0hHbU5uSm52dEQydlA1SXZIYlNhWFdkU0gzbFBUSzBXUkhhTEZJamdUMXY2VmVUOUJUYUptSFRDVzVNY9IB3AFBVV95cUxNMHMwbWdhLXIyblowWEJtNi1pcTNhelVIUXRjQ19BTGtXM0NheTliTXR0cHhQUHVnUXBNcGRZV0tKUG9jZjlaOFl2VzdtelFOM25YelVldkppWWpDX1BmcDJkdzMyLXdOYXFZVm45bjA0S0F4dlBWbE5zUk9iSDVmbjRGSFk1VkpuN19fd0xiMEdEdnpNUUxOX0ZtS203SWs4ZTE2U1A4NndwWjJaYTZHOU9aWVFwQUVSejlyQWdyRVBkRWw2aW1ubGpyQmRab1dhekVqWGdpTExXMFJy?oc=5"" target=""_blank"">தமிழகத்தில் லேசான மழைக்கு வாய்ப்பு : வெயில் எப்படி இருக்கும்? - வானிலை அப்டேட்</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samayam Tamil</font>",Heatwave,ta
தமிழகத்துக்கு இன்று டேஞ்சர் அலர்ட் கொடுத்து பொதுமக்களை அலறவிடும் வானிலை மையம்! - Asianet News Tamil,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQRGlkVU51a1BIazB6a2hJT3k3YkFyOHBfdEpnMV9ITExrOWVuRGo3ZU1DOWVsTUo3Q21VUGJoQWhXU2hjTGN3aWFQX1NuaGVFX1FRanpFLW90YUpFSWtLXzNoTmNHU1I2bWI1RzR6eEN0X3ROczd5THROQS1seHJHWnRJeTR2STczdzZvSnhCbEljX2ZpMXVlZXlldmw2VGZmWk1SX3IzNzk2VXI1RDhzNzQ5Z0M3a0ROdnVUUHNTVlcxS1pjR2dob21Uak9HQXdibEx6LWRR0gHbAUFVX3lxTE50VER4TlktV3ZmYjZOdnhUbkxmMkdPWFZYMjl4dnJmWXEzVGFYWW1US0FQYmJ4T0kxSlhmeGZrVGdPRXlJY19vckxtWDY5MC03bHJPVjcxQlAtLVh3WExJWU56TXJOaWdmTGFCUmZiM0FSSzNreU5jU0E0UkNVMGhuRHp2ZTBJaTFyNmszYWJFdVZGeDZ0dGdRYWZpZEFvZXFBT25LWjJSTnlxR2FlQXpIUm42bWtqWk16RWYxTFp6NzRHY3FUM2hJNWhFZ0VqSUFJWjNxaThQZlhTZw?oc=5,2025-05-01 10:48:10,Asianet News Tamil,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQRGlkVU51a1BIazB6a2hJT3k3YkFyOHBfdEpnMV9ITExrOWVuRGo3ZU1DOWVsTUo3Q21VUGJoQWhXU2hjTGN3aWFQX1NuaGVFX1FRanpFLW90YUpFSWtLXzNoTmNHU1I2bWI1RzR6eEN0X3ROczd5THROQS1seHJHWnRJeTR2STczdzZvSnhCbEljX2ZpMXVlZXlldmw2VGZmWk1SX3IzNzk2VXI1RDhzNzQ5Z0M3a0ROdnVUUHNTVlcxS1pjR2dob21Uak9HQXdibEx6LWRR0gHbAUFVX3lxTE50VER4TlktV3ZmYjZOdnhUbkxmMkdPWFZYMjl4dnJmWXEzVGFYWW1US0FQYmJ4T0kxSlhmeGZrVGdPRXlJY19vckxtWDY5MC03bHJPVjcxQlAtLVh3WExJWU56TXJOaWdmTGFCUmZiM0FSSzNreU5jU0E0UkNVMGhuRHp2ZTBJaTFyNmszYWJFdVZGeDZ0dGdRYWZpZEFvZXFBT25LWjJSTnlxR2FlQXpIUm42bWtqWk16RWYxTFp6NzRHY3FUM2hJNWhFZ0VqSUFJWjNxaThQZlhTZw?oc=5"" target=""_blank"">தமிழகத்துக்கு இன்று டேஞ்சர் அலர்ட் கொடுத்து பொதுமக்களை அலறவிடும் வானிலை மையம்!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet News Tamil</font>",Heatwave,ta
வாட்டி வதைக்க காத்திருக்கும் வெயில்! வானிலை ஆய்வு மையம் கொடுத்த முக்கிய தகவல்! - dinasuvadu.com,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPdkx6dDg4UlJiaDFETFg5MTN3aXMtQWcwNU9KUVFldGJCeFhlbVE5dUNhU2JQcFl2OUtQM2FpQWVDd1FzOGg0RzhLY1pkd1d2bmVVTzFodDA1b0R2dUF5RXlmRVpDdGFNdmFmY2ZDR0swdzg3dXpzUmEwZ1NpZExPbEt3SG1lSWhlTlRvVFFjWDJWTGtHeGRqYXUxODl5Nmd4dXlmcUNMcGZlelRscDB4XzdVUjhoMEtxVE5lMTllbF9jc0pweEZSbTBINmlBSUtNd2dGYWJZZ05DWlUyVC1Qb0tVNXkxZw?oc=5,2025-05-01 14:34:35,dinasuvadu.com,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPdkx6dDg4UlJiaDFETFg5MTN3aXMtQWcwNU9KUVFldGJCeFhlbVE5dUNhU2JQcFl2OUtQM2FpQWVDd1FzOGg0RzhLY1pkd1d2bmVVTzFodDA1b0R2dUF5RXlmRVpDdGFNdmFmY2ZDR0swdzg3dXpzUmEwZ1NpZExPbEt3SG1lSWhlTlRvVFFjWDJWTGtHeGRqYXUxODl5Nmd4dXlmcUNMcGZlelRscDB4XzdVUjhoMEtxVE5lMTllbF9jc0pweEZSbTBINmlBSUtNd2dGYWJZZ05DWlUyVC1Qb0tVNXkxZw?oc=5"" target=""_blank"">வாட்டி வதைக்க காத்திருக்கும் வெயில்! வானிலை ஆய்வு மையம் கொடுத்த முக்கிய தகவல்!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dinasuvadu.com</font>",Heatwave,ta
Tamil Nadu Set to Face Severe Heatwave from May 4 - urbanacres.in,https://news.google.com/rss/articles/CBMifEFVX3lxTE5mMDY3NUZ2RVZHWWRmeDdQc0FMRU1LUkh3cTJwZlJqTmN1a3EyU0d0VEZfWlN2VXY5Q2ctcXlSNm5hd1BIQ0lHblUzQXJ5eEFJMW9sd2RpR285X2ZkQ252RXN3ZnN2MWJ1TW9VclYxX280clJQSFVvX3YzcS0?oc=5,2025-05-02 08:08:06,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE5mMDY3NUZ2RVZHWWRmeDdQc0FMRU1LUkh3cTJwZlJqTmN1a3EyU0d0VEZfWlN2VXY5Q2ctcXlSNm5hd1BIQ0lHblUzQXJ5eEFJMW9sd2RpR285X2ZkQ252RXN3ZnN2MWJ1TW9VclYxX280clJQSFVvX3YzcS0?oc=5"" target=""_blank"">Tamil Nadu Set to Face Severe Heatwave from May 4</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Heatwave,en
"Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR - Siasat.com",https://news.google.com/rss/articles/CBMipAFBVV95cUxQY2dSUEVVNXU3RkdWRFYwcE1yS1lUM1dubmc1c2NKT29xaVpQckxuOW1XYzlFX0xGdV9CNlNhN0lRbFZXMF9MOWRGdWFESGNXOXgzelQ4MVhmeXB5Z1ljYkJtYThpSXJybTFkbURBMzZUbFBCaVZ3bjRtdl9ZVnI5Q2VzVnJXaU5odHdMSjVHd056eGZTOUlaT09hQlZnamlzUzJDdtIBqgFBVV95cUxNM0hKR2VFalpuRGxYakdWOE5la1RkMXQ3cE0tX1UzaS1lMmxFaHNMcXlHX3BGMmwwbFppTlRQczJIOTdTamlqZ3ZrbjcxMnB6ZzM1N2RWYTVzNDFIbWx1YTNUSDBIc2ZSb2ZMOTBvRHZMVmdaTHBubEI2UEw2QWdwQnNBaklNUDd2YWhzVXBjaHk0RG93djE5Z0RkdnlyS3VQcUhQR1JDQzFoZw?oc=5,2025-05-02 08:20:00,Siasat.com,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQY2dSUEVVNXU3RkdWRFYwcE1yS1lUM1dubmc1c2NKT29xaVpQckxuOW1XYzlFX0xGdV9CNlNhN0lRbFZXMF9MOWRGdWFESGNXOXgzelQ4MVhmeXB5Z1ljYkJtYThpSXJybTFkbURBMzZUbFBCaVZ3bjRtdl9ZVnI5Q2VzVnJXaU5odHdMSjVHd056eGZTOUlaT09hQlZnamlzUzJDdtIBqgFBVV95cUxNM0hKR2VFalpuRGxYakdWOE5la1RkMXQ3cE0tX1UzaS1lMmxFaHNMcXlHX3BGMmwwbFppTlRQczJIOTdTamlqZ3ZrbjcxMnB6ZzM1N2RWYTVzNDFIbWx1YTNUSDBIc2ZSb2ZMOTBvRHZMVmdaTHBubEI2UEw2QWdwQnNBaklNUDd2YWhzVXBjaHk0RG93djE5Z0RkdnlyS3VQcUhQR1JDQzFoZw?oc=5"" target=""_blank"">Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Siasat.com</font>",Heatwave,en
Heat And Rain Forecast Across India This Week - Evrim Ağacı,https://news.google.com/rss/articles/CBMihgFBVV95cUxQMTFnYWdwSGtfb29NaHlzenZsak9wSl9TN0ljbjRmNFZjYnEtUjlsZHI1ZXZjNU5hclNiQUNQWWlHTWJKZ21pZUpLczFNTlBBR2w0bEs2d0NFTnBTNUEwc0R1UVFTQ3I3ZnhnUzRhc0FoN2lOWU1FMG9WZkx3WGlVZGhBcDB3Zw?oc=5,2025-05-01 22:24:00,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMihgFBVV95cUxQMTFnYWdwSGtfb29NaHlzenZsak9wSl9TN0ljbjRmNFZjYnEtUjlsZHI1ZXZjNU5hclNiQUNQWWlHTWJKZ21pZUpLczFNTlBBR2w0bEs2d0NFTnBTNUEwc0R1UVFTQ3I3ZnhnUzRhc0FoN2lOWU1FMG9WZkx3WGlVZGhBcDB3Zw?oc=5"" target=""_blank"">Heat And Rain Forecast Across India This Week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Heatwave,en
Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2 - Down To Earth,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5,2025-05-01 10:19:36,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5"" target=""_blank"">Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Tamil Nadu Braces for Scorching Heat as Kathiri Veyil Begins May 4 - LiveChennai,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1xYWkzRVRDX2wtN0gzZ2E5ZF9SNk9nOHVQR0hnMHQwRU5uUFZYaGdzb2lkUmI1VzdoYW9HX1hsYmFZcTFYSHdQWHpNU1E1dHNwUy0taUZEQ3VVVjVmWWNPYWVlM2ltQQ?oc=5,2025-05-01 17:37:45,LiveChennai,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1xYWkzRVRDX2wtN0gzZ2E5ZF9SNk9nOHVQR0hnMHQwRU5uUFZYaGdzb2lkUmI1VzdoYW9HX1hsYmFZcTFYSHdQWHpNU1E1dHNwUy0taUZEQ3VVVjVmWWNPYWVlM2ltQQ?oc=5"" target=""_blank"">Tamil Nadu Braces for Scorching Heat as Kathiri Veyil Begins May 4</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LiveChennai</font>",Heatwave,en
"IMD May weather forecast: Thunderstorms, rain and heatwave to impact large parts of India in first week - CNBC TV18",https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQkowNFNwWlZJQkV2U2FmVlhERlhIVm1PMWtGWDhLc1Z4QTJ2aGx3bUVsRktQcmlkZHhlSnh3anhOZHFPUHZzYXg5QWRiaXdkVnEyVzRqRkY1WU8yYlBHUElIbFdLVnNtblJwOXp1RENwYzItTnFrNDNSakRlNHFuMjlQNjM4ZkVrYVI2eGtla0g1eFpqRWxxUnZ3QWZSY0I1Tm0xZ3pnMlo3Y2dlcEVDeTI5ZmttRUFYeV9LUW5NeDVreXpPcEowZHVSSDY3TnV1cVViSnRVRHJSQjM3aFJUa19SYlhEbTlEWkhiUVRfQjZLNS1kNTl0bnlvZ9IBgAJBVV95cUxQVk81dDVjb3lBVG1ZNlBVajUxVDkzSW81VnJUcmcxdHQwNE9QYVE0aHdJSlZCeXBuWUJKbFp0VnNwZjBNeG5YWVByampVaGctZURXVlY2dUd5QlFRMFJISXZxVUI5MjB5Z3doSVRiZWdRTEhtNUo0S0VqZ2VXN1A5RTczTVdWX1htWmNKc2l5MFBrVFNTUHh3d09vb2prUnFPVEZNS3dWZXFlWUQwMzh3ZFZxVlNuTzZhdzgwSGdPdEZXUUNURlg1d2ExQnJrWmxzcEo4MVlCRmZFYUNRRXJuRHdMcGZNV2h5RDVqczd2bnBxRVl6cThkR3hqbmR0bXBn?oc=5,2025-05-01 10:21:39,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQkowNFNwWlZJQkV2U2FmVlhERlhIVm1PMWtGWDhLc1Z4QTJ2aGx3bUVsRktQcmlkZHhlSnh3anhOZHFPUHZzYXg5QWRiaXdkVnEyVzRqRkY1WU8yYlBHUElIbFdLVnNtblJwOXp1RENwYzItTnFrNDNSakRlNHFuMjlQNjM4ZkVrYVI2eGtla0g1eFpqRWxxUnZ3QWZSY0I1Tm0xZ3pnMlo3Y2dlcEVDeTI5ZmttRUFYeV9LUW5NeDVreXpPcEowZHVSSDY3TnV1cVViSnRVRHJSQjM3aFJUa19SYlhEbTlEWkhiUVRfQjZLNS1kNTl0bnlvZ9IBgAJBVV95cUxQVk81dDVjb3lBVG1ZNlBVajUxVDkzSW81VnJUcmcxdHQwNE9QYVE0aHdJSlZCeXBuWUJKbFp0VnNwZjBNeG5YWVByampVaGctZURXVlY2dUd5QlFRMFJISXZxVUI5MjB5Z3doSVRiZWdRTEhtNUo0S0VqZ2VXN1A5RTczTVdWX1htWmNKc2l5MFBrVFNTUHh3d09vb2prUnFPVEZNS3dWZXFlWUQwMzh3ZFZxVlNuTzZhdzgwSGdPdEZXUUNURlg1d2ExQnJrWmxzcEo4MVlCRmZFYUNRRXJuRHdMcGZNV2h5RDVqczd2bnBxRVl6cThkR3hqbmR0bXBn?oc=5"" target=""_blank"">IMD May weather forecast: Thunderstorms, rain and heatwave to impact large parts of India in first week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
Tamil Nadu: Summer heat in May to be more intense than usual - dtnext,https://news.google.com/rss/articles/CBMipgFBVV95cUxNNk5zTTNVdDB3RVNlQ2tsR1lvdVYzRUxfdVlyU2IzbF9LRTZGWUM4OVdLUVM5dnpweC1VeVRicElnYThIcFhubWp4OUJwc0piYmhYeWFYdmgwMEtuOTNSNU0yeG1BaWFPaTdaaHJwV3lIUjRpYjJ2ZWZLcFNqUzR5d3V4U0Jla1RLTW5fdlVnc3NtWWg0S01pRWpjUXpRVHp5SU1kRnZ30gGrAUFVX3lxTE5fWlhlcGdWd2ZFeUFjUWtpM0JtcWxDMFN4dXRvSURtM29PeC0wLVR0NVlkMENKWGhQelhncVhzS3BjUVBYV2EyckwzSFNxTmRfUEdjeGlaMW44XzV3bXoxR2FfTkpVcWg4OHdvR1ZWbDVNdkpjNjNibm96RmRFVEU5LXBsbEp6SEdVNFNTenc5bGhDNjlYRjFzV25OTGpKS3V4ZUdJYk1scHlacw?oc=5,2025-05-01 12:46:32,dtnext,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNNk5zTTNVdDB3RVNlQ2tsR1lvdVYzRUxfdVlyU2IzbF9LRTZGWUM4OVdLUVM5dnpweC1VeVRicElnYThIcFhubWp4OUJwc0piYmhYeWFYdmgwMEtuOTNSNU0yeG1BaWFPaTdaaHJwV3lIUjRpYjJ2ZWZLcFNqUzR5d3V4U0Jla1RLTW5fdlVnc3NtWWg0S01pRWpjUXpRVHp5SU1kRnZ30gGrAUFVX3lxTE5fWlhlcGdWd2ZFeUFjUWtpM0JtcWxDMFN4dXRvSURtM29PeC0wLVR0NVlkMENKWGhQelhncVhzS3BjUVBYV2EyckwzSFNxTmRfUEdjeGlaMW44XzV3bXoxR2FfTkpVcWg4OHdvR1ZWbDVNdkpjNjNibm96RmRFVEU5LXBsbEp6SEdVNFNTenc5bGhDNjlYRjFzV25OTGpKS3V4ZUdJYk1scHlacw?oc=5"" target=""_blank"">Tamil Nadu: Summer heat in May to be more intense than usual</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dtnext</font>",Heatwave,en
