Title,Link,Date,Source,Summary,Term,LanguageQueried
Nearly all of Tamil Nadu facing high or very high heat risk - The New Indian Express,https://news.google.com/rss/articles/CBMivwFBVV95cUxPRllrWDVHMVlkWW5ua25FVlNvN3ozVFQ1ZjMyRzZESG5BcmNtaGhYM2hFdUJNNnU1UUU1cXhPem8xU3NQaE1FSS1jUmxHQWxGSFN6VElvdVZTWHFLa0UzT1hMamI3enlHWXpuMTJ3RTlCYXpSUXJnOHlMZXprV0R5TUJhQUVTSE9pNTB2b01NMXBwbWRiWGxITDR4U21KTlJVamtkUDlud3l6YllsNUYwS2Rfd1BGSHFQOFphWXk0Z9IBzAFBVV95cUxOWW92bWVQTEpveDZvZzBza0xFMU15RmNXeFpsajZZTkdQbXU0dDJlcTItUjlRWklzT01KWjNCald2UkV4SDIyZ1ZwNkpndWhyLWRWYXFTdW0tLVZ5M0FIN0pDbzltZHV6bEg5NWNfQnV1dmdOSm9rT2hSVHVDYlRsWFFLMmo1aDVKUndjUThTa09ZQWdDVkpGbnNuaWRMaXp0RFY1dHJQNzM0R0M5c3N6SzJuX0Z4cUhnZ0kzWTk0OV81N0dlT3BPXzlqcU0?oc=5,2025-05-21 07:56:35,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPRllrWDVHMVlkWW5ua25FVlNvN3ozVFQ1ZjMyRzZESG5BcmNtaGhYM2hFdUJNNnU1UUU1cXhPem8xU3NQaE1FSS1jUmxHQWxGSFN6VElvdVZTWHFLa0UzT1hMamI3enlHWXpuMTJ3RTlCYXpSUXJnOHlMZXprV0R5TUJhQUVTSE9pNTB2b01NMXBwbWRiWGxITDR4U21KTlJVamtkUDlud3l6YllsNUYwS2Rfd1BGSHFQOFphWXk0Z9IBzAFBVV95cUxOWW92bWVQTEpveDZvZzBza0xFMU15RmNXeFpsajZZTkdQbXU0dDJlcTItUjlRWklzT01KWjNCald2UkV4SDIyZ1ZwNkpndWhyLWRWYXFTdW0tLVZ5M0FIN0pDbzltZHV6bEg5NWNfQnV1dmdOSm9rT2hSVHVDYlRsWFFLMmo1aDVKUndjUThTa09ZQWdDVkpGbnNuaWRMaXp0RFY1dHJQNzM0R0M5c3N6SzJuX0Z4cUhnZ0kzWTk0OV81N0dlT3BPXzlqcU0?oc=5"" target=""_blank"">Nearly all of Tamil Nadu facing high or very high heat risk</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",Heatwave,en
3/4th of India's population at 'high' to 'very high' heat risk: CEEW study - The Hindu,https://news.google.com/rss/articles/CBMixAFBVV95cUxQNkFfZzVBcndxQlhadUJCWDhIZHcweDhPOF9jNGdGeE5pV2QtWEd3UEh4cmF4V0p1cE1ETjdTd0RHM2tFYXliX2gwSUt1bHpCRlY3MG52TW81UDJjUFVxV3MxbmhyOHVrVG1mOVRlamVGZkNKemdlcDg3c0U4b0UxeWdsdmwta3M0SDhaWGV0NUJSX01zM0xSUGI4TThoNHlDdU1ENXE4a1pIQzI1X2ZXdzNrcVloeWFXMlRLUWk3WE1qUlpT0gHLAUFVX3lxTE9VWGV1clpxcnFsQlZNMHhpX2wtUmVLUUZEcTVPenZiNG5BcXlRV1JnUDdYS2pNZjRNMlFURWV2Q2U3TUhrekpSWlRLTDM2MU43OHpwaGhDQWh4UDFqYndZYzIwbG9hYWtlalZrbEVjWDd3aVFCbDNzQkFSS3hSTkxELVlPWGtVUy11TDBLaFJyXzJsTUhfMXFuVHk0cTRjMW92Z2VVaEE4SDFHVlZpaVNKVTBEdjRfTE82VlJTSmljT0dnYzZaRDgtTGE4?oc=5,2025-05-20 15:19:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxQNkFfZzVBcndxQlhadUJCWDhIZHcweDhPOF9jNGdGeE5pV2QtWEd3UEh4cmF4V0p1cE1ETjdTd0RHM2tFYXliX2gwSUt1bHpCRlY3MG52TW81UDJjUFVxV3MxbmhyOHVrVG1mOVRlamVGZkNKemdlcDg3c0U4b0UxeWdsdmwta3M0SDhaWGV0NUJSX01zM0xSUGI4TThoNHlDdU1ENXE4a1pIQzI1X2ZXdzNrcVloeWFXMlRLUWk3WE1qUlpT0gHLAUFVX3lxTE9VWGV1clpxcnFsQlZNMHhpX2wtUmVLUUZEcTVPenZiNG5BcXlRV1JnUDdYS2pNZjRNMlFURWV2Q2U3TUhrekpSWlRLTDM2MU43OHpwaGhDQWh4UDFqYndZYzIwbG9hYWtlalZrbEVjWDd3aVFCbDNzQkFSS3hSTkxELVlPWGtVUy11TDBLaFJyXzJsTUhfMXFuVHk0cTRjMW92Z2VVaEE4SDFHVlZpaVNKVTBEdjRfTE82VlJTSmljT0dnYzZaRDgtTGE4?oc=5"" target=""_blank"">3/4th of India's population at 'high' to 'very high' heat risk: CEEW study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Heatwave,en
"Weather Update: Monsoon Nears Kerala as Heavy Rains Lash Karnataka, Tamil Nadu, Maharashtra; Heatwave Grips Delhi, Rajasthan and Haryana – Check Full Forecast Here - Krishi Jagran",https://news.google.com/rss/articles/CBMipAJBVV95cUxNNWF4R0l5SXI0bl91Vnd6czRCVXN6NjVBcEl4TE5CYm9CUjNDbGZUYWFMT3lOTUJISVBJVU9JVEg3U2dIUG5zaGJSQlRmUkNGRUpMRFFjVTVnS0dicWc3cTRkMkZSMlpheENmWEZIVGdIV21jNWRXRTNSTTFCeG81alBiNnB0cC0tRUMxWVQtNlczdU1EWGhqdDdscXV3Y1dITDA5cmdZamtpYXg4S0c4RlgtVmoxaHA5X0pfbE1jUmlIcmpDdHliRmhYdGYzdHhtZ1JuWnFKTlc2cEFyMHlwbEZPd0E4V1ZNcTZEUjFqU2RPdWxtVmdCRHAtVS1SSUlCUlEzdFdqT0lBa2k5S1d2eVlwcWNQU1hFc2FLbWk0aUJUZUNB?oc=5,2025-05-21 07:27:00,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMipAJBVV95cUxNNWF4R0l5SXI0bl91Vnd6czRCVXN6NjVBcEl4TE5CYm9CUjNDbGZUYWFMT3lOTUJISVBJVU9JVEg3U2dIUG5zaGJSQlRmUkNGRUpMRFFjVTVnS0dicWc3cTRkMkZSMlpheENmWEZIVGdIV21jNWRXRTNSTTFCeG81alBiNnB0cC0tRUMxWVQtNlczdU1EWGhqdDdscXV3Y1dITDA5cmdZamtpYXg4S0c4RlgtVmoxaHA5X0pfbE1jUmlIcmpDdHliRmhYdGYzdHhtZ1JuWnFKTlc2cEFyMHlwbEZPd0E4V1ZNcTZEUjFqU2RPdWxtVmdCRHAtVS1SSUlCUlEzdFdqT0lBa2k5S1d2eVlwcWNQU1hFc2FLbWk0aUJUZUNB?oc=5"" target=""_blank"">Weather Update: Monsoon Nears Kerala as Heavy Rains Lash Karnataka, Tamil Nadu, Maharashtra; Heatwave Grips Delhi, Rajasthan and Haryana – Check Full Forecast Here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
North India turns into sauna - Daily Pioneer,https://news.google.com/rss/articles/CBMifkFVX3lxTE9TMlJHV3RuenlvN2dIUUJnRzhOZnA5S05pUDl5Ymc5SG5yNTI4Uk9mVmJ0WC1leTJnN0l1ZDZBWE1sczN3UDlTR2k2eWVfbkNqOFZnYlEtX3lkcDJ4WUE5QzRRTl92MENjRUFPTjJoa1hUT0Q1NzI5bklhSlc2dw?oc=5,2025-05-21 00:01:35,Daily Pioneer,"<a href=""https://news.google.com/rss/articles/CBMifkFVX3lxTE9TMlJHV3RuenlvN2dIUUJnRzhOZnA5S05pUDl5Ymc5SG5yNTI4Uk9mVmJ0WC1leTJnN0l1ZDZBWE1sczN3UDlTR2k2eWVfbkNqOFZnYlEtX3lkcDJ4WUE5QzRRTl92MENjRUFPTjJoa1hUT0Q1NzI5bklhSlc2dw?oc=5"" target=""_blank"">North India turns into sauna</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Pioneer</font>",Heatwave,en
States in Indo-Gangetic Plain record spike in humid heat days: Study - Hindustan Times,https://news.google.com/rss/articles/CBMixwFBVV95cUxPdzBJOTlINDhrNmNISXUxWDQxSFpVTXhqdWlmUHJBZ2FqcWw3YnJDcmVyakNHdFZLRXQxalF4Z3NreUxDeUNnaG9pUE14UXlSYjZXWnNnUFMxN0hVVXZBLTJ6d013cnpnN1NlU1BwOU9oVC1IVE1oUW1POVhFYnFmcGcyZ01IVnhycHQyM09uaDE2WkNsNGlZVUt0YXNzWTlqLTZQQ25rcTRZZEFqdGpKYjVpNWl1RkZfTm50elNEZ0l6U1RzbGZn0gHMAUFVX3lxTE16eUVnSHIyVTdvVkNScjR0ZUV5bzJjeDgyZ1Jycjl4amJvVGhPTmVsZkIyNGRLeFJwaDJUSy1wRGplc3A4VlpNeG1vd24xeVVZUkZlR0pOR3NQWW81X2F6Q201NDZGU3lESl80d28ta2Y3NDVzZXhyQllmT3c3YUptSHROTmd6cnRFb1JYRXBnMGVTUXM5ZHB2WHgwcGNnWE9XR2M5UlZVanR1ZEpuZE5KOE4yMVdPRGUzb0Y5WElRVU80RTN3bWhTd2k1dg?oc=5,2025-05-20 11:03:51,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPdzBJOTlINDhrNmNISXUxWDQxSFpVTXhqdWlmUHJBZ2FqcWw3YnJDcmVyakNHdFZLRXQxalF4Z3NreUxDeUNnaG9pUE14UXlSYjZXWnNnUFMxN0hVVXZBLTJ6d013cnpnN1NlU1BwOU9oVC1IVE1oUW1POVhFYnFmcGcyZ01IVnhycHQyM09uaDE2WkNsNGlZVUt0YXNzWTlqLTZQQ25rcTRZZEFqdGpKYjVpNWl1RkZfTm50elNEZ0l6U1RzbGZn0gHMAUFVX3lxTE16eUVnSHIyVTdvVkNScjR0ZUV5bzJjeDgyZ1Jycjl4amJvVGhPTmVsZkIyNGRLeFJwaDJUSy1wRGplc3A4VlpNeG1vd24xeVVZUkZlR0pOR3NQWW81X2F6Q201NDZGU3lESl80d28ta2Y3NDVzZXhyQllmT3c3YUptSHROTmd6cnRFb1JYRXBnMGVTUXM5ZHB2WHgwcGNnWE9XR2M5UlZVanR1ZEpuZE5KOE4yMVdPRGUzb0Y5WElRVU80RTN3bWhTd2k1dg?oc=5"" target=""_blank"">States in Indo-Gangetic Plain record spike in humid heat days: Study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"IMD forecasts heatwave in Gangetic West Bengal, Jharkhand - The Right News",https://news.google.com/rss/articles/CBMinAFBVV95cUxQTS04dDFaU25zdC1tLS1zcmFXSkJEQ3I4ZEYyS1FMRzNlUVJmQ2VLTmhiN1FEWHF5U0p3YjFHMzUwTVhjX0Vka0I2U1Zsb01MVnBVOVc5M1gzY1FxSlhfUGRnYUtsVWJDUkQ5cGlfZ3dvd2RvRFBpMElNQnJXUjh0Z3pUVGJGbkZIVGljUzB6SUVIYUphR1RlMkJlY20?oc=5,2025-05-21 03:59:14,The Right News,"<a href=""https://news.google.com/rss/articles/CBMinAFBVV95cUxQTS04dDFaU25zdC1tLS1zcmFXSkJEQ3I4ZEYyS1FMRzNlUVJmQ2VLTmhiN1FEWHF5U0p3YjFHMzUwTVhjX0Vka0I2U1Zsb01MVnBVOVc5M1gzY1FxSlhfUGRnYUtsVWJDUkQ5cGlfZ3dvd2RvRFBpMElNQnJXUjh0Z3pUVGJGbkZIVGljUzB6SUVIYUphR1RlMkJlY20?oc=5"" target=""_blank"">IMD forecasts heatwave in Gangetic West Bengal, Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Right News</font>",Heatwave,en
"Daily weather tracker: Extremely heavy rain likely in isolated places over Karnataka today, day after - Down To Earth",https://news.google.com/rss/articles/CBMi3gFBVV95cUxNeHE3MlBIUE82Y0tMQWk0SU5Ec2pzV1NQRzJNcld6cDFOMGRXUzZ5YVdoNWdOeEk4SlFHMG9hOHhwUjdoWGpjdEo1TWxQWjZuRFFTeExSMDdGSTF0RWdwdjdNY1Z1QnJ0Q1g1YTFTajRUZWFxMC15TDhjSWVaRlJJMVRLZGtKSml4dDJMT1llSG1tMnY3Sm1QSFBNeFhhMXdqckpnTDY3N1d1OWdSblQtRVhpZVFxMDBNWTQ3MVVNa3EtM2d6OUdwNFhTWmxocmc4NVF1bVpoQUs2ZEYxb1HSAesBQVVfeXFMT01iWGY2Z1FGU2tMWWE1ZU52bW55RHZvTDRqVm5vM0M4M004VmNTMXFua0NlWGVoSzdCaW5TTjlqbDRCLWdQUFpxdU5Vbkx4Vk5yTUVQUlpuMThscE9sQm1JeUZrN1dSbGd0WXlseTAzRF9mZWhQVEY3OFYxTjFfMVUxOXoxZEh5bjlFcW94RzYtMHlkSEg1MHotYlB0SDdsSWcyLVZ0NTN2bXEyMC1hVUtGMzNOM2FwTjlFQlcyMW9rYlNIVEx2NWRMWmMxblI5ZHh4ZGoteGZLT1BodTdsVkNWeVc3ZGpfZWhWcw?oc=5,2025-05-20 18:04:09,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxNeHE3MlBIUE82Y0tMQWk0SU5Ec2pzV1NQRzJNcld6cDFOMGRXUzZ5YVdoNWdOeEk4SlFHMG9hOHhwUjdoWGpjdEo1TWxQWjZuRFFTeExSMDdGSTF0RWdwdjdNY1Z1QnJ0Q1g1YTFTajRUZWFxMC15TDhjSWVaRlJJMVRLZGtKSml4dDJMT1llSG1tMnY3Sm1QSFBNeFhhMXdqckpnTDY3N1d1OWdSblQtRVhpZVFxMDBNWTQ3MVVNa3EtM2d6OUdwNFhTWmxocmc4NVF1bVpoQUs2ZEYxb1HSAesBQVVfeXFMT01iWGY2Z1FGU2tMWWE1ZU52bW55RHZvTDRqVm5vM0M4M004VmNTMXFua0NlWGVoSzdCaW5TTjlqbDRCLWdQUFpxdU5Vbkx4Vk5yTUVQUlpuMThscE9sQm1JeUZrN1dSbGd0WXlseTAzRF9mZWhQVEY3OFYxTjFfMVUxOXoxZEh5bjlFcW94RzYtMHlkSEg1MHotYlB0SDdsSWcyLVZ0NTN2bXEyMC1hVUtGMzNOM2FwTjlFQlcyMW9rYlNIVEx2NWRMWmMxblI5ZHh4ZGoteGZLT1BodTdsVkNWeVc3ZGpfZWhWcw?oc=5"" target=""_blank"">Daily weather tracker: Extremely heavy rain likely in isolated places over Karnataka today, day after</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
Not just daytime heat—India's nights are getting dangerously hot - ET EnergyWorld,https://news.google.com/rss/articles/CBMixgFBVV95cUxQOGdVVUhhajJqRjlfUm9veFBGbkh6ZXlaUXdCZ3pydVVzLUEzLUlCTnhScmwyNEdGbHRhVDBtdXMtaWtvZ1hoSk83N1JWSUhmQzAyeG54ZjVnNktMVUgxcUM5QV9JVWJVVk5FY3lSU0drcktaTy1SclZuQjhFeURXS3JsdUdWcjRjT3JvNU1FUVdQSnplcjJzYnNCTTIzY1dteGVHLW5UMldmQWMwUTlfczF5eTBUV3pzcWExRm1YRDlMcFFDWlHSAcsBQVVfeXFMTVZ1OUREZlNYemU0LVpVeU5mdWtpNkRZVy1tNnlVRlBtd2YyOExmdHhfSVYycG1ZdE96Vjg0UXhleDRkZFUxMklWSXJnLWNfSFZqUThQdVBTaXRxU2U5ZGhQQjQ2OXNBR1pfREk5WWhRY0NYeF9tNUVRRGdhLTlXOFNJUWJfalFVVXlIcGI1RGtMY0EwSFJjWVp2YlRwY2VGUkZlRk5PMDN4TGh2cXVSMmRrWVg2YVg2anV3TnlKdmVPUEhRcVdNYzJUN2s?oc=5,2025-05-20 17:15:46,ET EnergyWorld,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxQOGdVVUhhajJqRjlfUm9veFBGbkh6ZXlaUXdCZ3pydVVzLUEzLUlCTnhScmwyNEdGbHRhVDBtdXMtaWtvZ1hoSk83N1JWSUhmQzAyeG54ZjVnNktMVUgxcUM5QV9JVWJVVk5FY3lSU0drcktaTy1SclZuQjhFeURXS3JsdUdWcjRjT3JvNU1FUVdQSnplcjJzYnNCTTIzY1dteGVHLW5UMldmQWMwUTlfczF5eTBUV3pzcWExRm1YRDlMcFFDWlHSAcsBQVVfeXFMTVZ1OUREZlNYemU0LVpVeU5mdWtpNkRZVy1tNnlVRlBtd2YyOExmdHhfSVYycG1ZdE96Vjg0UXhleDRkZFUxMklWSXJnLWNfSFZqUThQdVBTaXRxU2U5ZGhQQjQ2OXNBR1pfREk5WWhRY0NYeF9tNUVRRGdhLTlXOFNJUWJfalFVVXlIcGI1RGtMY0EwSFJjWVp2YlRwY2VGUkZlRk5PMDN4TGh2cXVSMmRrWVg2YVg2anV3TnlKdmVPUEhRcVdNYzJUN2s?oc=5"" target=""_blank"">Not just daytime heat—India's nights are getting dangerously hot</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ET EnergyWorld</font>",Heatwave,en
57 Percent of Indian Districts Face High to Very High Heat Risk: CEEW - Deccan Chronicle,https://news.google.com/rss/articles/CBMiygFBVV95cUxOTk5kcmpKSF9XMy0zR0xrUi1MR181d3NxLXBDLVY4Y091cDJXTy12M3lKZGtnVi1NcDF5VVlFUEVsNkp6MXBfSUdKSmEtLU85ZnRNbHVYeDVuaTVuSXVMVDZFZVU3b3U4T3BDTXRxdHdRb0UybThhaFFOMXVjV2U5N05kS0xOaTZMd21ycUdCN0FuZHAtamxwQ2hULXExNGQ1V3ZoZmVodHRqNXJ5cVVSYThQVjRaMFJ2TmlQS1RsVU5obm9YXzdPQzdn0gHPAUFVX3lxTE9VZEVDUS1HMTBKb01pWE1neXJpYWNDel9LaVpwWF8yeGlFc093b3lKYkQyOVlzN0hFdG83akJVdUxYU0hxYXN1SWFJc2Ftc0hKWXdpdHEyNVNBUFpsTGh3Ynl6Z2YzLWhzM0tjMzhiMnQ4TzZzME5CN0xzNUJqQjZ6WXhsbjJZbC1SOWZLMDFpTGx3QXk1RXBYbjdaVWFib1htWjlUZGZ2TzZwc0o4QS1vcU1sOUFBQWZ3dVlwZ0U1RGozc3JYNGdTT0t2Q0lGVQ?oc=5,2025-05-20 17:50:15,Deccan Chronicle,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOTk5kcmpKSF9XMy0zR0xrUi1MR181d3NxLXBDLVY4Y091cDJXTy12M3lKZGtnVi1NcDF5VVlFUEVsNkp6MXBfSUdKSmEtLU85ZnRNbHVYeDVuaTVuSXVMVDZFZVU3b3U4T3BDTXRxdHdRb0UybThhaFFOMXVjV2U5N05kS0xOaTZMd21ycUdCN0FuZHAtamxwQ2hULXExNGQ1V3ZoZmVodHRqNXJ5cVVSYThQVjRaMFJ2TmlQS1RsVU5obm9YXzdPQzdn0gHPAUFVX3lxTE9VZEVDUS1HMTBKb01pWE1neXJpYWNDel9LaVpwWF8yeGlFc093b3lKYkQyOVlzN0hFdG83akJVdUxYU0hxYXN1SWFJc2Ftc0hKWXdpdHEyNVNBUFpsTGh3Ynl6Z2YzLWhzM0tjMzhiMnQ4TzZzME5CN0xzNUJqQjZ6WXhsbjJZbC1SOWZLMDFpTGx3QXk1RXBYbjdaVWFib1htWjlUZGZ2TzZwc0o4QS1vcU1sOUFBQWZ3dVlwZ0U1RGozc3JYNGdTT0t2Q0lGVQ?oc=5"" target=""_blank"">57 Percent of Indian Districts Face High to Very High Heat Risk: CEEW</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font>",Heatwave,en
57% districts facing extreme heat risk: Study - Scroll.in,https://news.google.com/rss/articles/CBMiggFBVV95cUxNeU9qdmVuV0dYM2tiaV9sNk84WmdBSGZiUnpsbXluQUlhZUZrOWFfWDl5ZWVYZlJ4bXc0MUI1Vk5fQTVfSEwtWERhTEl1R1Ayb1dxb3Fqd0xNZXpYM0g5UjJlMUhIMWxQTEdTY2c0Q3JBVnhMcnlvYXpaeFZUSjBtbmFn0gGHAUFVX3lxTE9VeE1nWmFfejBiZTdZMzMxR1VQN0FrWnRkVmN4M2dod2ZJaGh5dGFJT3JSQUhaZmtIRW5aZ21NdzJmMS04RFZNenlKZWJIYVVoSlVGaHlZX0Z1NzBaUkdFOWxSdGVrSjd5a281RGJEeTlTU29ydjdPWTdSNnJSVDlDdWdpdWVYRQ?oc=5,2025-05-20 15:47:00,Scroll.in,"<a href=""https://news.google.com/rss/articles/CBMiggFBVV95cUxNeU9qdmVuV0dYM2tiaV9sNk84WmdBSGZiUnpsbXluQUlhZUZrOWFfWDl5ZWVYZlJ4bXc0MUI1Vk5fQTVfSEwtWERhTEl1R1Ayb1dxb3Fqd0xNZXpYM0g5UjJlMUhIMWxQTEdTY2c0Q3JBVnhMcnlvYXpaeFZUSjBtbmFn0gGHAUFVX3lxTE9VeE1nWmFfejBiZTdZMzMxR1VQN0FrWnRkVmN4M2dod2ZJaGh5dGFJT3JSQUhaZmtIRW5aZ21NdzJmMS04RFZNenlKZWJIYVVoSlVGaHlZX0Z1NzBaUkdFOWxSdGVrSjd5a281RGJEeTlTU29ydjdPWTdSNnJSVDlDdWdpdWVYRQ?oc=5"" target=""_blank"">57% districts facing extreme heat risk: Study</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Scroll.in</font>",Heatwave,en
