Title,Link,Date,Source,Summary,Place
Chennai and neighbouring districts to witness heavy rains till November 15 - The Hindu,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPNlZxaHUtVE5QWWVYYzhaQ2lWYVdrS2JWa2JOcG03M0NiSnBkWndUNEs3Nll1U0ZucHJrYktRT09sRzdIc1lhRmhHVElWb3NGeF9jUzJuUWhlakFxc1h1UGpwN29meDRsSWVVMjdnMEtSQ2lNYms5S2p4Tm5JX0RNUU9wNlVnV0R1cDRhSU5FLWhBaWRUMF90Tk9aemRuTkdyWGVnOURYMjZEenpBbkdlTk9NZ2dmOXJjQzVNVGhTMkpOU19raFl6NGEwd1QzTXFHaHE2NkFB0gHcAUFVX3lxTE5KcV9zdXZhR2Z4ZWJZbzBHWFFqa2MyZjdBbGptWi1IQkVJWlhNSlEzcEZ4TWxtUkJRejhVaHo2aGlpYWNvQ3paYzQ0VGpOLTFhNHFxUTBaTW1ja2hDaTVuT19CYk9xdUFIMmJEd3ZGVU5WSmVBU25LSTFaNk9LdzgzNmxiN2RvaTBpaERkR0hVemMyZVlPalN0cTlfclpKdVlVVWVzWndHUnBVbHcwemF2dE9QbENwOGVFYTlabW1JZ0VnUmZRR3JSazUtbHAzeUZWUWg0M2NZTXZCMFU?oc=5,2024-11-12 15:11:19,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxPNlZxaHUtVE5QWWVYYzhaQ2lWYVdrS2JWa2JOcG03M0NiSnBkWndUNEs3Nll1U0ZucHJrYktRT09sRzdIc1lhRmhHVElWb3NGeF9jUzJuUWhlakFxc1h1UGpwN29meDRsSWVVMjdnMEtSQ2lNYms5S2p4Tm5JX0RNUU9wNlVnV0R1cDRhSU5FLWhBaWRUMF90Tk9aemRuTkdyWGVnOURYMjZEenpBbkdlTk9NZ2dmOXJjQzVNVGhTMkpOU19raFl6NGEwd1QzTXFHaHE2NkFB0gHcAUFVX3lxTE5KcV9zdXZhR2Z4ZWJZbzBHWFFqa2MyZjdBbGptWi1IQkVJWlhNSlEzcEZ4TWxtUkJRejhVaHo2aGlpYWNvQ3paYzQ0VGpOLTFhNHFxUTBaTW1ja2hDaTVuT19CYk9xdUFIMmJEd3ZGVU5WSmVBU25LSTFaNk9LdzgzNmxiN2RvaTBpaERkR0hVemMyZVlPalN0cTlfclpKdVlVVWVzWndHUnBVbHcwemF2dE9QbENwOGVFYTlabW1JZ0VnUmZRR3JSazUtbHAzeUZWUWg0M2NZTXZCMFU?oc=5"" target=""_blank"">Chennai and neighbouring districts to witness heavy rains till November 15</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Heavy rain predicted in Chennai tomorrow, yellow alert issued for Tamil Nadu - India Today",https://news.google.com/rss/articles/CBMirgFBVV95cUxPVlEtVWlPZ0U2SFhpLW1wUVJQTGZ3czMxX3V1YXNjSVczMXVEZmNFYUpJa0RIZDFNTHQ2MVc0TlRtdUV4VzhBWlNyUzExcU5UQVQ2cVBmaGZPY1ozalVjQm9qYjh4MU1zUWZPdkFvZlFUNWlnem5HbzF4WWdaX3FkZGVUbkw1NU1DWklLbTk5MEl4ZktkdW5XTUZ5dHpZak1oc0VMTmNhWjQ0YWhSbUHSAbMBQVVfeXFMTjl6NnBhaE9TQkE5MEFZenowX0xteG9DRmVLVjRMRUw2OTVVOHVLblU0R3Y3S25hd3FGLXR5bThMT2Q2Tk5zN2RVTE5CVUZ3Q2x5R1QtVi1HMlZFS3JLQjFFblhfaVNiM2E0ZkZOTFExMXhMcTJIOFBkR3ZhcUIyOEItX1VHLWRpZjJibENjSmVfOHN3QmJ5NExqQklDQVlsdFV2TUVZXzN6MlBxUHlxaGxqZ3c?oc=5,2024-11-12 18:31:37,India Today,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxPVlEtVWlPZ0U2SFhpLW1wUVJQTGZ3czMxX3V1YXNjSVczMXVEZmNFYUpJa0RIZDFNTHQ2MVc0TlRtdUV4VzhBWlNyUzExcU5UQVQ2cVBmaGZPY1ozalVjQm9qYjh4MU1zUWZPdkFvZlFUNWlnem5HbzF4WWdaX3FkZGVUbkw1NU1DWklLbTk5MEl4ZktkdW5XTUZ5dHpZak1oc0VMTmNhWjQ0YWhSbUHSAbMBQVVfeXFMTjl6NnBhaE9TQkE5MEFZenowX0xteG9DRmVLVjRMRUw2OTVVOHVLblU0R3Y3S25hd3FGLXR5bThMT2Q2Tk5zN2RVTE5CVUZ3Q2x5R1QtVi1HMlZFS3JLQjFFblhfaVNiM2E0ZkZOTFExMXhMcTJIOFBkR3ZhcUIyOEItX1VHLWRpZjJibENjSmVfOHN3QmJ5NExqQklDQVlsdFV2TUVZXzN6MlBxUHlxaGxqZ3c?oc=5"" target=""_blank"">Heavy rain predicted in Chennai tomorrow, yellow alert issued for Tamil Nadu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
"Chennai rains today: Heavy downpour expected in many Tamil Nadu districts, IMD issues alert. Schools shut today? | Today News - Mint",https://news.google.com/rss/articles/CBMi8wFBVV95cUxPcGxKNUozMmJ2Zk9RVnpXalRyS3A4ZHNGTlNDTUlHQ25DVkU5ZjBqbm83YzVCNFNMWkhHRjBzQXVwVW00YlhfODFIM3FNQm1UYVNraHN5Qm5TOVV0eVhkczJ2NF9RUW9vX3NRT3prcmlwcVBDcGt4a2VucXc4eEhQRGtlT1R5UnNhcUU1cDVkWGNWRFlRMUFzZDJLZGhub0pRZEMwZnBXSjljM28tNkNvZ1hRSEFNWjJxOTVPMlZOX3g0X0ZITEk5QTNFTU9tbjdOSHRWMTVCZ0w2cHZCZXVqTXVaSW16ZHVyNzFIQm1lQTMzMlXSAfgBQVVfeXFMT3d2bGxTeXdxN252Q1pDYXBvQzF5cnZTQVBwRk9fZU1ZNnE3T0tacTYtYTQzdTJiM0x4Wk1ocWxzc0ZKSzZ4QVZObTJVVmE3Zm1pZFE4clZtaXdlOUZMT01RaUFLajduMTg3a3hpWVRpRktsUnNta0ExMXlrd08tUnAyVEtUcDZVWVF2ak1WdDd4NnZGVjdIRzZiSTY2aEs0WHlUd2VwSzFTY1Bkc2VsMHRLZDZtUndvLVZZNkhTcVY1OFlSbTRQM3QyaktwelY0SE1TV1lfTTdudTdFLVdSS2ZLRVdmSDJKa2l1cjBkeEVPaUIzOS1SN0c?oc=5,2024-11-13 06:32:35,Mint,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxPcGxKNUozMmJ2Zk9RVnpXalRyS3A4ZHNGTlNDTUlHQ25DVkU5ZjBqbm83YzVCNFNMWkhHRjBzQXVwVW00YlhfODFIM3FNQm1UYVNraHN5Qm5TOVV0eVhkczJ2NF9RUW9vX3NRT3prcmlwcVBDcGt4a2VucXc4eEhQRGtlT1R5UnNhcUU1cDVkWGNWRFlRMUFzZDJLZGhub0pRZEMwZnBXSjljM28tNkNvZ1hRSEFNWjJxOTVPMlZOX3g0X0ZITEk5QTNFTU9tbjdOSHRWMTVCZ0w2cHZCZXVqTXVaSW16ZHVyNzFIQm1lQTMzMlXSAfgBQVVfeXFMT3d2bGxTeXdxN252Q1pDYXBvQzF5cnZTQVBwRk9fZU1ZNnE3T0tacTYtYTQzdTJiM0x4Wk1ocWxzc0ZKSzZ4QVZObTJVVmE3Zm1pZFE4clZtaXdlOUZMT01RaUFLajduMTg3a3hpWVRpRktsUnNta0ExMXlrd08tUnAyVEtUcDZVWVF2ak1WdDd4NnZGVjdIRzZiSTY2aEs0WHlUd2VwSzFTY1Bkc2VsMHRLZDZtUndvLVZZNkhTcVY1OFlSbTRQM3QyaktwelY0SE1TV1lfTTdudTdFLVdSS2ZLRVdmSDJKa2l1cjBkeEVPaUIzOS1SN0c?oc=5"" target=""_blank"">Chennai rains today: Heavy downpour expected in many Tamil Nadu districts, IMD issues alert. Schools shut today? | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Tamil Nadu: Deputy CM Udhayanidhi Stalin inspects north-east monsoon rain preparedness in Chennai - MSN,https://news.google.com/rss/articles/CBMi7gFBVV95cUxQT0tESzJNelp6d1pyRVdtalJJaVBUZmNVR05GTS1jajYzTFd3bHlmZTRjMnd3Y0ZTUVVyLV83andvRkFHZ0F4dVBlcENGQVVTcjR3Z3FUOTRRWUREajM0WEZ1MDRJYlp6MWtGeFNfMktrZ3V2RkdBU3dBSm94RVV4YUswUjQ3Uk05aWl4ZlJMQkRkVGVIMjlJbnBPZW93SHBBMm1wbkVPWl9CRTBuekN4T1ZER3JicFc0MnRfaWtUYVB0ODBiY0ZYT2FISFY2NmdwOXdkTlp4eGZXcGloX0JyUVVnamphUTY4VkpXdEp3?oc=5,2024-11-12 15:15:34,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxQT0tESzJNelp6d1pyRVdtalJJaVBUZmNVR05GTS1jajYzTFd3bHlmZTRjMnd3Y0ZTUVVyLV83andvRkFHZ0F4dVBlcENGQVVTcjR3Z3FUOTRRWUREajM0WEZ1MDRJYlp6MWtGeFNfMktrZ3V2RkdBU3dBSm94RVV4YUswUjQ3Uk05aWl4ZlJMQkRkVGVIMjlJbnBPZW93SHBBMm1wbkVPWl9CRTBuekN4T1ZER3JicFc0MnRfaWtUYVB0ODBiY0ZYT2FISFY2NmdwOXdkTlp4eGZXcGloX0JyUVVnamphUTY4VkpXdEp3?oc=5"" target=""_blank"">Tamil Nadu: Deputy CM Udhayanidhi Stalin inspects north-east monsoon rain preparedness in Chennai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"City Latest News Today Live Updates: Traffic chaos in Chennai, schools closed due to heavy rains amid IMD's 'yellow' alert - The Times of India",https://news.google.com/rss/articles/CBMixwJBVV95cUxQczV1bXgxQ1VwcnpYQ0c0MVY5WmNOSFJxamJYWTd0aUJwQUlRWGdRMVhMRkhRdlAwMzlXdmdXaXZLR0dTSVJmMkVpQ0R0bDBnSTZLZUtsb3RNU1lTQWVsVjBZb0ZQTmVmakVyUGM5eWhNRWtIRG9KMXI3bXZIenB6NWVKSVg3cTFKOXVITVpqc20wZU5RdWdaQ3hnbWhicTlFQV9oNFNkbGFfQk40WDBrWl9pdDIwTGVUVVVyX1NiNlRseHdJUmIzS2EzVTFVZmRzUnFkanZhMENZSjZmMmlMSW10STBzUERvblYxbXQzN1ZWV0NpQlBSNWFCUWpFdjN1NzAzd2luMWZkQkhiaHhZeEpjRmstak9VeG4xT2NvRi1hS3A0amZKaG5NYXVpZjJRemdJeDg5U2cwOWtCN1hxYk9sbGxudUXSAcwCQVVfeXFMTTR5eFlhQ0JFQkNxZXZhYllYZWM5RHJvdFQ4dUJvWEFiUEFOaE1fcGFDYklvdl9aVGh6VlBiZnY0dXNqRGhPUmRtb3VjSlc3RHVGVTJ6OUtKSjBFMG1mSXMzdVcyTzUxY3VGT2JhUGJIWkNNWVROV2RrUkFBM2hhcWQ0MVcxdWhLVmR4TDljUXFhYmtCOEtZR0plalRUVVZUbHFWM0dSdVFpSHhNWHZDVHdIS0lzZTE4RF9SZ29Tb212WXZ4Nl8tSEJ1Si1DN2hDRmJHSlo2cXNnNUhETE9WU1lQUG15RTlHdUZxOGJGdGRpalIxLXR4SXlwX0ZGbFFwU213aVlaLVhkTTVkMVVPX2JiQ2VPU1FYODlRZS1uelpUaWxkYmoxdWhJemltZ0s1WTNEUGUyUjVpV2FLVDRhMlZaN05oalk4dWxpSm8?oc=5,2024-11-12 13:41:44,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMixwJBVV95cUxQczV1bXgxQ1VwcnpYQ0c0MVY5WmNOSFJxamJYWTd0aUJwQUlRWGdRMVhMRkhRdlAwMzlXdmdXaXZLR0dTSVJmMkVpQ0R0bDBnSTZLZUtsb3RNU1lTQWVsVjBZb0ZQTmVmakVyUGM5eWhNRWtIRG9KMXI3bXZIenB6NWVKSVg3cTFKOXVITVpqc20wZU5RdWdaQ3hnbWhicTlFQV9oNFNkbGFfQk40WDBrWl9pdDIwTGVUVVVyX1NiNlRseHdJUmIzS2EzVTFVZmRzUnFkanZhMENZSjZmMmlMSW10STBzUERvblYxbXQzN1ZWV0NpQlBSNWFCUWpFdjN1NzAzd2luMWZkQkhiaHhZeEpjRmstak9VeG4xT2NvRi1hS3A0amZKaG5NYXVpZjJRemdJeDg5U2cwOWtCN1hxYk9sbGxudUXSAcwCQVVfeXFMTTR5eFlhQ0JFQkNxZXZhYllYZWM5RHJvdFQ4dUJvWEFiUEFOaE1fcGFDYklvdl9aVGh6VlBiZnY0dXNqRGhPUmRtb3VjSlc3RHVGVTJ6OUtKSjBFMG1mSXMzdVcyTzUxY3VGT2JhUGJIWkNNWVROV2RrUkFBM2hhcWQ0MVcxdWhLVmR4TDljUXFhYmtCOEtZR0plalRUVVZUbHFWM0dSdVFpSHhNWHZDVHdIS0lzZTE4RF9SZ29Tb212WXZ4Nl8tSEJ1Si1DN2hDRmJHSlo2cXNnNUhETE9WU1lQUG15RTlHdUZxOGJGdGRpalIxLXR4SXlwX0ZGbFFwU213aVlaLVhkTTVkMVVPX2JiQ2VPU1FYODlRZS1uelpUaWxkYmoxdWhJemltZ0s1WTNEUGUyUjVpV2FLVDRhMlZaN05oalk4dWxpSm8?oc=5"" target=""_blank"">City Latest News Today Live Updates: Traffic chaos in Chennai, schools closed due to heavy rains amid IMD's 'yellow' alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"""Tamil Nadu govt prepared to tackle rainfall"": Deputy CM Udhayanidhi Stalin - TheNewsMill",https://news.google.com/rss/articles/CBMiqAFBVV95cUxOMm0yeFJfWUIyaDhoMkJ3ZWZ6RkwwYmFEX2dEaU8zU0IyOTVwRlhfY2pkUnZaa0ZZZmRiSmlmQXlXczhWeHJRZm90T1JNU0RIWU1HZGRDWkVVRlF0dmFNWTl5Ty02cHR1cEdWdWQ2aDl5bEJJOXNWcmh2R0pXeFFHRGI4bXl3WE1lQ2toTWhQUGRUclpnVkdia0lRUVRVQWVfRVVZNnJ6RGE?oc=5,2024-11-12 14:33:35,TheNewsMill,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxOMm0yeFJfWUIyaDhoMkJ3ZWZ6RkwwYmFEX2dEaU8zU0IyOTVwRlhfY2pkUnZaa0ZZZmRiSmlmQXlXczhWeHJRZm90T1JNU0RIWU1HZGRDWkVVRlF0dmFNWTl5Ty02cHR1cEdWdWQ2aDl5bEJJOXNWcmh2R0pXeFFHRGI4bXl3WE1lQ2toTWhQUGRUclpnVkdia0lRUVRVQWVfRVVZNnJ6RGE?oc=5"" target=""_blank"">""Tamil Nadu govt prepared to tackle rainfall"": Deputy CM Udhayanidhi Stalin</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TheNewsMill</font>",
"Chennai Braces for Monsoon Rains, State Assures Preparedness - Devdiscourse",https://news.google.com/rss/articles/CBMiswFBVV95cUxQcU9odlNFUVM1anNfWFpTS1lxTk8tLXpRYm5kS2JXckRhekRqRk9PelBnWkJiOTNmY1RYYlYxOXhndlJ5eGJxTF9pNlhIV2thTGhDOGJlNm5Wa2g2ZU9NeDFsT3F1QUVoNXF0TzA0eE5RTXlhTHJ0bEtfT3A4UE1hb0YyeDVqVVNhc3BHRW1rSXExNXpQOVR4R3FySm9mSVE3WHltMG1pWXBzZmFqMFNXVmpLNNIBuAFBVV95cUxNM2ZEaXFJX1drcy1ocVpiUlQ0TUVsWGRJZUV1NHN6RFhvMy1hOHBpSVhDNmpsd003aGxjTUJFbzJSWk9KVjZvUWdCRmZVUWtsVUJpNkh1UVB6aVpqNGRFd2d1NVNfTzlRWHlMQUo5MFRULXN1WVp4SFpleTJjNnJVQS1xdzF3d2tPR01sV1ptU1h0MDc4cUV6X3NoSktSM1NMSkhRTzhwb0pKaERxUzZfcjA5QThfZUFN?oc=5,2024-11-12 14:32:15,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQcU9odlNFUVM1anNfWFpTS1lxTk8tLXpRYm5kS2JXckRhekRqRk9PelBnWkJiOTNmY1RYYlYxOXhndlJ5eGJxTF9pNlhIV2thTGhDOGJlNm5Wa2g2ZU9NeDFsT3F1QUVoNXF0TzA0eE5RTXlhTHJ0bEtfT3A4UE1hb0YyeDVqVVNhc3BHRW1rSXExNXpQOVR4R3FySm9mSVE3WHltMG1pWXBzZmFqMFNXVmpLNNIBuAFBVV95cUxNM2ZEaXFJX1drcy1ocVpiUlQ0TUVsWGRJZUV1NHN6RFhvMy1hOHBpSVhDNmpsd003aGxjTUJFbzJSWk9KVjZvUWdCRmZVUWtsVUJpNkh1UVB6aVpqNGRFd2d1NVNfTzlRWHlMQUo5MFRULXN1WVp4SFpleTJjNnJVQS1xdzF3d2tPR01sV1ptU1h0MDc4cUV6X3NoSktSM1NMSkhRTzhwb0pKaERxUzZfcjA5QThfZUFN?oc=5"" target=""_blank"">Chennai Braces for Monsoon Rains, State Assures Preparedness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",
"Tamil Nadu weather: Heavy rains to continue, schools closed in several districts - News9 LIVE",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPbHhLSVFIckpZMjdTYWg5Qk1FQzJXSXhGRHhUNzhrNm4zVGRuODB3UzBHVk5EMk9lSnZLbnlSYWtmWmVOd240SUVSMTlaYlkxY0FuclkyNXQzeVBwYzJsUkg3SjlFSGlqRy1RU2dMclQ1ZnBKa2Nla1JHM3NpVlJUZkZObnd2SzFrRG1hR3pNZmJXUVB0YWVhR3UyN3RBSDBuTkM4c1h0dkRGVjlSdWNMZ2tULW1jcVJfbTBEVFRFUVRYbUNEMXJ4LQ?oc=5,2024-11-13 08:02:58,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPbHhLSVFIckpZMjdTYWg5Qk1FQzJXSXhGRHhUNzhrNm4zVGRuODB3UzBHVk5EMk9lSnZLbnlSYWtmWmVOd240SUVSMTlaYlkxY0FuclkyNXQzeVBwYzJsUkg3SjlFSGlqRy1RU2dMclQ1ZnBKa2Nla1JHM3NpVlJUZkZObnd2SzFrRG1hR3pNZmJXUVB0YWVhR3UyN3RBSDBuTkM4c1h0dkRGVjlSdWNMZ2tULW1jcVJfbTBEVFRFUVRYbUNEMXJ4LQ?oc=5"" target=""_blank"">Tamil Nadu weather: Heavy rains to continue, schools closed in several districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
"Chennai rain alert: Orange warning issued, heavy rains to lash city from today - News9 LIVE",https://news.google.com/rss/articles/CBMixgFBVV95cUxOMGlWRUF5VjF5cU5jWG9QX180NE5zM3RsWlU2WnhwNGhucVBUTUNGdTRya2pwTGFKalJvOUp3LUFSUXVCbmxLYUhyb01BQmJMeXoweVpveGxFTmhwT2J5cXJTV2ZqU0V3ZXBTUVZWUEk3enpGMlFnYXlFeGZkOXZCaVpMdFJ1WENnRzljY2pBdDB6RkNEMWdhQmtvNmdhYV9iUEx0b0VfLXozbTdSMXVEY0VwU3dBMHF2V2NReEpOQjRjbEMwZEHSAcsBQVVfeXFMTno1QWhxTHB0aWRud0F5a3hSLWNMaFdPNGh1aHltRWFieVh2NDE0S1FCVndJWFI1bGxUNU1zM1BEeGIxRmxYcXByRzlpOXJRR1NSdTVrTFlfOFVsdHV2Umo2MExMMmZBRERIaXd3MXRWcHBmdk0wQ3NaZER1V2dWMmpuQXYzdXIyRlItM3hqQ212WkNOM3c4ZG40Smt1RFJ4cm1QMnpIYmdvMnRiclY1WFg3TTA1bnhhSzJsUm51WkhzVkpOaUMzTjgwSGM?oc=5,2024-11-12 14:26:41,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxOMGlWRUF5VjF5cU5jWG9QX180NE5zM3RsWlU2WnhwNGhucVBUTUNGdTRya2pwTGFKalJvOUp3LUFSUXVCbmxLYUhyb01BQmJMeXoweVpveGxFTmhwT2J5cXJTV2ZqU0V3ZXBTUVZWUEk3enpGMlFnYXlFeGZkOXZCaVpMdFJ1WENnRzljY2pBdDB6RkNEMWdhQmtvNmdhYV9iUEx0b0VfLXozbTdSMXVEY0VwU3dBMHF2V2NReEpOQjRjbEMwZEHSAcsBQVVfeXFMTno1QWhxTHB0aWRud0F5a3hSLWNMaFdPNGh1aHltRWFieVh2NDE0S1FCVndJWFI1bGxUNU1zM1BEeGIxRmxYcXByRzlpOXJRR1NSdTVrTFlfOFVsdHV2Umo2MExMMmZBRERIaXd3MXRWcHBmdk0wQ3NaZER1V2dWMmpuQXYzdXIyRlItM3hqQ212WkNOM3c4ZG40Smt1RFJ4cm1QMnpIYmdvMnRiclY1WFg3TTA1bnhhSzJsUm51WkhzVkpOaUMzTjgwSGM?oc=5"" target=""_blank"">Chennai rain alert: Orange warning issued, heavy rains to lash city from today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
Will it rain in Chennai tomorrow? IMD forecast and 15-day weather outlook - News9 LIVE,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPaVBrT2pDeVZwZU5KY0hubFJSQy1pWmRHRkV1TXB4akNwaVFCVmlPaHlCaXBuN2l1eW5tczRMUnppbDQ3S3NySE9fSE1scXdtQjlRNTZvckU4Z3dVRXltWE1YeTFIQ1p5SnRxRDRTWGIxNzk0MklmNzJ1dUQzU3lVVzc3c2ZNRkFmbWF1YUhobkZqSFpsRlZXSEFCUVg2YkVQOThJMDdhbjFTWGF4aXJsUTVEZ0MzVWpyaGRFeVVzSnDSAcYBQVVfeXFMUGFITmxUNkY1SXNjNFc4NVRkRHM4eXNOZHhNMzlMeWxBSXBzNWxyV2hMRUpwVmxtLUlzb0dsMGZGZ25OWGFiVUgwRDljMGEyNUtZQXlCWnVpallHMERQT1B2NFE4VGxBX1JYUXlRWDFfdEZpcVVLcHdOU2VKaDAxVFp5OHRTWDFISDZ4ZVNxUVJWeTZPNFU5YTBHN3NfdUFtUWpFOXdkRHJQLXRTUlYxbUJoWVNGem9Nb1Bqa3dGVXIyM3g4UjNB?oc=5,2024-11-12 18:22:45,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPaVBrT2pDeVZwZU5KY0hubFJSQy1pWmRHRkV1TXB4akNwaVFCVmlPaHlCaXBuN2l1eW5tczRMUnppbDQ3S3NySE9fSE1scXdtQjlRNTZvckU4Z3dVRXltWE1YeTFIQ1p5SnRxRDRTWGIxNzk0MklmNzJ1dUQzU3lVVzc3c2ZNRkFmbWF1YUhobkZqSFpsRlZXSEFCUVg2YkVQOThJMDdhbjFTWGF4aXJsUTVEZ0MzVWpyaGRFeVVzSnDSAcYBQVVfeXFMUGFITmxUNkY1SXNjNFc4NVRkRHM4eXNOZHhNMzlMeWxBSXBzNWxyV2hMRUpwVmxtLUlzb0dsMGZGZ25OWGFiVUgwRDljMGEyNUtZQXlCWnVpallHMERQT1B2NFE4VGxBX1JYUXlRWDFfdEZpcVVLcHdOU2VKaDAxVFp5OHRTWDFISDZ4ZVNxUVJWeTZPNFU5YTBHN3NfdUFtUWpFOXdkRHJQLXRTUlYxbUJoWVNGem9Nb1Bqa3dGVXIyM3g4UjNB?oc=5"" target=""_blank"">Will it rain in Chennai tomorrow? IMD forecast and 15-day weather outlook</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
