Title,Link,Date,Source,Summary,Place
Chennai rains today: More rains expected in Tamil Nadu districts. Are schools open or closed today? - Mint,https://news.google.com/rss/articles/CBMi_wFBVV95cUxQMU0wRG9oSlhVWFdqTWRPOGxoYmJrVG52NDFhNGRJZ09JMVVLQXVuU0NNSDZoLW81TkdJR0xJWklBNWdjcExKQnI2SlNzSUlYWnREVVo1bFVnQmtaZy1Md3hWM080Ukk3cEJEMzBjbU5YNFl2XzFTMGdrOFZxd3h1bzJuSlRiMVRPTlBMT1pMeE83aGFSX1FmZXA2eXlKMFlPb1U5S0twRTJiaXU1N0ZDS3VHb0tOclpuaU9VbFIyWlFJa3BNQXpMTkNXZkFicW1PbDNQcDNLTXltd3ZGWks5UWdhNnMyMlJiZG90TDdfUjQ1RHdfbXlGOWJ5YTVRZ1U?oc=5,2024-11-21 07:41:23,Mint,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxQMU0wRG9oSlhVWFdqTWRPOGxoYmJrVG52NDFhNGRJZ09JMVVLQXVuU0NNSDZoLW81TkdJR0xJWklBNWdjcExKQnI2SlNzSUlYWnREVVo1bFVnQmtaZy1Md3hWM080Ukk3cEJEMzBjbU5YNFl2XzFTMGdrOFZxd3h1bzJuSlRiMVRPTlBMT1pMeE83aGFSX1FmZXA2eXlKMFlPb1U5S0twRTJiaXU1N0ZDS3VHb0tOclpuaU9VbFIyWlFJa3BNQXpMTkNXZkFicW1PbDNQcDNLTXltd3ZGWks5UWdhNnMyMlJiZG90TDdfUjQ1RHdfbXlGOWJ5YTVRZ1U?oc=5"" target=""_blank"">Chennai rains today: More rains expected in Tamil Nadu districts. Are schools open or closed today?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
"Tamil Nadu weather update: Schools to remain closed in 5 districts, IMD warns of more rain ahead - The Economic Times",https://news.google.com/rss/articles/CBMi8AFBVV95cUxNTHg3TFlrMDdkQjQ2SExHTl9pNGExNHZlZVZSbUdaSk1ZOWRGYlNMOUZmdEVPOEx1cU1TU3FJTEJ1NHVsT1YtMDg2ZmdFTGltek9lUTNHczhsRjR1RVVKRnI4VDRaY1ljdXRaU2NqUVdUejV3TUVsbm9NbWZCRVNKaE5wLVptZ2xnZkZqdGc4UFA0YXZXSTlGQjkwSnBUUllyQ0o2OHZ0b0MxcmR2cjFnWjF3cVZhRjlGRWZZUVZKckRuREdnYURWM2g3cUdjWkZkTk50QWJ1MWl1eXZKS2lzVjF5czl1LWEwSTQ0MGtzUEHSAfYBQVVfeXFMT1hvbXFSeHo2WDdWMlZDTkdMQkhFZXJEUDZ2c3J4YzJYempHcFBaWWJQY0k0S2VaWnEtS1VodnNwUDg4Z0RRS1JfNE9yaUd6Tkd3ZmQ2Ujd3VV8tclNjSU03cE1lakw2NDhTT2hvQmxOZ0lDSmhlSjB4bkpPQUlEVXN6a1FDRzZwQVVMai1LOUEyNWhyMEhsSkxCdU9aOFEyWmFwZzZ6X3Iza2dQaFlaN1VGekppNHppNi1meS1hOGdtUHlnVjRkMGcyenF3alZYWUtsM1BJQ3Z4TVg1ZjR6Y3E3Q0dNWDlaUjE1MEF6UlRQcnRRQ0hn?oc=5,2024-11-21 07:50:32,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxNTHg3TFlrMDdkQjQ2SExHTl9pNGExNHZlZVZSbUdaSk1ZOWRGYlNMOUZmdEVPOEx1cU1TU3FJTEJ1NHVsT1YtMDg2ZmdFTGltek9lUTNHczhsRjR1RVVKRnI4VDRaY1ljdXRaU2NqUVdUejV3TUVsbm9NbWZCRVNKaE5wLVptZ2xnZkZqdGc4UFA0YXZXSTlGQjkwSnBUUllyQ0o2OHZ0b0MxcmR2cjFnWjF3cVZhRjlGRWZZUVZKckRuREdnYURWM2g3cUdjWkZkTk50QWJ1MWl1eXZKS2lzVjF5czl1LWEwSTQ0MGtzUEHSAfYBQVVfeXFMT1hvbXFSeHo2WDdWMlZDTkdMQkhFZXJEUDZ2c3J4YzJYempHcFBaWWJQY0k0S2VaWnEtS1VodnNwUDg4Z0RRS1JfNE9yaUd6Tkd3ZmQ2Ujd3VV8tclNjSU03cE1lakw2NDhTT2hvQmxOZ0lDSmhlSjB4bkpPQUlEVXN6a1FDRzZwQVVMai1LOUEyNWhyMEhsSkxCdU9aOFEyWmFwZzZ6X3Iza2dQaFlaN1VGekppNHppNi1meS1hOGdtUHlnVjRkMGcyenF3alZYWUtsM1BJQ3Z4TVg1ZjR6Y3E3Q0dNWDlaUjE1MEF6UlRQcnRRQ0hn?oc=5"" target=""_blank"">Tamil Nadu weather update: Schools to remain closed in 5 districts, IMD warns of more rain ahead</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Cloudburst in Pamban triggers torrential downpour - The Hindu,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1FqZ0xvWmduYUdJbFNoa1dZSUdJMWhpNEo2bzRTZC1IS2k3ZVlaWHptZTF0OVV1UkluRll6d3oyeS1mUEROWWRWRWN3bzhzUE9fcU5PcXZva3dqS2RhWlRDdm5meEFUeXpmMkJTWW9OeEdQaWxaTENnV1BLak5xRXpFRmNJeDJoeTQ1eGtzS0JzMGUxWjlCSURsNF9rNERqZFZ3SG5zeGU1LWFOZG1IMl84TThydnE0WkQ00gHCAUFVX3lxTE1VdHJxQ1YzUGMwbVBkakdXRndvOFJKQk5mMVk5c1VOWGJubUh4UFVkQWdXWWh5aWI4amZndnlOc3I5dG5xVEVvWUh3cHJUOEg1SUVpM3ZEY2YyQmV1RFR3NnRBZ0NqQkZJa1VGNlRDdEdBbzBYRVNZY1ZnSVRuNzdfUGFjVHlQaW1tRE9OU2FRa090MEhVN3Rlc2pEems3b2xqWm45ODNPQTRIa1JvMUlYMENBN0ZkeVgxLTNFcjZSMzFR?oc=5,2024-11-20 20:21:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNd1FqZ0xvWmduYUdJbFNoa1dZSUdJMWhpNEo2bzRTZC1IS2k3ZVlaWHptZTF0OVV1UkluRll6d3oyeS1mUEROWWRWRWN3bzhzUE9fcU5PcXZva3dqS2RhWlRDdm5meEFUeXpmMkJTWW9OeEdQaWxaTENnV1BLak5xRXpFRmNJeDJoeTQ1eGtzS0JzMGUxWjlCSURsNF9rNERqZFZ3SG5zeGU1LWFOZG1IMl84TThydnE0WkQ00gHCAUFVX3lxTE1VdHJxQ1YzUGMwbVBkakdXRndvOFJKQk5mMVk5c1VOWGJubUh4UFVkQWdXWWh5aWI4amZndnlOc3I5dG5xVEVvWUh3cHJUOEg1SUVpM3ZEY2YyQmV1RFR3NnRBZ0NqQkZJa1VGNlRDdEdBbzBYRVNZY1ZnSVRuNzdfUGFjVHlQaW1tRE9OU2FRa090MEhVN3Rlc2pEems3b2xqWm45ODNPQTRIa1JvMUlYMENBN0ZkeVgxLTNFcjZSMzFR?oc=5"" target=""_blank"">Cloudburst in Pamban triggers torrential downpour</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Cloudburst in Ramanathapuram triggers torrential rainfall, red alert issued - India Today",https://news.google.com/rss/articles/CBMi2gFBVV95cUxONXB2OGhzNUxPMlVDeXJaMWFyRW1HY182RFRfaEpPeEZNcHdMWWlBR2x3c2F5aXl5MnBvNEdOMVNBaFJLUjRRb3ZhMjdNRjVyRUV2dnpnajV4WExSVkx4WFRqWUx6OUNZaEh4NXF3a0phcHNOQ3V0MXZ4SkR2d0ZBa3ZvYTFBNFJOOGd2Q0h6SWVsRFRMTjdlZDdCZmt1OEdlTS1DSDh5dldDbVp1ZVJnbzRDQ1NoSG9Ec3RuQmhDVEtZb19pSVEtcHp5Umk5OHVsYkFndHgzeElCUdIB3wFBVV95cUxQYldpbUw5MUZOZmlwdVF0SnpXemZNMTdnQUtON0h3TXd4eE56WC03aW15cXpXS0duSXpKNkpOMVYzMDlTV09qT2pSdG4tU01YZ2lFSmI0YXduSFM4MlcyU3lvTWh5akJBbFhaRHNtbmhVc1EtWGhYcXQ0eGxENmVGNi1iVjRuTEYtR3FVbGswWE9ZdTNZZ3BtZVlvOHloaE1nM3dqTklDSkNYdGRiMzJRa0xxMHNLVlZTNHVRelU4dlZaajBEQ3BnLXJKYUpwY0lTdHZZdDd1b0xmbU1ReXVR?oc=5,2024-11-21 09:43:36,India Today,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxONXB2OGhzNUxPMlVDeXJaMWFyRW1HY182RFRfaEpPeEZNcHdMWWlBR2x3c2F5aXl5MnBvNEdOMVNBaFJLUjRRb3ZhMjdNRjVyRUV2dnpnajV4WExSVkx4WFRqWUx6OUNZaEh4NXF3a0phcHNOQ3V0MXZ4SkR2d0ZBa3ZvYTFBNFJOOGd2Q0h6SWVsRFRMTjdlZDdCZmt1OEdlTS1DSDh5dldDbVp1ZVJnbzRDQ1NoSG9Ec3RuQmhDVEtZb19pSVEtcHp5Umk5OHVsYkFndHgzeElCUdIB3wFBVV95cUxQYldpbUw5MUZOZmlwdVF0SnpXemZNMTdnQUtON0h3TXd4eE56WC03aW15cXpXS0duSXpKNkpOMVYzMDlTV09qT2pSdG4tU01YZ2lFSmI0YXduSFM4MlcyU3lvTWh5akJBbFhaRHNtbmhVc1EtWGhYcXQ0eGxENmVGNi1iVjRuTEYtR3FVbGswWE9ZdTNZZ3BtZVlvOHloaE1nM3dqTklDSkNYdGRiMzJRa0xxMHNLVlZTNHVRelU4dlZaajBEQ3BnLXJKYUpwY0lTdHZZdDd1b0xmbU1ReXVR?oc=5"" target=""_blank"">Cloudburst in Ramanathapuram triggers torrential rainfall, red alert issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
"Ahmedabad Weather and AQI Today: Warm start at 19.02 °C, check weather forecast for November 20, 2024 - MSN",https://news.google.com/rss/articles/CBMi3gFBVV95cUxONTFPNnF2ZDFKeVZuVGZ2YjBvc2F4V19XSk9OMDM0TWNESDdhTEd5bUtPcmJOclBUY05kQnJkV0t0RE1oRE43UHJqNXAtTjAyZFgwUHFuLUItdDYza0xWeWdHNjZDc2RkdDhSUVhaYWZFYkJBR2NUQzlrd2I3eS04YlNqd0RQNTZ0amo4aHRiWmRZeFFfS0Y3OU9VbGZxemRvM0JYeGVMUmdsbm56WVdicWp4VTBaTVU5Y1V2cEMteklkaWo2aVhEZmVnUFQwRE5oaGN5OGdCMkQ5RnZwNEE?oc=5,2024-11-21 02:14:46,MSN,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxONTFPNnF2ZDFKeVZuVGZ2YjBvc2F4V19XSk9OMDM0TWNESDdhTEd5bUtPcmJOclBUY05kQnJkV0t0RE1oRE43UHJqNXAtTjAyZFgwUHFuLUItdDYza0xWeWdHNjZDc2RkdDhSUVhaYWZFYkJBR2NUQzlrd2I3eS04YlNqd0RQNTZ0amo4aHRiWmRZeFFfS0Y3OU9VbGZxemRvM0JYeGVMUmdsbm56WVdicWp4VTBaTVU5Y1V2cEMteklkaWo2aVhEZmVnUFQwRE5oaGN5OGdCMkQ5RnZwNEE?oc=5"" target=""_blank"">Ahmedabad Weather and AQI Today: Warm start at 19.02 °C, check weather forecast for November 20, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Tamil Nadu Rains: Rameswaram Receives Record Rains; Is There A Holiday For Schools On Nov 21? - Oneindia,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQQzFLZ0Z5ZEFJWlJoLWtXa04wU1ByX2ZuVGZLeHhweGhmME02Q2RqeGEzcW5kcV9xLXJEVEdvQUlUT0hqYkpSUnAyNTBhckV6a2dLT3RvYW83eWJqUzlTTzR3ME5ST3czRzExZnBCMGk5OGNwSVlfcTlwb2lNU3lEU2hkZlBtY2pieUpOaDNYZEl0U1RGVXVic05DdDg4aVhLQzdxWFJwcUg5bmlTMGhoSFlXR2hyQmpWTHFkbk90WkNTOWphUm9heXIxNlNkS1RMbWc?oc=5,2024-11-20 21:37:03,Oneindia,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQQzFLZ0Z5ZEFJWlJoLWtXa04wU1ByX2ZuVGZLeHhweGhmME02Q2RqeGEzcW5kcV9xLXJEVEdvQUlUT0hqYkpSUnAyNTBhckV6a2dLT3RvYW83eWJqUzlTTzR3ME5ST3czRzExZnBCMGk5OGNwSVlfcTlwb2lNU3lEU2hkZlBtY2pieUpOaDNYZEl0U1RGVXVic05DdDg4aVhLQzdxWFJwcUg5bmlTMGhoSFlXR2hyQmpWTHFkbk90WkNTOWphUm9heXIxNlNkS1RMbWc?oc=5"" target=""_blank"">Tamil Nadu Rains: Rameswaram Receives Record Rains; Is There A Holiday For Schools On Nov 21?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia</font>",
Southern districts see a wet Wednesday as rain lashes the region - The Hindu,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWTJ1YkZIYUQzODF3RzkzYXJuNnJjbEVQVk92YzZseXNILTVNdkpvbURIWG5FeGJZNldxMTI2M2VFVU8tNmJKSEZaMVRRUDFzZkdoSjI0UzdnTzl4ZEZnVGs3OWlLSk5fdnNrbTVmMjFQSHc3Qzg1QmIyaHBQS0daU1RNOFJTNjNfdTZiUFBJUklyME9FdDBYVVdRLUtscjlaU0pSampWTWlzZHZPanhZSHBqVDBreWJCRkg0WEVYZGtlMEpEZGpCbtIBzwFBVV95cUxPMDZFM2xJRlRDQVdPUVIyNkY2Um1SWW1GS3lzcXZ1RHRYNE5UajJVaEdoc2RUeGZxQ2tYdjdvWm5qSnRVclFVMXRfeHBCNExxUFJKbUE2ZGx0X3Y0YXdzdEg2MnJOMWZCdXlNM2F5R0FFdEpqRjJvOVI5ZHR6RVpVNEpLQ2pfWHVINHprdkczWF9tYzhvMEYyLXBnc0xYcEU3cXYzUmZzdW51R3NnSGp5djdWR3ZiQVdPa0ZVczZiMW5iZjlWUzM2YlFGTTBFWlU?oc=5,2024-11-20 19:54:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNWTJ1YkZIYUQzODF3RzkzYXJuNnJjbEVQVk92YzZseXNILTVNdkpvbURIWG5FeGJZNldxMTI2M2VFVU8tNmJKSEZaMVRRUDFzZkdoSjI0UzdnTzl4ZEZnVGs3OWlLSk5fdnNrbTVmMjFQSHc3Qzg1QmIyaHBQS0daU1RNOFJTNjNfdTZiUFBJUklyME9FdDBYVVdRLUtscjlaU0pSampWTWlzZHZPanhZSHBqVDBreWJCRkg0WEVYZGtlMEpEZGpCbtIBzwFBVV95cUxPMDZFM2xJRlRDQVdPUVIyNkY2Um1SWW1GS3lzcXZ1RHRYNE5UajJVaEdoc2RUeGZxQ2tYdjdvWm5qSnRVclFVMXRfeHBCNExxUFJKbUE2ZGx0X3Y0YXdzdEg2MnJOMWZCdXlNM2F5R0FFdEpqRjJvOVI5ZHR6RVpVNEpLQ2pfWHVINHprdkczWF9tYzhvMEYyLXBnc0xYcEU3cXYzUmZzdW51R3NnSGp5djdWR3ZiQVdPa0ZVczZiMW5iZjlWUzM2YlFGTTBFWlU?oc=5"" target=""_blank"">Southern districts see a wet Wednesday as rain lashes the region</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Tamil Nadu rain: Pamban records highest rainfall of 28 cm, where will it rain today, check IMD forecast here - News9 LIVE",https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNXRlc0lrcktfS2Z1ZjBIR0xfZl85Zm5tSExNbVI1Yl9XWVlNc09Xa2x1dl8zRTRXRlFjOG10Y21uV0szZERPNWpOZ3VnM0NxYUR0eV9MS21aX3NXNGhKU2FFOUtwNElJLTNsaGEyU3RZXzY3SGd0QjNCc0xKZ01nd1F0QU1Cel9UNDJZbXlEcjlPcWQxUHVGc0hmRGZRaWtyQ3lQQkZLaWlrVFJEbFBTeXllOFRqRTVCTG03amFYUkhZSDFNYUJsSzFhTGxqUFI2ek5heTh1bS1HcnFRV2ZwcXlmNTRaZDM2R2R6etIB8gFBVV95cUxON21NdmZkWmRyZGRpZFRCc0RaSmRFM1lBdU9Gcnc3RTR5SUIyOFE4bDN3bFpaaDBwd0NlUkJyLTFaM3M2M2d3ZFgxRlpCWkhIbGNITHVfeGc1bHhWQXozSzRnR0Q0dVRCbEhzNWZKWHNsbHVHTUFYejlEWmNXMFhUaEdzUTZpbFBGaU1RY2hraTQwLVgyQUlLdTBXejVYRTFUdlo3aTVWQi02dUMxZUlBdEpaSW16MGp4eFZBcTRUT0VEV0NpVDI2RjFLeGYtR0wyMnM2cU13WldpMV8tZk91TlVyLXRsdk8tdWVJa2dweURSdw?oc=5,2024-11-21 07:52:09,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxPNXRlc0lrcktfS2Z1ZjBIR0xfZl85Zm5tSExNbVI1Yl9XWVlNc09Xa2x1dl8zRTRXRlFjOG10Y21uV0szZERPNWpOZ3VnM0NxYUR0eV9MS21aX3NXNGhKU2FFOUtwNElJLTNsaGEyU3RZXzY3SGd0QjNCc0xKZ01nd1F0QU1Cel9UNDJZbXlEcjlPcWQxUHVGc0hmRGZRaWtyQ3lQQkZLaWlrVFJEbFBTeXllOFRqRTVCTG03amFYUkhZSDFNYUJsSzFhTGxqUFI2ek5heTh1bS1HcnFRV2ZwcXlmNTRaZDM2R2R6etIB8gFBVV95cUxON21NdmZkWmRyZGRpZFRCc0RaSmRFM1lBdU9Gcnc3RTR5SUIyOFE4bDN3bFpaaDBwd0NlUkJyLTFaM3M2M2d3ZFgxRlpCWkhIbGNITHVfeGc1bHhWQXozSzRnR0Q0dVRCbEhzNWZKWHNsbHVHTUFYejlEWmNXMFhUaEdzUTZpbFBGaU1RY2hraTQwLVgyQUlLdTBXejVYRTFUdlo3aTVWQi02dUMxZUlBdEpaSW16MGp4eFZBcTRUT0VEV0NpVDI2RjFLeGYtR0wyMnM2cU13WldpMV8tZk91TlVyLXRsdk8tdWVJa2dweURSdw?oc=5"" target=""_blank"">Tamil Nadu rain: Pamban records highest rainfall of 28 cm, where will it rain today, check IMD forecast here</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
"Rameswaram reels under ‘Super Cloud Burst’, records highest rainfall in history: 411 mm in 10 Hours |videos| - News9 LIVE",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPVXdkdjJ2R3hyMm9ZSEd3Qk1mQkNMMFNSamJWUXlEa3N0dTZZWnJjWU5uTXdIMWIwZE44UXBtQUE1ekhGblUwOEZsM1hYem5pR2F4M1ZlTXlkTXlET3RCX1VpQ2Z3X1FEOElnSjhNWUp6WHRqMkVfb1NSUndsWjVnOFh4N01pQVZJNVNjZWN4cC1BQXVmWF8wbHVqN1c4YUh4ZWIyZ3kyTUI3MXJoWmI2QWxxNUJ4b3NNZGg5U2tmVGhEME1ON1VpMEVFSWo2NnVobW9nUUtpeTBJQTdfemFFXzhDOHhhY2JQ0gHuAUFVX3lxTE9aeUhGTmNWbHNGdmU1Z3AwWXNYZHNqMFl2ck1RbjFiZGozRHV3S2pmbVpaR1AyS3FWUWhpWWtpcDdwUUtucU5pZ1o0X3FlVUdTNHp3X3VQeHc1Qnc5ZW02b1Z3aEtUcnE5cXdkMVNIYTZwQkJHTWtYQWp0UldvUmlncVdWQlBXLTN4SE1kdFFYWmJfbXBSMmJ1Z1laZFN0bUZaNVlOLVNxR3VDR3JQUFB2cXpGblJlZ0N4SjNGUXp3NGNaMzZYTHd3d1JmLVJ0SzdhZEF1TjRzbzZaV0gza3Y1OVQwU2ZNSVh0RXVudEE?oc=5,2024-11-21 07:00:23,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPVXdkdjJ2R3hyMm9ZSEd3Qk1mQkNMMFNSamJWUXlEa3N0dTZZWnJjWU5uTXdIMWIwZE44UXBtQUE1ekhGblUwOEZsM1hYem5pR2F4M1ZlTXlkTXlET3RCX1VpQ2Z3X1FEOElnSjhNWUp6WHRqMkVfb1NSUndsWjVnOFh4N01pQVZJNVNjZWN4cC1BQXVmWF8wbHVqN1c4YUh4ZWIyZ3kyTUI3MXJoWmI2QWxxNUJ4b3NNZGg5U2tmVGhEME1ON1VpMEVFSWo2NnVobW9nUUtpeTBJQTdfemFFXzhDOHhhY2JQ0gHuAUFVX3lxTE9aeUhGTmNWbHNGdmU1Z3AwWXNYZHNqMFl2ck1RbjFiZGozRHV3S2pmbVpaR1AyS3FWUWhpWWtpcDdwUUtucU5pZ1o0X3FlVUdTNHp3X3VQeHc1Qnc5ZW02b1Z3aEtUcnE5cXdkMVNIYTZwQkJHTWtYQWp0UldvUmlncVdWQlBXLTN4SE1kdFFYWmJfbXBSMmJ1Z1laZFN0bUZaNVlOLVNxR3VDR3JQUFB2cXpGblJlZ0N4SjNGUXp3NGNaMzZYTHd3d1JmLVJ0SzdhZEF1TjRzbzZaV0gza3Y1OVQwU2ZNSVh0RXVudEE?oc=5"" target=""_blank"">Rameswaram reels under ‘Super Cloud Burst’, records highest rainfall in history: 411 mm in 10 Hours |videos|</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
Tamil Nadu weather forecast: IMD sounds orange alert in four districts |Details here| - News9 LIVE,https://news.google.com/rss/articles/CBMizgFBVV95cUxNTXNTdHh6Z2xFY0IwbDhoZnZaNG8yeVdmWWY5V2RkS3lTSWdmQnVhLXREYUEtY3JmY3RhUGkxWTZrVWlzb1pQVHRQV05HaGhTdlRvZnZ3bUlsUHFnRjROZnBocDEzY0doZ2o0TzZJYUtReVhWd25SSUJKeUktYnZJVF9lUFc3Yk02bV9nZWJWQ0JiVzkteVNvcFVENEZZNzBtSVBhc1k2Z2ZvS3ZyT0E5d0VDcUNDQXNTeUo5akoxT1FuSGY2UHBzYWU5ZjctUdIB0wFBVV95cUxQWjB1UkJhSVZ1SDhieFdDOXJZWWs0TXJIQVhJenNnWFF6cHdLWG84RWFxUTNOaEhiUlAwQlhsTFdldHlkYjQ0bXpmYVV6Yy1RbHlkUEdhaU8tbUdkM1gyVWZRT3Y4NXAyMU1lSjZLSlJ6aWpKR0p4bFQ4cG5yMENlcWFmRTR0NnZxVWhuSzRVU1Ywa3hKSnp2Mk9kbU55OFlGYWhBTW1xOW95V2Y5bWRkNUxuQTFGa2Y4d0wtaGQ3THY2UnlMemM0Z0dvQkdTcjhWODE0?oc=5,2024-11-20 15:19:45,News9 LIVE,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxNTXNTdHh6Z2xFY0IwbDhoZnZaNG8yeVdmWWY5V2RkS3lTSWdmQnVhLXREYUEtY3JmY3RhUGkxWTZrVWlzb1pQVHRQV05HaGhTdlRvZnZ3bUlsUHFnRjROZnBocDEzY0doZ2o0TzZJYUtReVhWd25SSUJKeUktYnZJVF9lUFc3Yk02bV9nZWJWQ0JiVzkteVNvcFVENEZZNzBtSVBhc1k2Z2ZvS3ZyT0E5d0VDcUNDQXNTeUo5akoxT1FuSGY2UHBzYWU5ZjctUdIB0wFBVV95cUxQWjB1UkJhSVZ1SDhieFdDOXJZWWs0TXJIQVhJenNnWFF6cHdLWG84RWFxUTNOaEhiUlAwQlhsTFdldHlkYjQ0bXpmYVV6Yy1RbHlkUEdhaU8tbUdkM1gyVWZRT3Y4NXAyMU1lSjZLSlJ6aWpKR0p4bFQ4cG5yMENlcWFmRTR0NnZxVWhuSzRVU1Ywa3hKSnp2Mk9kbU55OFlGYWhBTW1xOW95V2Y5bWRkNUxuQTFGa2Y4d0wtaGQ3THY2UnlMemM0Z0dvQkdTcjhWODE0?oc=5"" target=""_blank"">Tamil Nadu weather forecast: IMD sounds orange alert in four districts |Details here|</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News9 LIVE</font>",
