Title,Link,Date,Source,Summary,Term,LanguageQueried
నేనేమీ స్టార్‌కిడ్‌ను కాదు - Namasthe Telangana,https://news.google.com/rss/articles/CBMikgFBVV95cUxPWXBpQWkyaWFRM1BvZ0NNZkJqRXZyT05EWDFhMzhMZk1nMUF5bFlSdkJIMHR6RjdjYlRPbUE5aWFiOWk4ZGJqWlB1UWZQcnRBNC11d2l2SVRtQXBfYjZORlFrZWhGM05lWF9TT3RqdjNuTmw0b3RiV0ZsUFJJMDlRZnAtaF9hV0V0RU1FN25kUUhadw?oc=5,2025-11-23 06:32:50,Namasthe Telangana,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxPWXBpQWkyaWFRM1BvZ0NNZkJqRXZyT05EWDFhMzhMZk1nMUF5bFlSdkJIMHR6RjdjYlRPbUE5aWFiOWk4ZGJqWlB1UWZQcnRBNC11d2l2SVRtQXBfYjZORlFrZWhGM05lWF9TT3RqdjNuTmw0b3RiV0ZsUFJJMDlRZnAtaF9hV0V0RU1FN25kUUhadw?oc=5"" target=""_blank"">నేనేమీ స్టార్‌కిడ్‌ను కాదు</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Namasthe Telangana</font>",Disaster,te
"తెలంగాణ, ఆంధ్రలో మరో తుపాను.. దూసుకొస్తున్న సేన్యార్.. ఐఎండీ బిగ్ అలర్ట్ - Asianet News Telugu",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQb1dmZ3R4endJX1BSazljWXdaVHYxLVJaNm5TSEp3bk9zbXNWc1V1eXdrQnBOb0N1RXNfQ2VMMGVlc2JZMm15QXpranB5QzVObWFYWkNPV1A1eWo3YmRSZVBuaGtxeGp0Rk91akQyUnpoSG9ZOUJYTF9xajI1VjZEeWtfWUNLMWRjUWFQcm5wYnNxbGZJVlh5aFNwVnI0YS1FV2UydTY1eFlCQXl0cDBGNlJBajQ4dFFacHl0MGxRZ0ozUmwzU1dFNzJHem0yQVY10gHWAUFVX3lxTE5OU3pScmVhZ25ObW9sNkNhLW91QXY1dVJvdzlUTmxkX25RZllQX1NlUEV5d0w5VkhteHhyb08tU0V4SG9NelNfSnh1ZWRMWkdWdm5KdU1OT3BHMERXVUF3RjFiSkVYb0oyVE1fZklKQUcxblRjWU14Tjd0WTlMRzM3c1poY0ZaWm1WRlNNYWd2dWtMNnY4TVpsNDh1T3VPVDZzUGlOU0E4SHJhd2N3Xy1lV1FvR0tFbVFNa3FoR1hDVE5Rb0x4WkdMc0R4OE4yWVdrM0ZmSUE?oc=5,2025-11-22 18:01:09,Asianet News Telugu,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQb1dmZ3R4endJX1BSazljWXdaVHYxLVJaNm5TSEp3bk9zbXNWc1V1eXdrQnBOb0N1RXNfQ2VMMGVlc2JZMm15QXpranB5QzVObWFYWkNPV1A1eWo3YmRSZVBuaGtxeGp0Rk91akQyUnpoSG9ZOUJYTF9xajI1VjZEeWtfWUNLMWRjUWFQcm5wYnNxbGZJVlh5aFNwVnI0YS1FV2UydTY1eFlCQXl0cDBGNlJBajQ4dFFacHl0MGxRZ0ozUmwzU1dFNzJHem0yQVY10gHWAUFVX3lxTE5OU3pScmVhZ25ObW9sNkNhLW91QXY1dVJvdzlUTmxkX25RZllQX1NlUEV5d0w5VkhteHhyb08tU0V4SG9NelNfSnh1ZWRMWkdWdm5KdU1OT3BHMERXVUF3RjFiSkVYb0oyVE1fZklKQUcxblRjWU14Tjd0WTlMRzM3c1poY0ZaWm1WRlNNYWd2dWtMNnY4TVpsNDh1T3VPVDZzUGlOU0E4SHJhd2N3Xy1lV1FvR0tFbVFNa3FoR1hDVE5Rb0x4WkdMc0R4OE4yWVdrM0ZmSUE?oc=5"" target=""_blank"">తెలంగాణ, ఆంధ్రలో మరో తుపాను.. దూసుకొస్తున్న సేన్యార్.. ఐఎండీ బిగ్ అలర్ట్</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet News Telugu</font>",Disaster,te
స్టార్ బ్యాటర్లు అవుట్: టీమిండియాలో భారీ మార్పులు - Oneindia Telugu,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNZXhzQVBtRGYxRW9zUzd4ZjVmMjFhX1ZrTUQ1OUpnWjl2Yzl5QTFsRy1NZXhWQ1pQaDBXVlVYSWpxZ2FybkYxak96UWJqUXp4bHpHM0JLYU5idGFEUmZPVldnTnlzbFg5cHh4REhQSUJONG1jZVlGb0dacU5TZlZuU0dhLXI2YnFQejdTM0Uwc1A5MDh2dl9TU1pCWExwU0dvUUdtdzNFakRqbHZCbmNKTEZVYmpMclFLMExsTnlnakVMNjI5RDNpb284cEFMSF9UcGMw?oc=5,2025-11-23 08:22:00,Oneindia Telugu,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNZXhzQVBtRGYxRW9zUzd4ZjVmMjFhX1ZrTUQ1OUpnWjl2Yzl5QTFsRy1NZXhWQ1pQaDBXVlVYSWpxZ2FybkYxak96UWJqUXp4bHpHM0JLYU5idGFEUmZPVldnTnlzbFg5cHh4REhQSUJONG1jZVlGb0dacU5TZlZuU0dhLXI2YnFQejdTM0Uwc1A5MDh2dl9TU1pCWExwU0dvUUdtdzNFakRqbHZCbmNKTEZVYmpMclFLMExsTnlnakVMNjI5RDNpb284cEFMSF9UcGMw?oc=5"" target=""_blank"">స్టార్ బ్యాటర్లు అవుట్: టీమిండియాలో భారీ మార్పులు</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Telugu</font>",Disaster,te
Nagarjuna Akkineni: అన్నపూర్ణకు డిప్యూటీ సీఎం... తెలంగాణ అభివృద్ధికి నాగార్జున సాయం కోరిన బట్టి - ABP Desam,https://news.google.com/rss/articles/CBMiqAJBVV95cUxNcDhEZVlfOXpPSTRwcURZZ2pvcjRBeHFwcjFiUVZBYTNNdTg4LU0tcE9GVmxZcWhGUXpwTUs3YWRlSmhwNEpFU09qTFotczdBOGYzZzhVMjFXV2ZaRlBYeHdxN2hzY3RONlBVWXM0bGZPUzY1blRZbVNhR2tOcW9TWkhjd245M0N3cHUyM25rc1V1SEpoLURZTmx5SWVSeDNWUkRBcGJfZXhFeXhUVlNzRXMyQlVCNUpyY3k5VVdHVkdSWV9ReDI0SlJpZWhkcUU4cGx0amg2OU9kdVF0UGxGc0ZhNG5jbi1OQ0FOeHpiWU1qV1lnb0dPa2RER0QyT0NCU3JZN3UxQTVCUHYxaVI0dG4tTWx3R01ZWXJLSm1IdVlYV1lvRXdJWtIBrgJBVV95cUxPMTN3WXVaNDNZbk5hX1VsZUx1dEo2R3FUa1dhRjQtYl93U3ZMTF9WR3VoZWJqRzUwaU9SR3Uzcm9vXzhZTHp2QTRDUEZQN2JZRXREMzVsaTNiN3R1UlhDb0JnQ1owYlRRUUVNOFZsVGZaaTBLaXRzeWdibTkyQ282MmlwckRfemxPd2xlNVVzdHRYN2Ytc0F1TG4zWVc4dTFzX1dIanBCRjh1YU1nZEs4dXJtd2FoSTZfWFpQeVRJNVFuT0NKbzFfdkpZeXl3NlRMd0czYlk4d0lzdFNHMkxaWEVJOWh6Z3o0OFljVGhMR0RCYWM2ZG5YRklSYVJhZ2lWUThBZFBPZ0Z1M1MwN3hIRGNzNEVTVkpXY0pyOFFraFVVd0ltZHpMcmFaY056UQ?oc=5,2025-11-22 16:33:46,ABP Desam,"<a href=""https://news.google.com/rss/articles/CBMiqAJBVV95cUxNcDhEZVlfOXpPSTRwcURZZ2pvcjRBeHFwcjFiUVZBYTNNdTg4LU0tcE9GVmxZcWhGUXpwTUs3YWRlSmhwNEpFU09qTFotczdBOGYzZzhVMjFXV2ZaRlBYeHdxN2hzY3RONlBVWXM0bGZPUzY1blRZbVNhR2tOcW9TWkhjd245M0N3cHUyM25rc1V1SEpoLURZTmx5SWVSeDNWUkRBcGJfZXhFeXhUVlNzRXMyQlVCNUpyY3k5VVdHVkdSWV9ReDI0SlJpZWhkcUU4cGx0amg2OU9kdVF0UGxGc0ZhNG5jbi1OQ0FOeHpiWU1qV1lnb0dPa2RER0QyT0NCU3JZN3UxQTVCUHYxaVI0dG4tTWx3R01ZWXJLSm1IdVlYV1lvRXdJWtIBrgJBVV95cUxPMTN3WXVaNDNZbk5hX1VsZUx1dEo2R3FUa1dhRjQtYl93U3ZMTF9WR3VoZWJqRzUwaU9SR3Uzcm9vXzhZTHp2QTRDUEZQN2JZRXREMzVsaTNiN3R1UlhDb0JnQ1owYlRRUUVNOFZsVGZaaTBLaXRzeWdibTkyQ282MmlwckRfemxPd2xlNVVzdHRYN2Ytc0F1TG4zWVc4dTFzX1dIanBCRjh1YU1nZEs4dXJtd2FoSTZfWFpQeVRJNVFuT0NKbzFfdkpZeXl3NlRMd0czYlk4d0lzdFNHMkxaWEVJOWh6Z3o0OFljVGhMR0RCYWM2ZG5YRklSYVJhZ2lWUThBZFBPZ0Z1M1MwN3hIRGNzNEVTVkpXY0pyOFFraFVVd0ltZHpMcmFaY056UQ?oc=5"" target=""_blank"">Nagarjuna Akkineni: అన్నపూర్ణకు డిప్యూటీ సీఎం... తెలంగాణ అభివృద్ధికి నాగార్జున సాయం కోరిన బట్టి</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Desam</font>",Disaster,te
"AP, Telangana Weather Update: బంగాళాఖాతంలో అల్పపీడనం .. వచ్చే 2 రోజుల్లో ఏపీ, తెలంగాణలో వర్షాల సూచన - News18 Telugu",https://news.google.com/rss/articles/CBMizwFBVV95cUxPT2tRWk4wVXd6c3hkZnRmYjI3THA1OFdLQlNURktSRGRDRDNnQkVZZ3JZal9vMnFacEVPd0RudjZMeXRZVUlSTE92cFhVMVpvOVZtOE1QMlByejlrbmhVRjZVNlNYaUxJMXgxRWI2eDJRR0w3OEViZFR4MFM2M3Nvai1xcm1qZ0hCZ2xwcUN5ZHl4RFQwSkpwMDVIX1JUaFJrbF9oR2t4NVNJc09NZXF0UzlnVkxYeE05N3RlRXdGdUVnZ3ZVMGpuc29DUHl1SWfSAdQBQVVfeXFMUFRCeDJkMFNHcE1TTmNWMWpJcUVnNnR3UmkyOEZST0R6a29lbk8wNE5FVWJNZVdPTEdYRlJXbTk0R0tNa0MtWlRPdnhqSl9JQmtYRzZJM2lIU0ctb3hBRzRYcEViODR1WTdUN0tfMEhwMXhCTVJ6V0FnVGNFZERrdHNZdDJ4U1JPZU9FZ3JLYUhKRDdvcFo3U2dacUZXN1dKSTFoYmpxTmdvb3h3U0hEc09iWGY5SmgzTmxKUXBwdzFMVWs0SVBpb21FVmpHXzZCTHJjb3k?oc=5,2025-11-22 10:46:00,News18 Telugu,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPT2tRWk4wVXd6c3hkZnRmYjI3THA1OFdLQlNURktSRGRDRDNnQkVZZ3JZal9vMnFacEVPd0RudjZMeXRZVUlSTE92cFhVMVpvOVZtOE1QMlByejlrbmhVRjZVNlNYaUxJMXgxRWI2eDJRR0w3OEViZFR4MFM2M3Nvai1xcm1qZ0hCZ2xwcUN5ZHl4RFQwSkpwMDVIX1JUaFJrbF9oR2t4NVNJc09NZXF0UzlnVkxYeE05N3RlRXdGdUVnZ3ZVMGpuc29DUHl1SWfSAdQBQVVfeXFMUFRCeDJkMFNHcE1TTmNWMWpJcUVnNnR3UmkyOEZST0R6a29lbk8wNE5FVWJNZVdPTEdYRlJXbTk0R0tNa0MtWlRPdnhqSl9JQmtYRzZJM2lIU0ctb3hBRzRYcEViODR1WTdUN0tfMEhwMXhCTVJ6V0FnVGNFZERrdHNZdDJ4U1JPZU9FZ3JLYUhKRDdvcFo3U2dacUZXN1dKSTFoYmpxTmdvb3h3U0hEc09iWGY5SmgzTmxKUXBwdzFMVWs0SVBpb21FVmpHXzZCTHJjb3k?oc=5"" target=""_blank"">AP, Telangana Weather Update: బంగాళాఖాతంలో అల్పపీడనం .. వచ్చే 2 రోజుల్లో ఏపీ, తెలంగాణలో వర్షాల సూచన</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Telugu</font>",Disaster,te
నాగచైతన్య కోసం మహేశ్ బాబు- NC24 ఫస్ట్ పోస్టర్​ రిలీజ్ చేయనున్న సూపర్ స్టార్​ - ETV Bharat,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNT0s2NHlZYUlfSjBEUnpFZ2N6X2ZiV3RJSHdlTmUyN05BdU01eW9DU0EzX19rOU9xb2NBdGQyZnlJcFM2M0JkSExndkxMTktET3VySS0zajZ4VmR6SlNBNEdQNUpDcDJEalZpa0tFQ3JfTU1OZno1MXFhSTUzcTE2SWtUS1JCamZuc0dwc3M0bkp3akhPOEtxQkp4ZzNGNkpWamVUT3hDaWNCMW5BS3AzS1YxUGlQajVmbU1oUGZVLU01TkRiQkNrdGtPZ3gxcURZ0gHQAUFVX3lxTE1PSzY0eVlhSV9KMERSekVnY3pfZmJXdElId2VOZTI3TkF1TTV5b0NTQTNfX2s5T3FvY0F0ZDJmeUlwUzYzQmRITGd2TExOS0RPdXJJLTNqNnhWZHpKU0E0R1A1SkNwMkRqVmlrS0VDcl9NTU5mejUxcWFJNTNxMTZJa1RLUkJqZm5zR3BzczRuSndqSE84S3FCSnhnM0Y2SlZqZVRPeENpY0IxbkFLcDNLVjFQaVBqNWZtTWhQZlUtTTVORGJCQ2t0a09neDFxRFk?oc=5,2025-11-22 17:35:46,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNT0s2NHlZYUlfSjBEUnpFZ2N6X2ZiV3RJSHdlTmUyN05BdU01eW9DU0EzX19rOU9xb2NBdGQyZnlJcFM2M0JkSExndkxMTktET3VySS0zajZ4VmR6SlNBNEdQNUpDcDJEalZpa0tFQ3JfTU1OZno1MXFhSTUzcTE2SWtUS1JCamZuc0dwc3M0bkp3akhPOEtxQkp4ZzNGNkpWamVUT3hDaWNCMW5BS3AzS1YxUGlQajVmbU1oUGZVLU01TkRiQkNrdGtPZ3gxcURZ0gHQAUFVX3lxTE1PSzY0eVlhSV9KMERSekVnY3pfZmJXdElId2VOZTI3TkF1TTV5b0NTQTNfX2s5T3FvY0F0ZDJmeUlwUzYzQmRITGd2TExOS0RPdXJJLTNqNnhWZHpKU0E0R1A1SkNwMkRqVmlrS0VDcl9NTU5mejUxcWFJNTNxMTZJa1RLUkJqZm5zR3BzczRuSndqSE84S3FCSnhnM0Y2SlZqZVRPeENpY0IxbkFLcDNLVjFQaVBqNWZtTWhQZlUtTTVORGJCQ2t0a09neDFxRFk?oc=5"" target=""_blank"">నాగచైతన్య కోసం మహేశ్ బాబు- NC24 ఫస్ట్ పోస్టర్​ రిలీజ్ చేయనున్న సూపర్ స్టార్​</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Disaster,te
IMD Rain Alert : సెన్యార్ సాధారణ తుపానా..? మాన్స్టర్ తుపానా? - Asianet News Telugu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxON29zajExdW1uTDRmenNyRDQ5dThVdWV3ODVZNHBUcnJOSG5JeEN3bTFkcTViSjhDZ1M4eVAwX3p6WkpKTnlSWkFmMTl2bjh4VUpTdS1vSVJ4UHpGb3VLUVBPRnZIYWYtSmJLLVY4UXhyemRUcHhVYUN6VmU0cEVTSDNOOElHRVFVUE42eFl4XzEwWU00NXJON3dCY1lrdEQxbGZhb0tnWUNLOXBCNnBtT3A2VDF0T2xFeFNtNmpRR1AwNmYtNHM0Yy1JTEYzMTVRN3lLN0ZENNIB1wFBVV95cUxON29zajExdW1uTDRmenNyRDQ5dThVdWV3ODVZNHBUcnJOSG5JeEN3bTFkcTViSjhDZ1M4eVAwX3p6WkpKTnlSWkFmMTl2bjh4VUpTdS1vSVJ4UHpGb3VLUVBPRnZIYWYtSmJLLVY4UXhyemRUcHhVYUN6VmU0cEVTSDNOOElHRVFVUE42eFl4XzEwWU00NXJON3dCY1lrdEQxbGZhb0tnWUNLOXBCNnBtT3A2VDF0T2xFeFNtNmpRR1AwNmYtNHM0Yy1JTEYzMTVRN3lLN0ZENA?oc=5,2025-11-22 14:28:25,Asianet News Telugu,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxON29zajExdW1uTDRmenNyRDQ5dThVdWV3ODVZNHBUcnJOSG5JeEN3bTFkcTViSjhDZ1M4eVAwX3p6WkpKTnlSWkFmMTl2bjh4VUpTdS1vSVJ4UHpGb3VLUVBPRnZIYWYtSmJLLVY4UXhyemRUcHhVYUN6VmU0cEVTSDNOOElHRVFVUE42eFl4XzEwWU00NXJON3dCY1lrdEQxbGZhb0tnWUNLOXBCNnBtT3A2VDF0T2xFeFNtNmpRR1AwNmYtNHM0Yy1JTEYzMTVRN3lLN0ZENNIB1wFBVV95cUxON29zajExdW1uTDRmenNyRDQ5dThVdWV3ODVZNHBUcnJOSG5JeEN3bTFkcTViSjhDZ1M4eVAwX3p6WkpKTnlSWkFmMTl2bjh4VUpTdS1vSVJ4UHpGb3VLUVBPRnZIYWYtSmJLLVY4UXhyemRUcHhVYUN6VmU0cEVTSDNOOElHRVFVUE42eFl4XzEwWU00NXJON3dCY1lrdEQxbGZhb0tnWUNLOXBCNnBtT3A2VDF0T2xFeFNtNmpRR1AwNmYtNHM0Yy1JTEYzMTVRN3lLN0ZENA?oc=5"" target=""_blank"">IMD Rain Alert : సెన్యార్ సాధారణ తుపానా..? మాన్స్టర్ తుపానా?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet News Telugu</font>",Disaster,te
వెంకీ.. త్రివిక్రమ్ ప్రాజెక్టు స్టార్ట్ అయ్యేది ఇప్పుడే.. లేట్ కి ప్రధాన కారణం అదేనా..? - indiaherald.com,https://news.google.com/rss/articles/CBMigwFBVV95cUxOWXpHdHRuY3loa0Ribm9BMV9wdnNKYXA5akJmYzBSNFlhXzFXMFFRYi1yZDVYdXhjT3hycUc1NklIdFZWZm5OTU9OQTZ1eTNkdXc4VHp6ZkZpWHpLUE1nSkJjcFlCc0pPb2RHQ1VxUThHOUQ5V1hORmh1ZWpWLTkyNnVmMNIBgwFBVV95cUxOWXpHdHRuY3loa0Ribm9BMV9wdnNKYXA5akJmYzBSNFlhXzFXMFFRYi1yZDVYdXhjT3hycUc1NklIdFZWZm5OTU9OQTZ1eTNkdXc4VHp6ZkZpWHpLUE1nSkJjcFlCc0pPb2RHQ1VxUThHOUQ5V1hORmh1ZWpWLTkyNnVmMA?oc=5,2025-11-22 19:54:00,indiaherald.com,"<a href=""https://news.google.com/rss/articles/CBMigwFBVV95cUxOWXpHdHRuY3loa0Ribm9BMV9wdnNKYXA5akJmYzBSNFlhXzFXMFFRYi1yZDVYdXhjT3hycUc1NklIdFZWZm5OTU9OQTZ1eTNkdXc4VHp6ZkZpWHpLUE1nSkJjcFlCc0pPb2RHQ1VxUThHOUQ5V1hORmh1ZWpWLTkyNnVmMNIBgwFBVV95cUxOWXpHdHRuY3loa0Ribm9BMV9wdnNKYXA5akJmYzBSNFlhXzFXMFFRYi1yZDVYdXhjT3hycUc1NklIdFZWZm5OTU9OQTZ1eTNkdXc4VHp6ZkZpWHpLUE1nSkJjcFlCc0pPb2RHQ1VxUThHOUQ5V1hORmh1ZWpWLTkyNnVmMA?oc=5"" target=""_blank"">వెంకీ.. త్రివిక్రమ్ ప్రాజెక్టు స్టార్ట్ అయ్యేది ఇప్పుడే.. లేట్ కి ప్రధాన కారణం అదేనా..?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indiaherald.com</font>",Disaster,te
Coldwave Over Telangana Ends After 12 Days as Warmer Air Returns For a While - Deccan Chronicle,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNUGNmT1cyVC01UFgzREJHWC0xR0N3X2hqTlZWQlpTTzNPcE1SQzZ6MUZMS3Y5REt3bmlHZzlnc3lzT2d6eTJxUHN6d04yaXBfb2dKN2FVdjhQbXVfdUdpbW9aSG1YSnppNUpTOUtLYmxhRHFuRHM3MVliMXY1cWY4bFdWNUJiMzBpYnpkOXhpMXBubTQwcXoySG1ieWlHUTFPQ0YwWjlsUjF2SmV4czFXSld2VkZPVzFNTDRrTEJ3MVhhelJpdHZiYVNSY3R3enBCSnJySkxoR0xtd9IB3wFBVV95cUxQaEZnd3JNM3NZNnp5NUtxa1hMMGFaXzhSaUtEbFFHalRzLWVYc2U0MWo5RDk2WHVnUTc4VFV1YmdHaFpuVElmaXdiWmFBRWI1SmR6eGZoTnoyZW5Zc2pWbEpsdV9uWjh4YkxBOHh1aGk1VGxZYTItOElhbWFISGZZeUFMeFcwcFpKV2lTN1B2YVJVbVk2cW4zdW1YWlNzbmhOY0pMZUdIX2FlOXVCYnNLSGZNRDh3WFBCcUdOQ0hzNkhLMThzNWRTSFc2RGJ2MzJSeVJwYmRHekQzTzkwTjZJ?oc=5,2025-11-22 22:04:12,Deccan Chronicle,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNUGNmT1cyVC01UFgzREJHWC0xR0N3X2hqTlZWQlpTTzNPcE1SQzZ6MUZMS3Y5REt3bmlHZzlnc3lzT2d6eTJxUHN6d04yaXBfb2dKN2FVdjhQbXVfdUdpbW9aSG1YSnppNUpTOUtLYmxhRHFuRHM3MVliMXY1cWY4bFdWNUJiMzBpYnpkOXhpMXBubTQwcXoySG1ieWlHUTFPQ0YwWjlsUjF2SmV4czFXSld2VkZPVzFNTDRrTEJ3MVhhelJpdHZiYVNSY3R3enBCSnJySkxoR0xtd9IB3wFBVV95cUxQaEZnd3JNM3NZNnp5NUtxa1hMMGFaXzhSaUtEbFFHalRzLWVYc2U0MWo5RDk2WHVnUTc4VFV1YmdHaFpuVElmaXdiWmFBRWI1SmR6eGZoTnoyZW5Zc2pWbEpsdV9uWjh4YkxBOHh1aGk1VGxZYTItOElhbWFISGZZeUFMeFcwcFpKV2lTN1B2YVJVbVk2cW4zdW1YWlNzbmhOY0pMZUdIX2FlOXVCYnNLSGZNRDh3WFBCcUdOQ0hzNkhLMThzNWRTSFc2RGJ2MzJSeVJwYmRHekQzTzkwTjZJ?oc=5"" target=""_blank"">Coldwave Over Telangana Ends After 12 Days as Warmer Air Returns For a While</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Chronicle</font>",Disaster,en
"Cyclone Senyar Forecast LIVE Updates: IMD issues high-wave, heavy rain alert for Andaman & Nicobar islands - The Indian Express",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQR2NaSzhtS2tKVWpESTBYTWluQTJDZGNKX3FkZnhMQTZEMGdIdkJZc1JkVFNJTXdySHVQSWVFTHZ0aTFudlZWbFFoQmxfZXNtcjRrMzQxVGRWQ3U4ZlJHeUlrWmlQQ3ZtdDBNOW1JUkdFNHgyWXZ6ZUxKU21GR1p5eDJ6dUx5TjZMV1FFNmd1U2liM1ZlY1NvUkptUnpGR1ZPU3pCLWNnOWdBZlkyUE5lbXV5WlZDd1NsY3oxQmNOYVA1TzQ1VkkyamNua0x4ZDhBLVpB0gHaAUFVX3lxTE5uYllkdDlyTXZ6Q0dqdjJvUzk1c1E3R0FMalFfSEZ4UFlaVnVqdGRKWFJ5SFlYZk1ESUZQci1vb1JDS2I4YzVjRk9ob0tIeFlFMzFpcmRSOUNrcWxDRWN6RXFvSnNtRnNCWGh6SG1GU2k3cXZKcjBoSHdwZ1VueXF1NmZ5SExTV2NtTmk1ZzZWVEhkLXVOeFJRaUQ4Ul9qWERNOFVnekJmeElqcUFQenlPdEpyQUhNbWFrb05URGRNeU12SDFiYmxTbjRFRzFraS1UekJMcl9RcHRB?oc=5,2025-11-22 17:15:01,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQR2NaSzhtS2tKVWpESTBYTWluQTJDZGNKX3FkZnhMQTZEMGdIdkJZc1JkVFNJTXdySHVQSWVFTHZ0aTFudlZWbFFoQmxfZXNtcjRrMzQxVGRWQ3U4ZlJHeUlrWmlQQ3ZtdDBNOW1JUkdFNHgyWXZ6ZUxKU21GR1p5eDJ6dUx5TjZMV1FFNmd1U2liM1ZlY1NvUkptUnpGR1ZPU3pCLWNnOWdBZlkyUE5lbXV5WlZDd1NsY3oxQmNOYVA1TzQ1VkkyamNua0x4ZDhBLVpB0gHaAUFVX3lxTE5uYllkdDlyTXZ6Q0dqdjJvUzk1c1E3R0FMalFfSEZ4UFlaVnVqdGRKWFJ5SFlYZk1ESUZQci1vb1JDS2I4YzVjRk9ob0tIeFlFMzFpcmRSOUNrcWxDRWN6RXFvSnNtRnNCWGh6SG1GU2k3cXZKcjBoSHdwZ1VueXF1NmZ5SExTV2NtTmk1ZzZWVEhkLXVOeFJRaUQ4Ul9qWERNOFVnekJmeElqcUFQenlPdEpyQUhNbWFrb05URGRNeU12SDFiYmxTbjRFRzFraS1UekJMcl9RcHRB?oc=5"" target=""_blank"">Cyclone Senyar Forecast LIVE Updates: IMD issues high-wave, heavy rain alert for Andaman & Nicobar islands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
