Title,Link,Date,Source,Summary,Term,LanguageQueried
Akhanda 2: బాలయ్య సినిమాకు బంపరాఫర్.. తెలంగాణలోనూ ‘అఖండ 2’ సినిమా టిక్కెట్‌ ధరలు భారీగా... - tv9telugu.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNeUMwS2RlcVJIQ0NMYkpmVllrM2l6LWRISHVLVkZwc1JPX2pLREppWVhzT0tlQ1JrdDhQS0tuem4xVS1XNTJpOWlZbThzLWgwX0V5VnljeFhXX1hKTzl5NGNwbGlqMFhRSjVyQjlEMmZvZWtGcHA1dVV4ZEZpVENhOThRLWRUd0ZLcUsyNzJtTWhnX19TYUFFX0Y3M0lxbWZwcXV2WTJUb2xtUGFqbDF1UFk3cmktTS1PajNsa0tod1pWcHRfOFE4QlB1RkM0cHlESThWT1BvTTItQdIB3wFBVV95cUxOaGMzYjlXUU1YUnJfbU5hMVhQOGE1NWRjMkVST3l3LXJFOWVPc0VmLXpJbTRKUTV0UFYwVXkyaHIwYVVLd0VrVGpKQXpVR0ZjMExGRlN0VjRjdzM3NmpaZEdrZnBaZ20tVFNQY3pMSU5zNFpFUEN4Tk8tS0tOemZyWmRwZGhfWTlnNWVIOWhDYzZwdF9uc1p0dmNDWHJ3RHhOV3ZfYzVyQVJsR0lKTHFXR01IUzdfc2pyMkJGX3kzQVU2VjBvdEJ3SUtuM19mcDV2bzFYRG9oa1NZVW1WQnpR?oc=5,2025-12-10 19:35:42,tv9telugu.com,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNeUMwS2RlcVJIQ0NMYkpmVllrM2l6LWRISHVLVkZwc1JPX2pLREppWVhzT0tlQ1JrdDhQS0tuem4xVS1XNTJpOWlZbThzLWgwX0V5VnljeFhXX1hKTzl5NGNwbGlqMFhRSjVyQjlEMmZvZWtGcHA1dVV4ZEZpVENhOThRLWRUd0ZLcUsyNzJtTWhnX19TYUFFX0Y3M0lxbWZwcXV2WTJUb2xtUGFqbDF1UFk3cmktTS1PajNsa0tod1pWcHRfOFE4QlB1RkM0cHlESThWT1BvTTItQdIB3wFBVV95cUxOaGMzYjlXUU1YUnJfbU5hMVhQOGE1NWRjMkVST3l3LXJFOWVPc0VmLXpJbTRKUTV0UFYwVXkyaHIwYVVLd0VrVGpKQXpVR0ZjMExGRlN0VjRjdzM3NmpaZEdrZnBaZ20tVFNQY3pMSU5zNFpFUEN4Tk8tS0tOemZyWmRwZGhfWTlnNWVIOWhDYzZwdF9uc1p0dmNDWHJ3RHhOV3ZfYzVyQVJsR0lKTHFXR01IUzdfc2pyMkJGX3kzQVU2VjBvdEJ3SUtuM19mcDV2bzFYRG9oa1NZVW1WQnpR?oc=5"" target=""_blank"">Akhanda 2: బాలయ్య సినిమాకు బంపరాఫర్.. తెలంగాణలోనూ ‘అఖండ 2’ సినిమా టిక్కెట్‌ ధరలు భారీగా...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">tv9telugu.com</font>",Disaster,te
"అనంతగిరి కొండల్లో కెమెరా, స్టార్ట్, యాక్షన్ - షూటింగులకు ఇకనుంచి ఆన్​లైన్​లో అనుమతులు - ETV Bharat",https://news.google.com/rss/articles/CBMivgFBVV95cUxQSUlSUjZjYlpwRDBBblhENTFVSXpxazNKYkRDUkRKbHFMYkNxUnJrU0F0dTJ1R2RfWVhCNTVTT2JHX1YwUk8xRlZiU095U2w3eFJyaVQ2VWtEZzhDUnI5WWVNWjk4RTBMZm9jZmhXTGtKSVhFcEVreWcwWC00R3JwR2Z2bUI3VXVBRmZaeHpoWWZVSy0xbEZ5a2lqZHB1Wk9ZRXh4R0lZR0FBa3lfRVpQRnhtZ0hwSEhRWXFGUk1B0gHDAUFVX3lxTFB0emo5UmNlNHVyVGxKMUFtTmVaOERnSEdFMFIybHVXR2gyVWQzTTVhNWw0ZzNZUkh1dUxVYkhUUFR5ZFZTSFRkOTV5QUJKU2MxNU91VjZmVXZMUU1fRDVUQVlQbTg0MFc3cVJQSkFqUG9hN2RiNkJjNGU2YWdHM2VJMDZCVEFHbzdjUXVhWXE0WWpBdU94STZiRGJjbm8wWUpxWnhhemZqbW1CeTAwUFByZDYzN0F1akl0Ni1LMjhKWjVNYw?oc=5,2025-12-10 15:56:38,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxQSUlSUjZjYlpwRDBBblhENTFVSXpxazNKYkRDUkRKbHFMYkNxUnJrU0F0dTJ1R2RfWVhCNTVTT2JHX1YwUk8xRlZiU095U2w3eFJyaVQ2VWtEZzhDUnI5WWVNWjk4RTBMZm9jZmhXTGtKSVhFcEVreWcwWC00R3JwR2Z2bUI3VXVBRmZaeHpoWWZVSy0xbEZ5a2lqZHB1Wk9ZRXh4R0lZR0FBa3lfRVpQRnhtZ0hwSEhRWXFGUk1B0gHDAUFVX3lxTFB0emo5UmNlNHVyVGxKMUFtTmVaOERnSEdFMFIybHVXR2gyVWQzTTVhNWw0ZzNZUkh1dUxVYkhUUFR5ZFZTSFRkOTV5QUJKU2MxNU91VjZmVXZMUU1fRDVUQVlQbTg0MFc3cVJQSkFqUG9hN2RiNkJjNGU2YWdHM2VJMDZCVEFHbzdjUXVhWXE0WWpBdU94STZiRGJjbm8wWUpxWnhhemZqbW1CeTAwUFByZDYzN0F1akl0Ni1LMjhKWjVNYw?oc=5"" target=""_blank"">అనంతగిరి కొండల్లో కెమెరా, స్టార్ట్, యాక్షన్ - షూటింగులకు ఇకనుంచి ఆన్​లైన్​లో అనుమతులు</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Disaster,te
అఖండ-2 సినిమా టిక్కెట్‌ ధరల పెంపు.. జీవో విడుదల చేసిన తెలంగాణ సర్కార్ - Disha daily,https://news.google.com/rss/articles/CBMitAFBVV95cUxOY2c5VWRSdDB6V25KTWI4NmV2SFlIWEtwaWxOVGx0clUzUlV6Rl9IcG5PV2otQnlxXzhzODhtVXhTOHNKUHNFaUFaSmlGN2k2T0dfTEVGTkJfSXA0OGx6SDlUb19IaG9yNlQ4X3dLNEFsM2w3cWNaSW1yZDE5YkExeGlfNkVTNnNoRkZ5aFBCWHExMW5LeVRwQmFTeHh4V0hFYTRuQzRJVUpZQWhuS3hDY1pGY2jSAboBQVVfeXFMTVN3bjc0YXlGb1FpOFhTME5XLXRxdW1fNElBZDQ4alFXRlEwemYzVE51YTFwSUZEZUxsdl81MlBtam94QzZ6U1Zud09ULWZLSFlsLTRmbmpsSHZxWXhHVkpMWjd6dTkyY0c2T1VzejZzT2dEYUdteWk3MGYzRGR1R0FPZmVVOU9vbm1iTmszRm9sdkY2aktBN1BOeW1jSFVzQmdrak55VWU4SGQwT0E5Mm9uZTgtRmI4MGJB?oc=5,2025-12-10 18:57:34,Disha daily,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOY2c5VWRSdDB6V25KTWI4NmV2SFlIWEtwaWxOVGx0clUzUlV6Rl9IcG5PV2otQnlxXzhzODhtVXhTOHNKUHNFaUFaSmlGN2k2T0dfTEVGTkJfSXA0OGx6SDlUb19IaG9yNlQ4X3dLNEFsM2w3cWNaSW1yZDE5YkExeGlfNkVTNnNoRkZ5aFBCWHExMW5LeVRwQmFTeHh4V0hFYTRuQzRJVUpZQWhuS3hDY1pGY2jSAboBQVVfeXFMTVN3bjc0YXlGb1FpOFhTME5XLXRxdW1fNElBZDQ4alFXRlEwemYzVE51YTFwSUZEZUxsdl81MlBtam94QzZ6U1Zud09ULWZLSFlsLTRmbmpsSHZxWXhHVkpMWjd6dTkyY0c2T1VzejZzT2dEYUdteWk3MGYzRGR1R0FPZmVVOU9vbm1iTmszRm9sdkY2aktBN1BOeW1jSFVzQmdrak55VWU4SGQwT0E5Mm9uZTgtRmI4MGJB?oc=5"" target=""_blank"">అఖండ-2 సినిమా టిక్కెట్‌ ధరల పెంపు.. జీవో విడుదల చేసిన తెలంగాణ సర్కార్</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Disha daily</font>",Disaster,te
Akhanda 2 Tandavam: ఆల‌స్య‌మైనా.. త‌గ్గేదేలే! అఖండ‌.. టికెట్ రేట్ల పెంపు - Chitrajyothy,https://news.google.com/rss/articles/CBMi3wFBVV95cUxOZGRpWVJZcnNLTVFQZjd6S3R3MVB2aVhPRzhBdWhEaG1VN0V1cVZHMzZ5b0R6RmVqUFNYV1NaVUlSTUJNMm9kVHZuSUVtdUhwM1JpUWg2LURINk1IdUhxTEU3WnM2ZnQ0a29xN2hHQUtFdjdGdTR2M2kyWmxTbFIxcnFmaFJVS19RcFRMTS1td1ViVER3RFQ1ZFFSVG5TQ1FSSjdkZzFWSzU4NnJMOFBiMzNMV2oxYjBfallFcHZWRXJRRUtPRTNzZ2tuTi1qbkZpWmhyVWFkWGpNbFhGMHpn0gHkAUFVX3lxTE5rd3lwT0VtREVhNS1Jb0dpOVNiZkNqbXFVc1dESGRwanYycXFvZjNGdjZiLTJsZTdSUDlQV1ZKSkd0ZWJLWVhVQzRsVzFrQlVhNGdEUkhhcnNUWUd4S1JJOFlsbk01NG9DYVprTHJPUE5DVEhmZDFaTnBkS0xiMFFMRUNzMXV4MjZRaUZvcy1xRlFFZkJiMnN4ZUExY3NKX3FTQkFXdjVxRnJyNUllRlZzeE9SVUR1aWJJdXVtTWFVWW5LMlBLUmlEN1BpcU5KOW43OHFadFJ4SElMYU5CVUhPMzFfNA?oc=5,2025-12-10 18:59:37,Chitrajyothy,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxOZGRpWVJZcnNLTVFQZjd6S3R3MVB2aVhPRzhBdWhEaG1VN0V1cVZHMzZ5b0R6RmVqUFNYV1NaVUlSTUJNMm9kVHZuSUVtdUhwM1JpUWg2LURINk1IdUhxTEU3WnM2ZnQ0a29xN2hHQUtFdjdGdTR2M2kyWmxTbFIxcnFmaFJVS19RcFRMTS1td1ViVER3RFQ1ZFFSVG5TQ1FSSjdkZzFWSzU4NnJMOFBiMzNMV2oxYjBfallFcHZWRXJRRUtPRTNzZ2tuTi1qbkZpWmhyVWFkWGpNbFhGMHpn0gHkAUFVX3lxTE5rd3lwT0VtREVhNS1Jb0dpOVNiZkNqbXFVc1dESGRwanYycXFvZjNGdjZiLTJsZTdSUDlQV1ZKSkd0ZWJLWVhVQzRsVzFrQlVhNGdEUkhhcnNUWUd4S1JJOFlsbk01NG9DYVprTHJPUE5DVEhmZDFaTnBkS0xiMFFMRUNzMXV4MjZRaUZvcy1xRlFFZkJiMnN4ZUExY3NKX3FTQkFXdjVxRnJyNUllRlZzeE9SVUR1aWJJdXVtTWFVWW5LMlBLUmlEN1BpcU5KOW43OHFadFJ4SElMYU5CVUhPMzFfNA?oc=5"" target=""_blank"">Akhanda 2 Tandavam: ఆల‌స్య‌మైనా.. త‌గ్గేదేలే! అఖండ‌.. టికెట్ రేట్ల పెంపు</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Chitrajyothy</font>",Disaster,te
Akshaye Khanna Dance: ఒక్క స్టెప్‌తో దుమ్మురేపిన స్టార్ హీరో.. సినిమా కంటే ఆ సీన్ కోసమే థియేటర్లకు క్యూ కట్... - News18 Telugu,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1ZTNGFNbEk4QXBzdXMzeExrSk80aEJFeHpnR3dlZndva1BmMXVES1h5QVR0RHY4YWZ2UGJVQnRwMm5xUWRIS21kUUFSV0RvbW45WFdybTF5aW04Qmdvdnh4ajZMM19Nd01TNVJSZEpRQy1xSnc1dE9mM2ZMZ1NFVE9HQ3NxQzdUX2ZsQUpQTmxxR2lBaDJPamdqakZqMFpzd1ZEUG1HQS1CQzh5dHE2VVpOd3hTTndzdkhpOGstZWNBZ0tzNkhCUXdEWHZRVm95MnFj0gHYAUFVX3lxTE0tNmc5Rm1mbTBwS05RZlFMNlRvTEhTZDN6ekdtdDFoNFU0ZHZoTlFwNGxDeGp0UmJHTFBfbmIzTEN3TGJPejcyak81MnNtdW50VnN5dmdIWkFmREM0VEZnT1dqdTQwMzh5WEZFdHQ5T2lFSGF2N084UnVFNXRtT19lU29IdmdIaG43MWlDU2FLbno1M21UbTcydjZfbmNLYTRIdUIzMlBYR0U2VW1DUUk5aEVRbklaZ21BNGNHY1M3U3RXQWN6Qk5aMElzZ0U2NjBDSWNiZElJVw?oc=5,2025-12-10 18:42:43,News18 Telugu,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPN1ZTNGFNbEk4QXBzdXMzeExrSk80aEJFeHpnR3dlZndva1BmMXVES1h5QVR0RHY4YWZ2UGJVQnRwMm5xUWRIS21kUUFSV0RvbW45WFdybTF5aW04Qmdvdnh4ajZMM19Nd01TNVJSZEpRQy1xSnc1dE9mM2ZMZ1NFVE9HQ3NxQzdUX2ZsQUpQTmxxR2lBaDJPamdqakZqMFpzd1ZEUG1HQS1CQzh5dHE2VVpOd3hTTndzdkhpOGstZWNBZ0tzNkhCUXdEWHZRVm95MnFj0gHYAUFVX3lxTE0tNmc5Rm1mbTBwS05RZlFMNlRvTEhTZDN6ekdtdDFoNFU0ZHZoTlFwNGxDeGp0UmJHTFBfbmIzTEN3TGJPejcyak81MnNtdW50VnN5dmdIWkFmREM0VEZnT1dqdTQwMzh5WEZFdHQ5T2lFSGF2N084UnVFNXRtT19lU29IdmdIaG43MWlDU2FLbno1M21UbTcydjZfbmNLYTRIdUIzMlBYR0U2VW1DUUk5aEVRbklaZ21BNGNHY1M3U3RXQWN6Qk5aMElzZ0U2NjBDSWNiZElJVw?oc=5"" target=""_blank"">Akshaye Khanna Dance: ఒక్క స్టెప్‌తో దుమ్మురేపిన స్టార్ హీరో.. సినిమా కంటే ఆ సీన్ కోసమే థియేటర్లకు క్యూ కట్...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Telugu</font>",Disaster,te
హైదరాబాద్‌లో కొత్త సినిమా థియేటర్లు.. సంక్రాంతి నాటికి ప్రారంభం.. లిస్ట్ ఇదే - Samayam Telugu,https://news.google.com/rss/articles/CBMizAFBVV95cUxNeVo4SmhYU1h1OHc3NC1LZWZUT0t4NzE2VkhkczZEbnhMNWNHZnl3dDRqdlJaTlJCTDFIZ1ZKczFsRmZUZXVfSDBLcmJlUG5jUkhXbnpaNGZUZEZVRVhselVOeFdBQ1R3VnpwSGx4NGU4TXZ0NHR0eDJ0VU5oNVZGQi1GbVBWWXNjcHJvRkcwX3hzU1BRQ1diWWRJSV9XZ1Z2ZFpkWFc5MTJiYU9xa1F2eWNHMW5HcE5uazltUUEwaEMzbTlFcWpWWUxMMkXSAdIBQVVfeXFMTmZlazJYdDI5WU9UQ3QwTlFyNWxLWk9reWVOZEFLVXQ0c2lSVDlnc0gyOVVVbXZSejlYN2w4OHdmODVvb3c5b0p4R3FmeVpGMXl1QksyRjllYXpya0ttTE92dkhJek9zVzJCTUF6b0pON1pnZVZnX3REWWQtTHlqTTJCMFFIRkdJdnltOVZRUzFsLVR2emw1dkNyUDgycTYtN0J1V3dybGFBWmlYd2lqaEFIaFlGYnZ2NUtqVm81WTdkanQzNDgySTNIMlV4c09KRHpB?oc=5,2025-12-10 15:26:00,Samayam Telugu,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNeVo4SmhYU1h1OHc3NC1LZWZUT0t4NzE2VkhkczZEbnhMNWNHZnl3dDRqdlJaTlJCTDFIZ1ZKczFsRmZUZXVfSDBLcmJlUG5jUkhXbnpaNGZUZEZVRVhselVOeFdBQ1R3VnpwSGx4NGU4TXZ0NHR0eDJ0VU5oNVZGQi1GbVBWWXNjcHJvRkcwX3hzU1BRQ1diWWRJSV9XZ1Z2ZFpkWFc5MTJiYU9xa1F2eWNHMW5HcE5uazltUUEwaEMzbTlFcWpWWUxMMkXSAdIBQVVfeXFMTmZlazJYdDI5WU9UQ3QwTlFyNWxLWk9reWVOZEFLVXQ0c2lSVDlnc0gyOVVVbXZSejlYN2w4OHdmODVvb3c5b0p4R3FmeVpGMXl1QksyRjllYXpya0ttTE92dkhJek9zVzJCTUF6b0pON1pnZVZnX3REWWQtTHlqTTJCMFFIRkdJdnltOVZRUzFsLVR2emw1dkNyUDgycTYtN0J1V3dybGFBWmlYd2lqaEFIaFlGYnZ2NUtqVm81WTdkanQzNDgySTNIMlV4c09KRHpB?oc=5"" target=""_blank"">హైదరాబాద్‌లో కొత్త సినిమా థియేటర్లు.. సంక్రాంతి నాటికి ప్రారంభం.. లిస్ట్ ఇదే</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Samayam Telugu</font>",Disaster,te
Saudi Arabia | ఎడారి దేశం సౌదీ అరేబియాను ముంచెత్తిన వరదలు.. VIDEOS - Namasthe Telangana,https://news.google.com/rss/articles/CBMiugFBVV95cUxNVHRub3UxZXBiVHZtMEpaSnk5UEtTMVo4MVg1dW1FOV9KZmZrUElmWEs5Vk50Z3hEMEVxdVRIbFhNaFFSeWJja01qMXJlNFVNbEU4Xzk4UEZUVEVnNWNuNGJWendFOUlEUWJBRGxlakpIMUhPNW54cnZWc2RsYlZaam9zbFJoYUJ2bU1hVG95OWYzckxWYkU3YnR5TkVvUktlNkFhdGxJVjFUSGlFR0o2SDNPWnhCQmFreGc?oc=5,2025-12-10 15:58:20,Namasthe Telangana,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNVHRub3UxZXBiVHZtMEpaSnk5UEtTMVo4MVg1dW1FOV9KZmZrUElmWEs5Vk50Z3hEMEVxdVRIbFhNaFFSeWJja01qMXJlNFVNbEU4Xzk4UEZUVEVnNWNuNGJWendFOUlEUWJBRGxlakpIMUhPNW54cnZWc2RsYlZaam9zbFJoYUJ2bU1hVG95OWYzckxWYkU3YnR5TkVvUktlNkFhdGxJVjFUSGlFR0o2SDNPWnhCQmFreGc?oc=5"" target=""_blank"">Saudi Arabia | ఎడారి దేశం సౌదీ అరేబియాను ముంచెత్తిన వరదలు.. VIDEOS</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Namasthe Telangana</font>",Disaster,te
Google Startup| రూ. 1000 కోట్లతో స్టార్ట్ అప్ ఫండ్ : సీఎం రేవంత్ రెడ్డి - Vidhaatha,https://news.google.com/rss/articles/CBMijwFBVV95cUxOQWtucXdjck4yVHJLNVBRZTBPNW54UEVkRnFmbWlyaHVtTGZkSmE0MEVrWE1tc0ptc2YzeDNuNldXODBJakhiMzRBQktlQm14eGN1eHhHdlFnOExvWGZHcW1nZkhBVmNfZS14a2RFVGFNOEI1RXk4UHRCTGZ2SU5JS3hyenF5X0J4RjUzVXFIRdIBjwFBVV95cUxOQWtucXdjck4yVHJLNVBRZTBPNW54UEVkRnFmbWlyaHVtTGZkSmE0MEVrWE1tc0ptc2YzeDNuNldXODBJakhiMzRBQktlQm14eGN1eHhHdlFnOExvWGZHcW1nZkhBVmNfZS14a2RFVGFNOEI1RXk4UHRCTGZ2SU5JS3hyenF5X0J4RjUzVXFIRQ?oc=5,2025-12-10 13:08:46,Vidhaatha,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxOQWtucXdjck4yVHJLNVBRZTBPNW54UEVkRnFmbWlyaHVtTGZkSmE0MEVrWE1tc0ptc2YzeDNuNldXODBJakhiMzRBQktlQm14eGN1eHhHdlFnOExvWGZHcW1nZkhBVmNfZS14a2RFVGFNOEI1RXk4UHRCTGZ2SU5JS3hyenF5X0J4RjUzVXFIRdIBjwFBVV95cUxOQWtucXdjck4yVHJLNVBRZTBPNW54UEVkRnFmbWlyaHVtTGZkSmE0MEVrWE1tc0ptc2YzeDNuNldXODBJakhiMzRBQktlQm14eGN1eHhHdlFnOExvWGZHcW1nZkhBVmNfZS14a2RFVGFNOEI1RXk4UHRCTGZ2SU5JS3hyenF5X0J4RjUzVXFIRQ?oc=5"" target=""_blank"">Google Startup| రూ. 1000 కోట్లతో స్టార్ట్ అప్ ఫండ్ : సీఎం రేవంత్ రెడ్డి</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vidhaatha</font>",Disaster,te
Actress: స్టార్ డైరెక్టర్‌తో ఎఫైర్.. పెళ్లికి ముందే ప్రెగ్నెంట్.. బాబోయ్ ఈ టాలీవుడ్ హీరోయిన్ కథలు మాములుగా ... - News18 Telugu,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPV0N5MEZMY1lFT180SkhWaFVXdHZGNVVhcm1fb1BxS1RzZkRoSFpEbzJQWkR5RnJhdW5yTW9Dd1pWX0pNcWVIY1FBYUNvS2dyZFVsRDZ5NzRYWU5sX3NHbGNxV1htdmlFM3hOQUticFZlakpqbWVTc0s3X1FXQXJSYWF5Z05GUTc2TE9sQXZWTTFnZzFQSHk4YmxVdFNoRTFlQTYyUjlpSmY1aGREcmhpVFFWZTFPWVBoMHNHdndGR05MTHFxZkJYS1NtcHFRdldvc2VWdGUxaETSAdgBQVVfeXFMT1dDeTBGTGNZRU9fNEpIVmhVV3R2RjVVYXJtX29QcUtUc2ZEaEhaRG8yUFpEeUZyYXVuck1vQ3daVl9KTXFlSGNRQWFDb0tncmRVbEQ2eTc0WFlObF9zR2xjcVdYbXZpRTN4TkFLYnBWZWpKam1lU3NLN19RV0FyUmFheWdORlE3NkxPbEF2Vk0xZ2cxUEh5OGJsVXRTaEUxZUE2MlI5aUpmNWhkRHJoaVRRVmUxT1lQaDBzR3Z3RkdOTExxcWZCWEtTbXBxUXZXb3NlVnRlMWhE?oc=5,2025-12-10 12:33:14,News18 Telugu,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPV0N5MEZMY1lFT180SkhWaFVXdHZGNVVhcm1fb1BxS1RzZkRoSFpEbzJQWkR5RnJhdW5yTW9Dd1pWX0pNcWVIY1FBYUNvS2dyZFVsRDZ5NzRYWU5sX3NHbGNxV1htdmlFM3hOQUticFZlakpqbWVTc0s3X1FXQXJSYWF5Z05GUTc2TE9sQXZWTTFnZzFQSHk4YmxVdFNoRTFlQTYyUjlpSmY1aGREcmhpVFFWZTFPWVBoMHNHdndGR05MTHFxZkJYS1NtcHFRdldvc2VWdGUxaETSAdgBQVVfeXFMT1dDeTBGTGNZRU9fNEpIVmhVV3R2RjVVYXJtX29QcUtUc2ZEaEhaRG8yUFpEeUZyYXVuck1vQ3daVl9KTXFlSGNRQWFDb0tncmRVbEQ2eTc0WFlObF9zR2xjcVdYbXZpRTN4TkFLYnBWZWpKam1lU3NLN19RV0FyUmFheWdORlE3NkxPbEF2Vk0xZ2cxUEh5OGJsVXRTaEUxZUE2MlI5aUpmNWhkRHJoaVRRVmUxT1lQaDBzR3Z3RkdOTExxcWZCWEtTbXBxUXZXb3NlVnRlMWhE?oc=5"" target=""_blank"">Actress: స్టార్ డైరెక్టర్‌తో ఎఫైర్.. పెళ్లికి ముందే ప్రెగ్నెంట్.. బాబోయ్ ఈ టాలీవుడ్ హీరోయిన్ కథలు మాములుగా ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Telugu</font>",Disaster,te
"Andhra Pradesh, Telangana Weather LATEST Update: Cold Wave Hits Hyderabad and Other Districts - Asianet Newsable",https://news.google.com/rss/articles/CBMizwFBVV95cUxQdkVvRThVZnhabVRyRjhZdHVlMEl1U0s5Wm12bkFqNXVDN05NV1Njcmh2bGstOEp3aXBxMVJ4WUR6R09aNEsycy0wV2k0aGs2WlFLR3VaMjFnWk91Yk5wQ0lOaXRsVmh5aENwUUtpbzRoVDVmSmhiZHplakZlV19wamdrajhIYzRGX19ISDE5Zm5MT2pCM1BLblhKZ3hlbkd5dXNjMnoxWkphUDZKengya3R1WnYwT1A3VndCQXNvS25lYW01N1l1NjV3bENaQU3SAdQBQVVfeXFMUGNjMXYwVVJoV2ZxTGJRd1BiN2ZBSW4tdWpwWVFBWWhzY2dCcVRZUTFxSGRuOFpnNVVxc3M1QWJzOW56WV9vcmdUVTBMVTNscHZvTFlieVcyS1gwa0VRbVVQSmNTUGZhUkNSRmduMUVhRWxDN25zYmhrME9hQm9FSThtdmZUWXlNQzZ2QjJUM1BFbHR2ek1seTc5TERDRG12b2tNNG5zR1pmb3VFWGpiNmZDVG03c1BFZjZPeWVHeWNEQmdkZkdzSFlIRGJneXFoeVo2RTQ?oc=5,2025-12-11 08:41:03,Asianet Newsable,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQdkVvRThVZnhabVRyRjhZdHVlMEl1U0s5Wm12bkFqNXVDN05NV1Njcmh2bGstOEp3aXBxMVJ4WUR6R09aNEsycy0wV2k0aGs2WlFLR3VaMjFnWk91Yk5wQ0lOaXRsVmh5aENwUUtpbzRoVDVmSmhiZHplakZlV19wamdrajhIYzRGX19ISDE5Zm5MT2pCM1BLblhKZ3hlbkd5dXNjMnoxWkphUDZKengya3R1WnYwT1A3VndCQXNvS25lYW01N1l1NjV3bENaQU3SAdQBQVVfeXFMUGNjMXYwVVJoV2ZxTGJRd1BiN2ZBSW4tdWpwWVFBWWhzY2dCcVRZUTFxSGRuOFpnNVVxc3M1QWJzOW56WV9vcmdUVTBMVTNscHZvTFlieVcyS1gwa0VRbVVQSmNTUGZhUkNSRmduMUVhRWxDN25zYmhrME9hQm9FSThtdmZUWXlNQzZ2QjJUM1BFbHR2ek1seTc5TERDRG12b2tNNG5zR1pmb3VFWGpiNmZDVG03c1BFZjZPeWVHeWNEQmdkZkdzSFlIRGJneXFoeVo2RTQ?oc=5"" target=""_blank"">Andhra Pradesh, Telangana Weather LATEST Update: Cold Wave Hits Hyderabad and Other Districts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Asianet Newsable</font>",Disaster,en
