Title,Link,Date,Source,Summary,Term,LanguageQueried
PCC Chief: ప్రధాని మోడీ పదవి వ్యామోహ పిశాచి.. మహేశ్ కుమార్ గౌడ్ హాట్ కామెంట్స్ - Disha daily,https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ0VnUmxJbXloN0I1NXc1SVVPeGNsN2Q3QWlOQ0xLVC0zU1UxeFFyaW81MG5SQ3hpcDZ3T2hhX1dvZWNpa1loZTRuNzBCZlR3YS1xOHFpTmlsME5BZnhIcllNWnE4SWxwUXQ2Zm9icTFSXzdrdk5uU3VmdVk2X24yMnVQbjFKWkhwLTRaek5LbVh5UdIBlwFBVV95cUxOM2FkLTBzNGtnOW1CVWo2V3ZFRnplS3JWXzVEbnBSMTY2X3hiZmtqak9LNFp6VmhLQ1lhUFg1MTNnbW16Z3FrdzZ0T21pUG5UVEtmTE0zV0ViNXRZTnE4TWU4U1ptYXFDM1VMV3VabldXX2FLN0RKUkpvWUIzWHZLVmRWamQ0d2ZVdHhNRmNTaG5VTUppY0Fn?oc=5,2025-04-07 14:51:43,Disha daily,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxOQ0VnUmxJbXloN0I1NXc1SVVPeGNsN2Q3QWlOQ0xLVC0zU1UxeFFyaW81MG5SQ3hpcDZ3T2hhX1dvZWNpa1loZTRuNzBCZlR3YS1xOHFpTmlsME5BZnhIcllNWnE4SWxwUXQ2Zm9icTFSXzdrdk5uU3VmdVk2X24yMnVQbjFKWkhwLTRaek5LbVh5UdIBlwFBVV95cUxOM2FkLTBzNGtnOW1CVWo2V3ZFRnplS3JWXzVEbnBSMTY2X3hiZmtqak9LNFp6VmhLQ1lhUFg1MTNnbW16Z3FrdzZ0T21pUG5UVEtmTE0zV0ViNXRZTnE4TWU4U1ptYXFDM1VMV3VabldXX2FLN0RKUkpvWUIzWHZLVmRWamQ0d2ZVdHhNRmNTaG5VTUppY0Fn?oc=5"" target=""_blank"">PCC Chief: ప్రధాని మోడీ పదవి వ్యామోహ పిశాచి.. మహేశ్ కుమార్ గౌడ్ హాట్ కామెంట్స్</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Disha daily</font>",Heatwave,te
Respite from heat likely for Andhra Pradesh - The Hindu,https://news.google.com/rss/articles/CBMitAFBVV95cUxPNk1nSUdTSy1rczhtWkFiUHgyejZ2MkJLSG1NSl9CbDJBSWd0NWREcThCWGdvcWdpakFfWlpENXpsTnRmdlFiazhYOWhmZGFRcHU0ckdtM1pJWmNfYWRreDZIMWNUWkJTbWRMcTZmcnBvdk1TZXZhWHRjTmptNTBmUVFmUUw2TFNGbm9oc3VmcjhvN0M4WnBiV0UtSnFoZ0xXVzRtMDk2NHpIUmZzRWstbDM3QnrSAbsBQVVfeXFMT0dlOHFmcllfcU12TVRpWjBMQzNvZTJIaGU1cndXTEZtbEVTSVhDYmc0alB2NWNlbXZNX2xmZFdRNVdnX1NNNDhuZ0lQaUhuYXJEQk81cGtacHNNSm42TVlnWVdGX0czb0RJdWVnZExaeGcyejdCRUp4aVVlX0c1MUw2d0ZCT0IydEFDN0tqcDFvVnNjekQ2QjVjT0VXdE9wU1dqalUwbXV0RDduVHV5QldCNktUYzJHSHl1MA?oc=5,2025-04-07 21:59:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxPNk1nSUdTSy1rczhtWkFiUHgyejZ2MkJLSG1NSl9CbDJBSWd0NWREcThCWGdvcWdpakFfWlpENXpsTnRmdlFiazhYOWhmZGFRcHU0ckdtM1pJWmNfYWRreDZIMWNUWkJTbWRMcTZmcnBvdk1TZXZhWHRjTmptNTBmUVFmUUw2TFNGbm9oc3VmcjhvN0M4WnBiV0UtSnFoZ0xXVzRtMDk2NHpIUmZzRWstbDM3QnrSAbsBQVVfeXFMT0dlOHFmcllfcU12TVRpWjBMQzNvZTJIaGU1cndXTEZtbEVTSVhDYmc0alB2NWNlbXZNX2xmZFdRNVdnX1NNNDhuZ0lQaUhuYXJEQk81cGtacHNNSm42TVlnWVdGX0czb0RJdWVnZExaeGcyejdCRUp4aVVlX0c1MUw2d0ZCT0IydEFDN0tqcDFvVnNjekQ2QjVjT0VXdE9wU1dqalUwbXV0RDduVHV5QldCNktUYzJHSHl1MA?oc=5"" target=""_blank"">Respite from heat likely for Andhra Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Heatwave,en
"Severe heatwave scorches North India, yellow alert issued in Delhi for 2 days - MSN",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPd3FiSjRrek02MlNYXzdQSE9nZDZsenVRMXN6Mi1Vd1E3bFJOdjdkZm1WU05SOXhZbl9oZUtwN3RhYjk1VVRzMFFBVHdGdllYWWhLOWgyOEt1NlZDRDVXejhrbWJuUDdkV1l1akFYR3FRQkdfMEFtX0dETllkZVJ6eGZXREU0QkVMSVhZQmFENjdhUlFzeFFoYXRLWHBvWWw0Rk0xVHdwbG14ZUpIRlN3SllpWXd1QnhWLWVWZ0tvRmNVekk?oc=5,2025-04-08 08:11:08,MSN,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPd3FiSjRrek02MlNYXzdQSE9nZDZsenVRMXN6Mi1Vd1E3bFJOdjdkZm1WU05SOXhZbl9oZUtwN3RhYjk1VVRzMFFBVHdGdllYWWhLOWgyOEt1NlZDRDVXejhrbWJuUDdkV1l1akFYR3FRQkdfMEFtX0dETllkZVJ6eGZXREU0QkVMSVhZQmFENjdhUlFzeFFoYXRLWHBvWWw0Rk0xVHdwbG14ZUpIRlN3SllpWXd1QnhWLWVWZ0tvRmNVekk?oc=5"" target=""_blank"">Severe heatwave scorches North India, yellow alert issued in Delhi for 2 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"IMD Weather Update: Heatwave Alert In More Than 7 States, Rainfall In Tamil Nadu And Kerala; Check Full Forecast - news24online.com",https://news.google.com/rss/articles/CBMi4gFBVV95cUxPX1RvSjJDZ1U3QTNQamVELVFVbTUwNkhLbzZhTTVKX1VIa1NqTXlLRExXaVBfVWNQWWZCVnlxUVlNeUhSZVJPUlFKOWtfdUVaeDRNSkQwZm9qSHBVbXdtZ3Npb2hDM1BONmItTzZOSks1SGlHOF92Q002cnQxY25FcEdTcWtudFVEamdWR3R0cHF2LWVpRHM1cjdKZkR5MnlQNVduNWhtQjdxWVhzb3JVR0VYbTN6SWhzTDhrU0lwd1IyX2pKN0wwZDEwTTZFWExIZlRtd0syZm5MMDBYeTJLbDdn?oc=5,2025-04-08 09:41:25,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxPX1RvSjJDZ1U3QTNQamVELVFVbTUwNkhLbzZhTTVKX1VIa1NqTXlLRExXaVBfVWNQWWZCVnlxUVlNeUhSZVJPUlFKOWtfdUVaeDRNSkQwZm9qSHBVbXdtZ3Npb2hDM1BONmItTzZOSks1SGlHOF92Q002cnQxY25FcEdTcWtudFVEamdWR3R0cHF2LWVpRHM1cjdKZkR5MnlQNVduNWhtQjdxWVhzb3JVR0VYbTN6SWhzTDhrU0lwd1IyX2pKN0wwZDEwTTZFWExIZlRtd0syZm5MMDBYeTJLbDdn?oc=5"" target=""_blank"">IMD Weather Update: Heatwave Alert In More Than 7 States, Rainfall In Tamil Nadu And Kerala; Check Full Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"Gujarat Weather Forecast, April 7: Mercury hits 43°C in Ahmedabad; check updates for more cities - MSN",https://news.google.com/rss/articles/CBMi2gFBVV95cUxNMlF1UUZlRTZyck5GTFMxZ011d3g3RXpNbGt1endNY05IRFIwX2MydnNBREM2TU9mMmliYzZyaXJvUjktLXd4Z2h1M1VIbkpFall3ODhJLXU2cUtXSHR0cWdrckd6eWFieDZSY2pvbUFWdXFwUWI5eWNFNEg0b3loR0RXeVdFbkc1Z25TSmwxaEw0S3VFSVJrNUlCbWx4OEpNRTVkNGlMRlNxaUZ5UjR1RW1OUTZiSUNJRjJzRjJwLWxwQmNGOGh2RWRETUF2Xy14Wld2VDNsVDlZQQ?oc=5,2025-04-08 04:25:50,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNMlF1UUZlRTZyck5GTFMxZ011d3g3RXpNbGt1endNY05IRFIwX2MydnNBREM2TU9mMmliYzZyaXJvUjktLXd4Z2h1M1VIbkpFall3ODhJLXU2cUtXSHR0cWdrckd6eWFieDZSY2pvbUFWdXFwUWI5eWNFNEg0b3loR0RXeVdFbkc1Z25TSmwxaEw0S3VFSVJrNUlCbWx4OEpNRTVkNGlMRlNxaUZ5UjR1RW1OUTZiSUNJRjJzRjJwLWxwQmNGOGh2RWRETUF2Xy14Wld2VDNsVDlZQQ?oc=5"" target=""_blank"">Gujarat Weather Forecast, April 7: Mercury hits 43°C in Ahmedabad; check updates for more cities</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Delhi weather alert: IMD issues yellow alert, red alert for Gujarat as heat intensifies across states - The Hindu",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPNFB5YzB6ZUtXNXRrc2h0WGFlS2pMaGRiRU9FUTVzcktsRTFiRk5ZZ1lnd1g1X2pZMFd5X2lWaUZMdnU3Nks5a1RPNk1NR2tRbXl4TmpWWGNWVWNOUmhoV0hJcXVkUHE1RTh4cXdsekluaWdVR3pGX0pDa01uNDhRV3FHZzRveWh4ZVdoODNUTzZmb3NOWDdPbDM5Z3d4Vmh6TjlfWUlyUnEtZHpNYU9MRDE0VTRobk1hYVF0ZXFaY1JjdHNEclB3a0hDVXNaUDBNcU1WelNRRk1md2FIcGM4ZGVHaXBIOU3SAe4BQVVfeXFMT2NBNFpmMlBzM2NhN0dmUzZlQWJrRW1Ed3pxY1ladm9zZFdLakRJaUVlelQxX21kTmxWV3ZnMDNLQnZ1UW9qR0JyTkZVT3ZZUGFOR2VnVzMyNTE2SC12N1RZU21Vd0I2d3F1YkZBbldRSmFndzJyQ2o3SWhMWjVCcHZxWDB3bWc4bmxpWExhZ0tRVEc4TXNrNnZra2Z1MjRjTVJMOGNvU2Z1UWE4RTkwbmdCaWllbzRyR3ptVmNUVFpUVFZid2FQNUJ6UjBsRk83U0lwN3QxdnlYM0diOUZ6eXFOd2hVdDF5Y2FGbUVFZw?oc=5,2025-04-07 11:03:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPNFB5YzB6ZUtXNXRrc2h0WGFlS2pMaGRiRU9FUTVzcktsRTFiRk5ZZ1lnd1g1X2pZMFd5X2lWaUZMdnU3Nks5a1RPNk1NR2tRbXl4TmpWWGNWVWNOUmhoV0hJcXVkUHE1RTh4cXdsekluaWdVR3pGX0pDa01uNDhRV3FHZzRveWh4ZVdoODNUTzZmb3NOWDdPbDM5Z3d4Vmh6TjlfWUlyUnEtZHpNYU9MRDE0VTRobk1hYVF0ZXFaY1JjdHNEclB3a0hDVXNaUDBNcU1WelNRRk1md2FIcGM4ZGVHaXBIOU3SAe4BQVVfeXFMT2NBNFpmMlBzM2NhN0dmUzZlQWJrRW1Ed3pxY1ladm9zZFdLakRJaUVlelQxX21kTmxWV3ZnMDNLQnZ1UW9qR0JyTkZVT3ZZUGFOR2VnVzMyNTE2SC12N1RZU21Vd0I2d3F1YkZBbldRSmFndzJyQ2o3SWhMWjVCcHZxWDB3bWc4bmxpWExhZ0tRVEc4TXNrNnZra2Z1MjRjTVJMOGNvU2Z1UWE4RTkwbmdCaWllbzRyR3ptVmNUVFpUVFZid2FQNUJ6UjBsRk83U0lwN3QxdnlYM0diOUZ6eXFOd2hVdDF5Y2FGbUVFZw?oc=5"" target=""_blank"">Delhi weather alert: IMD issues yellow alert, red alert for Gujarat as heat intensifies across states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Heatwave,en
IMD issues ‘yellow alert’ for Delhi over next 3 days; heatwave stretches across north India | Weather updates - MSN,https://news.google.com/rss/articles/CBMi6AFBVV95cUxNYVlHemszaVVaRGZ4TUlsemZiVU00TmdBVTBScC1vV3hjOHhHZlFzQUJrd3BpNUdGYk1tbURNTVcxaWlLSTYzSzVnRW1iZlhMVC1URjQ3WUJNSU91NkwtVThUemF2SWFsVnlWNUVmNl9tYWI2WGtTcWJ0RDhQalk4c2lhZGpXaXdrR3BjcW1OWU80Y3RBN0VlMzIwcUQ0M0dGNWtoWk1hSnhFV0JNSnk0Y2w4ZlBLVHE2ZXE2NVg1YThabXpqNkRGeDgwX256T2hSc2I4ZlNYVWpCSVIxaDR1ZmVxay1rWlNB?oc=5,2025-04-07 15:09:58,MSN,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxNYVlHemszaVVaRGZ4TUlsemZiVU00TmdBVTBScC1vV3hjOHhHZlFzQUJrd3BpNUdGYk1tbURNTVcxaWlLSTYzSzVnRW1iZlhMVC1URjQ3WUJNSU91NkwtVThUemF2SWFsVnlWNUVmNl9tYWI2WGtTcWJ0RDhQalk4c2lhZGpXaXdrR3BjcW1OWU80Y3RBN0VlMzIwcUQ0M0dGNWtoWk1hSnhFV0JNSnk0Y2w4ZlBLVHE2ZXE2NVg1YThabXpqNkRGeDgwX256T2hSc2I4ZlNYVWpCSVIxaDR1ZmVxay1rWlNB?oc=5"" target=""_blank"">IMD issues ‘yellow alert’ for Delhi over next 3 days; heatwave stretches across north India | Weather updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Intense heatwave to grip North India with soaring temperatures | IMD issues warnings, shares health impacts - India TV News",https://news.google.com/rss/articles/CBMioAJBVV95cUxNUTZ0MUI1Y053TzhPS2xTVEhVeU5lbVljc2JUMGxyeDdPdkY4cF9VZnBEZWFpNWtnTDVld3ZSSXhTNlhjTExTdEhtUGNYandZaEtFRktYOFhUZE5KZmdseXhOWEthWFBOMXVES2ZIWjhOakJFcG51Rm9zaUJIa3JtR2ViSUNoQndYNFR3RDNCT1kxUHpQa25aSk5vRnV5SUtaaGYtZWJ0T0NwM1lhWHJ0NWlHRnpGR3V4Y0U5X2RsLUs4RWhpVmtPemVfUWIwZE9mWVlqd0hvdmVjMjVZMkZLdmJOX2wzT01yLTEtUWFvZjM2TG1WVnFreWFoaU9ubHN6Nm0tVmx2Z28zdXdiRHMwdWVVMm05YWxJSWRLVWRDeVjSAaYCQVVfeXFMTjh3R3hSZnMyR0J4ZEExaWdHQlQzbElzd3k3YTliWHBvSjJaNkNTeUNTamhhTnhPRUZnR2dwYXhmQW9aS3gyUnoxTEZrQzBQRFg5VklxekFTMVhieGZGaFMtaHpPTlpEUDBzelhuUElGOUNLb1g2OGlUdGN2ejBhWEszenZUdVB4OWVxVndPUGxUY2pxRDI4WVZLeVN4YTBNSXlTR2ZuLUJtcWhhbjZsOV9jRklmUGpIcGNFZzM2Y0hwM2thZjlNNXV5QWJrVno0MkU5eV9pVTJvZTFQc19zcUNVNkx0ZHJYcURVOWhrenBlUm11MWlwRk5VVHVUZXRobGFPRlAtVDdseHJYbVNWY0pyMnhHUjd6MWx5M1BJYkZMN3lTVVhn?oc=5,2025-04-07 15:10:04,India TV News,"<a href=""https://news.google.com/rss/articles/CBMioAJBVV95cUxNUTZ0MUI1Y053TzhPS2xTVEhVeU5lbVljc2JUMGxyeDdPdkY4cF9VZnBEZWFpNWtnTDVld3ZSSXhTNlhjTExTdEhtUGNYandZaEtFRktYOFhUZE5KZmdseXhOWEthWFBOMXVES2ZIWjhOakJFcG51Rm9zaUJIa3JtR2ViSUNoQndYNFR3RDNCT1kxUHpQa25aSk5vRnV5SUtaaGYtZWJ0T0NwM1lhWHJ0NWlHRnpGR3V4Y0U5X2RsLUs4RWhpVmtPemVfUWIwZE9mWVlqd0hvdmVjMjVZMkZLdmJOX2wzT01yLTEtUWFvZjM2TG1WVnFreWFoaU9ubHN6Nm0tVmx2Z28zdXdiRHMwdWVVMm05YWxJSWRLVWRDeVjSAaYCQVVfeXFMTjh3R3hSZnMyR0J4ZEExaWdHQlQzbElzd3k3YTliWHBvSjJaNkNTeUNTamhhTnhPRUZnR2dwYXhmQW9aS3gyUnoxTEZrQzBQRFg5VklxekFTMVhieGZGaFMtaHpPTlpEUDBzelhuUElGOUNLb1g2OGlUdGN2ejBhWEszenZUdVB4OWVxVndPUGxUY2pxRDI4WVZLeVN4YTBNSXlTR2ZuLUJtcWhhbjZsOV9jRklmUGpIcGNFZzM2Y0hwM2thZjlNNXV5QWJrVno0MkU5eV9pVTJvZTFQc19zcUNVNkx0ZHJYcURVOWhrenBlUm11MWlwRk5VVHVUZXRobGFPRlAtVDdseHJYbVNWY0pyMnhHUjd6MWx5M1BJYkZMN3lTVVhn?oc=5"" target=""_blank"">Intense heatwave to grip North India with soaring temperatures | IMD issues warnings, shares health impacts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Heatwave,en
We're Heading for an Even Hotter Summer This Year—Early Trends Paint Grim Image - The Quint,https://news.google.com/rss/articles/CBMijAFBVV95cUxPd05nUXd3TFRKdHh5VDhhU3FTalEzODhUVHdVMm8zUEtEVWM4Y0EtX3hpTmFxZ2czUlFDc3l2bmFWVGNnbDhsVVctZzN4b3BtT3dJbzVWdlY5MmQtVjdPUmtSY240TlBLdm5uX1RocEVRdkdwTVA2ekI0NzhreWxqZ3I1VHlXbFVEMlh6Q9IBmgFBVV95cUxOOFBEZlluVEEwOF85ZHhrYnRuYWtDN2dzcm5teEZ4NjVja2tSTEZDSVhOb0liSkpqSjRVbzNUQ2dXX19yS3ZEclBqckIwZ0ZJT08xajVGZk52OFVEdjVGR0lHVjdULWthZnl2bHdSX3ZLQnZvVG5pYUhzUklQSkRfSndUaTMtN3NOWDJqUDVLdUlQcWZyeEVyVkx3?oc=5,2025-04-07 16:54:13,The Quint,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPd05nUXd3TFRKdHh5VDhhU3FTalEzODhUVHdVMm8zUEtEVWM4Y0EtX3hpTmFxZ2czUlFDc3l2bmFWVGNnbDhsVVctZzN4b3BtT3dJbzVWdlY5MmQtVjdPUmtSY240TlBLdm5uX1RocEVRdkdwTVA2ekI0NzhreWxqZ3I1VHlXbFVEMlh6Q9IBmgFBVV95cUxOOFBEZlluVEEwOF85ZHhrYnRuYWtDN2dzcm5teEZ4NjVja2tSTEZDSVhOb0liSkpqSjRVbzNUQ2dXX19yS3ZEclBqckIwZ0ZJT08xajVGZk52OFVEdjVGR0lHVjdULWthZnl2bHdSX3ZLQnZvVG5pYUhzUklQSkRfSndUaTMtN3NOWDJqUDVLdUlQcWZyeEVyVkx3?oc=5"" target=""_blank"">We're Heading for an Even Hotter Summer This Year—Early Trends Paint Grim Image</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Quint</font>",Heatwave,en
Hyderabad Faces Water Shortage as Reservoir Levels Plummet - urbanacres.in,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNTkdtaUM0UG9NZzNpeUFrWFFVYmZadVpTYllJSU5CUnNDcFJIeV9wbE95U1VGbTlPd3VjRVVsSkFSNllzdDJRa1dqRmhfWVpGYktIMklnYUFiRXpXcVJTdEZKWm1ZNDFyNzZYS1lHWkFaZm1yYVhmWlg4SmlieUh1ZUdZVktrMWJk?oc=5,2025-04-08 08:06:05,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxNTkdtaUM0UG9NZzNpeUFrWFFVYmZadVpTYllJSU5CUnNDcFJIeV9wbE95U1VGbTlPd3VjRVVsSkFSNllzdDJRa1dqRmhfWVpGYktIMklnYUFiRXpXcVJTdEZKWm1ZNDFyNzZYS1lHWkFaZm1yYVhmWlg4SmlieUh1ZUdZVktrMWJk?oc=5"" target=""_blank"">Hyderabad Faces Water Shortage as Reservoir Levels Plummet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Heatwave,en
