Title,Link,Date,Source,Summary,Place
Tamil Nadu Chennai Rains LIVE Updates: Orange alert for very heavy rain issued in THESE Tamil Nadu districts | Today News - Mint,https://news.google.com/rss/articles/CBMihgJBVV95cUxQSWE0REVfZTg0alZDVWhwRnJ1cm1oUHB3RHRzNkpOcW1xTmdXTlhMUUJTRjR4eWpoSjJyRFpuUDVCX09lZEluQVh4ZUszdTNNWF9aMjByQkhVMW96R2lqVV8tV3RpMjMzWlI3QXpKWDE4X2pwc0JmanpBQ1VtM0lVT1NCU2JSMTYyZGFIVHZaTTIzYXBHWUZaS2dxRFB3clZPZ0NEZlBSTWRDSjBBbm4tYjNwODFfbFNqaGxQbklFM2NkbDhkNE5YTHRHRGxqaTd4LU1LMGpHLXVFQno2R0k4VGhTUnlGY0diZEhlbmVLT0Q5WDBRNWhFMndkR2NDMGpHeEpySG9B0gGLAkFVX3lxTE9CaW5sYlpOQ0VPY2VQbGZUYkJNbVBBVGU3WVZUcGpvdm9HQlRvMjZmemd1MnhFS1R3SXlTLXdkMUp5RWd4clBFSzB0d0ZoMWhaZDd2b1JvZXQxZ3A4YUtMMzdPUFRrYmhIODBaVFhCWnZjWTAteDRvNVhkUGd5QUNNSlc5dGRpb05zYmpUT2pxVWRpS1hWZFRMTnQ1Y1U4NVE5S2tXajFldnFCUURrS1ZPYkNHbERBLVRVeHFlSnJMd3ZtRGtDcG8wQVNCc0g0UVd1Nm9BVlBHOS1YS2UwYmNUc1RzLWJUdnpLWVlKVnp2N0lMRUFYQnNrNU9fdmhhVlBnZGRNOU1jSGtWOA?oc=5,2024-10-17 10:10:43,Mint,"<a href=""https://news.google.com/rss/articles/CBMihgJBVV95cUxQSWE0REVfZTg0alZDVWhwRnJ1cm1oUHB3RHRzNkpOcW1xTmdXTlhMUUJTRjR4eWpoSjJyRFpuUDVCX09lZEluQVh4ZUszdTNNWF9aMjByQkhVMW96R2lqVV8tV3RpMjMzWlI3QXpKWDE4X2pwc0JmanpBQ1VtM0lVT1NCU2JSMTYyZGFIVHZaTTIzYXBHWUZaS2dxRFB3clZPZ0NEZlBSTWRDSjBBbm4tYjNwODFfbFNqaGxQbklFM2NkbDhkNE5YTHRHRGxqaTd4LU1LMGpHLXVFQno2R0k4VGhTUnlGY0diZEhlbmVLT0Q5WDBRNWhFMndkR2NDMGpHeEpySG9B0gGLAkFVX3lxTE9CaW5sYlpOQ0VPY2VQbGZUYkJNbVBBVGU3WVZUcGpvdm9HQlRvMjZmemd1MnhFS1R3SXlTLXdkMUp5RWd4clBFSzB0d0ZoMWhaZDd2b1JvZXQxZ3A4YUtMMzdPUFRrYmhIODBaVFhCWnZjWTAteDRvNVhkUGd5QUNNSlc5dGRpb05zYmpUT2pxVWRpS1hWZFRMTnQ1Y1U4NVE5S2tXajFldnFCUURrS1ZPYkNHbERBLVRVeHFlSnJMd3ZtRGtDcG8wQVNCc0g0UVd1Nm9BVlBHOS1YS2UwYmNUc1RzLWJUdnpLWVlKVnp2N0lMRUFYQnNrNU9fdmhhVlBnZGRNOU1jSGtWOA?oc=5"" target=""_blank"">Tamil Nadu Chennai Rains LIVE Updates: Orange alert for very heavy rain issued in THESE Tamil Nadu districts | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
Hyderabad may see rains as dark clouds hover amid IMD forecast - The Siasat Daily,https://news.google.com/rss/articles/CBMimgFBVV95cUxOMkpyd2dIMS12ekRMRWk0SXlZaFpzZ2Z6a3dQczV4elVGd2hjWGJNV181Vy1fSHZBS2pQbzNGWTlUZWNrWlhyeWtTVlJTMVB1eHIwRDlNeTR4R19lNVQ1T1lNMFNIbUx3eUJPMzJ2YlZ2dDJkQUNzQWQ5VnNnc1BHOXJkUHhZWWQ1RmhjQ1NvX1lfOWx3bm9yQ1RB0gGfAUFVX3lxTE9ldmtQRUdiMEpYMlBLWDVnS2pkY01lRl9DX3ZaeDVRZWhvYlprRzFFQzFqYVExblo4QXNjX1NVMHRzWGJMaWlhcEw4bnlCWGV1QkhjR0ZWbHRXcEV6TFhPV2lxRXdwZkdpV2gyT2xLM3Vxd2VFWUZNbV9ieElTYnRGaWhPVDBmbGtzN2Y0eUZpdjZuY1NINldmSVdSbU9fdw?oc=5,2024-10-17 09:40:07,The Siasat Daily,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOMkpyd2dIMS12ekRMRWk0SXlZaFpzZ2Z6a3dQczV4elVGd2hjWGJNV181Vy1fSHZBS2pQbzNGWTlUZWNrWlhyeWtTVlJTMVB1eHIwRDlNeTR4R19lNVQ1T1lNMFNIbUx3eUJPMzJ2YlZ2dDJkQUNzQWQ5VnNnc1BHOXJkUHhZWWQ1RmhjQ1NvX1lfOWx3bm9yQ1RB0gGfAUFVX3lxTE9ldmtQRUdiMEpYMlBLWDVnS2pkY01lRl9DX3ZaeDVRZWhvYlprRzFFQzFqYVExblo4QXNjX1NVMHRzWGJMaWlhcEw4bnlCWGV1QkhjR0ZWbHRXcEV6TFhPV2lxRXdwZkdpV2gyT2xLM3Vxd2VFWUZNbV9ieElTYnRGaWhPVDBmbGtzN2Y0eUZpdjZuY1NINldmSVdSbU9fdw?oc=5"" target=""_blank"">Hyderabad may see rains as dark clouds hover amid IMD forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Siasat Daily</font>",
"Northeast monsoon turns active in Hyderabad, light rains expected over next two days - Telangana Today",https://news.google.com/rss/articles/CBMirwFBVV95cUxOTUtKZVRwTlo2RUlGTG9PelRhbGFVTklDQ3hPUFRLdTNQSWU4TkVMN2t3a0hXM1VoczJEdllmNTVJY0Y2Z09FWk1oRERNWXhsQ2M0VVRhanR2SVBwamlyT25YVGR6MnRFdUdxQzZiU2E0QjVDaXBMNFVXSnZnMEgzeFFBSkQtNm1qZFJCTHJjQ2V6OWR0QVpxTUNTUkJ4RlNzazlWUTczV0phd0dpZGdj?oc=5,2024-10-16 13:34:41,Telangana Today,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOTUtKZVRwTlo2RUlGTG9PelRhbGFVTklDQ3hPUFRLdTNQSWU4TkVMN2t3a0hXM1VoczJEdllmNTVJY0Y2Z09FWk1oRERNWXhsQ2M0VVRhanR2SVBwamlyT25YVGR6MnRFdUdxQzZiU2E0QjVDaXBMNFVXSnZnMEgzeFFBSkQtNm1qZFJCTHJjQ2V6OWR0QVpxTUNTUkJ4RlNzazlWUTczV0phd0dpZGdj?oc=5"" target=""_blank"">Northeast monsoon turns active in Hyderabad, light rains expected over next two days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telangana Today</font>",
Weather Alert - Meteorological Department Warning Record-Breaking Rain in these States next 2 Days - Times Bull,https://news.google.com/rss/articles/CBMizgFBVV95cUxPckVNdXpzT2VnTUs5ZUdjbm40VkVPU0Z2WVYyRHI0ZUc5VnFkeHBUdkZhTFJOWDlJRE1TemJnWHBLeFZORlFzeWFyRXNjcERkZnFTNFZXVXBZeGpKS0w4V29qSWpjNjNidkprN2RYLU1tLVJ5VXllMHVCb0d3RTFXMmZGTVNkUlN2anN1T2ozbDNWYUt4aUJ3OW52TEJDSVh5LVV1N3FwVlVWOW9UWkdnbXZWX25ONUlOQkpmS3Z0ZTlMZlFzSURnNWhUM3ZsZw?oc=5,2024-10-17 09:43:55,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPckVNdXpzT2VnTUs5ZUdjbm40VkVPU0Z2WVYyRHI0ZUc5VnFkeHBUdkZhTFJOWDlJRE1TemJnWHBLeFZORlFzeWFyRXNjcERkZnFTNFZXVXBZeGpKS0w4V29qSWpjNjNidkprN2RYLU1tLVJ5VXllMHVCb0d3RTFXMmZGTVNkUlN2anN1T2ozbDNWYUt4aUJ3OW52TEJDSVh5LVV1N3FwVlVWOW9UWkdnbXZWX25ONUlOQkpmS3Z0ZTlMZlFzSURnNWhUM3ZsZw?oc=5"" target=""_blank"">Weather Alert - Meteorological Department Warning Record-Breaking Rain in these States next 2 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",
Rain Alert in Hyderabad: Northeast Monsoon to Bring Light Showers Through Thursday - The Munsif Daily,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPTnBKNkEwRmNaM2t4ZTA4V1p4QjEzeWN2THU0bU9IaVlZUXZpZXRfRFJISnhEalZDSVE4YS1DNFVKZDAtM1BENjlnaG5tR3NrZWoyZTN3bHAtWlB5Mi14U2NzdjVHS1pfcDduelR1V1oxYUVJb05CRGxXUmZiVVUtMEQ2T3ExREhFU2REVVJiMVVOUE40TDdxOEkxdWZhZkhMN1REdFZuMXZqUQ?oc=5,2024-10-16 14:19:23,The Munsif Daily,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPTnBKNkEwRmNaM2t4ZTA4V1p4QjEzeWN2THU0bU9IaVlZUXZpZXRfRFJISnhEalZDSVE4YS1DNFVKZDAtM1BENjlnaG5tR3NrZWoyZTN3bHAtWlB5Mi14U2NzdjVHS1pfcDduelR1V1oxYUVJb05CRGxXUmZiVVUtMEQ2T3ExREhFU2REVVJiMVVOUE40TDdxOEkxdWZhZkhMN1REdFZuMXZqUQ?oc=5"" target=""_blank"">Rain Alert in Hyderabad: Northeast Monsoon to Bring Light Showers Through Thursday</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Munsif Daily</font>",
Good monsoon a precursor to demand revival - The Hans India,https://news.google.com/rss/articles/CBMimwFBVV95cUxPOENnU3ktSUExQ3lqbENaWVZWTDljNkN3RVpQQkQ0UlAwSXI4eWUxdVZZc3pXY2xRVUdUQUxTQnJqeFY3akJnMV9VNHNNeXV4OGVoTEpHMnZsWC1Xbkh3VHc3eV9xT0EyLUJHTmdJd2Z3X1o3YVI4UmlVcFh4dDYtRC1SNzl0dFpFUElSR0o3ZkFvd3p2amh4WnZMZw?oc=5,2024-10-17 06:28:27,The Hans India,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPOENnU3ktSUExQ3lqbENaWVZWTDljNkN3RVpQQkQ0UlAwSXI4eWUxdVZZc3pXY2xRVUdUQUxTQnJqeFY3akJnMV9VNHNNeXV4OGVoTEpHMnZsWC1Xbkh3VHc3eV9xT0EyLUJHTmdJd2Z3X1o3YVI4UmlVcFh4dDYtRC1SNzl0dFpFUElSR0o3ZkFvd3p2amh4WnZMZw?oc=5"" target=""_blank"">Good monsoon a precursor to demand revival</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hans India</font>",
Southwest monsoon withdraws from entire India - MSN,https://news.google.com/rss/articles/CBMi-AJBVV95cUxNYXp6ci15S2dxOHZGSDFHeU5aTVJmUU1aR2ZkTWdFNVIyTWl6dmZ1ejJqTzlDVzk3bVZrUTZxVkNQcUtPWEZfY1RSdE1lTUxpTXk5eFBJU3U0cDJ5WGhvdEthVVdmYnVXS0lHdUVHdnh0cFdDZVpqRTExbDI2SlBCcnBqMWZZYzNCNWI4WHhWWkRjNXRfVmhEWFl3YTZnT3kybHJyQS1xOXRVcHdUVVdNRWtySzd1UGlTaWhlaDA3eC1jZTFEZWowUUxTSWo3Y1liYWhuRmExc1Z5cTZRLWdlZ01qNzk1eUx5d0ozYTN2TDV4N1lRaHh4NGZRVGpwOGZ0ZTRhUnY0R3NkWl9abTN4dHhSaGRIdjJjVUtrQkZxS0oyeTc0TWVxcGlEZFplbHhOSS1rdXlkeDdSb1gtbFNHUmtuZmcwdDNHdV9SSFZBblp4UW5tYjBUNWlhb256SFpneUQtUTdfMi1OaGtGQmhRREx1SEdDTnRu?oc=5,2024-10-16 20:12:14,MSN,"<a href=""https://news.google.com/rss/articles/CBMi-AJBVV95cUxNYXp6ci15S2dxOHZGSDFHeU5aTVJmUU1aR2ZkTWdFNVIyTWl6dmZ1ejJqTzlDVzk3bVZrUTZxVkNQcUtPWEZfY1RSdE1lTUxpTXk5eFBJU3U0cDJ5WGhvdEthVVdmYnVXS0lHdUVHdnh0cFdDZVpqRTExbDI2SlBCcnBqMWZZYzNCNWI4WHhWWkRjNXRfVmhEWFl3YTZnT3kybHJyQS1xOXRVcHdUVVdNRWtySzd1UGlTaWhlaDA3eC1jZTFEZWowUUxTSWo3Y1liYWhuRmExc1Z5cTZRLWdlZ01qNzk1eUx5d0ozYTN2TDV4N1lRaHh4NGZRVGpwOGZ0ZTRhUnY0R3NkWl9abTN4dHhSaGRIdjJjVUtrQkZxS0oyeTc0TWVxcGlEZFplbHhOSS1rdXlkeDdSb1gtbFNHUmtuZmcwdDNHdV9SSFZBblp4UW5tYjBUNWlhb256SFpneUQtUTdfMi1OaGtGQmhRREx1SEdDTnRu?oc=5"" target=""_blank"">Southwest monsoon withdraws from entire India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Chennai’s claims on flood prevention need a closer look - The New Indian Express,https://news.google.com/rss/articles/CBMivAFBVV95cUxPME9HU3ZNNEVUNWJMbUc2WUFkOG1KRm84YV96T0RwdHZrcDd1ZDVZeWo2ZmlsOVpHQ1FKVnQ1NV9BaFp4UGVMeEJ1enR2ak9FT0toekppeW14ZXhjR2Y1aVp2VGtTSFNyLS16b2ZYYXN0Xy0yam1PZ0FhdTg2dVlQY0x4S2N4cUIweFhpeVREUFhVUEJpRnh4c25nVmdTc1ZJTGh5dnR2YkkzdFdTTXRQMEtwUGxBOC1pUDZ4WdIBvAFBVV95cUxPME9HU3ZNNEVUNWJMbUc2WUFkOG1KRm84YV96T0RwdHZrcDd1ZDVZeWo2ZmlsOVpHQ1FKVnQ1NV9BaFp4UGVMeEJ1enR2ak9FT0toekppeW14ZXhjR2Y1aVp2VGtTSFNyLS16b2ZYYXN0Xy0yam1PZ0FhdTg2dVlQY0x4S2N4cUIweFhpeVREUFhVUEJpRnh4c25nVmdTc1ZJTGh5dnR2YkkzdFdTTXRQMEtwUGxBOC1pUDZ4WQ?oc=5,2024-10-17 00:28:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPME9HU3ZNNEVUNWJMbUc2WUFkOG1KRm84YV96T0RwdHZrcDd1ZDVZeWo2ZmlsOVpHQ1FKVnQ1NV9BaFp4UGVMeEJ1enR2ak9FT0toekppeW14ZXhjR2Y1aVp2VGtTSFNyLS16b2ZYYXN0Xy0yam1PZ0FhdTg2dVlQY0x4S2N4cUIweFhpeVREUFhVUEJpRnh4c25nVmdTc1ZJTGh5dnR2YkkzdFdTTXRQMEtwUGxBOC1pUDZ4WdIBvAFBVV95cUxPME9HU3ZNNEVUNWJMbUc2WUFkOG1KRm84YV96T0RwdHZrcDd1ZDVZeWo2ZmlsOVpHQ1FKVnQ1NV9BaFp4UGVMeEJ1enR2ak9FT0toekppeW14ZXhjR2Y1aVp2VGtTSFNyLS16b2ZYYXN0Xy0yam1PZ0FhdTg2dVlQY0x4S2N4cUIweFhpeVREUFhVUEJpRnh4c25nVmdTc1ZJTGh5dnR2YkkzdFdTTXRQMEtwUGxBOC1pUDZ4WQ?oc=5"" target=""_blank"">Chennai’s claims on flood prevention need a closer look</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Monsoon woes in Andhra, Karnataka, Tamil Nadu as rains throw life off balance - South First",https://news.google.com/rss/articles/CBMikwFBVV95cUxPTXkxZEJESDhmVmJZV0xYZnVHbzY1aTY5R25GaTdRTDFpWl9EVk5WdDZ2NGE0TFdkRFQ1R2hyS1ZPSWtqVkhFMmhHYmZnMElzNnlZTktzNXg0RnQzOFJTS2p2Mk14NWNXX1lMZnk0c2tPeUlPRWljak5qdDJoWUZoQnJXMk13Y0VFR1lvWGsyQnZac2M?oc=5,2024-10-16 21:13:10,South First,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPTXkxZEJESDhmVmJZV0xYZnVHbzY1aTY5R25GaTdRTDFpWl9EVk5WdDZ2NGE0TFdkRFQ1R2hyS1ZPSWtqVkhFMmhHYmZnMElzNnlZTktzNXg0RnQzOFJTS2p2Mk14NWNXX1lMZnk0c2tPeUlPRWljak5qdDJoWUZoQnJXMk13Y0VFR1lvWGsyQnZac2M?oc=5"" target=""_blank"">Monsoon woes in Andhra, Karnataka, Tamil Nadu as rains throw life off balance</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South First</font>",
"Monsoon rains continue in Chennai, heavy rains in Tiruvallur - The New Indian Express",https://news.google.com/rss/articles/CBMizAFBVV95cUxOaTllNDk4b2QzSzFoaWdOUGQ2Ym1rQmNrM0FwQnJZb2FjWmxaT1hiRnNtQ2dmUm9sVFIwWDhJV0NEVzhFb0lteVdCZFZ3aWMxM2RXdnR2RUhlNnBGOU5TVGFfdUJmWVZCZkw5X0RwQ2lEQ2s2aWgtcW5OVXBOZUJvb0Fvb2xpbmZiNDRrMFY3M2xkOFVTN0RQZjA3aWEtU1JrSXpCbUxqMElic2tMLVhqVUFvZk13Nkk0SVhYTXlxTXMwTXRqWVhYS09RR0PSAcwBQVVfeXFMTmk5ZTQ5OG9kM0sxaGlnTlBkNmJta0JjazNBcEJyWW9hY1psWk9YYkZzbUNnZlJvbFRSMFg4SVdDRFc4RW9JbXlXQmRWd2ljMTNkV3Z0dkVIZTZwRjlOU1RhX3VCZllWQmZMOV9EcENpRENrNmloLXFuTlVwTmVCb29Bb29saW5mYjQ0azBWNzNsZDhVUzdEUGYwN2lhLVNSa0l6Qm1MajBJYnNrTC1YalVBb2ZNdzZJNElYWE15cU1zME10allYWEtPUUdD?oc=5,2024-10-16 12:58:00,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOaTllNDk4b2QzSzFoaWdOUGQ2Ym1rQmNrM0FwQnJZb2FjWmxaT1hiRnNtQ2dmUm9sVFIwWDhJV0NEVzhFb0lteVdCZFZ3aWMxM2RXdnR2RUhlNnBGOU5TVGFfdUJmWVZCZkw5X0RwQ2lEQ2s2aWgtcW5OVXBOZUJvb0Fvb2xpbmZiNDRrMFY3M2xkOFVTN0RQZjA3aWEtU1JrSXpCbUxqMElic2tMLVhqVUFvZk13Nkk0SVhYTXlxTXMwTXRqWVhYS09RR0PSAcwBQVVfeXFMTmk5ZTQ5OG9kM0sxaGlnTlBkNmJta0JjazNBcEJyWW9hY1psWk9YYkZzbUNnZlJvbFRSMFg4SVdDRFc4RW9JbXlXQmRWd2ljMTNkV3Z0dkVIZTZwRjlOU1RhX3VCZllWQmZMOV9EcENpRENrNmloLXFuTlVwTmVCb29Bb29saW5mYjQ0azBWNzNsZDhVUzdEUGYwN2lhLVNSa0l6Qm1MajBJYnNrTC1YalVBb2ZNdzZJNElYWE15cU1zME10allYWEtPUUdD?oc=5"" target=""_blank"">Monsoon rains continue in Chennai, heavy rains in Tiruvallur</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
