Title,Link,Date,Source,Summary,Term,LanguageQueried
Rs 288.93 Cr additional central assistance approved for Tripura as flood relief - Tripuratimes,https://news.google.com/rss/articles/CBMivwFBVV95cUxOT3RVMVBkYlU0RC1VN1ozcVZudi1ERS1MdkR0Ui1TVFQzTm83NWFIb04xX3M3VXg5UDlTdVAzVmdSVE9nTU1Zc2NmMlVFNF9ra1RnX2xJZ0NsdklveDVUelBsaFJxUTQ5QUt2MDRGNmktUm9OYjBqWHYyRjJad0l5UDRmR1pZb2huRVNrUHBMaFZtajRMdy1raWpORWJYVFFfMzBPV2JHc2dlLW9UcDk0Q3RUQ214Ymh3R2ZXTWhIVQ?oc=5,2025-02-19 13:32:36,Tripuratimes,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOT3RVMVBkYlU0RC1VN1ozcVZudi1ERS1MdkR0Ui1TVFQzTm83NWFIb04xX3M3VXg5UDlTdVAzVmdSVE9nTU1Zc2NmMlVFNF9ra1RnX2xJZ0NsdklveDVUelBsaFJxUTQ5QUt2MDRGNmktUm9OYjBqWHYyRjJad0l5UDRmR1pZb2huRVNrUHBMaFZtajRMdy1raWpORWJYVFFfMzBPV2JHc2dlLW9UcDk0Q3RUQ214Ymh3R2ZXTWhIVQ?oc=5"" target=""_blank"">Rs 288.93 Cr additional central assistance approved for Tripura as flood relief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tripuratimes</font>",Disaster,en
"Andhra Pradesh, Nagaland, Odisha, Telangana and Tripura to get funds for floods/ flash flood, landslides, cyclonic storm that occurred during 2024 - IBG NEWS",https://news.google.com/rss/articles/CBMiggJBVV95cUxNT0pGcFpwV2N0WXZZZ01qaDNfMXM2ZldlcmViRUVJRk5lWVV3Qzdta0VMMkhxOWpZM0MxcC1HR3FyZmI2STY3VVVGM1lmb0UxVUllXzBwLXpXd2N1LWM0d1JhOExhc3k0ZkRESm55S2hvbExYSnBPVkRDQkkzSDBBNFdZN2trRVg1VTNIWVNRRDdNbExXZlhuTEFQYkVmQ0dOdWhudWlZc2hlU2t3T1Z0dGY1ZTc2M25mVHlCWUptWFJCVFNaaHp4VUpMQ3ZFTlpSWXdZLU5nOTJGd0VMRk1jdFhpakNLZWVSdG1sUUltc1RnQWZuV0paeVUwVUkzQzhSZkE?oc=5,2025-02-19 15:51:51,IBG NEWS,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxNT0pGcFpwV2N0WXZZZ01qaDNfMXM2ZldlcmViRUVJRk5lWVV3Qzdta0VMMkhxOWpZM0MxcC1HR3FyZmI2STY3VVVGM1lmb0UxVUllXzBwLXpXd2N1LWM0d1JhOExhc3k0ZkRESm55S2hvbExYSnBPVkRDQkkzSDBBNFdZN2trRVg1VTNIWVNRRDdNbExXZlhuTEFQYkVmQ0dOdWhudWlZc2hlU2t3T1Z0dGY1ZTc2M25mVHlCWUptWFJCVFNaaHp4VUpMQ3ZFTlpSWXdZLU5nOTJGd0VMRk1jdFhpakNLZWVSdG1sUUltc1RnQWZuV0paeVUwVUkzQzhSZkE?oc=5"" target=""_blank"">Andhra Pradesh, Nagaland, Odisha, Telangana and Tripura to get funds for floods/ flash flood, landslides, cyclonic storm that occurred during 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBG NEWS</font>",Disaster,en
"Centre sanctions ₹459 Cr in additional NDRF aid to Tripura, Nagaland - The Assam Tribune",https://news.google.com/rss/articles/CBMisAFBVV95cUxPNl81YUtRQ0Y4Y2J5WHJPcWpHbVRQQkk0SEtZcXZoMkljbXh3S3ZQOXoyZVJzODgza1Q5M19yY3hLVlNrSWFhU2kzWE1XaXhVMnpxWi1lZkd3WWVnaWFVYWN2dHVRUjVwRkVCT2J2REphV01ubkFobHNkZldXRUlpalZfaUhHc2prczhRU2pnNFh1czZ3VWpqMm8wM2I1QUJEMkVMSGpqN19YNmRqZF80b9IBtgFBVV95cUxNMDdRV0hWU3NrX0E2RjNlWTRHVTRiMFQ5ZTdtT2tTUHpybE5PSjZxVjU5cjlKWXd1RVAtdVljNGJSc1RzVmZ5QS1mMDVETU1fMW5EbGRTNlVISjliMUw1bEdLYV8xZG5qQmFjaXhyRWtsMEp3dVRyaUlaX29qT2hEMEdzMEZlaXRLaHo1M2NYVU5EaWw4eWxsejE3UkhnYkZMeldYVEY3VnNHN1Bfcm9FNUJiMk1Zdw?oc=5,2025-02-19 15:42:41,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPNl81YUtRQ0Y4Y2J5WHJPcWpHbVRQQkk0SEtZcXZoMkljbXh3S3ZQOXoyZVJzODgza1Q5M19yY3hLVlNrSWFhU2kzWE1XaXhVMnpxWi1lZkd3WWVnaWFVYWN2dHVRUjVwRkVCT2J2REphV01ubkFobHNkZldXRUlpalZfaUhHc2prczhRU2pnNFh1czZ3VWpqMm8wM2I1QUJEMkVMSGpqN19YNmRqZF80b9IBtgFBVV95cUxNMDdRV0hWU3NrX0E2RjNlWTRHVTRiMFQ5ZTdtT2tTUHpybE5PSjZxVjU5cjlKWXd1RVAtdVljNGJSc1RzVmZ5QS1mMDVETU1fMW5EbGRTNlVISjliMUw1bEdLYV8xZG5qQmFjaXhyRWtsMEp3dVRyaUlaX29qT2hEMEdzMEZlaXRLaHo1M2NYVU5EaWw4eWxsejE3UkhnYkZMeldYVEY3VnNHN1Bfcm9FNUJiMk1Zdw?oc=5"" target=""_blank"">Centre sanctions ₹459 Cr in additional NDRF aid to Tripura, Nagaland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
Central govt approves Rs 1554 cr of additional assistance to 5 states - United News of India,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTlVEM3VFTDRCZC12REpjR2U0QzdaRHRYa25sQjZ6NzBtRTBFaFV0LUltZGNiRkxNTkNEaHZrdXBaTVdybUtlblo5N2lpTnAwSW96Zk5Sc3JjVmtNNV9LMG1kb05QRTA1TjdYUG9hb0t2TlJMbkFJUnQwa3NjSUVfNmNjVGFkaHg1RXlFMGFOUlZ1cUpvMGU1ejE3R3VPWVJTNkVHaldYOHZJZVktYzdURG02eEo1X2lv?oc=5,2025-02-19 12:53:00,United News of India,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTlVEM3VFTDRCZC12REpjR2U0QzdaRHRYa25sQjZ6NzBtRTBFaFV0LUltZGNiRkxNTkNEaHZrdXBaTVdybUtlblo5N2lpTnAwSW96Zk5Sc3JjVmtNNV9LMG1kb05QRTA1TjdYUG9hb0t2TlJMbkFJUnQwa3NjSUVfNmNjVGFkaHg1RXlFMGFOUlZ1cUpvMGU1ejE3R3VPWVJTNkVHaldYOHZJZVktYzdURG02eEo1X2lv?oc=5"" target=""_blank"">Central govt approves Rs 1554 cr of additional assistance to 5 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font>",Disaster,en
"Chandrababu Thanks PM Modi, HM Shah For Rs 608 Crore Flood Relief To Andhra - Ommcom News",https://news.google.com/rss/articles/CBMirgFBVV95cUxOSVcxUWdVMll1eFJRaWdpdGdBaVJFZDR5QXEwaFgyRURlYU16Vl9lSjhtdUVub0ZxNUo3ZHdRbnkxTjEzbUxsNVNwVkdaS3YwSDIyYWVVTHVJTTgwQ3BDYmZnaFVPREhOT2FqSk1oX29yczZ5c1doSW5Eb3p6WDFvbUdkZW5GbHBFc2N6c0N4Z3UtakpHY1hlSWQ2SU9OWnpoSTluY0IzRDJlN3g3SlE?oc=5,2025-02-19 19:48:51,Ommcom News,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOSVcxUWdVMll1eFJRaWdpdGdBaVJFZDR5QXEwaFgyRURlYU16Vl9lSjhtdUVub0ZxNUo3ZHdRbnkxTjEzbUxsNVNwVkdaS3YwSDIyYWVVTHVJTTgwQ3BDYmZnaFVPREhOT2FqSk1oX29yczZ5c1doSW5Eb3p6WDFvbUdkZW5GbHBFc2N6c0N4Z3UtakpHY1hlSWQ2SU9OWnpoSTluY0IzRDJlN3g3SlE?oc=5"" target=""_blank"">Chandrababu Thanks PM Modi, HM Shah For Rs 608 Crore Flood Relief To Andhra</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ommcom News</font>",Disaster,en
Rs 288.93 Cr additional central assistance approved for Tripura as flood relief - Tripuratimes,https://news.google.com/rss/articles/CBMivwFBVV95cUxOT3RVMVBkYlU0RC1VN1ozcVZudi1ERS1MdkR0Ui1TVFQzTm83NWFIb04xX3M3VXg5UDlTdVAzVmdSVE9nTU1Zc2NmMlVFNF9ra1RnX2xJZ0NsdklveDVUelBsaFJxUTQ5QUt2MDRGNmktUm9OYjBqWHYyRjJad0l5UDRmR1pZb2huRVNrUHBMaFZtajRMdy1raWpORWJYVFFfMzBPV2JHc2dlLW9UcDk0Q3RUQ214Ymh3R2ZXTWhIVQ?oc=5,2025-02-19 13:32:36,Tripuratimes,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOT3RVMVBkYlU0RC1VN1ozcVZudi1ERS1MdkR0Ui1TVFQzTm83NWFIb04xX3M3VXg5UDlTdVAzVmdSVE9nTU1Zc2NmMlVFNF9ra1RnX2xJZ0NsdklveDVUelBsaFJxUTQ5QUt2MDRGNmktUm9OYjBqWHYyRjJad0l5UDRmR1pZb2huRVNrUHBMaFZtajRMdy1raWpORWJYVFFfMzBPV2JHc2dlLW9UcDk0Q3RUQ214Ymh3R2ZXTWhIVQ?oc=5"" target=""_blank"">Rs 288.93 Cr additional central assistance approved for Tripura as flood relief</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tripuratimes</font>",Disaster,en
"Andhra Pradesh, Nagaland, Odisha, Telangana and Tripura to get funds for floods/ flash flood, landslides, cyclonic storm that occurred during 2024 - IBG NEWS",https://news.google.com/rss/articles/CBMiggJBVV95cUxNT0pGcFpwV2N0WXZZZ01qaDNfMXM2ZldlcmViRUVJRk5lWVV3Qzdta0VMMkhxOWpZM0MxcC1HR3FyZmI2STY3VVVGM1lmb0UxVUllXzBwLXpXd2N1LWM0d1JhOExhc3k0ZkRESm55S2hvbExYSnBPVkRDQkkzSDBBNFdZN2trRVg1VTNIWVNRRDdNbExXZlhuTEFQYkVmQ0dOdWhudWlZc2hlU2t3T1Z0dGY1ZTc2M25mVHlCWUptWFJCVFNaaHp4VUpMQ3ZFTlpSWXdZLU5nOTJGd0VMRk1jdFhpakNLZWVSdG1sUUltc1RnQWZuV0paeVUwVUkzQzhSZkE?oc=5,2025-02-19 15:51:51,IBG NEWS,"<a href=""https://news.google.com/rss/articles/CBMiggJBVV95cUxNT0pGcFpwV2N0WXZZZ01qaDNfMXM2ZldlcmViRUVJRk5lWVV3Qzdta0VMMkhxOWpZM0MxcC1HR3FyZmI2STY3VVVGM1lmb0UxVUllXzBwLXpXd2N1LWM0d1JhOExhc3k0ZkRESm55S2hvbExYSnBPVkRDQkkzSDBBNFdZN2trRVg1VTNIWVNRRDdNbExXZlhuTEFQYkVmQ0dOdWhudWlZc2hlU2t3T1Z0dGY1ZTc2M25mVHlCWUptWFJCVFNaaHp4VUpMQ3ZFTlpSWXdZLU5nOTJGd0VMRk1jdFhpakNLZWVSdG1sUUltc1RnQWZuV0paeVUwVUkzQzhSZkE?oc=5"" target=""_blank"">Andhra Pradesh, Nagaland, Odisha, Telangana and Tripura to get funds for floods/ flash flood, landslides, cyclonic storm that occurred during 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBG NEWS</font>",Disaster,en
"Centre sanctions ₹459 Cr in additional NDRF aid to Tripura, Nagaland - The Assam Tribune",https://news.google.com/rss/articles/CBMisAFBVV95cUxPNl81YUtRQ0Y4Y2J5WHJPcWpHbVRQQkk0SEtZcXZoMkljbXh3S3ZQOXoyZVJzODgza1Q5M19yY3hLVlNrSWFhU2kzWE1XaXhVMnpxWi1lZkd3WWVnaWFVYWN2dHVRUjVwRkVCT2J2REphV01ubkFobHNkZldXRUlpalZfaUhHc2prczhRU2pnNFh1czZ3VWpqMm8wM2I1QUJEMkVMSGpqN19YNmRqZF80b9IBtgFBVV95cUxNMDdRV0hWU3NrX0E2RjNlWTRHVTRiMFQ5ZTdtT2tTUHpybE5PSjZxVjU5cjlKWXd1RVAtdVljNGJSc1RzVmZ5QS1mMDVETU1fMW5EbGRTNlVISjliMUw1bEdLYV8xZG5qQmFjaXhyRWtsMEp3dVRyaUlaX29qT2hEMEdzMEZlaXRLaHo1M2NYVU5EaWw4eWxsejE3UkhnYkZMeldYVEY3VnNHN1Bfcm9FNUJiMk1Zdw?oc=5,2025-02-19 15:42:41,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPNl81YUtRQ0Y4Y2J5WHJPcWpHbVRQQkk0SEtZcXZoMkljbXh3S3ZQOXoyZVJzODgza1Q5M19yY3hLVlNrSWFhU2kzWE1XaXhVMnpxWi1lZkd3WWVnaWFVYWN2dHVRUjVwRkVCT2J2REphV01ubkFobHNkZldXRUlpalZfaUhHc2prczhRU2pnNFh1czZ3VWpqMm8wM2I1QUJEMkVMSGpqN19YNmRqZF80b9IBtgFBVV95cUxNMDdRV0hWU3NrX0E2RjNlWTRHVTRiMFQ5ZTdtT2tTUHpybE5PSjZxVjU5cjlKWXd1RVAtdVljNGJSc1RzVmZ5QS1mMDVETU1fMW5EbGRTNlVISjliMUw1bEdLYV8xZG5qQmFjaXhyRWtsMEp3dVRyaUlaX29qT2hEMEdzMEZlaXRLaHo1M2NYVU5EaWw4eWxsejE3UkhnYkZMeldYVEY3VnNHN1Bfcm9FNUJiMk1Zdw?oc=5"" target=""_blank"">Centre sanctions ₹459 Cr in additional NDRF aid to Tripura, Nagaland</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
Central govt approves Rs 1554 cr of additional assistance to 5 states - United News of India,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTlVEM3VFTDRCZC12REpjR2U0QzdaRHRYa25sQjZ6NzBtRTBFaFV0LUltZGNiRkxNTkNEaHZrdXBaTVdybUtlblo5N2lpTnAwSW96Zk5Sc3JjVmtNNV9LMG1kb05QRTA1TjdYUG9hb0t2TlJMbkFJUnQwa3NjSUVfNmNjVGFkaHg1RXlFMGFOUlZ1cUpvMGU1ejE3R3VPWVJTNkVHaldYOHZJZVktYzdURG02eEo1X2lv?oc=5,2025-02-19 12:53:00,United News of India,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTlVEM3VFTDRCZC12REpjR2U0QzdaRHRYa25sQjZ6NzBtRTBFaFV0LUltZGNiRkxNTkNEaHZrdXBaTVdybUtlblo5N2lpTnAwSW96Zk5Sc3JjVmtNNV9LMG1kb05QRTA1TjdYUG9hb0t2TlJMbkFJUnQwa3NjSUVfNmNjVGFkaHg1RXlFMGFOUlZ1cUpvMGU1ejE3R3VPWVJTNkVHaldYOHZJZVktYzdURG02eEo1X2lv?oc=5"" target=""_blank"">Central govt approves Rs 1554 cr of additional assistance to 5 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">United News of India</font>",Disaster,en
"Chandrababu Thanks PM Modi, HM Shah For Rs 608 Crore Flood Relief To Andhra - Ommcom News",https://news.google.com/rss/articles/CBMirgFBVV95cUxOSVcxUWdVMll1eFJRaWdpdGdBaVJFZDR5QXEwaFgyRURlYU16Vl9lSjhtdUVub0ZxNUo3ZHdRbnkxTjEzbUxsNVNwVkdaS3YwSDIyYWVVTHVJTTgwQ3BDYmZnaFVPREhOT2FqSk1oX29yczZ5c1doSW5Eb3p6WDFvbUdkZW5GbHBFc2N6c0N4Z3UtakpHY1hlSWQ2SU9OWnpoSTluY0IzRDJlN3g3SlE?oc=5,2025-02-19 19:48:51,Ommcom News,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxOSVcxUWdVMll1eFJRaWdpdGdBaVJFZDR5QXEwaFgyRURlYU16Vl9lSjhtdUVub0ZxNUo3ZHdRbnkxTjEzbUxsNVNwVkdaS3YwSDIyYWVVTHVJTTgwQ3BDYmZnaFVPREhOT2FqSk1oX29yczZ5c1doSW5Eb3p6WDFvbUdkZW5GbHBFc2N6c0N4Z3UtakpHY1hlSWQ2SU9OWnpoSTluY0IzRDJlN3g3SlE?oc=5"" target=""_blank"">Chandrababu Thanks PM Modi, HM Shah For Rs 608 Crore Flood Relief To Andhra</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ommcom News</font>",Disaster,en
