Title,Link,Date,Source,Summary,Term,LanguageQueried
"5 killed in landslides as heavy rains batters Assam, multiple agencies deployed in relief work - The Indian Express",https://news.google.com/rss/articles/CBMirwFBVV95cUxOMXJ5aGV4UmFMWFN3cUwyLWtaT3h5Yzh2U0ZPZXVoN3VVZGdSZ2kzY2k3Z2ljVmZPT3lTWFJPRzRTM2h1YVJhckhBd09UTTFkT09qSHhQcWpZaGdPaUFLSUsxdU50MklFWTI0WlZkQ05WTDRTRnRjcmt3TDVCYzZvOS16ZFJaV1JvSG5jOXNWZGFCU3JYRVp0c280NWU0T1lraEJwUDJ0T1J0TFphU1Zr0gG2AUFVX3lxTE5zSmFyOEZTN3pDZDI0RlY4WTNkbGhFODFyUlJzNE1FbVh1N1RoYk8zcDlQSkcydUx0OGVsVGVwZU1RbjBrNmhBWmNOQ181QkwtY3lYRjlXcDBKa0ZzUmFpZFpPMkxCeWFyNkk2VzlUVWNQYTNBQk0zVlp2TVZnTU96NWJuUmJzb1E2ajRZUm41ZlJxSE5LWEpRcm45VUtBTFo4bzhkMmgzcVhmTTBSSDlGclh4NUxn?oc=5,2025-05-31 19:19:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOMXJ5aGV4UmFMWFN3cUwyLWtaT3h5Yzh2U0ZPZXVoN3VVZGdSZ2kzY2k3Z2ljVmZPT3lTWFJPRzRTM2h1YVJhckhBd09UTTFkT09qSHhQcWpZaGdPaUFLSUsxdU50MklFWTI0WlZkQ05WTDRTRnRjcmt3TDVCYzZvOS16ZFJaV1JvSG5jOXNWZGFCU3JYRVp0c280NWU0T1lraEJwUDJ0T1J0TFphU1Zr0gG2AUFVX3lxTE5zSmFyOEZTN3pDZDI0RlY4WTNkbGhFODFyUlJzNE1FbVh1N1RoYk8zcDlQSkcydUx0OGVsVGVwZU1RbjBrNmhBWmNOQ181QkwtY3lYRjlXcDBKa0ZzUmFpZFpPMkxCeWFyNkk2VzlUVWNQYTNBQk0zVlp2TVZnTU96NWJuUmJzb1E2ajRZUm41ZlJxSE5LWEpRcm45VUtBTFo4bzhkMmgzcVhmTTBSSDlGclh4NUxn?oc=5"" target=""_blank"">5 killed in landslides as heavy rains batters Assam, multiple agencies deployed in relief work</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
Rains LIVE: 10 die in northeast due to landslides and floods - The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5,2025-05-31 16:11:15,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5"" target=""_blank"">Rains LIVE: 10 die in northeast due to landslides and floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
"Tripura weather forecast: IMD Predicts More Rainfall in State; Urban Flooding, Landslides, and Crop Damage Feared - ENewsTime",https://news.google.com/rss/articles/CBMid0FVX3lxTE8wNUUyWjZpX0hHVnpmdnA2dkVtT3pNb0VxbURSRUxXemhwZW5EQzhQYW9kYkRhNTJ6cTNkVDhLOUNxMklzSEZTRERsaXc4SF9rc3RhczJXQi04a2puaEh2d1c1OXBQX3Q2OFk0S09DU2ZKOWJtakUw?oc=5,2025-06-01 01:56:09,ENewsTime,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE8wNUUyWjZpX0hHVnpmdnA2dkVtT3pNb0VxbURSRUxXemhwZW5EQzhQYW9kYkRhNTJ6cTNkVDhLOUNxMklzSEZTRERsaXc4SF9rc3RhczJXQi04a2puaEh2d1c1OXBQX3Q2OFk0S09DU2ZKOWJtakUw?oc=5"" target=""_blank"">Tripura weather forecast: IMD Predicts More Rainfall in State; Urban Flooding, Landslides, and Crop Damage Feared</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ENewsTime</font>",Disaster,en
"Rain wreaks havoc in Northeast: 13 dead across Arunachal, Mizoram & Tripura - The Assam Tribune",https://news.google.com/rss/articles/CBMitgFBVV95cUxQYktZazY2M2J3eWdDOFI2NmpqWEs0eThuX2hyLVdxQXYzaGpKZHEzaG9PZFFtS3VxWVlTeXhBbFF1ZXIxSFJodENfLVNqRHlpU0toZERkcnI4MVZ5TWpPeWpTeDdFMVBYSzE3LURjQ0N6Z0FGUU01aHQ0UExqVFVITzExWElGYXF5VGVfZlRoV09XX1dQTzdSTWdFektseFMzbEJxUW5zd044eTRPdEs5YjhPLWNnZ9IBuwFBVV95cUxPYjRuUmtIVmZLWThDN0JaZmhhMUxGX2IySGxCRmRZMFYzZ2YzRlpkREdSaGVFb2J4VklhT0lLX3hZOWxlQ0FlcWRsVU9xTkVFUllKUnB2eUlDMXVzNHRHRm9zbVVnZ0xsUktPNFNoSU83ODc0XzJGMi1LMVRHVjRoWnh5Vm8zdFEydUhvbElQc3JZdWROUElDS1FKWnZUVHQtczZTZlF2TUJZZVEwZ09vWTNCQkJJWllMbVI4?oc=5,2025-05-31 12:52:35,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQYktZazY2M2J3eWdDOFI2NmpqWEs0eThuX2hyLVdxQXYzaGpKZHEzaG9PZFFtS3VxWVlTeXhBbFF1ZXIxSFJodENfLVNqRHlpU0toZERkcnI4MVZ5TWpPeWpTeDdFMVBYSzE3LURjQ0N6Z0FGUU01aHQ0UExqVFVITzExWElGYXF5VGVfZlRoV09XX1dQTzdSTWdFektseFMzbEJxUW5zd044eTRPdEs5YjhPLWNnZ9IBuwFBVV95cUxPYjRuUmtIVmZLWThDN0JaZmhhMUxGX2IySGxCRmRZMFYzZ2YzRlpkREdSaGVFb2J4VklhT0lLX3hZOWxlQ0FlcWRsVU9xTkVFUllKUnB2eUlDMXVzNHRHRm9zbVVnZ0xsUktPNFNoSU83ODc0XzJGMi1LMVRHVjRoWnh5Vm8zdFEydUhvbElQc3JZdWROUElDS1FKWnZUVHQtczZTZlF2TUJZZVEwZ09vWTNCQkJJWllMbVI4?oc=5"" target=""_blank"">Rain wreaks havoc in Northeast: 13 dead across Arunachal, Mizoram & Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
India's monsoon floods kill at least 22 people in the country's northeast - The Edwardsville Intelligencer,https://news.google.com/rss/articles/CBMitAFBVV95cUxON1pxM2VGTGo3MDFRdFZPUF9Hb3daZ09Pc1hqVndIS1hwSzl2ek9FQnZLYVU0bFYzSkZHYWtSSzFndTl6TlVWbS1ZZklKZkJtdDVqMkxRZmVYZktJaDR3YXdqenFNVFJPWERocmZMYWJ2MFNKQzZxRk96eERTUXN0LUdraGE0SnE5Z0RJbVFtVGVoejFwbVh5S3lOc3R1WEZhZjVQR0k2dmcyd01KRk9OelZuNUQ?oc=5,2025-05-31 19:32:09,The Edwardsville Intelligencer,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxON1pxM2VGTGo3MDFRdFZPUF9Hb3daZ09Pc1hqVndIS1hwSzl2ek9FQnZLYVU0bFYzSkZHYWtSSzFndTl6TlVWbS1ZZklKZkJtdDVqMkxRZmVYZktJaDR3YXdqenFNVFJPWERocmZMYWJ2MFNKQzZxRk96eERTUXN0LUdraGE0SnE5Z0RJbVFtVGVoejFwbVh5S3lOc3R1WEZhZjVQR0k2dmcyd01KRk9OelZuNUQ?oc=5"" target=""_blank"">India's monsoon floods kill at least 22 people in the country's northeast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Edwardsville Intelligencer</font>",Disaster,en
"Lightning kills elephant calf, boy drowns; over 600 homes damaged in Tripura storms - nenow.in",https://news.google.com/rss/articles/CBMixwFBVV95cUxNbnp5bXhpZGJFNzRBb1F6Tjl2VUxfSHpjZHRsQ1NPNlNQbzdVZmFYQko0b0kyTDNqUWRFRXNIcmpsb0hDSFBPMVo3UFVCWl9sV291ZU1lZk9tbEhHOURGR1hhNG1rcjVsbDFEbXZOZHhkdWVBbHozM0ZUVWsxZXJKN1pvWVlVN2xFdmNibHNnMnBCRVU4amVwdzJxNlFkUDlBSTFhamVZRFBvd0tMa21GbU5tTi10UlJqTjU0clJha0dsY0h3dnFz?oc=5,2025-05-31 13:50:42,nenow.in,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNbnp5bXhpZGJFNzRBb1F6Tjl2VUxfSHpjZHRsQ1NPNlNQbzdVZmFYQko0b0kyTDNqUWRFRXNIcmpsb0hDSFBPMVo3UFVCWl9sV291ZU1lZk9tbEhHOURGR1hhNG1rcjVsbDFEbXZOZHhkdWVBbHozM0ZUVWsxZXJKN1pvWVlVN2xFdmNibHNnMnBCRVU4amVwdzJxNlFkUDlBSTFhamVZRFBvd0tMa21GbU5tTi10UlJqTjU0clJha0dsY0h3dnFz?oc=5"" target=""_blank"">Lightning kills elephant calf, boy drowns; over 600 homes damaged in Tripura storms</a>&nbsp;&nbsp;<font color=""#6f6f6f"">nenow.in</font>",Disaster,en
"5 killed in landslides as heavy rains batters Assam, multiple agencies deployed in relief work - The Indian Express",https://news.google.com/rss/articles/CBMirwFBVV95cUxOMXJ5aGV4UmFMWFN3cUwyLWtaT3h5Yzh2U0ZPZXVoN3VVZGdSZ2kzY2k3Z2ljVmZPT3lTWFJPRzRTM2h1YVJhckhBd09UTTFkT09qSHhQcWpZaGdPaUFLSUsxdU50MklFWTI0WlZkQ05WTDRTRnRjcmt3TDVCYzZvOS16ZFJaV1JvSG5jOXNWZGFCU3JYRVp0c280NWU0T1lraEJwUDJ0T1J0TFphU1Zr0gG2AUFVX3lxTE5zSmFyOEZTN3pDZDI0RlY4WTNkbGhFODFyUlJzNE1FbVh1N1RoYk8zcDlQSkcydUx0OGVsVGVwZU1RbjBrNmhBWmNOQ181QkwtY3lYRjlXcDBKa0ZzUmFpZFpPMkxCeWFyNkk2VzlUVWNQYTNBQk0zVlp2TVZnTU96NWJuUmJzb1E2ajRZUm41ZlJxSE5LWEpRcm45VUtBTFo4bzhkMmgzcVhmTTBSSDlGclh4NUxn?oc=5,2025-05-31 19:19:00,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOMXJ5aGV4UmFMWFN3cUwyLWtaT3h5Yzh2U0ZPZXVoN3VVZGdSZ2kzY2k3Z2ljVmZPT3lTWFJPRzRTM2h1YVJhckhBd09UTTFkT09qSHhQcWpZaGdPaUFLSUsxdU50MklFWTI0WlZkQ05WTDRTRnRjcmt3TDVCYzZvOS16ZFJaV1JvSG5jOXNWZGFCU3JYRVp0c280NWU0T1lraEJwUDJ0T1J0TFphU1Zr0gG2AUFVX3lxTE5zSmFyOEZTN3pDZDI0RlY4WTNkbGhFODFyUlJzNE1FbVh1N1RoYk8zcDlQSkcydUx0OGVsVGVwZU1RbjBrNmhBWmNOQ181QkwtY3lYRjlXcDBKa0ZzUmFpZFpPMkxCeWFyNkk2VzlUVWNQYTNBQk0zVlp2TVZnTU96NWJuUmJzb1E2ajRZUm41ZlJxSE5LWEpRcm45VUtBTFo4bzhkMmgzcVhmTTBSSDlGclh4NUxn?oc=5"" target=""_blank"">5 killed in landslides as heavy rains batters Assam, multiple agencies deployed in relief work</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
Rains LIVE: 10 die in northeast due to landslides and floods - The Hindu,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5,2025-05-31 16:11:15,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxOT0R5TmJSRkJCM2hKd05qSW4tZ190RDUxaGV2NF96eXNwdk96cVRMTjN2azFXRzNXVUdBaGRFZ1dkMFExcXd0S2VQSHlOeERaSXlUVzVRZzhQVUgtUzNqbHRCUE1sa0Nnc01XS1E0TnRZamlwbGRsZEpXa1VfNjRsU3hGdGhuVGlLdHJtWl9qZ0x5SDluMGtGeWwwQld2bUVYSWVTX0V0Z1hlQUMyTVVXWTdqb09ySDF3SG5WR0ViT0dQSDBVWG5LeU96LVhWQ013THBaemNpY9IB3gFBVV95cUxOdlpxSDVkMmx2TlZaOWVkai14eEFJX0ZweW5ZZWxXdWVrMnYxRExyblRMZ2RZaS1XYndMTVhMR1B2RG9ER3R1Yms5T1NaM3ZPX0pvdVlhMVg5akZMT0R6dHBqVFBkRVBRS2RhS2ZSVERFTFIyUk90MnJMejB2Szc1alZaZS1Day1BNGczcWRYSi1Iak03aHo0TUJpelpDREJaMVF6WVZjcWpFdVg5NFJpYjZiX2N4MnN4M2RIM0tyLWJKWkdOaWFQNjBfMGZVaFgtRFB1ZmhjUktWWUs0d0E?oc=5"" target=""_blank"">Rains LIVE: 10 die in northeast due to landslides and floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
"Tripura weather forecast: IMD Predicts More Rainfall in State; Urban Flooding, Landslides, and Crop Damage Feared - ENewsTime",https://news.google.com/rss/articles/CBMid0FVX3lxTE8wNUUyWjZpX0hHVnpmdnA2dkVtT3pNb0VxbURSRUxXemhwZW5EQzhQYW9kYkRhNTJ6cTNkVDhLOUNxMklzSEZTRERsaXc4SF9rc3RhczJXQi04a2puaEh2d1c1OXBQX3Q2OFk0S09DU2ZKOWJtakUw?oc=5,2025-06-01 01:56:09,ENewsTime,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE8wNUUyWjZpX0hHVnpmdnA2dkVtT3pNb0VxbURSRUxXemhwZW5EQzhQYW9kYkRhNTJ6cTNkVDhLOUNxMklzSEZTRERsaXc4SF9rc3RhczJXQi04a2puaEh2d1c1OXBQX3Q2OFk0S09DU2ZKOWJtakUw?oc=5"" target=""_blank"">Tripura weather forecast: IMD Predicts More Rainfall in State; Urban Flooding, Landslides, and Crop Damage Feared</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ENewsTime</font>",Disaster,en
"Rain wreaks havoc in Northeast: 13 dead across Arunachal, Mizoram & Tripura - The Assam Tribune",https://news.google.com/rss/articles/CBMitgFBVV95cUxQYktZazY2M2J3eWdDOFI2NmpqWEs0eThuX2hyLVdxQXYzaGpKZHEzaG9PZFFtS3VxWVlTeXhBbFF1ZXIxSFJodENfLVNqRHlpU0toZERkcnI4MVZ5TWpPeWpTeDdFMVBYSzE3LURjQ0N6Z0FGUU01aHQ0UExqVFVITzExWElGYXF5VGVfZlRoV09XX1dQTzdSTWdFektseFMzbEJxUW5zd044eTRPdEs5YjhPLWNnZ9IBuwFBVV95cUxPYjRuUmtIVmZLWThDN0JaZmhhMUxGX2IySGxCRmRZMFYzZ2YzRlpkREdSaGVFb2J4VklhT0lLX3hZOWxlQ0FlcWRsVU9xTkVFUllKUnB2eUlDMXVzNHRHRm9zbVVnZ0xsUktPNFNoSU83ODc0XzJGMi1LMVRHVjRoWnh5Vm8zdFEydUhvbElQc3JZdWROUElDS1FKWnZUVHQtczZTZlF2TUJZZVEwZ09vWTNCQkJJWllMbVI4?oc=5,2025-05-31 12:52:35,The Assam Tribune,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQYktZazY2M2J3eWdDOFI2NmpqWEs0eThuX2hyLVdxQXYzaGpKZHEzaG9PZFFtS3VxWVlTeXhBbFF1ZXIxSFJodENfLVNqRHlpU0toZERkcnI4MVZ5TWpPeWpTeDdFMVBYSzE3LURjQ0N6Z0FGUU01aHQ0UExqVFVITzExWElGYXF5VGVfZlRoV09XX1dQTzdSTWdFektseFMzbEJxUW5zd044eTRPdEs5YjhPLWNnZ9IBuwFBVV95cUxPYjRuUmtIVmZLWThDN0JaZmhhMUxGX2IySGxCRmRZMFYzZ2YzRlpkREdSaGVFb2J4VklhT0lLX3hZOWxlQ0FlcWRsVU9xTkVFUllKUnB2eUlDMXVzNHRHRm9zbVVnZ0xsUktPNFNoSU83ODc0XzJGMi1LMVRHVjRoWnh5Vm8zdFEydUhvbElQc3JZdWROUElDS1FKWnZUVHQtczZTZlF2TUJZZVEwZ09vWTNCQkJJWllMbVI4?oc=5"" target=""_blank"">Rain wreaks havoc in Northeast: 13 dead across Arunachal, Mizoram & Tripura</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Assam Tribune</font>",Disaster,en
