Title,Link,Date,Source,Summary,Term,LanguageQueried
"Heat alert sounded by weather department, three days of high heat wave likely - TRIPURAINFO : The first news, views & information website of TRIPURA.",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcEZxcm1zWGYwajZlV09NaXFFd01qekFoUGJ5NW1NQUhra0l3WkdkRjV3azRFRUw0cEY5YXNIS0ZLVTltcHZIckFLenJDemFwV0JnZUN0QlFsVmY4ZTh2cDBjdzJVa3cwSnRlV0xvdWEzWWM4aExxbFBUN2hVU2x3WHZvT2N1MkFUSDUtLUJHVm5ISzZjTHhiS0FMSWVjbUk0aVgyYTg5T3plTWhkVk0wSkFyMEpxbDN5Vm9KQy1JNEVpUkIteFlOVmpnbWpWLS0w?oc=5,2025-03-30 14:38:26,"TRIPURAINFO : The first news, views & information website of TRIPURA.","<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcEZxcm1zWGYwajZlV09NaXFFd01qekFoUGJ5NW1NQUhra0l3WkdkRjV3azRFRUw0cEY5YXNIS0ZLVTltcHZIckFLenJDemFwV0JnZUN0QlFsVmY4ZTh2cDBjdzJVa3cwSnRlV0xvdWEzWWM4aExxbFBUN2hVU2x3WHZvT2N1MkFUSDUtLUJHVm5ISzZjTHhiS0FMSWVjbUk0aVgyYTg5T3plTWhkVk0wSkFyMEpxbDN5Vm9KQy1JNEVpUkIteFlOVmpnbWpWLS0w?oc=5"" target=""_blank"">Heat alert sounded by weather department, three days of high heat wave likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRIPURAINFO : The first news, views & information website of TRIPURA.</font>",Heatwave,en
Mumbai weather updates: City records maximum temperature of 33.6 degrees Celsius - MSN,https://news.google.com/rss/articles/CBMi3AJBVV95cUxPMVpOWUZhMzhDZERFMGdONW1iY3BTRUY5RDZ3U2d0dlluMGdQUzY4NXZMdk9XVUJhRWw3SnY2cl82YzBURWZUYkVhR21GMU5EUEV3cU45NzV4SVZTLWhGeVpyRTRBMWRyQ2tzX1NWVWhvMnJGUzFCUXRGU3NDLUNjVXVkbVN3bUN6YlNlXzNfMjF5aEpRdkRfQjM5SGRwS0tBSkRvekN4YVRWeWJlOVh4ZUpvcjEyeVR2ay1LNDVpcFhxU0xRZS0xVDQxQnpkT1VsLURPdVpZNnM3RFJ6eWFMSmktcC0wekdSeEY3S2J4NFk3WnVyNGhTRUxOYlRMa1lOSWN1cFRqYWlnVFJYYllvZ0ZXMVltaXMtLVJGRHhyYWs1VWhEZGFVR00zeks4QV9FRVpaRk9DbmtBYkY3b2w5U2x4dV9XMEx4RmNscXRHWUJ5SFkwNnJhR01IZnI?oc=5,2025-03-30 16:57:30,MSN,"<a href=""https://news.google.com/rss/articles/CBMi3AJBVV95cUxPMVpOWUZhMzhDZERFMGdONW1iY3BTRUY5RDZ3U2d0dlluMGdQUzY4NXZMdk9XVUJhRWw3SnY2cl82YzBURWZUYkVhR21GMU5EUEV3cU45NzV4SVZTLWhGeVpyRTRBMWRyQ2tzX1NWVWhvMnJGUzFCUXRGU3NDLUNjVXVkbVN3bUN6YlNlXzNfMjF5aEpRdkRfQjM5SGRwS0tBSkRvekN4YVRWeWJlOVh4ZUpvcjEyeVR2ay1LNDVpcFhxU0xRZS0xVDQxQnpkT1VsLURPdVpZNnM3RFJ6eWFMSmktcC0wekdSeEY3S2J4NFk3WnVyNGhTRUxOYlRMa1lOSWN1cFRqYWlnVFJYYllvZ0ZXMVltaXMtLVJGRHhyYWs1VWhEZGFVR00zeks4QV9FRVpaRk9DbmtBYkY3b2w5U2x4dV9XMEx4RmNscXRHWUJ5SFkwNnJhR01IZnI?oc=5"" target=""_blank"">Mumbai weather updates: City records maximum temperature of 33.6 degrees Celsius</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Tripura villagers perform frog wedding to invoke rain amidst severe heat - India Today NE,https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzl1VG5RbnRJMTZzbk42S0ZGY1VGRDItbTB0RGFEQXc1QTJiVEF1eS1kSVlPTmVaTGo1Y2V2QmZEak1PY2NUYS1mb25VUWxXYlhzYW5ReGg3TjVnQ1M2Z0UybFNKUFNZWDlSZ1MzQk1ScjRoTk9sWG5fZ05XWW9NM19aNUxaX3FpSVBUTHQ4bF9VVzNDU0FMS2JiVnl2Undmd2VPTFhzSkV4NU12Mko4TzFyTnRBVmtEOEVqYmdxbGN1WWpsYk5BajVsUTNVQdIB0wFBVV95cUxQZGdCOHdsRmw0OFFteVVJLXhhVU1FbmI1WGdVS3hIMnFGM0VEVlY3UkJlR3ZrbjVmdEM5T2xCam5uVUEyZ1NfRlU5VWd5ZDV2UGY4Y0FIajRrNmdPTWk1ajA0dmFtcVI4dmtlaTNEVXRZUWFMd0JOX2VWUFpQVlJVN3B6UFdEUUhrX1NEc05zb1k0dXI4NWd4MkdkOTJuanpvaTQ0bkJLYmJ1ZjNpOG13UWo0Y1RwbFh6ZUxMUlAyMnMtb0gyMGZ6dDhzTE9qUkpid0Vv?oc=5,2025-03-30 13:24:41,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzl1VG5RbnRJMTZzbk42S0ZGY1VGRDItbTB0RGFEQXc1QTJiVEF1eS1kSVlPTmVaTGo1Y2V2QmZEak1PY2NUYS1mb25VUWxXYlhzYW5ReGg3TjVnQ1M2Z0UybFNKUFNZWDlSZ1MzQk1ScjRoTk9sWG5fZ05XWW9NM19aNUxaX3FpSVBUTHQ4bF9VVzNDU0FMS2JiVnl2Undmd2VPTFhzSkV4NU12Mko4TzFyTnRBVmtEOEVqYmdxbGN1WWpsYk5BajVsUTNVQdIB0wFBVV95cUxQZGdCOHdsRmw0OFFteVVJLXhhVU1FbmI1WGdVS3hIMnFGM0VEVlY3UkJlR3ZrbjVmdEM5T2xCam5uVUEyZ1NfRlU5VWd5ZDV2UGY4Y0FIajRrNmdPTWk1ajA0dmFtcVI4dmtlaTNEVXRZUWFMd0JOX2VWUFpQVlJVN3B6UFdEUUhrX1NEc05zb1k0dXI4NWd4MkdkOTJuanpvaTQ0bkJLYmJ1ZjNpOG13UWo0Y1RwbFh6ZUxMUlAyMnMtb0gyMGZ6dDhzTE9qUkpid0Vv?oc=5"" target=""_blank"">Tripura villagers perform frog wedding to invoke rain amidst severe heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",Heatwave,en
IMD Issues Heatwave Warning For 6 Districts Of Odisha - Global Green News,https://news.google.com/rss/articles/CBMilwFBVV95cUxOV0l4ZnhETmk5S0NxQ2F0Q2hWQUItUlR4S1Y5Um13cURHZXpGWW8ydW5MRzJENUhWaWF0dEx3aTJWMDdSaTEtUkxhNXZfQU8tdFlHNHhDdEZ6RXphZWZLQlRLUDFZQ2F4YlpoTDVnS1FXblFmLXdMblptNnR2ZHh2T3pSbU1xazN6cU9SbWpBcXlaZTBLUWx3?oc=5,2025-03-30 12:21:15,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMilwFBVV95cUxOV0l4ZnhETmk5S0NxQ2F0Q2hWQUItUlR4S1Y5Um13cURHZXpGWW8ydW5MRzJENUhWaWF0dEx3aTJWMDdSaTEtUkxhNXZfQU8tdFlHNHhDdEZ6RXphZWZLQlRLUDFZQ2F4YlpoTDVnS1FXblFmLXdMblptNnR2ZHh2T3pSbU1xazN6cU9SbWpBcXlaZTBLUWx3?oc=5"" target=""_blank"">IMD Issues Heatwave Warning For 6 Districts Of Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
"In March, yellow alert for rain replaces yellow alert for heat - MSN",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNE1DSWVZQnlYUkQwQUlNb0ZFYmc2MUp1VDhWbWNtZDAwZ1ZSZkFtS2lFLXFMWl9tMEdGR2tQZ28zNXlsRnlrNGNrdmFsYW40SnEtQ2tIZTJaSFpWNmFhSEpzaVBmWkdINVhud25oYWN1a0JXdjJWVzhmbzdNS3N6a0FqUUxyZTE4NjRydzhxNURlMzItczBiNm1BMS03eGtwazkwN3ZWYXcwbGwyb0c1Qm1BeTh1dmFSX3pFcGNVN1ZDeHZpTTUxTUZlVTFONXQ1TXc?oc=5,2025-03-31 01:54:05,MSN,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPNE1DSWVZQnlYUkQwQUlNb0ZFYmc2MUp1VDhWbWNtZDAwZ1ZSZkFtS2lFLXFMWl9tMEdGR2tQZ28zNXlsRnlrNGNrdmFsYW40SnEtQ2tIZTJaSFpWNmFhSEpzaVBmWkdINVhud25oYWN1a0JXdjJWVzhmbzdNS3N6a0FqUUxyZTE4NjRydzhxNURlMzItczBiNm1BMS03eGtwazkwN3ZWYXcwbGwyb0c1Qm1BeTh1dmFSX3pFcGNVN1ZDeHZpTTUxTUZlVTFONXQ1TXc?oc=5"" target=""_blank"">In March, yellow alert for rain replaces yellow alert for heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"IMD Forecasts Rain, Thunderstorms In MH, Gujarat,AP and Telangana For Next 4 Days - Global Green News",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNUxxdWxtYjEzUkRjd0cwREV0b0lzRXQ2S0ZnY0QwT1daTEYzemFlT0szMHFDWWdCZXFkbFp5eGNvUHFxMEFmYjhuenYtSkxrTWxUd1RXVlNsRm5ZLWhZTzFkUWd6VW11cDk3VU9QanNtVWJHTnlubWI3THAyUjFZMTMtNWxoV182SjA2SkViSkFGQXB5YW5FbV9NVzR0SEgwOC00dVY0am96OUg0bzdpU1c4TEpNOE9J?oc=5,2025-03-30 21:59:45,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxNNUxxdWxtYjEzUkRjd0cwREV0b0lzRXQ2S0ZnY0QwT1daTEYzemFlT0szMHFDWWdCZXFkbFp5eGNvUHFxMEFmYjhuenYtSkxrTWxUd1RXVlNsRm5ZLWhZTzFkUWd6VW11cDk3VU9QanNtVWJHTnlubWI3THAyUjFZMTMtNWxoV182SjA2SkViSkFGQXB5YW5FbV9NVzR0SEgwOC00dVY0am96OUg0bzdpU1c4TEpNOE9J?oc=5"" target=""_blank"">IMD Forecasts Rain, Thunderstorms In MH, Gujarat,AP and Telangana For Next 4 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
Temperaturecrosses 40 degrees in Jharkhand - MSN,https://news.google.com/rss/articles/CBMimgFBVV95cUxQVHBLamZnMHhfcnVMakFrX0wtNTdHTTVGak9ya1VQbUFrazNlZVNGNkR2QV9tS3dQZG5yOFRmdEdyX1U2NmhFanZRb2ZxM0dfem1SaTVvMWZGZU1pOFpwWHh1eFlNN09fWU4xdk5vXzVBWUlUNjlkRGIweTBnTlFhbDM0T3pWRTh2YU5OYnhTSWYtOGpYYnB4aXZB?oc=5,2025-03-30 11:40:27,MSN,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQVHBLamZnMHhfcnVMakFrX0wtNTdHTTVGak9ya1VQbUFrazNlZVNGNkR2QV9tS3dQZG5yOFRmdEdyX1U2NmhFanZRb2ZxM0dfem1SaTVvMWZGZU1pOFpwWHh1eFlNN09fWU4xdk5vXzVBWUlUNjlkRGIweTBnTlFhbDM0T3pWRTh2YU5OYnhTSWYtOGpYYnB4aXZB?oc=5"" target=""_blank"">Temperaturecrosses 40 degrees in Jharkhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Heat alert sounded by weather department, three days of high heat wave likely - TRIPURAINFO : The first news, views & information website of TRIPURA.",https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcEZxcm1zWGYwajZlV09NaXFFd01qekFoUGJ5NW1NQUhra0l3WkdkRjV3azRFRUw0cEY5YXNIS0ZLVTltcHZIckFLenJDemFwV0JnZUN0QlFsVmY4ZTh2cDBjdzJVa3cwSnRlV0xvdWEzWWM4aExxbFBUN2hVU2x3WHZvT2N1MkFUSDUtLUJHVm5ISzZjTHhiS0FMSWVjbUk0aVgyYTg5T3plTWhkVk0wSkFyMEpxbDN5Vm9KQy1JNEVpUkIteFlOVmpnbWpWLS0w?oc=5,2025-03-30 14:38:26,"TRIPURAINFO : The first news, views & information website of TRIPURA.","<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOcEZxcm1zWGYwajZlV09NaXFFd01qekFoUGJ5NW1NQUhra0l3WkdkRjV3azRFRUw0cEY5YXNIS0ZLVTltcHZIckFLenJDemFwV0JnZUN0QlFsVmY4ZTh2cDBjdzJVa3cwSnRlV0xvdWEzWWM4aExxbFBUN2hVU2x3WHZvT2N1MkFUSDUtLUJHVm5ISzZjTHhiS0FMSWVjbUk0aVgyYTg5T3plTWhkVk0wSkFyMEpxbDN5Vm9KQy1JNEVpUkIteFlOVmpnbWpWLS0w?oc=5"" target=""_blank"">Heat alert sounded by weather department, three days of high heat wave likely</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TRIPURAINFO : The first news, views & information website of TRIPURA.</font>",Heatwave,en
Mumbai weather updates: City records maximum temperature of 33.6 degrees Celsius - MSN,https://news.google.com/rss/articles/CBMi3AJBVV95cUxPMVpOWUZhMzhDZERFMGdONW1iY3BTRUY5RDZ3U2d0dlluMGdQUzY4NXZMdk9XVUJhRWw3SnY2cl82YzBURWZUYkVhR21GMU5EUEV3cU45NzV4SVZTLWhGeVpyRTRBMWRyQ2tzX1NWVWhvMnJGUzFCUXRGU3NDLUNjVXVkbVN3bUN6YlNlXzNfMjF5aEpRdkRfQjM5SGRwS0tBSkRvekN4YVRWeWJlOVh4ZUpvcjEyeVR2ay1LNDVpcFhxU0xRZS0xVDQxQnpkT1VsLURPdVpZNnM3RFJ6eWFMSmktcC0wekdSeEY3S2J4NFk3WnVyNGhTRUxOYlRMa1lOSWN1cFRqYWlnVFJYYllvZ0ZXMVltaXMtLVJGRHhyYWs1VWhEZGFVR00zeks4QV9FRVpaRk9DbmtBYkY3b2w5U2x4dV9XMEx4RmNscXRHWUJ5SFkwNnJhR01IZnI?oc=5,2025-03-30 16:57:30,MSN,"<a href=""https://news.google.com/rss/articles/CBMi3AJBVV95cUxPMVpOWUZhMzhDZERFMGdONW1iY3BTRUY5RDZ3U2d0dlluMGdQUzY4NXZMdk9XVUJhRWw3SnY2cl82YzBURWZUYkVhR21GMU5EUEV3cU45NzV4SVZTLWhGeVpyRTRBMWRyQ2tzX1NWVWhvMnJGUzFCUXRGU3NDLUNjVXVkbVN3bUN6YlNlXzNfMjF5aEpRdkRfQjM5SGRwS0tBSkRvekN4YVRWeWJlOVh4ZUpvcjEyeVR2ay1LNDVpcFhxU0xRZS0xVDQxQnpkT1VsLURPdVpZNnM3RFJ6eWFMSmktcC0wekdSeEY3S2J4NFk3WnVyNGhTRUxOYlRMa1lOSWN1cFRqYWlnVFJYYllvZ0ZXMVltaXMtLVJGRHhyYWs1VWhEZGFVR00zeks4QV9FRVpaRk9DbmtBYkY3b2w5U2x4dV9XMEx4RmNscXRHWUJ5SFkwNnJhR01IZnI?oc=5"" target=""_blank"">Mumbai weather updates: City records maximum temperature of 33.6 degrees Celsius</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Tripura villagers perform frog wedding to invoke rain amidst severe heat - India Today NE,https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzl1VG5RbnRJMTZzbk42S0ZGY1VGRDItbTB0RGFEQXc1QTJiVEF1eS1kSVlPTmVaTGo1Y2V2QmZEak1PY2NUYS1mb25VUWxXYlhzYW5ReGg3TjVnQ1M2Z0UybFNKUFNZWDlSZ1MzQk1ScjRoTk9sWG5fZ05XWW9NM19aNUxaX3FpSVBUTHQ4bF9VVzNDU0FMS2JiVnl2Undmd2VPTFhzSkV4NU12Mko4TzFyTnRBVmtEOEVqYmdxbGN1WWpsYk5BajVsUTNVQdIB0wFBVV95cUxQZGdCOHdsRmw0OFFteVVJLXhhVU1FbmI1WGdVS3hIMnFGM0VEVlY3UkJlR3ZrbjVmdEM5T2xCam5uVUEyZ1NfRlU5VWd5ZDV2UGY4Y0FIajRrNmdPTWk1ajA0dmFtcVI4dmtlaTNEVXRZUWFMd0JOX2VWUFpQVlJVN3B6UFdEUUhrX1NEc05zb1k0dXI4NWd4MkdkOTJuanpvaTQ0bkJLYmJ1ZjNpOG13UWo0Y1RwbFh6ZUxMUlAyMnMtb0gyMGZ6dDhzTE9qUkpid0Vv?oc=5,2025-03-30 13:24:41,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxOdzl1VG5RbnRJMTZzbk42S0ZGY1VGRDItbTB0RGFEQXc1QTJiVEF1eS1kSVlPTmVaTGo1Y2V2QmZEak1PY2NUYS1mb25VUWxXYlhzYW5ReGg3TjVnQ1M2Z0UybFNKUFNZWDlSZ1MzQk1ScjRoTk9sWG5fZ05XWW9NM19aNUxaX3FpSVBUTHQ4bF9VVzNDU0FMS2JiVnl2Undmd2VPTFhzSkV4NU12Mko4TzFyTnRBVmtEOEVqYmdxbGN1WWpsYk5BajVsUTNVQdIB0wFBVV95cUxQZGdCOHdsRmw0OFFteVVJLXhhVU1FbmI1WGdVS3hIMnFGM0VEVlY3UkJlR3ZrbjVmdEM5T2xCam5uVUEyZ1NfRlU5VWd5ZDV2UGY4Y0FIajRrNmdPTWk1ajA0dmFtcVI4dmtlaTNEVXRZUWFMd0JOX2VWUFpQVlJVN3B6UFdEUUhrX1NEc05zb1k0dXI4NWd4MkdkOTJuanpvaTQ0bkJLYmJ1ZjNpOG13UWo0Y1RwbFh6ZUxMUlAyMnMtb0gyMGZ6dDhzTE9qUkpid0Vv?oc=5"" target=""_blank"">Tripura villagers perform frog wedding to invoke rain amidst severe heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",Heatwave,en
