Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD Weather Update: Rising Temperatures In East & Northwest India, Drop Expected In Central & South - news24online.com",https://news.google.com/rss/articles/CBMizAFBVV95cUxOWExKMEMwU2RPb1VpeDF4TlNyT01hM21waDYtWGd3akVvM0hyd3R1dWljT0hVLVJMYXFTTGpRWXlZbTJ6WnVjREY3Z25Db2VNdlUxS0tNUTFQT0cxRU96M1lwUF93N3RlQnpnNE9HbUM3Y2Q1VHBtR0w5UkxwbGVtZDlzMUZCODM4YVpta19vUF8tcjJsckxvTVdoVVNpQWpfY2txSS1jdDgyb3BMUUlsbm1jTlFFbHlVTHR6YzYwY3h5XzJGdnVFMUtUYjA?oc=5,2025-03-31 21:21:35,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOWExKMEMwU2RPb1VpeDF4TlNyT01hM21waDYtWGd3akVvM0hyd3R1dWljT0hVLVJMYXFTTGpRWXlZbTJ6WnVjREY3Z25Db2VNdlUxS0tNUTFQT0cxRU96M1lwUF93N3RlQnpnNE9HbUM3Y2Q1VHBtR0w5UkxwbGVtZDlzMUZCODM4YVpta19vUF8tcjJsckxvTVdoVVNpQWpfY2txSS1jdDgyb3BMUUlsbm1jTlFFbHlVTHR6YzYwY3h5XzJGdnVFMUtUYjA?oc=5"" target=""_blank"">IMD Weather Update: Rising Temperatures In East & Northwest India, Drop Expected In Central & South</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"IMD Warns Of, Thundersqualls, Hail Across Multiple Region: Heat Wave In Saurashtra & Kutch - globalgreenews.com",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOeWhHT1VvQWJHRjhSS0EyVi1vNGZfS3ZOcW9kZXlnei1EVU1ZTFdtUGg2TmJYTERJdUZjR0phb2NDQUdhWUU4dUVyYVQzME92NHU2ZXdmT3BLWktZMlB6YnZ3RXJiZDlpSEtUenlVMDE1V2RwUDhZc2tyS0RFbl9HcDNCWVBhR2dzaUZTWmFONHE3R3hJblA3TDg1djdsSHdfR2JCQkRCbnRIbUtCaTFwUWZYalhiWEViOXZSMUQyYlR2dw?oc=5,2025-04-01 09:07:18,globalgreenews.com,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOeWhHT1VvQWJHRjhSS0EyVi1vNGZfS3ZOcW9kZXlnei1EVU1ZTFdtUGg2TmJYTERJdUZjR0phb2NDQUdhWUU4dUVyYVQzME92NHU2ZXdmT3BLWktZMlB6YnZ3RXJiZDlpSEtUenlVMDE1V2RwUDhZc2tyS0RFbl9HcDNCWVBhR2dzaUZTWmFONHE3R3hJblA3TDg1djdsSHdfR2JCQkRCbnRIbUtCaTFwUWZYalhiWEViOXZSMUQyYlR2dw?oc=5"" target=""_blank"">IMD Warns Of, Thundersqualls, Hail Across Multiple Region: Heat Wave In Saurashtra & Kutch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">globalgreenews.com</font>",Heatwave,en
"Weather Update: IMD Warns of Thunderstorms, Hailstorms, and Heatwaves Across Gujarat, Maharashtra, Karnataka, and Northeast India - Krishi Jagran",https://news.google.com/rss/articles/CBMi-AFBVV95cUxQUkpoci1NZGgtcUpOS2swQUNrWVBuUjJMZ205cm9CbDNONzlEQkNVRkZVU0FYTTRfUC1ZVmtONVROdS1HV0dZdVBDT042d3NoMFVoZlVFenZaemFuUHRIUjF3c29nbDZPV3ZuRUl2RVFpWTJRUVBaOWktaUt6SGFmN2JaOU9yWG50XzByVUUwaWFKN0hsRzlrNzkwTEN6cVlzU1h0cDluQWE4eks1S21BM0tYNml1ZnFybG9YMjFKZUZ1cEJ4ZlJiLVlESW5EX283Vkp0WS1ITDFrU0hKQ0NoSlAyVWdBUDQtMFduVmpPS19GWm9keVNCeA?oc=5,2025-04-01 07:45:13,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQUkpoci1NZGgtcUpOS2swQUNrWVBuUjJMZ205cm9CbDNONzlEQkNVRkZVU0FYTTRfUC1ZVmtONVROdS1HV0dZdVBDT042d3NoMFVoZlVFenZaemFuUHRIUjF3c29nbDZPV3ZuRUl2RVFpWTJRUVBaOWktaUt6SGFmN2JaOU9yWG50XzByVUUwaWFKN0hsRzlrNzkwTEN6cVlzU1h0cDluQWE4eks1S21BM0tYNml1ZnFybG9YMjFKZUZ1cEJ4ZlJiLVlESW5EX283Vkp0WS1ITDFrU0hKQ0NoSlAyVWdBUDQtMFduVmpPS19GWm9keVNCeA?oc=5"" target=""_blank"">Weather Update: IMD Warns of Thunderstorms, Hailstorms, and Heatwaves Across Gujarat, Maharashtra, Karnataka, and Northeast India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
Tripura CM launches affordable mid day meal service for patients' families at GB Pant Hospital - India Today NE,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNeFVUQmg5aDJkUmlQREluRHV1RXB6d2Q2dEJyRkxEMzh2Y3RJd3ZkMlZvQWhSV3FWZkJyT2Nnd1U3YXdQY2V4REt5cFU3REFGdURmaFV4ZDFmak9BbjRiVkRGNnJiZVF4RTA5TERPY1ZzVEpwb0x3RkhRdUhFNkxDMGhYSXUyWjc3LU9OdGdEUC1kWFFHdVF6Y3M0UVhPSzRJWDVZWHpQWXJSb2tvT2cyaXpBUXpSck9aVTlvM09JNlJlTlhZT3lsdTRxU1FILWFTUTd4SDhFMDRTZ1N6dVhpcHRPemxCSkVESVHSAe8BQVVfeXFMTnRrOHFJUDByQ292YkJmRkhQYnhtSTZGUkpwUUw0U1dmSWVNUmZ4ZEh2bUtLV01VVUY5cmpKdGFCTi03RHk2cW80YzcyTUQyYVItRnVWSFNuY3EySzB6UzlNS3o1TGJjUXlES2tSNTVWdzhIZEkyQXVJTXRYeVp4WGVJWGdCR0VOMTFCSll2ZndjbHo5b0Qzel9qaGg5Sl9JQ0xGd2RhSXY5di1SZ2hXU0ZpdjE5aWd1RlQzS1BsX2ZQcTJJa1lJOUp0RWRMY2YwN3psV1Z3YXpST3BILVVXaUd3UnhwRDNGazJBR1I5Mjg?oc=5,2025-03-31 17:57:51,India Today NE,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxNeFVUQmg5aDJkUmlQREluRHV1RXB6d2Q2dEJyRkxEMzh2Y3RJd3ZkMlZvQWhSV3FWZkJyT2Nnd1U3YXdQY2V4REt5cFU3REFGdURmaFV4ZDFmak9BbjRiVkRGNnJiZVF4RTA5TERPY1ZzVEpwb0x3RkhRdUhFNkxDMGhYSXUyWjc3LU9OdGdEUC1kWFFHdVF6Y3M0UVhPSzRJWDVZWHpQWXJSb2tvT2cyaXpBUXpSck9aVTlvM09JNlJlTlhZT3lsdTRxU1FILWFTUTd4SDhFMDRTZ1N6dVhpcHRPemxCSkVESVHSAe8BQVVfeXFMTnRrOHFJUDByQ292YkJmRkhQYnhtSTZGUkpwUUw0U1dmSWVNUmZ4ZEh2bUtLV01VVUY5cmpKdGFCTi03RHk2cW80YzcyTUQyYVItRnVWSFNuY3EySzB6UzlNS3o1TGJjUXlES2tSNTVWdzhIZEkyQXVJTXRYeVp4WGVJWGdCR0VOMTFCSll2ZndjbHo5b0Qzel9qaGg5Sl9JQ0xGd2RhSXY5di1SZ2hXU0ZpdjE5aWd1RlQzS1BsX2ZQcTJJa1lJOUp0RWRMY2YwN3psV1Z3YXpST3BILVVXaUd3UnhwRDNGazJBR1I5Mjg?oc=5"" target=""_blank"">Tripura CM launches affordable mid day meal service for patients' families at GB Pant Hospital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today NE</font>",Heatwave,en
"April-June to be hotter than usual, more heatwave days likely in many states: IMD - inkl",https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNHFlcWFxaWJOMzJ2NXA2VTZ0NEdsT3NrOWhibVB0S2RwUTNyeEhEX2NDVkJtdFE2UmVDeVE5d0pjRjhnTGdnT2tpWHdhdUZKeFQzSmtuZjd6MHUwU3MwYUdxQ3VJX2plSGpoSG9LWnJka2pCbHJxck03ZHY4SlV2eS1jcWo4WE1hZFpzV01jelRUeTd4d1laMno5aTM0T1RUb003NUlad0E?oc=5,2025-03-31 17:31:36,inkl,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxQNHFlcWFxaWJOMzJ2NXA2VTZ0NEdsT3NrOWhibVB0S2RwUTNyeEhEX2NDVkJtdFE2UmVDeVE5d0pjRjhnTGdnT2tpWHdhdUZKeFQzSmtuZjd6MHUwU3MwYUdxQ3VJX2plSGpoSG9LWnJka2pCbHJxck03ZHY4SlV2eS1jcWo4WE1hZFpzV01jelRUeTd4d1laMno5aTM0T1RUb003NUlad0E?oc=5"" target=""_blank"">April-June to be hotter than usual, more heatwave days likely in many states: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">inkl</font>",Heatwave,en
Tripura CM launches affordable mid day meal service for patients' families at GB Pant Hospital - MSN,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOWDVUSE5lZ0ZoWndCVmtRZ2dHczZuaWNOdmVrc0dlY2hLLW13X0wzbHBSMGR4LXV5ZVhQWEtuMUVSRnZEVHBaS2FaY1JQQnRyTm00YU1tdmw0b0FCMlhlS0lLak5zVEJOY0ZxVTNpbjJMUTQ2aEpoVzk0OGEwNWRDTWwzMFNCcTNTUnZPTDBseGtpVEpPVUxyZTBONFhhbndxZk80eW9PSGFmZ0czRkZvNlZpU0xNSUh5VHdraExESU9tSlRLcldzT0xPajlTdmVEQVVtQS01LVlQQQ?oc=5,2025-03-31 18:49:55,MSN,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxOWDVUSE5lZ0ZoWndCVmtRZ2dHczZuaWNOdmVrc0dlY2hLLW13X0wzbHBSMGR4LXV5ZVhQWEtuMUVSRnZEVHBaS2FaY1JQQnRyTm00YU1tdmw0b0FCMlhlS0lLak5zVEJOY0ZxVTNpbjJMUTQ2aEpoVzk0OGEwNWRDTWwzMFNCcTNTUnZPTDBseGtpVEpPVUxyZTBONFhhbndxZk80eW9PSGFmZ0czRkZvNlZpU0xNSUh5VHdraExESU9tSlRLcldzT0xPajlTdmVEQVVtQS01LVlQQQ?oc=5"" target=""_blank"">Tripura CM launches affordable mid day meal service for patients' families at GB Pant Hospital</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
IMD Weather Update: Heavy Rain To Lash Kerala; Thunderstorms And Gusty Winds Expected In Over 10 States - news24online.com,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOVmx0T2N4RWtlWF9tQlZ2d0xjWU01c3hFcm5OV284dHlYUi1PZE5HQnVkaXkzakQxS2d1LTNXZWwxRFgxU2F1c0o1N2dKRVI5TjlYQUwxbXhTd19FcFJWSUtQNjZXdGt6QUFyTk9kbDhncThQRlhoNFU5WjFRZEdUMVpkd3dGTUJka19IRWt4Rmh6bEdsMW5LZjlwZE9YSjhUdmpvUXVRWUlKVjFzRWFwdEh2MWJWZ1dXU2lHQTFtU09uYlViQ2pmcmJvd2ZaT1RiM2Q3UTdyMGFJRHh1RFVxekdzMWxqenQ3UWk5MA?oc=5,2025-04-01 06:48:54,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxOVmx0T2N4RWtlWF9tQlZ2d0xjWU01c3hFcm5OV284dHlYUi1PZE5HQnVkaXkzakQxS2d1LTNXZWwxRFgxU2F1c0o1N2dKRVI5TjlYQUwxbXhTd19FcFJWSUtQNjZXdGt6QUFyTk9kbDhncThQRlhoNFU5WjFRZEdUMVpkd3dGTUJka19IRWt4Rmh6bEdsMW5LZjlwZE9YSjhUdmpvUXVRWUlKVjFzRWFwdEh2MWJWZ1dXU2lHQTFtU09uYlViQ2pmcmJvd2ZaT1RiM2Q3UTdyMGFJRHh1RFVxekdzMWxqenQ3UWk5MA?oc=5"" target=""_blank"">IMD Weather Update: Heavy Rain To Lash Kerala; Thunderstorms And Gusty Winds Expected In Over 10 States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
IMD Issues Heavy Rain Alert: Thunderstorms & Heatwave Warnings Across India - qrius.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxNSGtBRXExRGRPUG4tMGFMeTktQl9OT09MVUVvNGZDdGpwMUs1T2xhNEVQdzhMU1ctQlAxbHF6MzYwUW5KbHNqMnZLc3NPRTlXQjJhV0R1MDVTVGRXMUJqVG9JZl94SEtDS3pndjVQYTc0U1Vod0l3QU1uLWxtU3lUUnp2ZVhwd2ZBZENrM2lVdkVrZHdR?oc=5,2025-03-31 19:03:38,qrius.com,"<a href=""https://news.google.com/rss/articles/CBMilAFBVV95cUxNSGtBRXExRGRPUG4tMGFMeTktQl9OT09MVUVvNGZDdGpwMUs1T2xhNEVQdzhMU1ctQlAxbHF6MzYwUW5KbHNqMnZLc3NPRTlXQjJhV0R1MDVTVGRXMUJqVG9JZl94SEtDS3pndjVQYTc0U1Vod0l3QU1uLWxtU3lUUnp2ZVhwd2ZBZENrM2lVdkVrZHdR?oc=5"" target=""_blank"">IMD Issues Heavy Rain Alert: Thunderstorms & Heatwave Warnings Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">qrius.com</font>",Heatwave,en
"IMD Weather Update: Rising Temperatures In East & Northwest India, Drop Expected In Central & South - news24online.com",https://news.google.com/rss/articles/CBMizAFBVV95cUxOWExKMEMwU2RPb1VpeDF4TlNyT01hM21waDYtWGd3akVvM0hyd3R1dWljT0hVLVJMYXFTTGpRWXlZbTJ6WnVjREY3Z25Db2VNdlUxS0tNUTFQT0cxRU96M1lwUF93N3RlQnpnNE9HbUM3Y2Q1VHBtR0w5UkxwbGVtZDlzMUZCODM4YVpta19vUF8tcjJsckxvTVdoVVNpQWpfY2txSS1jdDgyb3BMUUlsbm1jTlFFbHlVTHR6YzYwY3h5XzJGdnVFMUtUYjA?oc=5,2025-03-31 21:21:35,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOWExKMEMwU2RPb1VpeDF4TlNyT01hM21waDYtWGd3akVvM0hyd3R1dWljT0hVLVJMYXFTTGpRWXlZbTJ6WnVjREY3Z25Db2VNdlUxS0tNUTFQT0cxRU96M1lwUF93N3RlQnpnNE9HbUM3Y2Q1VHBtR0w5UkxwbGVtZDlzMUZCODM4YVpta19vUF8tcjJsckxvTVdoVVNpQWpfY2txSS1jdDgyb3BMUUlsbm1jTlFFbHlVTHR6YzYwY3h5XzJGdnVFMUtUYjA?oc=5"" target=""_blank"">IMD Weather Update: Rising Temperatures In East & Northwest India, Drop Expected In Central & South</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
"IMD Warns Of, Thundersqualls, Hail Across Multiple Region: Heat Wave In Saurashtra & Kutch - globalgreenews.com",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOeWhHT1VvQWJHRjhSS0EyVi1vNGZfS3ZOcW9kZXlnei1EVU1ZTFdtUGg2TmJYTERJdUZjR0phb2NDQUdhWUU4dUVyYVQzME92NHU2ZXdmT3BLWktZMlB6YnZ3RXJiZDlpSEtUenlVMDE1V2RwUDhZc2tyS0RFbl9HcDNCWVBhR2dzaUZTWmFONHE3R3hJblA3TDg1djdsSHdfR2JCQkRCbnRIbUtCaTFwUWZYalhiWEViOXZSMUQyYlR2dw?oc=5,2025-04-01 09:07:18,globalgreenews.com,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxOeWhHT1VvQWJHRjhSS0EyVi1vNGZfS3ZOcW9kZXlnei1EVU1ZTFdtUGg2TmJYTERJdUZjR0phb2NDQUdhWUU4dUVyYVQzME92NHU2ZXdmT3BLWktZMlB6YnZ3RXJiZDlpSEtUenlVMDE1V2RwUDhZc2tyS0RFbl9HcDNCWVBhR2dzaUZTWmFONHE3R3hJblA3TDg1djdsSHdfR2JCQkRCbnRIbUtCaTFwUWZYalhiWEViOXZSMUQyYlR2dw?oc=5"" target=""_blank"">IMD Warns Of, Thundersqualls, Hail Across Multiple Region: Heat Wave In Saurashtra & Kutch</a>&nbsp;&nbsp;<font color=""#6f6f6f"">globalgreenews.com</font>",Heatwave,en
