Title,Link,Date,Source,Summary,Place
Deadly floods impact millions in Bangladesh and northeast India - CNN,https://news.google.com/rss/articles/CBMiigFBVV95cUxPdFlMdEh4Z2tSYUk0SjlsZzB3MnB0dzFfQy1vWWx1Ri1HTnZ1WmVpd1VfOFVXM3AxLTRDcUFrSHA1ZEExdUpCYnVGcE9fUlBrSWhCSU94aXY3ek44aVU2dkpFbUJGS0Z5N2pUd2FyNjJ6OVprdVUzWGtIdk1mZEtoWTBwU2V5WGFod0HSAYABQVVfeXFMUGZTS2pSYXEzZUFXZ0lzTlk0NDYtcDNCOWF6am1qQnVtZVJJRE9JSElraVE0MU5sYWV1cXhTZUhyRjVpMC1QcTEzbXdZSnRkX2twRG5hbUk3OEhBM1R2R1VjckVRbVpnUndoN0ZheFluU2hwRU9sWlotZkZ2cnF2TmI?oc=5,2024-08-23 07:47:00,CNN,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxPdFlMdEh4Z2tSYUk0SjlsZzB3MnB0dzFfQy1vWWx1Ri1HTnZ1WmVpd1VfOFVXM3AxLTRDcUFrSHA1ZEExdUpCYnVGcE9fUlBrSWhCSU94aXY3ek44aVU2dkpFbUJGS0Z5N2pUd2FyNjJ6OVprdVUzWGtIdk1mZEtoWTBwU2V5WGFod0HSAYABQVVfeXFMUGZTS2pSYXEzZUFXZ0lzTlk0NDYtcDNCOWF6am1qQnVtZVJJRE9JSElraVE0MU5sYWV1cXhTZUhyRjVpMC1QcTEzbXdZSnRkX2twRG5hbUk3OEhBM1R2R1VjckVRbVpnUndoN0ZheFluU2hwRU9sWlotZkZ2cnF2TmI?oc=5"" target=""_blank"">Deadly floods impact millions in Bangladesh and northeast India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font>",
"Bangladesh floods maroon nearly three million people, kill two - Voice of America - VOA News",https://news.google.com/rss/articles/CBMiogFBVV95cUxPdW1SX0xuT3I5Ylk0Zi1zclN0QW9IcGt5c2VfUGFLbW1sNG5HMnlpQW1INzBQYkxTd1JxeTJRV3FKWS1sNFJ5SHc3YzBZUUxnVWVhYjd6MmFFamR2SE5wbDNZWGV5WjA4Mk54RVdyQUxQa2twendfc0luY1RlbkR0TWV3SXpYeW1kN2dfdVlqaU53cUc1SWRwdzJiRkk1bFBOSXfSAaQBQVVfeXFMT1BLUGl1WUVrX05VdTVaYXhSQlFxUTFEZHhPUFhic08zMVdRMS1kSjlNbVQ1R3lweEFsUUMyOUJFdWRCR1dDc1BqSDluT1FZTEhwallVNGljajkweHVaOVJHZnVEUUFYQ3JxSjFhSWUtdUdCd01JSUNnNlpFbkxoM1lEQ2hHV0dsLW5HMFZCbUVxVzNBTTE4cVBvNzNjUm9EZEJyWXE?oc=5,2024-08-22 16:54:04,Voice of America - VOA News,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPdW1SX0xuT3I5Ylk0Zi1zclN0QW9IcGt5c2VfUGFLbW1sNG5HMnlpQW1INzBQYkxTd1JxeTJRV3FKWS1sNFJ5SHc3YzBZUUxnVWVhYjd6MmFFamR2SE5wbDNZWGV5WjA4Mk54RVdyQUxQa2twendfc0luY1RlbkR0TWV3SXpYeW1kN2dfdVlqaU53cUc1SWRwdzJiRkk1bFBOSXfSAaQBQVVfeXFMT1BLUGl1WUVrX05VdTVaYXhSQlFxUTFEZHhPUFhic08zMVdRMS1kSjlNbVQ1R3lweEFsUUMyOUJFdWRCR1dDc1BqSDluT1FZTEhwallVNGljajkweHVaOVJHZnVEUUFYQ3JxSjFhSWUtdUdCd01JSUNnNlpFbkxoM1lEQ2hHV0dsLW5HMFZCbUVxVzNBTTE4cVBvNzNjUm9EZEJyWXE?oc=5"" target=""_blank"">Bangladesh floods maroon nearly three million people, kill two</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Voice of America - VOA News</font>",
Floods maroon many people in Bangladesh and India and cause at least 15 deaths - WREG NewsChannel 3,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPamlLV1B3WEpXTTI1MS1EcnViSHpITnQwaGYzNndFWDJYLVJxM3BDZ0p0bzZzNjM4eF9lX2JidnpWeF8zRGg3MnVTNWV3RWRKZy0yRkNRMk1NTHNOMHFUYThQUDhxWXpFUjRSYmpKNHdLUkRfTHRfbkE5MmgwUGFTaDBIVTFYZUhrWDlpLW5hSjFBaGRac3ZmN1c2MnVhNjZqMHBmZUl4TzZYcXBfWm83SXdPZVVtaTIyeXBoZ3paWU5iX01rMnd4VXoxQjEtUHBn0gHWAUFVX3lxTE9Hbm9ZcEpLVjJ0eWdFVko0eEJQZTJLSUdpajFEYmpmRTRDVDlqd3hhNDhoT2J5Z0xpcV9WQm90aHhaV3dlLUd2ZzhYdDBvekdYM0tRTXNFRTJxQ2hBdHdVTGlpdmlGMFpycnd3Vno5MlNkaGVZWFBSSTBhT0JyMzQxUS1oMnJTbHNCNjgwNFJ2bU9Qa1ZBVzFqUkJtcHBUXzZtY2FZR1NpM2hfM0Y5N0lSbTFaX0dXU2cxeGRPbkliMWZLT3RYNjhpVjduWkN6RVlna1pqekE?oc=5,2024-08-22 23:16:27,WREG NewsChannel 3,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPamlLV1B3WEpXTTI1MS1EcnViSHpITnQwaGYzNndFWDJYLVJxM3BDZ0p0bzZzNjM4eF9lX2JidnpWeF8zRGg3MnVTNWV3RWRKZy0yRkNRMk1NTHNOMHFUYThQUDhxWXpFUjRSYmpKNHdLUkRfTHRfbkE5MmgwUGFTaDBIVTFYZUhrWDlpLW5hSjFBaGRac3ZmN1c2MnVhNjZqMHBmZUl4TzZYcXBfWm83SXdPZVVtaTIyeXBoZ3paWU5iX01rMnd4VXoxQjEtUHBn0gHWAUFVX3lxTE9Hbm9ZcEpLVjJ0eWdFVko0eEJQZTJLSUdpajFEYmpmRTRDVDlqd3hhNDhoT2J5Z0xpcV9WQm90aHhaV3dlLUd2ZzhYdDBvekdYM0tRTXNFRTJxQ2hBdHdVTGlpdmlGMFpycnd3Vno5MlNkaGVZWFBSSTBhT0JyMzQxUS1oMnJTbHNCNjgwNFJ2bU9Qa1ZBVzFqUkJtcHBUXzZtY2FZR1NpM2hfM0Y5N0lSbTFaX0dXU2cxeGRPbkliMWZLT3RYNjhpVjduWkN6RVlna1pqekE?oc=5"" target=""_blank"">Floods maroon many people in Bangladesh and India and cause at least 15 deaths</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WREG NewsChannel 3</font>",
"Weather Today (August 22): Heavy Rains to Batter Meghalaya, Tripura, Karnataka, Kerala - The Weather Channel",https://news.google.com/rss/articles/CBMitwFBVV95cUxNS0didmM3bDZ3dW5oWmJkWVRTXzBJNk5OWEhWNHUzOFh5WmhvaXEzYmVFZUlVZTNkY2dncjNvbmdDazdyOXBTaFVOUXVUbGdoVUhYMm51LUtQbWx1MGFabURmRUs5cmo4ZFkzOVQ5eUpEV1Y1UGdjeTg1ZXdKLWQ1anVMeWlSemFxUk0tRHdobHU1V01ZX3Y1M28ybXNQcDlMam5YOVhicUxPMU0tNFA5WnNiOHlUTDA?oc=5,2024-08-22 12:49:49,The Weather Channel,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxNS0didmM3bDZ3dW5oWmJkWVRTXzBJNk5OWEhWNHUzOFh5WmhvaXEzYmVFZUlVZTNkY2dncjNvbmdDazdyOXBTaFVOUXVUbGdoVUhYMm51LUtQbWx1MGFabURmRUs5cmo4ZFkzOVQ5eUpEV1Y1UGdjeTg1ZXdKLWQ1anVMeWlSemFxUk0tRHdobHU1V01ZX3Y1M28ybXNQcDlMam5YOVhicUxPMU0tNFA5WnNiOHlUTDA?oc=5"" target=""_blank"">Weather Today (August 22): Heavy Rains to Batter Meghalaya, Tripura, Karnataka, Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Weather Channel</font>",
"Tripura: 7 of two families killed in landslides due to heavy rain, death toll rises to 20 - The Munsif Daily",https://news.google.com/rss/articles/CBMisgFBVV95cUxPZmlmMVh5QkJTU1R4MTZsRVRqbnl1R193bEkzOEUzS0FqOGVFejJGeDRHNGdNaDRDdExaZ2NKVGxzRDdrbFFrdC1YYzlGb2xfTkVWRERsOS1iWmR3d2tRdVlSSjJJbjQyaE9JMnV0eVVJSHA0aXdzY0xXd21KSXNnQXoxekwxZmRBOEpkU19HUWhvRE5mUUNVOXh2RlpNRUFJY1Jqd2RQeldTT0gzTnJaMGVB?oc=5,2024-08-23 09:48:09,The Munsif Daily,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPZmlmMVh5QkJTU1R4MTZsRVRqbnl1R193bEkzOEUzS0FqOGVFejJGeDRHNGdNaDRDdExaZ2NKVGxzRDdrbFFrdC1YYzlGb2xfTkVWRERsOS1iWmR3d2tRdVlSSjJJbjQyaE9JMnV0eVVJSHA0aXdzY0xXd21KSXNnQXoxekwxZmRBOEpkU19HUWhvRE5mUUNVOXh2RlpNRUFJY1Jqd2RQeldTT0gzTnJaMGVB?oc=5"" target=""_blank"">Tripura: 7 of two families killed in landslides due to heavy rain, death toll rises to 20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Munsif Daily</font>",
"Tripura: 7 Of Two Families Killed In Landslides Due To Heavy Rain, Death Toll Rises To 20 - News18",https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUjJiR216ejdtRmZPUEx6bm5MRXAxLXhJdE05anE0NFZyU3poNGxLXy1YNDZKTElEcFFHSDcyb0xwbFVOM0NvcktKMmllMUlQV2xIZlBjaXJrWUo4cXVnQ0RuYnBNWFFDc3JFMklWQTNJRk1aVklIbWpyRVNLWjNZc0p5MlppSkZMeTM1Z3psNkZha2hoSkYxNC12WFhoUFExNWpveUs3X2dQemJnRUFGeGZTQVo2TERRLXpIbnNJM1MwanU4Q2FfYdIBzgFBVV95cUxOMDF6b1pjS3BNdWYwdWNaN0daWnFXYkd2QWtVbXpjcEgwTmNuRFpELTNrV3d5SF9sUHVWUG5mMVpNdmV2RExEdm1YWU9jS09TMzFjT05vcmItMFlubktoQkZRd3cycWVYTll2U3lNN0hwMzVTQm9COXBpb2dibDM2b3pnSHg4aUpUSjdnNm5ma2F3a1NNTTR5RVVYQndPTEJ4cU1zOURjVXNMX29WZEx2LVhtWUpjdTJfQjgySHlMZzVxaDY3eDhEcHNhU1FZZw?oc=5,2024-08-23 09:34:27,News18,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxPUjJiR216ejdtRmZPUEx6bm5MRXAxLXhJdE05anE0NFZyU3poNGxLXy1YNDZKTElEcFFHSDcyb0xwbFVOM0NvcktKMmllMUlQV2xIZlBjaXJrWUo4cXVnQ0RuYnBNWFFDc3JFMklWQTNJRk1aVklIbWpyRVNLWjNZc0p5MlppSkZMeTM1Z3psNkZha2hoSkYxNC12WFhoUFExNWpveUs3X2dQemJnRUFGeGZTQVo2TERRLXpIbnNJM1MwanU4Q2FfYdIBzgFBVV95cUxOMDF6b1pjS3BNdWYwdWNaN0daWnFXYkd2QWtVbXpjcEgwTmNuRFpELTNrV3d5SF9sUHVWUG5mMVpNdmV2RExEdm1YWU9jS09TMzFjT05vcmItMFlubktoQkZRd3cycWVYTll2U3lNN0hwMzVTQm9COXBpb2dibDM2b3pnSHg4aUpUSjdnNm5ma2F3a1NNTTR5RVVYQndPTEJ4cU1zOURjVXNMX29WZEx2LVhtWUpjdTJfQjgySHlMZzVxaDY3eDhEcHNhU1FZZw?oc=5"" target=""_blank"">Tripura: 7 Of Two Families Killed In Landslides Due To Heavy Rain, Death Toll Rises To 20</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",
Bangladesh’s Yunus meets Indian High Commissioner Pranay Verma; ‘normal call’ says India - The Hindu,https://news.google.com/rss/articles/CBMinwFBVV95cUxPUVJFTExZZ0ZWUU0zMTRfQlhpSHdKTXZySVhJd2oxT09nR3VjZlFNNEp1MWpvT3V6cUVtZ1BuenNzSktLQ0F1SGxUbUpNTnhEZERTNE9tM212RmxGWXlUY1NRR0c2U1diNU1pcVdzYWxTaXF4Y0swSGZEWlJob2FWN1hZTzNOYUJMVzlyaGhaXzBRQjkzVXE4YVg5OFVtZG_SAaYBQVVfeXFMT1duYWpQM2Y0LVJLMlhQZGIxVlh1SVozNnN6dXB1Y0xtdXlTMFpqTmU3czFQOXE5a09faTNsUzF5QkhaN2xtNUFRdEVFcUhpZ1NFMV9FME9SaVRWUzE5THhBZGVoWjhrWVpuUGQ5S2x4YmpmTEJzN2xKMFFkR3B1cnRjRkVZS3hQV1JncDMyYXNNWWVCY1lwNUNDSmM0UnE2N3IxVGtJUQ?oc=5,2024-08-22 15:19:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxPUVJFTExZZ0ZWUU0zMTRfQlhpSHdKTXZySVhJd2oxT09nR3VjZlFNNEp1MWpvT3V6cUVtZ1BuenNzSktLQ0F1SGxUbUpNTnhEZERTNE9tM212RmxGWXlUY1NRR0c2U1diNU1pcVdzYWxTaXF4Y0swSGZEWlJob2FWN1hZTzNOYUJMVzlyaGhaXzBRQjkzVXE4YVg5OFVtZG_SAaYBQVVfeXFMT1duYWpQM2Y0LVJLMlhQZGIxVlh1SVozNnN6dXB1Y0xtdXlTMFpqTmU3czFQOXE5a09faTNsUzF5QkhaN2xtNUFRdEVFcUhpZ1NFMV9FME9SaVRWUzE5THhBZGVoWjhrWVpuUGQ5S2x4YmpmTEJzN2xKMFFkR3B1cnRjRkVZS3hQV1JncDMyYXNNWWVCY1lwNUNDSmM0UnE2N3IxVGtJUQ?oc=5"" target=""_blank"">Bangladesh’s Yunus meets Indian High Commissioner Pranay Verma; ‘normal call’ says India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Weather Alert: IMD Forecasts Heavy Rainfall in the Next 24 Hours, Check the Latest Update - Timesbull",https://news.google.com/rss/articles/CBMisgFBVV95cUxOaTRYMTdKMmpxZmhWZVd1LW95VmYzT2Y5dGdmNVVBSnRnMmZnWEhfcW1JWnIxN0ViNE9MRGtnZFhhWjV0UC1DX29nU2ZFR2FVRnliTjcxNFhHU2t3Nzh5Q3RtN0tRMm01RkVUTC1sZFRmNXhKckJwOUNJTTJtWjVoSGFhZWwzMFJSV2JZQUtTNXAza1V3eGo5T0hBel93RHdQQXQya2QwLVdibVp2UktrVm13?oc=5,2024-08-23 09:46:24,Timesbull,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOaTRYMTdKMmpxZmhWZVd1LW95VmYzT2Y5dGdmNVVBSnRnMmZnWEhfcW1JWnIxN0ViNE9MRGtnZFhhWjV0UC1DX29nU2ZFR2FVRnliTjcxNFhHU2t3Nzh5Q3RtN0tRMm01RkVUTC1sZFRmNXhKckJwOUNJTTJtWjVoSGFhZWwzMFJSV2JZQUtTNXAza1V3eGo5T0hBel93RHdQQXQya2QwLVdibVp2UktrVm13?oc=5"" target=""_blank"">Weather Alert: IMD Forecasts Heavy Rainfall in the Next 24 Hours, Check the Latest Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Timesbull</font>",
"Amid Heavy Rains, Multiple Landslides Claim Over 20 Lives in Himachal's Shimla; Rescue Efforts Underway - The Weather Channel",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQbER2Y0NyRmxEVFdNVkJYTUF0SnFZLWkwY0Rackp6bkptX2VkOUpTN0lzcXNtWVJLWTZScHZ5dVVSTFppd3FTLVVaVm9JSnRPUWs0a29QcVBfejBNWVZySTR3TU0tUUtiNHRIWE1jb2pfUk9ZUF9OdE9aUEwxV3IxQnlLR3ppR2NRZkRiQ19haUJSVnNKcDRUdHYyQzRhejBMTWcwbS1paUE5SXFyNHo0anZKbmVZV0xJRWpxUVF2djl0bG8?oc=5,2024-08-22 12:51:01,The Weather Channel,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxQbER2Y0NyRmxEVFdNVkJYTUF0SnFZLWkwY0Rackp6bkptX2VkOUpTN0lzcXNtWVJLWTZScHZ5dVVSTFppd3FTLVVaVm9JSnRPUWs0a29QcVBfejBNWVZySTR3TU0tUUtiNHRIWE1jb2pfUk9ZUF9OdE9aUEwxV3IxQnlLR3ppR2NRZkRiQ19haUJSVnNKcDRUdHYyQzRhejBMTWcwbS1paUE5SXFyNHo0anZKbmVZV0xJRWpxUVF2djl0bG8?oc=5"" target=""_blank"">Amid Heavy Rains, Multiple Landslides Claim Over 20 Lives in Himachal's Shimla; Rescue Efforts Underway</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Weather Channel</font>",
"Tripura Flood: Schools, Educational Institutions To Remain Closed Till Further Notice - MSN",https://news.google.com/rss/articles/CBMizAFBVV95cUxPLS13bUlDVEpLSXZsdWQ5elRmelVaVmlIbXBpRFd1SEh2US1UOUdua0hKM3dfWkdEcWtjTjNtN2JpVHZpMUNMQ0s5akJad0VYUmZ3c213R19wcFUxaTRjY1FzQnhhc2Z4NTcwS0VxVGhLcE56elZIRWxZMldDTnp2Y2lKemF4c2xwcDVBUHFGSWl6bDZoalRpbnYzcVpDMWRQdDhCQ2dXbnN4VUlSRGtyYnc3ODNoaU9ST0piQWY2anViczM4bldNMFAydm4?oc=5,2024-08-22 15:28:43,MSN,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPLS13bUlDVEpLSXZsdWQ5elRmelVaVmlIbXBpRFd1SEh2US1UOUdua0hKM3dfWkdEcWtjTjNtN2JpVHZpMUNMQ0s5akJad0VYUmZ3c213R19wcFUxaTRjY1FzQnhhc2Z4NTcwS0VxVGhLcE56elZIRWxZMldDTnp2Y2lKemF4c2xwcDVBUHFGSWl6bDZoalRpbnYzcVpDMWRQdDhCQ2dXbnN4VUlSRGtyYnc3ODNoaU9ST0piQWY2anViczM4bldNMFAydm4?oc=5"" target=""_blank"">Tripura Flood: Schools, Educational Institutions To Remain Closed Till Further Notice</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
