Title,Link,Date,Source,Summary,Term,LanguageQueried
"उत्तर प्रदेश में आज इन 10 जिलों में पड़ेगी भयंकर गर्मी, पूरी लिस्ट देखिए - UPTak",https://news.google.com/rss/articles/CBMi2AFBVV95cUxNV1dHcFJpYl8xVGJ3UjVpMnlWMnZVWC1MdmJ5d1FEN0w3RU9CZGdkSElrQnV0OGZzd29vb1A4dE5lNVBQYktBYURHeXpWSUQ2cGJXeVBOTFUyQmtkcmZyYVQwLXJ5cmRkZnpaRXpiMTdvQXEtdGFCSTgxSG1UT0N3Q3RkWDVLQ3FzZGVjV0tNeU5UVmNyY2FsX1NmcEV0SExjRmZxcXYtUEItRzRVX3A4a3JJbDhkc1lOU09LZjNST1JsaTUzczVvVnpxcm1sWGJRdlVaMVM4MF_SAd4BQVVfeXFMTVRGWldDZXRkMGg5MHZxY0RlSExZcFNyVGpzNi1FVU8zdUpNWjg5WHdXeFNjRjNOVi1VZFNKS1RaQzRHZjFMeU54NGNJZHpyMW9ZRVlwUVFRLU5GSDRDR2xiMXE1anJLR2JNOG5fVFdWZ3RMaXNUM2ZYaHJiTFRjcXdxNmExQWYxa0VMeDFtVVFjVy1KbzQ1TlM1MGtCSGNzRFk5bnNDNXRkWGd0dUJEX1hUOVVrLVV2NjlPd2R1aVJ0TTd6RXZxZVZ1bmtjdFUxV3ZVVjFHeURqREtIX1V3?oc=5,2025-03-28 06:10:02,UPTak,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxNV1dHcFJpYl8xVGJ3UjVpMnlWMnZVWC1MdmJ5d1FEN0w3RU9CZGdkSElrQnV0OGZzd29vb1A4dE5lNVBQYktBYURHeXpWSUQ2cGJXeVBOTFUyQmtkcmZyYVQwLXJ5cmRkZnpaRXpiMTdvQXEtdGFCSTgxSG1UT0N3Q3RkWDVLQ3FzZGVjV0tNeU5UVmNyY2FsX1NmcEV0SExjRmZxcXYtUEItRzRVX3A4a3JJbDhkc1lOU09LZjNST1JsaTUzczVvVnpxcm1sWGJRdlVaMVM4MF_SAd4BQVVfeXFMTVRGWldDZXRkMGg5MHZxY0RlSExZcFNyVGpzNi1FVU8zdUpNWjg5WHdXeFNjRjNOVi1VZFNKS1RaQzRHZjFMeU54NGNJZHpyMW9ZRVlwUVFRLU5GSDRDR2xiMXE1anJLR2JNOG5fVFdWZ3RMaXNUM2ZYaHJiTFRjcXdxNmExQWYxa0VMeDFtVVFjVy1KbzQ1TlM1MGtCSGNzRFk5bnNDNXRkWGd0dUJEX1hUOVVrLVV2NjlPd2R1aVJ0TTd6RXZxZVZ1bmtjdFUxV3ZVVjFHeURqREtIX1V3?oc=5"" target=""_blank"">उत्तर प्रदेश में आज इन 10 जिलों में पड़ेगी भयंकर गर्मी, पूरी लिस्ट देखिए</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UPTak</font>",Disaster,hi
"Himachal Weather: हिमाचल में आज कई जगहों पर हिमस्खलन की संभावना, पढ़े अगले 7 दिनोंं तक कैसा रहेगा मौसम? - Manali Keylong road closed due to landslide in Himachal possibility of landslide at many places even today How will t - दैनिक जागरण (Dainik Jagran)",https://news.google.com/rss/articles/CBMitgJBVV95cUxPbURMckNrdFFqRy0tNDlNcGlYWlJiQnZvdFZ3V2tWNE9tbDFzSXdiQ2dLMUpjdzBXV1Z2allVQkZWYnJJN09RMVJLTXpMR2JNeUJMdTF0VG9fTTlNcnNOTmFjVjZ6NDQyNFlCcFhvOW5SZWtHZ0dwYlctZTJvMC0tT0VRVjk5d2VIU0JiVnZ4bmpJSWZlQm1WeGJ3TV8tTEdkTWI2UGxEWjlydERmbE5jb1NMTGI0VUhveTY0a0NYQUVGc3ZndEp2b2RLbVJUSTlDdko0Z3RMdFRya21uaDU0Z1kyTm1uYmdWTHJRVVJjQmlqN2twa0FXdk9KdmVsVm1UcFpZOE5FakVUeTVpeGVVYnhoQzhrUTRMcGNXTkZnQ2ZDUFNiYlBlNm5zWjBGMnUtMTRmMUhR?oc=5,2025-03-28 07:49:00,दैनिक जागरण (Dainik Jagran),"<a href=""https://news.google.com/rss/articles/CBMitgJBVV95cUxPbURMckNrdFFqRy0tNDlNcGlYWlJiQnZvdFZ3V2tWNE9tbDFzSXdiQ2dLMUpjdzBXV1Z2allVQkZWYnJJN09RMVJLTXpMR2JNeUJMdTF0VG9fTTlNcnNOTmFjVjZ6NDQyNFlCcFhvOW5SZWtHZ0dwYlctZTJvMC0tT0VRVjk5d2VIU0JiVnZ4bmpJSWZlQm1WeGJ3TV8tTEdkTWI2UGxEWjlydERmbE5jb1NMTGI0VUhveTY0a0NYQUVGc3ZndEp2b2RLbVJUSTlDdko0Z3RMdFRya21uaDU0Z1kyTm1uYmdWTHJRVVJjQmlqN2twa0FXdk9KdmVsVm1UcFpZOE5FakVUeTVpeGVVYnhoQzhrUTRMcGNXTkZnQ2ZDUFNiYlBlNm5zWjBGMnUtMTRmMUhR?oc=5"" target=""_blank"">Himachal Weather: हिमाचल में आज कई जगहों पर हिमस्खलन की संभावना, पढ़े अगले 7 दिनोंं तक कैसा रहेगा मौसम? - Manali Keylong road closed due to landslide in Himachal possibility of landslide at many places even today How will t</a>&nbsp;&nbsp;<font color=""#6f6f6f"">दैनिक जागरण (Dainik Jagran)</font>",Disaster,hi
"हत्याकांड की इनसाइड स्टोरी: एक साल पहले हुई घटना ने पिता को बनाया चार बच्चों का कातिल!, साफ नजर आती थी ये हरकत - अमर उजाला",https://news.google.com/rss/articles/CBMinAJBVV95cUxOeEYtaUF1WEdtZXhvcGlWeXltbW9rN2xNSmtrQ0p6UXgtTllha01CUDd0dmQxb2N3dG9CUUYxbHpaRWtqc1FfZFM4RDBNeGFLeW56TzZPZVhUQXJfUk11bnNfajVQYUNkNC1xdEN5QnN3WW9hWC1lS2FDTkVFSWVQOHVvaWk1NnNQQVNfbm5HSzhpaHRSdTFYaTc4bkJFYTNqelhTVFNFOWJhMnhsaC0wSk10SFZrTm5KTEVtWno0NDQ4TVo4RmNhOUg5WEZueENiQWloanhobzI1Snh6Z0lLV1BqYTMtTWZYNkowSEExTEM1dnFjZkZyRGJWTEk4ZHo2ajBjUDJlSm9fZFpWczdXSEVHdlhTTU5rQlU3U9IBnAJBVV95cUxOeEYtaUF1WEdtZXhvcGlWeXltbW9rN2xNSmtrQ0p6UXgtTllha01CUDd0dmQxb2N3dG9CUUYxbHpaRWtqc1FfZFM4RDBNeGFLeW56TzZPZVhUQXJfUk11bnNfajVQYUNkNC1xdEN5QnN3WW9hWC1lS2FDTkVFSWVQOHVvaWk1NnNQQVNfbm5HSzhpaHRSdTFYaTc4bkJFYTNqelhTVFNFOWJhMnhsaC0wSk10SFZrTm5KTEVtWno0NDQ4TVo4RmNhOUg5WEZueENiQWloanhobzI1Snh6Z0lLV1BqYTMtTWZYNkowSEExTEM1dnFjZkZyRGJWTEk4ZHo2ajBjUDJlSm9fZFpWczdXSEVHdlhTTU5rQlU3Uw?oc=5,2025-03-27 17:08:46,अमर उजाला,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxOeEYtaUF1WEdtZXhvcGlWeXltbW9rN2xNSmtrQ0p6UXgtTllha01CUDd0dmQxb2N3dG9CUUYxbHpaRWtqc1FfZFM4RDBNeGFLeW56TzZPZVhUQXJfUk11bnNfajVQYUNkNC1xdEN5QnN3WW9hWC1lS2FDTkVFSWVQOHVvaWk1NnNQQVNfbm5HSzhpaHRSdTFYaTc4bkJFYTNqelhTVFNFOWJhMnhsaC0wSk10SFZrTm5KTEVtWno0NDQ4TVo4RmNhOUg5WEZueENiQWloanhobzI1Snh6Z0lLV1BqYTMtTWZYNkowSEExTEM1dnFjZkZyRGJWTEk4ZHo2ajBjUDJlSm9fZFpWczdXSEVHdlhTTU5rQlU3U9IBnAJBVV95cUxOeEYtaUF1WEdtZXhvcGlWeXltbW9rN2xNSmtrQ0p6UXgtTllha01CUDd0dmQxb2N3dG9CUUYxbHpaRWtqc1FfZFM4RDBNeGFLeW56TzZPZVhUQXJfUk11bnNfajVQYUNkNC1xdEN5QnN3WW9hWC1lS2FDTkVFSWVQOHVvaWk1NnNQQVNfbm5HSzhpaHRSdTFYaTc4bkJFYTNqelhTVFNFOWJhMnhsaC0wSk10SFZrTm5KTEVtWno0NDQ4TVo4RmNhOUg5WEZueENiQWloanhobzI1Snh6Z0lLV1BqYTMtTWZYNkowSEExTEM1dnFjZkZyRGJWTEk4ZHo2ajBjUDJlSm9fZFpWczdXSEVHdlhTTU5rQlU3Uw?oc=5"" target=""_blank"">हत्याकांड की इनसाइड स्टोरी: एक साल पहले हुई घटना ने पिता को बनाया चार बच्चों का कातिल!, साफ नजर आती थी ये हरकत</a>&nbsp;&nbsp;<font color=""#6f6f6f"">अमर उजाला</font>",Disaster,hi
No relief in sight for Aussies in flood-ravaged outback towns - MSN,https://news.google.com/rss/articles/CBMi5wJBVV95cUxQT3dYZ0lDNkV1SmtQandEdFBwWExyVWVSeGVSb3UtM1RIVkZVMDU1OGx1aXVPZEsyaVZONWVVbjMtRjJwSXRPcmlLWHRwR2owWHBFb3ZpVzhXeHlRaDdtWVUwUERHY3k4aGhMMDB2b1ExNy05cGwwSGFLaVpZSFNKb2xtUGdydEszVUlKRzVzVGg3VktCMVlhTS1CeW1TZm9uZUFpSlFMZE94QTd6TVgtM1lTNWdnTWVSRmc2c1B6U1hFU3pDS0RPMERxYllVVm9iRDRJYjkwTVB0RWlHVjdaSHpuME5paFQ0Tk54S0RqeG1ONUdudm10Nk1qRFVSSlBrM01pYXE5NmhSRHpTTjZRaU1Od1VaTHRUbTZ3UERScC1QVUNUd053SGRqc0NMclNIVUNkdmpNa1B0a21HcFhqWHloU3JGSDA3ZUp0Q1Rrb3dQd3NuX1FCRC02QjZkSnlLeDgxSkZUYw?oc=5,2025-03-27 16:29:15,MSN,"<a href=""https://news.google.com/rss/articles/CBMi5wJBVV95cUxQT3dYZ0lDNkV1SmtQandEdFBwWExyVWVSeGVSb3UtM1RIVkZVMDU1OGx1aXVPZEsyaVZONWVVbjMtRjJwSXRPcmlLWHRwR2owWHBFb3ZpVzhXeHlRaDdtWVUwUERHY3k4aGhMMDB2b1ExNy05cGwwSGFLaVpZSFNKb2xtUGdydEszVUlKRzVzVGg3VktCMVlhTS1CeW1TZm9uZUFpSlFMZE94QTd6TVgtM1lTNWdnTWVSRmc2c1B6U1hFU3pDS0RPMERxYllVVm9iRDRJYjkwTVB0RWlHVjdaSHpuME5paFQ0Tk54S0RqeG1ONUdudm10Nk1qRFVSSlBrM01pYXE5NmhSRHpTTjZRaU1Od1VaTHRUbTZ3UERScC1QVUNUd053SGRqc0NMclNIVUNkdmpNa1B0a21HcFhqWHloU3JGSDA3ZUp0Q1Rrb3dQd3NuX1FCRC02QjZkSnlLeDgxSkZUYw?oc=5"" target=""_blank"">No relief in sight for Aussies in flood-ravaged outback towns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Monsoon Update – IMD warning Rain in 3 States For Today & UP, MP Face Extreme Heat - Times Bull",https://news.google.com/rss/articles/CBMixAFBVV95cUxNWC1JV3pJWDJSeWFCUi1nZnNEck1kOTZoNmR6Q0REbHVXcWhzU1RXWHQ2YksxdmJUVXlQdmpsdTFMQzhodVVwXzU3cDR4aFd3bFVGbmR0THliV2ZZbXZnV0xYWWdoQmJ0eGFfelBTMVlERHZQTWNGSnZDY3hPT1R1YTlYUFd0MmxtSkZxdWQwUHpPVVk4T1lrQjFyNHZ6YTQwWmhMVDY0Z3BvYzJNZjZQQ01uTGh6N3BURGRCLVNNUEtZa0FR?oc=5,2025-03-27 11:25:28,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNWC1JV3pJWDJSeWFCUi1nZnNEck1kOTZoNmR6Q0REbHVXcWhzU1RXWHQ2YksxdmJUVXlQdmpsdTFMQzhodVVwXzU3cDR4aFd3bFVGbmR0THliV2ZZbXZnV0xYWWdoQmJ0eGFfelBTMVlERHZQTWNGSnZDY3hPT1R1YTlYUFd0MmxtSkZxdWQwUHpPVVk4T1lrQjFyNHZ6YTQwWmhMVDY0Z3BvYzJNZjZQQ01uTGh6N3BURGRCLVNNUEtZa0FR?oc=5"" target=""_blank"">Monsoon Update – IMD warning Rain in 3 States For Today & UP, MP Face Extreme Heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
"UP Girl Runs To Save Books as Hut Near Her House Catches Fire, 'Bulldozer' Seen At Site - VIDEO - MSN",https://news.google.com/rss/articles/CBMi6wJBVV95cUxOQWZZNUE1dzAzWXdiaGpxWFU2RTBvSWtFR19YdVlIeUg5WjF0bWlwUFNzQXNUM1hXQ3JDaTYwcnZEWDVyc1hMYzZzWkg3NHhtVzJsMElVRDZXNFlkQlZleE93cGo0N0FJU09YMWVnR2g2Q05PUllFanBRUmhqcklYQ1MxcVBhaWxYcFgtVjZHanY1bDZaUFB0RVEyd3AxT1VpaHFsSDQ5UW9pYzA2ZVcyamJENHIydWlXT3Q4RmQ3bV9BNWdWMDRpYmhfVnFOYmN1WWhERDh3WmNxOTZaT1h3Mm80NjlTNDR4cW5faVJQVTRwNmRlYjhKMFdFOW9wS1RULTFNVURLQThSYWFpV3BWVHNoT2VUbFJLX2hUQUM2LXFMYjBJT1pGZ1FQRXRtV0x5cE9CSk5lSVc4bzNfTGd5TDRZbmYtMGVrV0pGekNQOXpRU0UzbmJ3V3FJV3gzN3pyQ3ZGRmN3bWpZSlk?oc=5,2025-03-27 16:02:53,MSN,"<a href=""https://news.google.com/rss/articles/CBMi6wJBVV95cUxOQWZZNUE1dzAzWXdiaGpxWFU2RTBvSWtFR19YdVlIeUg5WjF0bWlwUFNzQXNUM1hXQ3JDaTYwcnZEWDVyc1hMYzZzWkg3NHhtVzJsMElVRDZXNFlkQlZleE93cGo0N0FJU09YMWVnR2g2Q05PUllFanBRUmhqcklYQ1MxcVBhaWxYcFgtVjZHanY1bDZaUFB0RVEyd3AxT1VpaHFsSDQ5UW9pYzA2ZVcyamJENHIydWlXT3Q4RmQ3bV9BNWdWMDRpYmhfVnFOYmN1WWhERDh3WmNxOTZaT1h3Mm80NjlTNDR4cW5faVJQVTRwNmRlYjhKMFdFOW9wS1RULTFNVURLQThSYWFpV3BWVHNoT2VUbFJLX2hUQUM2LXFMYjBJT1pGZ1FQRXRtV0x5cE9CSk5lSVc4bzNfTGd5TDRZbmYtMGVrV0pGekNQOXpRU0UzbmJ3V3FJV3gzN3pyQ3ZGRmN3bWpZSlk?oc=5"" target=""_blank"">UP Girl Runs To Save Books as Hut Near Her House Catches Fire, 'Bulldozer' Seen At Site - VIDEO</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
Madhya Pradesh: Land Shortage Stalls Ujjain’s Industrial Growth Investment Proposals Worth Crores Pending - MSN,https://news.google.com/rss/articles/CBMi_gJBVV95cUxOVkFlYm5VTTFzb0Vqakc0ZUkwb2xDUTBSaDAtTzRQMHZxeFhIVXp5T01xaEMtM0QtQXVKRzhUXzBOZm5fZE9WdnM1dmhnR3JLWjFCQWtJM1Y3emlzZzhCVTZVZGlPc3BwUEhYb0xMbzVTUFlZQnBnb0ttVUlPQndfbjktazFGWV9nckNseXBvQ3FOb3ZyR2QzZ0dSWTR3MFR5NWRvaFFaMVdKN1M2YkFGQmwxX21LbkFZQ0tzX0xFQnNpaXFHcElDM1BhTlg1bDRSeE1IVUNQSXhBOEVPX0l2cC1NM1lXUGtLNGRyV2ktcnZRNWp3Z1QwSlhqeHF1RFY5R1l4VTFXRGhBbVZjV0ZIRVpzRHlFaFRvOFVRZ1JWa21qREdWWElWR054SDFucnlISGVCSmx3TmdhVXc1QlVZNXhITDNaTGhPRnd0M1EtSU5DY1ZRVWdCVFQ3ODJVMV9MLVphM2pNU1NFeVhNRDdQdDY1c0tMNmRScVZ4djZR?oc=5,2025-03-27 18:05:33,MSN,"<a href=""https://news.google.com/rss/articles/CBMi_gJBVV95cUxOVkFlYm5VTTFzb0Vqakc0ZUkwb2xDUTBSaDAtTzRQMHZxeFhIVXp5T01xaEMtM0QtQXVKRzhUXzBOZm5fZE9WdnM1dmhnR3JLWjFCQWtJM1Y3emlzZzhCVTZVZGlPc3BwUEhYb0xMbzVTUFlZQnBnb0ttVUlPQndfbjktazFGWV9nckNseXBvQ3FOb3ZyR2QzZ0dSWTR3MFR5NWRvaFFaMVdKN1M2YkFGQmwxX21LbkFZQ0tzX0xFQnNpaXFHcElDM1BhTlg1bDRSeE1IVUNQSXhBOEVPX0l2cC1NM1lXUGtLNGRyV2ktcnZRNWp3Z1QwSlhqeHF1RFY5R1l4VTFXRGhBbVZjV0ZIRVpzRHlFaFRvOFVRZ1JWa21qREdWWElWR054SDFucnlISGVCSmx3TmdhVXc1QlVZNXhITDNaTGhPRnd0M1EtSU5DY1ZRVWdCVFQ3ODJVMV9MLVphM2pNU1NFeVhNRDdQdDY1c0tMNmRScVZ4djZR?oc=5"" target=""_blank"">Madhya Pradesh: Land Shortage Stalls Ujjain’s Industrial Growth Investment Proposals Worth Crores Pending</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Human-animal conflict: 344 people died in Kerala between 2021 and 2025, says Environment and Forest Minister - MSN",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQek1iZXlLRHhUQTRUWldoa2UxU2JPeGo2eGNDQUZGLWJCaGFPVjFsN2cycmRWcW1KQkw3MnhaaGpwQUxIcklTeGRyNlF5UjBpenk1V1lBbDEwTHFmcFN1WkRsakZxd1Zya3ZScXJIUVVmQjBDODFzQV9zRDE1cXpQOE9IdUNNelhLZlZxV0dfTmhGb2UzVXlSRHpUaHVqc3F4QTVTc0lFeTRwSzduR3paeGJNbVpQdktWeVZNSE9nNW8wQ1VBRkhaZXVPUWdRdTM2TkxwMGF0VWQ3eWFjUUhtZEJtcEg0UlB4ZnNr?oc=5,2025-03-27 16:52:19,MSN,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQek1iZXlLRHhUQTRUWldoa2UxU2JPeGo2eGNDQUZGLWJCaGFPVjFsN2cycmRWcW1KQkw3MnhaaGpwQUxIcklTeGRyNlF5UjBpenk1V1lBbDEwTHFmcFN1WkRsakZxd1Zya3ZScXJIUVVmQjBDODFzQV9zRDE1cXpQOE9IdUNNelhLZlZxV0dfTmhGb2UzVXlSRHpUaHVqc3F4QTVTc0lFeTRwSzduR3paeGJNbVpQdktWeVZNSE9nNW8wQ1VBRkhaZXVPUWdRdTM2TkxwMGF0VWQ3eWFjUUhtZEJtcEg0UlB4ZnNr?oc=5"" target=""_blank"">Human-animal conflict: 344 people died in Kerala between 2021 and 2025, says Environment and Forest Minister</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Delhi records maximum temperature of 40.5, IMD reports - MSN",https://news.google.com/rss/articles/CBMixwFBVV95cUxNXzdsVEh1NHZ0azdTT0FiYzYwYU1EV1FZcFdkenFsRFRMaGhQLWwzZDJKNWJDMlZZMmtMQVRQUkRUM2l6cEpNTm5DamprVXl1eGdYYzZnSEMwUmd2U3hLN25ONW9qTFl2VkNHWEJWUzVzQ1RGZnpuMnZTeW1xamZNQVJ0Sm93M1JkUWg3N0hHeDNER25qUFJyUW95OWlhXzY3Y1IxWlZIT0V2ZE9TVUJzZGp5RDU4NGRKbXIyZXJtOVBGSVZyZERr?oc=5,2025-03-27 12:44:22,MSN,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxNXzdsVEh1NHZ0azdTT0FiYzYwYU1EV1FZcFdkenFsRFRMaGhQLWwzZDJKNWJDMlZZMmtMQVRQUkRUM2l6cEpNTm5DamprVXl1eGdYYzZnSEMwUmd2U3hLN25ONW9qTFl2VkNHWEJWUzVzQ1RGZnpuMnZTeW1xamZNQVJ0Sm93M1JkUWg3N0hHeDNER25qUFJyUW95OWlhXzY3Y1IxWlZIT0V2ZE9TVUJzZGp5RDU4NGRKbXIyZXJtOVBGSVZyZERr?oc=5"" target=""_blank"">Delhi records maximum temperature of 40.5, IMD reports</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
"Minister Duraimurugan says AIADMK delayed work to link rivers, Edappadi denies charge - MSN",https://news.google.com/rss/articles/CBMi4wJBVV95cUxQWXRvbVJ1THZmTWRIcnQzaE1hU3dBbm5YWlRBUzhFbDZfak8tYkhpNG84WUVDUTMzMWRvZjU2Q2ZsN0VTNGJ0Y0tuSEVSdnVFc0Y0WmFhcGRZWGNTeWdUR1RYTmc3UHdqb3k0NnpYd1lqNl9aUHVMd3M2a3VWdi1pLXZlOEdTV3p1S2RaMVlETTRZaGVIUmhJRkljSUhxbDM5TXUyTDJwQ25zNGphRkJSYmdDTy1NVDNpNTNNVEJ3TjRyTjljVmlWaUlWeFJzRXpJd2JjQllpVkNPRVlqbl92VWtOOElYWFJIZ3dsaGtDb2t1YVFicENvSnFFcVBvcHBfLUQwTWJpWmdFVDhfN29oZDhWWFJyYkdWS2duRlR5WFkzY0NCdXRJSGt3TXd1QVFUUkNYdVctanREVVdMU2Y5LVp3QjRVZFZBR0oxOENwV2F5VzltTGpta0JzWnJtbHdRYm9R?oc=5,2025-03-27 17:26:29,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4wJBVV95cUxQWXRvbVJ1THZmTWRIcnQzaE1hU3dBbm5YWlRBUzhFbDZfak8tYkhpNG84WUVDUTMzMWRvZjU2Q2ZsN0VTNGJ0Y0tuSEVSdnVFc0Y0WmFhcGRZWGNTeWdUR1RYTmc3UHdqb3k0NnpYd1lqNl9aUHVMd3M2a3VWdi1pLXZlOEdTV3p1S2RaMVlETTRZaGVIUmhJRkljSUhxbDM5TXUyTDJwQ25zNGphRkJSYmdDTy1NVDNpNTNNVEJ3TjRyTjljVmlWaUlWeFJzRXpJd2JjQllpVkNPRVlqbl92VWtOOElYWFJIZ3dsaGtDb2t1YVFicENvSnFFcVBvcHBfLUQwTWJpWmdFVDhfN29oZDhWWFJyYkdWS2duRlR5WFkzY0NCdXRJSGt3TXd1QVFUUkNYdVctanREVVdMU2Y5LVp3QjRVZFZBR0oxOENwV2F5VzltTGpta0JzWnJtbHdRYm9R?oc=5"" target=""_blank"">Minister Duraimurugan says AIADMK delayed work to link rivers, Edappadi denies charge</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
