Title,Link,Date,Source,Summary,Term,LanguageQueried
"UP Weather Update: यूपी के 12 ज‍िलों में तूफान 'मोंथा' का मंडराया साया, भारी बार‍िश का अलर्ट जारी - Jagran",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNOS03OWhtX09vekE0VXR1aXI3LWlnUHlxNmdHb2FROGQwbkRlbzVsclBsVzlTTF8yMFlGdUlsNUZYMHlfTmljdW01VGVDOGxub0JKU0VSWWxIXzVtWDdJaTBDMWVPTWNKQ0tYdnd5MmVIQXJOOVowQnBCWndlYno2MVhUaUctTjJUTTRDWG9BR2FmTk9sc2swakZPUVMwMW90cnhCQmp3aDBRSzdlMVJkZURMMUVybG9yMVN3Yy02VUY?oc=5,2025-10-31 07:00:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxNOS03OWhtX09vekE0VXR1aXI3LWlnUHlxNmdHb2FROGQwbkRlbzVsclBsVzlTTF8yMFlGdUlsNUZYMHlfTmljdW01VGVDOGxub0JKU0VSWWxIXzVtWDdJaTBDMWVPTWNKQ0tYdnd5MmVIQXJOOVowQnBCWndlYno2MVhUaUctTjJUTTRDWG9BR2FmTk9sc2swakZPUVMwMW90cnhCQmp3aDBRSzdlMVJkZURMMUVybG9yMVN3Yy02VUY?oc=5"" target=""_blank"">UP Weather Update: यूपी के 12 ज‍िलों में तूफान 'मोंथा' का मंडराया साया, भारी बार‍िश का अलर्ट जारी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Disaster,hi
"UP Weather: मोंथा तूफान से मॉनसून जैसी बारिश का अलर्ट, गिरेगा पारा; कल से बढ़ेगी ठंड - Hindustan",https://news.google.com/rss/articles/CBMi9gFBVV95cUxNcE1BRzFIQnZjUzNycjROSmgxLXVLQ0liT3h2STZ0WGItVDR0akR5WnFJZlhCYmd4WkQzbUhmQjRWY3lqb0ctak5vNEhIYTRZc0FFb3R6eHNPdl9sV3VTU2x4enlVUzF5dXhoUXVqcmtPS2NjcFliRXJpdmxibkprRER0eU1xd20tNFgxcTZoYWdrYmt5RTdmdVcyRlNNTk1jb2dGd19vcXJhYlBkNFgyTkF5TGlWT2pzVEJpczZLbldZNm1lTFJsbE1jSnlQelpyVDRJUDE5bTl3QVc0VEJlZDJqTGdhT3ZPMXBJTkdUaUJyWENHbkHSAfsBQVVfeXFMTl96YUJvVS1uYzdKcUdMX2dYWjN6c3ZXVmVDQUJEMTA1cUpRTDlQbk9YRzFVSnhiN3ItOElkbkFGNy1sak1RSVlGN1FDaGxqTE9oVXpjZ0lVWVJlWUdLWkp5NmVMMERhTGtKQTZOd01qVlJmWUZMS1ZlS2xLRF9TbHBTYlpjYUU2UUJpbE1YVzdHUUhoS1N0N3pZUG9TV3ZjSkhDeHl1bjVmMExHVHlJRnJmTDJlcUNtVDlvSF9aa2VTczJFMmx3ZjRXX0t3aXZqanVqVF9KdVVkaXplLVQxQ3JHOEV6N1EydDM1aHZrel9tbEo0bGxob0dkYTA?oc=5,2025-10-31 09:00:50,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxNcE1BRzFIQnZjUzNycjROSmgxLXVLQ0liT3h2STZ0WGItVDR0akR5WnFJZlhCYmd4WkQzbUhmQjRWY3lqb0ctak5vNEhIYTRZc0FFb3R6eHNPdl9sV3VTU2x4enlVUzF5dXhoUXVqcmtPS2NjcFliRXJpdmxibkprRER0eU1xd20tNFgxcTZoYWdrYmt5RTdmdVcyRlNNTk1jb2dGd19vcXJhYlBkNFgyTkF5TGlWT2pzVEJpczZLbldZNm1lTFJsbE1jSnlQelpyVDRJUDE5bTl3QVc0VEJlZDJqTGdhT3ZPMXBJTkdUaUJyWENHbkHSAfsBQVVfeXFMTl96YUJvVS1uYzdKcUdMX2dYWjN6c3ZXVmVDQUJEMTA1cUpRTDlQbk9YRzFVSnhiN3ItOElkbkFGNy1sak1RSVlGN1FDaGxqTE9oVXpjZ0lVWVJlWUdLWkp5NmVMMERhTGtKQTZOd01qVlJmWUZMS1ZlS2xLRF9TbHBTYlpjYUU2UUJpbE1YVzdHUUhoS1N0N3pZUG9TV3ZjSkhDeHl1bjVmMExHVHlJRnJmTDJlcUNtVDlvSF9aa2VTczJFMmx3ZjRXX0t3aXZqanVqVF9KdVVkaXplLVQxQ3JHOEV6N1EydDM1aHZrel9tbEo0bGxob0dkYTA?oc=5"" target=""_blank"">UP Weather: मोंथा तूफान से मॉनसून जैसी बारिश का अलर्ट, गिरेगा पारा; कल से बढ़ेगी ठंड</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"चक्रवात 'मोंथा' का प्रकोप, यूपी-बिहार समेत इन राज्यों में होगी तूफानी बारिश; दिल्ली में सांसों पर संकट - cyclone montha will cause heavy rain in these states including up and bihar weather news updates - Jagran",https://news.google.com/rss/articles/CBMi4AFBVV95cUxOZXNla192YnlGOFduVmFtR1BiNWtNMFdUSGo5VDVsanR2amNQZmdYdkR0TGVQYThtQWNFUy1tVWJXNnpRbzQydjJ3RkpNLUxJWlpVcjc0MkxuUkdDWWZDZUlTOF9UbHRGcGlRTVktQjBYaHVmTDBTMXd0V3JVZURCRWZaa09qN0ttbnkxNXEyS3lQU3pRYndDSG1HMjdVWVRLZjZGNzhHVDg4QnRySkpjRUx1TW1hZFlQYmdKeGVyVHdwOXRPMEdFWEctdW5fbDNRY3dxU19GakFqTC1KSjhjLQ?oc=5,2025-10-31 05:45:00,Jagran,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxOZXNla192YnlGOFduVmFtR1BiNWtNMFdUSGo5VDVsanR2amNQZmdYdkR0TGVQYThtQWNFUy1tVWJXNnpRbzQydjJ3RkpNLUxJWlpVcjc0MkxuUkdDWWZDZUlTOF9UbHRGcGlRTVktQjBYaHVmTDBTMXd0V3JVZURCRWZaa09qN0ttbnkxNXEyS3lQU3pRYndDSG1HMjdVWVRLZjZGNzhHVDg4QnRySkpjRUx1TW1hZFlQYmdKeGVyVHdwOXRPMEdFWEctdW5fbDNRY3dxU19GakFqTC1KSjhjLQ?oc=5"" target=""_blank"">चक्रवात 'मोंथा' का प्रकोप, यूपी-बिहार समेत इन राज्यों में होगी तूफानी बारिश; दिल्ली में सांसों पर संकट - cyclone montha will cause heavy rain in these states including up and bihar weather news updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran</font>",Disaster,hi
"Cyclonic Montha News: चक्रवाती तूफान मोंथा का कई राज्यों में कहर, 2 लोगों की मौत; लाखों एकड़ फसल भी तबाह - Amar Ujala",https://news.google.com/rss/articles/CBMipgFBVV95cUxNMXRvazV1T1NzcHEyeEdHXzc4blFLM2wyTWtFMmo2THpBaGlMZXU3SEpTSUpKdmFzYzdXZnVHaFE1dGJvMWJHc2pPODQ1QzRQRzNHWHE1RnBJZ3F1YXB5TG1UOENUS3NDZlRDNWowS1dhWVRxMnJBREU2RHJVNmduS29sRWk0VVdPS0ZpVm94TXR4MGVYb0MzVklQQzhqRXo5XzlzWmZR0gGrAUFVX3lxTE5uUDBrNGowRnRoWEs3SEVmYmtaempDWWRvVldtSUVkanN6STYxcWNSdDRqV1BNNEdfM0RvV2x3R3dlWDdSX0JvN3RpdlI1ZWZoWmo2cU83cWR4azhidGZCQ3h2VmJhUUxqXzMyRUlKMlg5NXk4NVBzTW5oRmpwVXJOR0lwbzh5T05LY0JKcWVSY3g0UUR6YkxTVnZPNFQxQW9hS0E1V1h5dFZYaw?oc=5,2025-10-30 18:46:16,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxNMXRvazV1T1NzcHEyeEdHXzc4blFLM2wyTWtFMmo2THpBaGlMZXU3SEpTSUpKdmFzYzdXZnVHaFE1dGJvMWJHc2pPODQ1QzRQRzNHWHE1RnBJZ3F1YXB5TG1UOENUS3NDZlRDNWowS1dhWVRxMnJBREU2RHJVNmduS29sRWk0VVdPS0ZpVm94TXR4MGVYb0MzVklQQzhqRXo5XzlzWmZR0gGrAUFVX3lxTE5uUDBrNGowRnRoWEs3SEVmYmtaempDWWRvVldtSUVkanN6STYxcWNSdDRqV1BNNEdfM0RvV2x3R3dlWDdSX0JvN3RpdlI1ZWZoWmo2cU83cWR4azhidGZCQ3h2VmJhUUxqXzMyRUlKMlg5NXk4NVBzTW5oRmpwVXJOR0lwbzh5T05LY0JKcWVSY3g0UUR6YkxTVnZPNFQxQW9hS0E1V1h5dFZYaw?oc=5"" target=""_blank"">Cyclonic Montha News: चक्रवाती तूफान मोंथा का कई राज्यों में कहर, 2 लोगों की मौत; लाखों एकड़ फसल भी तबाह</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
"Kanpur Weather: कानपुर में पिछले 24 घंटे से हो रही बारिश, जानें अगले तीन दिनों तक कैसा रहा मौसम - TV9 Bharatvarsh",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPc21ENVZ4dENVUzk3TnVtNnZlc1NVdEZPLUlmWnNPSkc0N1pmblNzNFZjNDV2T0FHMmd5dEV6cTctZUVtN1pwVXU0YUhfYTNfZkJ0bmtzOWRMc3M0VTV1X2RlY0c2MVBPV0hmd184dno0dGI1Zmc0Q2JvRHhUbFRJWjJwOGlpbm5SYVJTTktaM3R5UWtVbV9YUi1yZWtlcGl1YTVDM2Z0cDFGQUF3NDBIQ3JJdkNSUWdOeVFUZERjZXBRVWFuR2VtYThzeVpubjNJSjBUczV5RW5Hd1RVV1VaRXlESjNOQdIB6wFBVV95cUxNc2pZWTJmZkE1S3JUWmUxZGRSV0dlUkkwT0xmOHIteXdlRVJxNWg5NUNIU29kZnpOajFjQURVMml6amVtRGFvQlFydDhYRjhjNFkzdHNCS1A1eU9tTlBMNGUtYnFtaF8xZW8zTlJGSGpDTkptZnp6RS1EZHZ3YW9FQktrLV9SM2JERXY5NlRlMS1MaDh6UEItUHpFanNOQ092a3B5R0xNdHFhY2xtUmhxVUhhcm1kQ2lKR0xuYWkzX0RSYzlOYldKWkFIaW83ZWNOQm1wYS1BV0l3RS1DV2dfTC1lc2VlRk4yQU93?oc=5,2025-10-30 14:37:28,TV9 Bharatvarsh,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxPc21ENVZ4dENVUzk3TnVtNnZlc1NVdEZPLUlmWnNPSkc0N1pmblNzNFZjNDV2T0FHMmd5dEV6cTctZUVtN1pwVXU0YUhfYTNfZkJ0bmtzOWRMc3M0VTV1X2RlY0c2MVBPV0hmd184dno0dGI1Zmc0Q2JvRHhUbFRJWjJwOGlpbm5SYVJTTktaM3R5UWtVbV9YUi1yZWtlcGl1YTVDM2Z0cDFGQUF3NDBIQ3JJdkNSUWdOeVFUZERjZXBRVWFuR2VtYThzeVpubjNJSjBUczV5RW5Hd1RVV1VaRXlESjNOQdIB6wFBVV95cUxNc2pZWTJmZkE1S3JUWmUxZGRSV0dlUkkwT0xmOHIteXdlRVJxNWg5NUNIU29kZnpOajFjQURVMml6amVtRGFvQlFydDhYRjhjNFkzdHNCS1A1eU9tTlBMNGUtYnFtaF8xZW8zTlJGSGpDTkptZnp6RS1EZHZ3YW9FQktrLV9SM2JERXY5NlRlMS1MaDh6UEItUHpFanNOQ092a3B5R0xNdHFhY2xtUmhxVUhhcm1kQ2lKR0xuYWkzX0RSYzlOYldKWkFIaW83ZWNOQm1wYS1BV0l3RS1DV2dfTC1lc2VlRk4yQU93?oc=5"" target=""_blank"">Kanpur Weather: कानपुर में पिछले 24 घंटे से हो रही बारिश, जानें अगले तीन दिनों तक कैसा रहा मौसम</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TV9 Bharatvarsh</font>",Disaster,hi
"Weather Update: मोंथा तूफान से बिगड़े हालात, MP-CG सहित कई राज्यों में बारिश और ठंड का डबल वार - Nai Dunia",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQSk9OOTJxcWZ2UTdpQThva2RxajhHNG9lUXZHbkJVMEt4ems5VjdYQi11TUNtcDZFOVFjOUhhQ0R5Z2VIU2xMMzE2QVZhaElqbzNQQlFSejdYY3ltaXdaMDNGSVZMQVpHU3phbGNaYWluM1VuODhpalRFdTNmTFRaWThLQUQyS2ZiekdibWlDLXM2VzlpU1V4aXBRSTdNMGN1OVJuT2huWmFFR0pid25UUjM0LXplU3B3Rm5hTFhXMzBBT29Ed0I3b3pnTHp3TEpKNXBNWWtR?oc=5,2025-10-30 15:55:12,Nai Dunia,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQSk9OOTJxcWZ2UTdpQThva2RxajhHNG9lUXZHbkJVMEt4ems5VjdYQi11TUNtcDZFOVFjOUhhQ0R5Z2VIU2xMMzE2QVZhaElqbzNQQlFSejdYY3ltaXdaMDNGSVZMQVpHU3phbGNaYWluM1VuODhpalRFdTNmTFRaWThLQUQyS2ZiekdibWlDLXM2VzlpU1V4aXBRSTdNMGN1OVJuT2huWmFFR0pid25UUjM0LXplU3B3Rm5hTFhXMzBBT29Ed0I3b3pnTHp3TEpKNXBNWWtR?oc=5"" target=""_blank"">Weather Update: मोंथा तूफान से बिगड़े हालात, MP-CG सहित कई राज्यों में बारिश और ठंड का डबल वार</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nai Dunia</font>",Disaster,hi
"Montha Storm Alert: गंभीर चक्रवाती तूफान ‘मोंथा’ का तांडव, राजस्थान समेत कई प्रदेशों में झंझावात के साथ भारी बारिश की चेतावनी - Patrika News",https://news.google.com/rss/articles/CBMi3gFBVV95cUxNMm4xYzVSNGpqeW9ZRnpSNHdIX0VYbVphbGtnRjJFM0tDbTExcHdfZmJqY2V2dzFTVEZHN1lNOF9qQmUxUHJFSlhQdy1fclVxMHJVT3BJZGVhQkVVS3VsMU1IVFJvdDlSc1o0Snowd2tHUXF3UUg4ekh2WHUxa3ZKb3EwOUJ0YkdGOW1HYnFUQUpHZG5tZVFWRmw2WnJ5VWZkRU4zb1RGamVuLVRpc3JaM0hiektIYU5CWXYtQmppTEs3RWhFS3BRU0FrSzJwckpUZU12TDZUTmd0d3B0U3fSAeMBQVVfeXFMTzZRVTVzWWR4bmN0c08tWXg0RUJHRkprZndyc2xvUVFaSjlBUUpPRVpodWxLLXp6ek5JUzhCVy1FejE5MnRULXZnZTRHc3ZsVURrTHBSMEhrU3doVWp6OVphOTZmSlU2ejA0aVczeWkzaFJYVWxSc0VOQmxheVh0a2djQ0R1RmwyWU1uZFIzbVFVUVFCNHlCRGMxeEFscVBqNDZ3RHdpUDJBSU1VbVBHQmVXT0RnOXI5LXFKSl9ING44MGppbUpSbTQ0RXYtR2JrQ0Z4Y0RwWTR6RTZPWFhoNl83Mkk?oc=5,2025-10-30 19:44:29,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxNMm4xYzVSNGpqeW9ZRnpSNHdIX0VYbVphbGtnRjJFM0tDbTExcHdfZmJqY2V2dzFTVEZHN1lNOF9qQmUxUHJFSlhQdy1fclVxMHJVT3BJZGVhQkVVS3VsMU1IVFJvdDlSc1o0Snowd2tHUXF3UUg4ekh2WHUxa3ZKb3EwOUJ0YkdGOW1HYnFUQUpHZG5tZVFWRmw2WnJ5VWZkRU4zb1RGamVuLVRpc3JaM0hiektIYU5CWXYtQmppTEs3RWhFS3BRU0FrSzJwckpUZU12TDZUTmd0d3B0U3fSAeMBQVVfeXFMTzZRVTVzWWR4bmN0c08tWXg0RUJHRkprZndyc2xvUVFaSjlBUUpPRVpodWxLLXp6ek5JUzhCVy1FejE5MnRULXZnZTRHc3ZsVURrTHBSMEhrU3doVWp6OVphOTZmSlU2ejA0aVczeWkzaFJYVWxSc0VOQmxheVh0a2djQ0R1RmwyWU1uZFIzbVFVUVFCNHlCRGMxeEFscVBqNDZ3RHdpUDJBSU1VbVBHQmVXT0RnOXI5LXFKSl9ING44MGppbUpSbTQ0RXYtR2JrQ0Z4Y0RwWTR6RTZPWFhoNl83Mkk?oc=5"" target=""_blank"">Montha Storm Alert: गंभीर चक्रवाती तूफान ‘मोंथा’ का तांडव, राजस्थान समेत कई प्रदेशों में झंझावात के साथ भारी बारिश की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Disaster,hi
"Kal Ka Mausam : 30, 31 अक्टूबर को खतरनाक बारिश का पूर्वानुमान, आंधी-तूफान, बिजली से रहें सावधान! ठंडी-कोहरे का अलर्ट - Times Now Navbharat",https://news.google.com/rss/articles/CBMikAJBVV95cUxNam1XYVJjZExOVUpwcGlJdlFheUN6eG1scUlabDFTX1RKUFFTdGhqc3JDMFhaU1RYWl9JWE50ZXE5VzRxR0I2ekJ4bUM5MlZvNnkzemg4UEUzNTNJNFd3OUd2OV9XLTIwckhPaTE2RnNxVjJoZC1FSGM4WjVBZXlCTkxCR1hoZ1IwYmtrQ1FpeUY2cDZrZUdzZG1FVHA1OEkxOVpDSTlobEFXckh5Vm9Gczg1aUJXeTc2ZGYzQjdTN0JIZlBSbmxIQ2ZQU0lxNlhvOTRQaTAxVFlRRF9FMENVbk55MF84UzlmOFhFS1k5MS1pS3VHNVBPamhvQmlpTDFQajBrX2JRRV82cEYwd3dGZw?oc=5,2025-10-30 17:53:11,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxNam1XYVJjZExOVUpwcGlJdlFheUN6eG1scUlabDFTX1RKUFFTdGhqc3JDMFhaU1RYWl9JWE50ZXE5VzRxR0I2ekJ4bUM5MlZvNnkzemg4UEUzNTNJNFd3OUd2OV9XLTIwckhPaTE2RnNxVjJoZC1FSGM4WjVBZXlCTkxCR1hoZ1IwYmtrQ1FpeUY2cDZrZUdzZG1FVHA1OEkxOVpDSTlobEFXckh5Vm9Gczg1aUJXeTc2ZGYzQjdTN0JIZlBSbmxIQ2ZQU0lxNlhvOTRQaTAxVFlRRF9FMENVbk55MF84UzlmOFhFS1k5MS1pS3VHNVBPamhvQmlpTDFQajBrX2JRRV82cEYwd3dGZw?oc=5"" target=""_blank"">Kal Ka Mausam : 30, 31 अक्टूबर को खतरनाक बारिश का पूर्वानुमान, आंधी-तूफान, बिजली से रहें सावधान! ठंडी-कोहरे का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Disaster,hi
"पूरे दिन बिगड़ा रहा मौसम का मिजाज, आसामन में छाए रहे बादल - Hindustan",https://news.google.com/rss/articles/CBMi9AFBVV95cUxNV1BZRFZhU0F5Q1JZaGpPNUhLOGtlbUptamUyRHdwNWI0ZWVWVk90NzhxWEVjNDFRWFA0dVJGcUwtVUNtRmJhdUlPNDMwVFpRVThGRFFSNlJQSFd1RGxTUGM5QjVHaGF4R3JIdEg2YUpJeVVXZkptWXJyQ3VJaVRJM2NpZ214dzUxRkFFNHJ1WXhIa2ZaOUtfdTByOHdlV3lyZVpWTVNPakVLdnRMR1puVjJvc3NCV2NaTWdWVURBSHRUMldZSGEyVzcwNDNhNVdHYV9tNFRSdnpUNDFHTUV0TTRicm9tY3RMZ3QyVURVTGJfUXZF0gH0AUFVX3lxTE1XUFlEVmFTQXlDUlloak81SEs4a2VtSm1qZTJEd3A1YjRlZVZWT3Q3OHFYRWM0MVFYUDR1UkZxTC1VQ21GYmF1SU80MzBUWlFVOEZEUVI2UlBIV3VEbFNQYzlCNUdoYXhHckh0SDZhSkl5VVdmSm1ZcnJDdUlpVEkzY2lnbXh3NTFGQUU0cnVZeEhrZlo5S191MHI4d2VXeXJlWlZNU09qRUt2dExHWm5WMm9zc0JXY1pNZ1ZVREFIdFQyV1lIYTJXNzA0M2E1V0dhX200VFJ2elQ0MUdNRXRNNGJyb21jdExndDJVRFVMYl9RdkU?oc=5,2025-10-30 23:52:56,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxNV1BZRFZhU0F5Q1JZaGpPNUhLOGtlbUptamUyRHdwNWI0ZWVWVk90NzhxWEVjNDFRWFA0dVJGcUwtVUNtRmJhdUlPNDMwVFpRVThGRFFSNlJQSFd1RGxTUGM5QjVHaGF4R3JIdEg2YUpJeVVXZkptWXJyQ3VJaVRJM2NpZ214dzUxRkFFNHJ1WXhIa2ZaOUtfdTByOHdlV3lyZVpWTVNPakVLdnRMR1puVjJvc3NCV2NaTWdWVURBSHRUMldZSGEyVzcwNDNhNVdHYV9tNFRSdnpUNDFHTUV0TTRicm9tY3RMZ3QyVURVTGJfUXZF0gH0AUFVX3lxTE1XUFlEVmFTQXlDUlloak81SEs4a2VtSm1qZTJEd3A1YjRlZVZWT3Q3OHFYRWM0MVFYUDR1UkZxTC1VQ21GYmF1SU80MzBUWlFVOEZEUVI2UlBIV3VEbFNQYzlCNUdoYXhHckh0SDZhSkl5VVdmSm1ZcnJDdUlpVEkzY2lnbXh3NTFGQUU0cnVZeEhrZlo5S191MHI4d2VXeXJlWlZNU09qRUt2dExHWm5WMm9zc0JXY1pNZ1ZVREFIdFQyV1lIYTJXNzA0M2E1V0dhX200VFJ2elQ0MUdNRXRNNGJyb21jdExndDJVRFVMYl9RdkU?oc=5"" target=""_blank"">पूरे दिन बिगड़ा रहा मौसम का मिजाज, आसामन में छाए रहे बादल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"Cyclone Montha: तूफान 'मोंथा' को लेकर बड़ा अलर्ट, होगी भयंकर बारिश! | IMD | Rain | Top News - Amar Ujala",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPLV9ZR3NUaVp1QXFrTGZuTTBUZ1o0ZFF5Zm1qektYOWtMUU5uQXdIb01ualpySVBZNWxvVjBOeFJMR1VQM1BVaDNWQjY2NUthUjltV0xDLU9GT19VbWlBVkFQQ1pVYjhVTXVHR1JRNEJ2czdKZG5zcVBUekdLT2xldlF2WVpQQWtIc0txZGRXclZvUGJMamVkZEZpSklyT09zMGhqdGJRbFk1UmZkUmxJZk01RzFmUWk4OXpwdE5hX1NadkdZSXdDX1RicUhiXzZrVF9Cc3B6MVLSAd4BQVVfeXFMTUZSS2NpNHRLWmJrT1hIaXBNX0U1Q1YzbWRHNS1CaDdKUVA4YlFDRVV1a3hMQUVUN3lGLThMRTc5aGJSS0JNTG9ZcVlhemlGY0stQ0ZuX1l2WXZjZ0tkNWUwMUh6bVgyX05pc21VNGkxbklzTFIwdTFWZmZkQTBERmpSVGd6WjJHWmNXZnNZcmI2TTAyMjZ1aFo3VS0wVXNVb09sTDRXcjBFLU5fSE96UGdGcktWakthcVp3LTcwUllJdVh6QWdmRDQtWC1HMjgyaS0yTlhhd0hTQTBSNkVn?oc=5,2025-10-30 12:20:40,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPLV9ZR3NUaVp1QXFrTGZuTTBUZ1o0ZFF5Zm1qektYOWtMUU5uQXdIb01ualpySVBZNWxvVjBOeFJMR1VQM1BVaDNWQjY2NUthUjltV0xDLU9GT19VbWlBVkFQQ1pVYjhVTXVHR1JRNEJ2czdKZG5zcVBUekdLT2xldlF2WVpQQWtIc0txZGRXclZvUGJMamVkZEZpSklyT09zMGhqdGJRbFk1UmZkUmxJZk01RzFmUWk4OXpwdE5hX1NadkdZSXdDX1RicUhiXzZrVF9Cc3B6MVLSAd4BQVVfeXFMTUZSS2NpNHRLWmJrT1hIaXBNX0U1Q1YzbWRHNS1CaDdKUVA4YlFDRVV1a3hMQUVUN3lGLThMRTc5aGJSS0JNTG9ZcVlhemlGY0stQ0ZuX1l2WXZjZ0tkNWUwMUh6bVgyX05pc21VNGkxbklzTFIwdTFWZmZkQTBERmpSVGd6WjJHWmNXZnNZcmI2TTAyMjZ1aFo3VS0wVXNVb09sTDRXcjBFLU5fSE96UGdGcktWakthcVp3LTcwUllJdVh6QWdmRDQtWC1HMjgyaS0yTlhhd0hTQTBSNkVn?oc=5"" target=""_blank"">Cyclone Montha: तूफान 'मोंथा' को लेकर बड़ा अलर्ट, होगी भयंकर बारिश! | IMD | Rain | Top News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
