Title,Link,Date,Source,Summary,Place
"Weather updates: Delhi receives rain, IMD predicts more showers, sounds alert for Himachal, UP - Hindustan Times",https://news.google.com/rss/articles/CBMi_wFBVV95cUxNQy0zci1neUpwOEtqei1EdkFIN2ZISkJaYkdWWUQ4VEdKU2dWWGFCQ1dtVmN3c2phQ3JiSWMwY0xHTFMxYjYzd2FLUFpIaGpFQUgyTTd4NFpoeVdCMDY1VzV3ak81UU1WZUtLZV9nUXVCc00yZzZBRjBBb3oyQ2pTUlUta1NiTnhyS2hoeHhiOXFKQmRFUlNWYWt0Z1YzZWlncWluUG9xWnBSN01OV0VLZlFlZVcwZ0h3YThQUFdiM25PbWZaUWhRUmZaZm90d0Q1TENXU3dLWE1ReXZXSUdYeTVKTkdPTHlIX2t1SFRFLUt0U2dlS2NHT09SRkZ4bzjSAYQCQVVfeXFMT3V3MXlkbDhsRG0tT1NxVWhxdTBZdjBQNFBSVDNwLWN0OXFPUENhNU9nNHU2QUZJa2xlcGhBVks1Umk4WTRoMEt3eEJYdklBR1F0Qm01VDFhR3llakt0R2Vvck9FRUdWb0M1UDZLOFlyWWdRWURnaHZiQkVWZ1Zlc2IxVGVJUWJDZ01LeTdqZjBGRGZLWGxuOHBnRExsN0JrTldVYnZURmxWWGtxOHAwOU5obU5qU0N3VHk1SVd0MHNZaE1Ca01NRkktNzlLWWdPdEtnUUttOXVQWXpoMjJjLWljYThxV0lkS1Z6LTlnLXd6aF9aRHJMekFYdElXU25ib2haUUg?oc=5,2024-08-07 10:56:18,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxNQy0zci1neUpwOEtqei1EdkFIN2ZISkJaYkdWWUQ4VEdKU2dWWGFCQ1dtVmN3c2phQ3JiSWMwY0xHTFMxYjYzd2FLUFpIaGpFQUgyTTd4NFpoeVdCMDY1VzV3ak81UU1WZUtLZV9nUXVCc00yZzZBRjBBb3oyQ2pTUlUta1NiTnhyS2hoeHhiOXFKQmRFUlNWYWt0Z1YzZWlncWluUG9xWnBSN01OV0VLZlFlZVcwZ0h3YThQUFdiM25PbWZaUWhRUmZaZm90d0Q1TENXU3dLWE1ReXZXSUdYeTVKTkdPTHlIX2t1SFRFLUt0U2dlS2NHT09SRkZ4bzjSAYQCQVVfeXFMT3V3MXlkbDhsRG0tT1NxVWhxdTBZdjBQNFBSVDNwLWN0OXFPUENhNU9nNHU2QUZJa2xlcGhBVks1Umk4WTRoMEt3eEJYdklBR1F0Qm01VDFhR3llakt0R2Vvck9FRUdWb0M1UDZLOFlyWWdRWURnaHZiQkVWZ1Zlc2IxVGVJUWJDZ01LeTdqZjBGRGZLWGxuOHBnRExsN0JrTldVYnZURmxWWGtxOHAwOU5obU5qU0N3VHk1SVd0MHNZaE1Ca01NRkktNzlLWWdPdEtnUUttOXVQWXpoMjJjLWljYThxV0lkS1Z6LTlnLXd6aF9aRHJMekFYdElXU25ib2haUUg?oc=5"" target=""_blank"">Weather updates: Delhi receives rain, IMD predicts more showers, sounds alert for Himachal, UP</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Monsoon Update: IMD issues orange alert for nine states, heavy rainfall warning for Uttarakhand and Himachal Pradesh - The Financial Express",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPa1F6RmZOZUFUUzJSRXNzcW9aTk5zM29YMl9uWjJEZFozUXliVXlsNW5UMFZLVGphSWNpOVZISFhHaEYwc0h6dnVjcENoRndMQi1pZHNkaWJDcFlaanhEOTFINXA3bElrQVdlMDhfT3AxbmJIQmNmeHAxQkF4V1h4bXpKdmxnbUFWRnRna3JxVE90U0FjZV9vck5icXA2UzdQSFpZcEw4ZmkyRDhVeFlvRWoxY3pqdlgzUHBWMmVsUzVzbFZMOFIweGdGd3drTURHeExxRnljakV4R3R5ZDVHbHdEVXdieEV0S0t3TGxuaE13M2puRlRFeUJRSdIBggJBVV95cUxOT3I5S1pCWGFlaWpKY3pfWkFJQzBlclZvcldpaG9HbUVTMS0tbkttTVVHVHFaYy1qb0NBNHVTRzIxcG14dkxieUxCaHJUc1daRXVLeHpIOEdJdmFQX3R6UTBlbUZfQmFTUzdMV0xZOERYZTIxVC1TSEloOGJXeHk4UTFNUWFwcWU0WmNiS3BnSG1BdENCeE10TUY0dlZsX3h3NTdQb2lNZjdxWGRVN2Z2UE93TEY2LU1BQWRsaHd0YlZySWNUTXF3YlhIX3pNS09kVkhuMVRtVkhneDN1dnBQZFpOaVNQWjQtUWctd1NTQWpiN3dYaVY2T19Dc0paaVdRanc?oc=5,2024-08-07 09:01:13,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPa1F6RmZOZUFUUzJSRXNzcW9aTk5zM29YMl9uWjJEZFozUXliVXlsNW5UMFZLVGphSWNpOVZISFhHaEYwc0h6dnVjcENoRndMQi1pZHNkaWJDcFlaanhEOTFINXA3bElrQVdlMDhfT3AxbmJIQmNmeHAxQkF4V1h4bXpKdmxnbUFWRnRna3JxVE90U0FjZV9vck5icXA2UzdQSFpZcEw4ZmkyRDhVeFlvRWoxY3pqdlgzUHBWMmVsUzVzbFZMOFIweGdGd3drTURHeExxRnljakV4R3R5ZDVHbHdEVXdieEV0S0t3TGxuaE13M2puRlRFeUJRSdIBggJBVV95cUxOT3I5S1pCWGFlaWpKY3pfWkFJQzBlclZvcldpaG9HbUVTMS0tbkttTVVHVHFaYy1qb0NBNHVTRzIxcG14dkxieUxCaHJUc1daRXVLeHpIOEdJdmFQX3R6UTBlbUZfQmFTUzdMV0xZOERYZTIxVC1TSEloOGJXeHk4UTFNUWFwcWU0WmNiS3BnSG1BdENCeE10TUY0dlZsX3h3NTdQb2lNZjdxWGRVN2Z2UE93TEY2LU1BQWRsaHd0YlZySWNUTXF3YlhIX3pNS09kVkhuMVRtVkhneDN1dnBQZFpOaVNQWjQtUWctd1NTQWpiN3dYaVY2T19Dc0paaVdRanc?oc=5"" target=""_blank"">Monsoon Update: IMD issues orange alert for nine states, heavy rainfall warning for Uttarakhand and Himachal Pradesh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
India logs extreme humid heat even during monsoon - Hindustan Times,https://news.google.com/rss/articles/CBMisgFBVV95cUxOc0c5cnV2MHByX1RLUE1UOUU2MFBCM01aN1ZTZGpkbjR5cUJ3Y1Y0UDZSZzZoZkhpNUwwVm1IdkFWbHM1dnF5aWlBekxxWkFLRVpTX1ozR1hZWnNUVlEyUllfZ1FabTVuWnlJa1ZvZm56TmdRdVcxNXpTdGU0Z0lWV1pzTVgtOF9IVmZoSk9raFNXZWF2cVluS3JaREc4Sm9TbVpvRU10LXN5X2xXR3R6Z3FB0gG3AUFVX3lxTE9HSmNINzF3a0xRZFZJUndNTlQ5VlAwLTVTeGxvbXZRY0VmVklnZzREUFhoTnhFOVlJVDlhdFZIdEhyV1kzZjJJUkpYSmtsbHdZWmdxc3VPT3BUWi12Vzh0Mk5qRnBMclNkNFdVNzMzcVN0Mmt2RVlGOS1pQ0I0NHNwdnpKN2tiaXdYWnc4cFFEWVVMOWI2RjdUM2dEcVRuSWhHeWhQeVNIM1hiRU1KM09BT09tb0hDaw?oc=5,2024-08-07 00:13:19,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxOc0c5cnV2MHByX1RLUE1UOUU2MFBCM01aN1ZTZGpkbjR5cUJ3Y1Y0UDZSZzZoZkhpNUwwVm1IdkFWbHM1dnF5aWlBekxxWkFLRVpTX1ozR1hZWnNUVlEyUllfZ1FabTVuWnlJa1ZvZm56TmdRdVcxNXpTdGU0Z0lWV1pzTVgtOF9IVmZoSk9raFNXZWF2cVluS3JaREc4Sm9TbVpvRU10LXN5X2xXR3R6Z3FB0gG3AUFVX3lxTE9HSmNINzF3a0xRZFZJUndNTlQ5VlAwLTVTeGxvbXZRY0VmVklnZzREUFhoTnhFOVlJVDlhdFZIdEhyV1kzZjJJUkpYSmtsbHdZWmdxc3VPT3BUWi12Vzh0Mk5qRnBMclNkNFdVNzMzcVN0Mmt2RVlGOS1pQ0I0NHNwdnpKN2tiaXdYWnc4cFFEWVVMOWI2RjdUM2dEcVRuSWhHeWhQeVNIM1hiRU1KM09BT09tb0hDaw?oc=5"" target=""_blank"">India logs extreme humid heat even during monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Delhi rain: Rain forecast in capital tomorrow, IMD issues ‘yellow alert’ - Hindustan Times",https://news.google.com/rss/articles/CBMiywFBVV95cUxOY0pLQkJzbUpIbFR0M1ZIZlJjWUI2cFNVWTJTYjB3YjYxUk00eVdIelBZOWRIOFM3N09wbm5qRldZejcxZWR1SU5WU2N1ZHQtQzF6bU5faWh4c1hpNDM3OVBZa094cWI5aVpVU3ZCZ3NMUHJkSDFHbWRIdVB3MVV3X1I0NkZhX285U0FOdDlNOG1oOWpSN0FpM3Y1cnkxUUhEZjRjY3lnSUJlUExxc2dGYzVuc2dRWFpKa0daV0V2d0FWWVl4VDlHS05UVdIB0AFBVV95cUxOamVIMzdWd2FTSTdEZ0RqRU11UzA5VWJuRmpGVWl0dVJNUEdIVjZGNFZfWm50SENCdkMtb2lVaXRiRkFzZ1FRNzdFaTlhZ3FMOUk5SjRhVUxVRXNJSmRSaDRVYnNLcFcwNEE5ZS1PWnV1YTRPMVRUYzg2aGp4Wm9NME5mOS1fTThQSThzYlQ4RlZfYllsY3RpWm1vQ1NObUVxUXBkMGM1bjlmaUgzVEttSHBGNlMzYWp3T19HWHgxbjhyaG1VVVdhb3l2SjhUYmNP?oc=5,2024-08-06 22:15:27,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxOY0pLQkJzbUpIbFR0M1ZIZlJjWUI2cFNVWTJTYjB3YjYxUk00eVdIelBZOWRIOFM3N09wbm5qRldZejcxZWR1SU5WU2N1ZHQtQzF6bU5faWh4c1hpNDM3OVBZa094cWI5aVpVU3ZCZ3NMUHJkSDFHbWRIdVB3MVV3X1I0NkZhX285U0FOdDlNOG1oOWpSN0FpM3Y1cnkxUUhEZjRjY3lnSUJlUExxc2dGYzVuc2dRWFpKa0daV0V2d0FWWVl4VDlHS05UVdIB0AFBVV95cUxOamVIMzdWd2FTSTdEZ0RqRU11UzA5VWJuRmpGVWl0dVJNUEdIVjZGNFZfWm50SENCdkMtb2lVaXRiRkFzZ1FRNzdFaTlhZ3FMOUk5SjRhVUxVRXNJSmRSaDRVYnNLcFcwNEE5ZS1PWnV1YTRPMVRUYzg2aGp4Wm9NME5mOS1fTThQSThzYlQ4RlZfYllsY3RpWm1vQ1NObUVxUXBkMGM1bjlmaUgzVEttSHBGNlMzYWp3T19HWHgxbjhyaG1VVVdhb3l2SjhUYmNP?oc=5"" target=""_blank"">Delhi rain: Rain forecast in capital tomorrow, IMD issues ‘yellow alert’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
How climate change has exposed India to extreme heat and rain - India Today,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSVRpdFpWcHRmbzVhcjVLNlh5UnVyQzcyWHF5eEMzQmEzVG10NG04YVpFRGFFZF9iNXQzal9UY25oTTJMcU9iNENFcU1ubENTUjdWMnpjRzR2UFFMbjFXekFfUkhESmtQbWVIX0pCa1ZJQnhHWUZLYWJabEhhbzhfbEJDRVVwVjhHLUEwcUVLSEpHNVVuWFdEUjdFcVMzdmdRU2J5VjNmeURZdWczS2RMcUFldm5idFVpZkowZ2FDUWJuUdIBxwFBVV95cUxNa1ZrLVJhVDQ0UEJrLUhnM182YzlxdzlpRU9CZnJZZ25uSjkzQUZMUlk3WW16SUtvMUZtdWhZd2FqUURsNWdrS0d3ZV9hc2RRd1RrdjdCZHhLVm1Nb3hjMXhqOFJnY05aUnplR2FtdUJTR2ZwSTNCYnJHM3JNeHg1cWlHYVQ4czVwc3dfLXVwX1pHNVgtOXNoQS04d3BnWmhDenBnSzd6U00wUzRhNktvc2pORDM4M1pqX1hrYWFjYkVSUXNvYUJ3?oc=5,2024-08-06 17:02:13,India Today,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxPSVRpdFpWcHRmbzVhcjVLNlh5UnVyQzcyWHF5eEMzQmEzVG10NG04YVpFRGFFZF9iNXQzal9UY25oTTJMcU9iNENFcU1ubENTUjdWMnpjRzR2UFFMbjFXekFfUkhESmtQbWVIX0pCa1ZJQnhHWUZLYWJabEhhbzhfbEJDRVVwVjhHLUEwcUVLSEpHNVVuWFdEUjdFcVMzdmdRU2J5VjNmeURZdWczS2RMcUFldm5idFVpZkowZ2FDUWJuUdIBxwFBVV95cUxNa1ZrLVJhVDQ0UEJrLUhnM182YzlxdzlpRU9CZnJZZ25uSjkzQUZMUlk3WW16SUtvMUZtdWhZd2FqUURsNWdrS0d3ZV9hc2RRd1RrdjdCZHhLVm1Nb3hjMXhqOFJnY05aUnplR2FtdUJTR2ZwSTNCYnJHM3JNeHg1cWlHYVQ4czVwc3dfLXVwX1pHNVgtOXNoQS04d3BnWmhDenBnSzd6U00wUzRhNktvc2pORDM4M1pqX1hrYWFjYkVSUXNvYUJ3?oc=5"" target=""_blank"">How climate change has exposed India to extreme heat and rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
'Most Indian districts witnessing extremely humid heat even during monsoon' - Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQWUFaWGNaNG8yaFlWSjNnVlZaZTVqNkl3TDB2X0VNa09uaUFlY1lYWnBlanRQckFjNTRaYk92dlY1cEhRenJucU8xQ1MtU3M4b21BTjkzR0ZTeXJRVXFUajdfZXpQZDBfRFUzamdCZTlqZmZCdnNLWUdBNmRwTlJRbC02bHg0aHo4VTdJRmNMY09PVW5RdXM5aTd6em4xNzNHOWtJZzVKYWtrUWd2TEM3NlZKbF9wc096Zi1SelhoVmZlTmhHUzlUWHBSMFZyWDRmLXR2YdIB2gFBVV95cUxQQjJqZy1nQmE4WW9HR2JUZndEQll4eUlHX1NMeUFldV9nMko0eHBGUjJ5Yk1ELVI4WTNxb2hmLWxyZEVUbnJObG5Va3VWcWZHRk1oY1lBaHhXZ0JHZDFwZnY4Y1FCaTQ0c0l3R01XUjlHcmw1Rmoxcm9jdFhjTEYwMjY5YU5pOUpYMUNuVll0eGN6eHpHSktfdWdCWVJqVFRtY2RvWENUMVhSZm45dTBaOW9XMzVTS05YZU03bHZaS2RWMHE0d0VxN2w3WkhON3JxWWMzQjBvWEFMdw?oc=5,2024-08-06 17:39:21,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQWUFaWGNaNG8yaFlWSjNnVlZaZTVqNkl3TDB2X0VNa09uaUFlY1lYWnBlanRQckFjNTRaYk92dlY1cEhRenJucU8xQ1MtU3M4b21BTjkzR0ZTeXJRVXFUajdfZXpQZDBfRFUzamdCZTlqZmZCdnNLWUdBNmRwTlJRbC02bHg0aHo4VTdJRmNMY09PVW5RdXM5aTd6em4xNzNHOWtJZzVKYWtrUWd2TEM3NlZKbF9wc096Zi1SelhoVmZlTmhHUzlUWHBSMFZyWDRmLXR2YdIB2gFBVV95cUxQQjJqZy1nQmE4WW9HR2JUZndEQll4eUlHX1NMeUFldV9nMko0eHBGUjJ5Yk1ELVI4WTNxb2hmLWxyZEVUbnJObG5Va3VWcWZHRk1oY1lBaHhXZ0JHZDFwZnY4Y1FCaTQ0c0l3R01XUjlHcmw1Rmoxcm9jdFhjTEYwMjY5YU5pOUpYMUNuVll0eGN6eHpHSktfdWdCWVJqVFRtY2RvWENUMVhSZm45dTBaOW9XMzVTS05YZU03bHZaS2RWMHE0d0VxN2w3WkhON3JxWWMzQjBvWEFMdw?oc=5"" target=""_blank"">'Most Indian districts witnessing extremely humid heat even during monsoon'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Light to moderate rain likely over country - Bangladesh Sangbad Sangstha (BSS),https://news.google.com/rss/articles/CBMiS0FVX3lxTE1HUERERWtVNno5clNyTWlnZjBUYXNfM193ZlZmUTR0Zmt1T1kzQl9MSE1OTHhLcldYTzV2S0dEWW5uSVFEOWFXOWRfMA?oc=5,2024-08-06 13:31:32,Bangladesh Sangbad Sangstha (BSS),"<a href=""https://news.google.com/rss/articles/CBMiS0FVX3lxTE1HUERERWtVNno5clNyTWlnZjBUYXNfM193ZlZmUTR0Zmt1T1kzQl9MSE1OTHhLcldYTzV2S0dEWW5uSVFEOWFXOWRfMA?oc=5"" target=""_blank"">Light to moderate rain likely over country</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bangladesh Sangbad Sangstha (BSS)</font>",
"Happy Hariyali Teej 2024: 100+ Best wishes, images, quotes, messages, greetings, WhatsApp, Facebook and Insta - Indiatimes.com",https://news.google.com/rss/articles/CBMigAJBVV95cUxNdUIwWmZfS0FJWWtocXJaVFljLTBJUlRiS0xUbnhTTEtlbVJkVElvSHJTUXdmTE11SUtWYzJ0dUNHZG1WeGF1QUl4cTI5Z3dINEUxVzhoYklqRkdyX3NvNzY3RFRoYXdvWVQ4ci1VRjNFeUs0RzZsZDZJRmI0MGRNWTBudHZsdlZnOF9tWjNJazhkTHFyQ3JXTEIwaWtEc2lKeEhoWWhDdGNQYUZmenZiUUJRYzBwZDlEUl9PcFR5MGRWc2EzemVOVjVuc3hSSkZGYldLQ2N4VExGbHJLdEcwcHY3N0VINm5FaW42dmtFQUlTSEdlQzUxLVFKMWpVUDdW0gGGAkFVX3lxTE9tRmUtTklMY29mN2Fnb3N5OFFpT0xaNEJZQWpCMEZNNW91T1h4MzNGZ2ZwMGU1bTVlLXRmVXlNMVNCT0pSU0hDV0dUWEdQODhEZGN4dTFTSG0zcmVPcjU5T2RpMU9MT0NzcHUxV0ctU2R0ajd4ekVkUC1hTV85aHpTRFVnQTV2UDBwZjhYeXp2eFVhTmJjWWRXeVh0eXZqTTBjbXRKSnJNM2paRGFwRUQ2QXBoWXVIaERaT3BGQ1dTazFKaDJ3NXVPLXowV05Vc0tlRjY4dW5zNGF2NG5QYkxYbE1tcTVtVG01TjRZckVfeHJ4NkpDTDlVRGZMNUdxVWxxc2FvRXc?oc=5,2024-08-06 18:06:16,Indiatimes.com,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxNdUIwWmZfS0FJWWtocXJaVFljLTBJUlRiS0xUbnhTTEtlbVJkVElvSHJTUXdmTE11SUtWYzJ0dUNHZG1WeGF1QUl4cTI5Z3dINEUxVzhoYklqRkdyX3NvNzY3RFRoYXdvWVQ4ci1VRjNFeUs0RzZsZDZJRmI0MGRNWTBudHZsdlZnOF9tWjNJazhkTHFyQ3JXTEIwaWtEc2lKeEhoWWhDdGNQYUZmenZiUUJRYzBwZDlEUl9PcFR5MGRWc2EzemVOVjVuc3hSSkZGYldLQ2N4VExGbHJLdEcwcHY3N0VINm5FaW42dmtFQUlTSEdlQzUxLVFKMWpVUDdW0gGGAkFVX3lxTE9tRmUtTklMY29mN2Fnb3N5OFFpT0xaNEJZQWpCMEZNNW91T1h4MzNGZ2ZwMGU1bTVlLXRmVXlNMVNCT0pSU0hDV0dUWEdQODhEZGN4dTFTSG0zcmVPcjU5T2RpMU9MT0NzcHUxV0ctU2R0ajd4ekVkUC1hTV85aHpTRFVnQTV2UDBwZjhYeXp2eFVhTmJjWWRXeVh0eXZqTTBjbXRKSnJNM2paRGFwRUQ2QXBoWXVIaERaT3BGQ1dTazFKaDJ3NXVPLXowV05Vc0tlRjY4dW5zNGF2NG5QYkxYbE1tcTVtVG01TjRZckVfeHJ4NkpDTDlVRGZMNUdxVWxxc2FvRXc?oc=5"" target=""_blank"">Happy Hariyali Teej 2024: 100+ Best wishes, images, quotes, messages, greetings, WhatsApp, Facebook and Insta</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indiatimes.com</font>",
Most Indian districts recording extremely humid heat during monsoon: Report - Hindustan Times,https://news.google.com/rss/articles/CBMi0AFBVV95cUxObE1xdXJ1Wi1meUwyRmM3NDZrLTFxRUJVV1NTdmc4MnRTYWdkb19CN2FtS0VDYWpHSGdibkNpOTV0MzU3X2NnRDJSLWZLNUx1X2JwSzF6SmYyS3NrNUJxcnZCMWFycEtLbDhvekRpWVVURzFIWnBaZUNvQmFrTHpWX1pPTTdyWGRYTXBDX1BaSWYtbm9CQ2V3eUFVZy0tVWtIbXBtYVE2R1ZRZWF1RllzZlRXQ0VIUS1TeWVpMHBiUkllVHpsRFMtTDNFcWdvb09Y?oc=5,2024-08-06 15:00:58,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxObE1xdXJ1Wi1meUwyRmM3NDZrLTFxRUJVV1NTdmc4MnRTYWdkb19CN2FtS0VDYWpHSGdibkNpOTV0MzU3X2NnRDJSLWZLNUx1X2JwSzF6SmYyS3NrNUJxcnZCMWFycEtLbDhvekRpWVVURzFIWnBaZUNvQmFrTHpWX1pPTTdyWGRYTXBDX1BaSWYtbm9CQ2V3eUFVZy0tVWtIbXBtYVE2R1ZRZWF1RllzZlRXQ0VIUS1TeWVpMHBiUkllVHpsRFMtTDNFcWdvb09Y?oc=5"" target=""_blank"">Most Indian districts recording extremely humid heat during monsoon: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Delhiites beware! Rains are returning, IMD alert, know the condition of UP-Bihar - AnyTV News",https://news.google.com/rss/articles/CBMisgFBVV95cUxQaGVYU1RaZktoZDFwc1lqUGp2aEFrbGdHb3hjR0FIUV9ROS1UeEZIRFhxMm13QkFLSWFtSzBsQ3MyUUVOcndfTWRCaWpHbzhzMVY5dm5pcXNlUlpIOEdSY0haYVBSdkFyNl9ZQjJPNUJ5VmdwaGxZMXd6bkljdXNaT0hCazFQN01JQVVEZ2tEWjVmSFRTeGJmUWVQanhxQVJIOG9oY254WnlyWXIxOHdvOFZB0gG3AUFVX3lxTFBRSnNHQmEyWU1vSzdxNnJZSFRfeDYteU9hT09zM1ZjbkIwNS1RUXlSb0xhWktXQzFjcVJGQldpLVlMb1I0UzI1VUx4Wnp4RlJhRkVCWFJ4THlYRUxwb21iUDg4bTJGMFNnOXJ4SmNSSDVSWnljOTZ4bHFucXBlX1hnOFl4VEp2UDFzcnoxY1VkWGtnLUtkdnlEdmNwa2F4T1A3M1NCT0YyZWUwSlVlX1VZbDZ2RmQ1Zw?oc=5,2024-08-07 07:02:08,AnyTV News,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQaGVYU1RaZktoZDFwc1lqUGp2aEFrbGdHb3hjR0FIUV9ROS1UeEZIRFhxMm13QkFLSWFtSzBsQ3MyUUVOcndfTWRCaWpHbzhzMVY5dm5pcXNlUlpIOEdSY0haYVBSdkFyNl9ZQjJPNUJ5VmdwaGxZMXd6bkljdXNaT0hCazFQN01JQVVEZ2tEWjVmSFRTeGJmUWVQanhxQVJIOG9oY254WnlyWXIxOHdvOFZB0gG3AUFVX3lxTFBRSnNHQmEyWU1vSzdxNnJZSFRfeDYteU9hT09zM1ZjbkIwNS1RUXlSb0xhWktXQzFjcVJGQldpLVlMb1I0UzI1VUx4Wnp4RlJhRkVCWFJ4THlYRUxwb21iUDg4bTJGMFNnOXJ4SmNSSDVSWnljOTZ4bHFucXBlX1hnOFl4VEp2UDFzcnoxY1VkWGtnLUtkdnlEdmNwa2F4T1A3M1NCT0YyZWUwSlVlX1VZbDZ2RmQ1Zw?oc=5"" target=""_blank"">Delhiites beware! Rains are returning, IMD alert, know the condition of UP-Bihar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AnyTV News</font>",
