Title,Link,Date,Source,Summary,Place
"Kolkata Weather and AQI Today: Warm start at 24.48 °C, check weather forecast for September 15, 2024 - MSN",https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTDItaG5aOS02RDF0SlFUU1NyR3hGY0dBMThmcEo0YXRyOXMzSGFVVVllRlZfTWxVUHMteG9laVlxVElVZ3pWRHFWZVFXb3Q1Y012V2hRRDlGNy1wWGNBbVAzaEE1bUVtaU9HZ0hmNkt3T0ZERGtzeVZnMF9pOEpPOWhqSEZsVnVfU2x0c004MUtURVRJalhMb1ZGT1dmM2I5RE92V1N1MlZHVXpqSE5tMjh2S1M2Mlp2UE43WmMtaDJENTdFRHNDOEZpWl8xYkVjeXVfZTRIT0lGR2o3M0E?oc=5,2024-09-15 07:12:51,MSN,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTDItaG5aOS02RDF0SlFUU1NyR3hGY0dBMThmcEo0YXRyOXMzSGFVVVllRlZfTWxVUHMteG9laVlxVElVZ3pWRHFWZVFXb3Q1Y012V2hRRDlGNy1wWGNBbVAzaEE1bUVtaU9HZ0hmNkt3T0ZERGtzeVZnMF9pOEpPOWhqSEZsVnVfU2x0c004MUtURVRJalhMb1ZGT1dmM2I5RE92V1N1MlZHVXpqSE5tMjh2S1M2Mlp2UE43WmMtaDJENTdFRHNDOEZpWl8xYkVjeXVfZTRIT0lGR2o3M0E?oc=5"" target=""_blank"">Kolkata Weather and AQI Today: Warm start at 24.48 °C, check weather forecast for September 15, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"IMD issues red alert for heavy rainfall in West Bengal, Odisha, and more states; Check full weather alert - The Economic Times",https://news.google.com/rss/articles/CBMigAJBVV95cUxNMjktVVdKdHJEbkhzbDJDODVCUmlGZEdXN0JBZmRSdVNQM01oR0l2dVo5NXJMMjNfakVhVjl5Qm9ybjBVcmY5dExialAyQ3NjdTljUkdycTI3SVNlNmpQcVQ4bU5fVHdldXhQS080SkxkcjQ2OTUxWERfQTl6cklRRklSaUVfc3dVVEU4NlpHNUdMQ3dDNTRzMlB0WGFUdG5sSWpRd2dqSndzTzFSMDhITHFhN1hIVTh6U2EyWllmOVBJRnItVHhWY201VUdzTkgyVTdwNklQU2p3WHpuNmdjYkNzTXhVQ0YwS28yWHFES1FNMm1pakVfV2c1ZVlWalNu0gGAAkFVX3lxTE0yOS1VV0p0ckRuSHNsMkM4NUJSaUZkR1c3QkFmZFJ1U1AzTWhHSXZ1Wjk1ckwyM19qRWFWOXlCb3JuMFVyZjl0TGJqUDJDc2N1OWNSR3JxMjdJU2U2alBxVDhtTl9Ud2V1eFBLTzRKTGRyNDY5NTFYRF9BOXpySVFGSVJpRV9zd1VURTg2Wkc1R0xDd0M1NHMyUHRYYVR0bmxJalF3Z2pKd3NPMVIwOEhMcWE3WEhVOHpTYTJaWWY5UElGci1UeFZjbTVVR3NOSDJVN3A2SVBTandYem42Z2NiQ3NNeFVDRjBLbzJYcURLUU0ybWlqRV9XZzVlWVZqU24?oc=5,2024-09-15 08:46:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxNMjktVVdKdHJEbkhzbDJDODVCUmlGZEdXN0JBZmRSdVNQM01oR0l2dVo5NXJMMjNfakVhVjl5Qm9ybjBVcmY5dExialAyQ3NjdTljUkdycTI3SVNlNmpQcVQ4bU5fVHdldXhQS080SkxkcjQ2OTUxWERfQTl6cklRRklSaUVfc3dVVEU4NlpHNUdMQ3dDNTRzMlB0WGFUdG5sSWpRd2dqSndzTzFSMDhITHFhN1hIVTh6U2EyWllmOVBJRnItVHhWY201VUdzTkgyVTdwNklQU2p3WHpuNmdjYkNzTXhVQ0YwS28yWHFES1FNMm1pakVfV2c1ZVlWalNu0gGAAkFVX3lxTE0yOS1VV0p0ckRuSHNsMkM4NUJSaUZkR1c3QkFmZFJ1U1AzTWhHSXZ1Wjk1ckwyM19qRWFWOXlCb3JuMFVyZjl0TGJqUDJDc2N1OWNSR3JxMjdJU2U2alBxVDhtTl9Ud2V1eFBLTzRKTGRyNDY5NTFYRF9BOXpySVFGSVJpRV9zd1VURTg2Wkc1R0xDd0M1NHMyUHRYYVR0bmxJalF3Z2pKd3NPMVIwOEhMcWE3WEhVOHpTYTJaWWY5UElGci1UeFZjbTVVR3NOSDJVN3A2SVBTandYem42Z2NiQ3NNeFVDRjBLbzJYcURLUU0ybWlqRV9XZzVlWVZqU24?oc=5"" target=""_blank"">IMD issues red alert for heavy rainfall in West Bengal, Odisha, and more states; Check full weather alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
"Weather today: IMD issues red alert for West Bengal and Odisha, heavy rains predicted in THESE states - The Financial Express",https://news.google.com/rss/articles/CBMi5wFBVV95cUxONE9BSlBaaFpkUXVXVlhGRTduN3czQkxXZDdYZV8wQU1MQW85MkExNFZDQ3dlcTk5dnNjcnhkR2J4SVY1UnNVQ2ZZZDdGcXNuZjNuRHlLV3RrSTBSTnFyLTdSWnJ4VE5aQl9JMTQwZm9XUTNQMWdJVXhjdFVqSThaaXBTei15XzRwTXRnSW5XeFlaeHdxWEk5S09TODlXTEJOTEJzUEptb3RIZlpvWk45OVhJQzJ3dWVpWk15VEdobHNLU1ZrNHB5bjhYWGJLOFdFUHh6clFzdmhqXzZ6UmpjWHRlMFRaalXSAe4BQVVfeXFMTW1ObnZjSGhvU1lPdHJkUl9rZkt6SDk0alJzS01yQzIyMnlFUzUzSm5oT1NvRVk0YnNLTGYtdUZRQXZLMjlyZ29vMkRPLUZOblhISGVkVU9sYTlvSE8zTTlhRk80N2N5VUFhc0ktWXhtNHdjS2N5WXRRWEFEdDZpR3RhOEhFbWNkalJCemxYNkNWVFNJMGhnV1hEVy1JRWlmd1c4SFd2d00wRmtRdU1KWEFmUnAxUkJsTHhFdmxDTmUtNkFpTXB4LU1ZNmxzNWVMNGlsbFZreGVKNFhHSG9rdUdNTURHamFZRzBjYjJpQQ?oc=5,2024-09-15 07:17:38,The Financial Express,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxONE9BSlBaaFpkUXVXVlhGRTduN3czQkxXZDdYZV8wQU1MQW85MkExNFZDQ3dlcTk5dnNjcnhkR2J4SVY1UnNVQ2ZZZDdGcXNuZjNuRHlLV3RrSTBSTnFyLTdSWnJ4VE5aQl9JMTQwZm9XUTNQMWdJVXhjdFVqSThaaXBTei15XzRwTXRnSW5XeFlaeHdxWEk5S09TODlXTEJOTEJzUEptb3RIZlpvWk45OVhJQzJ3dWVpWk15VEdobHNLU1ZrNHB5bjhYWGJLOFdFUHh6clFzdmhqXzZ6UmpjWHRlMFRaalXSAe4BQVVfeXFMTW1ObnZjSGhvU1lPdHJkUl9rZkt6SDk0alJzS01yQzIyMnlFUzUzSm5oT1NvRVk0YnNLTGYtdUZRQXZLMjlyZ29vMkRPLUZOblhISGVkVU9sYTlvSE8zTTlhRk80N2N5VUFhc0ktWXhtNHdjS2N5WXRRWEFEdDZpR3RhOEhFbWNkalJCemxYNkNWVFNJMGhnV1hEVy1JRWlmd1c4SFd2d00wRmtRdU1KWEFmUnAxUkJsTHhFdmxDTmUtNkFpTXB4LU1ZNmxzNWVMNGlsbFZreGVKNFhHSG9rdUdNTURHamFZRzBjYjJpQQ?oc=5"" target=""_blank"">Weather today: IMD issues red alert for West Bengal and Odisha, heavy rains predicted in THESE states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font>",
"IMD Warns Of Severe Weather In East, Heavy Rainfall & Flash Flood Risks Across India - Outlook India",https://news.google.com/rss/articles/CBMiuwFBVV95cUxNdWJCdW9vTTJGcFJscThfeWU1eGkxZ1NqMTJMLUEzTXJ4c01CeEhZUGRRd1BZQ0NKNkZNTVV5bTlEaUFVT0FNcXVfNkJjY2ZUTWNqb09qSWZMNnlyNURQYzRtWGRNVVpCckdIbHFPRWRBdWJWeHJJdG5zUnRJakJleExJeTZoQ3hEQ093WktISUU5YVVtMEJHMDJtMmdxVk5yUElaZ1NZUUlMUjNGNGpfc0RZOXZUTnBQNWFN0gHIAUFVX3lxTFBHRHQ1ZW9mcTR1S0tLLVBGM2hkVlRubmd6MTBMb3hKbDI0OW4waWxRbFFiMmpoU2ZYdGlJaEtYalVKMWlzTVduT3hfMnpLczNQQm5SRGQxb3QyRnVhQXYxYlJhTWVYWmRCM2VGTXF6RHZNNHlOeFZmN25lRlRJVnJHUEdUSzBFbUFQd1dDdTB1REYyX0g5VFY1MnhpakQxSWhza3AtYWo5eWxHNXVXNS12UTFTUkxzU09rdFhna2ltYVphLXo4RG5I?oc=5,2024-09-15 07:00:00,Outlook India,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxNdWJCdW9vTTJGcFJscThfeWU1eGkxZ1NqMTJMLUEzTXJ4c01CeEhZUGRRd1BZQ0NKNkZNTVV5bTlEaUFVT0FNcXVfNkJjY2ZUTWNqb09qSWZMNnlyNURQYzRtWGRNVVpCckdIbHFPRWRBdWJWeHJJdG5zUnRJakJleExJeTZoQ3hEQ093WktISUU5YVVtMEJHMDJtMmdxVk5yUElaZ1NZUUlMUjNGNGpfc0RZOXZUTnBQNWFN0gHIAUFVX3lxTFBHRHQ1ZW9mcTR1S0tLLVBGM2hkVlRubmd6MTBMb3hKbDI0OW4waWxRbFFiMmpoU2ZYdGlJaEtYalVKMWlzTVduT3hfMnpLczNQQm5SRGQxb3QyRnVhQXYxYlJhTWVYWmRCM2VGTXF6RHZNNHlOeFZmN25lRlRJVnJHUEdUSzBFbUFQd1dDdTB1REYyX0g5VFY1MnhpakQxSWhza3AtYWo5eWxHNXVXNS12UTFTUkxzU09rdFhna2ltYVphLXo4RG5I?oc=5"" target=""_blank"">IMD Warns Of Severe Weather In East, Heavy Rainfall & Flash Flood Risks Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font>",
IMD issues red warning for heavy rain in northern Odisha - The Times of India,https://news.google.com/rss/articles/CBMi0AFBVV95cUxPWDdsX1JPZkhkU0V4V2hoMjlWNE56WlRsRFQ2eTNsRksxRWtiWlo4MXFfRG0tdktEVlR1VnB6WThJTjJDek5Ccko4d0dmQTlKTnFXYWxWdWFQUjNIOHlBLWcyUk01bXR2bVl3VGJKcFdxNHFvMmtwRFN3R3BHQ2UtdDl5OEtrX0NMOG1PSTZmb1FxM0wza0pROXpUMzRRb2xrZ0c3RkdKSm0zZktZOW52aVVPMTNmOUktbFpwdUZaQjJhV090RXlrZUNGWC1PRHZt0gHWAUFVX3lxTE5JZG91YnhkN0Q1Mm9qUjBHQ1FuVndVODkyWTM0Z1RhLTk0LVRBWFV6ZDJySng0eTFMZnM2VFFhWWJoZ19PRzl4azN0cUxpQ3h4d1d5UlBsQ0dWVTd1ZFNyRWtKSlhXS3F0U2VBMGRyOWZvb252ejFmX21vSkdBRVluYVBCelFLdlFNSlVqdGNUYmJSWE5Nb1h1QjAweGhzLVJHcGpDeUpvUkRnVlM3N1hWSWlJc01HdERGS3prSEV1MXpPTHBITTNfem9oNUlqR3gzbGEycEE?oc=5,2024-09-15 04:33:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPWDdsX1JPZkhkU0V4V2hoMjlWNE56WlRsRFQ2eTNsRksxRWtiWlo4MXFfRG0tdktEVlR1VnB6WThJTjJDek5Ccko4d0dmQTlKTnFXYWxWdWFQUjNIOHlBLWcyUk01bXR2bVl3VGJKcFdxNHFvMmtwRFN3R3BHQ2UtdDl5OEtrX0NMOG1PSTZmb1FxM0wza0pROXpUMzRRb2xrZ0c3RkdKSm0zZktZOW52aVVPMTNmOUktbFpwdUZaQjJhV090RXlrZUNGWC1PRHZt0gHWAUFVX3lxTE5JZG91YnhkN0Q1Mm9qUjBHQ1FuVndVODkyWTM0Z1RhLTk0LVRBWFV6ZDJySng0eTFMZnM2VFFhWWJoZ19PRzl4azN0cUxpQ3h4d1d5UlBsQ0dWVTd1ZFNyRWtKSlhXS3F0U2VBMGRyOWZvb252ejFmX21vSkdBRVluYVBCelFLdlFNSlVqdGNUYmJSWE5Nb1h1QjAweGhzLVJHcGpDeUpvUkRnVlM3N1hWSWlJc01HdERGS3prSEV1MXpPTHBITTNfem9oNUlqR3gzbGEycEE?oc=5"" target=""_blank"">IMD issues red warning for heavy rain in northern Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"SUV submerges in flooded Faridabad underpass, 2 drown - Hindustan Times",https://news.google.com/rss/articles/CBMitgFBVV95cUxNSmZRMnZHS3hIeWJjZHJPMVUyWmp0cm04a1Bmdm1vZk80TmxRVEJHcDhrM2IwdmtHN1JOb2VEVXdhYmFpLVFidXFmQk4tQUtWb2JXOWxpN3RVMVNFc0N3ZGJBSTNLalZRbi1pcUprRzdKdURkRlRzQWNOZmpMOURMQjA5Qm1RTjB2QTM0M2ZFMXhabHhsWFZPcEFESVFjVDNEZlpTSFViaklwbkp5clI5eVVoZGprd9IBuwFBVV95cUxPanNqMzZPQUlyc256UFRSZlhmT0hwYXJyZFJ5Zmw4T3NWRFNqZ05HQ3ozbW1fODB5WkFxMWsxdnNQc0t3YWNxWm9vb01IblVsbUEwdGdGZ2lkSmNNTmVUc0xjbno2REtkN3kxbkk2cFlvSzdqdE5WLVIwbWxlQ3pCVDM5dHNRRDJKUFlSazBEOHhYVS1YUmp1U1E4ZVJNUzI1N18wRk1UWWZ0eXJKZHZyQ0VPaFlMNUxwNGZR?oc=5,2024-09-15 06:10:06,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNSmZRMnZHS3hIeWJjZHJPMVUyWmp0cm04a1Bmdm1vZk80TmxRVEJHcDhrM2IwdmtHN1JOb2VEVXdhYmFpLVFidXFmQk4tQUtWb2JXOWxpN3RVMVNFc0N3ZGJBSTNLalZRbi1pcUprRzdKdURkRlRzQWNOZmpMOURMQjA5Qm1RTjB2QTM0M2ZFMXhabHhsWFZPcEFESVFjVDNEZlpTSFViaklwbkp5clI5eVVoZGprd9IBuwFBVV95cUxPanNqMzZPQUlyc256UFRSZlhmT0hwYXJyZFJ5Zmw4T3NWRFNqZ05HQ3ozbW1fODB5WkFxMWsxdnNQc0t3YWNxWm9vb01IblVsbUEwdGdGZ2lkSmNNTmVUc0xjbno2REtkN3kxbkk2cFlvSzdqdE5WLVIwbWxlQ3pCVDM5dHNRRDJKUFlSazBEOHhYVS1YUmp1U1E4ZVJNUzI1N18wRk1UWWZ0eXJKZHZyQ0VPaFlMNUxwNGZR?oc=5"" target=""_blank"">SUV submerges in flooded Faridabad underpass, 2 drown</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Sunny Saturday, but wet spell to return this week - The Times of India",https://news.google.com/rss/articles/CBMixAFBVV95cUxPcWNmdmh3dUhvdUdkekdNNjBwUXE4TDlIOHhtbm1CUDBZbWk4VmlIeVZjM3prSmdVR0ltclducUdwaFJlLWNVM21oWXhNS1hCd2diM1c5SWE0R1I3bUVEaWM1X1BJT2l6VEhtbTBWWm55dmRidC1wSTBZV1N4dmx0dEd2aTNQYjU3VVcwYkRVOXBQOURyNld6RW9jcVhlaXFkZGtBVTEtazlnVTFibE1WeTZtdDBITFB4cXY5TXF5ZjlfQ3dN0gHKAUFVX3lxTE1KcjdnMmlHaS1HSXAyNER0REtFU1g0NFl6emh5N2hJamdMT3hjcEh4S1VQM0xvRk5ONld3dnFJa2tQMVBMSFNKbDIyeEVFV3Z1MzRqLW5lMFdtekxWMU5BLTlPcVRhd1BHZmlZdEFFUDNfYUVNRjRLNlhtR25Gd04yZXJzNUpYdVNZQkNPNmRYN2xZVWZ4M2dDS1hNMDcwcHRjUWxIZERrcGlFVHBWZDlrTEd2Q3JxZW5HUFMzSDcxajRfckV0bVNIOHc?oc=5,2024-09-15 08:16:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxPcWNmdmh3dUhvdUdkekdNNjBwUXE4TDlIOHhtbm1CUDBZbWk4VmlIeVZjM3prSmdVR0ltclducUdwaFJlLWNVM21oWXhNS1hCd2diM1c5SWE0R1I3bUVEaWM1X1BJT2l6VEhtbTBWWm55dmRidC1wSTBZV1N4dmx0dEd2aTNQYjU3VVcwYkRVOXBQOURyNld6RW9jcVhlaXFkZGtBVTEtazlnVTFibE1WeTZtdDBITFB4cXY5TXF5ZjlfQ3dN0gHKAUFVX3lxTE1KcjdnMmlHaS1HSXAyNER0REtFU1g0NFl6emh5N2hJamdMT3hjcEh4S1VQM0xvRk5ONld3dnFJa2tQMVBMSFNKbDIyeEVFV3Z1MzRqLW5lMFdtekxWMU5BLTlPcVRhd1BHZmlZdEFFUDNfYUVNRjRLNlhtR25Gd04yZXJzNUpYdVNZQkNPNmRYN2xZVWZ4M2dDS1hNMDcwcHRjUWxIZERrcGlFVHBWZDlrTEd2Q3JxZW5HUFMzSDcxajRfckV0bVNIOHc?oc=5"" target=""_blank"">Sunny Saturday, but wet spell to return this week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
Prolonged monsoon worries UPEIDA as Ganga E-way deadline inches closer - Hindustan Times,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNZXkycFh6TWxpZzhGdk5sRVk1UWpXUmVGUHlyTkxhRDM5VnBhNmlDR2lKNFF2R2hlNlI0QmFmMnYzdEFXeHBOVkpOWjJGbkVqeHVWVEZJTFZsazJDdzlKOTNOaUE4bVNpVmx1S3llaW5saEJmZzR1cXpheEhSX2lEdXUyVkcwMG9HSkVvUUtndlVvQWlNd2VxWndqZ2ZhUThpRUFnWjNrQzVJdFZfOG1ENzFoWU1FNDNfNzlnMVEzcExadGRYYmF2bDU4SklDQXdod1l1d25oUmtRQdIB3wFBVV95cUxQRjRGRVlIbm1lWUt6X2VBd0pfN1djd1JHUDVMa3VEWlk5WXk0Rkw1ZlVicFdTUm5hSjdBS2FZSjNSbm5oc3hXMzNvRjFWNDJlVVI5T3VxRHJGdUJ2X0Z0VUdqam5IQTh4M085M1AwRDBiOFZNNmxHc3hiVndUemI0U05NTDZ5NWFjNGZxZlhXWnlRMmRMN3RkZnFORHZkZlUtM3FpV0tLbjJfcXNjc3lKYW1iWGRXUDc4ZVdIVVpEOEdzbUVFSkZleG1jdjJtQVl1cE9uRVBFcGhVQUl5QUU0?oc=5,2024-09-15 06:06:06,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxNZXkycFh6TWxpZzhGdk5sRVk1UWpXUmVGUHlyTkxhRDM5VnBhNmlDR2lKNFF2R2hlNlI0QmFmMnYzdEFXeHBOVkpOWjJGbkVqeHVWVEZJTFZsazJDdzlKOTNOaUE4bVNpVmx1S3llaW5saEJmZzR1cXpheEhSX2lEdXUyVkcwMG9HSkVvUUtndlVvQWlNd2VxWndqZ2ZhUThpRUFnWjNrQzVJdFZfOG1ENzFoWU1FNDNfNzlnMVEzcExadGRYYmF2bDU4SklDQXdod1l1d25oUmtRQdIB3wFBVV95cUxQRjRGRVlIbm1lWUt6X2VBd0pfN1djd1JHUDVMa3VEWlk5WXk0Rkw1ZlVicFdTUm5hSjdBS2FZSjNSbm5oc3hXMzNvRjFWNDJlVVI5T3VxRHJGdUJ2X0Z0VUdqam5IQTh4M085M1AwRDBiOFZNNmxHc3hiVndUemI0U05NTDZ5NWFjNGZxZlhXWnlRMmRMN3RkZnFORHZkZlUtM3FpV0tLbjJfcXNjc3lKYW1iWGRXUDc4ZVdIVVpEOEdzbUVFSkZleG1jdjJtQVl1cE9uRVBFcGhVQUl5QUU0?oc=5"" target=""_blank"">Prolonged monsoon worries UPEIDA as Ganga E-way deadline inches closer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Possibility of A Cyclone, Rain Lasts For 3 Days: Met Office - Rtv Online English",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBWUTI2TG5QMVFLZm8wVXRKaURDYjJfdHNXdjktdDJydW42dWxhSzhyZ3lzbkZFaDhiTWhGRlphY1NxZ2VSVV9pQTNsMUo0amE5VTE4OVFKSFZHd2JScEpR?oc=5,2024-09-14 13:25:00,Rtv Online English,"<a href=""https://news.google.com/rss/articles/CBMiX0FVX3lxTFBWUTI2TG5QMVFLZm8wVXRKaURDYjJfdHNXdjktdDJydW42dWxhSzhyZ3lzbkZFaDhiTWhGRlphY1NxZ2VSVV9pQTNsMUo0amE5VTE4OVFKSFZHd2JScEpR?oc=5"" target=""_blank"">Possibility of A Cyclone, Rain Lasts For 3 Days: Met Office</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rtv Online English</font>",
"Weather update: IMD issues red alert for heavy rains in West Bengal, Odisha, warns against flash floods in... - DNA India",https://news.google.com/rss/articles/CBMi4wFBVV95cUxOWUNpRk5yczRHQksxdGxkR2pNVE83UXc1VktCMWRkRU55S3dXbGljT1BCS0RKeGpMR1pQSFB1aXBDNlJjS0NoekgxUjVYUXQ4TFBxUUc1dENSa085Z1RNNWhkSkZ3SHN0V0RCWXJMdGIwT2pJY3FvbXQyN3N2b3dOcmlOYlFaTGstNjdwX0NfQTRFMWVRYWZYYmttTGdmWXNGd2pFWU1ZY0VQOVRZVG1PRGNaTDF4d1ZsTzYwY3RPVm4yZUNjeWFYMG1FSFFIZDdFWDBaQmRRY1Rzcjl3VDlyRng0VQ?oc=5,2024-09-14 13:42:00,DNA India,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxOWUNpRk5yczRHQksxdGxkR2pNVE83UXc1VktCMWRkRU55S3dXbGljT1BCS0RKeGpMR1pQSFB1aXBDNlJjS0NoekgxUjVYUXQ4TFBxUUc1dENSa085Z1RNNWhkSkZ3SHN0V0RCWXJMdGIwT2pJY3FvbXQyN3N2b3dOcmlOYlFaTGstNjdwX0NfQTRFMWVRYWZYYmttTGdmWXNGd2pFWU1ZY0VQOVRZVG1PRGNaTDF4d1ZsTzYwY3RPVm4yZUNjeWFYMG1FSFFIZDdFWDBaQmRRY1Rzcjl3VDlyRng0VQ?oc=5"" target=""_blank"">Weather update: IMD issues red alert for heavy rains in West Bengal, Odisha, warns against flash floods in...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font>",
