Title,Link,Date,Source,Summary,Term,LanguageQueried
"उत्तराखंड में आज का मौसम: बारिश और तूफान की संभावना, जानें अपने जिले का हाल - Dynamite News Hindi",https://news.google.com/rss/articles/CBMi0wFBVV95cUxQZ0d1TWhudFdnQUg2Y01JcEYtejhlR2NocDJ4Mi1TWWtoZEw0RGU5VmpIU2dteXJRRUdNendXSEdLVzFtRW5xR282VTR5S2ljMkdycEJWajFBTHBNbk5ualFuSndwWFpQZkl1NGR5RDl6VFlrbEhUUV9sSjJtZ2tQNUhZVlV2aUVmbmx5MVM5NXJBR1lkckh0cWVkX0hvd2xKdHFfNFJVT0tZcU1PSE53YnMyd1d2cFpIcnctWmVSNjNnX2ZtMHRpMlhUci1ZdThFM3pR?oc=5,2025-07-01 09:59:13,Dynamite News Hindi,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQZ0d1TWhudFdnQUg2Y01JcEYtejhlR2NocDJ4Mi1TWWtoZEw0RGU5VmpIU2dteXJRRUdNendXSEdLVzFtRW5xR282VTR5S2ljMkdycEJWajFBTHBNbk5ualFuSndwWFpQZkl1NGR5RDl6VFlrbEhUUV9sSjJtZ2tQNUhZVlV2aUVmbmx5MVM5NXJBR1lkckh0cWVkX0hvd2xKdHFfNFJVT0tZcU1PSE53YnMyd1d2cFpIcnctWmVSNjNnX2ZtMHRpMlhUci1ZdThFM3pR?oc=5"" target=""_blank"">उत्तराखंड में आज का मौसम: बारिश और तूफान की संभावना, जानें अपने जिले का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dynamite News Hindi</font>",Disaster,hi
"पानी-पानी कर देगी जुलाई, किसानों के लिए IMD की खुशखबरी; लेकिन एक चेतावनी भी दी - Hindustan",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPVHJNUy1KZTFacng3b1NONGVHb3VuVzBOcmJJUGxNUXUwTVM4LVRmaTR1VndNczdLWTVjSUFQSFo4bWE1MEg5ZHh5QWF5SWFhS2FPQkxVYVF2SmUwNURyd3BKWlFfcTY1ampSQkRSRGU3OXNDZkgwRW5mUWxlSlNFSTBsd2tEUWdoSVJMYlhNekV6bF9BWm5vdnN1dkNaNERaN1dFaTBBMldsbG1hX1dBYng4T21RMVBFcDRibEthX0N5ZjFhbm4tQ2I3Vjg2aG5jRTVFb1R6RmZXT1h0NnVKeU5VdU5NN3fSAecBQVVfeXFMT1RyTVMtSmUxWnJ4N29TTjRlR291blcwTnJiSVBsTVF1ME1TOC1UZmk0dVZ3TXM3S1k1Y0lBUEhaOG1hNTBIOWR4eUFheUlhYUthT0JMVWFRdkplMDVEcndwSlpRX3E2NWpqUkJEUkRlNzlzQ2ZIMEVuZlFsZUpTRUkwbHdrRFFnaElSTGJYTXpFemxfQVpub3ZzdXZDWjREWjdXRWkwQTJXbGxtYV9XQWJ4OE9tUTFQRXA0YmxLYV9DeWYxYW5uLUNiN1Y4NmhuY0U1RW9UekZmV09YdDZ1SnlOVXVOTTd3?oc=5,2025-07-01 07:20:17,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPVHJNUy1KZTFacng3b1NONGVHb3VuVzBOcmJJUGxNUXUwTVM4LVRmaTR1VndNczdLWTVjSUFQSFo4bWE1MEg5ZHh5QWF5SWFhS2FPQkxVYVF2SmUwNURyd3BKWlFfcTY1ampSQkRSRGU3OXNDZkgwRW5mUWxlSlNFSTBsd2tEUWdoSVJMYlhNekV6bF9BWm5vdnN1dkNaNERaN1dFaTBBMldsbG1hX1dBYng4T21RMVBFcDRibEthX0N5ZjFhbm4tQ2I3Vjg2aG5jRTVFb1R6RmZXT1h0NnVKeU5VdU5NN3fSAecBQVVfeXFMT1RyTVMtSmUxWnJ4N29TTjRlR291blcwTnJiSVBsTVF1ME1TOC1UZmk0dVZ3TXM3S1k1Y0lBUEhaOG1hNTBIOWR4eUFheUlhYUthT0JMVWFRdkplMDVEcndwSlpRX3E2NWpqUkJEUkRlNzlzQ2ZIMEVuZlFsZUpTRUkwbHdrRFFnaElSTGJYTXpFemxfQVpub3ZzdXZDWjREWjdXRWkwQTJXbGxtYV9XQWJ4OE9tUTFQRXA0YmxLYV9DeWYxYW5uLUNiN1Y4NmhuY0U1RW9UekZmV09YdDZ1SnlOVXVOTTd3?oc=5"" target=""_blank"">पानी-पानी कर देगी जुलाई, किसानों के लिए IMD की खुशखबरी; लेकिन एक चेतावनी भी दी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
Weather News: मौत की लहरों पर ज़िंदगी की जंग! | Landslide | Himachal Pradesh | Uttarakhand - MSN,https://news.google.com/rss/articles/CBMihwNBVV95cUxQSmRQZEtPWl9yQ1pYOXBvdEUzVkRxNERDS1FnTTNxWXRnVi0tVndfN2ZoVEtoa29VTl9temIxU3JYSmpUeEctTzhJWXQ5amZmWFV2X3VfbC1wM1QzNTR2dS0xU3FmWkF3c3NCZHlkbmY5ejRJaFluYllOdmRXYkt0anFhVDRMNm4zaGY3Nmdxd0RabkVzTEZ0R1N5cENrcWVwbnZmTXBwUHhwSE1HLWJ1ZTh3ZDFya1JwNTFpSGxwblotTDZMUU45NmJXdElXbnEzSnhldUZsSzJpeDJoOTB5NzJkVEN1X0pJZFNCektEZVBDSi0tdkIwR1BWN0pYMU80U3kteGI3dlVVcjhmTTVxWFVtdnJDY1hGbGM0N1Q5SE5ndTJpY3IyLVMwTEVrZzBJTWNQRk1pMUxhZHNYVzJzZndtWGRWNGdGdS1DQTFBMld6aURLMVA2SkdrdG5NTldNWGNmZVFqMzdWVkg0TjRQbFlvMjVwcGU5VGRINzYwYWtGRTRvY3Vn?oc=5,2025-07-01 04:37:42,MSN,"<a href=""https://news.google.com/rss/articles/CBMihwNBVV95cUxQSmRQZEtPWl9yQ1pYOXBvdEUzVkRxNERDS1FnTTNxWXRnVi0tVndfN2ZoVEtoa29VTl9temIxU3JYSmpUeEctTzhJWXQ5amZmWFV2X3VfbC1wM1QzNTR2dS0xU3FmWkF3c3NCZHlkbmY5ejRJaFluYllOdmRXYkt0anFhVDRMNm4zaGY3Nmdxd0RabkVzTEZ0R1N5cENrcWVwbnZmTXBwUHhwSE1HLWJ1ZTh3ZDFya1JwNTFpSGxwblotTDZMUU45NmJXdElXbnEzSnhldUZsSzJpeDJoOTB5NzJkVEN1X0pJZFNCektEZVBDSi0tdkIwR1BWN0pYMU80U3kteGI3dlVVcjhmTTVxWFVtdnJDY1hGbGM0N1Q5SE5ndTJpY3IyLVMwTEVrZzBJTWNQRk1pMUxhZHNYVzJzZndtWGRWNGdGdS1DQTFBMld6aURLMVA2SkdrdG5NTldNWGNmZVFqMzdWVkg0TjRQbFlvMjVwcGU5VGRINzYwYWtGRTRvY3Vn?oc=5"" target=""_blank"">Weather News: मौत की लहरों पर ज़िंदगी की जंग! | Landslide | Himachal Pradesh | Uttarakhand</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,hi
"Aaj ka Mausam: बंगाल से फिर उठ रहा साइक्लोन, मौसम विभाग ने किया अलर्ट, बिहार से हिमाचल तक आज संभलकर रहें लो... - News18 Hindi",https://news.google.com/rss/articles/CBMikAJBVV95cUxQckhZR2VLTWpGa05WOXBOOXhGeGpraWdvX3NIaUpxaDVEU1FDb1F3a1AwaGxDQlNFd094UWZNSXpMcGgyRlpFUVB4ODBhMmhjMmxFY2NHNEpaTDhpYzRQajVyVW85YURPX1VXVmc5VURIdnJiLVNlR2EzbnhXaGFOVXhKQW5qazhoQTk4VnZZTGRPbnpyN3pzQUJEZ0xxVFc1TU10THNLaEVUQXNGaEhUMEkwNmNMREI5clppSXJNOXdVenJwU1d3YTJtNU1CR0phMTVOOVNZWktBRERaaE5ubFl4blZYRHpLYXA4aHdSMXE3UjNoSEhRZ1NDZGNxU0lFV0tlTEVzY01TT0dPRGs4N9IBlgJBVV95cUxQdHdrby15NXNyMGZyNFdILThya2w5ak9RX2llSDllNWZhSW5wV0FLcEJwRnIySmhsTVVHZEh4QjliNGtpcXZObVZId3NZZVhWZURtbG9zLWRKNWVRMEh2VTVmdUFmLS0wMlZSendkXzIxMWRmWmd6Vk5ycmRXNUw2OTU2RmJnSEZ3eXNGdk9rRU9fcnR4WkVDR3JvbHA0eHpzNkNxYVNoSGN4UTZaM2dIQUp1S0tXS3ZwRF9EMHZKa0ZzLW00MkpUUXFON1pCMzBWYzl0WE85VlJQTElvOFNTdUp6MXROZWZ5eURkdUhUUTNDVnVGdWRNcTRmRm9qb0VDQlNfa2s5SmpIdHY4bVJWSGlNOG93dw?oc=5,2025-07-01 05:37:51,News18 Hindi,"<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxQckhZR2VLTWpGa05WOXBOOXhGeGpraWdvX3NIaUpxaDVEU1FDb1F3a1AwaGxDQlNFd094UWZNSXpMcGgyRlpFUVB4ODBhMmhjMmxFY2NHNEpaTDhpYzRQajVyVW85YURPX1VXVmc5VURIdnJiLVNlR2EzbnhXaGFOVXhKQW5qazhoQTk4VnZZTGRPbnpyN3pzQUJEZ0xxVFc1TU10THNLaEVUQXNGaEhUMEkwNmNMREI5clppSXJNOXdVenJwU1d3YTJtNU1CR0phMTVOOVNZWktBRERaaE5ubFl4blZYRHpLYXA4aHdSMXE3UjNoSEhRZ1NDZGNxU0lFV0tlTEVzY01TT0dPRGs4N9IBlgJBVV95cUxQdHdrby15NXNyMGZyNFdILThya2w5ak9RX2llSDllNWZhSW5wV0FLcEJwRnIySmhsTVVHZEh4QjliNGtpcXZObVZId3NZZVhWZURtbG9zLWRKNWVRMEh2VTVmdUFmLS0wMlZSendkXzIxMWRmWmd6Vk5ycmRXNUw2OTU2RmJnSEZ3eXNGdk9rRU9fcnR4WkVDR3JvbHA0eHpzNkNxYVNoSGN4UTZaM2dIQUp1S0tXS3ZwRF9EMHZKa0ZzLW00MkpUUXFON1pCMzBWYzl0WE85VlJQTElvOFNTdUp6MXROZWZ5eURkdUhUUTNDVnVGdWRNcTRmRm9qb0VDQlNfa2s5SmpIdHY4bVJWSGlNOG93dw?oc=5"" target=""_blank"">Aaj ka Mausam: बंगाल से फिर उठ रहा साइक्लोन, मौसम विभाग ने किया अलर्ट, बिहार से हिमाचल तक आज संभलकर रहें लो...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Hindi</font>",Disaster,hi
"Video | Himachal-Uttarakhand में भारी बारिश… हर तरफ बाढ़-सैलाब, पहाड़ों पर आफत में जिंदगी | Weather | Flood - NDTV.in",https://news.google.com/rss/articles/CBMivwFBVV95cUxPendOVWQtOHFneU5TUWljakZIeEdNRlVMeVFDbUpMdG5XMnE3SUZhZVhQbko0TWNBdWRxMVJkQlQ0Uzd1SnNEeVltMjA5aG1SSzQtby1WZVM1c05fNVVSakhNNlRaZFEzSVZmQWdGaVFXZnBnMGxIVHlvbzVsN1lwWmRxODNVbW1YT1d4VGVabDZXVmJWRWFhZEw5RU5vSWZuRHBkbjJZSzVpcC1QaXgzbnliRnVlSEVXNG53VWNQRQ?oc=5,2025-06-30 16:40:18,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxPendOVWQtOHFneU5TUWljakZIeEdNRlVMeVFDbUpMdG5XMnE3SUZhZVhQbko0TWNBdWRxMVJkQlQ0Uzd1SnNEeVltMjA5aG1SSzQtby1WZVM1c05fNVVSakhNNlRaZFEzSVZmQWdGaVFXZnBnMGxIVHlvbzVsN1lwWmRxODNVbW1YT1d4VGVabDZXVmJWRWFhZEw5RU5vSWZuRHBkbjJZSzVpcC1QaXgzbnliRnVlSEVXNG53VWNQRQ?oc=5"" target=""_blank"">Video | Himachal-Uttarakhand में भारी बारिश… हर तरफ बाढ़-सैलाब, पहाड़ों पर आफत में जिंदगी | Weather | Flood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"हिमाचल में मुसीबत बनी बारिश! शिमला, मंडी, कांगड़ा समेत 18 जगहों पर लैंडस्लाइड का खतरा, 259 सड़कें बंद - आज तक",https://news.google.com/rss/articles/CBMiogJBVV95cUxNR0RHc3JXMUlxWF9XYTdpc3VhX2JVVmpqQUNpNFMxS1U1RXkwa1cybzFjU194VVJabXR2WlVvMGxIc0drRGRmZjRYNDloOHZWOUR1anpsby1OTzlHTlo5c2IwTWFpWmYyVHVQdHlHLWs2cXFrckJCQmU1ckRMUV9xLUhfSG1rY2FtdTlTZEpKUU9URlU0dy1QY2FaS2IwSGJuMDE2U1pDNVpJNDdJRDFOc1lTNFNfWFJLaE1hbmtYeTRXb1I0RGRlOXM2dUluN3Z0cXItRTVlUW9tZzdVSHljOXNTVktXV2diSk56OF9tQzBLdUkxdVBRVUdmRmtSblowdzdqenR5Ui0xWkNCRDk0eWIzQjUzN0NSQ0pwUHhvQkVXZ9IBpwJBVV95cUxQMUtJc2owdjRHeWZLeU9uX0huRlpxcE5iZG9SdjJzaU5MdWhRcl9Vc3NqN1BzUC1yRmtpbXNQNEJ2N3VzV3lHY3RvaHNOMXBFSGtqdVE4V3AybkVMa1RXWkdUUE84QU1mMjRoczBXZGJzSDRnWGx4LTQ5MmtfRVRCUVAxZFY1bXlQcEpocUZIVVEtalhMaFlpR0FHbzVIU1A4TEJ0YmRoNmdTQWJ3akVkYTBraXpVX3FTYWV5dFR6QkJrMXhycG5QN2Q2Q2Qzc3hFZE9tVkEyd3BSS2w5azhWcFhqdnZWTERrMUVJcTh3Zmx6X21UY2NSWktfUkFydmFwNWlOMUFDSWwwQVh2RVhDNlB4SVNpQUM1bUVxRmU1aXJfUGRvLWw0?oc=5,2025-06-30 19:19:58,आज तक,"<a href=""https://news.google.com/rss/articles/CBMiogJBVV95cUxNR0RHc3JXMUlxWF9XYTdpc3VhX2JVVmpqQUNpNFMxS1U1RXkwa1cybzFjU194VVJabXR2WlVvMGxIc0drRGRmZjRYNDloOHZWOUR1anpsby1OTzlHTlo5c2IwTWFpWmYyVHVQdHlHLWs2cXFrckJCQmU1ckRMUV9xLUhfSG1rY2FtdTlTZEpKUU9URlU0dy1QY2FaS2IwSGJuMDE2U1pDNVpJNDdJRDFOc1lTNFNfWFJLaE1hbmtYeTRXb1I0RGRlOXM2dUluN3Z0cXItRTVlUW9tZzdVSHljOXNTVktXV2diSk56OF9tQzBLdUkxdVBRVUdmRmtSblowdzdqenR5Ui0xWkNCRDk0eWIzQjUzN0NSQ0pwUHhvQkVXZ9IBpwJBVV95cUxQMUtJc2owdjRHeWZLeU9uX0huRlpxcE5iZG9SdjJzaU5MdWhRcl9Vc3NqN1BzUC1yRmtpbXNQNEJ2N3VzV3lHY3RvaHNOMXBFSGtqdVE4V3AybkVMa1RXWkdUUE84QU1mMjRoczBXZGJzSDRnWGx4LTQ5MmtfRVRCUVAxZFY1bXlQcEpocUZIVVEtalhMaFlpR0FHbzVIU1A4TEJ0YmRoNmdTQWJ3akVkYTBraXpVX3FTYWV5dFR6QkJrMXhycG5QN2Q2Q2Qzc3hFZE9tVkEyd3BSS2w5azhWcFhqdnZWTERrMUVJcTh3Zmx6X21UY2NSWktfUkFydmFwNWlOMUFDSWwwQVh2RVhDNlB4SVNpQUM1bUVxRmU1aXJfUGRvLWw0?oc=5"" target=""_blank"">हिमाचल में मुसीबत बनी बारिश! शिमला, मंडी, कांगड़ा समेत 18 जगहों पर लैंडस्लाइड का खतरा, 259 सड़कें बंद</a>&nbsp;&nbsp;<font color=""#6f6f6f"">आज तक</font>",Disaster,hi
"आज का मौसम कैसा रहेगा की जानकारी LIVE: दिल्ली-NCR में होगी बारिश? जानिए UP, राजस्थान समेत अन्य राज्यों के मौसम का हाल | Aaj Ka Mausam Kaisa Rahega ki Jankari - Jansatta",https://news.google.com/rss/articles/CBMipAJBVV95cUxPcU9vREZBekJFWXRFVjRIMnctZGdINUFabFVRUnVGbmRtMVRwMGFtVHFDTEplUGctcEpXMnZyNGp1TWpIbVo3blFSMmdfd3dfTVgtTFJfSVFVS09hNllFOXB3VWdnZkVHWGxYWEViZm0xV2YwdzlOcFQ5LTgxak1NZ2ZHZUZmVjFwTFY4V2JoVjluUWhvV0picC1VSTlnUm5SdXJueVptVmhSR2c0RW4wNWNBY3BxZmF1Vy1qVE5DLVB4NFF5c3pQckhoY0ZjY0I5amNWVlBnVGxRTEdONDJNb0g2aE9DdXFldDh1ZzJ4dUhqWVpOd0dqcjJkbldpeUlJeHZYUTZ0d3RFLU9sQVNOR2UtTjhScWhfWmVlRUxPSXdPWjFV0gGrAkFVX3lxTE1JclFVXzBUU085NEZmUU1yaGNxWlljM2xDVThBNzBaT1ItSldBajRkR3FBQVlXVk1iSWFfMVNsNUJmaUNabU9TQ3JJRmJBLXFoUEx0RmtTN1A1NUhGa3RiYmhYM3J2WklfX2lBWmZtT1RTMTNLYkRVOUI1VDlqeGZTRm9xSTZ1cTJNa3dWZ3Z3VUNZRjRZYU9FTTVhWFpvRU5tWGhSQTNSSkhESEZaYWUxaDYtMXRyNjktY0trMl9SaTQ4RVE3RHJIcU9sV2RuNklIaWtGZGNnS0tkZmctQ1JydXVXcmhaaFVycktDWUNLNlRxTGU1UWNXTjYyblNOTEVYSkk4cVhRSEZNa3dSWFZON0JZUFZ3Njd6Ny1BdmZMR0tUZGpUSjZEcUFR?oc=5,2025-07-01 00:05:04,Jansatta,"<a href=""https://news.google.com/rss/articles/CBMipAJBVV95cUxPcU9vREZBekJFWXRFVjRIMnctZGdINUFabFVRUnVGbmRtMVRwMGFtVHFDTEplUGctcEpXMnZyNGp1TWpIbVo3blFSMmdfd3dfTVgtTFJfSVFVS09hNllFOXB3VWdnZkVHWGxYWEViZm0xV2YwdzlOcFQ5LTgxak1NZ2ZHZUZmVjFwTFY4V2JoVjluUWhvV0picC1VSTlnUm5SdXJueVptVmhSR2c0RW4wNWNBY3BxZmF1Vy1qVE5DLVB4NFF5c3pQckhoY0ZjY0I5amNWVlBnVGxRTEdONDJNb0g2aE9DdXFldDh1ZzJ4dUhqWVpOd0dqcjJkbldpeUlJeHZYUTZ0d3RFLU9sQVNOR2UtTjhScWhfWmVlRUxPSXdPWjFV0gGrAkFVX3lxTE1JclFVXzBUU085NEZmUU1yaGNxWlljM2xDVThBNzBaT1ItSldBajRkR3FBQVlXVk1iSWFfMVNsNUJmaUNabU9TQ3JJRmJBLXFoUEx0RmtTN1A1NUhGa3RiYmhYM3J2WklfX2lBWmZtT1RTMTNLYkRVOUI1VDlqeGZTRm9xSTZ1cTJNa3dWZ3Z3VUNZRjRZYU9FTTVhWFpvRU5tWGhSQTNSSkhESEZaYWUxaDYtMXRyNjktY0trMl9SaTQ4RVE3RHJIcU9sV2RuNklIaWtGZGNnS0tkZmctQ1JydXVXcmhaaFVycktDWUNLNlRxTGU1UWNXTjYyblNOTEVYSkk4cVhRSEZNa3dSWFZON0JZUFZ3Njd6Ny1BdmZMR0tUZGpUSjZEcUFR?oc=5"" target=""_blank"">आज का मौसम कैसा रहेगा की जानकारी LIVE: दिल्ली-NCR में होगी बारिश? जानिए UP, राजस्थान समेत अन्य राज्यों के मौसम का हाल | Aaj Ka Mausam Kaisa Rahega ki Jankari</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jansatta</font>",Disaster,hi
5 सेकेंड में ढहा 5 मंजिला मकान ! कुदरत के कहर का खौफनाक वीडियो ! |Shimla Flood Video | Weather Update Today - Patrika News,https://news.google.com/rss/articles/CBMitAJBVV95cUxQUmNQX25GczBjakkwcjVkMTRCT2lkSGRBQWhIRHRSYlF5VmZwbmNnc2x2RklmM2xNZXh0QlNtaVVldS0tQTdHemRDXzIwNUp1YzR6Yl9KMVdUTk5GbW5mN0ZqS2o5cVhMRm5fdXRIcGpCODBJVEM3c295bE0zVThVTTBsdjNmdUl5eC1iMEs1dTRIakw1ZU5ScFRLZ1hrSUhuTWNSaXRMY0sxMUtGelpNbUZpNExLd3JHY3BRc1FEb0Z6aFFONW5jTmw1N1lLMVpCNXR4MlRrdHBqLXo1SFplMXlQSDB0b25ZSlBRQkJQNVg2bmNHYUlFbE1NMEJ2Y1VHcktoeXpjZ25qb01aZGV4MHpnUVZxX1VadnB0SGpOcEtrYTVZZUZXWERyTU9OSW43VlZTYQ?oc=5,2025-06-30 18:01:11,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMitAJBVV95cUxQUmNQX25GczBjakkwcjVkMTRCT2lkSGRBQWhIRHRSYlF5VmZwbmNnc2x2RklmM2xNZXh0QlNtaVVldS0tQTdHemRDXzIwNUp1YzR6Yl9KMVdUTk5GbW5mN0ZqS2o5cVhMRm5fdXRIcGpCODBJVEM3c295bE0zVThVTTBsdjNmdUl5eC1iMEs1dTRIakw1ZU5ScFRLZ1hrSUhuTWNSaXRMY0sxMUtGelpNbUZpNExLd3JHY3BRc1FEb0Z6aFFONW5jTmw1N1lLMVpCNXR4MlRrdHBqLXo1SFplMXlQSDB0b25ZSlBRQkJQNVg2bmNHYUlFbE1NMEJ2Y1VHcktoeXpjZ25qb01aZGV4MHpnUVZxX1VadnB0SGpOcEtrYTVZZUZXWERyTU9OSW43VlZTYQ?oc=5"" target=""_blank"">5 सेकेंड में ढहा 5 मंजिला मकान ! कुदरत के कहर का खौफनाक वीडियो ! |Shimla Flood Video | Weather Update Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Disaster,hi
"आज का मौसम, 30 June 2025 IMD Alert LIVE: रांची में बदल फटने का अलर्ट, मौसम विभाग की सख्त चेतावनी - timesnowhindi.com",https://news.google.com/rss/articles/CBMikAJBVV95cUxPdWlNQ1c0M3JaSS1obE85QzVZaDFwRHBJajl5dzNCWVEzMERtcWNxcFJGbEE2TXFpVkR3NXNiX2RlLS1LeFNOYnZTTkUxRmlTdkJzbk10bEJRbjlvTHQ3MzlyTlpkMV9hbW40bGpWdG5VWTY5ZXYyeWZEVV9HRGc3V0tYQWdzVFV4SmlaSlBZOWJrTVYtRGx6ZEFHRWdQTFkzbzgteGtuLXlETTlqQWJjTGFsVXZSU01vVHh0b25PRTRvX21ZajBKSkV4OFd0cDlDUmpzcWZSTmpYbFdUR2NGYTZ2X0hucEFUZXlPNjRQZm9wbVUtRW9QNkZNUFZQdEVVVEc0S1EwaHZMUlpHdVZfedIBlgJBVV95cUxNLVlBcTlTN3p1amZYS0REVDZObExyRlBHd21iR3ZNR2tkd2VkQ3NCRnV1eHBSUWtYVDVBRG44NmltRFVJLS0xRVJyOTlaUGc4QW12ZDBsd3JpNXQ5N3FqNjY0SEppREtxLUVnWkk5YzlvSGY5TjhfdXVPMVJadV9MejByUV85MUtVekItX3hTNjcwY3NJYmRzT3dsSkstVFJ0WXk4Y2JCX2pGNkRVMGdIVWxCcFA0dUhoOEZVRnBLTnVLYWQ0QVpHNmdSRXVrd2xCWlotN0VmdWpHY1Jkcl95UjJFMEpUcTNjQUl4Q2xkU2xLcHFuS3hRSUNrVDVyWUR6UjRXeUZJRzlsZ3M1ZUNBRUdtcFNFdw?oc=5,2025-06-30 20:38:05,timesnowhindi.com,"<a href=""https://news.google.com/rss/articles/CBMikAJBVV95cUxPdWlNQ1c0M3JaSS1obE85QzVZaDFwRHBJajl5dzNCWVEzMERtcWNxcFJGbEE2TXFpVkR3NXNiX2RlLS1LeFNOYnZTTkUxRmlTdkJzbk10bEJRbjlvTHQ3MzlyTlpkMV9hbW40bGpWdG5VWTY5ZXYyeWZEVV9HRGc3V0tYQWdzVFV4SmlaSlBZOWJrTVYtRGx6ZEFHRWdQTFkzbzgteGtuLXlETTlqQWJjTGFsVXZSU01vVHh0b25PRTRvX21ZajBKSkV4OFd0cDlDUmpzcWZSTmpYbFdUR2NGYTZ2X0hucEFUZXlPNjRQZm9wbVUtRW9QNkZNUFZQdEVVVEc0S1EwaHZMUlpHdVZfedIBlgJBVV95cUxNLVlBcTlTN3p1amZYS0REVDZObExyRlBHd21iR3ZNR2tkd2VkQ3NCRnV1eHBSUWtYVDVBRG44NmltRFVJLS0xRVJyOTlaUGc4QW12ZDBsd3JpNXQ5N3FqNjY0SEppREtxLUVnWkk5YzlvSGY5TjhfdXVPMVJadV9MejByUV85MUtVekItX3hTNjcwY3NJYmRzT3dsSkstVFJ0WXk4Y2JCX2pGNkRVMGdIVWxCcFA0dUhoOEZVRnBLTnVLYWQ0QVpHNmdSRXVrd2xCWlotN0VmdWpHY1Jkcl95UjJFMEpUcTNjQUl4Q2xkU2xLcHFuS3hRSUNrVDVyWUR6UjRXeUZJRzlsZ3M1ZUNBRUdtcFNFdw?oc=5"" target=""_blank"">आज का मौसम, 30 June 2025 IMD Alert LIVE: रांची में बदल फटने का अलर्ट, मौसम विभाग की सख्त चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">timesnowhindi.com</font>",Disaster,hi
Video | Himachal Cloudburst BREAKING: Mandi में बादल फटने से भारी तबाही | Weather Update | Flash Flood| Rain - NDTV.in,https://news.google.com/rss/articles/CBMiygFBVV95cUxNX0V2cGJSTWdNb2JqOUlsbThzeWRLem9fdEkwMlhzSHhmSzl0VldUWEJjeFhaVERvT1EteDVKY1pXSDBOMzlrbHNOWjFxQVlGMW9OUFB1TURjam9IVjlPaGhLZVdnX2RLZWNjU3VYS25kalBwX053dVIxdXJ6VXBEYlBmQjB0ZEVUZWtBdk84eG5FRHQyalRFbG4tTHJhVGtUSGZlbHJPWmtqSFF5a29wMTZXdTIyZTRpZ1h2TGttVnFjYjVZNnVkTGpB?oc=5,2025-07-01 07:46:07,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNX0V2cGJSTWdNb2JqOUlsbThzeWRLem9fdEkwMlhzSHhmSzl0VldUWEJjeFhaVERvT1EteDVKY1pXSDBOMzlrbHNOWjFxQVlGMW9OUFB1TURjam9IVjlPaGhLZVdnX2RLZWNjU3VYS25kalBwX053dVIxdXJ6VXBEYlBmQjB0ZEVUZWtBdk84eG5FRHQyalRFbG4tTHJhVGtUSGZlbHJPWmtqSFF5a29wMTZXdTIyZTRpZ1h2TGttVnFjYjVZNnVkTGpB?oc=5"" target=""_blank"">Video | Himachal Cloudburst BREAKING: Mandi में बादल फटने से भारी तबाही | Weather Update | Flash Flood| Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
