Title,Link,Date,Source,Summary,Term,LanguageQueried
"Video | Uttarakhand Landslide: शापिंग कॉम्प्लेक्स Beas River नदी में गिरा, नग्गर ग्राम पंचायत में भारी तबाही - NDTV.in",https://news.google.com/rss/articles/CBMiygFBVV95cUxNRDNVWFgzYTZOY05mbnBqNmJ2QmxPRGNHUnJpVlNMa2lQZTBGN0NwSDNQajg4OEpTSTI0WTFUdkxlU3dBLTAwNV90bFBpUzBuQ3NWN3JKd2lqN2R3OUphRUJOMWxPQlpPcGZaTEFGUFU3MXRtVXB1V0lVY0lXWFVWMG9TNTVLME5MRWFkcXJpRDJSamlWbHE3V1BNNHBIOFdEY1lBWEljdzd2clpwMTk3MzNtV0ktOVhpUnVreE4xTWUzazVLcm1RQndn?oc=5,2025-08-31 09:51:54,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNRDNVWFgzYTZOY05mbnBqNmJ2QmxPRGNHUnJpVlNMa2lQZTBGN0NwSDNQajg4OEpTSTI0WTFUdkxlU3dBLTAwNV90bFBpUzBuQ3NWN3JKd2lqN2R3OUphRUJOMWxPQlpPcGZaTEFGUFU3MXRtVXB1V0lVY0lXWFVWMG9TNTVLME5MRWFkcXJpRDJSamlWbHE3V1BNNHBIOFdEY1lBWEljdzd2clpwMTk3MzNtV0ktOVhpUnVreE4xTWUzazVLcm1RQndn?oc=5"" target=""_blank"">Video | Uttarakhand Landslide: शापिंग कॉम्प्लेक्स Beas River नदी में गिरा, नग्गर ग्राम पंचायत में भारी तबाही</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Weather News: नहीं थम रहा है मॉनसून का कहर, हिमाचल से लेकर उत्तराखंड तक बरसेंगे बादल - Kisan Tak",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaTZ4V0RQd1Izcl8zOFEtSXVpQWFURnF4Y2pzZmZLYm5YT1JKajNGQ21IcVRaOEFCcXg5Vllzek16YXczWTZ1QTYwWjJuM2hyRUI4MVFJNkctT1VHY3V5bnNIbXZRUzRteVJBZGRGalEyYnhfUEZ5ZWFXUThPWnd1Tk5neXNWc1dTSFBtZ0N1S2RMbUhIa0ZPYzV6dHZsbjJwaF9JbWlYa1FiT1lYZzJlMEJlQkU4aDAzcEdteVo1YWgzVlJSSlpuZG5jOTBiSVJMTmxuem0xczgxU0NpVk1R0gHkAUFVX3lxTE93UU5CWkFLTFRNQUNZa05iNVgzUlh2a1pXZ2RLbnRHam5PRkhGdm10YmxHckcyOHlRckhEeDBqeGh3YUxSajhlUTBuVXByWEVCVjB0bG02T2RBd3M5WDAwY1R4blhhV0docFgxQXlnY2F2MUpVSS1oanZaVTl2dm5Kb2o3N3VaUGQ1TWsyU2I3UGZXV3NFV2JuX05ucEUyMjRZWWNoMUpyTWcxRWxZN09EZ2xqb00yUXpZTnREM3BvOFFYYnlpVERqU2pmV09VZWJnSDA0WTZ1LURfUTVDTFVGdTN1Vg?oc=5,2025-08-31 09:21:15,Kisan Tak,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPaTZ4V0RQd1Izcl8zOFEtSXVpQWFURnF4Y2pzZmZLYm5YT1JKajNGQ21IcVRaOEFCcXg5Vllzek16YXczWTZ1QTYwWjJuM2hyRUI4MVFJNkctT1VHY3V5bnNIbXZRUzRteVJBZGRGalEyYnhfUEZ5ZWFXUThPWnd1Tk5neXNWc1dTSFBtZ0N1S2RMbUhIa0ZPYzV6dHZsbjJwaF9JbWlYa1FiT1lYZzJlMEJlQkU4aDAzcEdteVo1YWgzVlJSSlpuZG5jOTBiSVJMTmxuem0xczgxU0NpVk1R0gHkAUFVX3lxTE93UU5CWkFLTFRNQUNZa05iNVgzUlh2a1pXZ2RLbnRHam5PRkhGdm10YmxHckcyOHlRckhEeDBqeGh3YUxSajhlUTBuVXByWEVCVjB0bG02T2RBd3M5WDAwY1R4blhhV0docFgxQXlnY2F2MUpVSS1oanZaVTl2dm5Kb2o3N3VaUGQ1TWsyU2I3UGZXV3NFV2JuX05ucEUyMjRZWWNoMUpyTWcxRWxZN09EZ2xqb00yUXpZTnREM3BvOFFYYnlpVERqU2pmV09VZWJnSDA0WTZ1LURfUTVDTFVGdTN1Vg?oc=5"" target=""_blank"">Weather News: नहीं थम रहा है मॉनसून का कहर, हिमाचल से लेकर उत्तराखंड तक बरसेंगे बादल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kisan Tak</font>",Disaster,hi
"Aaj ka Mausam 31 August 2025 LIVE: मानसून एक्सप्रेस ने फिर पकड़ी रफ्तार, कहीं राहत की बारिश, तो कहीं आफत की बरसात, जानें कैसा रहेगा आज मौसम का हाल - Times Now Navbharat",https://news.google.com/rss/articles/CBMi2wJBVV95cUxNRl91QTJDYjQzV3oyaGtTSHdJUnNxUGd6QmRNZklaV01mQkpkM3paV0txZlMwRzJfakZKQzFoNTEtZUhsLVZvZUc3MXkyMmF5eEtmN19fWnRMbGFSd25JTDRHSmpjSFcwUHhXZW5TQlVWVk1vbkhqbGFJVWVIaDVJeHVyYktrb2x6amUybFg5c09CR3ExWlMwODNVcHZHSkFqZDQ1VkZvOXpPMjdndGRXVGowX3Ytbkxlb3FBXzhZX1pzUmF3R1VfZkYzSmthcWRSWnpWYU5wMHpDSU5YR1VwRDZ2WmpIVjFMTjZMWkJWRkk4NEt5RXhnbEFYdlRteGsyTzZNMmxCU19xM3NIUG5ZSDBlOXlXTElwNk56RTN0YmR0NnI3LVdEUC1fX2NLaFpuQ1pXN25qNTgzNl9SclBsRlBRczRGMzlIMzdwMnc2OGRVWUdzRmVKS2NZMNIB4AJBVV95cUxNUjVHQTBjUEFGTExLMTJ2ZkZTUy1ycHZMTXRSVHZwc29RQnRNLUl4MkFtd1czZUNIc3R5a0toMFhHUjRROFpJS0Fya201R1o3U2RoQUV4Qk5rWlZQa0VzLTQwXzdkbTgtQ2JRTlh0VHFoNGtZcHdEemM3V1hWeFppenZXb1daS1NDQTFaY1RLNy1iU21QM3NiRzFydVFHUkR0dTZjMEkzbDJYbmJvMXI1YUlfSDhQeTB2S2hXblZXX1VhSi1ZOVprbHR1am5tS0hxUko0MmNVVzZocV9iT2lkV1lCdEpYbldXTzBSTUsyd2g2LU04MUJ2a29keTNHZmg0MnA3aVl1S210VnpOS3g4QnN4TTlucjlCNkpLZnVyR0h5UzFlRlMxc0lsWjhsZmo2aXkzVGl1NjY4NFR4ZExrNnVZcERlbTBZN25Yb2FmN09FajNhMUQ3d1dwc0lRY3dO?oc=5,2025-08-31 07:07:07,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMi2wJBVV95cUxNRl91QTJDYjQzV3oyaGtTSHdJUnNxUGd6QmRNZklaV01mQkpkM3paV0txZlMwRzJfakZKQzFoNTEtZUhsLVZvZUc3MXkyMmF5eEtmN19fWnRMbGFSd25JTDRHSmpjSFcwUHhXZW5TQlVWVk1vbkhqbGFJVWVIaDVJeHVyYktrb2x6amUybFg5c09CR3ExWlMwODNVcHZHSkFqZDQ1VkZvOXpPMjdndGRXVGowX3Ytbkxlb3FBXzhZX1pzUmF3R1VfZkYzSmthcWRSWnpWYU5wMHpDSU5YR1VwRDZ2WmpIVjFMTjZMWkJWRkk4NEt5RXhnbEFYdlRteGsyTzZNMmxCU19xM3NIUG5ZSDBlOXlXTElwNk56RTN0YmR0NnI3LVdEUC1fX2NLaFpuQ1pXN25qNTgzNl9SclBsRlBRczRGMzlIMzdwMnc2OGRVWUdzRmVKS2NZMNIB4AJBVV95cUxNUjVHQTBjUEFGTExLMTJ2ZkZTUy1ycHZMTXRSVHZwc29RQnRNLUl4MkFtd1czZUNIc3R5a0toMFhHUjRROFpJS0Fya201R1o3U2RoQUV4Qk5rWlZQa0VzLTQwXzdkbTgtQ2JRTlh0VHFoNGtZcHdEemM3V1hWeFppenZXb1daS1NDQTFaY1RLNy1iU21QM3NiRzFydVFHUkR0dTZjMEkzbDJYbmJvMXI1YUlfSDhQeTB2S2hXblZXX1VhSi1ZOVprbHR1am5tS0hxUko0MmNVVzZocV9iT2lkV1lCdEpYbldXTzBSTUsyd2g2LU04MUJ2a29keTNHZmg0MnA3aVl1S210VnpOS3g4QnN4TTlucjlCNkpLZnVyR0h5UzFlRlMxc0lsWjhsZmo2aXkzVGl1NjY4NFR4ZExrNnVZcERlbTBZN25Yb2FmN09FajNhMUQ3d1dwc0lRY3dO?oc=5"" target=""_blank"">Aaj ka Mausam 31 August 2025 LIVE: मानसून एक्सप्रेस ने फिर पकड़ी रफ्तार, कहीं राहत की बारिश, तो कहीं आफत की बरसात, जानें कैसा रहेगा आज मौसम का हाल</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Disaster,hi
"Video | Weather Update: भारत में कुदरत का कहर! उत्तराखंड, हिमाचल, जम्मू-कश्मीर में बाढ़-लैंडस्लाइड से तबाही - NDTV.in",https://news.google.com/rss/articles/CBMiygFBVV95cUxQMXBDZy1sZTB3alJEVFN0cFR6SkhnZzNsWDNtVWRiNFJCSzZVcVRUTlU3dEF6TWNXWU9EaUxsWkJkTnpjckNrWW5ZaHBxa0w3TG5LTTFfNGdVUjNpblRLRzVpUUxvSGhjemtId0o4NHJsalhzTkt0MklCTklCQ19vaF90YjVDRXdnelJmTGtBWDZVS2RoakFFQnI0N2x3WXJxMjZSZFRTSndWQWZWQnFjcm44OGg2WnpVbkltNWRNVDd4Rl9xVUJIUDdR?oc=5,2025-08-30 23:14:00,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQMXBDZy1sZTB3alJEVFN0cFR6SkhnZzNsWDNtVWRiNFJCSzZVcVRUTlU3dEF6TWNXWU9EaUxsWkJkTnpjckNrWW5ZaHBxa0w3TG5LTTFfNGdVUjNpblRLRzVpUUxvSGhjemtId0o4NHJsalhzTkt0MklCTklCQ19vaF90YjVDRXdnelJmTGtBWDZVS2RoakFFQnI0N2x3WXJxMjZSZFRTSndWQWZWQnFjcm44OGg2WnpVbkltNWRNVDd4Rl9xVUJIUDdR?oc=5"" target=""_blank"">Video | Weather Update: भारत में कुदरत का कहर! उत्तराखंड, हिमाचल, जम्मू-कश्मीर में बाढ़-लैंडस्लाइड से तबाही</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
Video | Top News: PM Modi In China | Uttarakhand Landslide | Amit Shah | Rahul Gandhi| Tej Pratap | MS Dhoni - NDTV.in,https://news.google.com/rss/articles/CBMivAFBVV95cUxQRlhmZHNiZjZFblA5amVQeHNPeDhhN2tTVUxTeXRaSE5FVmZkVEgtSUhNZmExRlFGNjdmRmszMXFWSUg1ZmhtYW5yeFlhdmd3Qy1pek94NnhJSHZzRU9VbEMyb2o3eElOc1B2OVlGVjFXRFN2WlA1U2FwZTZRVUJyZVpHSXJqd055bGQ0TTJFNDBzX2VrNzJ6THBkc0h3bEpwQ3dIVWpHNTBUT2x6RmJlU2tLSU4tUjQ4MFNmNw?oc=5,2025-08-31 07:00:00,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxQRlhmZHNiZjZFblA5amVQeHNPeDhhN2tTVUxTeXRaSE5FVmZkVEgtSUhNZmExRlFGNjdmRmszMXFWSUg1ZmhtYW5yeFlhdmd3Qy1pek94NnhJSHZzRU9VbEMyb2o3eElOc1B2OVlGVjFXRFN2WlA1U2FwZTZRVUJyZVpHSXJqd055bGQ0TTJFNDBzX2VrNzJ6THBkc0h3bEpwQ3dIVWpHNTBUT2x6RmJlU2tLSU4tUjQ4MFNmNw?oc=5"" target=""_blank"">Video | Top News: PM Modi In China | Uttarakhand Landslide | Amit Shah | Rahul Gandhi| Tej Pratap | MS Dhoni</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Video | Flash Flood: Uttarakhand में Monsoon का तांडव! Landslides, Cloudburst और बाढ़ से मची भारी तबाही - NDTV.in",https://news.google.com/rss/articles/CBMiygFBVV95cUxNUHNYVjd0U2VpSzcyV3VOM1NXZ0FONDFGTDVleHo0ZXFBbVNZUkxzVlRxb1VUSDhUYzEzMlY1bmFlNmU3VHlTWGQ4dE1zVUlqeXVUa3BkQjhLODY2Ql9oNnlGMER3VWkyQnZoOUtYSWpJQjhMMEZ3SEpUeWExcHRfOXgzamlLTkpmWUtzU0dOaVlyVVRMMWR5dGh5bFRUd1pqRmpKcjRub0JjckFjTUg2RnBjN2F6c1VQYmk5YzhHc0M2Qzg2LVZNUXFB?oc=5,2025-08-30 21:15:00,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxNUHNYVjd0U2VpSzcyV3VOM1NXZ0FONDFGTDVleHo0ZXFBbVNZUkxzVlRxb1VUSDhUYzEzMlY1bmFlNmU3VHlTWGQ4dE1zVUlqeXVUa3BkQjhLODY2Ql9oNnlGMER3VWkyQnZoOUtYSWpJQjhMMEZ3SEpUeWExcHRfOXgzamlLTkpmWUtzU0dOaVlyVVRMMWR5dGh5bFRUd1pqRmpKcjRub0JjckFjTUg2RnBjN2F6c1VQYmk5YzhHc0M2Qzg2LVZNUXFB?oc=5"" target=""_blank"">Video | Flash Flood: Uttarakhand में Monsoon का तांडव! Landslides, Cloudburst और बाढ़ से मची भारी तबाही</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Video | Weather Update: प्रकृति का रौद्र रूप! बादल फटने से पहाड़ टूटे, मैदानी इलाकों में बाढ़ का कहर - NDTV.in",https://news.google.com/rss/articles/CBMixwFBVV95cUxOeEgtS2hpQXhyQzBUVGJTeExncnI1VUk0UUJKTkxvYUdPSDR0dmpkT0FfUGNFaVJOUVROVFJ2TjVYX3ZRT3VMajI3WnY5a0FQaGlsalh4QkdfZWs2YkxSNEpjTGZUWF9iQzluLVhVNklSV2tWeXdRZEFzWFNoYTRoT0hiWERwNDM0VGVxUDdkdkhEYkJ5Zmg4UFo3UzE0TTlPSFlRUUlpb0gwcUZwXzJxU2FTcUhRVUFlazBIMUd1c19vZDc1N0dB?oc=5,2025-08-30 19:03:13,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxOeEgtS2hpQXhyQzBUVGJTeExncnI1VUk0UUJKTkxvYUdPSDR0dmpkT0FfUGNFaVJOUVROVFJ2TjVYX3ZRT3VMajI3WnY5a0FQaGlsalh4QkdfZWs2YkxSNEpjTGZUWF9iQzluLVhVNklSV2tWeXdRZEFzWFNoYTRoT0hiWERwNDM0VGVxUDdkdkhEYkJ5Zmg4UFo3UzE0TTlPSFlRUUlpb0gwcUZwXzJxU2FTcUhRVUFlazBIMUd1c19vZDc1N0dB?oc=5"" target=""_blank"">Video | Weather Update: प्रकृति का रौद्र रूप! बादल फटने से पहाड़ टूटे, मैदानी इलाकों में बाढ़ का कहर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
पहाड़ ऐसे गिरते हैं? OMG! Uttarakhand का डरावना वीडियो | Scary Landslide Caught on Camera - NDTV.in,https://news.google.com/rss/articles/CBMivwFBVV95cUxQUlNGMFpoaDhnWmZPSFhtSEtLVkpPWW9NNEpQeGFBa0xidEFqZVQzZVpTdlNpMFNUbEh4aHhSS0wxVmZRSUVRUkIzanA0czIxOGZzZGVVTGxSTzdXVzNjT1NyY1JOOVRaSmk3V0l3MVhZWlZZZzlxQW5SX0NSQlhRRTdIdXNsZExrRG85RTVWN1Qzd1hlNlBVb0VTQ1J0RWZJQmlINDh2NURIUm02eEpOdWg2d0lwdjZweERzNENxUQ?oc=5,2025-08-30 22:33:26,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQUlNGMFpoaDhnWmZPSFhtSEtLVkpPWW9NNEpQeGFBa0xidEFqZVQzZVpTdlNpMFNUbEh4aHhSS0wxVmZRSUVRUkIzanA0czIxOGZzZGVVTGxSTzdXVzNjT1NyY1JOOVRaSmk3V0l3MVhZWlZZZzlxQW5SX0NSQlhRRTdIdXNsZExrRG85RTVWN1Qzd1hlNlBVb0VTQ1J0RWZJQmlINDh2NURIUm02eEpOdWg2d0lwdjZweERzNENxUQ?oc=5"" target=""_blank"">पहाड़ ऐसे गिरते हैं? OMG! Uttarakhand का डरावना वीडियो | Scary Landslide Caught on Camera</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Video | Weather Update: देश के कई राज्यों में बारिश का अलर्ट जारी, Jammu से Himachal तक आफत की बरसात | Flood - NDTV.in",https://news.google.com/rss/articles/CBMiygFBVV95cUxPN0UwNmhfUDViNkRSN1VaR091TjY2NndqeWJaX3BRdGtsUWxyNDU3cUNrb0RURTh3bHJocjFBWnYwVS1xUTVOV2kyN255Z1NpZG5ITl9ZNGFYejJkVHk0blZTRm5RdHpRX3l4VUd6cEtpcV9vbDJKM2dlNi1HNExkM1h6ZGhORk51UkFoNUhab1o4b3hoYkdvY3lhNGtNWFA4UjZLYVVaR3hVWGszZnJmVFBSNG9ZTGY2eC1CVWNzLUR2SUlod1ZCNVpR?oc=5,2025-08-30 13:39:45,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPN0UwNmhfUDViNkRSN1VaR091TjY2NndqeWJaX3BRdGtsUWxyNDU3cUNrb0RURTh3bHJocjFBWnYwVS1xUTVOV2kyN255Z1NpZG5ITl9ZNGFYejJkVHk0blZTRm5RdHpRX3l4VUd6cEtpcV9vbDJKM2dlNi1HNExkM1h6ZGhORk51UkFoNUhab1o4b3hoYkdvY3lhNGtNWFA4UjZLYVVaR3hVWGszZnJmVFBSNG9ZTGY2eC1CVWNzLUR2SUlod1ZCNVpR?oc=5"" target=""_blank"">Video | Weather Update: देश के कई राज्यों में बारिश का अलर्ट जारी, Jammu से Himachal तक आफत की बरसात | Flood</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
"Uttarakhand Weather Forecast: State Emergency Centre Urges Vigilance in Dehradun, Uttarkashi, and Bageshwar - LatestLY",https://news.google.com/rss/articles/CBMingJBVV95cUxPYUdqTGZOMTRMX2FoYUQ0ZHZ3U3VZY194TjRLV05QeWZSX0hSZUIyV2kxS0Y2dnMtTE5weVkyRGExRGxEZndQcnlUanp2enVZbEFDd2R0NXhuWktqZWVqU0hKMm5IUGlLTi1JLTNTZTdsa1ZVcVNGcG10c0VFaV9fRVpqMlo5cFRVOWJKQnU3VTI4cjF0eFRjSE9od1JNclVWNjhCWThoWVEzLW5lVTNGVXo4YWdfeU51dURQMmdCaExILUktZXhhSVVISUFRVE5JUzhBdEx6WXFmQ0lCSHVkSm8xaEhHZl9fNENyRV9ONVFKUWJSSVNlOU02cVRENFJrcWR4MmxaSXc3MTdsTXgwc2F3OUU2N3FPVmxiand30gGjAkFVX3lxTE1qN3BNNGswOWFMV3dDQ2hUSDR0UGtKYzRjdTNmVUpYcTRHb1dXLVRVQkRDdkJSV2JLSE5tTnhUNWhQYzZ3MmkwSVA2b0ZnRGRRR2pPMVdVc2hnNlZ2cnQ4ckN4M2lBS3AwLXAyUjJvdTgxdkZnUkI4eGtVX1A1eG9QcF9ocWxhY2I2MVRTaVF5RVZTd2dSeU9mMHloaFNKVE5OQTBzWVdCeFo2X2VMZ2pseEZKakVYVXBjREdGeFVIRkJaVDNCdFctSmhaVmlCMW42dDl3all1ZmF4YzFvbnpRbmEweDFseWlSbTRtdVVHYzJ5WVVuTHgyYWZkakpIN05hamtvZzktTnUyZmdDSE11eDdQc2FWNlRDUWcta25JR2tRRQ?oc=5,2025-08-30 17:37:27,LatestLY,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxPYUdqTGZOMTRMX2FoYUQ0ZHZ3U3VZY194TjRLV05QeWZSX0hSZUIyV2kxS0Y2dnMtTE5weVkyRGExRGxEZndQcnlUanp2enVZbEFDd2R0NXhuWktqZWVqU0hKMm5IUGlLTi1JLTNTZTdsa1ZVcVNGcG10c0VFaV9fRVpqMlo5cFRVOWJKQnU3VTI4cjF0eFRjSE9od1JNclVWNjhCWThoWVEzLW5lVTNGVXo4YWdfeU51dURQMmdCaExILUktZXhhSVVISUFRVE5JUzhBdEx6WXFmQ0lCSHVkSm8xaEhHZl9fNENyRV9ONVFKUWJSSVNlOU02cVRENFJrcWR4MmxaSXc3MTdsTXgwc2F3OUU2N3FPVmxiand30gGjAkFVX3lxTE1qN3BNNGswOWFMV3dDQ2hUSDR0UGtKYzRjdTNmVUpYcTRHb1dXLVRVQkRDdkJSV2JLSE5tTnhUNWhQYzZ3MmkwSVA2b0ZnRGRRR2pPMVdVc2hnNlZ2cnQ4ckN4M2lBS3AwLXAyUjJvdTgxdkZnUkI4eGtVX1A1eG9QcF9ocWxhY2I2MVRTaVF5RVZTd2dSeU9mMHloaFNKVE5OQTBzWVdCeFo2X2VMZ2pseEZKakVYVXBjREdGeFVIRkJaVDNCdFctSmhaVmlCMW42dDl3all1ZmF4YzFvbnpRbmEweDFseWlSbTRtdVVHYzJ5WVVuTHgyYWZkakpIN05hamtvZzktTnUyZmdDSE11eDdQc2FWNlRDUWcta25JR2tRRQ?oc=5"" target=""_blank"">Uttarakhand Weather Forecast: State Emergency Centre Urges Vigilance in Dehradun, Uttarkashi, and Bageshwar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY</font>",Disaster,en
