Title,Link,Date,Source,Summary,Term,LanguageQueried
"UP Weather: प्रदेश में प्रचंड रूप दिखाएगी गर्मी, इन जिलों में हॉट डे की चेतावनी - Patrika News",https://news.google.com/rss/articles/CBMiugFBVV95cUxPUWpZaEUzc3oxZjl1TVl2bkU5RGh5clhPVFlicTc0dHdoX2FxRGNzWjZyMElRZTVaV1RFdWxvdkZ0eEF5OUxZUF91ZEotdjdad01fTXRqRWJqaGNjNEo4YWtYSUlnR3l4VTJNRkxYeGxNRHdOYlBwdmpMdGdhYm5LZng0bTMxZDdwSWlhNHY2elhETUgzNDBrSXUyU2pHVWlQaldMNS1QdFlrUm90VWVtYjc5WFgwejFtSlHSAcIBQVVfeXFMTi1lT2c4SDR3VTNNTG1JbmpDRV9reC1aTm81WVlEVnpwcDBzTzRlNmpXU3A0NWpCdG5jbk1qTE5pWC1pQTZkUXNodlZQaHlHSEtlcHN2bzlOaU50aGswZzlNQmNHV2F2RTV5bXppSF9PNHEtd1JuNWEtOW5IUHIzY0NNZVhkM0lGeFhVTmt1cnhLb3VOOVFEWXZic2RjdlRLUjR6TF9VSFdHWWRMaW9FUkF6c21UUUl0cVlYN0JpaE4xOEE?oc=5,2025-03-27 08:49:18,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPUWpZaEUzc3oxZjl1TVl2bkU5RGh5clhPVFlicTc0dHdoX2FxRGNzWjZyMElRZTVaV1RFdWxvdkZ0eEF5OUxZUF91ZEotdjdad01fTXRqRWJqaGNjNEo4YWtYSUlnR3l4VTJNRkxYeGxNRHdOYlBwdmpMdGdhYm5LZng0bTMxZDdwSWlhNHY2elhETUgzNDBrSXUyU2pHVWlQaldMNS1QdFlrUm90VWVtYjc5WFgwejFtSlHSAcIBQVVfeXFMTi1lT2c4SDR3VTNNTG1JbmpDRV9reC1aTm81WVlEVnpwcDBzTzRlNmpXU3A0NWpCdG5jbk1qTE5pWC1pQTZkUXNodlZQaHlHSEtlcHN2bzlOaU50aGswZzlNQmNHV2F2RTV5bXppSF9PNHEtd1JuNWEtOW5IUHIzY0NNZVhkM0lGeFhVTmt1cnhLb3VOOVFEWXZic2RjdlRLUjR6TF9VSFdHWWRMaW9FUkF6c21UUUl0cVlYN0JpaE4xOEE?oc=5"" target=""_blank"">UP Weather: प्रदेश में प्रचंड रूप दिखाएगी गर्मी, इन जिलों में हॉट डे की चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Heatwave,hi
"UP Weather Today: यूपी में आज से मौसम लेगा यू-टर्न, वाराणसी, प्रयागराज समेत 13 जिलों में हीटवेव की भविष्यवा... - Zee News Hindi",https://news.google.com/rss/articles/CBMigAJBVV95cUxNRlU0NlZpQ1pCcnAtYVJtTVRMUGJPVDYzMXFsTVgzYWJGOVlzLXVaVHhwdXNYbVl4bUw2TWdIWk1CaFlDbjI2UEtjOFJiZHFZUFQ0Y1VlUWRaQVozWXdQQUJ1VXVMeTNOUUs5RkItV29jbTFKWUVlZVF5SU5fWG9QOTlyMXVjSTVZV1QydzZZUHJhaWFvcVJ6ank1eXdUWGVjbnNSYXlkbGg4cWFCUnhnLWh6MzBMSFlOQlctY0EwNHhtMktTbk5OcG5Bb3podlUyaFZuLU00X0FoMldYNHZQalVmdmhTazFCdFNLa0YwbDJfNnpRRjdEaWpQMmhJYk800gGGAkFVX3lxTFB2eFRCOFdURndHOWpkN1lXeklqMFRrTjJxUDExeFZPcVB4dWNySW5sZ21WTFBLRENhMDJwblVhOG5fc3lwdlRTR19BZ0xXRU9GejVLTlF6S3EzMkUtNnp3S2h4RVJRQXB0V1BCbU1semhfMDhNbHBwbWNmZE03UV9VSXJRTHlVOXY2azBKV3gzS3BEcExVNzhQS3JsZ3FMTDgyTDBJUzFDX0x6VC1QMHBqcTJfaWVVbm1vVlN3NEdzdDBlUHV0dThaeHRiNWx3ZXRMZ25TazllYkRaemZKOWwyS3NPRkhKZ1N4VndnSmhHSG9KTTBZM2dtSlhzRWhuZFdVU05CcWc?oc=5,2025-03-27 06:51:55,Zee News Hindi,"<a href=""https://news.google.com/rss/articles/CBMigAJBVV95cUxNRlU0NlZpQ1pCcnAtYVJtTVRMUGJPVDYzMXFsTVgzYWJGOVlzLXVaVHhwdXNYbVl4bUw2TWdIWk1CaFlDbjI2UEtjOFJiZHFZUFQ0Y1VlUWRaQVozWXdQQUJ1VXVMeTNOUUs5RkItV29jbTFKWUVlZVF5SU5fWG9QOTlyMXVjSTVZV1QydzZZUHJhaWFvcVJ6ank1eXdUWGVjbnNSYXlkbGg4cWFCUnhnLWh6MzBMSFlOQlctY0EwNHhtMktTbk5OcG5Bb3podlUyaFZuLU00X0FoMldYNHZQalVmdmhTazFCdFNLa0YwbDJfNnpRRjdEaWpQMmhJYk800gGGAkFVX3lxTFB2eFRCOFdURndHOWpkN1lXeklqMFRrTjJxUDExeFZPcVB4dWNySW5sZ21WTFBLRENhMDJwblVhOG5fc3lwdlRTR19BZ0xXRU9GejVLTlF6S3EzMkUtNnp3S2h4RVJRQXB0V1BCbU1semhfMDhNbHBwbWNmZE03UV9VSXJRTHlVOXY2azBKV3gzS3BEcExVNzhQS3JsZ3FMTDgyTDBJUzFDX0x6VC1QMHBqcTJfaWVVbm1vVlN3NEdzdDBlUHV0dThaeHRiNWx3ZXRMZ25TazllYkRaemZKOWwyS3NPRkhKZ1N4VndnSmhHSG9KTTBZM2dtSlhzRWhuZFdVU05CcWc?oc=5"" target=""_blank"">UP Weather Today: यूपी में आज से मौसम लेगा यू-टर्न, वाराणसी, प्रयागराज समेत 13 जिलों में हीटवेव की भविष्यवा...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News Hindi</font>",Heatwave,hi
"यूपी में आसमान से बरसने लगी आग, आगरा, वाराणसी समेत 28 जिलों में हॉट डे का - ABP न्यूज़",https://news.google.com/rss/articles/CBMixgFBVV95cUxPaUh0NWxoWURqTFFpb1hybjhiUG1IdUxrSWl6eWo5WWtSNlVoRDlHOVk3Yjl4VHBDQVVwYTM5b01jQ2M1dWJXelFSOU5tVVJOeUlDWWx2XzBGeFR0N2JpSXVhRUpHZGZvdTNRVkM5V2pXTlRfdnZBRXBSeWllLVVGQjA3NUZHT0ItMk05dkF2Yy0tcGZ0YnFGd0o0eFlKcVRmaW53WDNqaklxUUsxdzRzRThrSmU5Q3F1U0wtb2JIbXBZSHJpT0HSAcsBQVVfeXFMT1hwWFdGR1czelY4NFg1SHZ3QjlMWkFQT0FaZHJCWUwxdHRwQlFOWGFPMFZwc1dRNXR5eU5HMG15cHVOS295NGVlWG01S0tOc3NOeWVfNVNINndNUG9ZaXFtcXNrbmlnaEpVVUFmOERiTGRJUEZnSE9jbmdiRTl0QUVscDkyZXV3OVpWTzNDemoxc1NsdUtidWRLdTAyZHh4WGdtTXRrUVVBOEh1LUthWXVhTGgzZFRvWjR3czZtZzc4cDRUZGFEWjBTQ1k?oc=5,2025-03-27 07:01:31,ABP न्यूज़,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxPaUh0NWxoWURqTFFpb1hybjhiUG1IdUxrSWl6eWo5WWtSNlVoRDlHOVk3Yjl4VHBDQVVwYTM5b01jQ2M1dWJXelFSOU5tVVJOeUlDWWx2XzBGeFR0N2JpSXVhRUpHZGZvdTNRVkM5V2pXTlRfdnZBRXBSeWllLVVGQjA3NUZHT0ItMk05dkF2Yy0tcGZ0YnFGd0o0eFlKcVRmaW53WDNqaklxUUsxdzRzRThrSmU5Q3F1U0wtb2JIbXBZSHJpT0HSAcsBQVVfeXFMT1hwWFdGR1czelY4NFg1SHZ3QjlMWkFQT0FaZHJCWUwxdHRwQlFOWGFPMFZwc1dRNXR5eU5HMG15cHVOS295NGVlWG01S0tOc3NOeWVfNVNINndNUG9ZaXFtcXNrbmlnaEpVVUFmOERiTGRJUEZnSE9jbmdiRTl0QUVscDkyZXV3OVpWTzNDemoxc1NsdUtidWRLdTAyZHh4WGdtTXRrUVVBOEh1LUthWXVhTGgzZFRvWjR3czZtZzc4cDRUZGFEWjBTQ1k?oc=5"" target=""_blank"">यूपी में आसमान से बरसने लगी आग, आगरा, वाराणसी समेत 28 जिलों में हॉट डे का</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP न्यूज़</font>",Heatwave,hi
Heat Wave: क्या है हीट वेव का अलर्ट सिस्टम? जानिए कब और क्यों जारी होती है चेतावनी - Krishi Jagran Hindi,https://news.google.com/rss/articles/CBMimwFBVV95cUxQeVRaREVYOTRfcVBSVE5UbHJQcnVYOWNhSTBlUjdoSEhBYzRIamY1ZXpCZHRremktdjFSVVJBS1ZfVjZtbkg5VkFxZ2NoTm5GOWM1Z21QMU5WU0lfXzA4bGdjZGsyajRlYllxRWZabURkRmZGRGVsdU5zcnEweVFnNEVRaUhicnBET3EzNHl3d0stWWJ5b3oxbFQ2d9IBowFBVV95cUxNRk1UTDNUZ0U4MlRoVHdWYl9vVmhnUUJaazUyZ0M2ZThUQlAwVTlaendaUTI5RHVsRlNNMEIwVDRIY01pRXR1ak9zcmtNaDQyM19ZbldjOWg5bHJEc0dRTUZheV9oWHhYS0ZtSlNqX2F5T3c1R2FQQWVkOHYzc0V6Y0FMVG5yaFEtc0tEdEV3SFpqc1hzdEtzMnpXbzVPMHdQRDNr?oc=5,2025-03-26 10:38:31,Krishi Jagran Hindi,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxQeVRaREVYOTRfcVBSVE5UbHJQcnVYOWNhSTBlUjdoSEhBYzRIamY1ZXpCZHRremktdjFSVVJBS1ZfVjZtbkg5VkFxZ2NoTm5GOWM1Z21QMU5WU0lfXzA4bGdjZGsyajRlYllxRWZabURkRmZGRGVsdU5zcnEweVFnNEVRaUhicnBET3EzNHl3d0stWWJ5b3oxbFQ2d9IBowFBVV95cUxNRk1UTDNUZ0U4MlRoVHdWYl9vVmhnUUJaazUyZ0M2ZThUQlAwVTlaendaUTI5RHVsRlNNMEIwVDRIY01pRXR1ak9zcmtNaDQyM19ZbldjOWg5bHJEc0dRTUZheV9oWHhYS0ZtSlNqX2F5T3c1R2FQQWVkOHYzc0V6Y0FMVG5yaFEtc0tEdEV3SFpqc1hzdEtzMnpXbzVPMHdQRDNr?oc=5"" target=""_blank"">Heat Wave: क्या है हीट वेव का अलर्ट सिस्टम? जानिए कब और क्यों जारी होती है चेतावनी</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran Hindi</font>",Heatwave,hi
IMD Issues Nationwide Weather Alert; Everything To Know - ETV Bharat,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5,2025-03-26 17:06:44,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5"" target=""_blank"">IMD Issues Nationwide Weather Alert; Everything To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
Climate turns tables: Hill states prepare action plan for heatwave after last yr’s scorching summer - The Times of India,https://news.google.com/rss/articles/CBMigwJBVV95cUxNYzBFcmRNSHEtNUkyQTVzcE14MXVrTGZKMk1hREMxRFFGQTBSdkc4QkIwcUxsU3YxcEpLV3JRR3lhOXUtWmdxbDhLQWkyZWdBTXdadmxlOGtFbW95Uk51VTFsLUo3Q0cyVWFPSDlQM3RFcXJMRDlkeHVZalNoZWdJWGtyLXc2QjNRLXZZZWtPeGR6WlRWVGJlYTJaNmc4QWRxZHpPQ0ZGeHVTR3F6TlFVYUVMYjNvTGdvc1E3UFJNUmJMc0FCcGRXam03ZFFBWmtUaDBkamhDaW5leEZqZktiTFdNZ3AwMi1aR1FkX2JGb244Vmw2dDJhVlZaWDMzd1d0WGJ30gGIAkFVX3lxTFBUbFZoT1NQTzlHUTR6N3E0UDU2QWFYeUppZG9nekwwQ0tWb2N6dFpPZUxIQno5cjBqY0NybTJ4Q28waXh3NDJ4OXNLUlBPMGw0XzA5RDBvSmZEclB0aTRLWXFMdEF6UVRSSC1hYW1OWDctekZkZHItZk44Mmw5TmEwdHl3MGc5TlRjNllWWU11MUk0YnctWndMUTJSQ2dmSE93NWR3ZkpJemdqMFFJLUxvS1BMT1JKa2hHallyR1NiZUFOWTZDMDdEckhWaUJjZ0hzMzZBQ1Z4YW8yV3VvZ2drQ1pCdjZrUkNISHk3VTZkMGJJYjNGelJvSVpzRHZtSC1GMk9rb3JwYw?oc=5,2025-03-26 23:17:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxNYzBFcmRNSHEtNUkyQTVzcE14MXVrTGZKMk1hREMxRFFGQTBSdkc4QkIwcUxsU3YxcEpLV3JRR3lhOXUtWmdxbDhLQWkyZWdBTXdadmxlOGtFbW95Uk51VTFsLUo3Q0cyVWFPSDlQM3RFcXJMRDlkeHVZalNoZWdJWGtyLXc2QjNRLXZZZWtPeGR6WlRWVGJlYTJaNmc4QWRxZHpPQ0ZGeHVTR3F6TlFVYUVMYjNvTGdvc1E3UFJNUmJMc0FCcGRXam03ZFFBWmtUaDBkamhDaW5leEZqZktiTFdNZ3AwMi1aR1FkX2JGb244Vmw2dDJhVlZaWDMzd1d0WGJ30gGIAkFVX3lxTFBUbFZoT1NQTzlHUTR6N3E0UDU2QWFYeUppZG9nekwwQ0tWb2N6dFpPZUxIQno5cjBqY0NybTJ4Q28waXh3NDJ4OXNLUlBPMGw0XzA5RDBvSmZEclB0aTRLWXFMdEF6UVRSSC1hYW1OWDctekZkZHItZk44Mmw5TmEwdHl3MGc5TlRjNllWWU11MUk0YnctWndMUTJSQ2dmSE93NWR3ZkpJemdqMFFJLUxvS1BMT1JKa2hHallyR1NiZUFOWTZDMDdEckhWaUJjZ0hzMzZBQ1Z4YW8yV3VvZ2drQ1pCdjZrUkNISHk3VTZkMGJJYjNGelJvSVpzRHZtSC1GMk9rb3JwYw?oc=5"" target=""_blank"">Climate turns tables: Hill states prepare action plan for heatwave after last yr’s scorching summer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Heatwave,en
Places in India that are experiencing extreme heat right now - MSN,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNdTJtRHNlMVZpTWNDZFRhRzF6WlAwZXh5a1RlczJtQ0thcmd3ZTFScW9RY3h2aU9WdXItR0dUaXNyOFd3bHlBMkhEcjk3bWEwNTRGck8yWkVoTVBleEUzMVo1d1VYRHpfMlowZ2NkcXpJQWNnYlB0ZHBzT3FuSHlRQnp5SmFJTFR4aVV5WUpKRFNQTlFubXRXelo1MHkzVVNSMGhENmhQbjFvOVJOUWFRTGNVQnNNbnI5NTMyRkM1WXUwcDA?oc=5,2025-03-26 19:47:39,MSN,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNdTJtRHNlMVZpTWNDZFRhRzF6WlAwZXh5a1RlczJtQ0thcmd3ZTFScW9RY3h2aU9WdXItR0dUaXNyOFd3bHlBMkhEcjk3bWEwNTRGck8yWkVoTVBleEUzMVo1d1VYRHpfMlowZ2NkcXpJQWNnYlB0ZHBzT3FuSHlRQnp5SmFJTFR4aVV5WUpKRFNQTlFubXRXelo1MHkzVVNSMGhENmhQbjFvOVJOUWFRTGNVQnNNbnI5NTMyRkM1WXUwcDA?oc=5"" target=""_blank"">Places in India that are experiencing extreme heat right now</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
IMD Forecasts Rainfall And Heatwave Across India - Evrim Ağacı,https://news.google.com/rss/articles/CBMiigFBVV95cUxONWdvRTFtdWFSQnlIMGM2ZHZWUzRXOU5yOWF3bm9PYjF1Ujc3X2NmWUJiS24zNmVaQ1VUcFAtYTVGOHNQVUFCdlp1bkFLU3RwZy1MUHozMV9jYzZMbTdfSjd6RmhXY1dhRVppVDhrWXI2eXRreVJuMnZuNmc1Ty1tb2JaQkh5UGRUcWc?oc=5,2025-03-26 18:39:56,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxONWdvRTFtdWFSQnlIMGM2ZHZWUzRXOU5yOWF3bm9PYjF1Ujc3X2NmWUJiS24zNmVaQ1VUcFAtYTVGOHNQVUFCdlp1bkFLU3RwZy1MUHozMV9jYzZMbTdfSjd6RmhXY1dhRVppVDhrWXI2eXRreVJuMnZuNmc1Ty1tb2JaQkh5UGRUcWc?oc=5"" target=""_blank"">IMD Forecasts Rainfall And Heatwave Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Heatwave,en
"IMD predicts rainfall in several states, longer heatwave in Northwest - NewsBytes",https://news.google.com/rss/articles/CBMijgFBVV95cUxNbHJ1VHFLb3RZZzYwVF9sdzBsVU92TG5sdjAzWnN1SUVBV1pVa2pfdS1EZHJRaXJRR1B4bWJqazJ5SjY0MEttaHRNUXdFR0hRTWl4cmg2NWZwVnhMZWZMZFgwQl8yLVBYS0g4eW5hVUtJZnVoVk5UVUduTXhZek1xY2V3ZDlYMVlFWGFjNXZR?oc=5,2025-03-26 17:01:16,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNbHJ1VHFLb3RZZzYwVF9sdzBsVU92TG5sdjAzWnN1SUVBV1pVa2pfdS1EZHJRaXJRR1B4bWJqazJ5SjY0MEttaHRNUXdFR0hRTWl4cmg2NWZwVnhMZWZMZFgwQl8yLVBYS0g4eW5hVUtJZnVoVk5UVUduTXhZek1xY2V3ZDlYMVlFWGFjNXZR?oc=5"" target=""_blank"">IMD predicts rainfall in several states, longer heatwave in Northwest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Heatwave,en
"Uttarakhand: There will be scorching heat at the end of March, read the weather department's forecast - News Cubic Studio",https://news.google.com/rss/articles/CBMizwFBVV95cUxNVzNuWW9WTENjY28zLVg4bWtfbXl2bEYzb1BjbW9vOXU3VUc2ZkY4b1Fya1hMc2dycy1WTmJDSG9JWWFQNEt4RDdxbGZyaUkxWkVOa1lUd09ibGZneHFFc2xCNWdXUjc5ZVNyd25mUG9UMkc5dk5EVHg0bE5fSkxVTnF1Q0oyQXJRXzdZTzVkT3R1dV81LUpvMWVFZkZYM21XTnJmZ2ZzUHdyTTFFTWV4NnViNVFhclZWTUdISnJ1MEE3Z0s2bFhlX00xUm9lN3c?oc=5,2025-03-26 12:31:26,News Cubic Studio,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNVzNuWW9WTENjY28zLVg4bWtfbXl2bEYzb1BjbW9vOXU3VUc2ZkY4b1Fya1hMc2dycy1WTmJDSG9JWWFQNEt4RDdxbGZyaUkxWkVOa1lUd09ibGZneHFFc2xCNWdXUjc5ZVNyd25mUG9UMkc5dk5EVHg0bE5fSkxVTnF1Q0oyQXJRXzdZTzVkT3R1dV81LUpvMWVFZkZYM21XTnJmZ2ZzUHdyTTFFTWV4NnViNVFhclZWTUdISnJ1MEE3Z0s2bFhlX00xUm9lN3c?oc=5"" target=""_blank"">Uttarakhand: There will be scorching heat at the end of March, read the weather department's forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Cubic Studio</font>",Heatwave,en
