Title,Link,Date,Source,Summary,Place
"IMD issue very heavy rainfall alert Gujarat, parts of Maharashtra, Bengal for weekend. Check details - Business Today",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNV1RJRGlRRDlfUVVzQVhnMEh5dW5nejZBOHpzVmFUVzRJMjVMRm5SWVlrWFZ0am5IbzM5MXdIM2QwWUdNdVRMVGlsd3lKbnFhX1h0MFFEV0dVRHh6V2lOcFZ0WmxSbEpfOTlzaXZ1RTY4cXNyRXNEOE5WbzlQaHpCanYwZUFVVEg3MEJQYzVabGF6REZNeV9GVU9HQ2gxb2xBWXBxU2t4WnZkejQ2VDBiNHJSSVhjUldoRXVhc21UT21JcTN1NkZ6WDFqV2RLd1diVXBlU3pTUkRWSkVwV0Z2RnRwZldrTXdMY1JsWA?oc=5,2024-09-27 19:36:29,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNV1RJRGlRRDlfUVVzQVhnMEh5dW5nejZBOHpzVmFUVzRJMjVMRm5SWVlrWFZ0am5IbzM5MXdIM2QwWUdNdVRMVGlsd3lKbnFhX1h0MFFEV0dVRHh6V2lOcFZ0WmxSbEpfOTlzaXZ1RTY4cXNyRXNEOE5WbzlQaHpCanYwZUFVVEg3MEJQYzVabGF6REZNeV9GVU9HQ2gxb2xBWXBxU2t4WnZkejQ2VDBiNHJSSVhjUldoRXVhc21UT21JcTN1NkZ6WDFqV2RLd1diVXBlU3pTUkRWSkVwV0Z2RnRwZldrTXdMY1JsWA?oc=5"" target=""_blank"">IMD issue very heavy rainfall alert Gujarat, parts of Maharashtra, Bengal for weekend. Check details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",
"Uttarakhand Weather and AQI Today: Warm start at 17.97 °C, check weather forecast for September 27, 2024 - MSN",https://news.google.com/rss/articles/CBMi4wFBVV95cUxONkxqYU90bHBodTg0eVg1eTMxZW9ZSFdqdVpCR1MxN01ycVZsZjFUbjdxYzZkN3hfZndIZFBIRmlaaW5Eb044dXJhay1DeGtEUGlqbGdFMTJjNW5DemZnMzZrbXM0ZG9uZGFBcVhWay01Tk1lRXhUSmdaU3VxVURHREMwRkxNYnNUQTByU0E2NTA1UjcwZG5UZEQxR1FSa0NIUVB2emdXY01jVlljMHFmZkJnR3hLdHhmQ1ZDVXBxQXB6VVJ0UGQ3T19OLTQyRTRQLTAtRjE4c3drc2JmOUg5emtYUQ?oc=5,2024-09-27 14:23:17,MSN,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxONkxqYU90bHBodTg0eVg1eTMxZW9ZSFdqdVpCR1MxN01ycVZsZjFUbjdxYzZkN3hfZndIZFBIRmlaaW5Eb044dXJhay1DeGtEUGlqbGdFMTJjNW5DemZnMzZrbXM0ZG9uZGFBcVhWay01Tk1lRXhUSmdaU3VxVURHREMwRkxNYnNUQTByU0E2NTA1UjcwZG5UZEQxR1FSa0NIUVB2emdXY01jVlljMHFmZkJnR3hLdHhmQ1ZDVXBxQXB6VVJ0UGQ3T19OLTQyRTRQLTAtRjE4c3drc2JmOUg5emtYUQ?oc=5"" target=""_blank"">Uttarakhand Weather and AQI Today: Warm start at 17.97 °C, check weather forecast for September 27, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Weather Update: Very heavy rainfall predicted for Gujarat, parts of Maharashtra, Bengal and these states - CNBCTV18",https://news.google.com/rss/articles/CBMi5gFBVV95cUxQRVdWU2J0TGlsM0ZTMWRxRGhWS0gzcDJqZjdSWDFJTTQycktyMHRSVkZHelFfUkNaSVNpT242Sm1yY1hwWVRFUDhUa2REODVYQ2M0c0lYR1dqejl1a2xuRktYUDZLX1A0TFJqVmR3d3dyb29lT3g2S1JEMXVpZTQ5aGh4anlBMHdZczgyb0lQMk9BMTVTdGZVWjJES1BuR1VZSXZTV2NveUJybWZXbDg2NHJ3Rl9ndEFWZXN2ZE9LblU5eHVNTks1czduTWtlMUpWblFpb3lZd3pTWFNFOGxfQ2w4VzJzQdIB6wFBVV95cUxNWlhOVzc0VDFlWEIwdWtacmpCR1BsRXJMQi1lay1XQmRhTjJDck9MVTdnMVhLS2YxTjFYLWlRTm5BNU1rVkNyNXdHVGI3T1NWdEsyTnFObFAtU2lZR0VPY0JBZ194aTZFcGpjUldpdnVqeWVFYVB3SjRlOXJpNGVoNkkzUGstazdQeDJtcjE3MUU5YzgxbHJQS0UyQlh0SXE0TWE0d0p5XzVpc0FTbmdKYm5TY3o5cHNVS0M5ZXBBV1U0bjlPTTZaVjRpazNYZnF1MFVUWndaV0N1Y3Q4Y0NNai1wOUR6TFZPaDlJ?oc=5,2024-09-27 12:46:50,CNBCTV18,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxQRVdWU2J0TGlsM0ZTMWRxRGhWS0gzcDJqZjdSWDFJTTQycktyMHRSVkZHelFfUkNaSVNpT242Sm1yY1hwWVRFUDhUa2REODVYQ2M0c0lYR1dqejl1a2xuRktYUDZLX1A0TFJqVmR3d3dyb29lT3g2S1JEMXVpZTQ5aGh4anlBMHdZczgyb0lQMk9BMTVTdGZVWjJES1BuR1VZSXZTV2NveUJybWZXbDg2NHJ3Rl9ndEFWZXN2ZE9LblU5eHVNTks1czduTWtlMUpWblFpb3lZd3pTWFNFOGxfQ2w4VzJzQdIB6wFBVV95cUxNWlhOVzc0VDFlWEIwdWtacmpCR1BsRXJMQi1lay1XQmRhTjJDck9MVTdnMVhLS2YxTjFYLWlRTm5BNU1rVkNyNXdHVGI3T1NWdEsyTnFObFAtU2lZR0VPY0JBZ194aTZFcGpjUldpdnVqeWVFYVB3SjRlOXJpNGVoNkkzUGstazdQeDJtcjE3MUU5YzgxbHJQS0UyQlh0SXE0TWE0d0p5XzVpc0FTbmdKYm5TY3o5cHNVS0M5ZXBBV1U0bjlPTTZaVjRpazNYZnF1MFVUWndaV0N1Y3Q4Y0NNai1wOUR6TFZPaDlJ?oc=5"" target=""_blank"">Weather Update: Very heavy rainfall predicted for Gujarat, parts of Maharashtra, Bengal and these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBCTV18</font>",
Uttarakhand weather update: Yellow alert for rains in these districts on Sep 28 - Uttarakhand News Network,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPanRnMDEyQzQxS29iaURaLTgxQlNfMVJYZ2poVXE5RE1TaUp6LTRUOGtZc1pSQXRLRGlUV3hlRjBhN2xjcXM3NHVKUmU5ZVFzUUtCV1JSajFPWmJEaXd1U0IweW5OSXF5c2JQU3NkbWZBRjBrc1BYQ1ZHN1J5VEo4THFEcVRqM2pqRDNXM3ZnN1I1ajQzemxmcUpVNkFxMGNXZU9VUFNGTWN3QjNRbWd0d09TRDRBQVUtdG5MUnJjM0ZNVF9LWTN2RU5oTV9ubVBhenln0gHYAUFVX3lxTE03VktXWHFMN24ySkxLRVhXNktFdnNCUUJXbmZmUDY3QXZrUVllWGRKeFlVblkxeHd5X0hDRVhKOGM2Y2IxOTZwVmpQenpfTkppY3RxdzdBQXNGc2hHUmFRMTBSaWdnOTlKS1lYSXdpQS1UYXMySmhuQ2Z2dV8wMi0weHR6S0YzREtCSmRiaG9iSWl0UFJxdXlfTUJRS0ZBdENxSEJUMmtfUzM3X2ozQUllNllNOHRJZFd3TGNlYmpyRDJNVEhMMWRFckRLQXg0SDhtNWplVTdtMQ?oc=5,2024-09-28 09:13:39,Uttarakhand News Network,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxPanRnMDEyQzQxS29iaURaLTgxQlNfMVJYZ2poVXE5RE1TaUp6LTRUOGtZc1pSQXRLRGlUV3hlRjBhN2xjcXM3NHVKUmU5ZVFzUUtCV1JSajFPWmJEaXd1U0IweW5OSXF5c2JQU3NkbWZBRjBrc1BYQ1ZHN1J5VEo4THFEcVRqM2pqRDNXM3ZnN1I1ajQzemxmcUpVNkFxMGNXZU9VUFNGTWN3QjNRbWd0d09TRDRBQVUtdG5MUnJjM0ZNVF9LWTN2RU5oTV9ubVBhenln0gHYAUFVX3lxTE03VktXWHFMN24ySkxLRVhXNktFdnNCUUJXbmZmUDY3QXZrUVllWGRKeFlVblkxeHd5X0hDRVhKOGM2Y2IxOTZwVmpQenpfTkppY3RxdzdBQXNGc2hHUmFRMTBSaWdnOTlKS1lYSXdpQS1UYXMySmhuQ2Z2dV8wMi0weHR6S0YzREtCSmRiaG9iSWl0UFJxdXlfTUJRS0ZBdENxSEJUMmtfUzM3X2ozQUllNllNOHRJZFd3TGNlYmpyRDJNVEhMMWRFckRLQXg0SDhtNWplVTdtMQ?oc=5"" target=""_blank"">Uttarakhand weather update: Yellow alert for rains in these districts on Sep 28</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Uttarakhand News Network</font>",
"Shepherds Stranded On Island Due To Rising Ganga In Rishikesh, Rescued By SDRF - Saralnama - Saralnama",https://news.google.com/rss/articles/CBMiogFBVV95cUxNTFdrZDlINVM0bjNFSUd3cDhSS2xnMXFZNUpEYnFsRE91ZkNDb0hnZWE4dm1WUHE5SHJrN3pVRzl5MWRGNVN6WnNqVUU1NWt0am9wZUIxUXF0bFJJdEU4WnBBa2RXODB4SFNmMDhha1RxalpSTTFXZTFqdGY0ZmZOM2N2X3pvWVZmeV9PRGR4el9CUnFHeXJuOUVTVC1FcjF6ZEHSAaIBQVVfeXFMTUxXa2Q5SDVTNG4zRUlHd3A4UktsZzFxWTVKRGJxbERPdWZDQ29IZ2VhOHZtVlBxOUhyazd6VUc5eTFkRjVTelpzalVFNTVrdGpvcGVCMVFxdGxSSXRFOFpwQWtkVzgweEhTZjA4YWtUcWpaUk0xV2UxanRmNGZmTjNjdl96b1lWZnlfT0RkeHpfQlJxR3lybjlFU1QtRXIxemRB?oc=5,2024-09-27 14:32:37,Saralnama,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNTFdrZDlINVM0bjNFSUd3cDhSS2xnMXFZNUpEYnFsRE91ZkNDb0hnZWE4dm1WUHE5SHJrN3pVRzl5MWRGNVN6WnNqVUU1NWt0am9wZUIxUXF0bFJJdEU4WnBBa2RXODB4SFNmMDhha1RxalpSTTFXZTFqdGY0ZmZOM2N2X3pvWVZmeV9PRGR4el9CUnFHeXJuOUVTVC1FcjF6ZEHSAaIBQVVfeXFMTUxXa2Q5SDVTNG4zRUlHd3A4UktsZzFxWTVKRGJxbERPdWZDQ29IZ2VhOHZtVlBxOUhyazd6VUc5eTFkRjVTelpzalVFNTVrdGpvcGVCMVFxdGxSSXRFOFpwQWtkVzgweEhTZjA4YWtUcWpaUk0xV2UxanRmNGZmTjNjdl96b1lWZnlfT0RkeHpfQlJxR3lybjlFU1QtRXIxemRB?oc=5"" target=""_blank"">Shepherds Stranded On Island Due To Rising Ganga In Rishikesh, Rescued By SDRF - Saralnama</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Saralnama</font>",
World Tourism Day 2024: 4 villages of Uttarakhand get ‘Best Tourism Village Award’ - Uttarakhand News Network,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQS0wYWxUUlE0QmF5U0lfV0s2S2lQYmREaG5jVm9HaHJWVV9nRncyWVVPbUJXS0g0aWQ0SjV2dENXZmRtS3lnLW5HakJZZjJNMUUzcnpOVUppNGRVdGtSVmlRU2I3SGIySVI0engtTThOX01uRU1DLWpJcHV2T0JySmR0dU81VERoVkhhMnU0RXd2S1NVWVdtT3FuRk1PSVVkMkpfcFNUaXRQVWVVUlRGeXlqcjNqbjhwY0c5NzRSX3hxU2daZXVhWnNsSHNrZVBVNlV0btIB2gFBVV95cUxPVGpSekFiTFdTUnd6UzZKNWJ1cklSNEppSnlKVnZ2c1ExVGpzUnZ6akt4dS1HdkliTzA3Wl9sSFFSU2hHWG9Wc00tMktmdlpySm5Ec0FxREJjV08xWl9WeWpaMGVaSnBWSndWQTZkNndFZmc0S2VneHNEZnl1OU5jcXVDRE5Kcm5RUDduV25hWWFXd3NnQjY0SVFDRVRvM0FxN0pLRjhBUzVfd3YtY2ctXy1RUm9TRHJ3YVBXVjJlcnVZbEcxbXdfRGY1SnpqdmVQeHVDV05Ja2k3Zw?oc=5,2024-09-27 20:23:11,Uttarakhand News Network,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQQS0wYWxUUlE0QmF5U0lfV0s2S2lQYmREaG5jVm9HaHJWVV9nRncyWVVPbUJXS0g0aWQ0SjV2dENXZmRtS3lnLW5HakJZZjJNMUUzcnpOVUppNGRVdGtSVmlRU2I3SGIySVI0engtTThOX01uRU1DLWpJcHV2T0JySmR0dU81VERoVkhhMnU0RXd2S1NVWVdtT3FuRk1PSVVkMkpfcFNUaXRQVWVVUlRGeXlqcjNqbjhwY0c5NzRSX3hxU2daZXVhWnNsSHNrZVBVNlV0btIB2gFBVV95cUxPVGpSekFiTFdTUnd6UzZKNWJ1cklSNEppSnlKVnZ2c1ExVGpzUnZ6akt4dS1HdkliTzA3Wl9sSFFSU2hHWG9Wc00tMktmdlpySm5Ec0FxREJjV08xWl9WeWpaMGVaSnBWSndWQTZkNndFZmc0S2VneHNEZnl1OU5jcXVDRE5Kcm5RUDduV25hWWFXd3NnQjY0SVFDRVRvM0FxN0pLRjhBUzVfd3YtY2ctXy1RUm9TRHJ3YVBXVjJlcnVZbEcxbXdfRGY1SnpqdmVQeHVDV05Ja2k3Zw?oc=5"" target=""_blank"">World Tourism Day 2024: 4 villages of Uttarakhand get ‘Best Tourism Village Award’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Uttarakhand News Network</font>",
Weather Update : Monsoon Forecast-very heavy rain warning in 10 states for the next 48 hours - indias.news,https://news.google.com/rss/articles/CBMisAFBVV95cUxOUVFFN3NXc25aV08xSkdBems3UjRYUzBidm1FZzJ3eWYyUWdnMmlia2lMXzczLXdYY2pJZjhhS01Vd2E2ZjE2VTFxeHhta0FVNll4cVMwZHB5V0ZEQzVBZlBSYW1GY3Q1U3A3OVpIcFdPRnIxb1djN1FDR0dtVXBJem92WEpLbTNqSHZXMU4xZl9lTG5uSW5pSFZXQUc4ZVFoVmtGaTBDeks0WVlwc1VQWA?oc=5,2024-09-27 15:18:06,indias.news,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOUVFFN3NXc25aV08xSkdBems3UjRYUzBidm1FZzJ3eWYyUWdnMmlia2lMXzczLXdYY2pJZjhhS01Vd2E2ZjE2VTFxeHhta0FVNll4cVMwZHB5V0ZEQzVBZlBSYW1GY3Q1U3A3OVpIcFdPRnIxb1djN1FDR0dtVXBJem92WEpLbTNqSHZXMU4xZl9lTG5uSW5pSFZXQUc4ZVFoVmtGaTBDeks0WVlwc1VQWA?oc=5"" target=""_blank"">Weather Update : Monsoon Forecast-very heavy rain warning in 10 states for the next 48 hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indias.news</font>",
"Monsoon Still Active: Heavy Rain Alerts Issued Across Bihar, Bengal and North India - INVC",https://news.google.com/rss/articles/CBMivAFBVV95cUxPME5mbE9wTXktanliREhKeERVaTVDZllSZl9hWVM4cmdrQ1pDdFVDS0pLX1lDRmZYUVVmSzNEck9IR2xQZmh1OTZuNVJyZlJyTm50MVVuYWRlQmFWWkZPcUtCV1pHMDBCaUlWN01SNlRZaHlqWE1wNXYzd2t0a1ZxcnVJdnRnN1lUb05xT0JRWGtRajNOMXBqUlFjejY0X1ZLSHNzSUFIWEx2Skd6TUIxenNPanVVQUtFMjhIRw?oc=5,2024-09-27 14:32:23,INVC,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPME5mbE9wTXktanliREhKeERVaTVDZllSZl9hWVM4cmdrQ1pDdFVDS0pLX1lDRmZYUVVmSzNEck9IR2xQZmh1OTZuNVJyZlJyTm50MVVuYWRlQmFWWkZPcUtCV1pHMDBCaUlWN01SNlRZaHlqWE1wNXYzd2t0a1ZxcnVJdnRnN1lUb05xT0JRWGtRajNOMXBqUlFjejY0X1ZLSHNzSUFIWEx2Skd6TUIxenNPanVVQUtFMjhIRw?oc=5"" target=""_blank"">Monsoon Still Active: Heavy Rain Alerts Issued Across Bihar, Bengal and North India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">INVC</font>",
"Today’s weather 28 September 2024: Will there be relief in Maharashtra? Rain alert in these states including MP-Bihar, also know the condition of Delhi-NCR - Presswire18",https://news.google.com/rss/articles/CBMihwJBVV95cUxNN1lHMzRDcWtnR1VSZC0xaXJUd2k3MV9vOTJLR0tiXzE5NFNNc1JJZWZMdVBlWk1BX1gyaGxyZWsyeFVFeGY2M1BiNzZkd3ZWWnVPVmFHaXRLT3NObmgyc3c1dUh5cTdEVkRwdFBqSnI2c3dSakRTRmk0cHRPRkhLbk9IR01iaTNCY0RVSGFSNGNCbjI5WFB6ZlJDOW8xMmkwd3RiSUtodFBjOU01cDZSdng3THBGS29UZVBMTzZXdnpIdldra3hNelU2SFEwcVg4Y21ONzVDU09BNmtmX0lMV01VWHJaQ0UzbXozN2FOMkRQQjdYVE02c1o2MW8zaUpkOFMzRTBiYw?oc=5,2024-09-28 05:08:01,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMihwJBVV95cUxNN1lHMzRDcWtnR1VSZC0xaXJUd2k3MV9vOTJLR0tiXzE5NFNNc1JJZWZMdVBlWk1BX1gyaGxyZWsyeFVFeGY2M1BiNzZkd3ZWWnVPVmFHaXRLT3NObmgyc3c1dUh5cTdEVkRwdFBqSnI2c3dSakRTRmk0cHRPRkhLbk9IR01iaTNCY0RVSGFSNGNCbjI5WFB6ZlJDOW8xMmkwd3RiSUtodFBjOU01cDZSdng3THBGS29UZVBMTzZXdnpIdldra3hNelU2SFEwcVg4Y21ONzVDU09BNmtmX0lMV01VWHJaQ0UzbXozN2FOMkRQQjdYVE02c1o2MW8zaUpkOFMzRTBiYw?oc=5"" target=""_blank"">Today’s weather 28 September 2024: Will there be relief in Maharashtra? Rain alert in these states including MP-Bihar, also know the condition of Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
Tomorrow’s weather 28 September 2024: Will Maharashtra get relief from torrential rains? Know the condition of other states including Delhi-NCR - Presswire18,https://news.google.com/rss/articles/CBMi-AFBVV95cUxNUndLX2dQQUtORnRLLXB2N1EzMEV4akJETlRuYUlZSl9zcklaUmZ4VGZHZVF2SVVMUGR0WnRBY1ZOeVNDekxMWGd6SjZfLWFXYmd3NnB3YkptcVhBOUpUNnNDOGl3dVBJZlFSeC1BQzVfUVRVTEMtY2JKY0xyckhOUnhwR3NSVnRGUWZQN3l1blMxdkViVXJFWXBKRzd2X1lVTFcxWjdsaWZ0RVVFemg3MktTQ0NQa1dLRmtHQ0FDZ1d4Q29jaUF3TjBzQkk0eHlYOFFPRjlTMEN1eXZhRkZGQm83cDV4ek9FUjlwdFRKR1J2Vm1FYzBtOQ?oc=5,2024-09-27 16:45:44,Presswire18,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxNUndLX2dQQUtORnRLLXB2N1EzMEV4akJETlRuYUlZSl9zcklaUmZ4VGZHZVF2SVVMUGR0WnRBY1ZOeVNDekxMWGd6SjZfLWFXYmd3NnB3YkptcVhBOUpUNnNDOGl3dVBJZlFSeC1BQzVfUVRVTEMtY2JKY0xyckhOUnhwR3NSVnRGUWZQN3l1blMxdkViVXJFWXBKRzd2X1lVTFcxWjdsaWZ0RVVFemg3MktTQ0NQa1dLRmtHQ0FDZ1d4Q29jaUF3TjBzQkk0eHlYOFFPRjlTMEN1eXZhRkZGQm83cDV4ek9FUjlwdFRKR1J2Vm1FYzBtOQ?oc=5"" target=""_blank"">Tomorrow’s weather 28 September 2024: Will Maharashtra get relief from torrential rains? Know the condition of other states including Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Presswire18</font>",
