Title,Link,Date,Source,Summary,Place,Term,LanguageQueried
"41 reactions · 3 comments | Madhyamik 2025 | এবার মাধ্যমিকে আরও কড়াকড়ি, মোবাইল ফোন ব্যবহার নিয়ে কড়া নিষেধাজ্ঞা | Zee 24 Ghanta | Madhyamik 2025 | এবার মাধ্যমিকে আরও কড়াকড়ি, মোবাইল ফোন ব্যবহার নিয়ে কড়া নিষেধাজ্ঞা | Zee 24 Ghanta Payel Adhika - Zee 24 Ghanta | Kolkata",https://news.google.com/rss/articles/CBMirwZBVV95cUxPOVZlWnY4b1hMVFVtbk1MRy1TeExrMWFwYkdsLXBITXBhVjgtTk94RDQ3blNmTnZwOW1VZTVJcWtPUnVmSmhSRTBkVng3NGlEUHp3ZWtSUjBBbU9jdzR4T3haRkh6YmpBeTlMVXNxOU40cWNwbmxtSXZVTmNjR1lrZUdCMVltSFI0Z1hwZGdmbW1wVndNWnZRZl94TF82bkpicEtsQTF3alJmMkJjX2hpeXpsM0h3ckFFb0pvWUdDWlBKZmZqZnRpY1djVS05Nnp2QW96bjItaTJBWURUOXEtc1JTeUtZa3J1aXJtMVBGek5yVUZaVVpCZGp0dzJSUV9DVVpfRVhpQ2tLRzBFNW1TVVJVdlNlU0ZPaHhydkdFY0Q1VThiMEhTYWtGOVJRZFFzaWZTcFpJdlZBTDYyV0xMQ0gtZzNmdU9mZ2pIak5HMXp2djJ1MVhKUUNFRzl4TGFRYmltMHZpZ29qM2xuX3RabVZIenA5WnQ4cEs0ZFlWZHNYXzlNNU5WZUZHbjJ2VWxONERvdWZaNEdYWXJQekttTzBINzFGWS1rd3phZVFrcWhHZlhwNTJLNkw5Y2tyMmx1Ykp5dndIYVdlMVdpaWxERXh6V2o2YUo1ZXpLOElOanJGaEROeEI2LTVsdnp2dU1JTElyNVlzZ2pIOHpxUmhJdUo4cF9RcmtPMUMza3ZIdWtiWEV4NkJUX3dYQlRTUnE0NC0ydjNKOHV5bHdPdmQ5R3h3VXBoZXc0MWp3c1FYV0tGeEtacTFvMUpZU3JGYlpvRHFOTnpsMUJxQnEzYV9DS0JveFFyUzJOYXAwcjk1VXRQck1TM2JKWGxPblJYbDFpUkd3bWJvQWk5NV9xeHJtZlphbXRHT25uTjhsVzktc3o2MXBfSlV6Y0lhLWc3TGYzb1h4YUtiM05DeF9Mby1EaEFYQTFvTElfSEVvNWhGaWx5b0pLSVAtMS1kdW5GYUh3c3hUMk9xMndDakdnLVJsMWpFTEF0dUpNTE5wMnM1Q2Nid0xMR28yOUd0Z19HOWdWTS0wUlpwMzRNTHJmS2dmV2pqZkkwa2I5WmxrOXFKUQ?oc=5,2025-02-06 09:47:58,Zee 24 Ghanta | Kolkata,"<a href=""https://news.google.com/rss/articles/CBMirwZBVV95cUxPOVZlWnY4b1hMVFVtbk1MRy1TeExrMWFwYkdsLXBITXBhVjgtTk94RDQ3blNmTnZwOW1VZTVJcWtPUnVmSmhSRTBkVng3NGlEUHp3ZWtSUjBBbU9jdzR4T3haRkh6YmpBeTlMVXNxOU40cWNwbmxtSXZVTmNjR1lrZUdCMVltSFI0Z1hwZGdmbW1wVndNWnZRZl94TF82bkpicEtsQTF3alJmMkJjX2hpeXpsM0h3ckFFb0pvWUdDWlBKZmZqZnRpY1djVS05Nnp2QW96bjItaTJBWURUOXEtc1JTeUtZa3J1aXJtMVBGek5yVUZaVVpCZGp0dzJSUV9DVVpfRVhpQ2tLRzBFNW1TVVJVdlNlU0ZPaHhydkdFY0Q1VThiMEhTYWtGOVJRZFFzaWZTcFpJdlZBTDYyV0xMQ0gtZzNmdU9mZ2pIak5HMXp2djJ1MVhKUUNFRzl4TGFRYmltMHZpZ29qM2xuX3RabVZIenA5WnQ4cEs0ZFlWZHNYXzlNNU5WZUZHbjJ2VWxONERvdWZaNEdYWXJQekttTzBINzFGWS1rd3phZVFrcWhHZlhwNTJLNkw5Y2tyMmx1Ykp5dndIYVdlMVdpaWxERXh6V2o2YUo1ZXpLOElOanJGaEROeEI2LTVsdnp2dU1JTElyNVlzZ2pIOHpxUmhJdUo4cF9RcmtPMUMza3ZIdWtiWEV4NkJUX3dYQlRTUnE0NC0ydjNKOHV5bHdPdmQ5R3h3VXBoZXc0MWp3c1FYV0tGeEtacTFvMUpZU3JGYlpvRHFOTnpsMUJxQnEzYV9DS0JveFFyUzJOYXAwcjk1VXRQck1TM2JKWGxPblJYbDFpUkd3bWJvQWk5NV9xeHJtZlphbXRHT25uTjhsVzktc3o2MXBfSlV6Y0lhLWc3TGYzb1h4YUtiM05DeF9Mby1EaEFYQTFvTElfSEVvNWhGaWx5b0pLSVAtMS1kdW5GYUh3c3hUMk9xMndDakdnLVJsMWpFTEF0dUpNTE5wMnM1Q2Nid0xMR28yOUd0Z19HOWdWTS0wUlpwMzRNTHJmS2dmV2pqZkkwa2I5WmxrOXFKUQ?oc=5"" target=""_blank"">41 reactions · 3 comments | Madhyamik 2025 | এবার মাধ্যমিকে আরও কড়াকড়ি, মোবাইল ফোন ব্যবহার নিয়ে কড়া নিষেধাজ্ঞা | Zee 24 Ghanta | Madhyamik 2025 | এবার মাধ্যমিকে আরও কড়াকড়ি, মোবাইল ফোন ব্যবহার নিয়ে কড়া নিষেধাজ্ঞা | Zee 24 Ghanta Payel Adhika</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee 24 Ghanta | Kolkata</font>",,Disaster,bn
"West Bengal News Live: নৈরাজের বাংলাদেশে ধ্বংস মুক্তিযুদ্ধের স্মৃতি, শেখ মুজিবের বাড়ি ভেঙে গুঁড়িয়ে দিল মৌলবাদীরা - Indian Express Bangla",https://news.google.com/rss/articles/CBMivwFBVV95cUxOb0k5LXF4NHYtMmdpNENHN3AxT1dmVVpxZTFzVFdSZGNqVXltcGxiM29QYkUxekozMkQ5ZTlTcWM3bDIydDAwU0tmdWltaXhlTmlVUnVMcDE2Y3phMjR3T2pENklzRy1zLW5aLXE2cnZBR1RacGZGaHFXRU1IRk1yRVpsUFBzTU0xNVdXb1RBUUZuZEhHZVdnYWVRUTdycmpfV29FcXo0clZHcXRRY3Q5YUdmV3JXVkhKRzlLcWRYUdIBvwFBVV95cUxOb0k5LXF4NHYtMmdpNENHN3AxT1dmVVpxZTFzVFdSZGNqVXltcGxiM29QYkUxekozMkQ5ZTlTcWM3bDIydDAwU0tmdWltaXhlTmlVUnVMcDE2Y3phMjR3T2pENklzRy1zLW5aLXE2cnZBR1RacGZGaHFXRU1IRk1yRVpsUFBzTU0xNVdXb1RBUUZuZEhHZVdnYWVRUTdycmpfV29FcXo0clZHcXRRY3Q5YUdmV3JXVkhKRzlLcWRYUQ?oc=5,2025-02-06 08:39:21,Indian Express Bangla,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOb0k5LXF4NHYtMmdpNENHN3AxT1dmVVpxZTFzVFdSZGNqVXltcGxiM29QYkUxekozMkQ5ZTlTcWM3bDIydDAwU0tmdWltaXhlTmlVUnVMcDE2Y3phMjR3T2pENklzRy1zLW5aLXE2cnZBR1RacGZGaHFXRU1IRk1yRVpsUFBzTU0xNVdXb1RBUUZuZEhHZVdnYWVRUTdycmpfV29FcXo0clZHcXRRY3Q5YUdmV3JXVkhKRzlLcWRYUdIBvwFBVV95cUxOb0k5LXF4NHYtMmdpNENHN3AxT1dmVVpxZTFzVFdSZGNqVXltcGxiM29QYkUxekozMkQ5ZTlTcWM3bDIydDAwU0tmdWltaXhlTmlVUnVMcDE2Y3phMjR3T2pENklzRy1zLW5aLXE2cnZBR1RacGZGaHFXRU1IRk1yRVpsUFBzTU0xNVdXb1RBUUZuZEhHZVdnYWVRUTdycmpfV29FcXo0clZHcXRRY3Q5YUdmV3JXVkhKRzlLcWRYUQ?oc=5"" target=""_blank"">West Bengal News Live: নৈরাজের বাংলাদেশে ধ্বংস মুক্তিযুদ্ধের স্মৃতি, শেখ মুজিবের বাড়ি ভেঙে গুঁড়িয়ে দিল মৌলবাদীরা</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Indian Express Bangla</font>",,Disaster,bn
"West Bengal Weather Update: দিনে গরম, সপ্তাহান্তে ফিরবে শীতের আমেজ; চূড়ান্ত খামখেয়ালি আবহাওয়া, কী পূর্বাভাস? - Oneindia Bengali",https://news.google.com/rss/articles/CBMirAJBVV95cUxNTkQwSjViamJUTDB4cVZKcmg0dHlPbm1JR2poT1hqMXAyeTUwWGJtdG5fZ0ZRdGNhN0FpUlFqNzlmOW90dDVwTXhqeWNTd1NzYm56MXI5TDRjUFh0X2dJblBwRFlNQ0hWbEsyUWpWYTB3bW5jdElEYnZRSGx5eFItLU5OcGhKZzI3VGlYbnkwLUdLd2N0cGZXUkFlaG1mczNIR3BXZ3NGMmRhRGRRVmJ2NVBqRlBqSEFZZWQzSEp6eENwaDd0YmlqODV6X0ZmRF90Mkd1TmRjV3pvVVpjeGx3MU1HNHBOVDdEbE43di05NDFhb0xVZjJRN2lIbjdvYTM5alg4MG9nUFJlXzlzeVF5WFJURWtkYzByTzI2V2xZeEY0c2JOLUdXaHVPUEI?oc=5,2025-02-06 11:38:03,Oneindia Bengali,"<a href=""https://news.google.com/rss/articles/CBMirAJBVV95cUxNTkQwSjViamJUTDB4cVZKcmg0dHlPbm1JR2poT1hqMXAyeTUwWGJtdG5fZ0ZRdGNhN0FpUlFqNzlmOW90dDVwTXhqeWNTd1NzYm56MXI5TDRjUFh0X2dJblBwRFlNQ0hWbEsyUWpWYTB3bW5jdElEYnZRSGx5eFItLU5OcGhKZzI3VGlYbnkwLUdLd2N0cGZXUkFlaG1mczNIR3BXZ3NGMmRhRGRRVmJ2NVBqRlBqSEFZZWQzSEp6eENwaDd0YmlqODV6X0ZmRF90Mkd1TmRjV3pvVVpjeGx3MU1HNHBOVDdEbE43di05NDFhb0xVZjJRN2lIbjdvYTM5alg4MG9nUFJlXzlzeVF5WFJURWtkYzByTzI2V2xZeEY0c2JOLUdXaHVPUEI?oc=5"" target=""_blank"">West Bengal Weather Update: দিনে গরম, সপ্তাহান্তে ফিরবে শীতের আমেজ; চূড়ান্ত খামখেয়ালি আবহাওয়া, কী পূর্বাভাস?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Bengali</font>",,Disaster,bn
"প্রায় ৫ ডিগ্রি নামল পারদ, মাঘের শেষলগ্নে ফিরবে শীতের আমেজ? আবহাওয়ার বড় আপডেট - AajKaal",https://news.google.com/rss/articles/CBMitgFBVV95cUxQTlptOFJRTmFReFNlOGFNNUlkZmFFbXY4RWQxbE9ZQzlIY3dwWVZJSFNWYnBwOUlISUxQX3ZIcUdRTHRpakJUTVlrUjIwcDJwSnlLMTZCOENkLVFyQ08xdUFtdE9xMVh4b3ZLRG16X0syNkVFWGhqVW5Yby1paTJ0dmVLWFFpSk9jY0o3LTdIR0o2OEVBV01KQzRXckdrbHNCMDk0SnNzOXBKc1lXMW9oelh4czQyUQ?oc=5,2025-02-05 17:34:52,AajKaal,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxQTlptOFJRTmFReFNlOGFNNUlkZmFFbXY4RWQxbE9ZQzlIY3dwWVZJSFNWYnBwOUlISUxQX3ZIcUdRTHRpakJUTVlrUjIwcDJwSnlLMTZCOENkLVFyQ08xdUFtdE9xMVh4b3ZLRG16X0syNkVFWGhqVW5Yby1paTJ0dmVLWFFpSk9jY0o3LTdIR0o2OEVBV01KQzRXckdrbHNCMDk0SnNzOXBKc1lXMW9oelh4czQyUQ?oc=5"" target=""_blank"">প্রায় ৫ ডিগ্রি নামল পারদ, মাঘের শেষলগ্নে ফিরবে শীতের আমেজ? আবহাওয়ার বড় আপডেট</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AajKaal</font>",,Disaster,bn
"BGBS 2025 : বাংলার শাড়িকে বিশ্বের দরবারে নিয়ে যাবে রিলায়েন্স, রাজ্যে দ্বিগুণ লগ্নি - Editorji বাংলা",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUDlPOWVFeXZicDRZbWYwc1lWRVZaVWEtWmtZTnI1NlVIemRxQmFjNF92VlhfX25OZXkxV3dNNmctcGVlcU95RkY1SnNUVUthMjIyR2JFNVZPSXZ6RWphbDJ4UjNHOWJRNE04bFgwQWRYNF9sTGVldzdyUDlUVE9jU19CeFNLeVlYeVdqM0ItU2c0RWEwYVVsbHp6QTZybHpSZmh4cXZmX0dkRTVMcFViRnpLQU5fbGVqZkFMTWVfS3ZvMmhwVTMxa2tFME1Ddk100gHWAUFVX3lxTE50VXJZaklPUkQycUJnZkFHOTBiSG81STdwWHljQ0hlcHlwdUhHaTZtTENaNHBwbEF2bG1ZbmNfTEZ0aGE2R2ZSSG5KeXlMeHpfU1hMU0kwaEhtM2VUeDdyZzZLcjZiLXZsVVdka3FJSEJNT24tNmNOcmpoTFl6UlJuY19wSk5ldjg2UjBYWXhHZDVCaExLWTI2RE1lNXNxRVVaaWIzZXpjWGVLRWxHV3FtX0I3Yml6MnVKV2h4ak5XdU5DaUdEemtueHhhTEY4YVZmTDQxYnc?oc=5,2025-02-05 17:33:40,Editorji বাংলা,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQUDlPOWVFeXZicDRZbWYwc1lWRVZaVWEtWmtZTnI1NlVIemRxQmFjNF92VlhfX25OZXkxV3dNNmctcGVlcU95RkY1SnNUVUthMjIyR2JFNVZPSXZ6RWphbDJ4UjNHOWJRNE04bFgwQWRYNF9sTGVldzdyUDlUVE9jU19CeFNLeVlYeVdqM0ItU2c0RWEwYVVsbHp6QTZybHpSZmh4cXZmX0dkRTVMcFViRnpLQU5fbGVqZkFMTWVfS3ZvMmhwVTMxa2tFME1Ddk100gHWAUFVX3lxTE50VXJZaklPUkQycUJnZkFHOTBiSG81STdwWHljQ0hlcHlwdUhHaTZtTENaNHBwbEF2bG1ZbmNfTEZ0aGE2R2ZSSG5KeXlMeHpfU1hMU0kwaEhtM2VUeDdyZzZLcjZiLXZsVVdka3FJSEJNT24tNmNOcmpoTFl6UlJuY19wSk5ldjg2UjBYWXhHZDVCaExLWTI2RE1lNXNxRVVaaWIzZXpjWGVLRWxHV3FtX0I3Yml6MnVKV2h4ak5XdU5DaUdEemtueHhhTEY4YVZmTDQxYnc?oc=5"" target=""_blank"">BGBS 2025 : বাংলার শাড়িকে বিশ্বের দরবারে নিয়ে যাবে রিলায়েন্স, রাজ্যে দ্বিগুণ লগ্নি</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Editorji বাংলা</font>",,Disaster,bn
"সরস্বতী পুজোয় গরম, ২৪ ঘণ্টা পরেই আবহাওয়া বদল! ফিরছে শীত? - AajKaal",https://news.google.com/rss/articles/CBMiogFBVV95cUxOY0hqU05TSVhzZTdFd3M3VXk1aG1rbk9FcVJMRjNNQmF2MUhpa3E3S1liT19SX0xlb2F6Smk3aGZTNUpUYkJlUUR5c3pmTC13RTlBNy11U2dST29LWC1YcG5rWklMOEFhT3MxWGF5bWI5OU8zSXkyQjB1dDByaVhIS0ZXc3laSHBSdzdOeDZmOTItUDA4NUFZWWxLTlFnVW1fTmc?oc=5,2025-02-05 16:06:49,AajKaal,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxOY0hqU05TSVhzZTdFd3M3VXk1aG1rbk9FcVJMRjNNQmF2MUhpa3E3S1liT19SX0xlb2F6Smk3aGZTNUpUYkJlUUR5c3pmTC13RTlBNy11U2dST29LWC1YcG5rWklMOEFhT3MxWGF5bWI5OU8zSXkyQjB1dDByaVhIS0ZXc3laSHBSdzdOeDZmOTItUDA4NUFZWWxLTlFnVW1fTmc?oc=5"" target=""_blank"">সরস্বতী পুজোয় গরম, ২৪ ঘণ্টা পরেই আবহাওয়া বদল! ফিরছে শীত?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AajKaal</font>",,Disaster,bn
Exit Poll Delhi: দিদির মমতার 'আশীর্বাদ' কাজে আসবে না কেজরির? দিল্লির মসনদে ঝড় তুলবে বিজেপি! বড় ইঙ্গিত সমীক্ষায় - Oneindia Bengali,https://news.google.com/rss/articles/CBMiiwJBVV95cUxPVHZjYUpBT0VHc09qMW5BVzFuMTZOdVQxZ3ktcWlOQXdGUnVieTEtWXNMVTZzcC0zWkY2aHJjMVl5ZUE5Wm4xM2lzVkFEdlRBS1NHT242dnUwNnhObEQzZ1ZSSmJPRkx1MXA2R19ieGpUbWM3QzU1ZWRSbUFidmpsR2ZBWHV1OFBqMVNoMWt2dG9UUjJuc0hxU1hJTmNhYnhuNDBuV3RpNnNSVnFzX1o0b2lDMVZHUmJ3UkpVNFJaX0tqSUJHT0Y0Znl4TjlISFM4LUtGTnU5SGNNV1FleDVydkpfZ3ViT1JSbm1kaXR3aWlBZ3FKUGRiUl95UGtmdUhOSTl6MzBiWm1Rek0?oc=5,2025-02-05 18:55:49,Oneindia Bengali,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxPVHZjYUpBT0VHc09qMW5BVzFuMTZOdVQxZ3ktcWlOQXdGUnVieTEtWXNMVTZzcC0zWkY2aHJjMVl5ZUE5Wm4xM2lzVkFEdlRBS1NHT242dnUwNnhObEQzZ1ZSSmJPRkx1MXA2R19ieGpUbWM3QzU1ZWRSbUFidmpsR2ZBWHV1OFBqMVNoMWt2dG9UUjJuc0hxU1hJTmNhYnhuNDBuV3RpNnNSVnFzX1o0b2lDMVZHUmJ3UkpVNFJaX0tqSUJHT0Y0Znl4TjlISFM4LUtGTnU5SGNNV1FleDVydkpfZ3ViT1JSbm1kaXR3aWlBZ3FKUGRiUl95UGtmdUhOSTl6MzBiWm1Rek0?oc=5"" target=""_blank"">Exit Poll Delhi: দিদির মমতার 'আশীর্বাদ' কাজে আসবে না কেজরির? দিল্লির মসনদে ঝড় তুলবে বিজেপি! বড় ইঙ্গিত সমীক্ষায়</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Bengali</font>",,Disaster,bn
আগামী ৩ দিনের বিশেষ পূর্বাভাস । ৬-৮ ই ফেব্রুয়ারি ২০২৫ - BWOT Weather,https://news.google.com/rss/articles/CBMiZkFVX3lxTE1WM1U3VVBKRC0weUxhWTlEWXY3cTdPb0tyV2hCZVhITy1wOHlhMFZZb2x0ZVF2TXpHczMwOXkzTkJMODlMaVRfQUo1YXJSMU9nUjhueVRRUnlENi1feTlxelpZaEF2QQ?oc=5,2025-02-05 23:39:20,BWOT Weather,"<a href=""https://news.google.com/rss/articles/CBMiZkFVX3lxTE1WM1U3VVBKRC0weUxhWTlEWXY3cTdPb0tyV2hCZVhITy1wOHlhMFZZb2x0ZVF2TXpHczMwOXkzTkJMODlMaVRfQUo1YXJSMU9nUjhueVRRUnlENi1feTlxelpZaEF2QQ?oc=5"" target=""_blank"">আগামী ৩ দিনের বিশেষ পূর্বাভাস । ৬-৮ ই ফেব্রুয়ারি ২০২৫</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BWOT Weather</font>",,Disaster,bn
"WPL 2025: মহিলাদের প্রিমিয়ার লিগ শুরুর আগে চমক, অধিনায়ক বদল গুজরাত জায়ান্টসের - Oneindia Bengali",https://news.google.com/rss/articles/CBMiqwJBVV95cUxPeWRiRXdpa3RuOVV4alhTY0RTdUJzeFBCQ25nOUZUa3hRSHVzSlg1cThsX3Facm1uZm9lV1YwVUV2bHJ2ZWs4RmhNQ0ptWGxUMC1OOWpCc29KbkEtdnhzUllmaFlva3pIU1NDUXkyMGRUQzJud0xob3pDNGJqYzdaalhBTlRMT2pyR2tsTUwycnczdHFBay1ibWZsSk9sVllKWkpGY0d6dFg2ZVRuV3JWUDVpNU95WmUyQ3VWWEZnSjJLQjBXQ2ZrZUxENWtIMDJMMTlJMURmWGJrQWNFY2ZXOE51ZWhRZXlkVlBXVXlWYmhmWm5xZEIwNFQ3VnE3VUxhM2NZNWlTUXJubXk3Tmtwa1R5cVhVck5VSGVNTUtwckhxOHhhQUhqUlhPWQ?oc=5,2025-02-05 13:39:38,Oneindia Bengali,"<a href=""https://news.google.com/rss/articles/CBMiqwJBVV95cUxPeWRiRXdpa3RuOVV4alhTY0RTdUJzeFBCQ25nOUZUa3hRSHVzSlg1cThsX3Facm1uZm9lV1YwVUV2bHJ2ZWs4RmhNQ0ptWGxUMC1OOWpCc29KbkEtdnhzUllmaFlva3pIU1NDUXkyMGRUQzJud0xob3pDNGJqYzdaalhBTlRMT2pyR2tsTUwycnczdHFBay1ibWZsSk9sVllKWkpGY0d6dFg2ZVRuV3JWUDVpNU95WmUyQ3VWWEZnSjJLQjBXQ2ZrZUxENWtIMDJMMTlJMURmWGJrQWNFY2ZXOE51ZWhRZXlkVlBXVXlWYmhmWm5xZEIwNFQ3VnE3VUxhM2NZNWlTUXJubXk3Tmtwa1R5cVhVck5VSGVNTUtwckhxOHhhQUhqUlhPWQ?oc=5"" target=""_blank"">WPL 2025: মহিলাদের প্রিমিয়ার লিগ শুরুর আগে চমক, অধিনায়ক বদল গুজরাত জায়ান্টসের</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia Bengali</font>",,Disaster,bn
"The Sikkim flood of October 2023: IIT Bhubaneswar Faculty studies the drivers, causes and impacts of a multi-hazard cascade - IBG NEWS",https://news.google.com/rss/articles/CBMi6AFBVV95cUxQX05OOHZlWmd2WmVCMzk5SXF3d2NhY0IwcUFQUERHSklXcnBHNmpHaXVZZjJ2SDhjVjFKbDRCeTdsaE5SNUlIMWpXVHF4RUtlZ2ZkclBxX1huVmZWM1ZCdmJXRk9RblFudEE0M2VhU00zVDl0RjNONkkwdnFDS1FEWDJKRW5QX293Z2NqempJRUczU0NCXzdCMmI1eUlIWHVUWm9CSGtvSDBzSDBuRzVDaU15ZUZsenNsemdkQ05IdFJwTElkMDA4VmxkWHJmYnBaVm8tY3dGbHZiZjJtZ1FpV2Ftem5MLWdO?oc=5,2025-02-05 17:53:56,IBG NEWS,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQX05OOHZlWmd2WmVCMzk5SXF3d2NhY0IwcUFQUERHSklXcnBHNmpHaXVZZjJ2SDhjVjFKbDRCeTdsaE5SNUlIMWpXVHF4RUtlZ2ZkclBxX1huVmZWM1ZCdmJXRk9RblFudEE0M2VhU00zVDl0RjNONkkwdnFDS1FEWDJKRW5QX293Z2NqempJRUczU0NCXzdCMmI1eUlIWHVUWm9CSGtvSDBzSDBuRzVDaU15ZUZsenNsemdkQ05IdFJwTElkMDA4VmxkWHJmYnBaVm8tY3dGbHZiZjJtZ1FpV2Ftem5MLWdO?oc=5"" target=""_blank"">The Sikkim flood of October 2023: IIT Bhubaneswar Faculty studies the drivers, causes and impacts of a multi-hazard cascade</a>&nbsp;&nbsp;<font color=""#6f6f6f"">IBG NEWS</font>",,Disaster,en
