Title,Link,Date,Source,Summary,Term,LanguageQueried
"ফের ঘূর্ণাবর্তের সম্ভাবনা রাজ্যে, জলীয় বাষ্পে বাড়ছে অস্বস্তি - Ei Samay",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPbGYzZjloVkFmeE9qLVBsZW9Kd0RpRzRHMlRpLWR3czluN2x6em56cUFwWUQ2RVdibDktby1xeE1OMHNHRFN6U3dXMW9GY2xyWTAzbVFNUEZvS3lZMnE0OGFBQXhBaklYbGdXTUVWcUh5cmNJbldNVjRDUFZlc2Q3QTBHV0JmNnJNNFptNmZqRTd1ckFjb19xM0FjWUFtdkpnQkxQaGxRbXE2V21oV3BGenB3c2ZGOThXbVQ2YmtmaWpZVERlb0htVjJRcTlwTGZPc2cxcTEzbUNhOTcwd2Q4?oc=5,2025-07-12 04:50:00,Ei Samay,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxPbGYzZjloVkFmeE9qLVBsZW9Kd0RpRzRHMlRpLWR3czluN2x6em56cUFwWUQ2RVdibDktby1xeE1OMHNHRFN6U3dXMW9GY2xyWTAzbVFNUEZvS3lZMnE0OGFBQXhBaklYbGdXTUVWcUh5cmNJbldNVjRDUFZlc2Q3QTBHV0JmNnJNNFptNmZqRTd1ckFjb19xM0FjWUFtdkpnQkxQaGxRbXE2V21oV3BGenB3c2ZGOThXbVQ2YmtmaWpZVERlb0htVjJRcTlwTGZPc2cxcTEzbUNhOTcwd2Q4?oc=5"" target=""_blank"">ফের ঘূর্ণাবর্তের সম্ভাবনা রাজ্যে, জলীয় বাষ্পে বাড়ছে অস্বস্তি</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ei Samay</font>",Disaster,bn
"Bengal Weather: রবিতে মনসুন ফ্লো সক্রিয় হতেই ফের বাড়বে দুর্যোগ, চলবে সপ্তাহভর ! আশঙ্কা ধস, প্লাবনের... - Zee News",https://news.google.com/rss/articles/CBMi3AFBVV95cUxObWQzcVc0MkRUVVhxdGtIOHlkazdxU0cxTHBFeFhhTGdrUk51enRSMWR4c1hZOFVIdE1xdzdJNmdEQXQ3YXdnN1ZCbG03QlduM1dkczgxX3doSzhueDl3dDczQmRLNE93MDJLcV9Fc284YTd2UWt0RFdQblYwVGNycG9ETHhfRmZLVXg2YmVGY1FkY1haVkJwZnc3aVVJdy1HUHM0c0ZDTTJjTnZ4SXB3M1JxbGRlaXJnTmpIQWNPRG42TFJZU000OVFvMXhuMVIxQkhuNDlUNm5wa3Nm?oc=5,2025-07-11 18:22:03,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxObWQzcVc0MkRUVVhxdGtIOHlkazdxU0cxTHBFeFhhTGdrUk51enRSMWR4c1hZOFVIdE1xdzdJNmdEQXQ3YXdnN1ZCbG03QlduM1dkczgxX3doSzhueDl3dDczQmRLNE93MDJLcV9Fc284YTd2UWt0RFdQblYwVGNycG9ETHhfRmZLVXg2YmVGY1FkY1haVkJwZnc3aVVJdy1HUHM0c0ZDTTJjTnZ4SXB3M1JxbGRlaXJnTmpIQWNPRG42TFJZU000OVFvMXhuMVIxQkhuNDlUNm5wa3Nm?oc=5"" target=""_blank"">Bengal Weather: রবিতে মনসুন ফ্লো সক্রিয় হতেই ফের বাড়বে দুর্যোগ, চলবে সপ্তাহভর ! আশঙ্কা ধস, প্লাবনের...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,bn
"West Bengal Weather Forecast: রোদের দেখা মিললেও স্বস্তি কতক্ষণ...! আচমকা বদলে যাবে আকাশ, ফের ধেয়ে আসছে তুমু... - News18",https://news.google.com/rss/articles/CBMiuAJBVV95cUxNb2VXVVVwT2tkUHVRTXYwOUxSSFQzNDl4MVJUOURjenNiMWZKbkJIME5mRHV3M19TMGpQUGdmQ19vVXpBUVU3NGZuRWFqQTVQdlpwSE1mYVkwYUxZS1JyZlBIX2lHeVU2Z3pVQ2Q4dG4weTFjQVRmUHBpdXVablZibXNXMDJSOEI4SUhWTVViYUpwbTFfUWpuVll2Zm9zWUphTDJaRVROejU3UE9OOHVIQ1FOZmlTaHR6ZHVHUWRCTjkwWkNCaXVBaWhvYXpzajJyRW9kMUFWc21MTGV0bENBbFRDYXpWZE1iQ2oxV0Q3V3NnZGp0bEQ3RFh6QVhnZVA5aVByUnlFYWtsbnQySFpFV3VzdXFHNFlKUzBoRHBpdWV0VHNpaDNzRVFHSW9mQlJhUmlPZTJkY3PSAb4CQVVfeXFMT2FwYzZTNXhldG9weWpydm5FOWtnSko5X2pCck5QNFRRdTRlUkNuZHFWNkJlNWowT21KV2dxTEQtSXZ1d01kdzZ1TjZtNzFEdmFQdEpvNk5OY19Oejh2UWhxTTdUeXh6cTFha1RCSVBwRzRBNnJpWHZBcDcyZlNBS1JEY3ZxbGw4YTRXWG9JM2VEalMwRFZGQUxUQXFUNFZxbnJycklXYWRwV1pna0hiUzJrNnkzeUF6Mk0tbjZNRnI0NG95U2VycDAxbjR0X2QtZTRzS05BbFVGNnhmNTdBMzNnTE0xM3NUemdCZ3lOSnUzYmZlaDFxWDJ5ZFEtWFZiUHlZRF9ndUFKSF8wbndXbG1PSkFvT0ZtUkhsdE90bXJ0cndJMTNvREYyYVhjTk5xOUxkRms1cWYwQnN0ZFp3?oc=5,2025-07-11 14:18:00,News18,"<a href=""https://news.google.com/rss/articles/CBMiuAJBVV95cUxNb2VXVVVwT2tkUHVRTXYwOUxSSFQzNDl4MVJUOURjenNiMWZKbkJIME5mRHV3M19TMGpQUGdmQ19vVXpBUVU3NGZuRWFqQTVQdlpwSE1mYVkwYUxZS1JyZlBIX2lHeVU2Z3pVQ2Q4dG4weTFjQVRmUHBpdXVablZibXNXMDJSOEI4SUhWTVViYUpwbTFfUWpuVll2Zm9zWUphTDJaRVROejU3UE9OOHVIQ1FOZmlTaHR6ZHVHUWRCTjkwWkNCaXVBaWhvYXpzajJyRW9kMUFWc21MTGV0bENBbFRDYXpWZE1iQ2oxV0Q3V3NnZGp0bEQ3RFh6QVhnZVA5aVByUnlFYWtsbnQySFpFV3VzdXFHNFlKUzBoRHBpdWV0VHNpaDNzRVFHSW9mQlJhUmlPZTJkY3PSAb4CQVVfeXFMT2FwYzZTNXhldG9weWpydm5FOWtnSko5X2pCck5QNFRRdTRlUkNuZHFWNkJlNWowT21KV2dxTEQtSXZ1d01kdzZ1TjZtNzFEdmFQdEpvNk5OY19Oejh2UWhxTTdUeXh6cTFha1RCSVBwRzRBNnJpWHZBcDcyZlNBS1JEY3ZxbGw4YTRXWG9JM2VEalMwRFZGQUxUQXFUNFZxbnJycklXYWRwV1pna0hiUzJrNnkzeUF6Mk0tbjZNRnI0NG95U2VycDAxbjR0X2QtZTRzS05BbFVGNnhmNTdBMzNnTE0xM3NUemdCZ3lOSnUzYmZlaDFxWDJ5ZFEtWFZiUHlZRF9ndUFKSF8wbndXbG1PSkFvT0ZtUkhsdE90bXJ0cndJMTNvREYyYVhjTk5xOUxkRms1cWYwQnN0ZFp3?oc=5"" target=""_blank"">West Bengal Weather Forecast: রোদের দেখা মিললেও স্বস্তি কতক্ষণ...! আচমকা বদলে যাবে আকাশ, ফের ধেয়ে আসছে তুমু...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Disaster,bn
"Bengal Weather Update: দিনভর গুমোট আবহাওয়া! রবি থেকে ফের বাড়বে বৃষ্টির দাপট, ভাসবে প্রায় সব জেলাই... - Zee News",https://news.google.com/rss/articles/CBMi4gFBVV95cUxNbEc2QVhnb0lrSGk0NGNIbXhJajd1UmpYODl4N2wxdnlPVGE5bzlFNVQ5RndmVTJOYml4bWMtdGNoZWNtWGFjNHg5R2hjc1E0ajRhTjRQRlR4UFJ1UU1yNHBzOEUtd3hVWUM3dS1LcHY0bU1EMWc1T25iYzh0YUpWTER3OEVVYzYxNzY0VzB6UXc1dDF0Q2RjbnNrVFpGdEdockM5Wk1DNmppZ2d0Ul9lUmtrU3BpRW1OZlp4UWlqNEZ3d2Nja1czQXlxN1ItT3hhSW8zajdySmFheUNPS09EX1Bn?oc=5,2025-07-11 10:44:20,Zee News,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxNbEc2QVhnb0lrSGk0NGNIbXhJajd1UmpYODl4N2wxdnlPVGE5bzlFNVQ5RndmVTJOYml4bWMtdGNoZWNtWGFjNHg5R2hjc1E0ajRhTjRQRlR4UFJ1UU1yNHBzOEUtd3hVWUM3dS1LcHY0bU1EMWc1T25iYzh0YUpWTER3OEVVYzYxNzY0VzB6UXc1dDF0Q2RjbnNrVFpGdEdockM5Wk1DNmppZ2d0Ul9lUmtrU3BpRW1OZlp4UWlqNEZ3d2Nja1czQXlxN1ItT3hhSW8zajdySmFheUNPS09EX1Bn?oc=5"" target=""_blank"">Bengal Weather Update: দিনভর গুমোট আবহাওয়া! রবি থেকে ফের বাড়বে বৃষ্টির দাপট, ভাসবে প্রায় সব জেলাই...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee News</font>",Disaster,bn
"Weather forercast of Bengal: বৃষ্টি থামতেই রোদের দেখা, ১৩-১৫ ফের বঙ্গে ভারী বর্ষণের সম্ভাবনা - Duranta Barta",https://news.google.com/rss/articles/CBMitAFBVV95cUxOSmZZSFpxMW1uRTJIOWxzbmxidzFFOGhGX3lDaFdKOHBUOWNldzEzRlRTcjZxUGpzeGJMd0xmcElKcmxNZHRjcFNSbU8xU2o3SEw2Z0NaSnRidlFxN21NYUoybHQwTTdVVXJaZXF1T1I5ZV9HV0dwcXhCXzR3clpfTkpBWHZSQzA3c2VPZDQ0MGdWeTYtUGxSTmpIT3FKcWZpc2Jyam5fMXBrV1BnTDAxTzFiSlI?oc=5,2025-07-12 10:01:22,Duranta Barta,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOSmZZSFpxMW1uRTJIOWxzbmxidzFFOGhGX3lDaFdKOHBUOWNldzEzRlRTcjZxUGpzeGJMd0xmcElKcmxNZHRjcFNSbU8xU2o3SEw2Z0NaSnRidlFxN21NYUoybHQwTTdVVXJaZXF1T1I5ZV9HV0dwcXhCXzR3clpfTkpBWHZSQzA3c2VPZDQ0MGdWeTYtUGxSTmpIT3FKcWZpc2Jyam5fMXBrV1BnTDAxTzFiSlI?oc=5"" target=""_blank"">Weather forercast of Bengal: বৃষ্টি থামতেই রোদের দেখা, ১৩-১৫ ফের বঙ্গে ভারী বর্ষণের সম্ভাবনা</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Duranta Barta</font>",Disaster,bn
"Landslide: রানিগঞ্জে বন্ধ খনি এলাকার ফের ধস, আতঙ্ক - Duranta Barta",https://news.google.com/rss/articles/CBMimAFBVV95cUxNc1c2NGZxZm5aMjBtenp2RkZwZTRYc253TVVkTVk2eXBTbjVZelpJMVVDUjA3dXZpR2hsdW9IY0ZuY3F0VHBLb0dzYmxsb18tTU91V1gyZTJNdEEzaGhFazNOUkVYUFRfTklmTEdSTGdPQU1zdzgzZ1h0UE5jYzg5UWRtN3VTeWdIWlJPeGpod2t5UXc2RS0yQg?oc=5,2025-07-11 17:04:51,Duranta Barta,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNc1c2NGZxZm5aMjBtenp2RkZwZTRYc253TVVkTVk2eXBTbjVZelpJMVVDUjA3dXZpR2hsdW9IY0ZuY3F0VHBLb0dzYmxsb18tTU91V1gyZTJNdEEzaGhFazNOUkVYUFRfTklmTEdSTGdPQU1zdzgzZ1h0UE5jYzg5UWRtN3VTeWdIWlJPeGpod2t5UXc2RS0yQg?oc=5"" target=""_blank"">Landslide: রানিগঞ্জে বন্ধ খনি এলাকার ফের ধস, আতঙ্ক</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Duranta Barta</font>",Disaster,bn
"Weather forecast of Bengal: গরম কমে মিলবে স্বস্তি, দক্ষিণ ও উত্তরবঙ্গে ঝড়-বৃষ্টির পূর্বাভাস - Duranta Barta",https://news.google.com/rss/articles/CBMipwFBVV95cUxNdklOUUE2WS0xQ25YM3lIU0RHS2dXbjU1RzYxWXlCc3IxQ2YwSHUzMGtURUhYM09nQ3cxYlE4Y25hd3E2YnFsUTdpVE00c2haYWdJQWozUjQ2ZlptQkxDYlV0SVdiMU52THc0bkg5c3dwdHBoOUkzdm9qTkprMWkwVXpQMnFwZ01CMnlOdGNGdWh6M1N5UXYwZ2I0RVR0ZHV3eURZX3Fvdw?oc=5,2025-07-11 14:08:52,Duranta Barta,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNdklOUUE2WS0xQ25YM3lIU0RHS2dXbjU1RzYxWXlCc3IxQ2YwSHUzMGtURUhYM09nQ3cxYlE4Y25hd3E2YnFsUTdpVE00c2haYWdJQWozUjQ2ZlptQkxDYlV0SVdiMU52THc0bkg5c3dwdHBoOUkzdm9qTkprMWkwVXpQMnFwZ01CMnlOdGNGdWh6M1N5UXYwZ2I0RVR0ZHV3eURZX3Fvdw?oc=5"" target=""_blank"">Weather forecast of Bengal: গরম কমে মিলবে স্বস্তি, দক্ষিণ ও উত্তরবঙ্গে ঝড়-বৃষ্টির পূর্বাভাস</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Duranta Barta</font>",Disaster,bn
"Bengal Weather: Kolkata On 2-Day Rain, Thunderstorm Alert, Showers To Continue In Southern Districts | Forecast - thedailyjagran.com",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOaGNEY29wcTUweFN4TG5xYk10RmZKZGhWNHNkNEp0Q05NemctNzBvbTU4V3RjTVczaVltUEVuZjZWY3JSWktXdGt1SGlEdFFkUzlnUGFINVI0bWVlcjluZTNTbEpxV2VRMDl6OFRlaFMtNk1PSkdJTEVrM2ppekJ2VGtrWEZ6OW5TYzZkYVBSRHh1bWdSS2Vmb3NuVDJGRy1oQUdwbTcxVWJPRWJKNDdRdU5xS0ZGNFFrckxPUWpDRmU5N2hBRXctOTRwc1lKUFNYRldWNGE3dHdvaTRtTUE?oc=5,2025-07-11 19:06:00,thedailyjagran.com,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOaGNEY29wcTUweFN4TG5xYk10RmZKZGhWNHNkNEp0Q05NemctNzBvbTU4V3RjTVczaVltUEVuZjZWY3JSWktXdGt1SGlEdFFkUzlnUGFINVI0bWVlcjluZTNTbEpxV2VRMDl6OFRlaFMtNk1PSkdJTEVrM2ppekJ2VGtrWEZ6OW5TYzZkYVBSRHh1bWdSS2Vmb3NuVDJGRy1oQUdwbTcxVWJPRWJKNDdRdU5xS0ZGNFFrckxPUWpDRmU5N2hBRXctOTRwc1lKUFNYRldWNGE3dHdvaTRtTUE?oc=5"" target=""_blank"">Bengal Weather: Kolkata On 2-Day Rain, Thunderstorm Alert, Showers To Continue In Southern Districts | Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">thedailyjagran.com</font>",Disaster,en
Weather | Monsoon jitters - MSN,https://news.google.com/rss/articles/CBMifEFVX3lxTE5YcE1CUGp1XzJLUEtQaFFSYi1PUlAxbGdKUWxOeDBKYXNWQ1BxMFNpWDFDakpkTW1Fc0VVNzFQZlA1RW51eW04M2RsUkxVRkVpSFpkanVmV29ka0VGY0VZOUkxUnRyQURhTVN4X3ozRDkxODBkeGdWMTNwek4?oc=5,2025-07-11 20:21:23,MSN,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE5YcE1CUGp1XzJLUEtQaFFSYi1PUlAxbGdKUWxOeDBKYXNWQ1BxMFNpWDFDakpkTW1Fc0VVNzFQZlA1RW51eW04M2RsUkxVRkVpSFpkanVmV29ka0VGY0VZOUkxUnRyQURhTVN4X3ozRDkxODBkeGdWMTNwek4?oc=5"" target=""_blank"">Weather | Monsoon jitters</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Disaster,en
IMD Red Alert: Dangerous 100-Hour Rainfall Slam to Hit India—Is Your State in Danger? - INVC NEWS,https://news.google.com/rss/articles/CBMitAFBVV95cUxOUnlxX25heWJkU3F5V0JEcEx3VmsyckhydnluT21sS3ZXcExXTEJzNnd3Z29LbnBPd3REMGpwOHRnVHlmbGVQUFcxaFBLMWplbjdKdkhkZnpqdEZqTGItb3A3MXRURzZxUkU1SWJ2SkJOU2tqdTZUa3ZsVFI5T0NOV0NrUHNqUkZYUDltUWoxZjVueVpZV1o4eGFBNkl5NFRndVZpWG0tQ3VpMGVlNWRXaGVveGU?oc=5,2025-07-12 06:51:02,INVC NEWS,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxOUnlxX25heWJkU3F5V0JEcEx3VmsyckhydnluT21sS3ZXcExXTEJzNnd3Z29LbnBPd3REMGpwOHRnVHlmbGVQUFcxaFBLMWplbjdKdkhkZnpqdEZqTGItb3A3MXRURzZxUkU1SWJ2SkJOU2tqdTZUa3ZsVFI5T0NOV0NrUHNqUkZYUDltUWoxZjVueVpZV1o4eGFBNkl5NFRndVZpWG0tQ3VpMGVlNWRXaGVveGU?oc=5"" target=""_blank"">IMD Red Alert: Dangerous 100-Hour Rainfall Slam to Hit India—Is Your State in Danger?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">INVC NEWS</font>",Disaster,en
