Title,Link,Date,Source,Summary,Term,LanguageQueried
"Western Disturbances: বঙ্গোপসাগরের সাইক্লোন ক্ষতি করতে পারেনি, নতুন করে তৈরি পশ্চিমী ঝামেলায় তাপমাত্রা লাফ... - News18",https://news.google.com/rss/articles/CBMiswFBVV95cUxPdzdCZWVucWs3RHMxaGhtZFFrSzRQWTVNM3lQdzdqWS1NWGRGY2JNaWVERnhpd2NuNGpidWlOOWNHR096cjJPLXd0UTZHR3hjVTVrUzZmWk1jQkRPMmh1OXhKTmxtNWFTamRwdVZncG51N01KR2tqbzVhY3c5bmp0TWRlTGxOdFAxYTRlblZPdmZia2pJQWN4ZWJpMklQbkswek5WeXdJTzRNa3BmcmxyWEF6TdIBswFBVV95cUxPdzdCZWVucWs3RHMxaGhtZFFrSzRQWTVNM3lQdzdqWS1NWGRGY2JNaWVERnhpd2NuNGpidWlOOWNHR096cjJPLXd0UTZHR3hjVTVrUzZmWk1jQkRPMmh1OXhKTmxtNWFTamRwdVZncG51N01KR2tqbzVhY3c5bmp0TWRlTGxOdFAxYTRlblZPdmZia2pJQWN4ZWJpMklQbkswek5WeXdJTzRNa3BmcmxyWEF6TQ?oc=5,2025-12-02 23:32:17,News18,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxPdzdCZWVucWs3RHMxaGhtZFFrSzRQWTVNM3lQdzdqWS1NWGRGY2JNaWVERnhpd2NuNGpidWlOOWNHR096cjJPLXd0UTZHR3hjVTVrUzZmWk1jQkRPMmh1OXhKTmxtNWFTamRwdVZncG51N01KR2tqbzVhY3c5bmp0TWRlTGxOdFAxYTRlblZPdmZia2pJQWN4ZWJpMklQbkswek5WeXdJTzRNa3BmcmxyWEF6TdIBswFBVV95cUxPdzdCZWVucWs3RHMxaGhtZFFrSzRQWTVNM3lQdzdqWS1NWGRGY2JNaWVERnhpd2NuNGpidWlOOWNHR096cjJPLXd0UTZHR3hjVTVrUzZmWk1jQkRPMmh1OXhKTmxtNWFTamRwdVZncG51N01KR2tqbzVhY3c5bmp0TWRlTGxOdFAxYTRlblZPdmZia2pJQWN4ZWJpMklQbkswek5WeXdJTzRNa3BmcmxyWEF6TQ?oc=5"" target=""_blank"">Western Disturbances: বঙ্গোপসাগরের সাইক্লোন ক্ষতি করতে পারেনি, নতুন করে তৈরি পশ্চিমী ঝামেলায় তাপমাত্রা লাফ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Disaster,bn
"আজকের আবহাওয়াঃ দক্ষিণবঙ্গে নামছে তাপমাত্রা, জাঁকিয়ে শীত কবে? - Najarbandi",https://news.google.com/rss/articles/CBMia0FVX3lxTE92U3V4blZRak5UZ2pvdEJyNWR1T01tdklXYTlLVXVqa2VOam1aaFlPWDJPLWQxd1BCUE9Xb2dkU2tUNkdldXZUcDZyMUVSMUZRTnpPbFd5VWFjWm82d3FHTWNHaVNDejQzZkNN?oc=5,2025-12-02 22:44:55,Najarbandi,"<a href=""https://news.google.com/rss/articles/CBMia0FVX3lxTE92U3V4blZRak5UZ2pvdEJyNWR1T01tdklXYTlLVXVqa2VOam1aaFlPWDJPLWQxd1BCUE9Xb2dkU2tUNkdldXZUcDZyMUVSMUZRTnpPbFd5VWFjWm82d3FHTWNHaVNDejQzZkNN?oc=5"" target=""_blank"">আজকের আবহাওয়াঃ দক্ষিণবঙ্গে নামছে তাপমাত্রা, জাঁকিয়ে শীত কবে?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Najarbandi</font>",Disaster,bn
Cyclone Ditwah Live Updates: 2 Tamil Nadu districts receive over 10 cm rainfall; schools closed in Kancheepuram - Times of India,https://news.google.com/rss/articles/CBMiswJBVV95cUxQdEhJbzJReVdiNENMMEUyNVpKa012cmFObEhwbm42Mm12R3pDeFRNMFJ4MUVhZ2NKOGQzS1BTOU1XVVJvdHFOM0NsWXRSUDAzSnh0d1BpUW1ZSkZSRXhvMk1uTFpnR2NENFZuWmxfU0N4blpxZ2VmdllOWE85VjJrR21fVTVoN1lHXzVvTmk1cXNOYk0xSVdxeUFJNFpiVk8tbE5xUFR2UUJ1N0dReWV3MGVQeUEwLUpxeENTUmZUNERFWF9DZlh2NGltUnBKSHRzdWdFQlBqZW9nMHhIN2h0OGRXaFZRRThLLWR4a3p1bWhBN0xoczIzak44ZXBubF90cHFBYVE4eURHUlMwMzBoSjloVUNrdzhicXlheGVaX0JxVFd2YlFHSTNlWXZhajZjbkdV0gG4AkFVX3lxTE0tMEFhQTdLQmV5ekl2eDVNQnVjS0JWWlBxTEdib3ZJQWh2ODVxQW5LeWNBMUduQ0JzdXJXX1UyYjVwMGRkTFhUVzdzWktxd3BibE5sTjlwOWhGU2pZbTJ2Z0YydW1GVmpFazd3RmRDenEzUE1tbGlSVmE1SjVFZmpCX1h4YVdUTnlLSWpMRF96MVoweUhobFV0LXl1RGJpc0VUMmFwTG9NQV8zdkNHTGpZbkFzX3dld1IwMF9NM2gyR0V4Z3BQR2dkZFo0VGpOeFRQRXVGRERfbEs5SktqT1h5eFFQdXhIazRBWXBjMzRJNURHUnZLUUdhT2d6dk04WFl3ZmtPQzdmU00zOXl2SUVBN1liRXR3MFBPMzVCYzIyek00UzJGbElrYVNrR3dlOTdURlpSbUJiVA?oc=5,2025-12-03 08:04:01,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiswJBVV95cUxQdEhJbzJReVdiNENMMEUyNVpKa012cmFObEhwbm42Mm12R3pDeFRNMFJ4MUVhZ2NKOGQzS1BTOU1XVVJvdHFOM0NsWXRSUDAzSnh0d1BpUW1ZSkZSRXhvMk1uTFpnR2NENFZuWmxfU0N4blpxZ2VmdllOWE85VjJrR21fVTVoN1lHXzVvTmk1cXNOYk0xSVdxeUFJNFpiVk8tbE5xUFR2UUJ1N0dReWV3MGVQeUEwLUpxeENTUmZUNERFWF9DZlh2NGltUnBKSHRzdWdFQlBqZW9nMHhIN2h0OGRXaFZRRThLLWR4a3p1bWhBN0xoczIzak44ZXBubF90cHFBYVE4eURHUlMwMzBoSjloVUNrdzhicXlheGVaX0JxVFd2YlFHSTNlWXZhajZjbkdV0gG4AkFVX3lxTE0tMEFhQTdLQmV5ekl2eDVNQnVjS0JWWlBxTEdib3ZJQWh2ODVxQW5LeWNBMUduQ0JzdXJXX1UyYjVwMGRkTFhUVzdzWktxd3BibE5sTjlwOWhGU2pZbTJ2Z0YydW1GVmpFazd3RmRDenEzUE1tbGlSVmE1SjVFZmpCX1h4YVdUTnlLSWpMRF96MVoweUhobFV0LXl1RGJpc0VUMmFwTG9NQV8zdkNHTGpZbkFzX3dld1IwMF9NM2gyR0V4Z3BQR2dkZFo0VGpOeFRQRXVGRERfbEs5SktqT1h5eFFQdXhIazRBWXBjMzRJNURHUnZLUUdhT2d6dk04WFl3ZmtPQzdmU00zOXl2SUVBN1liRXR3MFBPMzVCYzIyek00UzJGbElrYVNrR3dlOTdURlpSbUJiVA?oc=5"" target=""_blank"">Cyclone Ditwah Live Updates: 2 Tamil Nadu districts receive over 10 cm rainfall; schools closed in Kancheepuram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Officials in Sri Lanka are facing immense pressure for their alleged mishandling of Cyclone Ditwah, which killed over 400 and affected more than 1.46 million people across the country. p.dw.com/p/54d6v - facebook.com",https://news.google.com/rss/articles/CBMi4AFBVV95cUxPRWpJMnN5WV9PbGNUbnVKaHFTMXhXVGdIS3oxcWtWNGZQcHkxMlV4SEltdDlwNl9nczg3cktrZThJYjhDWFpMVzVyYjlKa2liZVMzLW5LanFVbl85bTBaYkp5OU9OVXd3QUxOaXlmM3ZEb3hjeVFlQkdZUVRwQTBqQllQLUs4MFpFUU4zbEZZMkJGTWJGQWtNT1BEMlI1OU80dU56YWFKVG9EUXFuZ281czdvU18yWnhBYjZtZ2tIYnJlTUkzZ1oyUGpDVHFmcFdkSWtDOHZwakJNcjlHQ0owYQ?oc=5,2025-12-03 06:13:22,facebook.com,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxPRWpJMnN5WV9PbGNUbnVKaHFTMXhXVGdIS3oxcWtWNGZQcHkxMlV4SEltdDlwNl9nczg3cktrZThJYjhDWFpMVzVyYjlKa2liZVMzLW5LanFVbl85bTBaYkp5OU9OVXd3QUxOaXlmM3ZEb3hjeVFlQkdZUVRwQTBqQllQLUs4MFpFUU4zbEZZMkJGTWJGQWtNT1BEMlI1OU80dU56YWFKVG9EUXFuZ281czdvU18yWnhBYjZtZ2tIYnJlTUkzZ1oyUGpDVHFmcFdkSWtDOHZwakJNcjlHQ0owYQ?oc=5"" target=""_blank"">Officials in Sri Lanka are facing immense pressure for their alleged mishandling of Cyclone Ditwah, which killed over 400 and affected more than 1.46 million people across the country. p.dw.com/p/54d6v</a>&nbsp;&nbsp;<font color=""#6f6f6f"">facebook.com</font>",Disaster,en
"Cyclone Ditwah LIVE: Rain continues to lash Tamil Nadu; holiday declared for schools and colleges in Chennai, Kancheepuram - The Hindu",https://news.google.com/rss/articles/CBMi0gFBVV95cUxNeEJyNWVHVTd6NFJHSTA3Y3poWjk3NzVSdFRUMURIRHdGWTBud2ZFTnlmbVc3VjlUYXlCdlExNTZCYXJPek5qM3V1QVZwNHRmWTU1aDc5V19PQ2diN3V2UjZ4dEpUdnpfMnViS2RFS2ZlbWlzblp4Q3R1TGdlUkFtbWk4LXpfWmJfUHhUTVFRSEhNN25HRms3elkzRDB2VjJZUE1RTHQ1Z1BhS2ZHMG1NTFg2ZVVfTkdwUTdXQk0wR0dQeUVXWHpqZXpKTFhKSVVCeUHSAdgBQVVfeXFMTmZqbEhMV3NzN0JZaUxJYkJGYjJlUmZna3BkUWFJWEdONE5IanZUbnVxZ0JuTXN5Z2lFMnJ3RGVlSU9HdWtpUGExdl9pZVI2cTNFRVpmWjRkZjE4cTZWN2djZTE5SlU1dGZ4eFBUS3kxanVNcFkzbUs3TDFQYW0tWWJsZTNDdi01TFlKNG4tTGFHcHlEMXhSZjdBNUtsb2Q2RDNHS3ZmdG4tNHJFVEpmNF92Yy1Dc083NnpBZmhhOFpiSWEyWF9adWpNQ0JfNWlqR09GalpVS3l2?oc=5,2025-12-02 11:02:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxNeEJyNWVHVTd6NFJHSTA3Y3poWjk3NzVSdFRUMURIRHdGWTBud2ZFTnlmbVc3VjlUYXlCdlExNTZCYXJPek5qM3V1QVZwNHRmWTU1aDc5V19PQ2diN3V2UjZ4dEpUdnpfMnViS2RFS2ZlbWlzblp4Q3R1TGdlUkFtbWk4LXpfWmJfUHhUTVFRSEhNN25HRms3elkzRDB2VjJZUE1RTHQ1Z1BhS2ZHMG1NTFg2ZVVfTkdwUTdXQk0wR0dQeUVXWHpqZXpKTFhKSVVCeUHSAdgBQVVfeXFMTmZqbEhMV3NzN0JZaUxJYkJGYjJlUmZna3BkUWFJWEdONE5IanZUbnVxZ0JuTXN5Z2lFMnJ3RGVlSU9HdWtpUGExdl9pZVI2cTNFRVpmWjRkZjE4cTZWN2djZTE5SlU1dGZ4eFBUS3kxanVNcFkzbUs3TDFQYW0tWWJsZTNDdi01TFlKNG4tTGFHcHlEMXhSZjdBNUtsb2Q2RDNHS3ZmdG4tNHJFVEpmNF92Yy1Dc083NnpBZmhhOFpiSWEyWF9adWpNQ0JfNWlqR09GalpVS3l2?oc=5"" target=""_blank"">Cyclone Ditwah LIVE: Rain continues to lash Tamil Nadu; holiday declared for schools and colleges in Chennai, Kancheepuram</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Cyclone Ditwah HIGHLIGHTS: Red alert downgraded as system weakens into depression near Chennai - dtnext,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQUw1dVJqcTFvVEFYajJDX2w4Q2NqTmFlQV9kSHpfM09ZVDVwRzBEZjhLNlgzNG9TejFIUkdnTEVGTWl0NDJqaFdfN2lQUTI0NVgxUzBaVDhXa0d6S1JqWkFEYmw1ZVVLalFUVkp5b2VuODIzTGhNaHRFcWFsZWFmZnA1dlJnNmpZNUdQZzlsT0xnODJ1WTNmUFdjN3pPUGRtWjdmSWZPOGYxaEpkSVpycEtFQXMxaHZvR3hNbTJaendPc3lYS041ak11RVBnS192cmMtMFpHUDVWWFRiT3JVSjc0VFrSAeoBQVVfeXFMTTYyVUhydEdhdUVYb3J6Y0V4UkFPWkNwck1sSGtqRHpfZ1piUnRXbjZrQWJiVHNsNDZaZ2FSZFprUXVqWS1ZN1RPZGJWT01QYjNPTFRtLUFuOC1SWDJnOFc0SXE2ZDFCM0xORU5mRjU4ZXltdE1FQ0huX1lkY0UtNmZNM1RWZ0pqd0k5ZzlQMDlfemd5SE0xZFNKNXVoLTV5TF90WnAwSnMtc3JDUW5lUm1GbVlqbml1WW9aSnhvam4xSVlsdkJPQWwxT2cwU01UVzlnRGdXM0s0bjBhTkQwREdicFRHUmcwSDhB?oc=5,2025-12-02 19:18:49,dtnext,"<a href=""https://news.google.com/rss/articles/CBMi5AFBVV95cUxNQUw1dVJqcTFvVEFYajJDX2w4Q2NqTmFlQV9kSHpfM09ZVDVwRzBEZjhLNlgzNG9TejFIUkdnTEVGTWl0NDJqaFdfN2lQUTI0NVgxUzBaVDhXa0d6S1JqWkFEYmw1ZVVLalFUVkp5b2VuODIzTGhNaHRFcWFsZWFmZnA1dlJnNmpZNUdQZzlsT0xnODJ1WTNmUFdjN3pPUGRtWjdmSWZPOGYxaEpkSVpycEtFQXMxaHZvR3hNbTJaendPc3lYS041ak11RVBnS192cmMtMFpHUDVWWFRiT3JVSjc0VFrSAeoBQVVfeXFMTTYyVUhydEdhdUVYb3J6Y0V4UkFPWkNwck1sSGtqRHpfZ1piUnRXbjZrQWJiVHNsNDZaZ2FSZFprUXVqWS1ZN1RPZGJWT01QYjNPTFRtLUFuOC1SWDJnOFc0SXE2ZDFCM0xORU5mRjU4ZXltdE1FQ0huX1lkY0UtNmZNM1RWZ0pqd0k5ZzlQMDlfemd5SE0xZFNKNXVoLTV5TF90WnAwSnMtc3JDUW5lUm1GbVlqbml1WW9aSnhvam4xSVlsdkJPQWwxT2cwU01UVzlnRGdXM0s0bjBhTkQwREdicFRHUmcwSDhB?oc=5"" target=""_blank"">Cyclone Ditwah HIGHLIGHTS: Red alert downgraded as system weakens into depression near Chennai</a>&nbsp;&nbsp;<font color=""#6f6f6f"">dtnext</font>",Disaster,en
"Chennai Weather Today LIVE Updates: Rain continues to lash Tamil Nadu, death toll rises to 4 - The Indian Express",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUE5uS1l2cHBUaFF6YWhWZ3pTZzlRQXBxMkctMkNzQXptRGZGUHA2VUZUaWU4S21TLTJvS0NaSHJ6QVpENkRRX1hETFJRdWJFZWNVeXR5ejVFaFp2YWZWaVktTklIRmkxeGw0TzBCczZMdmY5TzNqVmhuT2ZzMmpqV3QxQlhydW1wUFFKc1M1MU9WaFRqYjZkYmhaSklndGd3a25YcUpDTnBxRHBjWEVrS1VxQ3VuZE8wbEVfbENSZ0M5RDJZWDEzM0liWllnSXFnUm130gHaAUFVX3lxTE82OUJHdlM1NG9PSmd2cFh0dGJWRzlrbEJCLXNlaWF1VXNZNV9jV2hqVEtHVU5vWkdVQnEtX3RQZS1SRHdteENySWV0RXkzUUNIS0p0U0JZcjZhbkJ6RnBNb0RJVzRrLUNJNlBkM1dSNlk3UDFqZXF1c1F2aXdic25EMXBYeUY5WThmbjRSaWV1SF9Yd2JzME82cDhBOEdYbU55Nm9IaFh2ZlhvOG9BR3VEc0dvQkpxQWZqSEVmazh4NW9vN2RyTDhoOE1zTHVab0M2Tm1EQVdJcnVR?oc=5,2025-12-02 22:38:40,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNUE5uS1l2cHBUaFF6YWhWZ3pTZzlRQXBxMkctMkNzQXptRGZGUHA2VUZUaWU4S21TLTJvS0NaSHJ6QVpENkRRX1hETFJRdWJFZWNVeXR5ejVFaFp2YWZWaVktTklIRmkxeGw0TzBCczZMdmY5TzNqVmhuT2ZzMmpqV3QxQlhydW1wUFFKc1M1MU9WaFRqYjZkYmhaSklndGd3a25YcUpDTnBxRHBjWEVrS1VxQ3VuZE8wbEVfbENSZ0M5RDJZWDEzM0liWllnSXFnUm130gHaAUFVX3lxTE82OUJHdlM1NG9PSmd2cFh0dGJWRzlrbEJCLXNlaWF1VXNZNV9jV2hqVEtHVU5vWkdVQnEtX3RQZS1SRHdteENySWV0RXkzUUNIS0p0U0JZcjZhbkJ6RnBNb0RJVzRrLUNJNlBkM1dSNlk3UDFqZXF1c1F2aXdic25EMXBYeUY5WThmbjRSaWV1SF9Yd2JzME82cDhBOEdYbU55Nm9IaFh2ZlhvOG9BR3VEc0dvQkpxQWZqSEVmazh4NW9vN2RyTDhoOE1zTHVab0M2Tm1EQVdJcnVR?oc=5"" target=""_blank"">Chennai Weather Today LIVE Updates: Rain continues to lash Tamil Nadu, death toll rises to 4</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"Cyclone Ditwah: Red Alert In Chennai, Other Tamil Nadu Districts, Heavy Spells Predicted - Republic World",https://news.google.com/rss/articles/CBMizwFBVV95cUxQOEFRMW1hNkM1YXhsRG9QRXpuRl9sam92NFdxUHI0cXJLRExCMUgyOTRNSFJoTWtQb2tydjFWYmdPb3kyMFZZZXdaUE9wMVF6bW15VTIzd0Zpem1MMUE3VTVhV1RYRm1nd0NVMXphMHozMnVQX0phclV2aUd0TWRnWVFxUC1HUVVSQ09iNVpTa1ZGeEJMNUZFQ1JxUE9tNzBrZXFVTWZncFdkRTFPMHpIdlpjQ1R6eS1ESG1Gd0FqU25CYUFPR3FHckdiVjFXWTTSAdQBQVVfeXFMTVhod1Vtazg2LXQ2STdSTGlFU3FtRzYtN0daY2xNc3ZUZWlpVTBHLUNnUDZMUHJKQV9rdlVhMzRMUkpSRGttd0pkQ0tRelFobUZ1M3dreEdsU0UybjYyczRibVdreUwyZ2hqWncyVm9Kc2R3ZkRPNzlla3RWM3FxeHF1UFY0RVYxZjFuMVd6WDBlRHFkd1FiZXRDRk9hSVE3OVRNc3FrVmFvcER3QTNpbWN0a2w2R2tFNkpRRV9vN210NnJmVnAyNV9UU25pTmJmQkYyRlA?oc=5,2025-12-02 12:01:49,Republic World,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxQOEFRMW1hNkM1YXhsRG9QRXpuRl9sam92NFdxUHI0cXJLRExCMUgyOTRNSFJoTWtQb2tydjFWYmdPb3kyMFZZZXdaUE9wMVF6bW15VTIzd0Zpem1MMUE3VTVhV1RYRm1nd0NVMXphMHozMnVQX0phclV2aUd0TWRnWVFxUC1HUVVSQ09iNVpTa1ZGeEJMNUZFQ1JxUE9tNzBrZXFVTWZncFdkRTFPMHpIdlpjQ1R6eS1ESG1Gd0FqU25CYUFPR3FHckdiVjFXWTTSAdQBQVVfeXFMTVhod1Vtazg2LXQ2STdSTGlFU3FtRzYtN0daY2xNc3ZUZWlpVTBHLUNnUDZMUHJKQV9rdlVhMzRMUkpSRGttd0pkQ0tRelFobUZ1M3dreEdsU0UybjYyczRibVdreUwyZ2hqWncyVm9Kc2R3ZkRPNzlla3RWM3FxeHF1UFY0RVYxZjFuMVd6WDBlRHFkd1FiZXRDRk9hSVE3OVRNc3FrVmFvcER3QTNpbWN0a2w2R2tFNkpRRV9vN210NnJmVnAyNV9UU25pTmJmQkYyRlA?oc=5"" target=""_blank"">Cyclone Ditwah: Red Alert In Chennai, Other Tamil Nadu Districts, Heavy Spells Predicted</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font>",Disaster,en
Red alert in India's Tamil Nadu as Cyclone Ditwah lingers - Latest news from Azerbaijan,https://news.google.com/rss/articles/CBMihAFBVV95cUxPSUtyV3Z1d3hXRWIxRHZBRnMzMTRzSzgzcWl2d1hfU19Gc2NsNHY4VXJtWm8wbDVvVGtGZEp1LWJ6UjhBb0o2NmI3alR6Wk50V2MyYjdvN2s2NERrZmVQZHdIZkRKRFhDbW1YRlZCY0hjcXpjdFF4WnVMcUhoVnlfc2NaeU4?oc=5,2025-12-02 12:38:13,Latest news from Azerbaijan,"<a href=""https://news.google.com/rss/articles/CBMihAFBVV95cUxPSUtyV3Z1d3hXRWIxRHZBRnMzMTRzSzgzcWl2d1hfU19Gc2NsNHY4VXJtWm8wbDVvVGtGZEp1LWJ6UjhBb0o2NmI3alR6Wk50V2MyYjdvN2s2NERrZmVQZHdIZkRKRFhDbW1YRlZCY0hjcXpjdFF4WnVMcUhoVnlfc2NaeU4?oc=5"" target=""_blank"">Red alert in India's Tamil Nadu as Cyclone Ditwah lingers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Latest news from Azerbaijan</font>",Disaster,en
Cyclone Ditwah: Heavy to very heavy rain alert for Chennai; schools and colleges to remain closed - newslivetv.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPbW9xcXQ4eDg5NEc1V3BIaXNCMTZLMkJxbzBlbWwta3BGNjc3b2ZwUS1aMjl0ZTZNUlc5VmxhMVd1Z05vSWlJSXJuV1F5aTNpUEJ5RXhPVjFBZ0tRSmQwZ0xONHkyZDJ1OFNEbEhvdW5tNGxpdG5DVEFSSjdwRjV2ZzBfZUFkZDNp?oc=5,2025-12-02 11:50:05,newslivetv.com,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxPbW9xcXQ4eDg5NEc1V3BIaXNCMTZLMkJxbzBlbWwta3BGNjc3b2ZwUS1aMjl0ZTZNUlc5VmxhMVd1Z05vSWlJSXJuV1F5aTNpUEJ5RXhPVjFBZ0tRSmQwZ0xONHkyZDJ1OFNEbEhvdW5tNGxpdG5DVEFSSjdwRjV2ZzBfZUFkZDNp?oc=5"" target=""_blank"">Cyclone Ditwah: Heavy to very heavy rain alert for Chennai; schools and colleges to remain closed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newslivetv.com</font>",Disaster,en
