Title,Link,Date,Source,Summary,Term,LanguageQueried
"West Bengal Weather Update: দক্ষিণবঙ্গের একাধিক অঞ্চল, - LatestLY বাংলা",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQX0tMWG5aU3l3bkNSTl9IT215RUlEcjZWUjY2MGFzbXhNeC1lU1BMQllVNEhrNnY1TV93NlFrU2RURDJ5S3pGQzlOdkhlOU9wUWRISzBQUHU4MHVYRDZaM1V5UWRldDZ4cDdBZ2hUMzZrTF9kaU5mSmV1S082VjNkdXhEbndSZm5pdm9aY1RUR2U4QmdOODNUYk9yMnhfdERKZmhPOG53YVp3SnNhT202M2xnYlN2MGVmY19kM3JyVmctYXFxa05FSDhNSnl0VWdvZ01qLUI3Z3p5QdIB3wFBVV95cUxPVnVfa29xUmI0clhKZFJfVU81eFRmeGpXUnZEU25vZTFzOUdQWGwwcnF0a0ZMTXJSVkhfTkNDaEFwcE16MEhUc01nY0phenVLVGVKczF6bVZNN1BQRTQxemt1cVdYdmQ4THUtYzJfWW1iaklYbTJQV1NENWpxbGJrVG14bVlpTGhiSy1YNTJqaDMwZ1I3Yl9mbmZlQ0dqX1VZU0ZwRkpGSlc1c3dwd1BaeWQ2RUY5T1NRSU5lMFNpbXYtV25UaW1yV3c1cW5xdm9hVWtUcWFIdy11VHZnaGFv?oc=5,2025-04-12 21:11:17,LatestLY বাংলা,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQX0tMWG5aU3l3bkNSTl9IT215RUlEcjZWUjY2MGFzbXhNeC1lU1BMQllVNEhrNnY1TV93NlFrU2RURDJ5S3pGQzlOdkhlOU9wUWRISzBQUHU4MHVYRDZaM1V5UWRldDZ4cDdBZ2hUMzZrTF9kaU5mSmV1S082VjNkdXhEbndSZm5pdm9aY1RUR2U4QmdOODNUYk9yMnhfdERKZmhPOG53YVp3SnNhT202M2xnYlN2MGVmY19kM3JyVmctYXFxa05FSDhNSnl0VWdvZ01qLUI3Z3p5QdIB3wFBVV95cUxPVnVfa29xUmI0clhKZFJfVU81eFRmeGpXUnZEU25vZTFzOUdQWGwwcnF0a0ZMTXJSVkhfTkNDaEFwcE16MEhUc01nY0phenVLVGVKczF6bVZNN1BQRTQxemt1cVdYdmQ4THUtYzJfWW1iaklYbTJQV1NENWpxbGJrVG14bVlpTGhiSy1YNTJqaDMwZ1I3Yl9mbmZlQ0dqX1VZU0ZwRkpGSlc1c3dwd1BaeWQ2RUY5T1NRSU5lMFNpbXYtV25UaW1yV3c1cW5xdm9hVWtUcWFIdy11VHZnaGFv?oc=5"" target=""_blank"">West Bengal Weather Update: দক্ষিণবঙ্গের একাধিক অঞ্চল,</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY বাংলা</font>",Heatwave,bn
"Suvendu Adhikari: পুলিশ নিরাপত্তা দিতে পারছে না, - LatestLY বাংলা",https://news.google.com/rss/articles/CBMiiwJBVV95cUxNNDJPSjBtSlJUbHRBcDV1LUhEREFSbjMtcFVPUXZxQWo2YjF0dW5lTXNkamVoTlhLX2lHYmxaM09odkQ4M29BeVV3dDBUVzhLRjFSQjBraGpiVHlyOHhUY3RzTmxsUzNRcUpJTy1DOHBpakF3NUJYZDZYYjVhbDZpNFJlX2NDOThfZkZUUWd0aG1iby1uRHhwSDlBM3oxMmhuNlE4VUVMVkpFbjZhQVVhQ0xYSUVRdk5pc3hjc0hkWTkxVW5hTXlHY28zeWwxZnNROEdVRTR6TmNlaVdmbFhHZnhyX1FSLTNtV25CUXV0Z0QzQlRWZTRKYzJobDZuMExscXBsU3VfTW5JUkXSAZACQVVfeXFMT0tRZVdXUmQzSU5PZmYtczBFeWNsVFVKY1I4M2lTeXVsX1Rhc0ZUcmRycmx2N3l3T3RxM2ltUXN0WEFyUHFRb3BVTGJOWE1GdDM0cy1SbjZDQ0dzb3dlc3FPTlBUbEVHNW9yYzZjYnc3aDg3OER1VjZGS0tJMF8wZlVzNURiU2cwZDFseDRjV0Y0OUs3Q0pkY3BNbDg3a1NhODlMWWpoamtOX1FxZkl6dVNaNFdXZU5DTzNOcGFHaDZsdWh0M2U0ZTIxSVo1T014THBYNnJROHk5cGRrUUozRFFLUTVSb2w5TEhzdTRCODNId2FKYWNIcW5wNzYxaWJhVzdLd2J4SEIxcXVrNU1feWw?oc=5,2025-04-12 21:30:56,LatestLY বাংলা,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxNNDJPSjBtSlJUbHRBcDV1LUhEREFSbjMtcFVPUXZxQWo2YjF0dW5lTXNkamVoTlhLX2lHYmxaM09odkQ4M29BeVV3dDBUVzhLRjFSQjBraGpiVHlyOHhUY3RzTmxsUzNRcUpJTy1DOHBpakF3NUJYZDZYYjVhbDZpNFJlX2NDOThfZkZUUWd0aG1iby1uRHhwSDlBM3oxMmhuNlE4VUVMVkpFbjZhQVVhQ0xYSUVRdk5pc3hjc0hkWTkxVW5hTXlHY28zeWwxZnNROEdVRTR6TmNlaVdmbFhHZnhyX1FSLTNtV25CUXV0Z0QzQlRWZTRKYzJobDZuMExscXBsU3VfTW5JUkXSAZACQVVfeXFMT0tRZVdXUmQzSU5PZmYtczBFeWNsVFVKY1I4M2lTeXVsX1Rhc0ZUcmRycmx2N3l3T3RxM2ltUXN0WEFyUHFRb3BVTGJOWE1GdDM0cy1SbjZDQ0dzb3dlc3FPTlBUbEVHNW9yYzZjYnc3aDg3OER1VjZGS0tJMF8wZlVzNURiU2cwZDFseDRjV0Y0OUs3Q0pkY3BNbDg3a1NhODlMWWpoamtOX1FxZkl6dVNaNFdXZU5DTzNOcGFHaDZsdWh0M2U0ZTIxSVo1T014THBYNnJROHk5cGRrUUozRFFLUTVSb2w5TEhzdTRCODNId2FKYWNIcW5wNzYxaWJhVzdLd2J4SEIxcXVrNU1feWw?oc=5"" target=""_blank"">Suvendu Adhikari: পুলিশ নিরাপত্তা দিতে পারছে না,</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY বাংলা</font>",Heatwave,bn
'Concerned about what's coming text': Techie on rising temperatures in Pune - Times of India,https://news.google.com/rss/articles/CBMimwJBVV95cUxNV1lVamQ2WE8zamdFUmpaZTJqUXgtR19zSFFBRWl2VjNyWmlISlFnRGJuTkFLVXJhSmV1X2FpZjVtSU12U1dacFlYanBJTG44dkJ1cFRCMG1kQ3dZdXNDeWVWRWJXMFVQUGR4WFpvbmdJOERTdHVnMVBQMGc1aXdXUVdQdUZPV0tZRkU0LWV6dDBqcVdVVXRWcFFoTHJDZHFMcmIwN0p3ZEg2SDVtUjRVWmxZSVpjRkNtR3BMMFItTzRFRThYSlR6cE0xeVEyM1BTRmxKTFVFVlY5Vlp1bWo1TEdaWWpHTTRTSXhNUC1vcFBRZ0c5RmZGU2pyZzN1MlpuTHNZcTBZUUNBejJLRHRfV3pVeHRiQU5yM3Uw0gGgAkFVX3lxTE1ndVNQaWNTU0ZqVTNoZnVINUFUQWlEaGtFVmdLcVZEa1k1MVcwR2VVRUZwSlNuVEZtNm9RS1ltWmRLUUZpM2UyRkczMjZtdkhJQ1lBNGdnMlhLU3MxdzdZWFlpcmtvcnlTUlJxX1ZOazYwRm1NcmFZV0k2VUNBWmJsYTVzOTh5a0xpU3FjVmxuNVVVQUZOSmRWVzlFdmJpZVRxLWx6c3Y5dHNQUU0tS1QtUV8tT1Awczk0Tk0tNk9uQ3U0ZDNwNUptWl84VGNWQkxKSFNoNEJRMFNmRmtBdm9vQ011S3JYN1JlZEprR1BPaXVmNTRPYkJISzU5MlhmQmhmVU1MZ1A0QU8xVXk3cTRCN1VhZndhOHgyUEJhR0xmSQ?oc=5,2025-04-13 08:59:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMimwJBVV95cUxNV1lVamQ2WE8zamdFUmpaZTJqUXgtR19zSFFBRWl2VjNyWmlISlFnRGJuTkFLVXJhSmV1X2FpZjVtSU12U1dacFlYanBJTG44dkJ1cFRCMG1kQ3dZdXNDeWVWRWJXMFVQUGR4WFpvbmdJOERTdHVnMVBQMGc1aXdXUVdQdUZPV0tZRkU0LWV6dDBqcVdVVXRWcFFoTHJDZHFMcmIwN0p3ZEg2SDVtUjRVWmxZSVpjRkNtR3BMMFItTzRFRThYSlR6cE0xeVEyM1BTRmxKTFVFVlY5Vlp1bWo1TEdaWWpHTTRTSXhNUC1vcFBRZ0c5RmZGU2pyZzN1MlpuTHNZcTBZUUNBejJLRHRfV3pVeHRiQU5yM3Uw0gGgAkFVX3lxTE1ndVNQaWNTU0ZqVTNoZnVINUFUQWlEaGtFVmdLcVZEa1k1MVcwR2VVRUZwSlNuVEZtNm9RS1ltWmRLUUZpM2UyRkczMjZtdkhJQ1lBNGdnMlhLU3MxdzdZWFlpcmtvcnlTUlJxX1ZOazYwRm1NcmFZV0k2VUNBWmJsYTVzOTh5a0xpU3FjVmxuNVVVQUZOSmRWVzlFdmJpZVRxLWx6c3Y5dHNQUU0tS1QtUV8tT1Awczk0Tk0tNk9uQ3U0ZDNwNUptWl84VGNWQkxKSFNoNEJRMFNmRmtBdm9vQ011S3JYN1JlZEprR1BPaXVmNTRPYkJISzU5MlhmQmhmVU1MZ1A0QU8xVXk3cTRCN1VhZndhOHgyUEJhR0xmSQ?oc=5"" target=""_blank"">'Concerned about what's coming text': Techie on rising temperatures in Pune</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Weather Update: IMD Issues Heatwave Alert In THESE States; Rain Likely In Kerala, Tamil Nadu, Maharashtra | Forecast - Jagran English",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPanl0bjQteUFsbjFoVkpNQTJiZGNKV2FTWUdiZ2VQS3NRWjI1Zkt4VGlMejRwZVY1NjRZV3BiZjQ0cTQxb0d3eGpNS1JwZ1BDdGhBZnVuYXYteU9WX0NoelpwMDF3OVZFbHR3bFlwTU5fTHFrREJjWTR3a3VaZFlIWlB3dzVxOHAwT043TGtIeEFuTmFfcWpuZ0NLTFpxVGp2cVBtdVhlVmRkZEY5N3FyLXZzcU5sS3k2M0d1SXdSQWFLcGFTbEs1ZmlyUzZxazB4UFdEYzlkbTNROEZDalp0eEFSaEFJTWc?oc=5,2025-04-13 09:17:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxPanl0bjQteUFsbjFoVkpNQTJiZGNKV2FTWUdiZ2VQS3NRWjI1Zkt4VGlMejRwZVY1NjRZV3BiZjQ0cTQxb0d3eGpNS1JwZ1BDdGhBZnVuYXYteU9WX0NoelpwMDF3OVZFbHR3bFlwTU5fTHFrREJjWTR3a3VaZFlIWlB3dzVxOHAwT043TGtIeEFuTmFfcWpuZ0NLTFpxVGp2cVBtdVhlVmRkZEY5N3FyLXZzcU5sS3k2M0d1SXdSQWFLcGFTbEs1ZmlyUzZxazB4UFdEYzlkbTNROEZDalp0eEFSaEFJTWc?oc=5"" target=""_blank"">Weather Update: IMD Issues Heatwave Alert In THESE States; Rain Likely In Kerala, Tamil Nadu, Maharashtra | Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",Heatwave,en
Upper air cyclonic circulation over Assam; fresh heat wave spell over northwest India and Gujarat from April 15 - Odisha TV,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdnFRODJzSVVDQjU3Y0toQmhJbk5MblJJSDYzTWxFdy1rcEE5UmU3YTZmemo4OEtpTDZfYUR6bVNzLTJWTnk4T3A0UHhMMHhUVUJGTVhvQlMyWUdtRzBaOWNUd2FjbUxsY3VDOURuSmtsSWJHeWtCMmRtV21SZUUyQ2xnYlhGZmxpWUt5enJqNHlHYk16eHctdXc1dXg3cmFnNUFfSEJpS0JFSGE5MGRYVG96akdLcDdM0gG4AUFVX3lxTE52cVE4MnNJVUNCNTdjS2hCaEluTkxuUklINjNNbEV3LWtwQTlSZTdhNmZ6ajg4S2lMNl9hRHptU3MtMlZOeThPcDRQeEwweFRVQkZNWG9CUzJZR21HMFo5Y1R3YWNtTGxjdUM5RG5Ka2xJYkd5a0IyZG1XbVJlRTJDbGdiWEZmbGlZS3l6cmo0eUdiTXp4dy11dzV1eDdyYWc1QV9IQmlLQkVIYTkwZFhUb3pqR0twN0w?oc=5,2025-04-12 15:23:00,Odisha TV,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdnFRODJzSVVDQjU3Y0toQmhJbk5MblJJSDYzTWxFdy1rcEE5UmU3YTZmemo4OEtpTDZfYUR6bVNzLTJWTnk4T3A0UHhMMHhUVUJGTVhvQlMyWUdtRzBaOWNUd2FjbUxsY3VDOURuSmtsSWJHeWtCMmRtV21SZUUyQ2xnYlhGZmxpWUt5enJqNHlHYk16eHctdXc1dXg3cmFnNUFfSEJpS0JFSGE5MGRYVG96akdLcDdM0gG4AUFVX3lxTE52cVE4MnNJVUNCNTdjS2hCaEluTkxuUklINjNNbEV3LWtwQTlSZTdhNmZ6ajg4S2lMNl9hRHptU3MtMlZOeThPcDRQeEwweFRVQkZNWG9CUzJZR21HMFo5Y1R3YWNtTGxjdUM5RG5Ka2xJYkd5a0IyZG1XbVJlRTJDbGdiWEZmbGlZS3l6cmo0eUdiTXp4dy11dzV1eDdyYWc1QV9IQmlLQkVIYTkwZFhUb3pqR0twN0w?oc=5"" target=""_blank"">Upper air cyclonic circulation over Assam; fresh heat wave spell over northwest India and Gujarat from April 15</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha TV</font>",Heatwave,en
"Weather update today: IMD issues orange alert for Delhi-NCR, heavy rainfall expected in these states - CNBC TV18",https://news.google.com/rss/articles/CBMi6gFBVV95cUxOQU85TDJRUl9lTWt4VjR0UVpBR1lEM05Wdks2ZFFEcVhvLU1FeFJvblpteldkMk41MDl0MzdKdE1qSFlBSjFrRnhCZE1XQ1lCZ2NvT3JOb25BSE1PQTFPSHJtMHVHYy01MlZkUkRiYzVXRjJRQjJBMTBkbm1Pa2ZuTEg2aFBfUUJmdV93SjMtVV9nOEdWYU5QelJHaURKUU00ZjhXRXdEaHhkQTJHTFRkMnhVa25HeVlyUjMxMmUtWlUxOENWY2E5cmM0TjJpb2dMbVdRNlh1U05nT25BT2t3QjdLWlNac1dwbFHSAe8BQVVfeXFMTW9WNy1aRWFxRmtEeVUwXzR3aS1yZm5GMlhoLWtWMlZ1M3NiTktGTkNDcmpTOVI4b0pYR1YzbFBPWVgxT2J0X3FMekRUN1pZekZ4ZHhjZFFVbGthcW1jVzlzWHM5eTVoek96Uzl4NWtKdlRVUkIyS08zNTItV2huZWJKNV95aXlZT3M1NFlHMS1JODBCVmdIQ2RLdjNkSXZ6elBmNi1KUm56UU5RU0dFTHJKaS1XZ2lDZ2dJYUNZRWJjNXhBZzdSWWdEOFgwbTl3cWpnNWNUSmViMkY4Z01lZEp6YndFS3VPS2tfSGZxRk0?oc=5,2025-04-12 12:38:52,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi6gFBVV95cUxOQU85TDJRUl9lTWt4VjR0UVpBR1lEM05Wdks2ZFFEcVhvLU1FeFJvblpteldkMk41MDl0MzdKdE1qSFlBSjFrRnhCZE1XQ1lCZ2NvT3JOb25BSE1PQTFPSHJtMHVHYy01MlZkUkRiYzVXRjJRQjJBMTBkbm1Pa2ZuTEg2aFBfUUJmdV93SjMtVV9nOEdWYU5QelJHaURKUU00ZjhXRXdEaHhkQTJHTFRkMnhVa25HeVlyUjMxMmUtWlUxOENWY2E5cmM0TjJpb2dMbVdRNlh1U05nT25BT2t3QjdLWlNac1dwbFHSAe8BQVVfeXFMTW9WNy1aRWFxRmtEeVUwXzR3aS1yZm5GMlhoLWtWMlZ1M3NiTktGTkNDcmpTOVI4b0pYR1YzbFBPWVgxT2J0X3FMekRUN1pZekZ4ZHhjZFFVbGthcW1jVzlzWHM5eTVoek96Uzl4NWtKdlRVUkIyS08zNTItV2huZWJKNV95aXlZT3M1NFlHMS1JODBCVmdIQ2RLdjNkSXZ6elBmNi1KUm56UU5RU0dFTHJKaS1XZ2lDZ2dJYUNZRWJjNXhBZzdSWWdEOFgwbTl3cWpnNWNUSmViMkY4Z01lZEp6YndFS3VPS2tfSGZxRk0?oc=5"" target=""_blank"">Weather update today: IMD issues orange alert for Delhi-NCR, heavy rainfall expected in these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
Schools in Bengal to begin summer break early from April 30 due to extreme heat - Kalimpong News,https://news.google.com/rss/articles/CBMimAFBVV95cUxNdG9qN3ppZ3oweFZYXzFELXptMzhPUC1vWFlYVk0xeTJaOFhOSW1wYjV5WUY0ZVl0aWlDQWsxem1qLVd2SVd4VUVxMGhVUmk4RUI5UnJFVzFwTDJqZmlDTjVpdEtSVVp6aGZxYUx6OFZ2RUU3R0lYVnpnY282VTZ5VmllaF9TS3VnQldJVWZMM2tSbmFfel93Zg?oc=5,2025-04-12 15:17:00,Kalimpong News,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxNdG9qN3ppZ3oweFZYXzFELXptMzhPUC1vWFlYVk0xeTJaOFhOSW1wYjV5WUY0ZVl0aWlDQWsxem1qLVd2SVd4VUVxMGhVUmk4RUI5UnJFVzFwTDJqZmlDTjVpdEtSVVp6aGZxYUx6OFZ2RUU3R0lYVnpnY282VTZ5VmllaF9TS3VnQldJVWZMM2tSbmFfel93Zg?oc=5"" target=""_blank"">Schools in Bengal to begin summer break early from April 30 due to extreme heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kalimpong News</font>",Heatwave,en
Heatwave conditions likely to return after brief respite in Delhi - Times of India,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOOGR3MS13aTdmTU9FY3l5TzBoOUxRdHdialRyNnd6bkpCMkxlM2gxeTA4d196MmR4SWtxaUg3cFQyekJkbDBNRi1XSllicFVNSHllUm5MSzEyc1draW9USlBBV3hSdzlEWXY5UU9YakV2SkVpY2UxdDdxVzg1dzJ3UHBhbFJUQWdFOWdMNUV6N3JXRncwcncyR2t5d0FrdXhvbUVXNkdWXzliQWlxWHcxWnRSdmk4Zml0VFVYemdXNVFfTllacmhaWNIBzgFBVV95cUxQdTVLQ1dFRlFNVTR1RTNiM0p3dXVOdEdNR2JRbDNhdVZudXZlSjJHODFtN2pLUHJtVkJTcHBMMWpmOHhva1Q0ak9aZlVsQnd4RS1wVGRta01zdHRCT0tQQWNsMHVZNHhZSWJNaTZCVkxiZ055WVlwY1VzenhBYS0xdlVialBHRVVpdGhuMlo2TVE5azFoN2JLRW0zQ2hDZWY0NUlVa19DZTRZY1AzU0N3WDM1T2hkN3Vwb0tGdUVoU2JiOXBpMDRwMGZpTHREQQ?oc=5,2025-04-13 00:44:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxOOGR3MS13aTdmTU9FY3l5TzBoOUxRdHdialRyNnd6bkpCMkxlM2gxeTA4d196MmR4SWtxaUg3cFQyekJkbDBNRi1XSllicFVNSHllUm5MSzEyc1draW9USlBBV3hSdzlEWXY5UU9YakV2SkVpY2UxdDdxVzg1dzJ3UHBhbFJUQWdFOWdMNUV6N3JXRncwcncyR2t5d0FrdXhvbUVXNkdWXzliQWlxWHcxWnRSdmk4Zml0VFVYemdXNVFfTllacmhaWNIBzgFBVV95cUxQdTVLQ1dFRlFNVTR1RTNiM0p3dXVOdEdNR2JRbDNhdVZudXZlSjJHODFtN2pLUHJtVkJTcHBMMWpmOHhva1Q0ak9aZlVsQnd4RS1wVGRta01zdHRCT0tQQWNsMHVZNHhZSWJNaTZCVkxiZ055WVlwY1VzenhBYS0xdlVialBHRVVpdGhuMlo2TVE5azFoN2JLRW0zQ2hDZWY0NUlVa19DZTRZY1AzU0N3WDM1T2hkN3Vwb0tGdUVoU2JiOXBpMDRwMGZpTHREQQ?oc=5"" target=""_blank"">Heatwave conditions likely to return after brief respite in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Monsoon Forecast - IMD Issued Heavy Rainfall, Thunderstorm Alert In 12 States For next 7 Hours! - Times Bull",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQSFU2MlpWUUVOU3drYUZ2SHpXWGwzY3pyVlRlMlpRNEo4ZHltYnFRbXhZWmtXMDgxQjdaMHlGaHdBMFdvSXpsdGRscEdVTGlsV0dvUVR3elpwTXNNM3hXS3E4OTk4Y2oxcklFTjlCaWdodXJnbGNlU3ZTUVVPdmo4aGJFQjFwa0lnRlVJeTlaQnFsUVdvUWNQUzN3N3BPV3hKemVGNTNzQ1Nmb3YtSW9wS0FodmVfMGMtQ19uS2txa1NEN1hSYjFHRnRjeU96UkFpSEhrRVBRQQ?oc=5,2025-04-12 12:09:37,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQSFU2MlpWUUVOU3drYUZ2SHpXWGwzY3pyVlRlMlpRNEo4ZHltYnFRbXhZWmtXMDgxQjdaMHlGaHdBMFdvSXpsdGRscEdVTGlsV0dvUVR3elpwTXNNM3hXS3E4OTk4Y2oxcklFTjlCaWdodXJnbGNlU3ZTUVVPdmo4aGJFQjFwa0lnRlVJeTlaQnFsUVdvUWNQUzN3N3BPV3hKemVGNTNzQ1Nmb3YtSW9wS0FodmVfMGMtQ19uS2txa1NEN1hSYjFHRnRjeU96UkFpSEhrRVBRQQ?oc=5"" target=""_blank"">Monsoon Forecast - IMD Issued Heavy Rainfall, Thunderstorm Alert In 12 States For next 7 Hours!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
"Weather Forecast Across Country: Thunderstorm, lightning over TN, Puducherry, Coastal AP, Yanam, Telangana and Karnataka - globalgreenews.com",https://news.google.com/rss/articles/CBMi6AFBVV95cUxOM2ZXOXBrM3VyQ2ZmOGhPYTROSXZ2ZDBaSGhfcW1ZNVVsb3M4RjBsNXIzNjNBUzRUZ2JadjVLWGhPdmNSUldDRFVfZ05XRExIV0xlNVhlQTMxWldJODRzU3NPdEJyTTNRbmZYZnY0REdkX1JvNW5EWnc4UGJZUW1hZVdSa093M3lPeDRMVVpqeWJvOTU0STE3V2lGazRNb2xRR09uODJOU1N2RGhWUVRlWDc5SHJQcXNwWk0zcmpMSnV4aUpxSS1xUTlkY3g5M1UxcjhuSnpTVGxfRjh0YmctN3JDdzk3Slha?oc=5,2025-04-12 11:07:33,globalgreenews.com,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOM2ZXOXBrM3VyQ2ZmOGhPYTROSXZ2ZDBaSGhfcW1ZNVVsb3M4RjBsNXIzNjNBUzRUZ2JadjVLWGhPdmNSUldDRFVfZ05XRExIV0xlNVhlQTMxWldJODRzU3NPdEJyTTNRbmZYZnY0REdkX1JvNW5EWnc4UGJZUW1hZVdSa093M3lPeDRMVVpqeWJvOTU0STE3V2lGazRNb2xRR09uODJOU1N2RGhWUVRlWDc5SHJQcXNwWk0zcmpMSnV4aUpxSS1xUTlkY3g5M1UxcjhuSnpTVGxfRjh0YmctN3JDdzk3Slha?oc=5"" target=""_blank"">Weather Forecast Across Country: Thunderstorm, lightning over TN, Puducherry, Coastal AP, Yanam, Telangana and Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">globalgreenews.com</font>",Heatwave,en
