Title,Link,Date,Source,Summary,Term,LanguageQueried
Rain And Hailstorm In West Bengal: কালবৈশাখীর দাপট; বিকেল হতে - LatestLY বাংলা,https://news.google.com/rss/articles/CBMi5gFBVV95cUxNWkgtOUdtQ3FpdDBYQ2NkYXNrZEFhX3JyS1Awa0hqQzlRSUhxRG1yYUJiRVNGcXFnS2xfSGJsaklrMG1KNUdYNEFuMUlPUXFCNHo3YU5FblhoVEFscWltS1JlUFpPWF85SzlzUzZOLTdqYXh1dVRVbDRONUpfdlNDbkZlT0lhZ3phQ0VjeGw2ZmJHR3hiaF9mSUh6YjNMQTVsWG1hRkhFNDgwM3BmMWJScldOTzFFNXljM0FwajBMSG41bmZ5NERfa0FSZGoydkNNVHhLNmt0T3pWX010RFo1N0x4MV9GZ9IB6wFBVV95cUxNdnAyM0NFV3Jka19RaFZkSzlMbkNHMEJsYk5ZRmJXdWVGSmRXZ1ZNTlFVNktTQ29rN1NlR0Y4Nmotb1FNclBEdHo4MW9xS2VDQWUzX0VHTXl5b3BDQnV6VS1Za0hOWW5IbjZvSU04SGpFeDhrRllWY0Y0S254WFRVTFRtOFVySktCRGlqaFBGTnN6VVB3eEdiMkVZbkFvbm5LYTNmSGR1andoZDQ3dzFSUmE5Q2xvZmxGdUd3SkhNY3paaE1lSWY3OHVhUC1BTG80cjlqRzlUQXU3Y2d0Sm9oTDd0UnlDU09MTTBV?oc=5,2025-05-01 21:13:00,LatestLY বাংলা,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNWkgtOUdtQ3FpdDBYQ2NkYXNrZEFhX3JyS1Awa0hqQzlRSUhxRG1yYUJiRVNGcXFnS2xfSGJsaklrMG1KNUdYNEFuMUlPUXFCNHo3YU5FblhoVEFscWltS1JlUFpPWF85SzlzUzZOLTdqYXh1dVRVbDRONUpfdlNDbkZlT0lhZ3phQ0VjeGw2ZmJHR3hiaF9mSUh6YjNMQTVsWG1hRkhFNDgwM3BmMWJScldOTzFFNXljM0FwajBMSG41bmZ5NERfa0FSZGoydkNNVHhLNmt0T3pWX010RFo1N0x4MV9GZ9IB6wFBVV95cUxNdnAyM0NFV3Jka19RaFZkSzlMbkNHMEJsYk5ZRmJXdWVGSmRXZ1ZNTlFVNktTQ29rN1NlR0Y4Nmotb1FNclBEdHo4MW9xS2VDQWUzX0VHTXl5b3BDQnV6VS1Za0hOWW5IbjZvSU04SGpFeDhrRllWY0Y0S254WFRVTFRtOFVySktCRGlqaFBGTnN6VVB3eEdiMkVZbkFvbm5LYTNmSGR1andoZDQ3dzFSUmE5Q2xvZmxGdUd3SkhNY3paaE1lSWY3OHVhUC1BTG80cjlqRzlUQXU3Y2d0Sm9oTDd0UnlDU09MTTBV?oc=5"" target=""_blank"">Rain And Hailstorm In West Bengal: কালবৈশাখীর দাপট; বিকেল হতে</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY বাংলা</font>",Heatwave,bn
West Bengal Weather Forecast: তীব্র দহন থেকে মিলবে মুক্তি? - LatestLY বাংলা,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSVA4SEFwaDBoRjhvX2FTLWc1TEFMMXA5RG5zeWQ4RXRjT1lwbmpfa2hFd1ZrNFpNcWRNaW00LVROTld4eFRSX2c3YTBGOHFhT3NzVUU4bFhiWVNNbmdHcTY2d3dsYkkwYnA1VFg1NTQ5S0VSZmpPTVVaNHk2WnlfVVFvcHlnVUxpVTlsWE1ieEZWYWN2VDZNYWc3eTJRZ1d5eHBsOUFEcDQ2RmctajVpXzktMHJLZmdvU05PTDl4XzB1aXBNa201VUllSmxZNXViLVlNREV1WWpkMFR4Q0ZGejNrcmxnWkQ30gHuAUFVX3lxTE5BQlI5UEZwWGtrZy1IdTB4QzFWZk1RZ1h6N1NadmtCUV9QbS11Zm1EWmttQXZFa2JYSUNqWVk0VTl3ZzYtalFzRnJOVnczZmdDVUFUcTA2Ny1wYVgxUmlOUloybjRFcXplaE5hNEZPeGRrd2MxV1hCczVSdlZPSWdLbC1WdS1oYkoycjR0TzFxanJaZzlEWjZxdUZsWXlFejc2di01LWdxMVRvYU9UUzhOeXJrQloycU41ZUVMeVl6LXhmWk5HSFhjRXBnYzJMa2FOU1RwYmhUZWxNRUVzTXFzOVpiNl9JaVZvVVQ3a3c?oc=5,2025-05-01 14:05:12,LatestLY বাংলা,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxQSVA4SEFwaDBoRjhvX2FTLWc1TEFMMXA5RG5zeWQ4RXRjT1lwbmpfa2hFd1ZrNFpNcWRNaW00LVROTld4eFRSX2c3YTBGOHFhT3NzVUU4bFhiWVNNbmdHcTY2d3dsYkkwYnA1VFg1NTQ5S0VSZmpPTVVaNHk2WnlfVVFvcHlnVUxpVTlsWE1ieEZWYWN2VDZNYWc3eTJRZ1d5eHBsOUFEcDQ2RmctajVpXzktMHJLZmdvU05PTDl4XzB1aXBNa201VUllSmxZNXViLVlNREV1WWpkMFR4Q0ZGejNrcmxnWkQ30gHuAUFVX3lxTE5BQlI5UEZwWGtrZy1IdTB4QzFWZk1RZ1h6N1NadmtCUV9QbS11Zm1EWmttQXZFa2JYSUNqWVk0VTl3ZzYtalFzRnJOVnczZmdDVUFUcTA2Ny1wYVgxUmlOUloybjRFcXplaE5hNEZPeGRrd2MxV1hCczVSdlZPSWdLbC1WdS1oYkoycjR0TzFxanJaZzlEWjZxdUZsWXlFejc2di01LWdxMVRvYU9UUzhOeXJrQloycU41ZUVMeVl6LXhmWk5HSFhjRXBnYzJMa2FOU1RwYmhUZWxNRUVzTXFzOVpiNl9JaVZvVVQ3a3c?oc=5"" target=""_blank"">West Bengal Weather Forecast: তীব্র দহন থেকে মিলবে মুক্তি?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY বাংলা</font>",Heatwave,bn
Sofia Ansari's Video: জন্মদিনে উষ্ণতায় ভরা রাত - LatestLY বাংলা,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQaXhLTVJBTFB0bHZ5WWFTY2s5M1F6b2ZjOWpaU0JuLWFPS1NIb2RiR1U3dWoxa1FfQmFubG9fY3RWUlZ0UUR4aFV4WFo4a1FVSjFfTWxWa2FETzR3R2NxZjdDRlplRGkzSEVfTEd5TnA1ZFgtTDVkRm1idUpaWjlwRjdRNmd2WUlqNlNUVHJxQ09RUk5DY3ZtbEdCdXlhc2k3RE5SLS0tQ3V5czl2eDNoNFB3Tnc2TldKYVpr0gHAAUFVX3lxTE5qZm12dl9nbVgzZzFJMDN4TGZOV3R0ZHFGUWE1a2xKXzVGWFpzWWNjak5ycTZpMTltcHV2ZEFYU2djWm5jMWctclg5WUdxTC04blh1ZmpiVVVyelhWazdlcFRWTkNQamNMT3Vib0wxMVJmXzBEbzVxMUJnWllLaGJEdUtPM3BKdFIzZEtCQ1lsR2pxTzV3QVJPOUVLd3BHOVFTSVZDdXpINXFNX2RvZEhCTHAtS3lRSHZNdlVnZF8xTg?oc=5,2025-05-01 15:46:54,LatestLY বাংলা,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxQaXhLTVJBTFB0bHZ5WWFTY2s5M1F6b2ZjOWpaU0JuLWFPS1NIb2RiR1U3dWoxa1FfQmFubG9fY3RWUlZ0UUR4aFV4WFo4a1FVSjFfTWxWa2FETzR3R2NxZjdDRlplRGkzSEVfTEd5TnA1ZFgtTDVkRm1idUpaWjlwRjdRNmd2WUlqNlNUVHJxQ09RUk5DY3ZtbEdCdXlhc2k3RE5SLS0tQ3V5czl2eDNoNFB3Tnc2TldKYVpr0gHAAUFVX3lxTE5qZm12dl9nbVgzZzFJMDN4TGZOV3R0ZHFGUWE1a2xKXzVGWFpzWWNjak5ycTZpMTltcHV2ZEFYU2djWm5jMWctclg5WUdxTC04blh1ZmpiVVVyelhWazdlcFRWTkNQamNMT3Vib0wxMVJmXzBEbzVxMUJnWllLaGJEdUtPM3BKdFIzZEtCQ1lsR2pxTzV3QVJPOUVLd3BHOVFTSVZDdXpINXFNX2RvZEhCTHAtS3lRSHZNdlVnZF8xTg?oc=5"" target=""_blank"">Sofia Ansari's Video: জন্মদিনে উষ্ণতায় ভরা রাত</a>&nbsp;&nbsp;<font color=""#6f6f6f"">LatestLY বাংলা</font>",Heatwave,bn
Here are 5 health issues caused during extreme heat conditions. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0NtZ0h4TlJyLVZCU2JVdGpSQUhYb3VYcmZRaU5Eazl0dHByQzNLTTdKUUVlZzdtRzc4T1BQZnpULWRsOXQ3d0IzSXlHX2ZkQXlfWDU1QjQ0U3hjQUp3VmxtRU9EYzJONlRWOHlJMy0wdnIyaElCa01OODFwNDFnazNOTnRFX3pzazcyX001VWdVR3FWQlFuRTM0ZVdpbTJjbG1QMmtpMTEtZ2pi?oc=5,2025-05-02 01:34:30,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxNQ0NtZ0h4TlJyLVZCU2JVdGpSQUhYb3VYcmZRaU5Eazl0dHByQzNLTTdKUUVlZzdtRzc4T1BQZnpULWRsOXQ3d0IzSXlHX2ZkQXlfWDU1QjQ0U3hjQUp3VmxtRU9EYzJONlRWOHlJMy0wdnIyaElCa01OODFwNDFnazNOTnRFX3pzazcyX001VWdVR3FWQlFuRTM0ZVdpbTJjbG1QMmtpMTEtZ2pi?oc=5"" target=""_blank"">Here are 5 health issues caused during extreme heat conditions.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
Scorching weather in North India drives rise in heat-related illnesses - Business Standard,https://news.google.com/rss/articles/CBMizAFBVV95cUxPejJyMDRHWEFrZHZzcTNrWTRKWXRGX01rZzRURVVCTGVmVkpNUjdzRW0tQTZzMXRFXy02SUc0X2NlUXhpYnRaaU5xWDhuaFdSWC1WSVdZS1Q1WkEtTDZkcVVQVENmMkJ3V3ZnSURpRkVyTWNsQ3NNUWtOVkFXTEhrb1hzX3RRa1ktLWF3a0RwanU3NGJzUDBRWmFyU0NxX1BOal91REJVd3drTnF0blhRSDlkVUs2WjVaLUtiQmlZaEkydjluMlFCYl9IWHTSAdIBQVVfeXFMUGFrQlJSZ2FkUWttSllqdGJUTUtxdnlOdV9IcFlkcXhJYzdLdlJvWU5CMXBvdUlyeUFPWXZTOFNObWhJbWpNcGxHc2F5WFRfMGxXcEJzcVFIQllsTFlTTzhjUVV0bHNWQ2VXT0pRZ283Tmt2TVlGTHlVejdjelhvQktPZmlwbHNyVjA4UWJZRGtQdWlHY1F1ZmFTSXlzSS01cm1GcUhkM2tkVWowbDR5NjhBX3g4LU81ekt0WF9FUTFKVE1FMUpFamF3MkpLUnYtb1Nn?oc=5,2025-05-01 19:37:24,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxPejJyMDRHWEFrZHZzcTNrWTRKWXRGX01rZzRURVVCTGVmVkpNUjdzRW0tQTZzMXRFXy02SUc0X2NlUXhpYnRaaU5xWDhuaFdSWC1WSVdZS1Q1WkEtTDZkcVVQVENmMkJ3V3ZnSURpRkVyTWNsQ3NNUWtOVkFXTEhrb1hzX3RRa1ktLWF3a0RwanU3NGJzUDBRWmFyU0NxX1BOal91REJVd3drTnF0blhRSDlkVUs2WjVaLUtiQmlZaEkydjluMlFCYl9IWHTSAdIBQVVfeXFMUGFrQlJSZ2FkUWttSllqdGJUTUtxdnlOdV9IcFlkcXhJYzdLdlJvWU5CMXBvdUlyeUFPWXZTOFNObWhJbWpNcGxHc2F5WFRfMGxXcEJzcVFIQllsTFlTTzhjUVV0bHNWQ2VXT0pRZ283Tmt2TVlGTHlVejdjelhvQktPZmlwbHNyVjA4UWJZRGtQdWlHY1F1ZmFTSXlzSS01cm1GcUhkM2tkVWowbDR5NjhBX3g4LU81ekt0WF9FUTFKVE1FMUpFamF3MkpLUnYtb1Nn?oc=5"" target=""_blank"">Scorching weather in North India drives rise in heat-related illnesses</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2 - Down To Earth,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5,2025-05-01 10:19:36,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNVVE5dmFLU2lMZmJBcmJXUUt2VzJPMHpONmlhcXdnMHpoWmF4RnlwNkpPSlNJb1VnZVlIUlVqM2NzN0FGdEJPNEo4SDlVaWN5cHVYdGd3M0JUSjEtR1FJUVA4UF84R0FPLVljdlJ3cGU3ekFZWVJ0YjZPM0xuZjlzTHpqdUJUXzFhRGNELW1jdlhFU2VHTkNOcC1EeUNxY2VMZHZpTVgzRTh3MV8wZFRsV2otS3kyaXRpeElvdmdrMXN6NXA1Z01NU2h6N2NqUVByNXRLUjFR0gHjAUFVX3lxTE5iQVl0UU13Q1g2ckNnSm8zYzBSb2J4bUI1YnpzVWlCN0dhcVIxYVU5TmRkLVlqQktuNkt0dFR5NEM1cW40REFIUVZ3ejBMVmxtZ2JLdGg1c1c3TDI2cl85RTRXSVcwWGQtXzYwWTVFX2pUZ2E1bjczT1Z2Vl9ZVXoxMTNJcUwwV08xTWo1elZNajFLS2lidGdVekhPQnlkeHZ4RktmcmI4QUtQQ2FmdWR5TjBWSHFNSHR6Z1Z0ODBBRUtyQ0VtcDVkQXNvRW9mRUFnN3Rrc09qRXplWE4zenpndzVZ?oc=5"" target=""_blank"">Daily weather tracker: Hot and humid weather likely over southern & western India on May 1 and 2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
"A Hotter-Than-Usual May Likely, Double Heatwave Days, Warns IMD - ETV Bharat",https://news.google.com/rss/articles/CBMiswFBVV95cUxOUzZKUDl4d0VLZEczX0hoUExQQ2xkUDVSeWlTN2xxTzJfaFVHcUFxLWNrTTh4UHczaDhLbExkb01ua3hyMk1TelFkU1NIM3JDZXFEdzVhTXlzNFJkNm1lX2M4blltNTBkaV9BVGFTZkt2MVJTOXkzU3hfMnEycEo0ZFlabk9fYU1tWnFYcjNhZ1RqQzctUDVFSVpsSldldmxOcVBJQzl1bVd5MFV0UkJyX1RGd9IBuAFBVV95cUxPMnJwMkFKVXA2RmlaQTlvV01VeU9LU0hMOV8xOU5aaVVVMDY3ZkJjdXE0WnNDQVkxVGh4NTB6QjBlQ3BtMkgxY2NBUGlfV1QydUVnOG1vVzA3RTdId1FRX1AtMW5BUGp2U3JWc0l0ektWdlRUMThSVzFiNkhsc2xPZkZEZHZkbE5RZFlINGwzZTFJRWV1ZmJkYV9CbHUwY05EelV0TjV4V3IzYnE4Nm1Ga1hUR09OMjF1?oc=5,2025-05-01 13:47:56,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOUzZKUDl4d0VLZEczX0hoUExQQ2xkUDVSeWlTN2xxTzJfaFVHcUFxLWNrTTh4UHczaDhLbExkb01ua3hyMk1TelFkU1NIM3JDZXFEdzVhTXlzNFJkNm1lX2M4blltNTBkaV9BVGFTZkt2MVJTOXkzU3hfMnEycEo0ZFlabk9fYU1tWnFYcjNhZ1RqQzctUDVFSVpsSldldmxOcVBJQzl1bVd5MFV0UkJyX1RGd9IBuAFBVV95cUxPMnJwMkFKVXA2RmlaQTlvV01VeU9LU0hMOV8xOU5aaVVVMDY3ZkJjdXE0WnNDQVkxVGh4NTB6QjBlQ3BtMkgxY2NBUGlfV1QydUVnOG1vVzA3RTdId1FRX1AtMW5BUGp2U3JWc0l0ektWdlRUMThSVzFiNkhsc2xPZkZEZHZkbE5RZFlINGwzZTFJRWV1ZmJkYV9CbHUwY05EelV0TjV4V3IzYnE4Nm1Ga1hUR09OMjF1?oc=5"" target=""_blank"">A Hotter-Than-Usual May Likely, Double Heatwave Days, Warns IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR - lokmattimes.com",https://news.google.com/rss/articles/CBMirAFBVV95cUxOZkhYek9rRkhJS2hjam5BUHJUeG5ZVm1mNWg4TkFsZk9SVGpnNTBXMklNUE1Db01FaXFhTUV0ejI5aHFSY3hIQ2Vfd1ctZWpOT0hRVlljVC1JZjdlWjZmTVJxZTZaamJ5MXhTd3B1T2VTVDBhUjctUzczQThNY0ppQ0szVFdYaVdhaVFlODZMYXkwMWg0VHo0X2JJR0t3MWJvSEpzNU1TemFqV3Yt0gGyAUFVX3lxTFBONk9qYWEwQXczVVp0RkFKMEpWVmtjNVgwa0N1cXBnUHBKRmg2N3RFZC1HcVZydlQ1V2tkSWtpOHhoMjQzRXFRSmQzbXVFSURsbHB4VlBpd2ZTOVNVbVVjblBHeHpBMGFFSWV4OGItNHJHOXNOTFJFcmVsTjFfdTdZSjJ4UkpZekU5WnFvSjItTGNVaUs5TndDaDdWVlhGLWlzTkFWNE42MnpDdXQ0UWhJbGc?oc=5,2025-05-02 06:49:35,lokmattimes.com,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOZkhYek9rRkhJS2hjam5BUHJUeG5ZVm1mNWg4TkFsZk9SVGpnNTBXMklNUE1Db01FaXFhTUV0ejI5aHFSY3hIQ2Vfd1ctZWpOT0hRVlljVC1JZjdlWjZmTVJxZTZaamJ5MXhTd3B1T2VTVDBhUjctUzczQThNY0ppQ0szVFdYaVdhaVFlODZMYXkwMWg0VHo0X2JJR0t3MWJvSEpzNU1TemFqV3Yt0gGyAUFVX3lxTFBONk9qYWEwQXczVVp0RkFKMEpWVmtjNVgwa0N1cXBnUHBKRmg2N3RFZC1HcVZydlQ1V2tkSWtpOHhoMjQzRXFRSmQzbXVFSURsbHB4VlBpd2ZTOVNVbVVjblBHeHpBMGFFSWV4OGItNHJHOXNOTFJFcmVsTjFfdTdZSjJ4UkpZekU5WnFvSjItTGNVaUs5TndDaDdWVlhGLWlzTkFWNE42MnpDdXQ0UWhJbGc?oc=5"" target=""_blank"">Heavy rain, thunderstorms bring relief from scorching heat in Delhi-NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">lokmattimes.com</font>",Heatwave,en
"IMD May weather forecast: Thunderstorms, rain and heatwave to impact large parts of India in first week - CNBC TV18",https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQkowNFNwWlZJQkV2U2FmVlhERlhIVm1PMWtGWDhLc1Z4QTJ2aGx3bUVsRktQcmlkZHhlSnh3anhOZHFPUHZzYXg5QWRiaXdkVnEyVzRqRkY1WU8yYlBHUElIbFdLVnNtblJwOXp1RENwYzItTnFrNDNSakRlNHFuMjlQNjM4ZkVrYVI2eGtla0g1eFpqRWxxUnZ3QWZSY0I1Tm0xZ3pnMlo3Y2dlcEVDeTI5ZmttRUFYeV9LUW5NeDVreXpPcEowZHVSSDY3TnV1cVViSnRVRHJSQjM3aFJUa19SYlhEbTlEWkhiUVRfQjZLNS1kNTl0bnlvZ9IBgAJBVV95cUxQVk81dDVjb3lBVG1ZNlBVajUxVDkzSW81VnJUcmcxdHQwNE9QYVE0aHdJSlZCeXBuWUJKbFp0VnNwZjBNeG5YWVByampVaGctZURXVlY2dUd5QlFRMFJISXZxVUI5MjB5Z3doSVRiZWdRTEhtNUo0S0VqZ2VXN1A5RTczTVdWX1htWmNKc2l5MFBrVFNTUHh3d09vb2prUnFPVEZNS3dWZXFlWUQwMzh3ZFZxVlNuTzZhdzgwSGdPdEZXUUNURlg1d2ExQnJrWmxzcEo4MVlCRmZFYUNRRXJuRHdMcGZNV2h5RDVqczd2bnBxRVl6cThkR3hqbmR0bXBn?oc=5,2025-05-01 10:21:39,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxQQkowNFNwWlZJQkV2U2FmVlhERlhIVm1PMWtGWDhLc1Z4QTJ2aGx3bUVsRktQcmlkZHhlSnh3anhOZHFPUHZzYXg5QWRiaXdkVnEyVzRqRkY1WU8yYlBHUElIbFdLVnNtblJwOXp1RENwYzItTnFrNDNSakRlNHFuMjlQNjM4ZkVrYVI2eGtla0g1eFpqRWxxUnZ3QWZSY0I1Tm0xZ3pnMlo3Y2dlcEVDeTI5ZmttRUFYeV9LUW5NeDVreXpPcEowZHVSSDY3TnV1cVViSnRVRHJSQjM3aFJUa19SYlhEbTlEWkhiUVRfQjZLNS1kNTl0bnlvZ9IBgAJBVV95cUxQVk81dDVjb3lBVG1ZNlBVajUxVDkzSW81VnJUcmcxdHQwNE9QYVE0aHdJSlZCeXBuWUJKbFp0VnNwZjBNeG5YWVByampVaGctZURXVlY2dUd5QlFRMFJISXZxVUI5MjB5Z3doSVRiZWdRTEhtNUo0S0VqZ2VXN1A5RTczTVdWX1htWmNKc2l5MFBrVFNTUHh3d09vb2prUnFPVEZNS3dWZXFlWUQwMzh3ZFZxVlNuTzZhdzgwSGdPdEZXUUNURlg1d2ExQnJrWmxzcEo4MVlCRmZFYUNRRXJuRHdMcGZNV2h5RDVqczd2bnBxRVl6cThkR3hqbmR0bXBn?oc=5"" target=""_blank"">IMD May weather forecast: Thunderstorms, rain and heatwave to impact large parts of India in first week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
Above-Normal Heatwave Expected? India Braces for Extreme Weather in May - outlookbusiness.com,https://news.google.com/rss/articles/CBMitAFBVV95cUxQMFBpVC16QV85OWRRQ1d3NUtfRElhck9HTmxpYklUZzR0dWxTS1Q2OTdobE5ORFdKOXEyOUZFWEM4WnFRNlhaM19fZFVHUXg5cVphRlBqWHR0U0N6YW5lY0hqS2tsSTJoQVJzRHZra2tyQUQ0OE5xQ1ZrTzllRkxKb3lmYjFWb3dUOXNHWTFlbk1FNERiR0t5Rm40RFE2TEZhcUxyMXZMcXo2SlBwWmc0RVJ6dFPSAcIBQVVfeXFMUF9BX1pWRzloUlpZMERoeXQxX1pUYlJRZFJjelhGMGRvc0lual9zUUlxODNJUjBocjBWNHBjWVJzLWcxakJac2E3MlhTdkNiTUxEQ3h6MDBCdWhaNGlZejFuOUx2N1lLVkNtNG1pUGo1d3ZDWWJ4S0k3bGdLRExkRG1UVFgycHVFLVQ5cTVNNTIzS1dOUVBPLUthc2Z4ZUVpdGM0dHFJemJsaFliNm02SmxTZGZCNkZ6X0hLenVDVTlVYXc?oc=5,2025-05-01 13:09:31,outlookbusiness.com,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQMFBpVC16QV85OWRRQ1d3NUtfRElhck9HTmxpYklUZzR0dWxTS1Q2OTdobE5ORFdKOXEyOUZFWEM4WnFRNlhaM19fZFVHUXg5cVphRlBqWHR0U0N6YW5lY0hqS2tsSTJoQVJzRHZra2tyQUQ0OE5xQ1ZrTzllRkxKb3lmYjFWb3dUOXNHWTFlbk1FNERiR0t5Rm40RFE2TEZhcUxyMXZMcXo2SlBwWmc0RVJ6dFPSAcIBQVVfeXFMUF9BX1pWRzloUlpZMERoeXQxX1pUYlJRZFJjelhGMGRvc0lual9zUUlxODNJUjBocjBWNHBjWVJzLWcxakJac2E3MlhTdkNiTUxEQ3h6MDBCdWhaNGlZejFuOUx2N1lLVkNtNG1pUGo1d3ZDWWJ4S0k3bGdLRExkRG1UVFgycHVFLVQ5cTVNNTIzS1dOUVBPLUthc2Z4ZUVpdGM0dHFJemJsaFliNm02SmxTZGZCNkZ6X0hLenVDVTlVYXc?oc=5"" target=""_blank"">Above-Normal Heatwave Expected? India Braces for Extreme Weather in May</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outlookbusiness.com</font>",Heatwave,en
"Above-normal maximum, minimum temperatures in Andhra Pradesh in May: IMD - The Hindu",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQS3hnaURsTU9XNkY4Q3NUb0dzUFBIZzdDVFg1dmp3UDlIZ1NZaXUwd19DQThNZEdZdG1XTjJmZDJ0N2J3REM5MGdVN21leXBtSWFDMVNfTmFHVTdTX0l2V1NEZHc2dGZlSThLV1h2ZTRhbkNacVNXVGNmam04cVU4TDdFRFNsSjdZUklUUnlzbHNJbk9RV1pxSE5rLUZtbkVmSm9OR2JPNC1WSGdDUk9oc2xEWUdxWUtuckdiTWpRaW9aSEVlME5adU1RLUp1eC0tX0pfMGJsdUI1U04z0gHjAUFVX3lxTE1fSEFpaXp0YWVBUjNfVkhyck5yZXpNMDN2Smdhc0NjSW5vSDZLVkw3TFpnbnlBX3VjN3JpcTVZZDlXOUhZYWI5WnE3R3VuVEpfeHAwZTZSZkpsMmFwNDBMTkZsLVN4dU9NV0UwdTdDQWRCU2RHdVc5Z0ZrcmJsclhrUFlrSVBSckFuamhrSFlLUkl3RjVqTmtrcFZGZy1CME5RN0tNZ2R5X0xvM29TdHZXV3BCQTU2ZUFlRVpiUGZDT2wyX2RQa2Q0Sjd5WlFSV0xYbHRxX2d6RmxIZjViVTdGQ3lJ?oc=5,2025-05-02 04:23:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQS3hnaURsTU9XNkY4Q3NUb0dzUFBIZzdDVFg1dmp3UDlIZ1NZaXUwd19DQThNZEdZdG1XTjJmZDJ0N2J3REM5MGdVN21leXBtSWFDMVNfTmFHVTdTX0l2V1NEZHc2dGZlSThLV1h2ZTRhbkNacVNXVGNmam04cVU4TDdFRFNsSjdZUklUUnlzbHNJbk9RV1pxSE5rLUZtbkVmSm9OR2JPNC1WSGdDUk9oc2xEWUdxWUtuckdiTWpRaW9aSEVlME5adU1RLUp1eC0tX0pfMGJsdUI1U04z0gHjAUFVX3lxTE1fSEFpaXp0YWVBUjNfVkhyck5yZXpNMDN2Smdhc0NjSW5vSDZLVkw3TFpnbnlBX3VjN3JpcTVZZDlXOUhZYWI5WnE3R3VuVEpfeHAwZTZSZkpsMmFwNDBMTkZsLVN4dU9NV0UwdTdDQWRCU2RHdVc5Z0ZrcmJsclhrUFlrSVBSckFuamhrSFlLUkl3RjVqTmtrcFZGZy1CME5RN0tNZ2R5X0xvM29TdHZXV3BCQTU2ZUFlRVpiUGZDT2wyX2RQa2Q0Sjd5WlFSV0xYbHRxX2d6RmxIZjViVTdGQ3lJ?oc=5"" target=""_blank"">Above-normal maximum, minimum temperatures in Andhra Pradesh in May: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Heatwave,en
