Title,Link,Date,Source,Summary,Place
Cyclone Asna: Rare Monsoon Cyclonic Storm To Form Over Arabian Sea On August 30 - NDTV Profit,https://news.google.com/rss/articles/CBMisgFBVV95cUxNSTMtampfT0hMa3BXbF90UTRERmtGQUZwYlBuSUZ1TEpyaVFvRzZXcjg2MWlOejk2eW1EdUd3X0dING9kbjE4QjB6ME1BQ3NPRnZ4b1A0QlpWbmJTTHVsME9nQjhZZGhlaUpsckFGT0tRcnAwa2dRUzI3NDA5cGpBWDdnZEFsYnFycXZLSUlQMGVFUzFlbkt3VHoxa2MzYm1wTjNvOVo0eklIVkZaN3RfOWxR0gG3AUFVX3lxTE93Tk5uOVpiZHRSb0g5VzQzMEZqUUpKZ0tBVUNpQ3hCV1Z4Q29LZlpaQWNOdFlmWFlpQVFDT1hkbFNIc1lIWlZldDNIV1NVUW53YVhBR1JHbnc0ZGpLSlU1c3JTaXFjSThBSDV1blZtYkRTNWhDN09xajhxTW52cjF6VEw0RTY0SkY2U3BxbktyRFdzZS16T1c0X3YxazBZT3RqcVE3aGxMazdDVU51R19NS3VCRjZBOA?oc=5,2024-08-29 21:45:55,NDTV Profit,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxNSTMtampfT0hMa3BXbF90UTRERmtGQUZwYlBuSUZ1TEpyaVFvRzZXcjg2MWlOejk2eW1EdUd3X0dING9kbjE4QjB6ME1BQ3NPRnZ4b1A0QlpWbmJTTHVsME9nQjhZZGhlaUpsckFGT0tRcnAwa2dRUzI3NDA5cGpBWDdnZEFsYnFycXZLSUlQMGVFUzFlbkt3VHoxa2MzYm1wTjNvOVo0eklIVkZaN3RfOWxR0gG3AUFVX3lxTE93Tk5uOVpiZHRSb0g5VzQzMEZqUUpKZ0tBVUNpQ3hCV1Z4Q29LZlpaQWNOdFlmWFlpQVFDT1hkbFNIc1lIWlZldDNIV1NVUW53YVhBR1JHbnc0ZGpLSlU1c3JTaXFjSThBSDV1blZtYkRTNWhDN09xajhxTW52cjF6VEw0RTY0SkY2U3BxbktyRFdzZS16T1c0X3YxazBZT3RqcVE3aGxMazdDVU51R19NS3VCRjZBOA?oc=5"" target=""_blank"">Cyclone Asna: Rare Monsoon Cyclonic Storm To Form Over Arabian Sea On August 30</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV Profit</font>",
Monsoon remains active in August; more rain likely in September first week - Hindustan Times,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOZlZob3doazkwaExzTTNkNzJYZklqcTNxd09HdXhZOWhqbTRBSUdGUkpfcFZPVGVCcGpHV3pHS2gtcTRLSUc1QXNLcFNFemtWelZGb0FRMi1vRWhYN0NhMWdBdUl2SzFrWEpGN1RSZmhfWDdYeS10X2cxUVJ1ZTZBWWNhdEZIcl9QeE84VGRuSGY2RDZiandLaHJWZkFiWUVSRDFBZmVRY21ieEM4Y3dwdFhlMDZ6eXRidDRlT1ZYV01jM2lBSkQ3T2wzV3kwLXVuUFHSAdcBQVVfeXFMUHpFVW9GMldkekRMY3BFMkFMQXpuQWxRWTNLcW9mZjZiYVlfS0Z1Xy1udkJXY3VjVGhfWnQzdHladk03YWF6LU1VM2hxdnRYZk1mcUJoeEVQWUYzTk14c080Ykp0eVUxcFctS0VDcjFaUEc1YlpKYnNuMEcxMkNnWVBOTGhOZnBYUnQwYTBtanB2UjFFeEZ6S0NzTkVfalE4cGF5ZTVOdWJPbk9vX0pPOW1YWDdWOVVPX0dxV0NUbzFzcVNONURNU3ZWZTBISV9WU0lvM0lnVkk?oc=5,2024-08-29 17:06:11,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxOZlZob3doazkwaExzTTNkNzJYZklqcTNxd09HdXhZOWhqbTRBSUdGUkpfcFZPVGVCcGpHV3pHS2gtcTRLSUc1QXNLcFNFemtWelZGb0FRMi1vRWhYN0NhMWdBdUl2SzFrWEpGN1RSZmhfWDdYeS10X2cxUVJ1ZTZBWWNhdEZIcl9QeE84VGRuSGY2RDZiandLaHJWZkFiWUVSRDFBZmVRY21ieEM4Y3dwdFhlMDZ6eXRidDRlT1ZYV01jM2lBSkQ3T2wzV3kwLXVuUFHSAdcBQVVfeXFMUHpFVW9GMldkekRMY3BFMkFMQXpuQWxRWTNLcW9mZjZiYVlfS0Z1Xy1udkJXY3VjVGhfWnQzdHladk03YWF6LU1VM2hxdnRYZk1mcUJoeEVQWUYzTk14c080Ykp0eVUxcFctS0VDcjFaUEc1YlpKYnNuMEcxMkNnWVBOTGhOZnBYUnQwYTBtanB2UjFFeEZ6S0NzTkVfalE4cGF5ZTVOdWJPbk9vX0pPOW1YWDdWOVVPX0dxV0NUbzFzcVNONURNU3ZWZTBISV9WU0lvM0lnVkk?oc=5"" target=""_blank"">Monsoon remains active in August; more rain likely in September first week</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
Cyclone likely to form over Arabian Sea on Friday; orange alert for four districts in Kerala - The Hindu,https://news.google.com/rss/articles/CBMi7gFBVV95cUxOMGlpU1FUcTdPRTBDMWRRWDhESDM5c3B1WHFVM1hvLWJxNkJxdzlvU1RtdWNCaTdlSUdnSnJEYWd4MmJXdE1PTEhuNGROY2hjSEFnNVRtOGRPVW4wZTAtQVFESmo5WndwUF9yYXhuc3phMGpaOUZUbDc3QW9iYUl1Z2FQR2FCZG5oVzY3UXQtVmhyc2liTVlqSnNKTm9JTzRWdGJFQllESWM3cDRzVklMSTNuM0lGUV93RlJXT1pKQXB2dUhYREtmSVBwaWtBaFFINFRDajFNR0ljclptZHJSc01MWU1HaklMS0tfREV30gH0AUFVX3lxTFA4cU5BR3hJU3pPQ1l0SUpDUmkzcWkxMFdxRmg4Y2IxUXFDN0prTXNtck5fT3EzdkdFQ29JZmVubFlkVkoyZW9kUnV1dWZYVGJKTDdhUm84dXVXMGFxWmt3bHdLclF1T2FiejFoTnllU0xsOEx5aTR2b1FzX1RHZzRtLU0zLUxEd2JINTFmV01HcEFHd0tWRHFkUzMyVjdwZExHQ25lc2lvY2l0VGRZckZfMVVUYkVocWcyUmVGbU1jWFpYazNpYldqQlhyUEJsMFQxbklOcm9Db3ZVTUJ0OFpWRmRHM1JGc2E0dE8yYWt2OTlBSVA?oc=5,2024-08-29 20:11:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxOMGlpU1FUcTdPRTBDMWRRWDhESDM5c3B1WHFVM1hvLWJxNkJxdzlvU1RtdWNCaTdlSUdnSnJEYWd4MmJXdE1PTEhuNGROY2hjSEFnNVRtOGRPVW4wZTAtQVFESmo5WndwUF9yYXhuc3phMGpaOUZUbDc3QW9iYUl1Z2FQR2FCZG5oVzY3UXQtVmhyc2liTVlqSnNKTm9JTzRWdGJFQllESWM3cDRzVklMSTNuM0lGUV93RlJXT1pKQXB2dUhYREtmSVBwaWtBaFFINFRDajFNR0ljclptZHJSc01MWU1HaklMS0tfREV30gH0AUFVX3lxTFA4cU5BR3hJU3pPQ1l0SUpDUmkzcWkxMFdxRmg4Y2IxUXFDN0prTXNtck5fT3EzdkdFQ29JZmVubFlkVkoyZW9kUnV1dWZYVGJKTDdhUm84dXVXMGFxWmt3bHdLclF1T2FiejFoTnllU0xsOEx5aTR2b1FzX1RHZzRtLU0zLUxEd2JINTFmV01HcEFHd0tWRHFkUzMyVjdwZExHQ25lc2lvY2l0VGRZckZfMVVUYkVocWcyUmVGbU1jWFpYazNpYldqQlhyUEJsMFQxbklOcm9Db3ZVTUJ0OFpWRmRHM1JGc2E0dE8yYWt2OTlBSVA?oc=5"" target=""_blank"">Cyclone likely to form over Arabian Sea on Friday; orange alert for four districts in Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",
"Cyclone to form in Arabian Sea on Aug 30, first August storm since 1964 - Business Standard",https://news.google.com/rss/articles/CBMi0AFBVV95cUxQV1lESzZocnlIYXlkMHl1eC1sakpBZ0lNS3JsV01WMm1MVHM5aFZPWmJIX1pXck5qRW9BTXp6amVwRTlkemR4b2VsaXBsQ0lyc1RWQXVNN1ZoR3U0OUhGX1gxMkQzUEpCQUJCalRuZ3p4THlrYTYwbHlSNlRLQWlISGtUSTZFUUhaalZlcDhFREpFWEx1QzdhM3dPNFE0V2d6ZjMtNmtCSnhjVElIOVRIQVlfOGQ1MDVlazViVm9LX3NsVktYNWN6b191SG9EemZu0gHWAUFVX3lxTE5EZWNjZ0hqRW1zWXFZNlJxMGVxRW0tSkFJRmRPeFdsekJpcnZYOFdVcTNseXluSzRRcTBOSmdWTjB1c2VheHoxY3VGajludC1RWFU1QmVGWUZLdUVKM3Y4bktaTjlWLThqcmdhSUE2aFo4bGRtS0k2aEJ3MVJLRDhsQmpIRjFicExrd1QyM21hWWhjamQzeUJXR3ZwSXNhQ0RmZlY2OGUtU0FaMjZiREt1bzYxeUFaLWduLUN0d3RyeUM3bjl6bVBNZHc4QXZiMjF5MVVLSUE?oc=5,2024-08-29 16:46:14,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxQV1lESzZocnlIYXlkMHl1eC1sakpBZ0lNS3JsV01WMm1MVHM5aFZPWmJIX1pXck5qRW9BTXp6amVwRTlkemR4b2VsaXBsQ0lyc1RWQXVNN1ZoR3U0OUhGX1gxMkQzUEpCQUJCalRuZ3p4THlrYTYwbHlSNlRLQWlISGtUSTZFUUhaalZlcDhFREpFWEx1QzdhM3dPNFE0V2d6ZjMtNmtCSnhjVElIOVRIQVlfOGQ1MDVlazViVm9LX3NsVktYNWN6b191SG9EemZu0gHWAUFVX3lxTE5EZWNjZ0hqRW1zWXFZNlJxMGVxRW0tSkFJRmRPeFdsekJpcnZYOFdVcTNseXluSzRRcTBOSmdWTjB1c2VheHoxY3VGajludC1RWFU1QmVGWUZLdUVKM3Y4bktaTjlWLThqcmdhSUE2aFo4bGRtS0k2aEJ3MVJLRDhsQmpIRjFicExrd1QyM21hWWhjamQzeUJXR3ZwSXNhQ0RmZlY2OGUtU0FaMjZiREt1bzYxeUFaLWduLUN0d3RyeUM3bjl6bVBNZHc4QXZiMjF5MVVLSUE?oc=5"" target=""_blank"">Cyclone to form in Arabian Sea on Aug 30, first August storm since 1964</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Cyclone Asna formation due to unusual monsoon wind system: Expert - Down To Earth Magazine,https://news.google.com/rss/articles/CBMirwFBVV95cUxORlQ5UUpDQmJTS291eWYwR1Y4eHJvT29Ebi1FMmdTWGpWck5fVlBUUGVjVjl1a1h6eG5Ta2M3VnZRLUowWkR4dm51UWFfNGlnZ1hCQjRNYUNDSzMxdTU1MUR6dEVyTXBiRkdYdTBKbmJwSHdaWnNZVDF2MDR3aXpUdmRqZHdzaVpMb1REb0lvM1ByNEEwRnNGZy1vbWwzNUNPeWhkSjlER2FEbUhBZThR0gG8AUFVX3lxTFBabTBBMTFTTmNLR20tWE9wUHBhMlFWeGxzcDRSMUt1aDhWZFpxeko0aGZJQVAwZ29ZLVF1NDFidkU4TnNEdjB2YmgxSVh0dmpramJfV2htelBPbDJKOE5KVmoxQ0NRZ2xMVG94cXhuaFNEaE5nazgtNmZDQXh0Z1JTZy02dmRGMXQ4WmN4bUx5RDdFMk5JYk81SFoxOTFsR1ZhS2k0RDk0ZFR3YjFnOW5FM25RRDRPOTJvNUUx?oc=5,2024-08-29 18:55:24,Down To Earth Magazine,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxORlQ5UUpDQmJTS291eWYwR1Y4eHJvT29Ebi1FMmdTWGpWck5fVlBUUGVjVjl1a1h6eG5Ta2M3VnZRLUowWkR4dm51UWFfNGlnZ1hCQjRNYUNDSzMxdTU1MUR6dEVyTXBiRkdYdTBKbmJwSHdaWnNZVDF2MDR3aXpUdmRqZHdzaVpMb1REb0lvM1ByNEEwRnNGZy1vbWwzNUNPeWhkSjlER2FEbUhBZThR0gG8AUFVX3lxTFBabTBBMTFTTmNLR20tWE9wUHBhMlFWeGxzcDRSMUt1aDhWZFpxeko0aGZJQVAwZ29ZLVF1NDFidkU4TnNEdjB2YmgxSVh0dmpramJfV2htelBPbDJKOE5KVmoxQ0NRZ2xMVG94cXhuaFNEaE5nazgtNmZDQXh0Z1JTZy02dmRGMXQ4WmN4bUx5RDdFMk5JYk81SFoxOTFsR1ZhS2k0RDk0ZFR3YjFnOW5FM25RRDRPOTJvNUUx?oc=5"" target=""_blank"">Cyclone Asna formation due to unusual monsoon wind system: Expert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth Magazine</font>",
MUDA Scam: Karnataka HC Resume Hearing on Siddaramaiah's Petition Challenging Guv's Order - Republic World,https://news.google.com/rss/articles/CBMiigVBVV95cUxPb2ZVODgxMmpIM1c0a2Z3YkZNcVBVS3EydHY0Y2p0dFo5UDFkT2l4OU9XS3F5Z3BfWnlsN3Z2WXRUS1otbG5uYXp1TzVVV0tBd2E4UGhzaU50dXhvZjIxZkRONG5BbXNHZ2hSVm83MFdMdm5MYXhRTEwxUzd3WUM3MjNYd3FMRVplbGdiWnZXVlN4ZmFsSl80LTZ1anNWSTZNdnBUSGQyZDRrU19SVmJnenlkN3VDRkxOUEVsUHZPMnFzRXdwVklCZTZlNjB3RzItRzdYWTdVNEFFR28tZGV1SlRydXJRejh6ZUNHcXAwUFd6Xy1oSnk3c2Z6TFpjQWxEWF91VE1qcTh4clhTcFR5aVBxLVdQZHlvb0dGOEZTR2tXZFJMYkxIa1pveG0tMXJlWWVoOVFrdFhNZ2dMbU1QbEZIS2pEMW0yRkRZeTdobGc4NVFJUjA3SHZuVWYyd1V4dTNtcUU0NThLNW9mWlU0OW1iQ1hMenAzckFkSWhlYXF5LVJhUW5HREp1U0ZIeXJ4dVhRTUhuUFVWTEk4Q3Z6cW9Pb2sxakFvVUtyM2djc3FaVVJXM3oyV2duZVRwWkI5R3YtOUNEenFxYWZDeHZLYm90SElSTTdydGoyMS1pVFRVWHdyNVZ2TndWSzBQQm1iZHJCVzRlbWNReGQ1eFBBcEs0ZVBqNXlfMW9CTGlXRnJrVWZKLTh2NjhfSnI3dnU1SktvUTk0ZjlUbUVMYXdvanRuRm1MWGxCdkZRSkxRUVlqbUJaeFJ0eXY5b0hpeTBTNUVzSVBDZFpmSFRjLW0zVWdmY3FTMDlRSWk5dllzdWNXUTN2U1dCOHl2dTJpc2ZuazZEZ2UzcXFDUQ?oc=5,2024-08-30 00:02:09,Republic World,"<a href=""https://news.google.com/rss/articles/CBMiigVBVV95cUxPb2ZVODgxMmpIM1c0a2Z3YkZNcVBVS3EydHY0Y2p0dFo5UDFkT2l4OU9XS3F5Z3BfWnlsN3Z2WXRUS1otbG5uYXp1TzVVV0tBd2E4UGhzaU50dXhvZjIxZkRONG5BbXNHZ2hSVm83MFdMdm5MYXhRTEwxUzd3WUM3MjNYd3FMRVplbGdiWnZXVlN4ZmFsSl80LTZ1anNWSTZNdnBUSGQyZDRrU19SVmJnenlkN3VDRkxOUEVsUHZPMnFzRXdwVklCZTZlNjB3RzItRzdYWTdVNEFFR28tZGV1SlRydXJRejh6ZUNHcXAwUFd6Xy1oSnk3c2Z6TFpjQWxEWF91VE1qcTh4clhTcFR5aVBxLVdQZHlvb0dGOEZTR2tXZFJMYkxIa1pveG0tMXJlWWVoOVFrdFhNZ2dMbU1QbEZIS2pEMW0yRkRZeTdobGc4NVFJUjA3SHZuVWYyd1V4dTNtcUU0NThLNW9mWlU0OW1iQ1hMenAzckFkSWhlYXF5LVJhUW5HREp1U0ZIeXJ4dVhRTUhuUFVWTEk4Q3Z6cW9Pb2sxakFvVUtyM2djc3FaVVJXM3oyV2duZVRwWkI5R3YtOUNEenFxYWZDeHZLYm90SElSTTdydGoyMS1pVFRVWHdyNVZ2TndWSzBQQm1iZHJCVzRlbWNReGQ1eFBBcEs0ZVBqNXlfMW9CTGlXRnJrVWZKLTh2NjhfSnI3dnU1SktvUTk0ZjlUbUVMYXdvanRuRm1MWGxCdkZRSkxRUVlqbUJaeFJ0eXY5b0hpeTBTNUVzSVBDZFpmSFRjLW0zVWdmY3FTMDlRSWk5dllzdWNXUTN2U1dCOHl2dTJpc2ZuazZEZ2UzcXFDUQ?oc=5"" target=""_blank"">MUDA Scam: Karnataka HC Resume Hearing on Siddaramaiah's Petition Challenging Guv's Order</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font>",
"More rain likely in Gujarat, IMD predicts cyclonic storm Asna - Hindustan Times",https://news.google.com/rss/articles/CBMiwAFBVV95cUxPZk1nS21icWlaXzRhVlN0ZW1nMnNHODh3YldUOEgtSTBvcVNrTFowWi1tQ1ozTHlNV1J0cTdaNm5GMmZ0SDYwWnFydzRNcnFQYWJYS3NwWExSZXc0VlpxRFpPeTlDUjVFalF2Q0pXRk1QSVJ5YmRuOVI4aFJrdzVhSWd5ZFNRNmtNUHJYWEdqNkxrM283UFlsUmxJZmFuZlctYTZYUGdQRDdtam5PWDdPT1pTb3BEUUJySTVVbzBkZljSAcYBQVVfeXFMT2NJTS0yVGhkOVZHSGdQVnVfcVlBaGw0Mk1vWnRpUnhFbmxvZGUzUkZpVFV2WmYyOHdVallfZ2E5LVRweDg5bjBmeU4yVkk4VXpkMzFPQ2daTFFhMHNFaUVEYldUa0JuUnNZM0l3UzZTMFZEc1RQX09QY3FjQ1EwMHlYWS1VNkxBbnF1MG9MSXllWHJic1d0QWJsbHQwMXdUWnpmd3lSSlU1bjI3M3NyQWYzNEpiWVJQZ0tzQU41RXRtV3VjNDlR?oc=5,2024-08-30 00:08:28,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxPZk1nS21icWlaXzRhVlN0ZW1nMnNHODh3YldUOEgtSTBvcVNrTFowWi1tQ1ozTHlNV1J0cTdaNm5GMmZ0SDYwWnFydzRNcnFQYWJYS3NwWExSZXc0VlpxRFpPeTlDUjVFalF2Q0pXRk1QSVJ5YmRuOVI4aFJrdzVhSWd5ZFNRNmtNUHJYWEdqNkxrM283UFlsUmxJZmFuZlctYTZYUGdQRDdtam5PWDdPT1pTb3BEUUJySTVVbzBkZljSAcYBQVVfeXFMT2NJTS0yVGhkOVZHSGdQVnVfcVlBaGw0Mk1vWnRpUnhFbmxvZGUzUkZpVFV2WmYyOHdVallfZ2E5LVRweDg5bjBmeU4yVkk4VXpkMzFPQ2daTFFhMHNFaUVEYldUa0JuUnNZM0l3UzZTMFZEc1RQX09QY3FjQ1EwMHlYWS1VNkxBbnF1MG9MSXllWHJic1d0QWJsbHQwMXdUWnpmd3lSSlU1bjI3M3NyQWYzNEpiWVJQZ0tzQU41RXRtV3VjNDlR?oc=5"" target=""_blank"">More rain likely in Gujarat, IMD predicts cyclonic storm Asna</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
Photo of Kapil Muni temple in West Bengal shared as Bangladesh temple amid floods - logicallyfacts.com,https://news.google.com/rss/articles/CBMitwFBVV95cUxPd2h2UFRJOW40LTROYXNMUFZmelpPSjFiYnBuQnYzaFo3Vk1aRVVIaFNfb1laeld6aGFtcFhIUGxKWnlMeHlZTW5acmtMb3ZnNG1jMTBSSGMtVVg5V0VUV21oRjZMM2JBbnpkV0ZITkhHMkEwclgzdXVTcU5DU0x2V1BrUy13Z29ZZU1EeFNTWlRZeW9WaGs3ZXZVM3U2TmF2dXVPWkczVWdJd3d1S2xEbzhwRFVKQ3c?oc=5,2024-08-29 18:26:18,logicallyfacts.com,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPd2h2UFRJOW40LTROYXNMUFZmelpPSjFiYnBuQnYzaFo3Vk1aRVVIaFNfb1laeld6aGFtcFhIUGxKWnlMeHlZTW5acmtMb3ZnNG1jMTBSSGMtVVg5V0VUV21oRjZMM2JBbnpkV0ZITkhHMkEwclgzdXVTcU5DU0x2V1BrUy13Z29ZZU1EeFNTWlRZeW9WaGs3ZXZVM3U2TmF2dXVPWkczVWdJd3d1S2xEbzhwRFVKQ3c?oc=5"" target=""_blank"">Photo of Kapil Muni temple in West Bengal shared as Bangladesh temple amid floods</a>&nbsp;&nbsp;<font color=""#6f6f6f"">logicallyfacts.com</font>",
"Rare cyclonic storm, only fourth since 1944, to intensify over Arabian Sea away from Indian coasts on Fri - The Times of India",https://news.google.com/rss/articles/CBMihAJBVV95cUxPSGs1UmdjNF9YcmZETXJSa241NEFWdnpPb216OTJ5bFZKTDhGNEtDMER3Wkd0X0UzX0Raa180MEN5YWJDMUF6S3lvbUgzaVJMOWRGWjRZYnZBZktoVEZvcWZnTE5NalBPNTJlbU1PeVRqQ2ljcmNIeWZrZzV0U1RWUFBUVGtBRmdwb2RpV2hvUWN1UDVndmNkb3J2VWhGOWJhTXg5V0l4U0RTOGh5ZlhLakpaWTBVc2Y5Y1Q2c0FBdUNYRFJyNWxudzdJWFY3SFBtR2F1VEN6RkQ3NzJ0VkdUU0ZJc1ZxUjZfTHR1bnpJc1RhRTJ2TThkSXJHd2lBcF9DSWZfNNIBigJBVV95cUxPcDh3Z0FEUGROWUNGLVRVblp4cUlMaEt3NWFLX0NySGd5Qi1vVWhrVXk1ZDV3c3E3cUpiV3AxaEh1amJubzY5aVQyUV9mV0lPb0plU0IyRmNGeXB4QmRhUTdzYnU2cnphd21XV0VQVVNWQ3gxbDVndHRMaklWajVqUkJ0N3pTa1dxRGdtQ3Zva2dOVHVRNmYzcDRXajBwdjlWblZncUdkUTVOY1Vkd25nY0NxSDF2NldRNG9PanhiQkp1cGp2c05qUmNlbE5CMU92ZU1Nd1hrU1VudWpDdHpadFJZTWtxdjhid0FkRGxmN3JHRVFOdTBXN0ZtV2dXTklxRmttb2xGRXBNQQ?oc=5,2024-08-29 22:11:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMihAJBVV95cUxPSGs1UmdjNF9YcmZETXJSa241NEFWdnpPb216OTJ5bFZKTDhGNEtDMER3Wkd0X0UzX0Raa180MEN5YWJDMUF6S3lvbUgzaVJMOWRGWjRZYnZBZktoVEZvcWZnTE5NalBPNTJlbU1PeVRqQ2ljcmNIeWZrZzV0U1RWUFBUVGtBRmdwb2RpV2hvUWN1UDVndmNkb3J2VWhGOWJhTXg5V0l4U0RTOGh5ZlhLakpaWTBVc2Y5Y1Q2c0FBdUNYRFJyNWxudzdJWFY3SFBtR2F1VEN6RkQ3NzJ0VkdUU0ZJc1ZxUjZfTHR1bnpJc1RhRTJ2TThkSXJHd2lBcF9DSWZfNNIBigJBVV95cUxPcDh3Z0FEUGROWUNGLVRVblp4cUlMaEt3NWFLX0NySGd5Qi1vVWhrVXk1ZDV3c3E3cUpiV3AxaEh1amJubzY5aVQyUV9mV0lPb0plU0IyRmNGeXB4QmRhUTdzYnU2cnphd21XV0VQVVNWQ3gxbDVndHRMaklWajVqUkJ0N3pTa1dxRGdtQ3Zva2dOVHVRNmYzcDRXajBwdjlWblZncUdkUTVOY1Vkd25nY0NxSDF2NldRNG9PanhiQkp1cGp2c05qUmNlbE5CMU92ZU1Nd1hrU1VudWpDdHpadFJZTWtxdjhid0FkRGxmN3JHRVFOdTBXN0ZtV2dXTklxRmttb2xGRXBNQQ?oc=5"" target=""_blank"">Rare cyclonic storm, only fourth since 1944, to intensify over Arabian Sea away from Indian coasts on Fri</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Moody’s raises India 2024, 2025 GDP forecasts on rural demand bump - Deccan Herald",https://news.google.com/rss/articles/CBMisgFBVV95cUxQS0ZfX1o3UHRaSWxaQThCdnRqWTM2cDNoc2V1YVdPd3UxN0xNWE5Oa2g4bHpDNU9DdS1KRHZaN09fTkhYQnc2Rk9QX054Y2tBV3htd1cxemM1bGlBRVJ4Vng1S3JITUVjZ3hVREo0M1JTOXJFRE1LU21JdzBFdGhQbUdUblhfQ1pQQWI3TUJrZ1RueUpfTGltWFU3cVFSWm1DRkZJT19jeWdVV2k0a0tMa1NR?oc=5,2024-08-29 16:18:58,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQS0ZfX1o3UHRaSWxaQThCdnRqWTM2cDNoc2V1YVdPd3UxN0xNWE5Oa2g4bHpDNU9DdS1KRHZaN09fTkhYQnc2Rk9QX054Y2tBV3htd1cxemM1bGlBRVJ4Vng1S3JITUVjZ3hVREo0M1JTOXJFRE1LU21JdzBFdGhQbUdUblhfQ1pQQWI3TUJrZ1RueUpfTGltWFU3cVFSWm1DRkZJT19jeWdVV2k0a0tMa1NR?oc=5"" target=""_blank"">Moody’s raises India 2024, 2025 GDP forecasts on rural demand bump</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",
