Title,Link,Date,Source,Summary,Place
"Nearly 1,500 dead in 2024 monsoon in India - MSN",https://news.google.com/rss/articles/CBMipwFBVV95cUxNVkltR3phaG1KWG9Qb1lpYTJPS1dheFRMNldvVzdLREhqenlFSU9BU0lyWFVnSGlycG5OTkl2aEFveWM5dUtEek9tckxHOE1ac0xLLXZqQVdvWTJfWUNlTGQyZGJoVGNDVUNydkV6bm5VZGVOeG1qZWNBVElveGREampBRmtIVk5xbXU3LVJnc3p3dGhjMmlvQWhNdU5SeWo3dHMwRi1kSQ?oc=5,2024-10-01 20:20:38,MSN,"<a href=""https://news.google.com/rss/articles/CBMipwFBVV95cUxNVkltR3phaG1KWG9Qb1lpYTJPS1dheFRMNldvVzdLREhqenlFSU9BU0lyWFVnSGlycG5OTkl2aEFveWM5dUtEek9tckxHOE1ac0xLLXZqQVdvWTJfWUNlTGQyZGJoVGNDVUNydkV6bm5VZGVOeG1qZWNBVElveGREampBRmtIVk5xbXU3LVJnc3p3dGhjMmlvQWhNdU5SeWo3dHMwRi1kSQ?oc=5"" target=""_blank"">Nearly 1,500 dead in 2024 monsoon in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Over 1,500 died due to extreme weather during four monsoon months in India - Deccan Herald",https://news.google.com/rss/articles/CBMitgFBVV95cUxPVFpaSVFHblU4N0VTQXBoZTRFMW82Z19NYzJ2c212bXdVNXIzaXdQdll0akhOVC1HeUNrQmJFLTRxa3ZLaTNZOW04blRCejNhdm5MeUxwNUFlV01SMlNtNnR1SlVIQmllYnhWNUNVaU1vNE9Hdko4cTVEQW16djJwY3JmRzNhMlhsbGlZSW1pNXVfVlQ1R1ctSXZXQjN4WlVXVlhOM3ZOblU1dm1PdkVKR2Y1dDF0UQ?oc=5,2024-10-01 22:21:04,Deccan Herald,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxPVFpaSVFHblU4N0VTQXBoZTRFMW82Z19NYzJ2c212bXdVNXIzaXdQdll0akhOVC1HeUNrQmJFLTRxa3ZLaTNZOW04blRCejNhdm5MeUxwNUFlV01SMlNtNnR1SlVIQmllYnhWNUNVaU1vNE9Hdko4cTVEQW16djJwY3JmRzNhMlhsbGlZSW1pNXVfVlQ1R1ctSXZXQjN4WlVXVlhOM3ZOblU1dm1PdkVKR2Y1dDF0UQ?oc=5"" target=""_blank"">Over 1,500 died due to extreme weather during four monsoon months in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Deccan Herald</font>",
"Enhanced rainfall in Assam, Northeast till October 5 - The Sentinel Assam",https://news.google.com/rss/articles/CBMimgFBVV95cUxQWkhwV284ZEN3UFZlRjRJZ3JUYkJWeTNGZ0gteHJ1RVI2SS1HVnZfZU1oU09ncC1kbXJ3UWg3VlBzc0ZaOTNNNHY1OE5kVVMxLWVCREhsLWdQVHQ2OVpQLVhJc1VYS0ljWmFyWndNaDkwOVRyUmJOOFJqU2xLMkhhRlc0eUxMRXhkTDdOcDF1bVNqbVNQZTZkcGVB0gGnAUFVX3lxTE5GQUZRMnFZdmFubnhHRTdjdjlJSUpJWFZ6RHRac1NmTUg4elhBZ0l4dGo3cGxhbVZvRXFWdXpwSUFDdkRVNnRaWnRuMEdnQ1A1bkNpdmcwa0xrNnFLcHlEX2M2ZUpfSjFoWkdTSVFONVdwRVF3b19lZGJGVGE4dXBvUVpha3lOVUpYVmkwMXJUMkJKMEpWMk53bW5NMzZpeVg1OG05SVNn?oc=5,2024-10-02 08:12:19,The Sentinel Assam,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQWkhwV284ZEN3UFZlRjRJZ3JUYkJWeTNGZ0gteHJ1RVI2SS1HVnZfZU1oU09ncC1kbXJ3UWg3VlBzc0ZaOTNNNHY1OE5kVVMxLWVCREhsLWdQVHQ2OVpQLVhJc1VYS0ljWmFyWndNaDkwOVRyUmJOOFJqU2xLMkhhRlc0eUxMRXhkTDdOcDF1bVNqbVNQZTZkcGVB0gGnAUFVX3lxTE5GQUZRMnFZdmFubnhHRTdjdjlJSUpJWFZ6RHRac1NmTUg4elhBZ0l4dGo3cGxhbVZvRXFWdXpwSUFDdkRVNnRaWnRuMEdnQ1A1bkNpdmcwa0xrNnFLcHlEX2M2ZUpfSjFoWkdTSVFONVdwRVF3b19lZGJGVGE4dXBvUVpha3lOVUpYVmkwMXJUMkJKMEpWMk53bW5NMzZpeVg1OG05SVNn?oc=5"" target=""_blank"">Enhanced rainfall in Assam, Northeast till October 5</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Sentinel Assam</font>",
"Centre releases ₹5,858 crore to 14 flood-affected states - Hindustan Times",https://news.google.com/rss/articles/CBMiwwFBVV95cUxNdlB6Tk9rYVpRWjhTeXBxLUl1RzRkRVAtWGowUXkwaGhwVG5FTDFzaXBRMnVoS192WEtMMi0teVh4bElnWFhScXc5Vk1FM0RwWnZJNW5aZU5OYUZZcWZGUXdoVzhSNE5GSmh1c092czdZQ3J3TXc5M0M4ZWFTbEtSdkxGY2xUZ2NKcjQ5Q3N6UGh3SzdWQVZTTDFCS2RKOWtCb01RZDlUX05DU0JyaEFrSFAzSzREc2NibFZBbHRKWFFFWGPSAcMBQVVfeXFMTXZQek5Pa2FaUVo4U3lwcS1JdUc0ZEVQLVhqMFF5MGhocFRuRUwxc2lwUTJ1aEtfdlhLTDItLXlYeGxJZ1hYUnF3OVZNRTNEcFp2STVuWmVOTmFGWXFmRlF3aFc4UjRORkpodXNPdnM3WUNyd013OTNDOGVhU2xLUnZMRmNsVGdjSnI0OUNzelBod0s3VkFWU0wxQktkSjlrQm9NUWQ5VF9OQ1NCcmhBa0hQM0s0RHNjYmxWQWx0SlhRRVhj?oc=5,2024-10-01 20:17:10,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxNdlB6Tk9rYVpRWjhTeXBxLUl1RzRkRVAtWGowUXkwaGhwVG5FTDFzaXBRMnVoS192WEtMMi0teVh4bElnWFhScXc5Vk1FM0RwWnZJNW5aZU5OYUZZcWZGUXdoVzhSNE5GSmh1c092czdZQ3J3TXc5M0M4ZWFTbEtSdkxGY2xUZ2NKcjQ5Q3N6UGh3SzdWQVZTTDFCS2RKOWtCb01RZDlUX05DU0JyaEFrSFAzSzREc2NibFZBbHRKWFFFWGPSAcMBQVVfeXFMTXZQek5Pa2FaUVo4U3lwcS1JdUc0ZEVQLVhqMFF5MGhocFRuRUwxc2lwUTJ1aEtfdlhLTDItLXlYeGxJZ1hYUnF3OVZNRTNEcFp2STVuWmVOTmFGWXFmRlF3aFc4UjRORkpodXNPdnM3WUNyd013OTNDOGVhU2xLUnZMRmNsVGdjSnI0OUNzelBod0s3VkFWU0wxQktkSjlrQm9NUWQ5VF9OQ1NCcmhBa0hQM0s0RHNjYmxWQWx0SlhRRVhj?oc=5"" target=""_blank"">Centre releases ₹5,858 crore to 14 flood-affected states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Floods: Centre releases Rs 416.8 crore to Telangana, Andhra Pradesh gets Rs 1,036 crore - The New Indian Express",https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcHJMMGlVNE1XM3NMQVVBN203WDRnUjFCRlVPRVRqd2VqYk5HUzBKN3FUazhFaVhLOHBXMDVuTFdOQmtDREVMaHZ3UldTdXFHTmtNSXhGMXBjOEcwUTJNZUJRd0ppRUxYeHdJYThpNVVUem5pSy1XQVphVndvV2E3TmxXTktoWThmSS0zYkV0aTc2V2NTVzR3YkZIcTBqdTBUOXpRRWNUT2E5Y2ZTS3BXZUhfSE9oOE1qRlNQckNnM2tBZVJtLWJsQmtlMzRUTzhBY21rRmhfX0V0ZjRtN0HSAesBQVVfeXFMUEtnYl9hcGM4VEZyalZOc0Y0aVFOOHhDQ21tVGJiemxNRkxHNnZLUnhGejFkc0J0Rk14T29sUVUtdlg2R1lteVl1Y3FYQXYwdFpPZlEza1ZqQ2NQd3NFR1VZejd1b00tQzRMOWI3SnhkWTJPODFVSUtJVDA2WmhLc2RVQ0FyamptYkt5ZDQ5QVpWa1FXeUNFNTlkbHY1NDRCckVwZTRyOVdabkFFZVFSc0JudFFHOE5OcG1aMGVUQnEyWEs1X3ZHcVI1WnQ3MHpNUWI0MWpta3pCZHFyQzlydk9SdFF0SXNLNXlhZw?oc=5,2024-10-02 09:12:56,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxQcHJMMGlVNE1XM3NMQVVBN203WDRnUjFCRlVPRVRqd2VqYk5HUzBKN3FUazhFaVhLOHBXMDVuTFdOQmtDREVMaHZ3UldTdXFHTmtNSXhGMXBjOEcwUTJNZUJRd0ppRUxYeHdJYThpNVVUem5pSy1XQVphVndvV2E3TmxXTktoWThmSS0zYkV0aTc2V2NTVzR3YkZIcTBqdTBUOXpRRWNUT2E5Y2ZTS3BXZUhfSE9oOE1qRlNQckNnM2tBZVJtLWJsQmtlMzRUTzhBY21rRmhfX0V0ZjRtN0HSAesBQVVfeXFMUEtnYl9hcGM4VEZyalZOc0Y0aVFOOHhDQ21tVGJiemxNRkxHNnZLUnhGejFkc0J0Rk14T29sUVUtdlg2R1lteVl1Y3FYQXYwdFpPZlEza1ZqQ2NQd3NFR1VZejd1b00tQzRMOWI3SnhkWTJPODFVSUtJVDA2WmhLc2RVQ0FyamptYkt5ZDQ5QVpWa1FXeUNFNTlkbHY1NDRCckVwZTRyOVdabkFFZVFSc0JudFFHOE5OcG1aMGVUQnEyWEs1X3ZHcVI1WnQ3MHpNUWI0MWpta3pCZHFyQzlydk9SdFF0SXNLNXlhZw?oc=5"" target=""_blank"">Floods: Centre releases Rs 416.8 crore to Telangana, Andhra Pradesh gets Rs 1,036 crore</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"Government announces Rs 6,000 crore flood aid for 14 states - MSN",https://news.google.com/rss/articles/CBMirAFBVV95cUxOeGtpdUpIaVZUYldYTnFLc09QbHpsc0NBTFpvQTd6RWJ2Nk51YjI1bWlhVVJlYXF0OGlGSEktMnE1WHh2aHFRTnh0ZHNDS1dIRmdnMGdfdERGaXc0WVFWc1VWaFBhTGVOb1N0ZHgtWDhxOFgxSEdfOUY4UUpGS0E3T0pMMUh5OEdqLVBSRlZMX082YW8wVTg1MEI4OUtnYlFyS2cxRXVIYlZiQVNq?oc=5,2024-10-02 03:28:11,MSN,"<a href=""https://news.google.com/rss/articles/CBMirAFBVV95cUxOeGtpdUpIaVZUYldYTnFLc09QbHpsc0NBTFpvQTd6RWJ2Nk51YjI1bWlhVVJlYXF0OGlGSEktMnE1WHh2aHFRTnh0ZHNDS1dIRmdnMGdfdERGaXc0WVFWc1VWaFBhTGVOb1N0ZHgtWDhxOFgxSEdfOUY4UUpGS0E3T0pMMUh5OEdqLVBSRlZMX082YW8wVTg1MEI4OUtnYlFyS2cxRXVIYlZiQVNq?oc=5"" target=""_blank"">Government announces Rs 6,000 crore flood aid for 14 states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Centre releases Rs 5,858.60 crore to 14 flood-affected states as its share of disaster funds - The New Indian Express",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPS3VITlBqUHZZSWpaR1d1WnRmMWJ3NTBaemhUSVRfa1RXOFd6d2NNZkFkNXhKYmVqcEVxOEY2aUZYYVFfdk9hZzBEd3dvbm9mZUtLMV9ybXYyZFZYdzNJSGRWU2t3MUEwMlpHYno4b3dyQUhvc0NhUWRralN6c2lNWXBMUVNHRGJWVGs0d2E4ZnJVVm56Vlo5U2xpaGpDVlducUtLbGxWQU9xVHpRNWlxWWRrUDJjZEVOSmVqV2Q2SzJlYU9fNG8xdF9CU2VQVjlrMVpxU3JyRXZ5Z9IB5wFBVV95cUxPOEJfY2gtS1RMYXFRNDhYSVFKUS1nYm1DVmhhOVE2aDJPR3pJT2hKcW5yZkxyYUhLLUJJMlZXaTV3TGVyYWRTcWthUExaVEdreEZOTmZyb1RBRllwZmYxcVNwMGpRdFpVbngxNUJGNndRNTNmRjJOYkdPMkNoRWNtaTFrSURUSWRYRl9ldUpmU2Jkc2pHaG5zbzhnRnk4aHpmTXdvaTV3Y3BzcmlHSkdEcTVRbF80Ul96MUx4OHlTTVh2S1FNNDN1WC1xTkJVcUFmSnRzdEQ3X1docklwY1Vqb3E1Y0gxNXc?oc=5,2024-10-01 21:02:31,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxPS3VITlBqUHZZSWpaR1d1WnRmMWJ3NTBaemhUSVRfa1RXOFd6d2NNZkFkNXhKYmVqcEVxOEY2aUZYYVFfdk9hZzBEd3dvbm9mZUtLMV9ybXYyZFZYdzNJSGRWU2t3MUEwMlpHYno4b3dyQUhvc0NhUWRralN6c2lNWXBMUVNHRGJWVGs0d2E4ZnJVVm56Vlo5U2xpaGpDVlducUtLbGxWQU9xVHpRNWlxWWRrUDJjZEVOSmVqV2Q2SzJlYU9fNG8xdF9CU2VQVjlrMVpxU3JyRXZ5Z9IB5wFBVV95cUxPOEJfY2gtS1RMYXFRNDhYSVFKUS1nYm1DVmhhOVE2aDJPR3pJT2hKcW5yZkxyYUhLLUJJMlZXaTV3TGVyYWRTcWthUExaVEdreEZOTmZyb1RBRllwZmYxcVNwMGpRdFpVbngxNUJGNndRNTNmRjJOYkdPMkNoRWNtaTFrSURUSWRYRl9ldUpmU2Jkc2pHaG5zbzhnRnk4aHpmTXdvaTV3Y3BzcmlHSkdEcTVRbF80Ul96MUx4OHlTTVh2S1FNNDN1WC1xTkJVcUFmSnRzdEQ3X1docklwY1Vqb3E1Y0gxNXc?oc=5"" target=""_blank"">Centre releases Rs 5,858.60 crore to 14 flood-affected states as its share of disaster funds</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
Centre releases Rs 145.6 crore disaster aid to Kerala - The New Indian Express,https://news.google.com/rss/articles/CBMisAFBVV95cUxPaFZOQjR3Vm9IckRQM1NwOFZfSkVfNlJKNDBlUl85R1E0dklLajVWOE5pb1dIam1rX1daRmM5SVJrZ1l0ZURoUXVOdFI3TE9CbDJUNS1QeldCdWFkQzQyMVVNc0cxemh4VndGNWQxWk96NC12MEVrMGhqN2JJYTlIcXM1SUdBWjRkZGY3a09OSjU2VXNLRE9zZ1hna3czRjd3WnZsdVFxMVozNEJJelRhcdIBvgFBVV95cUxQWEVQZnpZMUtJel9vNXJjLXdibHFKUUVqbmdaNEsxRC1XSER4NndqYjRVcWNCMzhmdF9XeDdfbzNPelRHRWlDcV94TFc0VFpOTE5qSHRuRmpCSHUwUm5GWDN6Nld4S05maW9UT2hJcEhJcUd5YldyTG9uNllGMnBCV0Z2a2daSFhCeXYtT1JUdDFMSHQxaUlwcGdJbTI5TjRYNXJ2UHZGanE0RnZjNUpCbXg2eC1LdkE4Z184UjJ3?oc=5,2024-10-02 07:29:10,The New Indian Express,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxPaFZOQjR3Vm9IckRQM1NwOFZfSkVfNlJKNDBlUl85R1E0dklLajVWOE5pb1dIam1rX1daRmM5SVJrZ1l0ZURoUXVOdFI3TE9CbDJUNS1QeldCdWFkQzQyMVVNc0cxemh4VndGNWQxWk96NC12MEVrMGhqN2JJYTlIcXM1SUdBWjRkZGY3a09OSjU2VXNLRE9zZ1hna3czRjd3WnZsdVFxMVozNEJJelRhcdIBvgFBVV95cUxQWEVQZnpZMUtJel9vNXJjLXdibHFKUUVqbmdaNEsxRC1XSER4NndqYjRVcWNCMzhmdF9XeDdfbzNPelRHRWlDcV94TFc0VFpOTE5qSHRuRmpCSHUwUm5GWDN6Nld4S05maW9UT2hJcEhJcUd5YldyTG9uNllGMnBCV0Z2a2daSFhCeXYtT1JUdDFMSHQxaUlwcGdJbTI5TjRYNXJ2UHZGanE0RnZjNUpCbXg2eC1LdkE4Z184UjJ3?oc=5"" target=""_blank"">Centre releases Rs 145.6 crore disaster aid to Kerala</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font>",
"India News Live Today October 1, 2024: Kolkata rape case: Bengal junior doctors resume total ‘cease work’ demanding safety, security - MSN",https://news.google.com/rss/articles/CBMihgJBVV95cUxQZl9DLXlLOXYyeTAxUGdzNmpmajlhX0NfTXJvano5eks1dEc1YUpIM1BWV2RQaHJxRkl1ZTlDTm5ULVVsdk1xSWI2ZXRNaDl4UExnTzVUNkxPZHBNYms2bDd2bW9WNTdjaUpJbmF5bGo2cnZfWWtuMmUwRWlGenZxYlFhdjVBcGJQME04Wk9RSUMwMmJDTVdWbDBHdEUycFQ1cTFrUi1mOG1VamlOdHhwa3B1M3dxZWhfYlFMXzAxODk1QldpNTFyaXkwRWNqLUNJbG5uV25pZ21UbktBTDRSd0RsY2F0ajFHWDNjeU9CMDNYdG9WTzB0d09zM3hmblhQVUFoaFhR?oc=5,2024-10-01 15:51:37,MSN,"<a href=""https://news.google.com/rss/articles/CBMihgJBVV95cUxQZl9DLXlLOXYyeTAxUGdzNmpmajlhX0NfTXJvano5eks1dEc1YUpIM1BWV2RQaHJxRkl1ZTlDTm5ULVVsdk1xSWI2ZXRNaDl4UExnTzVUNkxPZHBNYms2bDd2bW9WNTdjaUpJbmF5bGo2cnZfWWtuMmUwRWlGenZxYlFhdjVBcGJQME04Wk9RSUMwMmJDTVdWbDBHdEUycFQ1cTFrUi1mOG1VamlOdHhwa3B1M3dxZWhfYlFMXzAxODk1QldpNTFyaXkwRWNqLUNJbG5uV25pZ21UbktBTDRSd0RsY2F0ajFHWDNjeU9CMDNYdG9WTzB0d09zM3hmblhQVUFoaFhR?oc=5"" target=""_blank"">India News Live Today October 1, 2024: Kolkata rape case: Bengal junior doctors resume total ‘cease work’ demanding safety, security</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
IMD reports 7.6% more rainfall during this year's monsoon - The Times of India,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYUtJTFJvalFQaUVnbmV1al9zQWwwVGpMdFFBZVBSVndzX1NqOGVaYWlVNDlmRC1yNW5UNHJPallUNmxnUWpWSHRRdEF0SFRFZUtZXzNWOFBIc2x4OHI2enl1d2VsSU1xTGhvbkNkd1VvTWRLZTZ6MDRwN2tBSmNCUmJFa1IwT2F4dGprMUs4X2F4UnYwaG9oeVVDekMzVHgyemhmS2hIOVBDYjhudGNNYmpDdVVISEJrRmR1TkpEQmrSAcYBQVVfeXFMTl9SOFE3cmhkUnhpeWVicEFuQldPYWt2cXVkdGctSGJRRGdJZVVBU1FwOHpwcTFUZnB6b3NNUGd6SVQ2Y3NnSzlYMy01TldEY3p2bGQ5T2ptNFdYSlNWdkc3cDNBWWxXaXR5eXEzZWhQMnhld21fS3lGMFNOdFZQQWhsTHNOVnFiSUpfVG1YNUROeHI0RjMwR0g4R1ZPUi1zblNtLWdZRmVueXFPLVhBMWFoMWZyS0NFeWNHcGVEaUJpa2JBcW5n?oc=5,2024-10-01 18:01:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwAFBVV95cUxQYUtJTFJvalFQaUVnbmV1al9zQWwwVGpMdFFBZVBSVndzX1NqOGVaYWlVNDlmRC1yNW5UNHJPallUNmxnUWpWSHRRdEF0SFRFZUtZXzNWOFBIc2x4OHI2enl1d2VsSU1xTGhvbkNkd1VvTWRLZTZ6MDRwN2tBSmNCUmJFa1IwT2F4dGprMUs4X2F4UnYwaG9oeVVDekMzVHgyemhmS2hIOVBDYjhudGNNYmpDdVVISEJrRmR1TkpEQmrSAcYBQVVfeXFMTl9SOFE3cmhkUnhpeWVicEFuQldPYWt2cXVkdGctSGJRRGdJZVVBU1FwOHpwcTFUZnB6b3NNUGd6SVQ2Y3NnSzlYMy01TldEY3p2bGQ5T2ptNFdYSlNWdkc3cDNBWWxXaXR5eXEzZWhQMnhld21fS3lGMFNOdFZQQWhsTHNOVnFiSUpfVG1YNUROeHI0RjMwR0g4R1ZPUi1zblNtLWdZRmVueXFPLVhBMWFoMWZyS0NFeWNHcGVEaUJpa2JBcW5n?oc=5"" target=""_blank"">IMD reports 7.6% more rainfall during this year's monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
