Title,Link,Date,Source,Summary,Term,LanguageQueried
"Today weather forecast: IMD issues heavy rainfall alert for Bihar, West Bengal, Sikkim and Madhya Pradesh. - The Economic Times",https://news.google.com/rss/articles/CBMingJBVV95cUxQN1JsLXFIRzY4WTg1aC1BbnJzcFYzZEdvTm5RbS1EcEN4am1QUWMyOFNLSlZZVU5GYmpoeVB1WEVCd0F1eFE2N0pDTHl3MzFTUmJJTXFrS05Ydk1yUmU2VnNqWW96d1BvS3NtUTNJeG40UjFGTy1qdWJLUHNTbzJ1d0gzX2JWaVJKcXN4RkNFSWhRQTJ5TVZkeDh0ZHh2VmMyTUc2bGZqZU9ELVRsTVdTMGlvSjU4S2MybF9NVUZPaEYwcHA2VC14dWM3b05kR2p4eWNTd2hMVXpVeExNQXBrbWJwMXJVcmZDZW83OFdBS0NoUFVkaG9Da3dtQmo0NUJtVU5wN0phMDVCM3ppUGdsRjdxWVA5LUJjUmtxX2lB0gGeAkFVX3lxTFA3UmwtcUhHNjhZODVoLUFucnNwVjNkR29OblFtLURwQ3hqbVBRYzI4U0tKVllVTkZiamh5UHVYRUJ3QXV4UTY3SkNMeXczMVNSYklNcWtLTlh2TXJSZTZWc2pZb3p3UG9Lc21RM0l4bjRSMUZPLWp1YktQc1NvMnV3SDNfYlZpUkpxc3hGQ0VJaFFBMnlNVmR4OHRkeHZWYzJNRzZsZmplT0QtVGxNV1MwaW9KNThLYzJsX01VRk9oRjBwcDZULXh1YzdvTmRHanh5Y1N3aExVelV4TE1BcGttYnAxclVyZkNlbzc4V0FLQ2hQVWRob0Nrd21CajQ1Qm1VTnA3SmEwNUIzemlQZ2xGN3FZUDktQmNSa3FfaUE?oc=5,2025-10-31 07:26:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxQN1JsLXFIRzY4WTg1aC1BbnJzcFYzZEdvTm5RbS1EcEN4am1QUWMyOFNLSlZZVU5GYmpoeVB1WEVCd0F1eFE2N0pDTHl3MzFTUmJJTXFrS05Ydk1yUmU2VnNqWW96d1BvS3NtUTNJeG40UjFGTy1qdWJLUHNTbzJ1d0gzX2JWaVJKcXN4RkNFSWhRQTJ5TVZkeDh0ZHh2VmMyTUc2bGZqZU9ELVRsTVdTMGlvSjU4S2MybF9NVUZPaEYwcHA2VC14dWM3b05kR2p4eWNTd2hMVXpVeExNQXBrbWJwMXJVcmZDZW83OFdBS0NoUFVkaG9Da3dtQmo0NUJtVU5wN0phMDVCM3ppUGdsRjdxWVA5LUJjUmtxX2lB0gGeAkFVX3lxTFA3UmwtcUhHNjhZODVoLUFucnNwVjNkR29OblFtLURwQ3hqbVBRYzI4U0tKVllVTkZiamh5UHVYRUJ3QXV4UTY3SkNMeXczMVNSYklNcWtLTlh2TXJSZTZWc2pZb3p3UG9Lc21RM0l4bjRSMUZPLWp1YktQc1NvMnV3SDNfYlZpUkpxc3hGQ0VJaFFBMnlNVmR4OHRkeHZWYzJNRzZsZmplT0QtVGxNV1MwaW9KNThLYzJsX01VRk9oRjBwcDZULXh1YzdvTmRHanh5Y1N3aExVelV4TE1BcGttYnAxclVyZkNlbzc4V0FLQ2hQVWRob0Nrd21CajQ1Qm1VTnA3SmEwNUIzemlQZ2xGN3FZUDktQmNSa3FfaUE?oc=5"" target=""_blank"">Today weather forecast: IMD issues heavy rainfall alert for Bihar, West Bengal, Sikkim and Madhya Pradesh.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
Will the GST waiver improve penetration? I BFSI Summit 2025 - Business Standard,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWnliSXlyazNnN05mVnNDbFJKSC1qNDA1OUROeUJSQndqbG5oT0p0OFdlU21PcndZWXVROVpZVWVrdTN0bUZNaXhCUnlqUENWYm5mR0hjYlBvb3lZVVI1TjNJaWZaWjF4OGZrN1h3dW9TUWtMbFBHemVaSjRVTE5fa0UtdlBqR0JZMlRTdnBZaDNVcjMtWFllQm5ueGcwanRKZWYtN3hTbV92QTREZlNMZjlmbFUzYnlMMF9waWhpTlpvblpq?oc=5,2025-10-30 17:26:17,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNWnliSXlyazNnN05mVnNDbFJKSC1qNDA1OUROeUJSQndqbG5oT0p0OFdlU21PcndZWXVROVpZVWVrdTN0bUZNaXhCUnlqUENWYm5mR0hjYlBvb3lZVVI1TjNJaWZaWjF4OGZrN1h3dW9TUWtMbFBHemVaSjRVTE5fa0UtdlBqR0JZMlRTdnBZaDNVcjMtWFllQm5ueGcwanRKZWYtN3hTbV92QTREZlNMZjlmbFUzYnlMMF9waWhpTlpvblpq?oc=5"" target=""_blank"">Will the GST waiver improve penetration? I BFSI Summit 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Monsoon Forecast - Heavy Rain & Thunderstorm Warning Issued for 10+ States on Oct 31, Here Full List - Times Bull",https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQ3h5QW1sdVFsVkxJc3V0ZWZ1VEZIdlVtT2ZBcm9SbkFlZDlUN19RYlpkdi1wTk5nV29KLTZ1U3lFQVZDYTNHSXhmcGJDd2VQbmpGMTJqSjNObUEtb1pHLUljd25keGV1X1k1UnNFek81TVMtaXdhOEZ1cDFMNDlYRWpMZGl1aUtEUHpGMlpiUS0zYm5mb1k2cUVNS0dQUzdjUjlrQVp5TUJ1QWR4RDRwMHNyclNQLXZJcEZjblVMT0xBR21NV3FiUWVldGZOdnNEd25DaEJQSmtLaWs?oc=5,2025-10-31 05:14:49,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQ3h5QW1sdVFsVkxJc3V0ZWZ1VEZIdlVtT2ZBcm9SbkFlZDlUN19RYlpkdi1wTk5nV29KLTZ1U3lFQVZDYTNHSXhmcGJDd2VQbmpGMTJqSjNObUEtb1pHLUljd25keGV1X1k1UnNFek81TVMtaXdhOEZ1cDFMNDlYRWpMZGl1aUtEUHpGMlpiUS0zYm5mb1k2cUVNS0dQUzdjUjlrQVp5TUJ1QWR4RDRwMHNyclNQLXZJcEZjblVMT0xBR21NV3FiUWVldGZOdnNEd25DaEJQSmtLaWs?oc=5"" target=""_blank"">Monsoon Forecast - Heavy Rain & Thunderstorm Warning Issued for 10+ States on Oct 31, Here Full List</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
"GST cut puts insurance on par with food in fiscal policy, says IRDAI chief | BFSI Summit 2025 - Business Standard",https://news.google.com/rss/articles/CBMi7wFBVV95cUxOQjE3SUs2MUJ6MVFRUEFNNXdpN1ZUU0ZMdnZCa3VXbm50ZzZXVElRbVZFUWdVYzd6a1JIVXpqeGlXN2Q5Wk42cXdnQkR1UnRKTDBVeGdnQmNPMnpZLUptdGpqbTl5MVJJQktja0dvLUpPNzZ2WWhDLWJRSGNnN21Ma3dENFFWZkZDSmtEVVA2b2g3NEFQakxRa3ZqTWJFMjZ0QWt1N0tQT3BIcVVTR2xmbVJBRTYwRWtZbVN4eG5ybm13Mi1uVGY3cXpraWJpcFI5VWlETW1mazAtazhFVzFmZkxqVWNsLURLNmlTRk5TSQ?oc=5,2025-10-30 17:31:13,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxOQjE3SUs2MUJ6MVFRUEFNNXdpN1ZUU0ZMdnZCa3VXbm50ZzZXVElRbVZFUWdVYzd6a1JIVXpqeGlXN2Q5Wk42cXdnQkR1UnRKTDBVeGdnQmNPMnpZLUptdGpqbTl5MVJJQktja0dvLUpPNzZ2WWhDLWJRSGNnN21Ma3dENFFWZkZDSmtEVVA2b2g3NEFQakxRa3ZqTWJFMjZ0QWt1N0tQT3BIcVVTR2xmbVJBRTYwRWtZbVN4eG5ybm13Mi1uVGY3cXpraWJpcFI5VWlETW1mazAtazhFVzFmZkxqVWNsLURLNmlTRk5TSQ?oc=5"" target=""_blank"">GST cut puts insurance on par with food in fiscal policy, says IRDAI chief | BFSI Summit 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
Gold and silver prices drop from record highs: Is the bullion rally finally ending? | Gold price - Business Standard,https://news.google.com/rss/articles/CBMi7wFBVV95cUxPNVp5NFd6RG5mWTNOOGNWQ0Q4WmhfV3RtUnpNWklPa0NlWDdoRm8tNzFONmZZbkJ6WG00bHhBclIyM2dmMkxnZmRFZUZjcDNkaVJRZ21OTUVjcy1mekFhSEdEQnZpTkNpVHJfQld1UEJGS2tLemtWMFVIaWU5OXAyZTlDbUpKMmVRN0FHYVJfU1FmUlFkaUc2clo4RWJqVnF6VnRuUU8xazRtMlNmZjJobDNVckxTT2tEaUV0S0RFcFhMUEhTRVhQSnJuMjJXMVAtUVFCRHlfMzVfd1lzMHZDU3FRQkwwbnpBckJWZS0taw?oc=5,2025-10-30 13:06:35,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxPNVp5NFd6RG5mWTNOOGNWQ0Q4WmhfV3RtUnpNWklPa0NlWDdoRm8tNzFONmZZbkJ6WG00bHhBclIyM2dmMkxnZmRFZUZjcDNkaVJRZ21OTUVjcy1mekFhSEdEQnZpTkNpVHJfQld1UEJGS2tLemtWMFVIaWU5OXAyZTlDbUpKMmVRN0FHYVJfU1FmUlFkaUc2clo4RWJqVnF6VnRuUU8xazRtMlNmZjJobDNVckxTT2tEaUV0S0RFcFhMUEhTRVhQSnJuMjJXMVAtUVFCRHlfMzVfd1lzMHZDU3FRQkwwbnpBckJWZS0taw?oc=5"" target=""_blank"">Gold and silver prices drop from record highs: Is the bullion rally finally ending? | Gold price</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Do NBFCs need bank licence to grow, or is it overrated now? | BFSI Summit 2025 | Business News - Business Standard",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNQ1FubzZ1aUNzamRyR1pqZ1djQ2RtSmJwWGppWjJMV2ZHdWNBa1gyMUhjUGlmdkdFU0V4dVM3YVNBSjFuMl96dkVZVmRCYXpNa0xzWEdFeGloblhXQlRISm84bUJucGNfTU9YelBuMmlac3NvRnJlUmplOGg1ZjJLcTJkcXFuNVU3WWNpM3FxeFQ1ZklLTlhpalJsazFVaEpMeWx1WjFycnNMV2ItbzZxeWZjdWNKWl9DbDhRVENFWHNuZDVGUEpDMUJXOUlINDRfak5fT2o5aHU3QWRhUW96Ni01QlJRbU9FWWw4ZQ?oc=5,2025-10-30 17:28:42,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNQ1FubzZ1aUNzamRyR1pqZ1djQ2RtSmJwWGppWjJMV2ZHdWNBa1gyMUhjUGlmdkdFU0V4dVM3YVNBSjFuMl96dkVZVmRCYXpNa0xzWEdFeGloblhXQlRISm84bUJucGNfTU9YelBuMmlac3NvRnJlUmplOGg1ZjJLcTJkcXFuNVU3WWNpM3FxeFQ1ZklLTlhpalJsazFVaEpMeWx1WjFycnNMV2ItbzZxeWZjdWNKWl9DbDhRVENFWHNuZDVGUEpDMUJXOUlINDRfak5fT2o5aHU3QWRhUW96Ni01QlJRbU9FWWw4ZQ?oc=5"" target=""_blank"">Do NBFCs need bank licence to grow, or is it overrated now? | BFSI Summit 2025 | Business News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Today weather forecast: IMD issues heavy rainfall alert for Bihar, West Bengal, Sikkim and Madhya Pradesh. - The Economic Times",https://news.google.com/rss/articles/CBMingJBVV95cUxQN1JsLXFIRzY4WTg1aC1BbnJzcFYzZEdvTm5RbS1EcEN4am1QUWMyOFNLSlZZVU5GYmpoeVB1WEVCd0F1eFE2N0pDTHl3MzFTUmJJTXFrS05Ydk1yUmU2VnNqWW96d1BvS3NtUTNJeG40UjFGTy1qdWJLUHNTbzJ1d0gzX2JWaVJKcXN4RkNFSWhRQTJ5TVZkeDh0ZHh2VmMyTUc2bGZqZU9ELVRsTVdTMGlvSjU4S2MybF9NVUZPaEYwcHA2VC14dWM3b05kR2p4eWNTd2hMVXpVeExNQXBrbWJwMXJVcmZDZW83OFdBS0NoUFVkaG9Da3dtQmo0NUJtVU5wN0phMDVCM3ppUGdsRjdxWVA5LUJjUmtxX2lB0gGeAkFVX3lxTFA3UmwtcUhHNjhZODVoLUFucnNwVjNkR29OblFtLURwQ3hqbVBRYzI4U0tKVllVTkZiamh5UHVYRUJ3QXV4UTY3SkNMeXczMVNSYklNcWtLTlh2TXJSZTZWc2pZb3p3UG9Lc21RM0l4bjRSMUZPLWp1YktQc1NvMnV3SDNfYlZpUkpxc3hGQ0VJaFFBMnlNVmR4OHRkeHZWYzJNRzZsZmplT0QtVGxNV1MwaW9KNThLYzJsX01VRk9oRjBwcDZULXh1YzdvTmRHanh5Y1N3aExVelV4TE1BcGttYnAxclVyZkNlbzc4V0FLQ2hQVWRob0Nrd21CajQ1Qm1VTnA3SmEwNUIzemlQZ2xGN3FZUDktQmNSa3FfaUE?oc=5,2025-10-31 07:26:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxQN1JsLXFIRzY4WTg1aC1BbnJzcFYzZEdvTm5RbS1EcEN4am1QUWMyOFNLSlZZVU5GYmpoeVB1WEVCd0F1eFE2N0pDTHl3MzFTUmJJTXFrS05Ydk1yUmU2VnNqWW96d1BvS3NtUTNJeG40UjFGTy1qdWJLUHNTbzJ1d0gzX2JWaVJKcXN4RkNFSWhRQTJ5TVZkeDh0ZHh2VmMyTUc2bGZqZU9ELVRsTVdTMGlvSjU4S2MybF9NVUZPaEYwcHA2VC14dWM3b05kR2p4eWNTd2hMVXpVeExNQXBrbWJwMXJVcmZDZW83OFdBS0NoUFVkaG9Da3dtQmo0NUJtVU5wN0phMDVCM3ppUGdsRjdxWVA5LUJjUmtxX2lB0gGeAkFVX3lxTFA3UmwtcUhHNjhZODVoLUFucnNwVjNkR29OblFtLURwQ3hqbVBRYzI4U0tKVllVTkZiamh5UHVYRUJ3QXV4UTY3SkNMeXczMVNSYklNcWtLTlh2TXJSZTZWc2pZb3p3UG9Lc21RM0l4bjRSMUZPLWp1YktQc1NvMnV3SDNfYlZpUkpxc3hGQ0VJaFFBMnlNVmR4OHRkeHZWYzJNRzZsZmplT0QtVGxNV1MwaW9KNThLYzJsX01VRk9oRjBwcDZULXh1YzdvTmRHanh5Y1N3aExVelV4TE1BcGttYnAxclVyZkNlbzc4V0FLQ2hQVWRob0Nrd21CajQ1Qm1VTnA3SmEwNUIzemlQZ2xGN3FZUDktQmNSa3FfaUE?oc=5"" target=""_blank"">Today weather forecast: IMD issues heavy rainfall alert for Bihar, West Bengal, Sikkim and Madhya Pradesh.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Disaster,en
Will the GST waiver improve penetration? I BFSI Summit 2025 - Business Standard,https://news.google.com/rss/articles/CBMixAFBVV95cUxNWnliSXlyazNnN05mVnNDbFJKSC1qNDA1OUROeUJSQndqbG5oT0p0OFdlU21PcndZWXVROVpZVWVrdTN0bUZNaXhCUnlqUENWYm5mR0hjYlBvb3lZVVI1TjNJaWZaWjF4OGZrN1h3dW9TUWtMbFBHemVaSjRVTE5fa0UtdlBqR0JZMlRTdnBZaDNVcjMtWFllQm5ueGcwanRKZWYtN3hTbV92QTREZlNMZjlmbFUzYnlMMF9waWhpTlpvblpq?oc=5,2025-10-30 17:26:17,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixAFBVV95cUxNWnliSXlyazNnN05mVnNDbFJKSC1qNDA1OUROeUJSQndqbG5oT0p0OFdlU21PcndZWXVROVpZVWVrdTN0bUZNaXhCUnlqUENWYm5mR0hjYlBvb3lZVVI1TjNJaWZaWjF4OGZrN1h3dW9TUWtMbFBHemVaSjRVTE5fa0UtdlBqR0JZMlRTdnBZaDNVcjMtWFllQm5ueGcwanRKZWYtN3hTbV92QTREZlNMZjlmbFUzYnlMMF9waWhpTlpvblpq?oc=5"" target=""_blank"">Will the GST waiver improve penetration? I BFSI Summit 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Monsoon Forecast - Heavy Rain & Thunderstorm Warning Issued for 10+ States on Oct 31, Here Full List - Times Bull",https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQ3h5QW1sdVFsVkxJc3V0ZWZ1VEZIdlVtT2ZBcm9SbkFlZDlUN19RYlpkdi1wTk5nV29KLTZ1U3lFQVZDYTNHSXhmcGJDd2VQbmpGMTJqSjNObUEtb1pHLUljd25keGV1X1k1UnNFek81TVMtaXdhOEZ1cDFMNDlYRWpMZGl1aUtEUHpGMlpiUS0zYm5mb1k2cUVNS0dQUzdjUjlrQVp5TUJ1QWR4RDRwMHNyclNQLXZJcEZjblVMT0xBR21NV3FiUWVldGZOdnNEd25DaEJQSmtLaWs?oc=5,2025-10-31 05:14:49,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxPQ3h5QW1sdVFsVkxJc3V0ZWZ1VEZIdlVtT2ZBcm9SbkFlZDlUN19RYlpkdi1wTk5nV29KLTZ1U3lFQVZDYTNHSXhmcGJDd2VQbmpGMTJqSjNObUEtb1pHLUljd25keGV1X1k1UnNFek81TVMtaXdhOEZ1cDFMNDlYRWpMZGl1aUtEUHpGMlpiUS0zYm5mb1k2cUVNS0dQUzdjUjlrQVp5TUJ1QWR4RDRwMHNyclNQLXZJcEZjblVMT0xBR21NV3FiUWVldGZOdnNEd25DaEJQSmtLaWs?oc=5"" target=""_blank"">Monsoon Forecast - Heavy Rain & Thunderstorm Warning Issued for 10+ States on Oct 31, Here Full List</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Disaster,en
"GST cut puts insurance on par with food in fiscal policy, says IRDAI chief | BFSI Summit 2025 - Business Standard",https://news.google.com/rss/articles/CBMi7wFBVV95cUxOQjE3SUs2MUJ6MVFRUEFNNXdpN1ZUU0ZMdnZCa3VXbm50ZzZXVElRbVZFUWdVYzd6a1JIVXpqeGlXN2Q5Wk42cXdnQkR1UnRKTDBVeGdnQmNPMnpZLUptdGpqbTl5MVJJQktja0dvLUpPNzZ2WWhDLWJRSGNnN21Ma3dENFFWZkZDSmtEVVA2b2g3NEFQakxRa3ZqTWJFMjZ0QWt1N0tQT3BIcVVTR2xmbVJBRTYwRWtZbVN4eG5ybm13Mi1uVGY3cXpraWJpcFI5VWlETW1mazAtazhFVzFmZkxqVWNsLURLNmlTRk5TSQ?oc=5,2025-10-30 17:31:13,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxOQjE3SUs2MUJ6MVFRUEFNNXdpN1ZUU0ZMdnZCa3VXbm50ZzZXVElRbVZFUWdVYzd6a1JIVXpqeGlXN2Q5Wk42cXdnQkR1UnRKTDBVeGdnQmNPMnpZLUptdGpqbTl5MVJJQktja0dvLUpPNzZ2WWhDLWJRSGNnN21Ma3dENFFWZkZDSmtEVVA2b2g3NEFQakxRa3ZqTWJFMjZ0QWt1N0tQT3BIcVVTR2xmbVJBRTYwRWtZbVN4eG5ybm13Mi1uVGY3cXpraWJpcFI5VWlETW1mazAtazhFVzFmZkxqVWNsLURLNmlTRk5TSQ?oc=5"" target=""_blank"">GST cut puts insurance on par with food in fiscal policy, says IRDAI chief | BFSI Summit 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
