Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD issues cyclone alert over Bay of Bengal, heavy rain likely in Andaman - The Hindu",https://news.google.com/rss/articles/CBMiywFBVV95cUxPU1ZKZlYtT3BRWERHM3QzNG1jVVVMNktRajM5clhPVGVUQkpOWXlGMHliRWpZR3ZBT2JZVWR1RTdnTDE1Y3hJTU1tZldjQmY1bVM5Y2RIcThQT3hIREVaR3RqaE9CYkdzZm5FT19zSDVIWHhMa0xjS0lhVVVIMmFUYjF5MEd0TDExTVJYeUZWMGJVNGJCTW45RHhDT3U4d3pjMkdSazBDZXRyRElHSFVocUNISXpjSURDcE52S05pTmdwdUppdUdITzdfTdIB0gFBVV95cUxPczFJRXpHRHpnMWUyM2ZfODUyVnJ5TE5xaE84aUs4elRQY1RlLW1VMGQwNm1pM05HYml4VDRLU0tqU0VtMFV3OGJBRVJBcXJpdDRibWJoOFNQRzlUbHNZTWREYmZHUmFyZ3B6dkxaa0w4aXVIRlA1NXZyS05Ub2RUUi1XeVpTOGhQVDV4Uk9tNjk2UGpZRk5DZ29WQmFOOXl5UklVQjBFcnJwNGZ1RjdMbHBUZHZBSVRVd3FPa1NLNWhpTUI0LWt4dUZLYlJCMzE3c2c?oc=5,2025-11-21 08:11:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPU1ZKZlYtT3BRWERHM3QzNG1jVVVMNktRajM5clhPVGVUQkpOWXlGMHliRWpZR3ZBT2JZVWR1RTdnTDE1Y3hJTU1tZldjQmY1bVM5Y2RIcThQT3hIREVaR3RqaE9CYkdzZm5FT19zSDVIWHhMa0xjS0lhVVVIMmFUYjF5MEd0TDExTVJYeUZWMGJVNGJCTW45RHhDT3U4d3pjMkdSazBDZXRyRElHSFVocUNISXpjSURDcE52S05pTmdwdUppdUdITzdfTdIB0gFBVV95cUxPczFJRXpHRHpnMWUyM2ZfODUyVnJ5TE5xaE84aUs4elRQY1RlLW1VMGQwNm1pM05HYml4VDRLU0tqU0VtMFV3OGJBRVJBcXJpdDRibWJoOFNQRzlUbHNZTWREYmZHUmFyZ3B6dkxaa0w4aXVIRlA1NXZyS05Ub2RUUi1XeVpTOGhQVDV4Uk9tNjk2UGpZRk5DZ29WQmFOOXl5UklVQjBFcnJwNGZ1RjdMbHBUZHZBSVRVd3FPa1NLNWhpTUI0LWt4dUZLYlJCMzE3c2c?oc=5"" target=""_blank"">IMD issues cyclone alert over Bay of Bengal, heavy rain likely in Andaman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Andaman & Nicobar Islands on alert: IMD issues cyclone warning with heavy rain; fishermen advised to avoi - Times of India,https://news.google.com/rss/articles/CBMingJBVV95cUxPOGtPc3I1a2lnb1ItYVZxbVpHY2JoeWg3SDEtZ1VLVUNMQlJMS2E1dmJMLUNCMEVNbUl0YWJvZ1JacFp1YXJldXNBaEZvdFNHWDdPSXFNUWxFYTE5ZjE3ZFpBOVZkcGxYbzhBQ0ZKbjlTZmNFcGlfckJiRUR2VFFyX20zZFdoZkJlNHAyNkxVOXFDX1hic080RDg2cHZoZVo4WmxMZ1k3WWNlVVlFX3Btel9mSE9lMUVGbVBrbDJDS3ZtZHFsdXFWX3RWTXEwVzFZcTlIeUdvMU1kb2QzMUoyb3BDdzRpQkxDZVhUcTZicGI2N3BOeVNDN1A1UEVUcmhaODhzc1JqaVJhNjEzdE52ZW9oSTU0Z2hremdlam1R0gGjAkFVX3lxTE5yVTlob1RnUURpd3k0dk5Dd0c4WUpCNVF2c0M3aF9tODJPS0pFdVQ1eWNyQkh0c25PbnU2SnVEV3VUVnBZaEZ6b0lKUWlUWGJ0YWl6WHhXLVNBQ25EMTdzbEluMVcycUIzUlJqc1I5WDZVVVJlczVmYnFFSUFZNGhBLUNaWV9kMFkzLU5qYUR6amZuSkRlNmxNenhteXdjSlRuOXRkUi0tdG9KZ0JjUm91Z0dESEh4RmkwSzB0OE84RkRoNXVNZ1I3bmFFbVBBTWl1Wk1vZkVzUzJxX25GM3NJWU9BdUlKZ0M3SlI5eVNwUVhvT3lQYkZMSkVVSW1WVXZqaTdlcU96dkdOdHRTNzR0NVBVU1F3NEF6blE2c2lhWDZyUQ?oc=5,2025-11-21 08:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxPOGtPc3I1a2lnb1ItYVZxbVpHY2JoeWg3SDEtZ1VLVUNMQlJMS2E1dmJMLUNCMEVNbUl0YWJvZ1JacFp1YXJldXNBaEZvdFNHWDdPSXFNUWxFYTE5ZjE3ZFpBOVZkcGxYbzhBQ0ZKbjlTZmNFcGlfckJiRUR2VFFyX20zZFdoZkJlNHAyNkxVOXFDX1hic080RDg2cHZoZVo4WmxMZ1k3WWNlVVlFX3Btel9mSE9lMUVGbVBrbDJDS3ZtZHFsdXFWX3RWTXEwVzFZcTlIeUdvMU1kb2QzMUoyb3BDdzRpQkxDZVhUcTZicGI2N3BOeVNDN1A1UEVUcmhaODhzc1JqaVJhNjEzdE52ZW9oSTU0Z2hremdlam1R0gGjAkFVX3lxTE5yVTlob1RnUURpd3k0dk5Dd0c4WUpCNVF2c0M3aF9tODJPS0pFdVQ1eWNyQkh0c25PbnU2SnVEV3VUVnBZaEZ6b0lKUWlUWGJ0YWl6WHhXLVNBQ25EMTdzbEluMVcycUIzUlJqc1I5WDZVVVJlczVmYnFFSUFZNGhBLUNaWV9kMFkzLU5qYUR6amZuSkRlNmxNenhteXdjSlRuOXRkUi0tdG9KZ0JjUm91Z0dESEh4RmkwSzB0OE84RkRoNXVNZ1I3bmFFbVBBTWl1Wk1vZkVzUzJxX25GM3NJWU9BdUlKZ0M3SlI5eVNwUVhvT3lQYkZMSkVVSW1WVXZqaTdlcU96dkdOdHRTNzR0NVBVU1F3NEF6blE2c2lhWDZyUQ?oc=5"" target=""_blank"">Andaman & Nicobar Islands on alert: IMD issues cyclone warning with heavy rain; fishermen advised to avoi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone ‘Senyar’ likely to form in Bay of Bengal, IMD issues heavy rain alert in Andaman | India News - Hindustan Times",https://news.google.com/rss/articles/CBMi4gFBVV95cUxOb3dQN0pjZ21sQk9fVWhqa2d6ZHBoa0xPc1dtb2xtTndOSU5uSVV1R3dsSlVfaWpEM2RLenpDdl9kTkpqalZ4eTA2X3RwTGhiQWJmVzB6T1Vjd1pTODZ4TnROMEo4czNHazZnNmxwNWRWdnQyTGZBMGVkQ2xFUlg4Vjg0LVBGZW05MFBCT1JnS0tiRnBDa0hNWmVPXzdSMncwUUJKdFFrdmUtVmZzVVBtb25ROFVzS2hIUlJZSkRSbnVkaUFKUENuM2lzTjRKMktPNHhPbWpnOTJRZlZFeUp3c3ZR0gHnAUFVX3lxTFAxRTB0SjF5Qk1QY0NLc2wweW5XWWs1a3VCQkVHUmtDelIyZ1Jldkg5MW9NMzYwVTdtX2E4YUZmOC0xemthUzlUaUZFZEFxRUFwVnJ3UHNMdUtsN2ZNZXhlaTVlbXRDcEpBWEdna01VbFBCOW1XUjl4SXRXVDJyVG5FTjk2ajJoM1c4RXVybnVaM0ZSN29nbTdpXy1ocFB6MFhOVXBfUzZtY2pGZkRnY1hLR3NzWFRvc0hJb3JWMFg0bDlTX0VvRUpoU3F6Y2lIQmZqVFRBYkowUklBM1hXbTZ3clV0UmJZVQ?oc=5,2025-11-20 14:51:40,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOb3dQN0pjZ21sQk9fVWhqa2d6ZHBoa0xPc1dtb2xtTndOSU5uSVV1R3dsSlVfaWpEM2RLenpDdl9kTkpqalZ4eTA2X3RwTGhiQWJmVzB6T1Vjd1pTODZ4TnROMEo4czNHazZnNmxwNWRWdnQyTGZBMGVkQ2xFUlg4Vjg0LVBGZW05MFBCT1JnS0tiRnBDa0hNWmVPXzdSMncwUUJKdFFrdmUtVmZzVVBtb25ROFVzS2hIUlJZSkRSbnVkaUFKUENuM2lzTjRKMktPNHhPbWpnOTJRZlZFeUp3c3ZR0gHnAUFVX3lxTFAxRTB0SjF5Qk1QY0NLc2wweW5XWWs1a3VCQkVHUmtDelIyZ1Jldkg5MW9NMzYwVTdtX2E4YUZmOC0xemthUzlUaUZFZEFxRUFwVnJ3UHNMdUtsN2ZNZXhlaTVlbXRDcEpBWEdna01VbFBCOW1XUjl4SXRXVDJyVG5FTjk2ajJoM1c4RXVybnVaM0ZSN29nbTdpXy1ocFB6MFhOVXBfUzZtY2pGZkRnY1hLR3NzWFRvc0hJb3JWMFg0bDlTX0VvRUpoU3F6Y2lIQmZqVFRBYkowUklBM1hXbTZ3clV0UmJZVQ?oc=5"" target=""_blank"">Cyclone ‘Senyar’ likely to form in Bay of Bengal, IMD issues heavy rain alert in Andaman | India News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
IMD issues cyclone alert for Andaman; heavy rain expected - NewsBytes,https://news.google.com/rss/articles/CBMioAFBVV95cUxNYVdxUHdXaFVmc0RRZGc3QUdVMGdYNWV5VFJYQzNwbjByaUgzM2xqVW9Mc2FnQU9uRXpKblRBQXlULWM5TXF1aXdCajZTNEM1eXZqUTQ2dVJ5MURpdkl2ZEhCYVZKLUU5X0tRc3Z3UXlhd09oNlVLRkk3WTRaWk5wb2lEOGlNZWp4eUxfSUZocktpb1FVT3RoSHlZVC1sSnBN?oc=5,2025-11-20 14:36:02,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNYVdxUHdXaFVmc0RRZGc3QUdVMGdYNWV5VFJYQzNwbjByaUgzM2xqVW9Mc2FnQU9uRXpKblRBQXlULWM5TXF1aXdCajZTNEM1eXZqUTQ2dVJ5MURpdkl2ZEhCYVZKLUU5X0tRc3Z3UXlhd09oNlVLRkk3WTRaWk5wb2lEOGlNZWp4eUxfSUZocktpb1FVT3RoSHlZVC1sSnBN?oc=5"" target=""_blank"">IMD issues cyclone alert for Andaman; heavy rain expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Disaster,en
IMD Issues Heavy Rain Alert for Andaman & Nicobar as Cyclonic Circulation Forms Over Bay of Bengal; Cyclone May Be Named ‘Senyar’ - Herald Goa,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNZXMtTWZDX2ZoUE91eWF6SGJmNDY0TXlkaTNadFdUamZYbnptNUU4RHp2QlJTZW04dmFPcnBfbnNXMjRmZmFtTFF2bjRNdV9GLUFyM1R6Z1V2RC0xdGgxSlFRdjgyOEgteTl6ZDJ3X1NsU01BOEU5dXcwQ2FtOXdBbzBwZjZpNGxMS1BGeXlYRjBvM2RoWW1INUFaOVhLSzBfMlpiM3RKU244d3pmeWktc25WU1BjQXlLTW96R1dvcEtOWm5MZlBmWlhpUHVLRlV3dVY3U3o3YU5zZUhzV0Yya3g2bUhtbDh3eldONFNnRUNZWTNjWGFpczljVXI5THM?oc=5,2025-11-21 10:17:02,Herald Goa,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxNZXMtTWZDX2ZoUE91eWF6SGJmNDY0TXlkaTNadFdUamZYbnptNUU4RHp2QlJTZW04dmFPcnBfbnNXMjRmZmFtTFF2bjRNdV9GLUFyM1R6Z1V2RC0xdGgxSlFRdjgyOEgteTl6ZDJ3X1NsU01BOEU5dXcwQ2FtOXdBbzBwZjZpNGxMS1BGeXlYRjBvM2RoWW1INUFaOVhLSzBfMlpiM3RKU244d3pmeWktc25WU1BjQXlLTW96R1dvcEtOWm5MZlBmWlhpUHVLRlV3dVY3U3o3YU5zZUhzV0Yya3g2bUhtbDh3eldONFNnRUNZWTNjWGFpczljVXI5THM?oc=5"" target=""_blank"">IMD Issues Heavy Rain Alert for Andaman & Nicobar as Cyclonic Circulation Forms Over Bay of Bengal; Cyclone May Be Named ‘Senyar’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Herald Goa</font>",Disaster,en
"Weather Update: Severe Cold Alert Issued For Delhi-NCR, Dense Fog To Hit Uttar Pradesh; All India IMD Forecast - The Daily Jagran",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQaU9YYktoalVlWXFxYTMtajhVYTNEQl9BMWRReUQ3RFAzQlgzUnJyRGxjdXFxWnNUVUE1UWNDMFVOQVFGVzdrSG9jZXBtTVBHcUJZeEtoT1QxTlVZVUxWOEZnRkVqcEppQ1Z1d3RCY2NTWFkwc3IzX2Q2dHVQYWxncUNaUWdxVzZ1Z3VWNlpUSTc1Z3JscTcxbDFZRUljZHE3UXdrTzRYVnJGUndDa3J5MlgwT1VTVzYyMkpTcUNpaHdVLUlYc3ZoRnV0MnZPZEotNTJ5aF9UazdOeDlm?oc=5,2025-11-21 07:49:00,The Daily Jagran,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxQaU9YYktoalVlWXFxYTMtajhVYTNEQl9BMWRReUQ3RFAzQlgzUnJyRGxjdXFxWnNUVUE1UWNDMFVOQVFGVzdrSG9jZXBtTVBHcUJZeEtoT1QxTlVZVUxWOEZnRkVqcEppQ1Z1d3RCY2NTWFkwc3IzX2Q2dHVQYWxncUNaUWdxVzZ1Z3VWNlpUSTc1Z3JscTcxbDFZRUljZHE3UXdrTzRYVnJGUndDa3J5MlgwT1VTVzYyMkpTcUNpaHdVLUlYc3ZoRnV0MnZPZEotNTJ5aF9UazdOeDlm?oc=5"" target=""_blank"">Weather Update: Severe Cold Alert Issued For Delhi-NCR, Dense Fog To Hit Uttar Pradesh; All India IMD Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Jagran</font>",Disaster,en
"IMD issues cyclone alert over Bay of Bengal, heavy rain likely in Andaman - The Hindu",https://news.google.com/rss/articles/CBMiywFBVV95cUxPU1ZKZlYtT3BRWERHM3QzNG1jVVVMNktRajM5clhPVGVUQkpOWXlGMHliRWpZR3ZBT2JZVWR1RTdnTDE1Y3hJTU1tZldjQmY1bVM5Y2RIcThQT3hIREVaR3RqaE9CYkdzZm5FT19zSDVIWHhMa0xjS0lhVVVIMmFUYjF5MEd0TDExTVJYeUZWMGJVNGJCTW45RHhDT3U4d3pjMkdSazBDZXRyRElHSFVocUNISXpjSURDcE52S05pTmdwdUppdUdITzdfTdIB0gFBVV95cUxPczFJRXpHRHpnMWUyM2ZfODUyVnJ5TE5xaE84aUs4elRQY1RlLW1VMGQwNm1pM05HYml4VDRLU0tqU0VtMFV3OGJBRVJBcXJpdDRibWJoOFNQRzlUbHNZTWREYmZHUmFyZ3B6dkxaa0w4aXVIRlA1NXZyS05Ub2RUUi1XeVpTOGhQVDV4Uk9tNjk2UGpZRk5DZ29WQmFOOXl5UklVQjBFcnJwNGZ1RjdMbHBUZHZBSVRVd3FPa1NLNWhpTUI0LWt4dUZLYlJCMzE3c2c?oc=5,2025-11-21 08:11:00,The Hindu,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPU1ZKZlYtT3BRWERHM3QzNG1jVVVMNktRajM5clhPVGVUQkpOWXlGMHliRWpZR3ZBT2JZVWR1RTdnTDE1Y3hJTU1tZldjQmY1bVM5Y2RIcThQT3hIREVaR3RqaE9CYkdzZm5FT19zSDVIWHhMa0xjS0lhVVVIMmFUYjF5MEd0TDExTVJYeUZWMGJVNGJCTW45RHhDT3U4d3pjMkdSazBDZXRyRElHSFVocUNISXpjSURDcE52S05pTmdwdUppdUdITzdfTdIB0gFBVV95cUxPczFJRXpHRHpnMWUyM2ZfODUyVnJ5TE5xaE84aUs4elRQY1RlLW1VMGQwNm1pM05HYml4VDRLU0tqU0VtMFV3OGJBRVJBcXJpdDRibWJoOFNQRzlUbHNZTWREYmZHUmFyZ3B6dkxaa0w4aXVIRlA1NXZyS05Ub2RUUi1XeVpTOGhQVDV4Uk9tNjk2UGpZRk5DZ29WQmFOOXl5UklVQjBFcnJwNGZ1RjdMbHBUZHZBSVRVd3FPa1NLNWhpTUI0LWt4dUZLYlJCMzE3c2c?oc=5"" target=""_blank"">IMD issues cyclone alert over Bay of Bengal, heavy rain likely in Andaman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindu</font>",Disaster,en
Andaman & Nicobar Islands on alert: IMD issues cyclone warning with heavy rain; fishermen advised to avoi - Times of India,https://news.google.com/rss/articles/CBMingJBVV95cUxPOGtPc3I1a2lnb1ItYVZxbVpHY2JoeWg3SDEtZ1VLVUNMQlJMS2E1dmJMLUNCMEVNbUl0YWJvZ1JacFp1YXJldXNBaEZvdFNHWDdPSXFNUWxFYTE5ZjE3ZFpBOVZkcGxYbzhBQ0ZKbjlTZmNFcGlfckJiRUR2VFFyX20zZFdoZkJlNHAyNkxVOXFDX1hic080RDg2cHZoZVo4WmxMZ1k3WWNlVVlFX3Btel9mSE9lMUVGbVBrbDJDS3ZtZHFsdXFWX3RWTXEwVzFZcTlIeUdvMU1kb2QzMUoyb3BDdzRpQkxDZVhUcTZicGI2N3BOeVNDN1A1UEVUcmhaODhzc1JqaVJhNjEzdE52ZW9oSTU0Z2hremdlam1R0gGjAkFVX3lxTE5yVTlob1RnUURpd3k0dk5Dd0c4WUpCNVF2c0M3aF9tODJPS0pFdVQ1eWNyQkh0c25PbnU2SnVEV3VUVnBZaEZ6b0lKUWlUWGJ0YWl6WHhXLVNBQ25EMTdzbEluMVcycUIzUlJqc1I5WDZVVVJlczVmYnFFSUFZNGhBLUNaWV9kMFkzLU5qYUR6amZuSkRlNmxNenhteXdjSlRuOXRkUi0tdG9KZ0JjUm91Z0dESEh4RmkwSzB0OE84RkRoNXVNZ1I3bmFFbVBBTWl1Wk1vZkVzUzJxX25GM3NJWU9BdUlKZ0M3SlI5eVNwUVhvT3lQYkZMSkVVSW1WVXZqaTdlcU96dkdOdHRTNzR0NVBVU1F3NEF6blE2c2lhWDZyUQ?oc=5,2025-11-21 08:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMingJBVV95cUxPOGtPc3I1a2lnb1ItYVZxbVpHY2JoeWg3SDEtZ1VLVUNMQlJMS2E1dmJMLUNCMEVNbUl0YWJvZ1JacFp1YXJldXNBaEZvdFNHWDdPSXFNUWxFYTE5ZjE3ZFpBOVZkcGxYbzhBQ0ZKbjlTZmNFcGlfckJiRUR2VFFyX20zZFdoZkJlNHAyNkxVOXFDX1hic080RDg2cHZoZVo4WmxMZ1k3WWNlVVlFX3Btel9mSE9lMUVGbVBrbDJDS3ZtZHFsdXFWX3RWTXEwVzFZcTlIeUdvMU1kb2QzMUoyb3BDdzRpQkxDZVhUcTZicGI2N3BOeVNDN1A1UEVUcmhaODhzc1JqaVJhNjEzdE52ZW9oSTU0Z2hremdlam1R0gGjAkFVX3lxTE5yVTlob1RnUURpd3k0dk5Dd0c4WUpCNVF2c0M3aF9tODJPS0pFdVQ1eWNyQkh0c25PbnU2SnVEV3VUVnBZaEZ6b0lKUWlUWGJ0YWl6WHhXLVNBQ25EMTdzbEluMVcycUIzUlJqc1I5WDZVVVJlczVmYnFFSUFZNGhBLUNaWV9kMFkzLU5qYUR6amZuSkRlNmxNenhteXdjSlRuOXRkUi0tdG9KZ0JjUm91Z0dESEh4RmkwSzB0OE84RkRoNXVNZ1I3bmFFbVBBTWl1Wk1vZkVzUzJxX25GM3NJWU9BdUlKZ0M3SlI5eVNwUVhvT3lQYkZMSkVVSW1WVXZqaTdlcU96dkdOdHRTNzR0NVBVU1F3NEF6blE2c2lhWDZyUQ?oc=5"" target=""_blank"">Andaman & Nicobar Islands on alert: IMD issues cyclone warning with heavy rain; fishermen advised to avoi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Cyclone ‘Senyar’ likely to form in Bay of Bengal, IMD issues heavy rain alert in Andaman | India News - Hindustan Times",https://news.google.com/rss/articles/CBMi4gFBVV95cUxOb3dQN0pjZ21sQk9fVWhqa2d6ZHBoa0xPc1dtb2xtTndOSU5uSVV1R3dsSlVfaWpEM2RLenpDdl9kTkpqalZ4eTA2X3RwTGhiQWJmVzB6T1Vjd1pTODZ4TnROMEo4czNHazZnNmxwNWRWdnQyTGZBMGVkQ2xFUlg4Vjg0LVBGZW05MFBCT1JnS0tiRnBDa0hNWmVPXzdSMncwUUJKdFFrdmUtVmZzVVBtb25ROFVzS2hIUlJZSkRSbnVkaUFKUENuM2lzTjRKMktPNHhPbWpnOTJRZlZFeUp3c3ZR0gHnAUFVX3lxTFAxRTB0SjF5Qk1QY0NLc2wweW5XWWs1a3VCQkVHUmtDelIyZ1Jldkg5MW9NMzYwVTdtX2E4YUZmOC0xemthUzlUaUZFZEFxRUFwVnJ3UHNMdUtsN2ZNZXhlaTVlbXRDcEpBWEdna01VbFBCOW1XUjl4SXRXVDJyVG5FTjk2ajJoM1c4RXVybnVaM0ZSN29nbTdpXy1ocFB6MFhOVXBfUzZtY2pGZkRnY1hLR3NzWFRvc0hJb3JWMFg0bDlTX0VvRUpoU3F6Y2lIQmZqVFRBYkowUklBM1hXbTZ3clV0UmJZVQ?oc=5,2025-11-20 14:51:40,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi4gFBVV95cUxOb3dQN0pjZ21sQk9fVWhqa2d6ZHBoa0xPc1dtb2xtTndOSU5uSVV1R3dsSlVfaWpEM2RLenpDdl9kTkpqalZ4eTA2X3RwTGhiQWJmVzB6T1Vjd1pTODZ4TnROMEo4czNHazZnNmxwNWRWdnQyTGZBMGVkQ2xFUlg4Vjg0LVBGZW05MFBCT1JnS0tiRnBDa0hNWmVPXzdSMncwUUJKdFFrdmUtVmZzVVBtb25ROFVzS2hIUlJZSkRSbnVkaUFKUENuM2lzTjRKMktPNHhPbWpnOTJRZlZFeUp3c3ZR0gHnAUFVX3lxTFAxRTB0SjF5Qk1QY0NLc2wweW5XWWs1a3VCQkVHUmtDelIyZ1Jldkg5MW9NMzYwVTdtX2E4YUZmOC0xemthUzlUaUZFZEFxRUFwVnJ3UHNMdUtsN2ZNZXhlaTVlbXRDcEpBWEdna01VbFBCOW1XUjl4SXRXVDJyVG5FTjk2ajJoM1c4RXVybnVaM0ZSN29nbTdpXy1ocFB6MFhOVXBfUzZtY2pGZkRnY1hLR3NzWFRvc0hJb3JWMFg0bDlTX0VvRUpoU3F6Y2lIQmZqVFRBYkowUklBM1hXbTZ3clV0UmJZVQ?oc=5"" target=""_blank"">Cyclone ‘Senyar’ likely to form in Bay of Bengal, IMD issues heavy rain alert in Andaman | India News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Disaster,en
IMD issues cyclone alert for Andaman; heavy rain expected - NewsBytes,https://news.google.com/rss/articles/CBMioAFBVV95cUxNYVdxUHdXaFVmc0RRZGc3QUdVMGdYNWV5VFJYQzNwbjByaUgzM2xqVW9Mc2FnQU9uRXpKblRBQXlULWM5TXF1aXdCajZTNEM1eXZqUTQ2dVJ5MURpdkl2ZEhCYVZKLUU5X0tRc3Z3UXlhd09oNlVLRkk3WTRaWk5wb2lEOGlNZWp4eUxfSUZocktpb1FVT3RoSHlZVC1sSnBN?oc=5,2025-11-20 14:36:02,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxNYVdxUHdXaFVmc0RRZGc3QUdVMGdYNWV5VFJYQzNwbjByaUgzM2xqVW9Mc2FnQU9uRXpKblRBQXlULWM5TXF1aXdCajZTNEM1eXZqUTQ2dVJ5MURpdkl2ZEhCYVZKLUU5X0tRc3Z3UXlhd09oNlVLRkk3WTRaWk5wb2lEOGlNZWp4eUxfSUZocktpb1FVT3RoSHlZVC1sSnBN?oc=5"" target=""_blank"">IMD issues cyclone alert for Andaman; heavy rain expected</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Disaster,en
