Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: Heatwave Grips Delhi, Rajasthan & Gujarat; Heavy Rainfall Likely in Kerala, Assam & Andaman Islands - Krishi Jagran",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUjE2dGNVRDlmdDBWaThZd01uc29WTU1LWUFhMmVfNmROakFhM1FXNUZvcjhNa2g4SV9Sby1xR3ZUYmNnM3FyVURzMU9fM0xaVTdZby03S2g4Q3RZYzdvMUJBWEJaYWFrcF92QzdndkV1WUFFQ3Rla3FJd1AxaF9JR0NpYWFTNFN4d0ZPSmk0MkxNV0owb2JZWGZsTmFFYVNFTGVIaDJNSHJldnAxSEVuY0JJc2lHV1FidFFER0twb0J3NUVvZUFMMnUwWC1oZ29MeGpxNUF4UkR5b2ZUZXBOUlNWZw?oc=5,2025-04-05 07:33:42,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUjE2dGNVRDlmdDBWaThZd01uc29WTU1LWUFhMmVfNmROakFhM1FXNUZvcjhNa2g4SV9Sby1xR3ZUYmNnM3FyVURzMU9fM0xaVTdZby03S2g4Q3RZYzdvMUJBWEJaYWFrcF92QzdndkV1WUFFQ3Rla3FJd1AxaF9JR0NpYWFTNFN4d0ZPSmk0MkxNV0owb2JZWGZsTmFFYVNFTGVIaDJNSHJldnAxSEVuY0JJc2lHV1FidFFER0twb0J3NUVvZUFMMnUwWC1oZ29MeGpxNUF4UkR5b2ZUZXBOUlNWZw?oc=5"" target=""_blank"">Weather Update: Heatwave Grips Delhi, Rajasthan & Gujarat; Heavy Rainfall Likely in Kerala, Assam & Andaman Islands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
Heatwave conditions to grip north India; 42 deg Celsius forecast for Delhi | Weather updates - Hindustan Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQeUdmbDBfYnNzYmRsUldPRmlHb3pETEg4ZGMwb2l2dWJFb3Zkem9OWk9JcHdLUjFub2hVdVRnWGIyNlBvWlFFRTNxQWhjVm1peExjaTJSMXBBbUVxNDVKbHN1Y200UU1FU2F6NlA4VDI1X01jdFRNSzM0UzRWb2JidlI4emozZ1NTSXpTQXpuTkZWZlRRcEdsQm9pUF9wLTFuWkNTY1VfWGlEQ24wSVcyNXl0bjlNZERIVnFFM2VleVZuZjJxYS16NWdNTG0yem1sQzVTQWw5WjZyaEk1WVg2Z2hNRVFpQWs?oc=5,2025-04-04 17:59:37,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQeUdmbDBfYnNzYmRsUldPRmlHb3pETEg4ZGMwb2l2dWJFb3Zkem9OWk9JcHdLUjFub2hVdVRnWGIyNlBvWlFFRTNxQWhjVm1peExjaTJSMXBBbUVxNDVKbHN1Y200UU1FU2F6NlA4VDI1X01jdFRNSzM0UzRWb2JidlI4emozZ1NTSXpTQXpuTkZWZlRRcEdsQm9pUF9wLTFuWkNTY1VfWGlEQ24wSVcyNXl0bjlNZERIVnFFM2VleVZuZjJxYS16NWdNTG0yem1sQzVTQWw5WjZyaEk1WVg2Z2hNRVFpQWs?oc=5"" target=""_blank"">Heatwave conditions to grip north India; 42 deg Celsius forecast for Delhi | Weather updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Heavy rainfall expected in Kerala, Karnataka and Tamil Nadu, heatwave alert issued for these states - CNBC TV18",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPSjYtNFFyR3RPMHFEUHBNWE9YSVM0N3VuVkQ4WThDYkZaX1BEUDB3aEJyUk5VVFIyYjBwcEhWSWFtUzZEYWVBZ0VZajRBaThxMGZXZzNraEdJS2Z2dEs0SkZYZDNlcXZOaW1qLWwtemFYT3pMQlY2VnVKc2tzWGp0VmdKQ3R5LUZ1QVVjcVZuNHhtOW0tTXJ1cGFyZS1obWZmYUlobUhvdjF3ZzBfMlhTa25vc1UxWUNpMDJSRjEzWUpmLW5TN0ZMdm1rSVdsLTZGWGNvTFdYMzfSAd4BQVVfeXFMTjJPdVlUNFphWEE4VC1uSlZQSUFkSk5tODVCWUNQNlBhTnl2LTE0Q0w4MDNmX2ZOOWFQNjRLam5rdWtVOXUxQXlEbm05WC1ZSGk1UWJqT3FxaU9ScXZIcXprZktqX1JDenJmS1VRWlZSRTRmRGNINllXQ0J2QVBYQzFnYzVWdFdNenVkOV9DWHo2RllWN3lhR2prbk5hdDdueGpDSGRPbG5ySVRUVXBhZGs2U1ptQzVtM0MwU2RPaG5QZlFoV2NtcFJIUVdiQXlqZFVfcUlDdDduNUNSNEp3?oc=5,2025-04-04 11:55:24,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPSjYtNFFyR3RPMHFEUHBNWE9YSVM0N3VuVkQ4WThDYkZaX1BEUDB3aEJyUk5VVFIyYjBwcEhWSWFtUzZEYWVBZ0VZajRBaThxMGZXZzNraEdJS2Z2dEs0SkZYZDNlcXZOaW1qLWwtemFYT3pMQlY2VnVKc2tzWGp0VmdKQ3R5LUZ1QVVjcVZuNHhtOW0tTXJ1cGFyZS1obWZmYUlobUhvdjF3ZzBfMlhTa25vc1UxWUNpMDJSRjEzWUpmLW5TN0ZMdm1rSVdsLTZGWGNvTFdYMzfSAd4BQVVfeXFMTjJPdVlUNFphWEE4VC1uSlZQSUFkSk5tODVCWUNQNlBhTnl2LTE0Q0w4MDNmX2ZOOWFQNjRLam5rdWtVOXUxQXlEbm05WC1ZSGk1UWJqT3FxaU9ScXZIcXprZktqX1JDenJmS1VRWlZSRTRmRGNINllXQ0J2QVBYQzFnYzVWdFdNenVkOV9DWHo2RllWN3lhR2prbk5hdDdueGpDSGRPbG5ySVRUVXBhZGs2U1ptQzVtM0MwU2RPaG5QZlFoV2NtcFJIUVdiQXlqZFVfcUlDdDduNUNSNEp3?oc=5"" target=""_blank"">Heavy rainfall expected in Kerala, Karnataka and Tamil Nadu, heatwave alert issued for these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
"Mumbai Rains: Maharashtra braces for rain, thunderstorms, & gusty winds as IMD issues weather alert - The Economic Times",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxwY0lhVTFEclQwWVViTVk3aDE0cy1yeU9Za0RBT0NabTJZcEwxb214UEZDMW4zcmZ0eVRKbXp1R2tFUXJVQmVCZFFNaU9MeGhXWXZmRnR4RHBEN2hpNDg0ZHVPdXhOUnNfWnQySlJLdWVjX3VPNnRxdGt4aEhKaG01YjFETl9WRWRYR2lTODFUNnBpR1JFSERZVTBraFZWcUt6djhwcDFWdTFpWmdER2hSb1VsbjBxdnJob0ZPMWs4NmZSWGZVLWhjOThpLTBkQUhHYzlYWmZxZXhka0tQSVo0YkdWVjUwRjdEOW0tdFBlZTdPVGfSAfYBQVVfeXFMT2ZMcGNJYVUxRHJUMFlVYk1ZN2gxNHMtcnlPWWtEQU9DWm0yWXBMMW9teFBGQzFuM3JmdHlUSm16dUdrRVFyVUJlQmRRTWlPTHhoV1l2ZkZ0eERwRDdoaTQ4NGR1T3V4TlJzX1p0MkpSS3VlY191TzZ0cXRreGhISmhtNWIxRE5fVkVkWEdpUzgxVDZwaUdSRUhEWVUwa2hWVnFLenY4cHAxVnUxaVpnREdoUm9VbG4wcXZyaG9GTzFrODZmUlhmVS1oYzk4aS0wZEFIR2M5WFpmcWV4ZGtLUElaNGJHVlY1MEY3RDltLXRQZWU3T1Rn?oc=5,2025-04-04 17:33:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxwY0lhVTFEclQwWVViTVk3aDE0cy1yeU9Za0RBT0NabTJZcEwxb214UEZDMW4zcmZ0eVRKbXp1R2tFUXJVQmVCZFFNaU9MeGhXWXZmRnR4RHBEN2hpNDg0ZHVPdXhOUnNfWnQySlJLdWVjX3VPNnRxdGt4aEhKaG01YjFETl9WRWRYR2lTODFUNnBpR1JFSERZVTBraFZWcUt6djhwcDFWdTFpWmdER2hSb1VsbjBxdnJob0ZPMWs4NmZSWGZVLWhjOThpLTBkQUhHYzlYWmZxZXhka0tQSVo0YkdWVjUwRjdEOW0tdFBlZTdPVGfSAfYBQVVfeXFMT2ZMcGNJYVUxRHJUMFlVYk1ZN2gxNHMtcnlPWWtEQU9DWm0yWXBMMW9teFBGQzFuM3JmdHlUSm16dUdrRVFyVUJlQmRRTWlPTHhoV1l2ZkZ0eERwRDdoaTQ4NGR1T3V4TlJzX1p0MkpSS3VlY191TzZ0cXRreGhISmhtNWIxRE5fVkVkWEdpUzgxVDZwaUdSRUhEWVUwa2hWVnFLenY4cHAxVnUxaVpnREdoUm9VbG4wcXZyaG9GTzFrODZmUlhmVS1oYzk4aS0wZEFIR2M5WFpmcWV4ZGtLUElaNGJHVlY1MEY3RDltLXRQZWU3T1Rn?oc=5"" target=""_blank"">Mumbai Rains: Maharashtra braces for rain, thunderstorms, & gusty winds as IMD issues weather alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Heatwave,en
"Heavy rainfall expected in Kerala, Karnataka, TN; heatwave in others - NewsBytes",https://news.google.com/rss/articles/CBMisAFBVV95cUxOZ1k4Si1OZ3YyVmc3R3NvT1llcDBSVE5EV1dRN1pqVnNqRjNkZjlvek1MNk53R18tMEJ6UEZmUEc0c3RJLTVuZkZGbkRrRVB0ZHlIcV9odlNiaWg0VEFmR014aUNmeXNMQjN2WjBuMDdLZU9Ta0stb2l0d2tWUDd2UHJOQldTZ2d6bXVyTlJvUElGWGdienZEV0p2bHRrMFhLS1RmLWtLcTdET1V2VUltUQ?oc=5,2025-04-04 18:24:08,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxOZ1k4Si1OZ3YyVmc3R3NvT1llcDBSVE5EV1dRN1pqVnNqRjNkZjlvek1MNk53R18tMEJ6UEZmUEc0c3RJLTVuZkZGbkRrRVB0ZHlIcV9odlNiaWg0VEFmR014aUNmeXNMQjN2WjBuMDdLZU9Ta0stb2l0d2tWUDd2UHJOQldTZ2d6bXVyTlJvUElGWGdienZEV0p2bHRrMFhLS1RmLWtLcTdET1V2VUltUQ?oc=5"" target=""_blank"">Heavy rainfall expected in Kerala, Karnataka, TN; heatwave in others</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Heatwave,en
Monsoon Forecast 2025: Heatwave and Thunderstorms to Sweep Across India – IMD Issues Multiple Alerts - Udaipur Kiran,https://news.google.com/rss/articles/CBMivgFBVV95cUxPUm9SSGNxdVIyNlJRX1BjYU1lNjRsdnRTZXhKaERGd0JZSWswX29PWnR6TlRrZGlJVHV6cV91b1pOZW8tZ2lVQmV5NXJqVVNiM2htZ0tIWFhHR3Y3bjYyOXNNd2VldmNYRXB1MURKMHFxelBIcko4RkMwZjh1R3I2YzhxbVVuUDFkRmVBREhydk9kMVhMMDlzSFR1SzB3dFVVSHZOR1lGNTRYaktxN1BmRml4eUZZZ2l2ckRZRGdB?oc=5,2025-04-05 07:03:31,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPUm9SSGNxdVIyNlJRX1BjYU1lNjRsdnRTZXhKaERGd0JZSWswX29PWnR6TlRrZGlJVHV6cV91b1pOZW8tZ2lVQmV5NXJqVVNiM2htZ0tIWFhHR3Y3bjYyOXNNd2VldmNYRXB1MURKMHFxelBIcko4RkMwZjh1R3I2YzhxbVVuUDFkRmVBREhydk9kMVhMMDlzSFR1SzB3dFVVSHZOR1lGNTRYaktxN1BmRml4eUZZZ2l2ckRZRGdB?oc=5"" target=""_blank"">Monsoon Forecast 2025: Heatwave and Thunderstorms to Sweep Across India – IMD Issues Multiple Alerts</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
"Weather Update: Heatwave Grips Delhi, Rajasthan & Gujarat; Heavy Rainfall Likely in Kerala, Assam & Andaman Islands - Krishi Jagran",https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUjE2dGNVRDlmdDBWaThZd01uc29WTU1LWUFhMmVfNmROakFhM1FXNUZvcjhNa2g4SV9Sby1xR3ZUYmNnM3FyVURzMU9fM0xaVTdZby03S2g4Q3RZYzdvMUJBWEJaYWFrcF92QzdndkV1WUFFQ3Rla3FJd1AxaF9JR0NpYWFTNFN4d0ZPSmk0MkxNV0owb2JZWGZsTmFFYVNFTGVIaDJNSHJldnAxSEVuY0JJc2lHV1FidFFER0twb0J3NUVvZUFMMnUwWC1oZ29MeGpxNUF4UkR5b2ZUZXBOUlNWZw?oc=5,2025-04-05 07:33:42,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUjE2dGNVRDlmdDBWaThZd01uc29WTU1LWUFhMmVfNmROakFhM1FXNUZvcjhNa2g4SV9Sby1xR3ZUYmNnM3FyVURzMU9fM0xaVTdZby03S2g4Q3RZYzdvMUJBWEJaYWFrcF92QzdndkV1WUFFQ3Rla3FJd1AxaF9JR0NpYWFTNFN4d0ZPSmk0MkxNV0owb2JZWGZsTmFFYVNFTGVIaDJNSHJldnAxSEVuY0JJc2lHV1FidFFER0twb0J3NUVvZUFMMnUwWC1oZ29MeGpxNUF4UkR5b2ZUZXBOUlNWZw?oc=5"" target=""_blank"">Weather Update: Heatwave Grips Delhi, Rajasthan & Gujarat; Heavy Rainfall Likely in Kerala, Assam & Andaman Islands</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
Heatwave conditions to grip north India; 42 deg Celsius forecast for Delhi | Weather updates - Hindustan Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQeUdmbDBfYnNzYmRsUldPRmlHb3pETEg4ZGMwb2l2dWJFb3Zkem9OWk9JcHdLUjFub2hVdVRnWGIyNlBvWlFFRTNxQWhjVm1peExjaTJSMXBBbUVxNDVKbHN1Y200UU1FU2F6NlA4VDI1X01jdFRNSzM0UzRWb2JidlI4emozZ1NTSXpTQXpuTkZWZlRRcEdsQm9pUF9wLTFuWkNTY1VfWGlEQ24wSVcyNXl0bjlNZERIVnFFM2VleVZuZjJxYS16NWdNTG0yem1sQzVTQWw5WjZyaEk1WVg2Z2hNRVFpQWs?oc=5,2025-04-04 17:59:37,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxQeUdmbDBfYnNzYmRsUldPRmlHb3pETEg4ZGMwb2l2dWJFb3Zkem9OWk9JcHdLUjFub2hVdVRnWGIyNlBvWlFFRTNxQWhjVm1peExjaTJSMXBBbUVxNDVKbHN1Y200UU1FU2F6NlA4VDI1X01jdFRNSzM0UzRWb2JidlI4emozZ1NTSXpTQXpuTkZWZlRRcEdsQm9pUF9wLTFuWkNTY1VfWGlEQ24wSVcyNXl0bjlNZERIVnFFM2VleVZuZjJxYS16NWdNTG0yem1sQzVTQWw5WjZyaEk1WVg2Z2hNRVFpQWs?oc=5"" target=""_blank"">Heatwave conditions to grip north India; 42 deg Celsius forecast for Delhi | Weather updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Heavy rainfall expected in Kerala, Karnataka and Tamil Nadu, heatwave alert issued for these states - CNBC TV18",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPSjYtNFFyR3RPMHFEUHBNWE9YSVM0N3VuVkQ4WThDYkZaX1BEUDB3aEJyUk5VVFIyYjBwcEhWSWFtUzZEYWVBZ0VZajRBaThxMGZXZzNraEdJS2Z2dEs0SkZYZDNlcXZOaW1qLWwtemFYT3pMQlY2VnVKc2tzWGp0VmdKQ3R5LUZ1QVVjcVZuNHhtOW0tTXJ1cGFyZS1obWZmYUlobUhvdjF3ZzBfMlhTa25vc1UxWUNpMDJSRjEzWUpmLW5TN0ZMdm1rSVdsLTZGWGNvTFdYMzfSAd4BQVVfeXFMTjJPdVlUNFphWEE4VC1uSlZQSUFkSk5tODVCWUNQNlBhTnl2LTE0Q0w4MDNmX2ZOOWFQNjRLam5rdWtVOXUxQXlEbm05WC1ZSGk1UWJqT3FxaU9ScXZIcXprZktqX1JDenJmS1VRWlZSRTRmRGNINllXQ0J2QVBYQzFnYzVWdFdNenVkOV9DWHo2RllWN3lhR2prbk5hdDdueGpDSGRPbG5ySVRUVXBhZGs2U1ptQzVtM0MwU2RPaG5QZlFoV2NtcFJIUVdiQXlqZFVfcUlDdDduNUNSNEp3?oc=5,2025-04-04 11:55:24,CNBC TV18,"<a href=""https://news.google.com/rss/articles/CBMi2AFBVV95cUxPSjYtNFFyR3RPMHFEUHBNWE9YSVM0N3VuVkQ4WThDYkZaX1BEUDB3aEJyUk5VVFIyYjBwcEhWSWFtUzZEYWVBZ0VZajRBaThxMGZXZzNraEdJS2Z2dEs0SkZYZDNlcXZOaW1qLWwtemFYT3pMQlY2VnVKc2tzWGp0VmdKQ3R5LUZ1QVVjcVZuNHhtOW0tTXJ1cGFyZS1obWZmYUlobUhvdjF3ZzBfMlhTa25vc1UxWUNpMDJSRjEzWUpmLW5TN0ZMdm1rSVdsLTZGWGNvTFdYMzfSAd4BQVVfeXFMTjJPdVlUNFphWEE4VC1uSlZQSUFkSk5tODVCWUNQNlBhTnl2LTE0Q0w4MDNmX2ZOOWFQNjRLam5rdWtVOXUxQXlEbm05WC1ZSGk1UWJqT3FxaU9ScXZIcXprZktqX1JDenJmS1VRWlZSRTRmRGNINllXQ0J2QVBYQzFnYzVWdFdNenVkOV9DWHo2RllWN3lhR2prbk5hdDdueGpDSGRPbG5ySVRUVXBhZGs2U1ptQzVtM0MwU2RPaG5QZlFoV2NtcFJIUVdiQXlqZFVfcUlDdDduNUNSNEp3?oc=5"" target=""_blank"">Heavy rainfall expected in Kerala, Karnataka and Tamil Nadu, heatwave alert issued for these states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNBC TV18</font>",Heatwave,en
"Mumbai Rains: Maharashtra braces for rain, thunderstorms, & gusty winds as IMD issues weather alert - The Economic Times",https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxwY0lhVTFEclQwWVViTVk3aDE0cy1yeU9Za0RBT0NabTJZcEwxb214UEZDMW4zcmZ0eVRKbXp1R2tFUXJVQmVCZFFNaU9MeGhXWXZmRnR4RHBEN2hpNDg0ZHVPdXhOUnNfWnQySlJLdWVjX3VPNnRxdGt4aEhKaG01YjFETl9WRWRYR2lTODFUNnBpR1JFSERZVTBraFZWcUt6djhwcDFWdTFpWmdER2hSb1VsbjBxdnJob0ZPMWs4NmZSWGZVLWhjOThpLTBkQUhHYzlYWmZxZXhka0tQSVo0YkdWVjUwRjdEOW0tdFBlZTdPVGfSAfYBQVVfeXFMT2ZMcGNJYVUxRHJUMFlVYk1ZN2gxNHMtcnlPWWtEQU9DWm0yWXBMMW9teFBGQzFuM3JmdHlUSm16dUdrRVFyVUJlQmRRTWlPTHhoV1l2ZkZ0eERwRDdoaTQ4NGR1T3V4TlJzX1p0MkpSS3VlY191TzZ0cXRreGhISmhtNWIxRE5fVkVkWEdpUzgxVDZwaUdSRUhEWVUwa2hWVnFLenY4cHAxVnUxaVpnREdoUm9VbG4wcXZyaG9GTzFrODZmUlhmVS1oYzk4aS0wZEFIR2M5WFpmcWV4ZGtLUElaNGJHVlY1MEY3RDltLXRQZWU3T1Rn?oc=5,2025-04-04 17:33:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi9gFBVV95cUxPZkxwY0lhVTFEclQwWVViTVk3aDE0cy1yeU9Za0RBT0NabTJZcEwxb214UEZDMW4zcmZ0eVRKbXp1R2tFUXJVQmVCZFFNaU9MeGhXWXZmRnR4RHBEN2hpNDg0ZHVPdXhOUnNfWnQySlJLdWVjX3VPNnRxdGt4aEhKaG01YjFETl9WRWRYR2lTODFUNnBpR1JFSERZVTBraFZWcUt6djhwcDFWdTFpWmdER2hSb1VsbjBxdnJob0ZPMWs4NmZSWGZVLWhjOThpLTBkQUhHYzlYWmZxZXhka0tQSVo0YkdWVjUwRjdEOW0tdFBlZTdPVGfSAfYBQVVfeXFMT2ZMcGNJYVUxRHJUMFlVYk1ZN2gxNHMtcnlPWWtEQU9DWm0yWXBMMW9teFBGQzFuM3JmdHlUSm16dUdrRVFyVUJlQmRRTWlPTHhoV1l2ZkZ0eERwRDdoaTQ4NGR1T3V4TlJzX1p0MkpSS3VlY191TzZ0cXRreGhISmhtNWIxRE5fVkVkWEdpUzgxVDZwaUdSRUhEWVUwa2hWVnFLenY4cHAxVnUxaVpnREdoUm9VbG4wcXZyaG9GTzFrODZmUlhmVS1oYzk4aS0wZEFIR2M5WFpmcWV4ZGtLUElaNGJHVlY1MEY3RDltLXRQZWU3T1Rn?oc=5"" target=""_blank"">Mumbai Rains: Maharashtra braces for rain, thunderstorms, & gusty winds as IMD issues weather alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",Heatwave,en
