Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Alert: Heatwave and Rainfall Updates for April 2025, know - Times Bull",https://news.google.com/rss/articles/CBMisgFBVV95cUxPRkhMVEhLcmdNbVZOWGlGVFljSkItYzM1RFEyZ25TQkwwSnlXS1pLU1B4bG9CYy1UY2xZSkxsdGNjZVV3V0JZYUFBTFRNSThLMGVZUC1YbEFYc3MxYTMtOVRGM1RGRkJDU2V4NTNtaUhlbDlIbHZxam16dVJGTWlSMEJkMVdMaGZwSmNfbHBMdktJaVcwZ1cyVkJld2JVNTJZeTJVemVnSTlQQ2psZ2JaRWxn?oc=5,2025-04-08 06:38:09,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPRkhMVEhLcmdNbVZOWGlGVFljSkItYzM1RFEyZ25TQkwwSnlXS1pLU1B4bG9CYy1UY2xZSkxsdGNjZVV3V0JZYUFBTFRNSThLMGVZUC1YbEFYc3MxYTMtOVRGM1RGRkJDU2V4NTNtaUhlbDlIbHZxam16dVJGTWlSMEJkMVdMaGZwSmNfbHBMdktJaVcwZ1cyVkJld2JVNTJZeTJVemVnSTlQQ2psZ2JaRWxn?oc=5"" target=""_blank"">Weather Alert: Heatwave and Rainfall Updates for April 2025, know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
"Scorch Mode On: Gujarat, Rajasthan Boil As Delhi Braces For 42 Degree Celsius Blast - ETV Bharat",https://news.google.com/rss/articles/CBMizgFBVV95cUxQYzI5TDNaVkFITGR1c3FRdFNlSXZfM2Y4MGpBZ0FkZ1N5ZE02VVpzeDMxb3ROeFptdkdwYmpVYVpiU2hRV2lJZ0plNVpkSm81ZHJ3YjhSRlg1aW1kOXV0OVJoRUZlSGo3MVp1WlJHTm4tQzJpTTN6TFc4cERBR0RjYjB5NzZzZVVqOHFRN1I1cDBLSjlmcDUyQnVSWGxXRHRSUTlyTk9kVFo0V1phcGVHSmdzLTFnN3lXbUpvS0U5SjQ3OHE2a1p1dGdVWnF3d9IB0wFBVV95cUxNZkwtNE1ENlBLcHUtd0FrMG96NURKNVY0RU1JTVdVblFhczRWRExMREpGbWp5d043bVNqQm5XVkFhdXJ0aEN4WXV2R2tQdkltV2x3dE5nblpYY2g1ek1FUkVjTGFjdFFqV1lWZWEwcGJ0UHBSdUVhZC11QlpTT2JKdzJENnRnUk5HaXJfbnZCcW9iUG5QM18tdHpwYzVnR1I2dE1WOXJseE8zVURLTWxkNlJQUzZrZU1FWVB5cEg5Znk0d0tFM2dFRjM0cXoza0htcXM4?oc=5,2025-04-07 12:47:23,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQYzI5TDNaVkFITGR1c3FRdFNlSXZfM2Y4MGpBZ0FkZ1N5ZE02VVpzeDMxb3ROeFptdkdwYmpVYVpiU2hRV2lJZ0plNVpkSm81ZHJ3YjhSRlg1aW1kOXV0OVJoRUZlSGo3MVp1WlJHTm4tQzJpTTN6TFc4cERBR0RjYjB5NzZzZVVqOHFRN1I1cDBLSjlmcDUyQnVSWGxXRHRSUTlyTk9kVFo0V1phcGVHSmdzLTFnN3lXbUpvS0U5SjQ3OHE2a1p1dGdVWnF3d9IB0wFBVV95cUxNZkwtNE1ENlBLcHUtd0FrMG96NURKNVY0RU1JTVdVblFhczRWRExMREpGbWp5d043bVNqQm5XVkFhdXJ0aEN4WXV2R2tQdkltV2x3dE5nblpYY2g1ek1FUkVjTGFjdFFqV1lWZWEwcGJ0UHBSdUVhZC11QlpTT2JKdzJENnRnUk5HaXJfbnZCcW9iUG5QM18tdHpwYzVnR1I2dE1WOXJseE8zVURLTWxkNlJQUzZrZU1FWVB5cEg5Znk0d0tFM2dFRjM0cXoza0htcXM4?oc=5"" target=""_blank"">Scorch Mode On: Gujarat, Rajasthan Boil As Delhi Braces For 42 Degree Celsius Blast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
Want To Beat The Heat? You Can Travel To These 5 States That Are Set To Get Rains - News18,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQd0VKcjV3NkhTbTdMQ3FGOE12OVFMU1BMRklEWjlLcW9mM1B1dzUtTmZMblYtd1M3aUhmcHhtOWlYMHpCXy1QYUszM0dlc0ZsTXFZaVBJUGJrY294QW5LLVplQ1p3d2V4bnZvWmtLRlZhU01OMnJCNXJscEhOLUpxYkdONWhIYW5yNEtsU2VhYmtvOTRrR3ZhMTBleFRoNjhNR1N2MHJkWWctZHRhdW1qZUVVOWMwNnZtV2tVMlp4SlNra1JZRTRtb9IBzgFBVV95cUxNMnNTUXdVZXh1ZXlZUjcxNkJ0RmRkMUFVZ0hnRWk1UDlGNW5Ob2dJd0syTVF2MmxUVFhnQUtJVlpRYmtxMF9KTFhiQUhkdTV2dFBpcGljaFBBc1RTNFN3OS1UY1YtenZVRDRnbk5lQW9QOWE0N2FISDd2X3FEdzFzREpocGJhRlV1ZUdSSlFlTUFXQmhubW9pMTdMOXV0T1FmQTNIamI5QXF5WjBtSGJwdDhpRFlyUGlHcXl0NFpFNkFlYlN6dzhiQmMxWE1idw?oc=5,2025-04-07 10:39:55,News18,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQd0VKcjV3NkhTbTdMQ3FGOE12OVFMU1BMRklEWjlLcW9mM1B1dzUtTmZMblYtd1M3aUhmcHhtOWlYMHpCXy1QYUszM0dlc0ZsTXFZaVBJUGJrY294QW5LLVplQ1p3d2V4bnZvWmtLRlZhU01OMnJCNXJscEhOLUpxYkdONWhIYW5yNEtsU2VhYmtvOTRrR3ZhMTBleFRoNjhNR1N2MHJkWWctZHRhdW1qZUVVOWMwNnZtV2tVMlp4SlNra1JZRTRtb9IBzgFBVV95cUxNMnNTUXdVZXh1ZXlZUjcxNkJ0RmRkMUFVZ0hnRWk1UDlGNW5Ob2dJd0syTVF2MmxUVFhnQUtJVlpRYmtxMF9KTFhiQUhkdTV2dFBpcGljaFBBc1RTNFN3OS1UY1YtenZVRDRnbk5lQW9QOWE0N2FISDd2X3FEdzFzREpocGJhRlV1ZUdSSlFlTUFXQmhubW9pMTdMOXV0T1FmQTNIamI5QXF5WjBtSGJwdDhpRFlyUGlHcXl0NFpFNkFlYlN6dzhiQmMxWE1idw?oc=5"" target=""_blank"">Want To Beat The Heat? You Can Travel To These 5 States That Are Set To Get Rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Heatwave,en
IMD Warns of Heatwave in Northwest India. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxQak5jbS13bEk4dlZiaEM0YkJycU5fOWxndUZPMEd2QWNsRnlndGNzNUN5ZzJPWWVHX2p1QkttcUcxNjdRTUxkTVdJeFRmdDBEMUlybFRZaGFBRDlBM3ZocTlaZ1ZzME9nYzgyd0JwcE9XVU5wcHFpc0tSS2tXM29zRjJHUUlPSXRBb2MzQWdJd1lzdlhBYVJad3Z3?oc=5,2025-04-07 11:09:50,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQak5jbS13bEk4dlZiaEM0YkJycU5fOWxndUZPMEd2QWNsRnlndGNzNUN5ZzJPWWVHX2p1QkttcUcxNjdRTUxkTVdJeFRmdDBEMUlybFRZaGFBRDlBM3ZocTlaZ1ZzME9nYzgyd0JwcE9XVU5wcHFpc0tSS2tXM29zRjJHUUlPSXRBb2MzQWdJd1lzdlhBYVJad3Z3?oc=5"" target=""_blank"">IMD Warns of Heatwave in Northwest India.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
"Monsoon Forecast - Heatwave Alert Issued, Warning Heavy Rain in 5 States for Next Few Hours - Times Bull",https://news.google.com/rss/articles/CBMi0wFBVV95cUxObnpSR0k5R3VsVlNhbjlhTkd5U3J2WTIzUjJkOGVuWXVEQTAzSDR0Q2NweTNWeEJseFVfZERFSDF3Qnc4TU9hZ3BQcWgtN3hUOFhMLTlQd3hRZlQ1cWkzbHh2TGVfbjZ0OUY1SUhWNGpNMEV4QnNCMHJQYmxIX0ZfX0Y3Wjk2ZFg1eVRndVFudDdFMFB1QlRTeXZyYXBTaU1rUGpvdzhZMVYwd3Zia0F0cTBDcjUtMEdZTUJXamQyLTJPaWhCUVZSY0lCMkZYWWVYdWx3?oc=5,2025-04-07 10:43:37,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxObnpSR0k5R3VsVlNhbjlhTkd5U3J2WTIzUjJkOGVuWXVEQTAzSDR0Q2NweTNWeEJseFVfZERFSDF3Qnc4TU9hZ3BQcWgtN3hUOFhMLTlQd3hRZlQ1cWkzbHh2TGVfbjZ0OUY1SUhWNGpNMEV4QnNCMHJQYmxIX0ZfX0Y3Wjk2ZFg1eVRndVFudDdFMFB1QlRTeXZyYXBTaU1rUGpvdzhZMVYwd3Zia0F0cTBDcjUtMEdZTUJXamQyLTJPaWhCUVZSY0lCMkZYWWVYdWx3?oc=5"" target=""_blank"">Monsoon Forecast - Heatwave Alert Issued, Warning Heavy Rain in 5 States for Next Few Hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
Monsoon Forecast: IMD Issues Heatwave Alert and Heavy Rain Warning for Multiple Indian States - Udaipur Kiran,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPVXZDUXRoTjBhVGxsc3lNbTlSTXF5RjBEcjRzTHlDaFRPOTYtWmprNDZDbHBSQ3BOM2JfVEtnNTg0SFpGYXM2MnNoMGVLZld0NkdwbC1xZlJ4NWdkWXZVQW5La1Vsc1RtNzFwRnc3QllZcVFoblFCakdoRjlJZEcyUzBKdWVIeU4xakR2Qk1OelRSN000QTM2TzJESWJ3X0czRFNuN3lOUjNCNWUySEF0bFpCek1GU01E?oc=5,2025-04-07 11:09:39,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxPVXZDUXRoTjBhVGxsc3lNbTlSTXF5RjBEcjRzTHlDaFRPOTYtWmprNDZDbHBSQ3BOM2JfVEtnNTg0SFpGYXM2MnNoMGVLZld0NkdwbC1xZlJ4NWdkWXZVQW5La1Vsc1RtNzFwRnc3QllZcVFoblFCakdoRjlJZEcyUzBKdWVIeU4xakR2Qk1OelRSN000QTM2TzJESWJ3X0czRFNuN3lOUjNCNWUySEF0bFpCek1GU01E?oc=5"" target=""_blank"">Monsoon Forecast: IMD Issues Heatwave Alert and Heavy Rain Warning for Multiple Indian States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
"Weather Alert: Heatwave and Rainfall Updates for April 2025, know - Times Bull",https://news.google.com/rss/articles/CBMisgFBVV95cUxPRkhMVEhLcmdNbVZOWGlGVFljSkItYzM1RFEyZ25TQkwwSnlXS1pLU1B4bG9CYy1UY2xZSkxsdGNjZVV3V0JZYUFBTFRNSThLMGVZUC1YbEFYc3MxYTMtOVRGM1RGRkJDU2V4NTNtaUhlbDlIbHZxam16dVJGTWlSMEJkMVdMaGZwSmNfbHBMdktJaVcwZ1cyVkJld2JVNTJZeTJVemVnSTlQQ2psZ2JaRWxn?oc=5,2025-04-08 06:38:09,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPRkhMVEhLcmdNbVZOWGlGVFljSkItYzM1RFEyZ25TQkwwSnlXS1pLU1B4bG9CYy1UY2xZSkxsdGNjZVV3V0JZYUFBTFRNSThLMGVZUC1YbEFYc3MxYTMtOVRGM1RGRkJDU2V4NTNtaUhlbDlIbHZxam16dVJGTWlSMEJkMVdMaGZwSmNfbHBMdktJaVcwZ1cyVkJld2JVNTJZeTJVemVnSTlQQ2psZ2JaRWxn?oc=5"" target=""_blank"">Weather Alert: Heatwave and Rainfall Updates for April 2025, know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
"Scorch Mode On: Gujarat, Rajasthan Boil As Delhi Braces For 42 Degree Celsius Blast - ETV Bharat",https://news.google.com/rss/articles/CBMizgFBVV95cUxQYzI5TDNaVkFITGR1c3FRdFNlSXZfM2Y4MGpBZ0FkZ1N5ZE02VVpzeDMxb3ROeFptdkdwYmpVYVpiU2hRV2lJZ0plNVpkSm81ZHJ3YjhSRlg1aW1kOXV0OVJoRUZlSGo3MVp1WlJHTm4tQzJpTTN6TFc4cERBR0RjYjB5NzZzZVVqOHFRN1I1cDBLSjlmcDUyQnVSWGxXRHRSUTlyTk9kVFo0V1phcGVHSmdzLTFnN3lXbUpvS0U5SjQ3OHE2a1p1dGdVWnF3d9IB0wFBVV95cUxNZkwtNE1ENlBLcHUtd0FrMG96NURKNVY0RU1JTVdVblFhczRWRExMREpGbWp5d043bVNqQm5XVkFhdXJ0aEN4WXV2R2tQdkltV2x3dE5nblpYY2g1ek1FUkVjTGFjdFFqV1lWZWEwcGJ0UHBSdUVhZC11QlpTT2JKdzJENnRnUk5HaXJfbnZCcW9iUG5QM18tdHpwYzVnR1I2dE1WOXJseE8zVURLTWxkNlJQUzZrZU1FWVB5cEg5Znk0d0tFM2dFRjM0cXoza0htcXM4?oc=5,2025-04-07 12:47:23,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxQYzI5TDNaVkFITGR1c3FRdFNlSXZfM2Y4MGpBZ0FkZ1N5ZE02VVpzeDMxb3ROeFptdkdwYmpVYVpiU2hRV2lJZ0plNVpkSm81ZHJ3YjhSRlg1aW1kOXV0OVJoRUZlSGo3MVp1WlJHTm4tQzJpTTN6TFc4cERBR0RjYjB5NzZzZVVqOHFRN1I1cDBLSjlmcDUyQnVSWGxXRHRSUTlyTk9kVFo0V1phcGVHSmdzLTFnN3lXbUpvS0U5SjQ3OHE2a1p1dGdVWnF3d9IB0wFBVV95cUxNZkwtNE1ENlBLcHUtd0FrMG96NURKNVY0RU1JTVdVblFhczRWRExMREpGbWp5d043bVNqQm5XVkFhdXJ0aEN4WXV2R2tQdkltV2x3dE5nblpYY2g1ek1FUkVjTGFjdFFqV1lWZWEwcGJ0UHBSdUVhZC11QlpTT2JKdzJENnRnUk5HaXJfbnZCcW9iUG5QM18tdHpwYzVnR1I2dE1WOXJseE8zVURLTWxkNlJQUzZrZU1FWVB5cEg5Znk0d0tFM2dFRjM0cXoza0htcXM4?oc=5"" target=""_blank"">Scorch Mode On: Gujarat, Rajasthan Boil As Delhi Braces For 42 Degree Celsius Blast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
Want To Beat The Heat? You Can Travel To These 5 States That Are Set To Get Rains - News18,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQd0VKcjV3NkhTbTdMQ3FGOE12OVFMU1BMRklEWjlLcW9mM1B1dzUtTmZMblYtd1M3aUhmcHhtOWlYMHpCXy1QYUszM0dlc0ZsTXFZaVBJUGJrY294QW5LLVplQ1p3d2V4bnZvWmtLRlZhU01OMnJCNXJscEhOLUpxYkdONWhIYW5yNEtsU2VhYmtvOTRrR3ZhMTBleFRoNjhNR1N2MHJkWWctZHRhdW1qZUVVOWMwNnZtV2tVMlp4SlNra1JZRTRtb9IBzgFBVV95cUxNMnNTUXdVZXh1ZXlZUjcxNkJ0RmRkMUFVZ0hnRWk1UDlGNW5Ob2dJd0syTVF2MmxUVFhnQUtJVlpRYmtxMF9KTFhiQUhkdTV2dFBpcGljaFBBc1RTNFN3OS1UY1YtenZVRDRnbk5lQW9QOWE0N2FISDd2X3FEdzFzREpocGJhRlV1ZUdSSlFlTUFXQmhubW9pMTdMOXV0T1FmQTNIamI5QXF5WjBtSGJwdDhpRFlyUGlHcXl0NFpFNkFlYlN6dzhiQmMxWE1idw?oc=5,2025-04-07 10:39:55,News18,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxQd0VKcjV3NkhTbTdMQ3FGOE12OVFMU1BMRklEWjlLcW9mM1B1dzUtTmZMblYtd1M3aUhmcHhtOWlYMHpCXy1QYUszM0dlc0ZsTXFZaVBJUGJrY294QW5LLVplQ1p3d2V4bnZvWmtLRlZhU01OMnJCNXJscEhOLUpxYkdONWhIYW5yNEtsU2VhYmtvOTRrR3ZhMTBleFRoNjhNR1N2MHJkWWctZHRhdW1qZUVVOWMwNnZtV2tVMlp4SlNra1JZRTRtb9IBzgFBVV95cUxNMnNTUXdVZXh1ZXlZUjcxNkJ0RmRkMUFVZ0hnRWk1UDlGNW5Ob2dJd0syTVF2MmxUVFhnQUtJVlpRYmtxMF9KTFhiQUhkdTV2dFBpcGljaFBBc1RTNFN3OS1UY1YtenZVRDRnbk5lQW9QOWE0N2FISDd2X3FEdzFzREpocGJhRlV1ZUdSSlFlTUFXQmhubW9pMTdMOXV0T1FmQTNIamI5QXF5WjBtSGJwdDhpRFlyUGlHcXl0NFpFNkFlYlN6dzhiQmMxWE1idw?oc=5"" target=""_blank"">Want To Beat The Heat? You Can Travel To These 5 States That Are Set To Get Rains</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Heatwave,en
IMD Warns of Heatwave in Northwest India. - en.etemaaddaily.com,https://news.google.com/rss/articles/CBMimgFBVV95cUxQak5jbS13bEk4dlZiaEM0YkJycU5fOWxndUZPMEd2QWNsRnlndGNzNUN5ZzJPWWVHX2p1QkttcUcxNjdRTUxkTVdJeFRmdDBEMUlybFRZaGFBRDlBM3ZocTlaZ1ZzME9nYzgyd0JwcE9XVU5wcHFpc0tSS2tXM29zRjJHUUlPSXRBb2MzQWdJd1lzdlhBYVJad3Z3?oc=5,2025-04-07 11:09:50,en.etemaaddaily.com,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxQak5jbS13bEk4dlZiaEM0YkJycU5fOWxndUZPMEd2QWNsRnlndGNzNUN5ZzJPWWVHX2p1QkttcUcxNjdRTUxkTVdJeFRmdDBEMUlybFRZaGFBRDlBM3ZocTlaZ1ZzME9nYzgyd0JwcE9XVU5wcHFpc0tSS2tXM29zRjJHUUlPSXRBb2MzQWdJd1lzdlhBYVJad3Z3?oc=5"" target=""_blank"">IMD Warns of Heatwave in Northwest India.</a>&nbsp;&nbsp;<font color=""#6f6f6f"">en.etemaaddaily.com</font>",Heatwave,en
