Title,Link,Date,Source,Summary,Term,LanguageQueried
"एमपी में भयंकर आंधी की चेतावनी जारी, बारिश का भी अलर्ट - Patrika News",https://news.google.com/rss/articles/CBMiqgFBVV95cUxQTmJ3eTBrd0ZodlM1YlQ4M2U2a3dvQldaQ09Pc0dXb05DZzRKOXA1bTRRUEpJRGR3aHlZUXRoYW5EM2VtZmdpV204S3cxT25QSjQyVUM2S2JVUUw4dmloNC1ubUhpcDBCOFpQNk9WMklENXhmYi1TSENTeXE1eUl1UXdYeHVCdUFnTDlQQkkwdS00ckl3ZEVMN2hkQmhyOTBsU2c0Y2FVSmlOQdIBqgFBVV95cUxQTmJ3eTBrd0ZodlM1YlQ4M2U2a3dvQldaQ09Pc0dXb05DZzRKOXA1bTRRUEpJRGR3aHlZUXRoYW5EM2VtZmdpV204S3cxT25QSjQyVUM2S2JVUUw4dmloNC1ubUhpcDBCOFpQNk9WMklENXhmYi1TSENTeXE1eUl1UXdYeHVCdUFnTDlQQkkwdS00ckl3ZEVMN2hkQmhyOTBsU2c0Y2FVSmlOQQ?oc=5,2025-05-08 07:41:58,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQTmJ3eTBrd0ZodlM1YlQ4M2U2a3dvQldaQ09Pc0dXb05DZzRKOXA1bTRRUEpJRGR3aHlZUXRoYW5EM2VtZmdpV204S3cxT25QSjQyVUM2S2JVUUw4dmloNC1ubUhpcDBCOFpQNk9WMklENXhmYi1TSENTeXE1eUl1UXdYeHVCdUFnTDlQQkkwdS00ckl3ZEVMN2hkQmhyOTBsU2c0Y2FVSmlOQdIBqgFBVV95cUxQTmJ3eTBrd0ZodlM1YlQ4M2U2a3dvQldaQ09Pc0dXb05DZzRKOXA1bTRRUEpJRGR3aHlZUXRoYW5EM2VtZmdpV204S3cxT25QSjQyVUM2S2JVUUw4dmloNC1ubUhpcDBCOFpQNk9WMklENXhmYi1TSENTeXE1eUl1UXdYeHVCdUFnTDlQQkkwdS00ckl3ZEVMN2hkQmhyOTBsU2c0Y2FVSmlOQQ?oc=5"" target=""_blank"">एमपी में भयंकर आंधी की चेतावनी जारी, बारिश का भी अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Disaster,hi
आंधी तूफान ने थमा जनजीवन बदला मौसम का मिजाज - Hindustan,https://news.google.com/rss/articles/CBMizAFBVV95cUxOTjVld0ZWaFpnWEJLZXE2c2h2UjhWWmZ0bkVuV05XbXpqRnJ2MFhQQndqNkhHcml4ZGhTaWNlQW5NT3BBOUprMDVERlZ0d01hNWN3Rzg5SHNWVUsyQTRCckYwYTJOMEFiTXVGZ2otSmI5Rk95bHoyN3k4QmViV0hzdUNDUTlxazlWMEc0RU1MbjNmUlJzQU1rbzNSakYwWjhPa1BrU2xkRk1jN21KNG1od01FTzJUNkxWSUpIbmRMakg0VHk2TDUtYXI3dVXSAdIBQVVfeXFMTVhCejR3dEVXOWJrZ3pnLUs2WDgzSWZDd2FiTWRzNkxSU3Exc0RTbnItd2trTWNRci1zWm1VTERCZE5NZWtuR0pFMjYwMjlBd2tlakRKQjZfSDNXZjJzRnNucnRsSkREX2E4MURock5uOG4wbXdNTWRZTjBYUGZ0bjZTanBuXzk1QWdRWVY0ZVJfT1RMeFEtdjQwTUtVQVR4eUhLX1N5ZGIzOHZxUHBGZlBYMkhuaFBMZEJ3anpVRUh3YVVncjJ6UXBOSXBMejZ0ajNn?oc=5,2025-05-08 00:26:02,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxOTjVld0ZWaFpnWEJLZXE2c2h2UjhWWmZ0bkVuV05XbXpqRnJ2MFhQQndqNkhHcml4ZGhTaWNlQW5NT3BBOUprMDVERlZ0d01hNWN3Rzg5SHNWVUsyQTRCckYwYTJOMEFiTXVGZ2otSmI5Rk95bHoyN3k4QmViV0hzdUNDUTlxazlWMEc0RU1MbjNmUlJzQU1rbzNSakYwWjhPa1BrU2xkRk1jN21KNG1od01FTzJUNkxWSUpIbmRMakg0VHk2TDUtYXI3dVXSAdIBQVVfeXFMTVhCejR3dEVXOWJrZ3pnLUs2WDgzSWZDd2FiTWRzNkxSU3Exc0RTbnItd2trTWNRci1zWm1VTERCZE5NZWtuR0pFMjYwMjlBd2tlakRKQjZfSDNXZjJzRnNucnRsSkREX2E4MURock5uOG4wbXdNTWRZTjBYUGZ0bjZTanBuXzk1QWdRWVY0ZVJfT1RMeFEtdjQwTUtVQVR4eUhLX1N5ZGIzOHZxUHBGZlBYMkhuaFBMZEJ3anpVRUh3YVVncjJ6UXBOSXBMejZ0ajNn?oc=5"" target=""_blank"">आंधी तूफान ने थमा जनजीवन बदला मौसम का मिजाज</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
छत्तीसगढ़ के कई जिलाें में आज आंधी-तूफान और बारिश की संभावना - Livevns.news,https://news.google.com/rss/articles/CBMipgFBVV95cUxOcDRpSW8wMWxXLUp6em96Wks5UGlHUEZhbWZodjUyc2Q3cWFnVV9JbUZHdzRlejdTV1dKWDhQWlZqZG9POW00dHVCMWhqaDdpb2VGSHdhbjQ0RmpweXNnM2VURTd0aWYwazc4cHpWLTFXWTZaNG1BQzExbnp2RDIzMGVBVk9hQV9lNjkxb1B0R256ZEdoX1NpV1duOWRhalJsWGs4bml3?oc=5,2025-05-08 09:43:00,Livevns.news,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOcDRpSW8wMWxXLUp6em96Wks5UGlHUEZhbWZodjUyc2Q3cWFnVV9JbUZHdzRlejdTV1dKWDhQWlZqZG9POW00dHVCMWhqaDdpb2VGSHdhbjQ0RmpweXNnM2VURTd0aWYwazc4cHpWLTFXWTZaNG1BQzExbnp2RDIzMGVBVk9hQV9lNjkxb1B0R256ZEdoX1NpV1duOWRhalJsWGs4bml3?oc=5"" target=""_blank"">छत्तीसगढ़ के कई जिलाें में आज आंधी-तूफान और बारिश की संभावना</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Livevns.news</font>",Disaster,hi
"छत्‍तीसगढ़ के टॉपर्स की सक्‍सेस स्‍टोरी: इशिका दो साल से ब्‍लड कैंसर से जूझ रही, अखिल बांटते हैं अखबार - Nai Dunia",https://news.google.com/rss/articles/CBMi7AFBVV95cUxNSjdRTGdUcGR0eFRlSy04X2VOeERhdUcxT2VKajlUMGlTV21KM1VDQ2E2Yk9uWkwxa29LR0tpaVl2cktNRi1kemE3cjBoWTNsTUM5TEpUNnpDYkJQS1JVenBQWDgtcjIwU0hNTzVESENsX1BDSnlvaDRoUjQxY25Eb1U1ZllLUmFwdVhGU3ptMVN1NVhkRV9vbTZrLVZwbG10bDFQZ3NZb3hVR0t4VnQ3M010VWNfYmhQY3U4QjFnU2xFWC00bGdoMDdTMGo5NGxpaWdnc2lVOTJiMHlLS0VUNnRHdmRFb1E1M1hPag?oc=5,2025-05-07 16:40:53,Nai Dunia,"<a href=""https://news.google.com/rss/articles/CBMi7AFBVV95cUxNSjdRTGdUcGR0eFRlSy04X2VOeERhdUcxT2VKajlUMGlTV21KM1VDQ2E2Yk9uWkwxa29LR0tpaVl2cktNRi1kemE3cjBoWTNsTUM5TEpUNnpDYkJQS1JVenBQWDgtcjIwU0hNTzVESENsX1BDSnlvaDRoUjQxY25Eb1U1ZllLUmFwdVhGU3ptMVN1NVhkRV9vbTZrLVZwbG10bDFQZ3NZb3hVR0t4VnQ3M010VWNfYmhQY3U4QjFnU2xFWC00bGdoMDdTMGo5NGxpaWdnc2lVOTJiMHlLS0VUNnRHdmRFb1E1M1hPag?oc=5"" target=""_blank"">छत्‍तीसगढ़ के टॉपर्स की सक्‍सेस स्‍टोरी: इशिका दो साल से ब्‍लड कैंसर से जूझ रही, अखिल बांटते हैं अखबार</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nai Dunia</font>",Disaster,hi
"छत्तीसगढ़ के टॉपर्स की सक्सेस स्टोरी: इशिका दो साल से ब्लड कैंसर से जूझ रही, अखिल बांटते हैं अखबार, पढ़ें पूरी खबर - Kelo Pravah » Raigarh News",https://news.google.com/rss/articles/CBMitAFBVV95cUxNMTlrZFpXT0JfeEkwNTJsdzY3VTVFVVlIZmk2SU1OZnNXQ1pyNEtRUnJvLWtyT2syUDAzRW42a1pkTVNBNWJvd3pMVnJ5YnJwV3NwV1ZRS3g3QVNUcUYwQW5EeE9MUkJSVUwyUS1KcmRMSnJsQnZINjVVcHd4cGg2UHVMSC1ua2twalAzT25na215YXk1MG5LQ0kwenI5ZGF0LWlTMTNRT1NRUmlrRTI2Y2ZNbzA?oc=5,2025-05-07 20:02:52,Kelo Pravah » Raigarh News,"<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxNMTlrZFpXT0JfeEkwNTJsdzY3VTVFVVlIZmk2SU1OZnNXQ1pyNEtRUnJvLWtyT2syUDAzRW42a1pkTVNBNWJvd3pMVnJ5YnJwV3NwV1ZRS3g3QVNUcUYwQW5EeE9MUkJSVUwyUS1KcmRMSnJsQnZINjVVcHd4cGg2UHVMSC1ua2twalAzT25na215YXk1MG5LQ0kwenI5ZGF0LWlTMTNRT1NRUmlrRTI2Y2ZNbzA?oc=5"" target=""_blank"">छत्तीसगढ़ के टॉपर्स की सक्सेस स्टोरी: इशिका दो साल से ब्लड कैंसर से जूझ रही, अखिल बांटते हैं अखबार, पढ़ें पूरी खबर</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kelo Pravah » Raigarh News</font>",Disaster,hi
"CG Board Class 10th, 12th Results 2025 LIVE: छत्तीसगढ़ बोर्ड 10वीं, 12वीं का रिजल्ट घोषित, 10वीं में इशिका बाला ने किया टॉप, ब्लड कैंसर की मरीज - NDTV.in",https://news.google.com/rss/articles/CBMijAJBVV95cUxONEFhTGs3NnZCQjFObGRuR0tuVmtUbDgxRmhzbFJMdjNiRFkzR25FMkw5cXczR3dYUW0tNFhidTFLZmpkWXJ3VzNjNnVSOFpvTDMwNTdVYThTOGVGb05YUk9BYVowR0J4XzMxY1BCS3RmamtIWHNPV3FTZHRmbElsLW1jSjIxTGY3SndVOU9HWk1pcmtiVUJ3ZlZpY1RiZFMxbzBiNnZEaEhpNm04em1KYWp0MkozMTVpQ2cySkJvUkhpdkRfemREUzRrWXdRd2NqRWtKeC04cjNkOHhrdVAwQ0ZRekYyLWNKb3p1dUdjaVlqelFlT3RmbmhhMzdveWZMREpCUldFOURkSW40?oc=5,2025-05-07 17:49:52,NDTV.in,"<a href=""https://news.google.com/rss/articles/CBMijAJBVV95cUxONEFhTGs3NnZCQjFObGRuR0tuVmtUbDgxRmhzbFJMdjNiRFkzR25FMkw5cXczR3dYUW0tNFhidTFLZmpkWXJ3VzNjNnVSOFpvTDMwNTdVYThTOGVGb05YUk9BYVowR0J4XzMxY1BCS3RmamtIWHNPV3FTZHRmbElsLW1jSjIxTGY3SndVOU9HWk1pcmtiVUJ3ZlZpY1RiZFMxbzBiNnZEaEhpNm04em1KYWp0MkozMTVpQ2cySkJvUkhpdkRfemREUzRrWXdRd2NqRWtKeC04cjNkOHhrdVAwQ0ZRekYyLWNKb3p1dUdjaVlqelFlT3RmbmhhMzdveWZMREpCUldFOURkSW40?oc=5"" target=""_blank"">CG Board Class 10th, 12th Results 2025 LIVE: छत्तीसगढ़ बोर्ड 10वीं, 12वीं का रिजल्ट घोषित, 10वीं में इशिका बाला ने किया टॉप, ब्लड कैंसर की मरीज</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV.in</font>",Disaster,hi
छत्तीसगढ़ 10वीं बोर्ड में टॉप करने वालीं इशिका को ब्लड कैंसर: इस गंभीर बीमारी से जूझते हुए बनीं राज्य की नंबर 1 स्टूडेंट - Bansal news,https://news.google.com/rss/articles/CBMijgFBVV95cUxOa3c3aTBQNlpBLXE4TW56bi1Db3NrTnhPSDZVcGk2RTh5WTROUGNOWkZJWXhfUFdtVmpyUmh1V3N5NzZoR0s2aGY5TWZ4dktQOWZVNzhWUGtWTTEtZHRockZyeGZ0cWwwelFiNGxZRjFuNWdFeHp2bGxPYV9CazJGMnR2VW1xdGlzNktXSjd3?oc=5,2025-05-07 16:49:00,Bansal news,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxOa3c3aTBQNlpBLXE4TW56bi1Db3NrTnhPSDZVcGk2RTh5WTROUGNOWkZJWXhfUFdtVmpyUmh1V3N5NzZoR0s2aGY5TWZ4dktQOWZVNzhWUGtWTTEtZHRockZyeGZ0cWwwelFiNGxZRjFuNWdFeHp2bGxPYV9CazJGMnR2VW1xdGlzNktXSjd3?oc=5"" target=""_blank"">छत्तीसगढ़ 10वीं बोर्ड में टॉप करने वालीं इशिका को ब्लड कैंसर: इस गंभीर बीमारी से जूझते हुए बनीं राज्य की नंबर 1 स्टूडेंट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bansal news</font>",Disaster,hi
Storm alert 40 districts Madhya Pradesh | मध्यप्रदेश के 40 जिलों में आंधी-तूफान का अलर्ट - Agniban,https://news.google.com/rss/articles/CBMiekFVX3lxTFBBX2ZBcEc1ZTE5TWFzN04zNW9MVGExZndXTUoxMXNIMnFDTVBqemRCR1lKTmlyd0hNdUVSZ3cwVG1lTERBSmhPOThSaWhPNlo1SHpEaTVuUm5WN1lETEFwVTBWQm91bmJKa3Rxb3U1X01fZ2lKQ3B0eWlB?oc=5,2025-05-07 11:51:54,Agniban,"<a href=""https://news.google.com/rss/articles/CBMiekFVX3lxTFBBX2ZBcEc1ZTE5TWFzN04zNW9MVGExZndXTUoxMXNIMnFDTVBqemRCR1lKTmlyd0hNdUVSZ3cwVG1lTERBSmhPOThSaWhPNlo1SHpEaTVuUm5WN1lETEFwVTBWQm91bmJKa3Rxb3U1X01fZ2lKQ3B0eWlB?oc=5"" target=""_blank"">Storm alert 40 districts Madhya Pradesh | मध्यप्रदेश के 40 जिलों में आंधी-तूफान का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agniban</font>",Disaster,hi
"CG - 10th टॉपर की सक्सेस स्टोरी : 10वीं में टॉप करने वाली इशिका बाला को ब्लड कैंसर,फिर भी नहीं मानी हार, 99.16% अंक लाकर छत्तीसगढ़ में हासिल की प्रथम रैंक..... - Naya Bharat Live",https://news.google.com/rss/articles/CBMiiwFBVV95cUxOemgxcEpFQ2xSRkIyci1wRmNSU1Q4Nk1TOXhvLU5xTF9Jd0xiQ2hydi0wTWZROGx3a21SOFRNVGJyUEZQRVJxZG9SdU5Ba1NmQmpyWXczaldycHBMRXo3ellPeVI2NmtFa3VqczFXenRwdC1tejk5YXJIWHE4YnFvWFlpZmJOQTZmbERV?oc=5,2025-05-07 16:55:36,Naya Bharat Live,"<a href=""https://news.google.com/rss/articles/CBMiiwFBVV95cUxOemgxcEpFQ2xSRkIyci1wRmNSU1Q4Nk1TOXhvLU5xTF9Jd0xiQ2hydi0wTWZROGx3a21SOFRNVGJyUEZQRVJxZG9SdU5Ba1NmQmpyWXczaldycHBMRXo3ellPeVI2NmtFa3VqczFXenRwdC1tejk5YXJIWHE4YnFvWFlpZmJOQTZmbERV?oc=5"" target=""_blank"">CG - 10th टॉपर की सक्सेस स्टोरी : 10वीं में टॉप करने वाली इशिका बाला को ब्लड कैंसर,फिर भी नहीं मानी हार, 99.16% अंक लाकर छत्तीसगढ़ में हासिल की प्रथम रैंक.....</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Naya Bharat Live</font>",Disaster,hi
"छत्तीसगढ़ के कई जिलों में तेज आंधी-तूफान, बारिश और ओलावृष्टि की संभावना—मौसम विभाग ने जारी किया अलर्ट... - Tazakhabar36garh.com",https://news.google.com/rss/articles/CBMi8gFBVV95cUxPU0piM0J6ZEh2b3VkQUF4R3BIc2dPdFJBc053MmNFaEdjVTZvTUltdGJRdjJZOF9TWlJndzRGMGpsSTU4VE9xS1JYWEh6eTRfR0dTR1BMV3dvdnhjOTM5dU8tclF1cElaa3pjN2J0d3RkbnZyczdfUXE1YUEtakE0WXhMN3lJemI1V3h5ajM1N2FaTktRTWY2SmV6UjVJSlNCWUV4Ym16Um1wX01YcWRpczVNZTRTRWJ4dGtyVWZMMFM1eWlMNDdPZ242U2xsSGZja2JwRlJmdWRwcTBsMkJjNVhWRWdfRXVoVVdDRFJRM2VhUQ?oc=5,2025-05-08 07:41:34,Tazakhabar36garh.com,"<a href=""https://news.google.com/rss/articles/CBMi8gFBVV95cUxPU0piM0J6ZEh2b3VkQUF4R3BIc2dPdFJBc053MmNFaEdjVTZvTUltdGJRdjJZOF9TWlJndzRGMGpsSTU4VE9xS1JYWEh6eTRfR0dTR1BMV3dvdnhjOTM5dU8tclF1cElaa3pjN2J0d3RkbnZyczdfUXE1YUEtakE0WXhMN3lJemI1V3h5ajM1N2FaTktRTWY2SmV6UjVJSlNCWUV4Ym16Um1wX01YcWRpczVNZTRTRWJ4dGtyVWZMMFM1eWlMNDdPZ242U2xsSGZja2JwRlJmdWRwcTBsMkJjNVhWRWdfRXVoVVdDRFJRM2VhUQ?oc=5"" target=""_blank"">छत्तीसगढ़ के कई जिलों में तेज आंधी-तूफान, बारिश और ओलावृष्टि की संभावना—मौसम विभाग ने जारी किया अलर्ट...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Tazakhabar36garh.com</font>",Disaster,hi
