Title,Link,Date,Source,Summary,Term,LanguageQueried
कानपुर नगर निगम ने शुरू किया स्ट्रीट डॉग वैक्सीनेशन अभियान - Amar Ujala,https://news.google.com/rss/articles/CBMi3AFBVV95cUxOdjJzYXlDbWxldzJCUXFtSVJPdE12a3ZfUjRxbWJRbFRzRkY3aGhuemFJRWZFR3R6REJpU2Z5T2ExcmpSdVVWTjltOGVUdWdEZFZoRGdFSmhtb1ZvYTA5WXE2cG5zSmRoZ2FXSXZHNVFZZDZjSXdweFNVWF9wMURpeTFjMnlUT2xIVFM2VGpkN2NIekZCWUlheUtWajNWSGFzcjNnemxiNGZiWnZJeEVDTWtReUFCV2QzZG1aT3B2S0hORkxRS0hkbndTZ3R0RXhJU1c0UlVVdHNNTTli0gHiAUFVX3lxTE44U19NdEs1bWdOdHUyeEdzUG00X2dSV1ZBVUNONUZPRWNwREFJS2MwRnhFODgzUWNDLUFGRHBZYU5JOE90YVRqazd3d2lnb0UxV09KVFpyZTdZTEp1YlUyT0RoVkxUeFExbkR6YWZrdWQzTnVoSFFwVURId1ZaVzJReDBtQkxxTWNNeDRpMGwtc1RweG41RmlLT1Z3VTc2T0Y2ajV2RUpsWjJyaTluTFpWY255VDhkVW5ldS04M25GSHVENDZ6VkZkYVVQQ0tBYVZpQ3ZSdzI3Vk5HVWxCaGVDU2c?oc=5,2025-09-04 16:03:17,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi3AFBVV95cUxOdjJzYXlDbWxldzJCUXFtSVJPdE12a3ZfUjRxbWJRbFRzRkY3aGhuemFJRWZFR3R6REJpU2Z5T2ExcmpSdVVWTjltOGVUdWdEZFZoRGdFSmhtb1ZvYTA5WXE2cG5zSmRoZ2FXSXZHNVFZZDZjSXdweFNVWF9wMURpeTFjMnlUT2xIVFM2VGpkN2NIekZCWUlheUtWajNWSGFzcjNnemxiNGZiWnZJeEVDTWtReUFCV2QzZG1aT3B2S0hORkxRS0hkbndTZ3R0RXhJU1c0UlVVdHNNTTli0gHiAUFVX3lxTE44U19NdEs1bWdOdHUyeEdzUG00X2dSV1ZBVUNONUZPRWNwREFJS2MwRnhFODgzUWNDLUFGRHBZYU5JOE90YVRqazd3d2lnb0UxV09KVFpyZTdZTEp1YlUyT0RoVkxUeFExbkR6YWZrdWQzTnVoSFFwVURId1ZaVzJReDBtQkxxTWNNeDRpMGwtc1RweG41RmlLT1Z3VTc2T0Y2ajV2RUpsWjJyaTluTFpWY255VDhkVW5ldS04M25GSHVENDZ6VkZkYVVQQ0tBYVZpQ3ZSdzI3Vk5HVWxCaGVDU2c?oc=5"" target=""_blank"">कानपुर नगर निगम ने शुरू किया स्ट्रीट डॉग वैक्सीनेशन अभियान</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
"गिरेगी बिजली, आएगा तूफान..! इन राज्यों में आफत का अलर्ट - Patrika News",https://news.google.com/rss/articles/CBMivwFBVV95cUxOMkI5cWc2RkxlY0NOUnNYVjRad0hfQWlsaXBvSzJqd1I5WHdWZnMyV19TRnFSQWlONkFrajZDS1RNanlhV0xaOVo3Wm5pUUdBamxXTWh4SWtkVS1Cb21zbDR6SEdCSVlLQ0d6c0thU1F3dTExLW9KN3EzcGNraEpJZVJlVDhEbmdmVmNnVmNmeEpoSXlGWWNrLUtlOEZDb0VfZkloTndWS0d6UnRndDBZaWVubVowWEdDcDNMQmJHUQ?oc=5,2025-09-04 22:53:00,Patrika News,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxOMkI5cWc2RkxlY0NOUnNYVjRad0hfQWlsaXBvSzJqd1I5WHdWZnMyV19TRnFSQWlONkFrajZDS1RNanlhV0xaOVo3Wm5pUUdBamxXTWh4SWtkVS1Cb21zbDR6SEdCSVlLQ0d6c0thU1F3dTExLW9KN3EzcGNraEpJZVJlVDhEbmdmVmNnVmNmeEpoSXlGWWNrLUtlOEZDb0VfZkloTndWS0d6UnRndDBZaWVubVowWEdDcDNMQmJHUQ?oc=5"" target=""_blank"">गिरेगी बिजली, आएगा तूफान..! इन राज्यों में आफत का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Patrika News</font>",Disaster,hi
Relief material to flood-hit Punjab : भारतीय रेड क्रॉस सोसाइटी ने बाढ़ प्रभावित पंजाब के लिए राहत सामग्री रवाना की - Aaj Samaj,https://news.google.com/rss/articles/CBMinwFBVV95cUxQdTNqUGpGNFhkTzlEUnBEOWJTRzA2cDlXME9LWWREaTIyajFsYW42OUFxOFNPckpRUDltY3ZvU19kZTV4bXFSOE93MDM3eUFCLS1DY1JVZU1ycFNVWTRhX25RUGZXTUVYQmtqbjFPSjlpMDctamNmT0tVZWY0X3JTeXI4OE1BTko1QmpmendrcVpqZ3EwMlR2OEdsRFdOZUXSAaQBQVVfeXFMTXhLTWExUktBSEpNUDdXY1lqRF9oUnFfd3ZBV3VPMVVreWJ0RkdKeDdQbURaUjBsOFVtc21XbFdUT2RGc3FRR2xLOS05SW1wdWlhamlqZUxTdWQ1c2pscWdtbG1aS0xvQmxZSDVGT0dQU1JucnUzVk9YNUlCejhweWo1djQtQ1JtNFZrbW04VVV4TGRZUnBkVXd5V054enZ5bm5xNnQ?oc=5,2025-09-05 00:08:22,Aaj Samaj,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQdTNqUGpGNFhkTzlEUnBEOWJTRzA2cDlXME9LWWREaTIyajFsYW42OUFxOFNPckpRUDltY3ZvU19kZTV4bXFSOE93MDM3eUFCLS1DY1JVZU1ycFNVWTRhX25RUGZXTUVYQmtqbjFPSjlpMDctamNmT0tVZWY0X3JTeXI4OE1BTko1QmpmendrcVpqZ3EwMlR2OEdsRFdOZUXSAaQBQVVfeXFMTXhLTWExUktBSEpNUDdXY1lqRF9oUnFfd3ZBV3VPMVVreWJ0RkdKeDdQbURaUjBsOFVtc21XbFdUT2RGc3FRR2xLOS05SW1wdWlhamlqZUxTdWQ1c2pscWdtbG1aS0xvQmxZSDVGT0dQU1JucnUzVk9YNUlCejhweWo1djQtQ1JtNFZrbW04VVV4TGRZUnBkVXd5V054enZ5bm5xNnQ?oc=5"" target=""_blank"">Relief material to flood-hit Punjab : भारतीय रेड क्रॉस सोसाइटी ने बाढ़ प्रभावित पंजाब के लिए राहत सामग्री रवाना की</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Aaj Samaj</font>",Disaster,hi
"Landslide in Kullu kills 1, leaves 6 trapped - Times of India",https://news.google.com/rss/articles/CBMivgFBVV95cUxOOXJ6YnZYWGNMVjF1d1VfVU5QNEhhV0pNcGF1VnAtUHMxWjNlc2JXelc0MHQ2ODJVVk1FRXRFYmdLNEd1QV9PeGZhbDFjaDBsdUl4YjEtanl3MC1jSkdBMWZTemp2SFk5ZGZlTnJMcGhTQXU4dm42RzVIdU50cll5RHhsX1Nrb25SdlBXMkJuRW9Hd0haVVhlZFJyZFRRU25iM1BVbjNTZGRSUGRBMDUzTk1nbEFUN3hBVzhFWnR30gHDAUFVX3lxTE5CcWtTZGxXTEpwdTRXbi1tUVVLa2lfN19iOWdzX29naVVaNTctaHh6c21fQU9RUzVlTWkyOUJRSlppRFNTT1A0dGppUHE2eGdCZUdOMVo2TGRIZnBsQ3ZqY2ZNQW5mN1NrRjFkMVNpcUxoTFBtSHBoVEpJT01hTkVNWm5IaTBKbFgyTVJOenNXcHFCaExzeThSVmdEMEExY2N0M0lFSXY1cXZJa1Vic1ZIbnVGa2JGSE84R3dTbjFZTWF1MA?oc=5,2025-09-05 05:54:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOOXJ6YnZYWGNMVjF1d1VfVU5QNEhhV0pNcGF1VnAtUHMxWjNlc2JXelc0MHQ2ODJVVk1FRXRFYmdLNEd1QV9PeGZhbDFjaDBsdUl4YjEtanl3MC1jSkdBMWZTemp2SFk5ZGZlTnJMcGhTQXU4dm42RzVIdU50cll5RHhsX1Nrb25SdlBXMkJuRW9Hd0haVVhlZFJyZFRRU25iM1BVbjNTZGRSUGRBMDUzTk1nbEFUN3hBVzhFWnR30gHDAUFVX3lxTE5CcWtTZGxXTEpwdTRXbi1tUVVLa2lfN19iOWdzX29naVVaNTctaHh6c21fQU9RUzVlTWkyOUJRSlppRFNTT1A0dGppUHE2eGdCZUdOMVo2TGRIZnBsQ3ZqY2ZNQW5mN1NrRjFkMVNpcUxoTFBtSHBoVEpJT01hTkVNWm5IaTBKbFgyTVJOenNXcHFCaExzeThSVmdEMEExY2N0M0lFSXY1cXZJa1Vic1ZIbnVGa2JGSE84R3dTbjFZTWF1MA?oc=5"" target=""_blank"">Landslide in Kullu kills 1, leaves 6 trapped</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"News Today Live Updates, 5 September | Delhi-NCR Flood, Weather Today Highlights: Yamuna River level surpasses 207 metres, IMD issues yellow and orange alert - The Indian Express",https://news.google.com/rss/articles/CBMi6AFBVV95cUxOa2Q1U0NISkdGNU8yWWszRndobWlyeGpVZUtMRTQ2NTdqYmlWYXpKWEhuYnZDenM5d25WT2RqcVJxd2hWamVkLXNEYjE1bzh2TjBKUVlaa2RkUHVQNjl3eTFyVWxSbk1pYnVJVlJtWWJSR2lIVHFmOHlmUXJ1b0N6M2QtT3ZiNnMxdElwSWpnU0dFSEZ0a25OMkFFVVVubERaeXdOZEluN0Q3dWlmbmlpaGJzSGx0QkZ1VkpHYW5QenhuZV9nSW0ycmJQcDgxV3JLekhoRHFYdld2Z0RfeTlOeXRFZUlXWkM00gHvAUFVX3lxTE81ck1PRWxwaC1FdmtaYnY4NUdPd0hFNFFWbnl1eDRGZEZ6d0JyaXR1WkNkUmJWLUI4NzUyUjJSUzZkeUxRZ1VrcTFlUjAxMmNtUUVaZGdQakhJTjdhWHlscmxOWW1EZ2hXcjB0b2Y0ZkEtckxqRDJyeG5QTS1BejlqU1hJb0VYelNMQlZjQlZ1UVpocnRVcFkwN05SakUyUUNkWmwzM25pQjRycWtuSkk3UTJhU1ZPNHZNUW9VandaT2ZyNU9ZXzBxa293M3FZeGJWbnl5TUhncDl4WVBkVFhDaTl0b3ItOFd6VFA2elB3?oc=5,2025-09-05 08:44:18,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxOa2Q1U0NISkdGNU8yWWszRndobWlyeGpVZUtMRTQ2NTdqYmlWYXpKWEhuYnZDenM5d25WT2RqcVJxd2hWamVkLXNEYjE1bzh2TjBKUVlaa2RkUHVQNjl3eTFyVWxSbk1pYnVJVlJtWWJSR2lIVHFmOHlmUXJ1b0N6M2QtT3ZiNnMxdElwSWpnU0dFSEZ0a25OMkFFVVVubERaeXdOZEluN0Q3dWlmbmlpaGJzSGx0QkZ1VkpHYW5QenhuZV9nSW0ycmJQcDgxV3JLekhoRHFYdld2Z0RfeTlOeXRFZUlXWkM00gHvAUFVX3lxTE81ck1PRWxwaC1FdmtaYnY4NUdPd0hFNFFWbnl1eDRGZEZ6d0JyaXR1WkNkUmJWLUI4NzUyUjJSUzZkeUxRZ1VrcTFlUjAxMmNtUUVaZGdQakhJTjdhWHlscmxOWW1EZ2hXcjB0b2Y0ZkEtckxqRDJyeG5QTS1BejlqU1hJb0VYelNMQlZjQlZ1UVpocnRVcFkwN05SakUyUUNkWmwzM25pQjRycWtuSkk3UTJhU1ZPNHZNUW9VandaT2ZyNU9ZXzBxa293M3FZeGJWbnl5TUhncDl4WVBkVFhDaTl0b3ItOFd6VFA2elB3?oc=5"" target=""_blank"">News Today Live Updates, 5 September | Delhi-NCR Flood, Weather Today Highlights: Yamuna River level surpasses 207 metres, IMD issues yellow and orange alert</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",Disaster,en
"IMD Weather Alert Highlights: Ghaggar River Overflows In Patiala, Triggers Flooding In Multiple Areas In Punjab - news24online.com",https://news.google.com/rss/articles/CBMiygJBVV95cUxQRVVpa2Zva2lDRWIxYjYxU2pxWmVtOVFCenZBNkxYUDVBdXRyU3Fhdk9pQkNvb2xUZmdzS3FJOFpZZHJpbk5VVEdhVEdPaXNIUDhwQmhHZDZTZl9tUEZqZ2xMRlpMQUs1N1dKMTdDcWtidUMwVnpJSjk1V2JsYUZIaVpwYmhpZTRtanVVb2ZHV1VYcTFPY1hQMzNXZ2JPVFJHNWp0MktDcTJNUmNmTmJhOXM5TU53MUprTXFuck1ENnNzWnVsM1VoRVdFUlVXTWdtbndaT3F1SzNBQjBlMzlzMXNmOXg2aHZmY3VQWV8zamdsZTY2Ym1jTDFaa2JmRGhqc1VHMkpZZmN0VzhKb1Eyc2lvd3FlZXFQa1pnMktSSTNIUkJNU1BlWS02eGktaElrM3RySEtCN05La1ZUcHBVb3NWX0R4dXFfRlE?oc=5,2025-09-05 07:23:34,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMiygJBVV95cUxQRVVpa2Zva2lDRWIxYjYxU2pxWmVtOVFCenZBNkxYUDVBdXRyU3Fhdk9pQkNvb2xUZmdzS3FJOFpZZHJpbk5VVEdhVEdPaXNIUDhwQmhHZDZTZl9tUEZqZ2xMRlpMQUs1N1dKMTdDcWtidUMwVnpJSjk1V2JsYUZIaVpwYmhpZTRtanVVb2ZHV1VYcTFPY1hQMzNXZ2JPVFJHNWp0MktDcTJNUmNmTmJhOXM5TU53MUprTXFuck1ENnNzWnVsM1VoRVdFUlVXTWdtbndaT3F1SzNBQjBlMzlzMXNmOXg2aHZmY3VQWV8zamdsZTY2Ym1jTDFaa2JmRGhqc1VHMkpZZmN0VzhKb1Eyc2lvd3FlZXFQa1pnMktSSTNIUkJNU1BlWS02eGktaElrM3RySEtCN05La1ZUcHBVb3NWX0R4dXFfRlE?oc=5"" target=""_blank"">IMD Weather Alert Highlights: Ghaggar River Overflows In Patiala, Triggers Flooding In Multiple Areas In Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Disaster,en
"Punjab floods: CM Bhagwant Mann catches fever, skips tour of affected areas with Arvind Kejriwal; toll 43 - Times of India",https://news.google.com/rss/articles/CBMiigJBVV95cUxPNnp1YkVnNFVtMVpWN19Eem5LbDNoM0N0VGlmZlV6alNsaHhfNzFXN0JOczZfOGFHbE5Wa2JydXZQNkRJV0FHYjQtRHJsTGlTQ2VwNmVKdTJfRWU4VWVwdG5ONW51QVZPaHd6TW16VUxpSFhxZUloNTF5Nzd6YnJCMXRRNjE1MWszbVZrQ2doYlRzYVBZUDhSQ0wyWkstQVN0aTFGeUpiYVI3SVhnUHNzb1pialZIVksxczB6RjY4R01IWWNxX1dJN1ZiMEl0M05FeHI0OEsybVR4T3ZVQzg3X2NQa1NFRjUwSElYMmoxeXRkTGFxRkNHWGF3a0tkai15Q016SEZSaDctd9IBjwJBVV95cUxNbEF0dmZTUUs5QVZScng1VjE2eEdLRU82S3FWVW84SFhabDZTX2tibmFkbkJnenBVMzJ1QXlMRWtNazBjTmpBRE5mYkJTZmM2NjRHYmRDcUp2S04tc1ZCYy1PcXNKX08yajU3Q0s3SWpYNjBPVmpaN1FvcWQyZDl1RGJLdVF3ckFPWFdqdmV1OU10M0FMSEJiUEJqTnNpOElBVlJwUXJkM0E1WHBYejBfVzVYdDdLekplT2JFVzQ2ekplaXMyLTZRRU1jM21PWGtEOWJrdktmVWdBMHFZTWpQbFpBVTl4MVlEM1Q4TTFLY2dIRmExZGh3MndkS0FqbXJBYnhkSndjTE9hblBkRk5n?oc=5,2025-09-05 09:30:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiigJBVV95cUxPNnp1YkVnNFVtMVpWN19Eem5LbDNoM0N0VGlmZlV6alNsaHhfNzFXN0JOczZfOGFHbE5Wa2JydXZQNkRJV0FHYjQtRHJsTGlTQ2VwNmVKdTJfRWU4VWVwdG5ONW51QVZPaHd6TW16VUxpSFhxZUloNTF5Nzd6YnJCMXRRNjE1MWszbVZrQ2doYlRzYVBZUDhSQ0wyWkstQVN0aTFGeUpiYVI3SVhnUHNzb1pialZIVksxczB6RjY4R01IWWNxX1dJN1ZiMEl0M05FeHI0OEsybVR4T3ZVQzg3X2NQa1NFRjUwSElYMmoxeXRkTGFxRkNHWGF3a0tkai15Q016SEZSaDctd9IBjwJBVV95cUxNbEF0dmZTUUs5QVZScng1VjE2eEdLRU82S3FWVW84SFhabDZTX2tibmFkbkJnenBVMzJ1QXlMRWtNazBjTmpBRE5mYkJTZmM2NjRHYmRDcUp2S04tc1ZCYy1PcXNKX08yajU3Q0s3SWpYNjBPVmpaN1FvcWQyZDl1RGJLdVF3ckFPWFdqdmV1OU10M0FMSEJiUEJqTnNpOElBVlJwUXJkM0E1WHBYejBfVzVYdDdLekplT2JFVzQ2ekplaXMyLTZRRU1jM21PWGtEOWJrdktmVWdBMHFZTWpQbFpBVTl4MVlEM1Q4TTFLY2dIRmExZGh3MndkS0FqbXJBYnhkSndjTE9hblBkRk5n?oc=5"" target=""_blank"">Punjab floods: CM Bhagwant Mann catches fever, skips tour of affected areas with Arvind Kejriwal; toll 43</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Disaster,en
"Schools in THESE Regions Closed on Sept 5 Due to Heavy Rains, Id-e-Milad, and Teachers’ Day - Times Now",https://news.google.com/rss/articles/CBMijwJBVV95cUxNdklBRUhGbVA3TVQ5UFo4RVRUaHNEc2VWVklUdE5qRlFlS2QxREVqSy1XZmJxVGNIYjViSmI5SVRRMWs0QVA3cjAtbzJfaTQ2UUxzdV9ybzRZYU10Zlkzdk1KME5FNk1BcGhCRnRPYThGNUk0WEtjV1VMV2d3T0FqZVJOOWRLa1Jvd245OU5GelQzUzM2OUNPMC1MNnZPenI2UGNEVXpyUjNfazJoaUJyVURiWG85ekgwRVFvOGtlQVVFVURjZVJwQzYwaVNDai02WVdWWGVNNzJ3QnYydWRzZmtnMmVwaEFySHM0RUM2SktMTFNQMGNXT1ZXUDdDOHJFNlM2MlJPcjR1UDJJcVN30gGUAkFVX3lxTE5jaHdGWXZVaVBtY2tEamk4U3VNbTB0YXpLRi1tNUJXb0M0Q2t2Y3B2Mm9xRFcteDhOZEVKSnRpV3JsWkhnV0RGUmY4eTFkNFAtcEc1dlFuU3VCWDdhVUhjc3RnTTZDYmRPSkhXYzJraDdqbGZMRGlxenFUMVh6S0hXenVrS3BVNG9pUXcxUEhRT29wUXpsMi1fWm9VdUNvY2xqbEo5TS1PdWZNLTlPejhxZ0hLWXVpNlFmVXpob0d4Q0FEUmd2QlpraDBCN3RUbEo3RmF5MnBXeXhkWndqaHJablk5ZXdQSFVhTGdwdkFCa2FfcDJSU1RHcGxfcmlMdlhyX2k0cWtVR0tibmw5VVFUMExqLQ?oc=5,2025-09-04 20:46:00,Times Now,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxNdklBRUhGbVA3TVQ5UFo4RVRUaHNEc2VWVklUdE5qRlFlS2QxREVqSy1XZmJxVGNIYjViSmI5SVRRMWs0QVA3cjAtbzJfaTQ2UUxzdV9ybzRZYU10Zlkzdk1KME5FNk1BcGhCRnRPYThGNUk0WEtjV1VMV2d3T0FqZVJOOWRLa1Jvd245OU5GelQzUzM2OUNPMC1MNnZPenI2UGNEVXpyUjNfazJoaUJyVURiWG85ekgwRVFvOGtlQVVFVURjZVJwQzYwaVNDai02WVdWWGVNNzJ3QnYydWRzZmtnMmVwaEFySHM0RUM2SktMTFNQMGNXT1ZXUDdDOHJFNlM2MlJPcjR1UDJJcVN30gGUAkFVX3lxTE5jaHdGWXZVaVBtY2tEamk4U3VNbTB0YXpLRi1tNUJXb0M0Q2t2Y3B2Mm9xRFcteDhOZEVKSnRpV3JsWkhnV0RGUmY4eTFkNFAtcEc1dlFuU3VCWDdhVUhjc3RnTTZDYmRPSkhXYzJraDdqbGZMRGlxenFUMVh6S0hXenVrS3BVNG9pUXcxUEhRT29wUXpsMi1fWm9VdUNvY2xqbEo5TS1PdWZNLTlPejhxZ0hLWXVpNlFmVXpob0d4Q0FEUmd2QlpraDBCN3RUbEo3RmF5MnBXeXhkWndqaHJablk5ZXdQSFVhTGdwdkFCa2FfcDJSU1RHcGxfcmlMdlhyX2k0cWtVR0tibmw5VVFUMExqLQ?oc=5"" target=""_blank"">Schools in THESE Regions Closed on Sept 5 Due to Heavy Rains, Id-e-Milad, and Teachers’ Day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Disaster,en
Video | Punjab Flood News | Chandigarh’s Zakir Hussain Rose Garden Flooded After Intense Rainfall - NDTV,https://news.google.com/rss/articles/CBMivAFBVV95cUxNbl8yZEtiZ0lfdWZWQmxrQ1o4ekowU3MxRWh1amVNYzBqNGg4XzdHZGNPMkdNYjBMYTd4SUF3MTBPTW9EeVlYUnJYNTVaLXBIMWlQYmpjLUpFenpVT1ltaE5ibWJaQnFfTExZM3dWMWY4MjB5RFNFR01DQUZNcUJGN0wtNV9qOHAxS3c2aGw0Y1FkZTNjSUdGc2laenV3VFZCOElNUGpNMzZVeG1XX21aZTBzbUVvVGxkWW1xMw?oc=5,2025-09-04 10:36:21,NDTV,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxNbl8yZEtiZ0lfdWZWQmxrQ1o4ekowU3MxRWh1amVNYzBqNGg4XzdHZGNPMkdNYjBMYTd4SUF3MTBPTW9EeVlYUnJYNTVaLXBIMWlQYmpjLUpFenpVT1ltaE5ibWJaQnFfTExZM3dWMWY4MjB5RFNFR01DQUZNcUJGN0wtNV9qOHAxS3c2aGw0Y1FkZTNjSUdGc2laenV3VFZCOElNUGpNMzZVeG1XX21aZTBzbUVvVGxkWW1xMw?oc=5"" target=""_blank"">Video | Punjab Flood News | Chandigarh’s Zakir Hussain Rose Garden Flooded After Intense Rainfall</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font>",Disaster,en
Union Minister's On-Ground Assessment in Punjab's Flood-Ravaged Areas - Devdiscourse,https://news.google.com/rss/articles/CBMivwFBVV95cUxQRnE0TUtuM0xqMm9lQVlFdXh4d2RmSHBJa3NwZjk0dXR5bXRWUmpKMnBFeXJsUTA5bFFZSzJSRFh3RUxtczB0bzNLb0hoNFRzUFR6aXdBcU1XT3VJaDZ1Q3E5aVZfSXAwT21qOXpBRXBrdV9vd0hLdzA3b3IxWm5RQ09SSWJ3VFBjTmV2UE1zVHVOMl9QVXBYb1l6Z01ITmc2cnZjYThQOExJMURQOUR3anZaOXpQNVJ4NXlZZFZnWdIBxAFBVV95cUxQdU5TcGo3alNjNGQ1aXQ3aDlIOFpITks5aUVPa24ybkpXWUtZX1N2WU54S1lqYXJoMXc4OEYyV0VTMVRNVFdHTmlGb1dlX1RHUWtUY0pUUDZZRklpdG42dnVZdkpzSXZfbGtIWDc5UHJwempFYXc5ckxEVk1VVUhWTjRTRE5QVmNZMkJCbGpyclV2dzlYSDhoMW9RTG1kendVS3lmNi1jc25vY2s4a3VlcDNsSkJEOVpCTGo1M1dNRmxJaFBJ?oc=5,2025-09-04 14:13:48,Devdiscourse,"<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQRnE0TUtuM0xqMm9lQVlFdXh4d2RmSHBJa3NwZjk0dXR5bXRWUmpKMnBFeXJsUTA5bFFZSzJSRFh3RUxtczB0bzNLb0hoNFRzUFR6aXdBcU1XT3VJaDZ1Q3E5aVZfSXAwT21qOXpBRXBrdV9vd0hLdzA3b3IxWm5RQ09SSWJ3VFBjTmV2UE1zVHVOMl9QVXBYb1l6Z01ITmc2cnZjYThQOExJMURQOUR3anZaOXpQNVJ4NXlZZFZnWdIBxAFBVV95cUxQdU5TcGo3alNjNGQ1aXQ3aDlIOFpITks5aUVPa24ybkpXWUtZX1N2WU54S1lqYXJoMXc4OEYyV0VTMVRNVFdHTmlGb1dlX1RHUWtUY0pUUDZZRklpdG42dnVZdkpzSXZfbGtIWDc5UHJwempFYXc5ckxEVk1VVUhWTjRTRE5QVmNZMkJCbGpyclV2dzlYSDhoMW9RTG1kendVS3lmNi1jc25vY2s4a3VlcDNsSkJEOVpCTGo1M1dNRmxJaFBJ?oc=5"" target=""_blank"">Union Minister's On-Ground Assessment in Punjab's Flood-Ravaged Areas</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Devdiscourse</font>",Disaster,en
