Title,Link,Date,Source,Summary,Place
Chandigarh: 110-mm rain in 3 hours throws life out of gear - The Tribune India,https://news.google.com/rss/articles/CBMipgFBVV95cUxPY2VmOWxDRmxpeTktc2hqS284TVR0ZEowMmpublFqMW93VUhJUWtIMXdFZ0VFczZDWTVvU1F5MlVfVVBnRnZrMXpYTVU5R284QURtSzFLV2QyUG9MQnU0dlVpNTJVcnhabXo5ZFBQNW1STEQ3MUpGZ2Fhak1Ydk0ya25NdDFaTGVLc2J1TzAwaGtzalRqVFZYQW0xcXFzeW1qRWFHRS1R0gGqAUFVX3lxTE9JM3lCOENlVlBITXhkWmdTaU5PRTM1enFqS3Q0amNIZ1hIa1ZpSXE0ZUM0UFBpRXJzeFNfeHd1QXZJdWlldjN5WVNCeWs5WEVYcHNNMmRqcUdRQXR4RW9FbGZUY0syT3VIaXc4TnZtUU53bVg2VmpSUGF5N1g1ZXFzSEJHOGo3NWx4QVdGeFdCOTF6OEVsOTVfeFNBSF9la0hkWV94RTUzdW5n?oc=5,2024-08-12 06:11:38,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPY2VmOWxDRmxpeTktc2hqS284TVR0ZEowMmpublFqMW93VUhJUWtIMXdFZ0VFczZDWTVvU1F5MlVfVVBnRnZrMXpYTVU5R284QURtSzFLV2QyUG9MQnU0dlVpNTJVcnhabXo5ZFBQNW1STEQ3MUpGZ2Fhak1Ydk0ya25NdDFaTGVLc2J1TzAwaGtzalRqVFZYQW0xcXFzeW1qRWFHRS1R0gGqAUFVX3lxTE9JM3lCOENlVlBITXhkWmdTaU5PRTM1enFqS3Q0amNIZ1hIa1ZpSXE0ZUM0UFBpRXJzeFNfeHd1QXZJdWlldjN5WVNCeWs5WEVYcHNNMmRqcUdRQXR4RW9FbGZUY0syT3VIaXc4TnZtUU53bVg2VmpSUGF5N1g1ZXFzSEJHOGo3NWx4QVdGeFdCOTF6OEVsOTVfeFNBSF9la0hkWV94RTUzdW5n?oc=5"" target=""_blank"">Chandigarh: 110-mm rain in 3 hours throws life out of gear</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
"IMD forecasts heavy to very heavy rain in Chandigarh, Haryana and Punjab - The Indian Express",https://news.google.com/rss/articles/CBMiugFBVV95cUxNTDhDMHRWTUJCeVlXZHRTdzlmRTQ3Y1NwNm1WV3RYbVJ0YXBVcUY1Y1FORnE2cEFJTkhKNC1EbnFYX2g5UkZoWDVrMWtkWVFsOEFnWEJOOUFuS1R6MUpheVkxN1E5MGdSTVlpcGhCVDNBRDlkcXVWX0xPRlhfTGdyUGlXS0dBY2NaVXMwLVFXRnJPN1NYWjB5bWZjOVRoWWNtN3ZLZXBOVnRKUlBpMEVXWXBTMDd0YkJNaVHSAcABQVVfeXFMUFpuV3MyVE5vQ2tWcjdJYml3SldhMXNUcVpuMXk2a2ZOYVR3Zl9WRVpWVzdVank5RFlTV2RqSnZFU2xzZGFSa3Y3MWpDMXhpc1dtbE9ETWdqTjZNV3FrRC1GUlltcEFzcTdOZWNRYVJMYWdfRThySEpfbkNQQlFmSHJhVC1rMHptTV8tSWVpUm1hQW1UNjFCRndURkFjeDU4eDdGa01weDMxR0prZjhnYmZJelpsbzZHZnNfeEVGMVFX?oc=5,2024-08-11 15:57:31,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxNTDhDMHRWTUJCeVlXZHRTdzlmRTQ3Y1NwNm1WV3RYbVJ0YXBVcUY1Y1FORnE2cEFJTkhKNC1EbnFYX2g5UkZoWDVrMWtkWVFsOEFnWEJOOUFuS1R6MUpheVkxN1E5MGdSTVlpcGhCVDNBRDlkcXVWX0xPRlhfTGdyUGlXS0dBY2NaVXMwLVFXRnJPN1NYWjB5bWZjOVRoWWNtN3ZLZXBOVnRKUlBpMEVXWXBTMDd0YkJNaVHSAcABQVVfeXFMUFpuV3MyVE5vQ2tWcjdJYml3SldhMXNUcVpuMXk2a2ZOYVR3Zl9WRVpWVzdVank5RFlTV2RqSnZFU2xzZGFSa3Y3MWpDMXhpc1dtbE9ETWdqTjZNV3FrRC1GUlltcEFzcTdOZWNRYVJMYWdfRThySEpfbkNQQlFmSHJhVC1rMHptTV8tSWVpUm1hQW1UNjFCRndURkFjeDU4eDdGa01weDMxR0prZjhnYmZJelpsbzZHZnNfeEVGMVFX?oc=5"" target=""_blank"">IMD forecasts heavy to very heavy rain in Chandigarh, Haryana and Punjab</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
"Heavy Rains Batter India Causing Disruption From Waterlogging, IMD Forecasts More Downpour — Updates - ABP Live",https://news.google.com/rss/articles/CBMinAJBVV95cUxOQ2xIblM1X0RDWlRlY3BOQkpVNkR2dFZTX0d6WmI2QjJac2ozUEhnQkN5ZGloNkgxX2lpRDd6NjJIZkw2M2hmQURYcm1KbUN3dEw0OFdueVc3eDh1WDNSOE5UbU9sajZQbmtJbVlJS2NhS3E1OGRnZXpiZm12WDdqLTVERTZkWUNfejRJd2E4OHpFLVFoREI4dy1yZHNvSzUzeEdmVWdDZDdnOFloanhjZ2VuSmpXaEZ2U08zeDhKX3lfbUtQVGxwell1cEpQaVoteG5SaXJtV3BndWpUNTlGT3lOQXEzWGxCVW1mNDBxRzVWeTQtMTh3aUluczlSRHc4UjczQ1BISml3REpqVHJWTTFBUDNNYnNQbFNRedIBogJBVV95cUxPdWR2SEh1dHA4VVFucTd2VUcyeUJzOEpvREd2ZVNHekpDZmpfb0IwZ0tMb0R2SnFuaXphQUJuVjE2TWJ4UldxODRTZnkyb0QzdUplUVdhaFBoaTNqVFMzMldfTXZQZXIzNkNPd2dONDlsRXRuNUM5Nk9JVGFzYWkzVHdVT0hOS0JfY0lMOWY5RXdsZ0p0dGY4RWlnX1lyb05lRzNUV2V6Q1pZNDFaeU42aUJqTExMaGNCdkFaaDZZT1hhX3FrSElzNVdTNVAyX3B4RUU3MUJFaXJjTG54a25iWUZXOVJ1UWZveXV1ZmN3SDY5X2ZGTHBaNVBmZEZ3S0hPc00zUTdFUWJhekZOaTB4N01sVVJua3ZvSTBBYjN0WlUxUQ?oc=5,2024-08-11 17:15:39,ABP Live,"<a href=""https://news.google.com/rss/articles/CBMinAJBVV95cUxOQ2xIblM1X0RDWlRlY3BOQkpVNkR2dFZTX0d6WmI2QjJac2ozUEhnQkN5ZGloNkgxX2lpRDd6NjJIZkw2M2hmQURYcm1KbUN3dEw0OFdueVc3eDh1WDNSOE5UbU9sajZQbmtJbVlJS2NhS3E1OGRnZXpiZm12WDdqLTVERTZkWUNfejRJd2E4OHpFLVFoREI4dy1yZHNvSzUzeEdmVWdDZDdnOFloanhjZ2VuSmpXaEZ2U08zeDhKX3lfbUtQVGxwell1cEpQaVoteG5SaXJtV3BndWpUNTlGT3lOQXEzWGxCVW1mNDBxRzVWeTQtMTh3aUluczlSRHc4UjczQ1BISml3REpqVHJWTTFBUDNNYnNQbFNRedIBogJBVV95cUxPdWR2SEh1dHA4VVFucTd2VUcyeUJzOEpvREd2ZVNHekpDZmpfb0IwZ0tMb0R2SnFuaXphQUJuVjE2TWJ4UldxODRTZnkyb0QzdUplUVdhaFBoaTNqVFMzMldfTXZQZXIzNkNPd2dONDlsRXRuNUM5Nk9JVGFzYWkzVHdVT0hOS0JfY0lMOWY5RXdsZ0p0dGY4RWlnX1lyb05lRzNUV2V6Q1pZNDFaeU42aUJqTExMaGNCdkFaaDZZT1hhX3FrSElzNVdTNVAyX3B4RUU3MUJFaXJjTG54a25iWUZXOVJ1UWZveXV1ZmN3SDY5X2ZGTHBaNVBmZEZ3S0hPc00zUTdFUWJhekZOaTB4N01sVVJua3ZvSTBBYjN0WlUxUQ?oc=5"" target=""_blank"">Heavy Rains Batter India Causing Disruption From Waterlogging, IMD Forecasts More Downpour — Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABP Live</font>",
"Weather Update: Punjab, Haryana, Chandigarh Brace For Rain, Thunderstorms Till August 15 | Check IMD Forecast - Jagran English",https://news.google.com/rss/articles/CBMi3gFBVV95cUxOa2szU3dNWlJEWXA0SzFWdHFOZTVqMTdyR0ZOWFRPMmpRc1RUa0JWTkJMSkFqTmVWc2g2SzFsdEJkSXY1LUpDdkp1WmVVeTdybXNGTXdoUy14X1AyaUdGOVZLb1ZOSThPelByQUFCbVc3b0RJbmoxX2dsUnVqTFBmSHIwcEZfYlhEN3VQMFh4Q3JzdlY3ZE1jdm03eVVfS1NDRl9uTU80dE9SLTA3VU9DbU4yRFRacUlQMldyTHlHUXoxeVQzOUI5ZUxJbXNRMXc4WmM3TFlMamZpT2VjOUHSAeQBQVVfeXFMTm5SbzZKcEZ2THZtRzIxTjZQNG1OZWZLemdBZFQ2bTVhT1lDTlh6emlHU1RyeFRhbWpDelNjMndsVnNEQ1FpZU1qNXVGSFVHWjFjSThLeUphXy1TUmtZNHBVYnFNc1Vvd0IxRjd4Q0NUMTRCQjRPQ1loTWoteDBVUXB3VTdqbzBFOVh0V2J5cmVyY0MwaktlMDJVdGprVldDZzltUXZUTDVFckxpcXl4eU1NWW8wTEs3ZVVZUTNCdDRMbk1TNHBKd0d3NWdpQVpWeWllY1V1ZkU1UkxybnRzaEZ3U18t?oc=5,2024-08-11 20:22:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxOa2szU3dNWlJEWXA0SzFWdHFOZTVqMTdyR0ZOWFRPMmpRc1RUa0JWTkJMSkFqTmVWc2g2SzFsdEJkSXY1LUpDdkp1WmVVeTdybXNGTXdoUy14X1AyaUdGOVZLb1ZOSThPelByQUFCbVc3b0RJbmoxX2dsUnVqTFBmSHIwcEZfYlhEN3VQMFh4Q3JzdlY3ZE1jdm03eVVfS1NDRl9uTU80dE9SLTA3VU9DbU4yRFRacUlQMldyTHlHUXoxeVQzOUI5ZUxJbXNRMXc4WmM3TFlMamZpT2VjOUHSAeQBQVVfeXFMTm5SbzZKcEZ2THZtRzIxTjZQNG1OZWZLemdBZFQ2bTVhT1lDTlh6emlHU1RyeFRhbWpDelNjMndsVnNEQ1FpZU1qNXVGSFVHWjFjSThLeUphXy1TUmtZNHBVYnFNc1Vvd0IxRjd4Q0NUMTRCQjRPQ1loTWoteDBVUXB3VTdqbzBFOVh0V2J5cmVyY0MwaktlMDJVdGprVldDZzltUXZUTDVFckxpcXl4eU1NWW8wTEs3ZVVZUTNCdDRMbk1TNHBKd0d3NWdpQVpWeWllY1V1ZkU1UkxybnRzaEZ3U18t?oc=5"" target=""_blank"">Weather Update: Punjab, Haryana, Chandigarh Brace For Rain, Thunderstorms Till August 15 | Check IMD Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",
IMD forecast heavy rainfall brings relief to Punjab and Haryana - Zee Business,https://news.google.com/rss/articles/CBMi1AFBVV95cUxNM3pWSnpoT0hMcGtGeTJMUUY2bzlhaTRXck81YmJESFgyUGktdjRMN0NxUHQ5bF9IeFpoLXhWVFUyVFpTVGc3eGpHcmZfT0JWX3hHbnhhaGxSaVE5Z0FtZ1BBbFUxb3EyUjkzVXdJZmNhbmpJY3RtUEI5c3JYYi16bkpkeXdmdUNZc3BTWjRQZ19XbmJXTndJOEwyd2pVcUVua0ktWG41Rm0xOWdDOVlieExIek5IbnFIekstQVJrTXc4Z1hBRWJxVFcteFhVWHlPNTQ1SNIB2gFBVV95cUxQa3BzbFZZTWltY0l2TFhZVFVjSXJJNUdONE44Z2ljVlE0czdUeGdKLWNoWF94bnBrQVoyeTRuN3YyaDIwMmZwMzhaS2MyMUR0cVRNSlZpa3hNY1VLZ2wyUk50bnJKUDM4SU5hSDRjR2JVX2dhMk5EQmFMU18zc2twVDZ3ZERtYjhsOGhibHlLWDZHQjdiMF9mOTdHTFdqUFJFZTZFbWcxRU1JazM1OUpqVWdaa3d3b1k1VjVzWi1LTi1hdjZFTFhZUk9oNjhZd2tuUUhFS2hCZzAwZw?oc=5,2024-08-11 15:05:46,Zee Business,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxNM3pWSnpoT0hMcGtGeTJMUUY2bzlhaTRXck81YmJESFgyUGktdjRMN0NxUHQ5bF9IeFpoLXhWVFUyVFpTVGc3eGpHcmZfT0JWX3hHbnhhaGxSaVE5Z0FtZ1BBbFUxb3EyUjkzVXdJZmNhbmpJY3RtUEI5c3JYYi16bkpkeXdmdUNZc3BTWjRQZ19XbmJXTndJOEwyd2pVcUVua0ktWG41Rm0xOWdDOVlieExIek5IbnFIekstQVJrTXc4Z1hBRWJxVFcteFhVWHlPNTQ1SNIB2gFBVV95cUxQa3BzbFZZTWltY0l2TFhZVFVjSXJJNUdONE44Z2ljVlE0czdUeGdKLWNoWF94bnBrQVoyeTRuN3YyaDIwMmZwMzhaS2MyMUR0cVRNSlZpa3hNY1VLZ2wyUk50bnJKUDM4SU5hSDRjR2JVX2dhMk5EQmFMU18zc2twVDZ3ZERtYjhsOGhibHlLWDZHQjdiMF9mOTdHTFdqUFJFZTZFbWcxRU1JazM1OUpqVWdaa3d3b1k1VjVzWi1LTi1hdjZFTFhZUk9oNjhZd2tuUUhFS2hCZzAwZw?oc=5"" target=""_blank"">IMD forecast heavy rainfall brings relief to Punjab and Haryana</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Zee Business</font>",
"Heavy downpour in many parts of Punjab, but rain intensity expected to decrease - The Tribune India",https://news.google.com/rss/articles/CBMivAFBVV95cUxPeHVkMHFCNjV6Y0dLWTZNVDhYSlJrblRrNWkyY2hBazF2U25pMUpFUXFwanEzX1dEYUxqSkNyeEltWjRlM3ZsTFpBSEFTNkxOS2VKeV9MLTZwcHI2cjVDNHBpMjNSUjBacllmZTdTYkJPLXU5SFdiM3FUUTJrbVo2VEViWXR3MUFGSmZlQzFoSlF4WVpkbmpzN3BiaEQxZVJtNF9hcjFaQ3NoaHBvU0tPSGNiM3M1YWhOYktHadIBwAFBVV95cUxNclhKX0FCZkVMOXFiUE1yZUZQTEpSQUNlRTlUYzNxZ1N0dEl3bDBnV3JkQ3labFpxVnowb0VkcFhUVFVhNWV2TkU1OEE0b0F4RjNKVzU4WDVUUGVKSmNoMXMxNjNMeFgxLW1rT2FRMUV4c1pTVkZOQUE2SnZ0MG44dFJadTJpN2Q4REhDaktIemNLbzhUMEhuNUEzVlZiS0pWSHpnV0ltQTJaMzRELWs4UXh2Yllfd2N5Z3p2bWRkbFA?oc=5,2024-08-11 18:48:01,The Tribune India,"<a href=""https://news.google.com/rss/articles/CBMivAFBVV95cUxPeHVkMHFCNjV6Y0dLWTZNVDhYSlJrblRrNWkyY2hBazF2U25pMUpFUXFwanEzX1dEYUxqSkNyeEltWjRlM3ZsTFpBSEFTNkxOS2VKeV9MLTZwcHI2cjVDNHBpMjNSUjBacllmZTdTYkJPLXU5SFdiM3FUUTJrbVo2VEViWXR3MUFGSmZlQzFoSlF4WVpkbmpzN3BiaEQxZVJtNF9hcjFaQ3NoaHBvU0tPSGNiM3M1YWhOYktHadIBwAFBVV95cUxNclhKX0FCZkVMOXFiUE1yZUZQTEpSQUNlRTlUYzNxZ1N0dEl3bDBnV3JkQ3labFpxVnowb0VkcFhUVFVhNWV2TkU1OEE0b0F4RjNKVzU4WDVUUGVKSmNoMXMxNjNMeFgxLW1rT2FRMUV4c1pTVkZOQUE2SnZ0MG44dFJadTJpN2Q4REhDaktIemNLbzhUMEhuNUEzVlZiS0pWSHpnV0ltQTJaMzRELWs4UXh2Yllfd2N5Z3p2bWRkbFA?oc=5"" target=""_blank"">Heavy downpour in many parts of Punjab, but rain intensity expected to decrease</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font>",
"Waterlogging, Traffic Woes In Chandigarh Amid Heavy Showers, IMD Issues Yellow Alert; Check Forecast - Times Now",https://news.google.com/rss/articles/CBMiiwJBVV95cUxQZmpnelRBcnE3SXVValRKUUFyVnhfTEQzOEhJRnNlMlpDSjBtMkVuQnA4alY4RmVIQTZRUlA2OXJwTU13cUFCMGcwTFlIWE04ckgyYWxCZHpnVm5HbVhXU0hjdHJoRUNob3dMSE5HLWVRTm1SSHpHTzhJYzBORHNDUFd2ZUktREJNVjY3ZE5OemFwcW5MMEFkNF9NSTE4Wjh3XzdGTGxGNHNJWE9tQ21QNXNiTlhwQzRKa2gxeS1Qc0xuUTVHbV91dHNZZzlOdjh0LUhoNGNKNjZETDRtRlB4ellrRFJRbEhKTWk2QlVuV0ZTall2anhSYV9JUWN5eFQyZ080azFpdUxUZXPSAZACQVVfeXFMTm5STzZ0cXdVaXBFaElIcmJHbDZDM0dZLXpidzUxQmNUcXg2Nzlkd1JSeDdjVGV5REpuMUN4OXZuNmI1azFTWDd2TWhMWWhmWXY2VHZqTFdraXhCWmxibzNnejk1bWhDdlc4eW8welZkV25pclRQdi04OTdNZ0NKR3N0Y0Z3eUFCeFRzMnkxRFhFSjlKSXBQa21tMWItZU12c01HTTVDZWZLOG1zTURrZVJCc2RHWmZWdm1mekh2cGgtV19ocGpYN0VyVlNfMnBYRGxXTHFJS1VzTVJjUHFSQ2NRNUREbjFnSGJNQ3ZBRENjdGN5NWVwWE00d3o0SXQ5bGZ6X1B6OE9qanlDZjZkVW4?oc=5,2024-08-11 17:15:16,Times Now,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxQZmpnelRBcnE3SXVValRKUUFyVnhfTEQzOEhJRnNlMlpDSjBtMkVuQnA4alY4RmVIQTZRUlA2OXJwTU13cUFCMGcwTFlIWE04ckgyYWxCZHpnVm5HbVhXU0hjdHJoRUNob3dMSE5HLWVRTm1SSHpHTzhJYzBORHNDUFd2ZUktREJNVjY3ZE5OemFwcW5MMEFkNF9NSTE4Wjh3XzdGTGxGNHNJWE9tQ21QNXNiTlhwQzRKa2gxeS1Qc0xuUTVHbV91dHNZZzlOdjh0LUhoNGNKNjZETDRtRlB4ellrRFJRbEhKTWk2QlVuV0ZTall2anhSYV9JUWN5eFQyZ080azFpdUxUZXPSAZACQVVfeXFMTm5STzZ0cXdVaXBFaElIcmJHbDZDM0dZLXpidzUxQmNUcXg2Nzlkd1JSeDdjVGV5REpuMUN4OXZuNmI1azFTWDd2TWhMWWhmWXY2VHZqTFdraXhCWmxibzNnejk1bWhDdlc4eW8welZkV25pclRQdi04OTdNZ0NKR3N0Y0Z3eUFCeFRzMnkxRFhFSjlKSXBQa21tMWItZU12c01HTTVDZWZLOG1zTURrZVJCc2RHWmZWdm1mekh2cGgtV19ocGpYN0VyVlNfMnBYRGxXTHFJS1VzTVJjUHFSQ2NRNUREbjFnSGJNQ3ZBRENjdGN5NWVwWE00d3o0SXQ5bGZ6X1B6OE9qanlDZjZkVW4?oc=5"" target=""_blank"">Waterlogging, Traffic Woes In Chandigarh Amid Heavy Showers, IMD Issues Yellow Alert; Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
158.5 mm rain turns Chandigarh tricity into waterlogged mess - Hindustan Times,https://news.google.com/rss/articles/CBMizwFBVV95cUxOZzZyMG9hbDRrRzl5T3JiMTVNaWFLbThTcHZkb25Nem1vREwwZjNScVB6dHlIZWctREl6cEF3bnZ1QUFUZnRTU2VMclQwZXRCVEZpU0RZbXJrY204czB1b0otX3VqcjZoY0luYnFhVXlHenlORVJiSnNwM0lOVFNRZmh1MF9aUGF3YzBSTmtCdXh2RHZWVVRmbFdVc2NUaTF3VktXb0pJcVZ1YTVBLWFKSUg3MExsM3RHWXE5VldnSF9FNlNOUVlMdVVNSzlLSmPSAdQBQVVfeXFMUGdDQk84OHV3NmE1ODcybzZpZDZneENKbFNWQ29TWWFXRjVUczhfT20tdnJlSTZwRGljbXVNa3ZXSnplR2trdjN6QkpHbTF5YnFPS2VFV0V3aWpIeGI1elBlczYtS19Fbnd3T3VoTFRySU9OdWZYNzFyU2dTZlRyMTl1c0tCMHU2Rm42TjR4SU82bVoxa1RwWlF1WU9FV0lVS3BULWt0aWdSZFRvSGFrZUxlLWR5SlM0d0hDTW14U016SGQ4VFpPM2gtcjJmZnZuNDEtVVc?oc=5,2024-08-12 08:22:11,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOZzZyMG9hbDRrRzl5T3JiMTVNaWFLbThTcHZkb25Nem1vREwwZjNScVB6dHlIZWctREl6cEF3bnZ1QUFUZnRTU2VMclQwZXRCVEZpU0RZbXJrY204czB1b0otX3VqcjZoY0luYnFhVXlHenlORVJiSnNwM0lOVFNRZmh1MF9aUGF3YzBSTmtCdXh2RHZWVVRmbFdVc2NUaTF3VktXb0pJcVZ1YTVBLWFKSUg3MExsM3RHWXE5VldnSF9FNlNOUVlMdVVNSzlLSmPSAdQBQVVfeXFMUGdDQk84OHV3NmE1ODcybzZpZDZneENKbFNWQ29TWWFXRjVUczhfT20tdnJlSTZwRGljbXVNa3ZXSnplR2trdjN6QkpHbTF5YnFPS2VFV0V3aWpIeGI1elBlczYtS19Fbnd3T3VoTFRySU9OdWZYNzFyU2dTZlRyMTl1c0tCMHU2Rm42TjR4SU82bVoxa1RwWlF1WU9FV0lVS3BULWt0aWdSZFRvSGFrZUxlLWR5SlM0d0hDTW14U016SGQ4VFpPM2gtcjJmZnZuNDEtVVc?oc=5"" target=""_blank"">158.5 mm rain turns Chandigarh tricity into waterlogged mess</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
MC Daily Monsoon Tracker: India’s rainfall surplus stays around 7% - Moneycontrol,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVnZob0Rpc2Fuak9yQXppdmJsYi1xUXY3azEwX2tFMWYxR1BzdDIwMjI2eElIdU5OamVrcEtVbXk3SXVxOUk0Q3VqdzFqTHljSDhIU24tRnlKWkpXeHJua1hiQW1FV0Vtc0JmQ0VnLU9ZQS1qZEtuUFMxZTVNR2VLdjhtcjhzcDlIbVZlaFBPZWhzeUxNRmNncmdxYmNrNktoTVpsQUc4MUpwcEpfNWxBdWlqeDA2b3hq0gG-AUFVX3lxTFB0cDBtbnBDMWt6VXlMY2FkTURSR2VzVnlDZUpWZUI3ZmpOYUJPQ1V0dUozWmxEV1Y1OVkzeWk4dnJxUEJMMEpTTGlfQ0ZHb1RFZ0lzUlg4UURFaVFfS0E0VGR2elRISG5JTnpSQzRib0U3SmlwUGd6ekxRMTVYUmpvRTJhVXo1RXF0eUhRSUQ1TmpnNE1jVzNSU09BeHNteWRlcUpTUXBBNERrV2oybUhKOGJZQlNQVm4tZDB6Q2c?oc=5,2024-08-12 08:52:57,Moneycontrol,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOVnZob0Rpc2Fuak9yQXppdmJsYi1xUXY3azEwX2tFMWYxR1BzdDIwMjI2eElIdU5OamVrcEtVbXk3SXVxOUk0Q3VqdzFqTHljSDhIU24tRnlKWkpXeHJua1hiQW1FV0Vtc0JmQ0VnLU9ZQS1qZEtuUFMxZTVNR2VLdjhtcjhzcDlIbVZlaFBPZWhzeUxNRmNncmdxYmNrNktoTVpsQUc4MUpwcEpfNWxBdWlqeDA2b3hq0gG-AUFVX3lxTFB0cDBtbnBDMWt6VXlMY2FkTURSR2VzVnlDZUpWZUI3ZmpOYUJPQ1V0dUozWmxEV1Y1OVkzeWk4dnJxUEJMMEpTTGlfQ0ZHb1RFZ0lzUlg4UURFaVFfS0E0VGR2elRISG5JTnpSQzRib0U3SmlwUGd6ekxRMTVYUmpvRTJhVXo1RXF0eUhRSUQ1TmpnNE1jVzNSU09BeHNteWRlcUpTUXBBNERrV2oybUhKOGJZQlNQVm4tZDB6Q2c?oc=5"" target=""_blank"">MC Daily Monsoon Tracker: India’s rainfall surplus stays around 7%</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Moneycontrol</font>",
"Delhi, Gurugram see massive water logging after fresh spell of heavy rainfall; Traffic alert issued | WATCH - Mint",https://news.google.com/rss/articles/CBMi_wFBVV95cUxPYk1hZ1AtNzJ5d0RXTVBkbDBnS1VPRUlQN1hWSUtfSjRGdHB3QmpVeEZBdjNtVUJzRFFwclNPOGN1aEc5MFA3cjNBWWFNSXdvX3ZPd1NZcGk1a1plUTFLS0VmRVNlU1FFSWZRVEhsdkYyaERNd1FOVGt4aXdBUTdpc2tnbnJmS01GejdFRUdyLW1BeHdydVFyR1hpbTVtY09xSFZyZzVBNlR3NXVFWUc5eXBlSS1iLWx1Yzl4Rm1JTXBJT09CVmNJQWtjb3ZlemdCd2xMdkJaOXVsRFJSakJtTzZTNGRQcXFTVUdmZmt2czFFdGY3QWVIUFo3ZWxadEU?oc=5,2024-08-11 16:25:24,Mint,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxPYk1hZ1AtNzJ5d0RXTVBkbDBnS1VPRUlQN1hWSUtfSjRGdHB3QmpVeEZBdjNtVUJzRFFwclNPOGN1aEc5MFA3cjNBWWFNSXdvX3ZPd1NZcGk1a1plUTFLS0VmRVNlU1FFSWZRVEhsdkYyaERNd1FOVGt4aXdBUTdpc2tnbnJmS01GejdFRUdyLW1BeHdydVFyR1hpbTVtY09xSFZyZzVBNlR3NXVFWUc5eXBlSS1iLWx1Yzl4Rm1JTXBJT09CVmNJQWtjb3ZlemdCd2xMdkJaOXVsRFJSakJtTzZTNGRQcXFTVUdmZmt2czFFdGY3QWVIUFo3ZWxadEU?oc=5"" target=""_blank"">Delhi, Gurugram see massive water logging after fresh spell of heavy rainfall; Traffic alert issued | WATCH</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
