Title,Link,Date,Source,Summary,Term,LanguageQueried
"Delhi Weather Live Update: झमाझम के बाद दिल्ली में लुढ़का पारा, आज भी बारिश और तूफान का अलर्ट - Navbharat Times",https://news.google.com/rss/articles/CBMiygJBVV95cUxPOFI5bUlDUFhJWnV6M0lZZVNkNlo1eGZIVkZiTzdnUF9wZnpIT0FDVnhYVmc1OE43R1FRbi1Nd015UUNlUTNHQWs0VXpETTJWSk9GaUxRWHdWTTR6MEpKM0MwcjJaMGNZckQ1V0ozUi1GN0tmb01ZOVNDaHRlQ20zaXIyNF9QcFM2YUJmdm5ZWmhUOWFKZUR4QUxYSXNpdmpfYmFMUVpQVVJxX0xncm5DTTM1cnkyalExNnR1QmZldVFPRTA1ZkVaNEhKOTg4NFVIX0Q2NDFpalJkSFp4NWhVcVBJNlJaWFp3U3AyYXFOd3NORTJyZzQ5VnNfZlRxdF9rVTFLMFVPUDR2RC1fZWNjVEhPMW9panV2V3RMRWJmQUViN3FpNExIOHFnUUpqQTZwd1dLWm84SGMzU2pOd3hzZHp2NTFLX3RIdnfSAc8CQVVfeXFMUER5dkNvV2hkUzhFZ291NjVYZXFmR0FPVHRZdGhEXy0xX215UDlUWGRlMmYyZlNFa2pkRFhMVmV4eXYxZG1PNld6TjRNTmd4c0k0MnM5Z3RBT0M0bG9ldy12WWdBM3hhZmpiMHBqb2UwWi1zWUhMS2pUV1ZkbTdtYUhyV1NxTTk5MDZ5S05BM3Q5Umc0ZG1FSlNaUUJ3MjFwdXAzaGxPam1XMUc4bnBXNXNFMGRTdlM0SDNwamNKb0d6akFXZVBkakVmSnVUNFdaY1U5VHl4T3QtcllXV29BWURjVjVJNER6Z0ZPbjBmT0hoTWdYVFF4d19DUm54aUVZWlhpQ1ZmRUdreDY1VDl3MXhUMC0wUVpKRlRXYUY4b3dJeDVhQ0cxRXNNOFdzekpydF9FYk9oOEdabnFuY3RtWFUtXzkyWnZZbGVkTlVGZUk?oc=5,2026-01-24 09:41:51,Navbharat Times,"<a href=""https://news.google.com/rss/articles/CBMiygJBVV95cUxPOFI5bUlDUFhJWnV6M0lZZVNkNlo1eGZIVkZiTzdnUF9wZnpIT0FDVnhYVmc1OE43R1FRbi1Nd015UUNlUTNHQWs0VXpETTJWSk9GaUxRWHdWTTR6MEpKM0MwcjJaMGNZckQ1V0ozUi1GN0tmb01ZOVNDaHRlQ20zaXIyNF9QcFM2YUJmdm5ZWmhUOWFKZUR4QUxYSXNpdmpfYmFMUVpQVVJxX0xncm5DTTM1cnkyalExNnR1QmZldVFPRTA1ZkVaNEhKOTg4NFVIX0Q2NDFpalJkSFp4NWhVcVBJNlJaWFp3U3AyYXFOd3NORTJyZzQ5VnNfZlRxdF9rVTFLMFVPUDR2RC1fZWNjVEhPMW9panV2V3RMRWJmQUViN3FpNExIOHFnUUpqQTZwd1dLWm84SGMzU2pOd3hzZHp2NTFLX3RIdnfSAc8CQVVfeXFMUER5dkNvV2hkUzhFZ291NjVYZXFmR0FPVHRZdGhEXy0xX215UDlUWGRlMmYyZlNFa2pkRFhMVmV4eXYxZG1PNld6TjRNTmd4c0k0MnM5Z3RBT0M0bG9ldy12WWdBM3hhZmpiMHBqb2UwWi1zWUhMS2pUV1ZkbTdtYUhyV1NxTTk5MDZ5S05BM3Q5Umc0ZG1FSlNaUUJ3MjFwdXAzaGxPam1XMUc4bnBXNXNFMGRTdlM0SDNwamNKb0d6akFXZVBkakVmSnVUNFdaY1U5VHl4T3QtcllXV29BWURjVjVJNER6Z0ZPbjBmT0hoTWdYVFF4d19DUm54aUVZWlhpQ1ZmRUdreDY1VDl3MXhUMC0wUVpKRlRXYUY4b3dJeDVhQ0cxRXNNOFdzekpydF9FYk9oOEdabnFuY3RtWFUtXzkyWnZZbGVkTlVGZUk?oc=5"" target=""_blank"">Delhi Weather Live Update: झमाझम के बाद दिल्ली में लुढ़का पारा, आज भी बारिश और तूफान का अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Navbharat Times</font>",Disaster,hi
"Delhi Weather Live: दिल्ली-NCR में बारिश, श्रीनगर से शिमला मनाली तक भारी बर्फबारी, कश्मीर में 24 फ्लाइट्स रद्द - AajTak",https://news.google.com/rss/articles/CBMi_wFBVV95cUxPdzBtYW02c1BSdkZENE5xYk9zVXFfaURodGIxbURNWlRSekJqUDdsZGJKS1oyTmdzeWlfaXJDa1M0SlZ2cnRhZzZ0dTFITXR3N1VfeHEzNTZlUTlwSG5oLUM1RG9zNmtsWFVvY2hIeVdDZ3ZvSjh0RmFHOWFlbFM4cHZnUWdweGFhS1hJbkhFNFVHTWpwbnlsZUFXM3JSeFFseEx2NlhNX1ByWVJlMUFxaEtCRU1QVDgyUi04eHA5aWNQaUdSUzFUcmRmUjA5Z1NLSHAtdkNlY0NmeXRJN0NjVUprWUxnaGs1UnI3WDY2bFZvN3FMRVM4b2w5TDZWejTSAYQCQVVfeXFMTmU1MWdMRHRnR2s4Rzg1OVNCVi12TUFKeDBNWmc1M2w2TGd3VlhnS1piZDFEdjV1LUxKR0lkVTBVR2gwbmw5bGZ2TnllSnROLXJUZUk4YzhzUkNGZ0xNQnBXaG1NcXRBTW5vSmNqcEZObGVLWUtMejVOcWhyTDlBT25mNjZRRzVNYUc4dkdCZ2s3U0VFLXZvc3hnbFhkSW9Ya3R2RC1Dc2w0allHcmVwWjFjaDgwVTB1UGpBaWdQTXBraE9RRUJHVjNVZE1MaFp2eXYxdXNUaXZueXZ4RFVfZFhudjJzWGpUSDVmVUdwQS1fblBVUnBUcnBYZ1ZNT0U1STNxTnA?oc=5,2026-01-23 19:26:26,AajTak,"<a href=""https://news.google.com/rss/articles/CBMi_wFBVV95cUxPdzBtYW02c1BSdkZENE5xYk9zVXFfaURodGIxbURNWlRSekJqUDdsZGJKS1oyTmdzeWlfaXJDa1M0SlZ2cnRhZzZ0dTFITXR3N1VfeHEzNTZlUTlwSG5oLUM1RG9zNmtsWFVvY2hIeVdDZ3ZvSjh0RmFHOWFlbFM4cHZnUWdweGFhS1hJbkhFNFVHTWpwbnlsZUFXM3JSeFFseEx2NlhNX1ByWVJlMUFxaEtCRU1QVDgyUi04eHA5aWNQaUdSUzFUcmRmUjA5Z1NLSHAtdkNlY0NmeXRJN0NjVUprWUxnaGs1UnI3WDY2bFZvN3FMRVM4b2w5TDZWejTSAYQCQVVfeXFMTmU1MWdMRHRnR2s4Rzg1OVNCVi12TUFKeDBNWmc1M2w2TGd3VlhnS1piZDFEdjV1LUxKR0lkVTBVR2gwbmw5bGZ2TnllSnROLXJUZUk4YzhzUkNGZ0xNQnBXaG1NcXRBTW5vSmNqcEZObGVLWUtMejVOcWhyTDlBT25mNjZRRzVNYUc4dkdCZ2s3U0VFLXZvc3hnbFhkSW9Ya3R2RC1Dc2w0allHcmVwWjFjaDgwVTB1UGpBaWdQTXBraE9RRUJHVjNVZE1MaFp2eXYxdXNUaXZueXZ4RFVfZFhudjJzWGpUSDVmVUdwQS1fblBVUnBUcnBYZ1ZNT0U1STNxTnA?oc=5"" target=""_blank"">Delhi Weather Live: दिल्ली-NCR में बारिश, श्रीनगर से शिमला मनाली तक भारी बर्फबारी, कश्मीर में 24 फ्लाइट्स रद्द</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AajTak</font>",Disaster,hi
कल का मौसम : 36 घंटे होगी आफत की बरसात! आंधी-तूफान संग होगा वज्रपात; मौसम विभाग का ऑरेंज अलर्ट - Times Now Navbharat,https://news.google.com/rss/articles/CBMilAJBVV95cUxOdlo4Ul80U0VwUEMzbW9ZdjRzTkQ3WUVXS1ZTMG5QUFlrLS1HeDY1cDBrYTQ4VHJDN0V0bnNyMmwweVdrRGxBRWdaeHhRZWV2VENrYTU2eE9Ya0dCdFBTdHRCNHNBUzF6ekEtcFd3MDE0bVBpR1Fzb29UUE9lM2hDcnJzUDVTa1BIOExSWTZ1N0E3MVZobE9QOXh2OWo5dzdkc0RMODJKeGNOV3ZwM1VURzhHazNqLU1DUURmdENDeFRveDRfTXA3a3VjSTF2LTFxdDFYcHkwWlI1TGxmaVYwblYta3o3dE84T0sxMC1LR256YlJyaUJMR3l0dUI4T09uNkJ6NGJxMmllb3RFTU1PUjlwYUTSAZoCQVVfeXFMTzJZZUZPUzY0dlhVdWh0TkdsQ3ZWMUc5S0NBcDV1emVUQ1d5STA0Q1B5WEZVbk4yTUd1ci1oQnpMbVJjLUN5enRVZ3hhTnItTGJGdGZLbWItcVJkcTJfX0pZdnNRRTE2dVdQOGEzTDVhVmFuc3ZiTTNIbzdpUjlOTXN5Z1F6T0EwT1E3alU3Q0tnN0F4R2tIOXNpX0JTbEViLXJmUzlQeGVVbkoxUU04OW9RMjh5UERsclRkRGQxdTF4UjFEN2s5Tm9PYnhMLWZRem9ydnk5S29pUW90OXpqelNwLVVFWGpmU0gzaG8wVy00ekxzZWtwUmlQQkp6Y0dFd1lBRGUzSjBURk5JX08zQjFPdGxtZThxTkdn?oc=5,2026-01-23 23:19:07,Times Now Navbharat,"<a href=""https://news.google.com/rss/articles/CBMilAJBVV95cUxOdlo4Ul80U0VwUEMzbW9ZdjRzTkQ3WUVXS1ZTMG5QUFlrLS1HeDY1cDBrYTQ4VHJDN0V0bnNyMmwweVdrRGxBRWdaeHhRZWV2VENrYTU2eE9Ya0dCdFBTdHRCNHNBUzF6ekEtcFd3MDE0bVBpR1Fzb29UUE9lM2hDcnJzUDVTa1BIOExSWTZ1N0E3MVZobE9QOXh2OWo5dzdkc0RMODJKeGNOV3ZwM1VURzhHazNqLU1DUURmdENDeFRveDRfTXA3a3VjSTF2LTFxdDFYcHkwWlI1TGxmaVYwblYta3o3dE84T0sxMC1LR256YlJyaUJMR3l0dUI4T09uNkJ6NGJxMmllb3RFTU1PUjlwYUTSAZoCQVVfeXFMTzJZZUZPUzY0dlhVdWh0TkdsQ3ZWMUc5S0NBcDV1emVUQ1d5STA0Q1B5WEZVbk4yTUd1ci1oQnpMbVJjLUN5enRVZ3hhTnItTGJGdGZLbWItcVJkcTJfX0pZdnNRRTE2dVdQOGEzTDVhVmFuc3ZiTTNIbzdpUjlOTXN5Z1F6T0EwT1E3alU3Q0tnN0F4R2tIOXNpX0JTbEViLXJmUzlQeGVVbkoxUU04OW9RMjh5UERsclRkRGQxdTF4UjFEN2s5Tm9PYnhMLWZRem9ydnk5S29pUW90OXpqelNwLVVFWGpmU0gzaG8wVy00ekxzZWtwUmlQQkp6Y0dFd1lBRGUzSjBURk5JX08zQjFPdGxtZThxTkdn?oc=5"" target=""_blank"">कल का मौसम : 36 घंटे होगी आफत की बरसात! आंधी-तूफान संग होगा वज्रपात; मौसम विभाग का ऑरेंज अलर्ट</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now Navbharat</font>",Disaster,hi
"'सैयारा' के तूफान के बीच चुपके से आई मूवी, 327 करोड़ कमाकर धराशाई किए रिकॉर्ड, अब फ्री में देखने का मौका - News18 Hindi",https://news.google.com/rss/articles/CBMizgJBVV95cUxNQW5TdWE5LV9xaWVDeHg5Z2NTQzI0OXlzYW1QUGpuUkdtb0RGVGpqY1JDMF9GMmt2eGx0Y2pEc1lOc2d6R2xLTzRzNEdSdlRhUzRyUkJOS1VlQVZlTGJTZ0xHcTR1d0pMSFZ2bW9udlNkWXJJanM2VTJvMGhuVzNqd0ZMUzdHVk5YVlVwWWI4M25SNnYtblEyRHFsX2JRdjBrNVR6MjVRQ0FBcTVfZjJtLUNqN29KQThZREk3d2NoSHBaT2djVWFzRU5Fcm9yYXZFNFVkZTJFbEl2TV9vM1pHLXV4MV96Z21nOFVCdzJhcXprY252aF9ick15VGxuNHMzb2EzOHRDaFdUSjRwWHVfWmJYWTVyQTZoRERPTWpOb3M2dWtZVVVULXFqSG9VNzhxRTN0N2dIcVRubnFvU0NWckJVeDBocU01NmgyVEln0gHOAkFVX3lxTE1BblN1YTktX3FpZUN4eDlnY1NDMjQ5eXNhbVBQam5SR21vREZUampjUkMwX0Yya3Z4bHRjakRzWU5zZ3pHbEtPNHM0R1J2VGFTNHJSQk5LVWVBVmVMYlNnTEdxNHV3SkxIVnZtb252U2RZcklqczZVMm8waG5XM2p3RkxTN0dWTlhWVXBZYjgzblI2di1uUTJEcWxfYlF2MGs1VHoyNVFDQUFxNV9mMm0tQ2o3b0pBOFlESTd3Y2hIcFpPZ2NVYXNFTkVyb3JhdkU0VWRlMkVsSXZNX28zWkctdXgxX3pnbWc4VUJ3MmFxemtjbnZoX2JyTXlUbG40czNvYTM4dENoV1RKNHBYdV9aYlhZNXJBNmhERE9Nak5vczZ1a1lVVVQtcWpIb1U3OHFFM3Q3Z0hxVG5ucW9TQ1ZyQlV4MGhxTTU2aDJUSWc?oc=5,2026-01-23 17:24:35,News18 Hindi,"<a href=""https://news.google.com/rss/articles/CBMizgJBVV95cUxNQW5TdWE5LV9xaWVDeHg5Z2NTQzI0OXlzYW1QUGpuUkdtb0RGVGpqY1JDMF9GMmt2eGx0Y2pEc1lOc2d6R2xLTzRzNEdSdlRhUzRyUkJOS1VlQVZlTGJTZ0xHcTR1d0pMSFZ2bW9udlNkWXJJanM2VTJvMGhuVzNqd0ZMUzdHVk5YVlVwWWI4M25SNnYtblEyRHFsX2JRdjBrNVR6MjVRQ0FBcTVfZjJtLUNqN29KQThZREk3d2NoSHBaT2djVWFzRU5Fcm9yYXZFNFVkZTJFbEl2TV9vM1pHLXV4MV96Z21nOFVCdzJhcXprY252aF9ick15VGxuNHMzb2EzOHRDaFdUSjRwWHVfWmJYWTVyQTZoRERPTWpOb3M2dWtZVVVULXFqSG9VNzhxRTN0N2dIcVRubnFvU0NWckJVeDBocU01NmgyVEln0gHOAkFVX3lxTE1BblN1YTktX3FpZUN4eDlnY1NDMjQ5eXNhbVBQam5SR21vREZUampjUkMwX0Yya3Z4bHRjakRzWU5zZ3pHbEtPNHM0R1J2VGFTNHJSQk5LVWVBVmVMYlNnTEdxNHV3SkxIVnZtb252U2RZcklqczZVMm8waG5XM2p3RkxTN0dWTlhWVXBZYjgzblI2di1uUTJEcWxfYlF2MGs1VHoyNVFDQUFxNV9mMm0tQ2o3b0pBOFlESTd3Y2hIcFpPZ2NVYXNFTkVyb3JhdkU0VWRlMkVsSXZNX28zWkctdXgxX3pnbWc4VUJ3MmFxemtjbnZoX2JyTXlUbG40czNvYTM4dENoV1RKNHBYdV9aYlhZNXJBNmhERE9Nak5vczZ1a1lVVVQtcWpIb1U3OHFFM3Q3Z0hxVG5ucW9TQ1ZyQlV4MGhxTTU2aDJUSWc?oc=5"" target=""_blank"">'सैयारा' के तूफान के बीच चुपके से आई मूवी, 327 करोड़ कमाकर धराशाई किए रिकॉर्ड, अब फ्री में देखने का मौका</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18 Hindi</font>",Disaster,hi
नई दिल्ली में आज का मौसम | New Delhi Weather Today - Navbharat Times,https://news.google.com/rss/articles/CBMid0FVX3lxTE1ILTNUY3lwT1hzbzd5VkI5LWpua253amxGZTY0U21OZmRLQkxROGJnbjBiWGJBUzNSa1Q3cU03R19xWjJENE92czBYM2N2UnJlaWpyUVpNWlNsUmtqZWxyZjY5TWRVZEVlWmkzaFZQQjF4elo5cHg4?oc=5,2026-01-24 06:52:00,Navbharat Times,"<a href=""https://news.google.com/rss/articles/CBMid0FVX3lxTE1ILTNUY3lwT1hzbzd5VkI5LWpua253amxGZTY0U21OZmRLQkxROGJnbjBiWGJBUzNSa1Q3cU03R19xWjJENE92czBYM2N2UnJlaWpyUVpNWlNsUmtqZWxyZjY5TWRVZEVlWmkzaFZQQjF4elo5cHg4?oc=5"" target=""_blank"">नई दिल्ली में आज का मौसम | New Delhi Weather Today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Navbharat Times</font>",Disaster,hi
"PHOTOS: सर्दी की पहली बारिश से दिल्ली में भीषण जाम, सड़कों पर भरा पानी; ऑफिस वालों की बढ़ी टेंशन - jagran.com",https://news.google.com/rss/articles/CBMixgFBVV95cUxNNWZGbVM3cmdpbDBTbURrTkRFcXptSGVOLVRJaERRa3hmdVhmbXY1STk2NHdOcDVvM3RTRFpZUGs0bzVwU3MzNWNUdDdMQ2taWFpKellLM2NTSS1VdktEdGpFT1lDT2FpUWg3eHpndFVuLW9YOWZsNlZGdVR5ZVktNVExRjN3aktzbmJyelhsOWhOY2c1Q21iWk10RzNDNF9FeEdkZllKZVA2VEtkSHVwRFZjUXlFSHVPYjZqQVRyYmlXSVVHZlE?oc=5,2026-01-23 11:32:00,jagran.com,"<a href=""https://news.google.com/rss/articles/CBMixgFBVV95cUxNNWZGbVM3cmdpbDBTbURrTkRFcXptSGVOLVRJaERRa3hmdVhmbXY1STk2NHdOcDVvM3RTRFpZUGs0bzVwU3MzNWNUdDdMQ2taWFpKellLM2NTSS1VdktEdGpFT1lDT2FpUWg3eHpndFVuLW9YOWZsNlZGdVR5ZVktNVExRjN3aktzbmJyelhsOWhOY2c1Q21iWk10RzNDNF9FeEdkZllKZVA2VEtkSHVwRFZjUXlFSHVPYjZqQVRyYmlXSVVHZlE?oc=5"" target=""_blank"">PHOTOS: सर्दी की पहली बारिश से दिल्ली में भीषण जाम, सड़कों पर भरा पानी; ऑफिस वालों की बढ़ी टेंशन</a>&nbsp;&nbsp;<font color=""#6f6f6f"">jagran.com</font>",Disaster,hi
गुरुग्राम कादीपुर रोड: सीवर पाइपों से ठप यातायात...धूल मलबे में फंसी सड़क - Amar Ujala,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNNkFYYzlJUnFFeW5Ma0EzU1FGTHk0NzRUVUVUd0o1cXZtX0tid0Y0NlBtZFFJNElyZTZSdHNZWThHdEpsc3dFVzNvWnplMFpZTGQyTk9FYVRmVjNGOGFneW14WVFZbFgxdzNvUW9fSkdPQ2Fkd3ozRE1UdjI1OTY1RWN1aUJORTY5WkVXSXRyQ1VwLWRRYnZUdlNqNlhlTFBVWTBWNFJuSHdmYVFkcTV2RDl2ZnNmV0dUUk9ya2M5azRKdUFfXzVfMmpneTd1VjUtRWVUcFZn0gHbAUFVX3lxTFBRMDZaU1ZISWJzcU1lUDFOM0xlclVGRzlBNDM5eWNNU0JJZmNuQlpQS2I0eHdtbWFIa1Jqc25lMnpCUUp0UXpTdlM3emR4TUN4eHotMGkzOW1nX2hURWZMcnkzQkcwSWFIUEdEUk5LQzM5cjctTWNFLUprT0g2WEJsZEYwSjYwNTFuMVFZTk53d3hUZlo3b1RaRC1XWUtDMUtKUklMcUJGMEctaUpnUHIwbHdFZ091SlZiVHQzRDliUVhjb0NZN3hDWEVVUV8wa094YVI2dWxXWUdKZw?oc=5,2026-01-23 16:45:49,Amar Ujala,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxNNkFYYzlJUnFFeW5Ma0EzU1FGTHk0NzRUVUVUd0o1cXZtX0tid0Y0NlBtZFFJNElyZTZSdHNZWThHdEpsc3dFVzNvWnplMFpZTGQyTk9FYVRmVjNGOGFneW14WVFZbFgxdzNvUW9fSkdPQ2Fkd3ozRE1UdjI1OTY1RWN1aUJORTY5WkVXSXRyQ1VwLWRRYnZUdlNqNlhlTFBVWTBWNFJuSHdmYVFkcTV2RDl2ZnNmV0dUUk9ya2M5azRKdUFfXzVfMmpneTd1VjUtRWVUcFZn0gHbAUFVX3lxTFBRMDZaU1ZISWJzcU1lUDFOM0xlclVGRzlBNDM5eWNNU0JJZmNuQlpQS2I0eHdtbWFIa1Jqc25lMnpCUUp0UXpTdlM3emR4TUN4eHotMGkzOW1nX2hURWZMcnkzQkcwSWFIUEdEUk5LQzM5cjctTWNFLUprT0g2WEJsZEYwSjYwNTFuMVFZTk53d3hUZlo3b1RaRC1XWUtDMUtKUklMcUJGMEctaUpnUHIwbHdFZ091SlZiVHQzRDliUVhjb0NZN3hDWEVVUV8wa094YVI2dWxXWUdKZw?oc=5"" target=""_blank"">गुरुग्राम कादीपुर रोड: सीवर पाइपों से ठप यातायात...धूल मलबे में फंसी सड़क</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Amar Ujala</font>",Disaster,hi
"Weather Alert: ठंड के बीच बारिश, Delhi-NCR में तेज हवाएं - teztarrar.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxONU9JN1hIUWlNMDR4dktGTGJ6RVpRX0w1RllpWGJIZm9SdFdiNTZYUFFNSXlvTlRaZ194NHZkeDN5NU9RZ2x6T1lLcTEzX1ZFTHFVRjE3UFp0LTZhSzczb0t5eHhFQXExb3FQNjd5RkRabjBiRW5OTDJKeWYyWS1jVW9weW9zX3o3SnZUN1Q5TEV3akU?oc=5,2026-01-23 12:22:00,teztarrar.com,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxONU9JN1hIUWlNMDR4dktGTGJ6RVpRX0w1RllpWGJIZm9SdFdiNTZYUFFNSXlvTlRaZ194NHZkeDN5NU9RZ2x6T1lLcTEzX1ZFTHFVRjE3UFp0LTZhSzczb0t5eHhFQXExb3FQNjd5RkRabjBiRW5OTDJKeWYyWS1jVW9weW9zX3o3SnZUN1Q5TEV3akU?oc=5"" target=""_blank"">Weather Alert: ठंड के बीच बारिश, Delhi-NCR में तेज हवाएं</a>&nbsp;&nbsp;<font color=""#6f6f6f"">teztarrar.com</font>",Disaster,hi
"बारिश और ठंड भी नहीं डिगा सकी जोश, कर्तव्य पथ पर भीगते हुए रिहर्सल देखने पहुंचे लोग - Hindustan",https://news.google.com/rss/articles/CBMi2gFBVV95cUxQYmRWcS1ZX0VhR296VU5idFdscDVUeks4X2s3UEZtNmVtdS1OT1A4MmRQWXkzWURzYkhaQVZ3eXYycFBmaEVVSXdhQjE2UXMzdmxQVnpGQWVoRG1TLWp6eVlncEIyZ0phOFY5RllhN0lfYmZVN0FPOC1xRXNocmpEdmZTYWdQNlg3NDZ6bk9icmxMekdFdHAwNzhwRFg4S2ZzR0x2UFMwWVo5SkxPRnZUdHcwNHdIRi1EVnRqeVdKTlplZDVYV1JHSFBIQnctVDg3bklWS1M1YVpBQdIB2gFBVV95cUxQYmRWcS1ZX0VhR296VU5idFdscDVUeks4X2s3UEZtNmVtdS1OT1A4MmRQWXkzWURzYkhaQVZ3eXYycFBmaEVVSXdhQjE2UXMzdmxQVnpGQWVoRG1TLWp6eVlncEIyZ0phOFY5RllhN0lfYmZVN0FPOC1xRXNocmpEdmZTYWdQNlg3NDZ6bk9icmxMekdFdHAwNzhwRFg4S2ZzR0x2UFMwWVo5SkxPRnZUdHcwNHdIRi1EVnRqeVdKTlplZDVYV1JHSFBIQnctVDg3bklWS1M1YVpBQQ?oc=5,2026-01-23 10:58:36,Hindustan,"<a href=""https://news.google.com/rss/articles/CBMi2gFBVV95cUxQYmRWcS1ZX0VhR296VU5idFdscDVUeks4X2s3UEZtNmVtdS1OT1A4MmRQWXkzWURzYkhaQVZ3eXYycFBmaEVVSXdhQjE2UXMzdmxQVnpGQWVoRG1TLWp6eVlncEIyZ0phOFY5RllhN0lfYmZVN0FPOC1xRXNocmpEdmZTYWdQNlg3NDZ6bk9icmxMekdFdHAwNzhwRFg4S2ZzR0x2UFMwWVo5SkxPRnZUdHcwNHdIRi1EVnRqeVdKTlplZDVYV1JHSFBIQnctVDg3bklWS1M1YVpBQdIB2gFBVV95cUxQYmRWcS1ZX0VhR296VU5idFdscDVUeks4X2s3UEZtNmVtdS1OT1A4MmRQWXkzWURzYkhaQVZ3eXYycFBmaEVVSXdhQjE2UXMzdmxQVnpGQWVoRG1TLWp6eVlncEIyZ0phOFY5RllhN0lfYmZVN0FPOC1xRXNocmpEdmZTYWdQNlg3NDZ6bk9icmxMekdFdHAwNzhwRFg4S2ZzR0x2UFMwWVo5SkxPRnZUdHcwNHdIRi1EVnRqeVdKTlplZDVYV1JHSFBIQnctVDg3bklWS1M1YVpBQQ?oc=5"" target=""_blank"">बारिश और ठंड भी नहीं डिगा सकी जोश, कर्तव्य पथ पर भीगते हुए रिहर्सल देखने पहुंचे लोग</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan</font>",Disaster,hi
"Border 2 Review: सिनेमाघरों में सनी देओल का तूफान, ‘बॉर्डर 2’ देख रो पड़े फैंस, जानिए कैसी है फिल्म - rightnewsindia.com",https://news.google.com/rss/articles/CBMipgFBVV95cUxPVkZsZXBkT0U2UmtSWWZkZWJoQl9QLVBjZ0pFOE5EVFIwNTR1Z3RZcmROempydzZld0d0QWJoZWRZZVdzX3EyNDBWT1owRV9yYl9reUdZbFktUlpzMmhGWE94SWQwd1Vvd0tpYlVBRG9PWVZ6LTJvMXZ6YWZxVEJkZnZGVllVSldRSlM0dUhIUDlqVjFNa0pZUGhjVzlZcmlISjZCMmdR?oc=5,2026-01-23 12:54:53,rightnewsindia.com,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxPVkZsZXBkT0U2UmtSWWZkZWJoQl9QLVBjZ0pFOE5EVFIwNTR1Z3RZcmROempydzZld0d0QWJoZWRZZVdzX3EyNDBWT1owRV9yYl9reUdZbFktUlpzMmhGWE94SWQwd1Vvd0tpYlVBRG9PWVZ6LTJvMXZ6YWZxVEJkZnZGVllVSldRSlM0dUhIUDlqVjFNa0pZUGhjVzlZcmlISjZCMmdR?oc=5"" target=""_blank"">Border 2 Review: सिनेमाघरों में सनी देओल का तूफान, ‘बॉर्डर 2’ देख रो पड़े फैंस, जानिए कैसी है फिल्म</a>&nbsp;&nbsp;<font color=""#6f6f6f"">rightnewsindia.com</font>",Disaster,hi
