Title,Link,Date,Source,Summary,Term,LanguageQueried
"Delhi Weather: Cloudy Skies, High Humidity and Scattered Rainfall Expected Through the Day - urbanacres.in",https://news.google.com/rss/articles/CBMisAFBVV95cUxNbUNBenFwNEd6Y1RYRVpVT2ctZlRNSWpoUVRMaWNKb0dfdFlWSzBpTTdtQUtXdmh5ZXFHV2prakIzOXA5T3pRWHV5T0pXSERldkU2S19IbTVtZ0lOVmUyeUs1eVRQVTI3M0hLNk5nVFEteDlfb3pLNko4bEZEOWlxQTREYl9sUll4cDlXLUpMZ0MxYmNyTUVZQ1NPY19YUGZ5WjlPa29NQlBaaGJZZlpwNA?oc=5,2025-07-17 09:03:07,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMisAFBVV95cUxNbUNBenFwNEd6Y1RYRVpVT2ctZlRNSWpoUVRMaWNKb0dfdFlWSzBpTTdtQUtXdmh5ZXFHV2prakIzOXA5T3pRWHV5T0pXSERldkU2S19IbTVtZ0lOVmUyeUs1eVRQVTI3M0hLNk5nVFEteDlfb3pLNko4bEZEOWlxQTREYl9sUll4cDlXLUpMZ0MxYmNyTUVZQ1NPY19YUGZ5WjlPa29NQlBaaGJZZlpwNA?oc=5"" target=""_blank"">Delhi Weather: Cloudy Skies, High Humidity and Scattered Rainfall Expected Through the Day</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Heatwave,en
"Delhi parks 10°C cooler, but 8 out of 10 parks lack water, gates shut during peak heat hours - Times of India",https://news.google.com/rss/articles/CBMi9AFBVV95cUxOcXo0OTNzODVJQjhJNkxMX0pscURsZzJhOUo5YnJQeGl4dnhJaHBkR1FOaGRfeDVSZGtMLTgta1FZemNHenFEak5ndEZfVGdkcDJLNTJ5Wi1Vd2EtRXV1Y0FqdTFSNkRCWEJDVVhLVUdfRDVHMnJwSXpOdXZReTlsQXJad0lLZHVjaU9zVXdVUW5OQk5MaW5PYTZOMlV5VTdNa0lwREp3Vndua0l5WmlBaUR0bjJoWnV2RXJ1Y2piVno4dmZFSWtPb09vRFZRS29kZlY5aU1iQkZyQkVSQ0ZDR2d3NU5NLU5XWGh6WmZSYjkzNmtF0gH6AUFVX3lxTE5KT2IydXJic05kRFoyTEFZTEVfMFQwS2RDWnNTUlEtWUFwMTNITmwyY0ljam9KTlNlQ3pWb05BcDc5dUhEMGszQVlCZm5HX193LW1ITG5NWlAxVV9Ed01zV1ZmUXlpOEZRczNIRlY5Ul9lUFpVb21idWtKM0c1ZEZvUWtBWl9keUVaWTU2dzZNaF9LM1VoMUtQNzBEc2V6MXJKbmxhdmllZW9PRW93blNrcEZGZFR6b2xidUNuc1A4eURoc2Q5UTFEOWZIUTJYazF3VHFkUE1EY0hCeWVJQXkxaWhVelpjQVlyLXltZDE4bEJON0EtWGFleEE?oc=5,2025-07-16 16:15:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxOcXo0OTNzODVJQjhJNkxMX0pscURsZzJhOUo5YnJQeGl4dnhJaHBkR1FOaGRfeDVSZGtMLTgta1FZemNHenFEak5ndEZfVGdkcDJLNTJ5Wi1Vd2EtRXV1Y0FqdTFSNkRCWEJDVVhLVUdfRDVHMnJwSXpOdXZReTlsQXJad0lLZHVjaU9zVXdVUW5OQk5MaW5PYTZOMlV5VTdNa0lwREp3Vndua0l5WmlBaUR0bjJoWnV2RXJ1Y2piVno4dmZFSWtPb09vRFZRS29kZlY5aU1iQkZyQkVSQ0ZDR2d3NU5NLU5XWGh6WmZSYjkzNmtF0gH6AUFVX3lxTE5KT2IydXJic05kRFoyTEFZTEVfMFQwS2RDWnNTUlEtWUFwMTNITmwyY0ljam9KTlNlQ3pWb05BcDc5dUhEMGszQVlCZm5HX193LW1ITG5NWlAxVV9Ed01zV1ZmUXlpOEZRczNIRlY5Ul9lUFpVb21idWtKM0c1ZEZvUWtBWl9keUVaWTU2dzZNaF9LM1VoMUtQNzBEc2V6MXJKbmxhdmllZW9PRW93blNrcEZGZFR6b2xidUNuc1A4eURoc2Q5UTFEOWZIUTJYazF3VHFkUE1EY0hCeWVJQXkxaWhVelpjQVlyLXltZDE4bEJON0EtWGFleEE?oc=5"" target=""_blank"">Delhi parks 10°C cooler, but 8 out of 10 parks lack water, gates shut during peak heat hours</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"On super hot days, this insurance plan pays out cash for lost wages - NPR",https://news.google.com/rss/articles/CBMirwFBVV95cUxOMWRyOFBtdXV1cmR6aTBqUUt5R0FfRjNGdGtGYkphTFJkYkhTcUhseFR5ZTFPRzhfejQyRmt4UVI0d2tvNDlqS0xPZDNlWlpDbXZNZ1FKUENxdU1tTUNLTUFCWmRXal9BZzF1aG00bHNTdXg5NHNhVTFzd1Q1TGNSSGtfZFNDM1lrX0NJVERDR1EwSXpLSzdPaVRtVXBWZDlzN0FzNG95SC1oX1VRbV9r?oc=5,2025-07-16 19:16:56,NPR,"<a href=""https://news.google.com/rss/articles/CBMirwFBVV95cUxOMWRyOFBtdXV1cmR6aTBqUUt5R0FfRjNGdGtGYkphTFJkYkhTcUhseFR5ZTFPRzhfejQyRmt4UVI0d2tvNDlqS0xPZDNlWlpDbXZNZ1FKUENxdU1tTUNLTUFCWmRXal9BZzF1aG00bHNTdXg5NHNhVTFzd1Q1TGNSSGtfZFNDM1lrX0NJVERDR1EwSXpLSzdPaVRtVXBWZDlzN0FzNG95SC1oX1VRbV9r?oc=5"" target=""_blank"">On super hot days, this insurance plan pays out cash for lost wages</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NPR</font>",Heatwave,en
"Weather Update: Heavy Rainfall Likely in Delhi, Bihar, Rajasthan, Kerala and Other States Amid Active Monsoon - Krishi Jagran",https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV25udThvZnh1Uy03alR1TEV0UXZBWlpyRFZ2TzkxdGJqUVhVOHE2T1hRbVRzanpZRko4czF6Z1BaT2RRRlROa1RvWFdJWERjWDZVSTNZWW92T0RrTzc1U3JhUmhfeVl0clAxRDUtTkFkU05NaFpUMWxhckRKWThsWDFiM1U3QUIwY1hrZlJISFZCNDVaYUpndGxqSGxxYVlNSEVnNXJBLTRublJYLThiOW5GVk4tZmVrMU03bW00R0Q4bEljcUpxUHR1NDdydVNLakp3eHJoUVkxTkpqNjVsUg?oc=5,2025-07-17 06:37:45,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi4AFBVV95cUxQV25udThvZnh1Uy03alR1TEV0UXZBWlpyRFZ2TzkxdGJqUVhVOHE2T1hRbVRzanpZRko4czF6Z1BaT2RRRlROa1RvWFdJWERjWDZVSTNZWW92T0RrTzc1U3JhUmhfeVl0clAxRDUtTkFkU05NaFpUMWxhckRKWThsWDFiM1U3QUIwY1hrZlJISFZCNDVaYUpndGxqSGxxYVlNSEVnNXJBLTRublJYLThiOW5GVk4tZmVrMU03bW00R0Q4bEljcUpxUHR1NDdydVNLakp3eHJoUVkxTkpqNjVsUg?oc=5"" target=""_blank"">Weather Update: Heavy Rainfall Likely in Delhi, Bihar, Rajasthan, Kerala and Other States Amid Active Monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran</font>",Heatwave,en
"Rain lashes several parts of Srinagar city, bringing respite from heat and humidity - MSN",https://news.google.com/rss/articles/CBMiywFBVV95cUxNM0ZiZ0ZTdm0tNGkyaldKcDAzSUNYelJDdlU3WGhUNTVLdlhkUG1KSldodFdhY1BkSE51amJnSy1JLW1pLWRGbzR5QUZPd0lEd05LSUdUbWlaeFdvc1N5cmpieHI5ck1DX2FvUUVuSXV3SHRZV2tyaWdEbGZwZ3pkaEVDOWpmRUZGeXRpQjB2aW40WFU4cHR6cEpjN0xYUlN3aWR4ekR0X210eTB0bDlmS1dXZmRHT191ZlFhVk9hR2JBTURzNlRxTGExaw?oc=5,2025-07-17 01:15:41,MSN,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNM0ZiZ0ZTdm0tNGkyaldKcDAzSUNYelJDdlU3WGhUNTVLdlhkUG1KSldodFdhY1BkSE51amJnSy1JLW1pLWRGbzR5QUZPd0lEd05LSUdUbWlaeFdvc1N5cmpieHI5ck1DX2FvUUVuSXV3SHRZV2tyaWdEbGZwZ3pkaEVDOWpmRUZGeXRpQjB2aW40WFU4cHR6cEpjN0xYUlN3aWR4ekR0X210eTB0bDlmS1dXZmRHT191ZlFhVk9hR2JBTURzNlRxTGExaw?oc=5"" target=""_blank"">Rain lashes several parts of Srinagar city, bringing respite from heat and humidity</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Virus, dust, uncomfortable heat bringing post-rain health woes - Times of India",https://news.google.com/rss/articles/CBMizwFBVV95cUxPVUdJYWFpSzFVSmh4WGdwcmczdmh4Mm43UUt4S1I3Q0JUR2NzcTRvczhrWHdfdFZvdE1kcmJMbGRlNlI5a1c5MzU5bG5JWkFiZGlKbkxmeXVsSXpsd2lUT1FNSV9CUVk4YXQ4MktJUTRmWk51c295M3JlWU1jczdzcVkweXBOY2RCa01kSElTU2d1SkV5X0l3YXNIRXZxUXhTcC1uVzY1dU0xT2p1ZS00TFQxNTZHbHdQVkZ2bXJ1bjc3WjdtRDlMaXBUajhlQlHSAdQBQVVfeXFMTS1haVB2NWNKb2FXMDBNQWQ5bnpua29COHZiQ1lHcTBWRGN6am5CenhFRWhPSS05blJIRDVrbzkzaW1QcEhwT3Z3US0wdGoxRUUtV2hHTFU5Z0Y2MVMyUy13ZldXRGV5N2gzVUFKaUxTUGJkMWJkVVRtZDBSM2Y3R3RlMUUyUGFDNFNWdVJ0ZW9BenhKUDdCb01nNmVFeHVrS0VKUEpZc1pCVTFoV3FPOGJXR1dYdG5IR1V3cjJjdFJIR2h4RDluc3h3UkpWX2d6WVFDZU4?oc=5,2025-07-17 00:28:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxPVUdJYWFpSzFVSmh4WGdwcmczdmh4Mm43UUt4S1I3Q0JUR2NzcTRvczhrWHdfdFZvdE1kcmJMbGRlNlI5a1c5MzU5bG5JWkFiZGlKbkxmeXVsSXpsd2lUT1FNSV9CUVk4YXQ4MktJUTRmWk51c295M3JlWU1jczdzcVkweXBOY2RCa01kSElTU2d1SkV5X0l3YXNIRXZxUXhTcC1uVzY1dU0xT2p1ZS00TFQxNTZHbHdQVkZ2bXJ1bjc3WjdtRDlMaXBUajhlQlHSAdQBQVVfeXFMTS1haVB2NWNKb2FXMDBNQWQ5bnpua29COHZiQ1lHcTBWRGN6am5CenhFRWhPSS05blJIRDVrbzkzaW1QcEhwT3Z3US0wdGoxRUUtV2hHTFU5Z0Y2MVMyUy13ZldXRGV5N2gzVUFKaUxTUGJkMWJkVVRtZDBSM2Y3R3RlMUUyUGFDNFNWdVJ0ZW9BenhKUDdCb01nNmVFeHVrS0VKUEpZc1pCVTFoV3FPOGJXR1dYdG5IR1V3cjJjdFJIR2h4RDluc3h3UkpWX2d6WVFDZU4?oc=5"" target=""_blank"">Virus, dust, uncomfortable heat bringing post-rain health woes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
How Astronaut Shubhanshu Shukla Survived 2000°C Fireball | Explained - News18,https://news.google.com/rss/articles/CBMiswFBVV95cUxOTE10bDdNNGExU2NvNHhJb0tCaV95dlhZWUx1aF9Ydk9lY09yZC01blVyRk5kR2xTRFo2bzFLdDI0UUhZZ3AyTV9GekFPMzhjMkFZRmdvREFqYW9TOUFwRWR1MjBMUWRub0NNQ1NNSjZXVWhZWXFGbHM1M3QteS1GZDFBWFAxZ21TZGxHMmlpYnRXMU1wdGtPNEg5dng1THNBYXVCZFBxeWpJazl1Q0xsVmk5RdIBuAFBVV95cUxOLVY1RXEyTmxEdHNPWFVBYWtWWEdvaDVoRkUyZmVMT2NEcTgyazdSR0NkZWE0empnR3R1bk50OWdNVGNVNGhUejBVNGdxdS1CQnJTZFE2a0d4OFVKdHJjQmcyQXJNdzNycmRlWllEYVRNY2VYaGZzUU5sNVpyN1R3UW5yc1hlNm03enZ0bWR0emtqaFZWaTdFMTc1Tlc1a3F0TGJhOFdSeU5hMDhLUkhIY0JMQnVRSmZE?oc=5,2025-07-16 15:21:17,News18,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxOTE10bDdNNGExU2NvNHhJb0tCaV95dlhZWUx1aF9Ydk9lY09yZC01blVyRk5kR2xTRFo2bzFLdDI0UUhZZ3AyTV9GekFPMzhjMkFZRmdvREFqYW9TOUFwRWR1MjBMUWRub0NNQ1NNSjZXVWhZWXFGbHM1M3QteS1GZDFBWFAxZ21TZGxHMmlpYnRXMU1wdGtPNEg5dng1THNBYXVCZFBxeWpJazl1Q0xsVmk5RdIBuAFBVV95cUxOLVY1RXEyTmxEdHNPWFVBYWtWWEdvaDVoRkUyZmVMT2NEcTgyazdSR0NkZWE0empnR3R1bk50OWdNVGNVNGhUejBVNGdxdS1CQnJTZFE2a0d4OFVKdHJjQmcyQXJNdzNycmRlWllEYVRNY2VYaGZzUU5sNVpyN1R3UW5yc1hlNm03enZ0bWR0emtqaFZWaTdFMTc1Tlc1a3F0TGJhOFdSeU5hMDhLUkhIY0JMQnVRSmZE?oc=5"" target=""_blank"">How Astronaut Shubhanshu Shukla Survived 2000°C Fireball | Explained</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Heatwave,en
"Heat advisory issued for Broome, Tioga counties. How hot will it get Wednesday? - Press & Sun-Bulletin",https://news.google.com/rss/articles/CBMirgFBVV95cUxQQTR3QXJ2VHQ2aEpIcE8xNDJQblI4d0YxbjVNVnNlcmExWXpvNkxNU24tVXIybVdvUVF4Vm1nM3VVU19BNTdLMlVReEJaZ25rVzZhMTBUbHRnU0FjQ3Bnc0VkZHJOWkoyUTd2OS10Rklrd0hkZkRQWnRLUjktTlg0eXI4dzVhRXpsQlpNMU0wR1d1ZkwteE1MVVB1cHc3UnhYVlBTdG05czRUb1hHT0E?oc=5,2025-07-16 20:47:06,Press & Sun-Bulletin,"<a href=""https://news.google.com/rss/articles/CBMirgFBVV95cUxQQTR3QXJ2VHQ2aEpIcE8xNDJQblI4d0YxbjVNVnNlcmExWXpvNkxNU24tVXIybVdvUVF4Vm1nM3VVU19BNTdLMlVReEJaZ25rVzZhMTBUbHRnU0FjQ3Bnc0VkZHJOWkoyUTd2OS10Rklrd0hkZkRQWnRLUjktTlg0eXI4dzVhRXpsQlpNMU0wR1d1ZkwteE1MVVB1cHc3UnhYVlBTdG05czRUb1hHT0E?oc=5"" target=""_blank"">Heat advisory issued for Broome, Tioga counties. How hot will it get Wednesday?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Press & Sun-Bulletin</font>",Heatwave,en
Cool solution - Borneo Bulletin,https://news.google.com/rss/articles/CBMiV0FVX3lxTE5KbndobS00cjBqeGw5Rm5HWEVDWWl5YVhSVklNYUFiZVU3Zmd6cmVoeFhISHB4N05jYWU0NVhzVDliME4zYWZBNzNwRjdXc2o1dHM0Wmpvdw?oc=5,2025-07-17 04:31:23,Borneo Bulletin,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE5KbndobS00cjBqeGw5Rm5HWEVDWWl5YVhSVklNYUFiZVU3Zmd6cmVoeFhISHB4N05jYWU0NVhzVDliME4zYWZBNzNwRjdXc2o1dHM0Wmpvdw?oc=5"" target=""_blank"">Cool solution</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Borneo Bulletin</font>",Heatwave,en
Monsoon: A Time Of Relief But Also Challenges Here Is Everything You Need To Know - NewsX,https://news.google.com/rss/articles/CBMitwFBVV95cUxPUWw3cXlNTDFQRkI5ZlFwUzRKaFVfVHMxUDNVQ2lIbW5xbWNQSzF3U0lxeGg4cm5PdzViUDVuN1pxTDEzNl9vSTluTm9sR3FLcWRGQ1BNTGtOQ1F1U2FnbEprU19BdXM0a25nUjFaQXVHdU10dDh3M3pWd1MzSzZqWFRzdl83VTlYRXN4V3RMWFI1dmtReHJxT0VDSmhxZEpfMzR2Ym1DSXZYb29sSGhRNzJ0WUlBLWPSAbwBQVVfeXFMTnVJSDdqTi1iQnAtbWhPVllCVUNlMjVFVE9tb0tTeVNldmJXdWFoMTNEaklqd2Z6eU5TVHEzMTlhSVRsNEtvbnBUZ3JXQWJiRm9GaFQxTE55Ym9aTlJqWXZ4NVN3QWRmWEJhMGwtMVYwY29jbEo2UFFPelIxRUhPSE1xd2h4VmptMWJTSVpZY1p4cmp4VlRDVGRHWEtVNUQ0akRpc3RLeDBSdXpDcTA1YUh5OE1LM2hIUEgzNno?oc=5,2025-07-16 16:40:29,NewsX,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxPUWw3cXlNTDFQRkI5ZlFwUzRKaFVfVHMxUDNVQ2lIbW5xbWNQSzF3U0lxeGg4cm5PdzViUDVuN1pxTDEzNl9vSTluTm9sR3FLcWRGQ1BNTGtOQ1F1U2FnbEprU19BdXM0a25nUjFaQXVHdU10dDh3M3pWd1MzSzZqWFRzdl83VTlYRXN4V3RMWFI1dmtReHJxT0VDSmhxZEpfMzR2Ym1DSXZYb29sSGhRNzJ0WUlBLWPSAbwBQVVfeXFMTnVJSDdqTi1iQnAtbWhPVllCVUNlMjVFVE9tb0tTeVNldmJXdWFoMTNEaklqd2Z6eU5TVHEzMTlhSVRsNEtvbnBUZ3JXQWJiRm9GaFQxTE55Ym9aTlJqWXZ4NVN3QWRmWEJhMGwtMVYwY29jbEo2UFFPelIxRUhPSE1xd2h4VmptMWJTSVpZY1p4cmp4VlRDVGRHWEtVNUQ0akRpc3RLeDBSdXpDcTA1YUh5OE1LM2hIUEgzNno?oc=5"" target=""_blank"">Monsoon: A Time Of Relief But Also Challenges Here Is Everything You Need To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsX</font>",Heatwave,en
