Title,Link,Date,Source,Summary,Place
Monsoon 2024 update: IMD's weather prediction for October 2024 - Details - MSN,https://news.google.com/rss/articles/CBMiugFBVV95cUxOcjYySFhWanVjRzZtcjdobERsbExiV1VfblZ2bmpFT2VuZFNZTXNmMHprLVZhbERvclFuSTlBeTJOd0pzU0xFNXdtTDl1Wi16bXNFN3JHRTQ0V1BGOFlIaDhITHFvRFlZM3RfUmY1NF8zTWRtc2JwMWNxX3JORmlMODBjNS1JVTlqOUVmRVVzdjA0LUt5dU16OWVNNWVVeEoxVDZpWDRfMW9qM1RDdC1TMHgwcllfNk44ZWc?oc=5,2024-10-22 13:34:49,MSN,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOcjYySFhWanVjRzZtcjdobERsbExiV1VfblZ2bmpFT2VuZFNZTXNmMHprLVZhbERvclFuSTlBeTJOd0pzU0xFNXdtTDl1Wi16bXNFN3JHRTQ0V1BGOFlIaDhITHFvRFlZM3RfUmY1NF8zTWRtc2JwMWNxX3JORmlMODBjNS1JVTlqOUVmRVVzdjA0LUt5dU16OWVNNWVVeEoxVDZpWDRfMW9qM1RDdC1TMHgwcllfNk44ZWc?oc=5"" target=""_blank"">Monsoon 2024 update: IMD's weather prediction for October 2024 - Details</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Bengaluru weather update: All schools and anganwadis closed today, Oct 21, due to heavy rains | Today News - Mint",https://news.google.com/rss/articles/CBMigwJBVV95cUxQbFFMclRSc1dScy02YUVsbkhlU0ozbXA0R05hVUJ3MW1Cck1sN1FESFB2dG9IdGdsd3NadGRZaVV2X2x3dDllM2RzYmxIYzhUTHN6YVFlTHZ4QTJqU1o5V3NpZnNQNURqeXlISWFweU9YSnZxTnQ4cVJnTGU2RlU5V2Q3ejB0VVJQaDB6LVR4QU1wM1FMWDgxYUUwSEpHSVFRY3VqSnhmcnV2ZndLRC1uUmRzMTRoeE5kOFpBWklzOFZObjRCSzhfc0FuUFhZN2Y3T1dNS3B6WWk0cjc3UUt5N05iZ0lmcHVlR3dBOWY2QUZyMnhkMGRJQVdIcHFESHIxOGQ00gGIAkFVX3lxTFBxdS1QSVE4cXlfcmc1V1FweHZWQUljSlBfRWFjNTNwTXVNd1VTOXlZamxqMWl3V05fQjBMOU10OUhjbmZFenlHRjdGRWxHN1VZYnlPNkxuUHRZNHoyQWZCY0JsdHNmWTF2TzIyblZaYUk0ZWdrZ0ZabExIOUZ6VUxUclY4ZFk5Yy1md3RZV0g2NFlaYzBhNkgydHpwOF9Cc18wVU5FMW5qZHAtZmNWenp3SWJYM3N6WHRrZkpHX29tMlAxcmdPWk5OS2hiRDk4ZzV3RVNQbWhBenJpRWZ5SHJMTGVBQV9UTkF3NFlFLVlhSjNaaHhOX0JQM1hGOFlvZmZGbk5SVXdZTQ?oc=5,2024-10-23 09:50:04,Mint,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxQbFFMclRSc1dScy02YUVsbkhlU0ozbXA0R05hVUJ3MW1Cck1sN1FESFB2dG9IdGdsd3NadGRZaVV2X2x3dDllM2RzYmxIYzhUTHN6YVFlTHZ4QTJqU1o5V3NpZnNQNURqeXlISWFweU9YSnZxTnQ4cVJnTGU2RlU5V2Q3ejB0VVJQaDB6LVR4QU1wM1FMWDgxYUUwSEpHSVFRY3VqSnhmcnV2ZndLRC1uUmRzMTRoeE5kOFpBWklzOFZObjRCSzhfc0FuUFhZN2Y3T1dNS3B6WWk0cjc3UUt5N05iZ0lmcHVlR3dBOWY2QUZyMnhkMGRJQVdIcHFESHIxOGQ00gGIAkFVX3lxTFBxdS1QSVE4cXlfcmc1V1FweHZWQUljSlBfRWFjNTNwTXVNd1VTOXlZamxqMWl3V05fQjBMOU10OUhjbmZFenlHRjdGRWxHN1VZYnlPNkxuUHRZNHoyQWZCY0JsdHNmWTF2TzIyblZaYUk0ZWdrZ0ZabExIOUZ6VUxUclY4ZFk5Yy1md3RZV0g2NFlaYzBhNkgydHpwOF9Cc18wVU5FMW5qZHAtZmNWenp3SWJYM3N6WHRrZkpHX29tMlAxcmdPWk5OS2hiRDk4ZzV3RVNQbWhBenJpRWZ5SHJMTGVBQV9UTkF3NFlFLVlhSjNaaHhOX0JQM1hGOFlvZmZGbk5SVXdZTQ?oc=5"" target=""_blank"">Bengaluru weather update: All schools and anganwadis closed today, Oct 21, due to heavy rains | Today News</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font>",
"Latest Bengaluru News Live Updates Today October 22, 2024 : Chilling video shows under-construction building in Bengaluru collapse like a pack of cards - Hindustan Times",https://news.google.com/rss/articles/CBMiygFBVV95cUxQZ2JOT2Y1MXBYb1lxb2M4d2ZyVno0cGdKbTIzTW9JSl9RZVdzMjN0SldfaDVxMDZxVllBRWREYTdETkNwOTZfczdRdXhIa2dURFNjZVpyTWktY0xwU3lrQ2NVN1htY2JKQVhENHlNdzd6aVJXeGtjRFhCWjNSUXFpdFZlZkJobzBTemlvX1h6T3g0UjZWTDJWUjJhQ2EtempPdXJ2QlpEUU9EZzJyZGJtV3JmOEJhQy1kclpMM2lQaTZWdWhJMVI2UU530gHPAUFVX3lxTFBXQ2ZGYS1iekRWMFd4eHJiR29RRU5qdlR6VktBM3o3YWo0bDg0S3dIa09hZWR1bEFGdzcyM1NoaVdsTndKLWtkeGtZZ2NSNE5icWFaOU1fUjhiNzd6enFHaGt2UXI0TlZJYzFtQWFPb2lfNUpTMVdHVXZfc25jVnlZaVFVM25rX1NTSXFPQTU0dmg0R1AydjRoSHVvZkxlTkl3aWZuT0JzaHUxZGlob3psYlpKZzFKcHNOS2lOanVKY0ZUYjI1eFFlS1lPZG45bw?oc=5,2024-10-22 21:17:32,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQZ2JOT2Y1MXBYb1lxb2M4d2ZyVno0cGdKbTIzTW9JSl9RZVdzMjN0SldfaDVxMDZxVllBRWREYTdETkNwOTZfczdRdXhIa2dURFNjZVpyTWktY0xwU3lrQ2NVN1htY2JKQVhENHlNdzd6aVJXeGtjRFhCWjNSUXFpdFZlZkJobzBTemlvX1h6T3g0UjZWTDJWUjJhQ2EtempPdXJ2QlpEUU9EZzJyZGJtV3JmOEJhQy1kclpMM2lQaTZWdWhJMVI2UU530gHPAUFVX3lxTFBXQ2ZGYS1iekRWMFd4eHJiR29RRU5qdlR6VktBM3o3YWo0bDg0S3dIa09hZWR1bEFGdzcyM1NoaVdsTndKLWtkeGtZZ2NSNE5icWFaOU1fUjhiNzd6enFHaGt2UXI0TlZJYzFtQWFPb2lfNUpTMVdHVXZfc25jVnlZaVFVM25rX1NTSXFPQTU0dmg0R1AydjRoSHVvZkxlTkl3aWZuT0JzaHUxZGlob3psYlpKZzFKcHNOS2lOanVKY0ZUYjI1eFFlS1lPZG45bw?oc=5"" target=""_blank"">Latest Bengaluru News Live Updates Today October 22, 2024 : Chilling video shows under-construction building in Bengaluru collapse like a pack of cards</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"100 land deals in first 9 months of 2024, Delhi NCR leads with 32% share - Business Standard",https://news.google.com/rss/articles/CBMi4wFBVV95cUxOWWRINTlUTnY3VE9manE1SHJ0dUFYemR6ZzBiYllUcU9WbFBEeEpHQ05kVGhaU3RNU2lXdGdiVnF5dVY1aUZScFBiM2hFcV9NSF9iZ1RKVEY4azZJMUVLbEhOYkM5ay1yUmNzUUthUk0zX1lZWE9yeGh6TFIwN3F0dDhyaGZzakFTMkpka3g5UEw4Q1B1QXozS3duSE9wMnhIcHc4T3doMWp4cHlFZE03bDhhNFZrX2RBMnR0c0JSY2FFTGIxRkM4eVJzSkRnYUFraDlDVXp6eHNFUW5jSzVSWnhFUdIB6AFBVV95cUxQMGpPdDNOWDAwZ2FvckJ6VjZjREoxbWgzVlVzZDFXYXR4d0x6NmxxaUtZcmZSSzhoY25nN1J2ZkNQa0s0QjRDV1F1c1FpRlI1SGk5UC1WVFoyc3RwN09iTEREbmNYMG9fbXRVOEVJRXA0blBJcXJMMldOLS1Ud3BDNUpvWVpJbDdBX08zbEJYWjJ1N2ktYnh5RGxXNnVWZDRGTnEzamFNTzZTTnBMNE5uNnI0NmxJcmxJX2NTNTVmeVIyY2JENU1KVU5IbTR5Z25yaFFadi05SEtzUVB1OGJwWlNaMUF3Z2hG?oc=5,2024-10-22 13:02:30,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxOWWRINTlUTnY3VE9manE1SHJ0dUFYemR6ZzBiYllUcU9WbFBEeEpHQ05kVGhaU3RNU2lXdGdiVnF5dVY1aUZScFBiM2hFcV9NSF9iZ1RKVEY4azZJMUVLbEhOYkM5ay1yUmNzUUthUk0zX1lZWE9yeGh6TFIwN3F0dDhyaGZzakFTMkpka3g5UEw4Q1B1QXozS3duSE9wMnhIcHc4T3doMWp4cHlFZE03bDhhNFZrX2RBMnR0c0JSY2FFTGIxRkM4eVJzSkRnYUFraDlDVXp6eHNFUW5jSzVSWnhFUdIB6AFBVV95cUxQMGpPdDNOWDAwZ2FvckJ6VjZjREoxbWgzVlVzZDFXYXR4d0x6NmxxaUtZcmZSSzhoY25nN1J2ZkNQa0s0QjRDV1F1c1FpRlI1SGk5UC1WVFoyc3RwN09iTEREbmNYMG9fbXRVOEVJRXA0blBJcXJMMldOLS1Ud3BDNUpvWVpJbDdBX08zbEJYWjJ1N2ktYnh5RGxXNnVWZDRGTnEzamFNTzZTTnBMNE5uNnI0NmxJcmxJX2NTNTVmeVIyY2JENU1KVU5IbTR5Z25yaFFadi05SEtzUVB1OGJwWlNaMUF3Z2hG?oc=5"" target=""_blank"">100 land deals in first 9 months of 2024, Delhi NCR leads with 32% share</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Excess rains don’t just affect cricket matches; they hurt Indian economy too - The Economic Times,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTGo5eGM4MmpUT0hweWxMVzcwUVQxRW5wc1VYUjA1aEtIWjB2cnNzRzlGT2RnSFQ0a1hNWXF5NUVybjlFTG5VOEZmc2p4dWFfdkY2bkQyVFh5Z1hLMnhObmJXb1lXQ2tfMWV3aENfQ3k3M180MmR3bDlCeFVJckppNndRR1ZhRXVNRElJd2ZiMzQ3YjJtMThvbjBLOW5VajRfalZvT2U0ajFYQUFIcWp0ZzZGRk9XVzZ2VVVDeU1iYWRYTm5BVU84MmR2SS1ZRjJvR1Z2aUhCYWUzWWdPdWfSAeMBQVVfeXFMTm1vNm83d2hUVWk0TlFMUDZkQllqN0Y3S01ScFVDbzdUUDJUSzltY21HZURuOW9DSkpNRGNCdjR6VHV2czFTZVRfUWl1NE5uR1laZHJWQW9USFRRZGJPR05uM0gzUWkxbTY3TUNPQlFubnZGMGN2MTRwWnc2MDZzU2p6Rm0tSEhzZWQtX05JUGJTZG1La2VmWnBZN1NvOGV4NV9XczVUR24tQXZ4b0VFN3JGcXB5Q2JSeWVkV2RzMUd2QTNvWW9wZE52M1FNUGtralZSMVJMVndzS0hkckx0RW5tSnM?oc=5,2024-10-22 14:25:55,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi3gFBVV95cUxPTGo5eGM4MmpUT0hweWxMVzcwUVQxRW5wc1VYUjA1aEtIWjB2cnNzRzlGT2RnSFQ0a1hNWXF5NUVybjlFTG5VOEZmc2p4dWFfdkY2bkQyVFh5Z1hLMnhObmJXb1lXQ2tfMWV3aENfQ3k3M180MmR3bDlCeFVJckppNndRR1ZhRXVNRElJd2ZiMzQ3YjJtMThvbjBLOW5VajRfalZvT2U0ajFYQUFIcWp0ZzZGRk9XVzZ2VVVDeU1iYWRYTm5BVU84MmR2SS1ZRjJvR1Z2aUhCYWUzWWdPdWfSAeMBQVVfeXFMTm1vNm83d2hUVWk0TlFMUDZkQllqN0Y3S01ScFVDbzdUUDJUSzltY21HZURuOW9DSkpNRGNCdjR6VHV2czFTZVRfUWl1NE5uR1laZHJWQW9USFRRZGJPR05uM0gzUWkxbTY3TUNPQlFubnZGMGN2MTRwWnc2MDZzU2p6Rm0tSEhzZWQtX05JUGJTZG1La2VmWnBZN1NvOGV4NV9XczVUR24tQXZ4b0VFN3JGcXB5Q2JSeWVkV2RzMUd2QTNvWW9wZE52M1FNUGtralZSMVJMVndzS0hkckx0RW5tSnM?oc=5"" target=""_blank"">Excess rains don’t just affect cricket matches; they hurt Indian economy too</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
"India to build first convective cloud chamber as part of ‘Mission Mausam,’ aims to improve weather forecasting - Organiser",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQd2E0TVFNODgwLXhBenlfaS1OaFlYajU5MGhXdEFKOUU3MTV6RkVXZ2M5TkotUld6ci15RzczdkxsandxcEtuRXBRbUFyT1AzQWZJVTZTQ3dtTV90Ny02eEExZmpDMzNua3VMUlVvZlBVemZ0UDVKN015cG9Qci1CU3JkWHNiMWs4c3ZQa0JvellLam94alN6NTJoMG5aRGlxZ0hSdUxXT08tZC1sSU1uUGVwbXpvMnVyQTJGVGdIb3ljN1NmQmtpOVloN01lWVFaeW0yNFBWZ25PV0hUV3FIX0xNVmlMdzVZQzVZ0gHwAUFVX3lxTE1scG40TXVwbWN3b1JaZDZKakJObFlBaEI4WGc0STU2VkR6cXNLRWJHX3pYWDgwZFlTRC13NG1yYTJxa2ZxbEZSZXRwZmFuXzdqOUNlYXgzR3pHRE5TdXEteC1BZFgwZG5lZm12UjFQSWd0OGphX3VmZkQxSzNpY0JRZ2htTFcxSnh2RW0yMDRuWnVEcGN2Z0RrcnBDdXUzcGwzZFJvY3dxMEt2a3M3UFJqWEZYQ3EzVFg0M0FLSUlFNm5SRXRPSXZId3E0b1VDaGI2d0dzM2JycHZxR2ttM2E1SDBtYzZqOUk1Tm1CaDUwcA?oc=5,2024-10-22 21:33:23,Organiser,"<a href=""https://news.google.com/rss/articles/CBMi6wFBVV95cUxQd2E0TVFNODgwLXhBenlfaS1OaFlYajU5MGhXdEFKOUU3MTV6RkVXZ2M5TkotUld6ci15RzczdkxsandxcEtuRXBRbUFyT1AzQWZJVTZTQ3dtTV90Ny02eEExZmpDMzNua3VMUlVvZlBVemZ0UDVKN015cG9Qci1CU3JkWHNiMWs4c3ZQa0JvellLam94alN6NTJoMG5aRGlxZ0hSdUxXT08tZC1sSU1uUGVwbXpvMnVyQTJGVGdIb3ljN1NmQmtpOVloN01lWVFaeW0yNFBWZ25PV0hUV3FIX0xNVmlMdzVZQzVZ0gHwAUFVX3lxTE1scG40TXVwbWN3b1JaZDZKakJObFlBaEI4WGc0STU2VkR6cXNLRWJHX3pYWDgwZFlTRC13NG1yYTJxa2ZxbEZSZXRwZmFuXzdqOUNlYXgzR3pHRE5TdXEteC1BZFgwZG5lZm12UjFQSWd0OGphX3VmZkQxSzNpY0JRZ2htTFcxSnh2RW0yMDRuWnVEcGN2Z0RrcnBDdXUzcGwzZFJvY3dxMEt2a3M3UFJqWEZYQ3EzVFg0M0FLSUlFNm5SRXRPSXZId3E0b1VDaGI2d0dzM2JycHZxR2ttM2E1SDBtYzZqOUk1Tm1CaDUwcA?oc=5"" target=""_blank"">India to build first convective cloud chamber as part of ‘Mission Mausam,’ aims to improve weather forecasting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Organiser</font>",
"Bangalore School Holiday Today Live: Bengaluru Schools Closed Today, IMD Predicts Heavy Rainfall in Bangalore and Other Districts of Karnataka - Times Now",https://news.google.com/rss/articles/CBMiogJBVV95cUxNeEg1OXhjc3F5SzlDOXZLSGZ6YUFxLUlWcnBUTzg2ajJYYU4tQkhUV0x2N1B2bTFzY0FxMExyRzNDV0RTalQzQ3BBQzV2bHVLRllvM3lyLTE3bVpiNXQ4N29ZWUJId3BoaU5EWklCQkRjMkxwdERzenh1Q05uSWRWODNmeHprQUJvb3lQa1FwTjRRQ3k3X3RRdDhxSk5iMjhFSDJ6cjgwRGg0R08yLUhqYTItTll5d2ZHaHRMM3VJLW1kRExPMnp3NXoyYno2ZjhOZWdtTDBwQkJiUlFsZ1VoMV96Um1IVC11MUJ0V3pCZHNlSkxDLUFEel9EbHVKS2E0bFhZMFAzanZPYy02Q1FBdDFNcTJFUDZYLUI5OFQ4dXIxUdIBpwJBVV95cUxQNE1kbzRULUt6NjdnWkdQLTFiVjRrS0Y3UmZsR2loU1R2aFhDWTM4MnFIMXljejUzaXptRGFieG1acHJwcHNLSGZOaEp1a21ZaUhLN0hFaHA5UU5wemRjTnIyOFhvdVFjbzJzSkF6QVRLMGxwQWRVc0tXekYtTjZWb01veDdKOUhfc2lBQ3JZaFRVOUNxemNjaThiYnlOdXViNmpOWG1iR1pRNFBrM0pDRnlTanRkOVlWb1lqX3h0Q0VLREhoeUpqeUY1ZEhySThIdEtoTVNWTFc1MWdENDF0TktxODZSS3FCZTNPX2s3anZSQXY4OE1EYnJFbXZDNUxrdmplMmxaWk94RkJFbk9jRzRmQVAtOHMxM0hQeldwNmkxYldMS3lB?oc=5,2024-10-23 08:45:49,Times Now,"<a href=""https://news.google.com/rss/articles/CBMiogJBVV95cUxNeEg1OXhjc3F5SzlDOXZLSGZ6YUFxLUlWcnBUTzg2ajJYYU4tQkhUV0x2N1B2bTFzY0FxMExyRzNDV0RTalQzQ3BBQzV2bHVLRllvM3lyLTE3bVpiNXQ4N29ZWUJId3BoaU5EWklCQkRjMkxwdERzenh1Q05uSWRWODNmeHprQUJvb3lQa1FwTjRRQ3k3X3RRdDhxSk5iMjhFSDJ6cjgwRGg0R08yLUhqYTItTll5d2ZHaHRMM3VJLW1kRExPMnp3NXoyYno2ZjhOZWdtTDBwQkJiUlFsZ1VoMV96Um1IVC11MUJ0V3pCZHNlSkxDLUFEel9EbHVKS2E0bFhZMFAzanZPYy02Q1FBdDFNcTJFUDZYLUI5OFQ4dXIxUdIBpwJBVV95cUxQNE1kbzRULUt6NjdnWkdQLTFiVjRrS0Y3UmZsR2loU1R2aFhDWTM4MnFIMXljejUzaXptRGFieG1acHJwcHNLSGZOaEp1a21ZaUhLN0hFaHA5UU5wemRjTnIyOFhvdVFjbzJzSkF6QVRLMGxwQWRVc0tXekYtTjZWb01veDdKOUhfc2lBQ3JZaFRVOUNxemNjaThiYnlOdXViNmpOWG1iR1pRNFBrM0pDRnlTanRkOVlWb1lqX3h0Q0VLREhoeUpqeUY1ZEhySThIdEtoTVNWTFc1MWdENDF0TktxODZSS3FCZTNPX2s3anZSQXY4OE1EYnJFbXZDNUxrdmplMmxaWk94RkJFbk9jRzRmQVAtOHMxM0hQeldwNmkxYldMS3lB?oc=5"" target=""_blank"">Bangalore School Holiday Today Live: Bengaluru Schools Closed Today, IMD Predicts Heavy Rainfall in Bangalore and Other Districts of Karnataka</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",
"Bengaluru rain: IT hub's civic troubles continue amid waterlogging, potholes - India Today",https://news.google.com/rss/articles/CBMizwFBVV95cUxNNmcxbTF2a29KRjFnVzAxSUZTMGRPZTQtbEFBM3dkWnNEc0Y4XzZqNFdHYUtGVEtQNnN0LWpNYm1YZEt2WEtURVY5Nk5HSWZ5RmNlYTgwRnV2cVdxMEppUTBBTEMwWlhjV1JGdmYzSnhrNkxlZWFPelFlcVJRSTRRcUlBTWR2R0xzY2xpOWVtV1pVTUtnck4zM3p5Q2dvTDA0a3F6SkNzdlU1LUdMY0tQcmo3LUxJTm4zZTVVN3J3SF9ndHNLYTdmbXZXZUp4Xzg?oc=5,2024-10-22 19:31:19,India Today,"<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxNNmcxbTF2a29KRjFnVzAxSUZTMGRPZTQtbEFBM3dkWnNEc0Y4XzZqNFdHYUtGVEtQNnN0LWpNYm1YZEt2WEtURVY5Nk5HSWZ5RmNlYTgwRnV2cVdxMEppUTBBTEMwWlhjV1JGdmYzSnhrNkxlZWFPelFlcVJRSTRRcUlBTWR2R0xzY2xpOWVtV1pVTUtnck4zM3p5Q2dvTDA0a3F6SkNzdlU1LUdMY0tQcmo3LUxJTm4zZTVVN3J3SF9ndHNLYTdmbXZXZUp4Xzg?oc=5"" target=""_blank"">Bengaluru rain: IT hub's civic troubles continue amid waterlogging, potholes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",
"North Bengaluru sees ‘cloud-burst’ like rainfall, over 100 houses flooded: Report - Hindustan Times",https://news.google.com/rss/articles/CBMi5gFBVV95cUxOTTQ1VDNjdGUySUJhTmQ1b0pDdGlqX1VKLUl5cmNhTm92cF9qSTQ2NFJMcDhwRHZUZVdYUUF5SzZwZGdGUWJKX0t3QU1id3prcjc0VGMxY1JVam1VVnN3T2FVOHdOa0hsTl9ibEVnckltbFBDOWk5RDlxMDliTzBVcnYwWXV3eFJTNEhHQWR4RVRjS2l3RGVCTnlWQVg3UmtpTW5fTE9WNjlnUFRxMF9GZVczUXFmTkVDZWVNUlFuSldpc190ZTJuckdSV0NXVlo0NEl3RUp2SExkZ1l2YVdvVld6Qkh1UdIB6wFBVV95cUxQTjlrb2ZCOVpOc3lHYTFQZksxTGxja1FQUXNYZ1JmbUZXVTZkXzJ6d3RWVW9FMHBWbWh4aEJqT2FodHBEcEdZQmxaMUFiVjdIMmNYSmdFemlJcVN4RmxZTTk3SmVnMWgtMGlnTGMyNGVDZ0IzcV9vLXY1aUNzbWk2MFp1VkRqM2VrMGNvam84NktsU1p1Y0VQeDlPWWxKNG8wQVlzWUhGLV9hZExXU2t1VjFjUlhFbUdqcmlvMzJMVWk3YTlEcUpUQlM2TTZyNXotUGJ1QXItRV95LUJ4eW5SZ196bnlNb2xsODc0?oc=5,2024-10-22 15:10:26,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxOTTQ1VDNjdGUySUJhTmQ1b0pDdGlqX1VKLUl5cmNhTm92cF9qSTQ2NFJMcDhwRHZUZVdYUUF5SzZwZGdGUWJKX0t3QU1id3prcjc0VGMxY1JVam1VVnN3T2FVOHdOa0hsTl9ibEVnckltbFBDOWk5RDlxMDliTzBVcnYwWXV3eFJTNEhHQWR4RVRjS2l3RGVCTnlWQVg3UmtpTW5fTE9WNjlnUFRxMF9GZVczUXFmTkVDZWVNUlFuSldpc190ZTJuckdSV0NXVlo0NEl3RUp2SExkZ1l2YVdvVld6Qkh1UdIB6wFBVV95cUxQTjlrb2ZCOVpOc3lHYTFQZksxTGxja1FQUXNYZ1JmbUZXVTZkXzJ6d3RWVW9FMHBWbWh4aEJqT2FodHBEcEdZQmxaMUFiVjdIMmNYSmdFemlJcVN4RmxZTTk3SmVnMWgtMGlnTGMyNGVDZ0IzcV9vLXY1aUNzbWk2MFp1VkRqM2VrMGNvam84NktsU1p1Y0VQeDlPWWxKNG8wQVlzWUhGLV9hZExXU2t1VjFjUlhFbUdqcmlvMzJMVWk3YTlEcUpUQlM2TTZyNXotUGJ1QXItRV95LUJ4eW5SZ196bnlNb2xsODc0?oc=5"" target=""_blank"">North Bengaluru sees ‘cloud-burst’ like rainfall, over 100 houses flooded: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"Good monsoon raises hopes, but crop prices key to rural India turnaround - Business Standard",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOVnpWcTdSTFZuZ2NHUmllYkNaMVJEb1FZcGZ1enpDc3ZQa01EMjB6RlIwTGpEZC1abXp1ZHNWOGpJc2p2Wk02dWRORU9kVnBpRWVodHA2dEg5Qk5sNHd1NjJvQjF4N2tDRjNHbkxTcHFtSWM1MlRIZ21xb3p4TjU4RlJ3eXNLMGNIMm5iRS1mTkQ5TS1hRHZzQTVvS1VMdGRLUUx0ZXFDVVp0dkw0S2NJN3IxRDhEbGhCUzZUVFJGSHVSM2xzNVJoRi13c0FuV3E0MERFQdIB2gFBVV95cUxQTDR0d1RXQ0laQWNKUzQ2eHRXVjN6YzZmUkV3Tnh2OEtzSTctS3BmemhtZjVvSjdOOFFueVlCWHNPMWw5RWZHa2VWZF9TQk56SmMtUUdiakFOMV8xeXhmZXZpYnlIb3kxeTJJbjFZcXZRbUxweWNlclV3V000SGRuN3lZbTduV0F2RjZ0d3lhSmdTYXJsY2Y3UG9kT2o1a3hvdm5iNzdVM2JiVE16VUNPOVByYXJ5QkhlWnZfUnh5bDNUZDJBYXc1X1VjQU1iLVpNRzBPZXkwdWNLQQ?oc=5,2024-10-22 17:03:30,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOVnpWcTdSTFZuZ2NHUmllYkNaMVJEb1FZcGZ1enpDc3ZQa01EMjB6RlIwTGpEZC1abXp1ZHNWOGpJc2p2Wk02dWRORU9kVnBpRWVodHA2dEg5Qk5sNHd1NjJvQjF4N2tDRjNHbkxTcHFtSWM1MlRIZ21xb3p4TjU4RlJ3eXNLMGNIMm5iRS1mTkQ5TS1hRHZzQTVvS1VMdGRLUUx0ZXFDVVp0dkw0S2NJN3IxRDhEbGhCUzZUVFJGSHVSM2xzNVJoRi13c0FuV3E0MERFQdIB2gFBVV95cUxQTDR0d1RXQ0laQWNKUzQ2eHRXVjN6YzZmUkV3Tnh2OEtzSTctS3BmemhtZjVvSjdOOFFueVlCWHNPMWw5RWZHa2VWZF9TQk56SmMtUUdiakFOMV8xeXhmZXZpYnlIb3kxeTJJbjFZcXZRbUxweWNlclV3V000SGRuN3lZbTduV0F2RjZ0d3lhSmdTYXJsY2Y3UG9kT2o1a3hvdm5iNzdVM2JiVE16VUNPOVByYXJ5QkhlWnZfUnh5bDNUZDJBYXc1X1VjQU1iLVpNRzBPZXkwdWNLQQ?oc=5"" target=""_blank"">Good monsoon raises hopes, but crop prices key to rural India turnaround</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
