Title,Link,Date,Source,Summary,Place
"Cyclone Fengal weakens, but heavy rainfall continues in TN, Puducherry - Business Standard",https://news.google.com/rss/articles/CBMizgFBVV95cUxPTTVMYVhveThoVHFhWmFOS3lqREozNk1vZ3lZbTVLQjFwVWZEQWRkV2t0RTN5YXpHR0VKcGpiYkFMNWlUMTNHRUFleTMwUXFQODQ2ZUE0YmdJYkI1SkxhTGJESklKRTRCVXpTSktoZC1iNW1jZzNSRXd4Tzh6d3FfcXNZa2dFOUNyZ1QxaTNzbDE1RVNFdDJIVzFiYklKU3BfaG5WZlJybGY2R3dING5uWXpTZXk0dm9ETTY3UWdPY1kxOHp1X09BdVFOb2FyZ9IB0wFBVV95cUxOOXBCTGNXUkNhb1R4RE1hWEdKdEdvQU1xNjZ1Z2VPTkstX25sUEI1ZnV5QVV4SXJvNDZkOFdWUEhkbVE0eF9tSUtjMnA5Y25STF9ITzk3Ump5TWpzXzBhb1NhMWRQQVlWc29Pams0Vm1SQjBRZkVrZXEwNG1HWUo1aW5xVGs2Q1BPWjZTOUF4ejNuOEZpcWRlWUdkWUpyTE9UdWliUDViN21CLXRwQlFQTUNEWGNrT2FEQzVhM1VNVmpreGc1RTU2TXpSRkxMWWNnWW8w?oc=5,2024-12-02 07:26:45,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPTTVMYVhveThoVHFhWmFOS3lqREozNk1vZ3lZbTVLQjFwVWZEQWRkV2t0RTN5YXpHR0VKcGpiYkFMNWlUMTNHRUFleTMwUXFQODQ2ZUE0YmdJYkI1SkxhTGJESklKRTRCVXpTSktoZC1iNW1jZzNSRXd4Tzh6d3FfcXNZa2dFOUNyZ1QxaTNzbDE1RVNFdDJIVzFiYklKU3BfaG5WZlJybGY2R3dING5uWXpTZXk0dm9ETTY3UWdPY1kxOHp1X09BdVFOb2FyZ9IB0wFBVV95cUxOOXBCTGNXUkNhb1R4RE1hWEdKdEdvQU1xNjZ1Z2VPTkstX25sUEI1ZnV5QVV4SXJvNDZkOFdWUEhkbVE0eF9tSUtjMnA5Y25STF9ITzk3Ump5TWpzXzBhb1NhMWRQQVlWc29Pams0Vm1SQjBRZkVrZXEwNG1HWUo1aW5xVGs2Q1BPWjZTOUF4ejNuOEZpcWRlWUdkWUpyTE9UdWliUDViN21CLXRwQlFQTUNEWGNrT2FEQzVhM1VNVmpreGc1RTU2TXpSRkxMWWNnWW8w?oc=5"" target=""_blank"">Cyclone Fengal weakens, but heavy rainfall continues in TN, Puducherry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Cyclone Fengal Live: Puducherry declares holiday for schools, colleges amid heavy rain - The Times of India",https://news.google.com/rss/articles/CBMi9wFBVV95cUxOQk5vek1seFpsYXVKWHZKZUh3YW5aMktPSmN6ak1LZTZXSS15bktEbUZfMFBGUlpRZGYyOWdkejRTUjNXU085dzhrUUUzaHR6a2V6T2FJSmZtdGM4c2N2RUJEak5PWUpNYmtqbUpLUk8yVG4tRmtKQzVLZjNMZUZsZjNvbmt6VmxJS0lWWDl1dU1lZFFYZGdfbUZweVBwWHRGYVBXZ0F3Q0l0UUp0YWJ1S2V2enNXdDJIVkczQWJaUnhNTkp3Vk94eVFIZmxRdkpoejFfRzgzVkljVDhQZC1IU1RGdThYRE9XSDBXdllQYVF2TVVOaXJF0gH8AUFVX3lxTFBRYTFPMmdFcGRRU19VLU5IYjl0ZlpOcTRIZ1BSVTZzSzdTQ1hXYzBGTV9Jb21iR3YxN2pocFh5OTF5djBvNUxObGQ3QmYwMEZOVFUwVjBzU2sxbV9sbWFiLU14OEgzajB6QjhKREtYZXEzQVNOMVFTYms1NlpQOWxPckMwcnBPQVV4Q3luMFJUOVRLZldOQU5aOUE0TjdsX2l6YnNtaDBSUWp6bExkZ0hETFd5WFZpVWt0YXUyQ2NCLXk5TjdMOExpZDNRN3drOHVrQ09ESjBnTm8zU0JiblF6NmNmUXZMWVVnTi0tX2JHZlZKNktUM2pOSTFjcA?oc=5,2024-12-01 23:24:26,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMi9wFBVV95cUxOQk5vek1seFpsYXVKWHZKZUh3YW5aMktPSmN6ak1LZTZXSS15bktEbUZfMFBGUlpRZGYyOWdkejRTUjNXU085dzhrUUUzaHR6a2V6T2FJSmZtdGM4c2N2RUJEak5PWUpNYmtqbUpLUk8yVG4tRmtKQzVLZjNMZUZsZjNvbmt6VmxJS0lWWDl1dU1lZFFYZGdfbUZweVBwWHRGYVBXZ0F3Q0l0UUp0YWJ1S2V2enNXdDJIVkczQWJaUnhNTkp3Vk94eVFIZmxRdkpoejFfRzgzVkljVDhQZC1IU1RGdThYRE9XSDBXdllQYVF2TVVOaXJF0gH8AUFVX3lxTFBRYTFPMmdFcGRRU19VLU5IYjl0ZlpOcTRIZ1BSVTZzSzdTQ1hXYzBGTV9Jb21iR3YxN2pocFh5OTF5djBvNUxObGQ3QmYwMEZOVFUwVjBzU2sxbV9sbWFiLU14OEgzajB6QjhKREtYZXEzQVNOMVFTYms1NlpQOWxPckMwcnBPQVV4Q3luMFJUOVRLZldOQU5aOUE0TjdsX2l6YnNtaDBSUWp6bExkZ0hETFd5WFZpVWt0YXUyQ2NCLXk5TjdMOExpZDNRN3drOHVrQ09ESjBnTm8zU0JiblF6NmNmUXZMWVVnTi0tX2JHZlZKNktUM2pOSTFjcA?oc=5"" target=""_blank"">Cyclone Fengal Live: Puducherry declares holiday for schools, colleges amid heavy rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",
"Kerala weather: IMD issues red, orange alerts for 8 districts on December 2 - Hindustan Times",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOeWJXSDVscWtlMVY1NTVlR1RObmtidmF1c2tkTTM4cW1hRkQ1ZmRXTmNpZDZnSFY4OC1WeUtGNWtPUmVFMkl4dTFya0hkb1ZtZzF1ZE5YSU1KOUhfV0tiUWpnQUc4QXpQWE00WlltNmUxWUVaUHJFcldnOTBfUW5FbEl4OUx1ZVNsWkN2YnBZbWNRWHV4enBEMEN5WUJjV1NQdkQ4S2ZVOWd4bjA0R2c2MFdHa2NkQnJQZXpNTWZvMU0wdmswNnlXUWdfT1p3SzlUZjQ5bHVOVEl3RHlLVjZRWTIzX1FfUWZEM2J5Y1YxTXXSAfYBQVVfeXFMUFhQUXdqU1dRLTlGQWxrQ2pFZUJRXzQ1dFJvTUFYNjNlTklaOWZQUHlxQ0cwOGR1QVVnbTBUdWU3UkhQa3NodmRTbXBwMTFlNjhoN2dGY2lQa21nT3o2RVh4Q2tzUFV0dVJhTW1ZNXdRekFPVkEySTVUaUNvM3BPZHJLbGVmZHlhM3JmZjBfQ1VfcFlzdENEWTNkWFdRZmhNX0FqcE5oaEZPUXlNZFVrN2JqSzlId1dBTW1UYlI4eDk3NXFRRURJNmlHc0NpRGYtZlYyTWdEaVBXWHpCOHR3Z29zSVZBMm1RUWhsOXF1Z2NUcjdTTjFB?oc=5,2024-12-01 17:17:45,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxOeWJXSDVscWtlMVY1NTVlR1RObmtidmF1c2tkTTM4cW1hRkQ1ZmRXTmNpZDZnSFY4OC1WeUtGNWtPUmVFMkl4dTFya0hkb1ZtZzF1ZE5YSU1KOUhfV0tiUWpnQUc4QXpQWE00WlltNmUxWUVaUHJFcldnOTBfUW5FbEl4OUx1ZVNsWkN2YnBZbWNRWHV4enBEMEN5WUJjV1NQdkQ4S2ZVOWd4bjA0R2c2MFdHa2NkQnJQZXpNTWZvMU0wdmswNnlXUWdfT1p3SzlUZjQ5bHVOVEl3RHlLVjZRWTIzX1FfUWZEM2J5Y1YxTXXSAfYBQVVfeXFMUFhQUXdqU1dRLTlGQWxrQ2pFZUJRXzQ1dFJvTUFYNjNlTklaOWZQUHlxQ0cwOGR1QVVnbTBUdWU3UkhQa3NodmRTbXBwMTFlNjhoN2dGY2lQa21nT3o2RVh4Q2tzUFV0dVJhTW1ZNXdRekFPVkEySTVUaUNvM3BPZHJLbGVmZHlhM3JmZjBfQ1VfcFlzdENEWTNkWFdRZmhNX0FqcE5oaEZPUXlNZFVrN2JqSzlId1dBTW1UYlI4eDk3NXFRRURJNmlHc0NpRGYtZlYyTWdEaVBXWHpCOHR3Z29zSVZBMm1RUWhsOXF1Z2NUcjdTTjFB?oc=5"" target=""_blank"">Kerala weather: IMD issues red, orange alerts for 8 districts on December 2</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",
"India News Live Today December 1, 2024: Drones to road projects: How is UP govt preparing to host Maha Kumbh 2025 - MSN",https://news.google.com/rss/articles/CBMi9AFBVV95cUxPS3I2NndIUjFaWjRqeHlTT1hqWWFBWUxhbVUtOGw3aFhxUGhESnZjc2JMQWRKUTBJaW9kN3FxbXhLYlkzT25TTElJaDczSm5tbjZ2elpPZ29QTlRJdlpKUkNxOE5rc2d4VDltUFBsLVN3S2EtaHpaNkxxVzVXcFUyVGxCa3Q5REFXRXNRSGFDOERpdG1YdUF3SkFmdWtzRktFTXZsYVlRVjB6SGxqUUtjOVJrcmtNS0ZUVEZybkJ4QnIwd1lKQnhSZ1VCSExvSndaT1FyZmZNeVNuMWVJcVhpQjZMSndkWXJYZkFtaGZTdTlqN3RC?oc=5,2024-12-01 19:22:30,MSN,"<a href=""https://news.google.com/rss/articles/CBMi9AFBVV95cUxPS3I2NndIUjFaWjRqeHlTT1hqWWFBWUxhbVUtOGw3aFhxUGhESnZjc2JMQWRKUTBJaW9kN3FxbXhLYlkzT25TTElJaDczSm5tbjZ2elpPZ29QTlRJdlpKUkNxOE5rc2d4VDltUFBsLVN3S2EtaHpaNkxxVzVXcFUyVGxCa3Q5REFXRXNRSGFDOERpdG1YdUF3SkFmdWtzRktFTXZsYVlRVjB6SGxqUUtjOVJrcmtNS0ZUVEZybkJ4QnIwd1lKQnhSZ1VCSExvSndaT1FyZmZNeVNuMWVJcVhpQjZMSndkWXJYZkFtaGZTdTlqN3RC?oc=5"" target=""_blank"">India News Live Today December 1, 2024: Drones to road projects: How is UP govt preparing to host Maha Kumbh 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
"Cyclone Fengal: Puducherry schools, colleges to remain shut today - Business Standard",https://news.google.com/rss/articles/CBMixwFBVV95cUxPMGIxRkhEYm9YMDZIRmw5R1FBMDRFdjJsVnNsR2Voczd1VDY0cW9vckE2aXVyeHpEWmlnS01ZNXB5THlIVnVOTjlSWXcwblhicFRZaGFHc19ocGEzekJVR2Rudm91cXg2a0U5WlFHVU9RdkQxTWdMbG41Y2pDblBYWmFUOGpyaXYtbGlKblZjcElxN29JUU4yZHVZbkVqeTJjV1k2cHVIcFRZRE5mdUVlWUVBMG83SVZMcGloNHB1S0M0MDBHUHdn0gHMAUFVX3lxTE8ybVU5a3prY1VvbWY5c2VsaFVaTjQyRVUwNHNmX2swZEhMVVoyeEN2QmJMS29lZ1hvUHJhVmpIeXNCWmNLZVNDaW1jLWx1ZkNQR0ktc1p3N2Z5dTlVTDItYkZFempfdWZKVXNwOEdLYTNmeXRzWTNwSzE4S2FFckRUTUtua2FxTDdEdmRwNUl2MFdGSVp0NHkyMHBqZVFIblJpaE4wYmRlaHF5OW9tNVN0WjJMM0pKaS1yUmZhR2ZoU2F1M2x6Y2FJbFB4RQ?oc=5,2024-12-02 06:49:25,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPMGIxRkhEYm9YMDZIRmw5R1FBMDRFdjJsVnNsR2Voczd1VDY0cW9vckE2aXVyeHpEWmlnS01ZNXB5THlIVnVOTjlSWXcwblhicFRZaGFHc19ocGEzekJVR2Rudm91cXg2a0U5WlFHVU9RdkQxTWdMbG41Y2pDblBYWmFUOGpyaXYtbGlKblZjcElxN29JUU4yZHVZbkVqeTJjV1k2cHVIcFRZRE5mdUVlWUVBMG83SVZMcGloNHB1S0M0MDBHUHdn0gHMAUFVX3lxTE8ybVU5a3prY1VvbWY5c2VsaFVaTjQyRVUwNHNmX2swZEhMVVoyeEN2QmJMS29lZ1hvUHJhVmpIeXNCWmNLZVNDaW1jLWx1ZkNQR0ktc1p3N2Z5dTlVTDItYkZFempfdWZKVXNwOEdLYTNmeXRzWTNwSzE4S2FFckRUTUtua2FxTDdEdmRwNUl2MFdGSVp0NHkyMHBqZVFIblJpaE4wYmRlaHF5OW9tNVN0WjJMM0pKaS1yUmZhR2ZoU2F1M2x6Y2FJbFB4RQ?oc=5"" target=""_blank"">Cyclone Fengal: Puducherry schools, colleges to remain shut today</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"India News Live Today December 1, 2024: Drones to road projects: How is UP govt preparing to host Maha Kumbh 2025 - MSN",https://news.google.com/rss/articles/CBMi7gFBVV95cUxNeWVDdTJYaDRoTkJ3R1lHWDFYbTZDQ3o3aGY2eDlnUmo5Yng2ZjlLS2lVcVZpR29iSVhaemx2bFVVd2RsZ1Rzd0E1WXpiLWNTTDJxNFBucVJVRURhUXlQZnlGck1yYjYtdTBYdUo2U01JbTlUQzhhcWdZaUdPeWIySHlZZnBfVkFhNUhsN2MxclYxTlYzNmI4d2dQbnR5d1BaN0t4ek5UYmdwaFFMbDhLWUI2aW1xc3BfTVQxS1NnY1pWdXN5UkJDcTE0WHlaajNOVjVEOFlOUWdZbzB1WFdqN1FDLTdaOWRRVnZVdS1B?oc=5,2024-12-01 14:52:17,MSN,"<a href=""https://news.google.com/rss/articles/CBMi7gFBVV95cUxNeWVDdTJYaDRoTkJ3R1lHWDFYbTZDQ3o3aGY2eDlnUmo5Yng2ZjlLS2lVcVZpR29iSVhaemx2bFVVd2RsZ1Rzd0E1WXpiLWNTTDJxNFBucVJVRURhUXlQZnlGck1yYjYtdTBYdUo2U01JbTlUQzhhcWdZaUdPeWIySHlZZnBfVkFhNUhsN2MxclYxTlYzNmI4d2dQbnR5d1BaN0t4ek5UYmdwaFFMbDhLWUI2aW1xc3BfTVQxS1NnY1pWdXN5UkJDcTE0WHlaajNOVjVEOFlOUWdZbzB1WFdqN1FDLTdaOWRRVnZVdS1B?oc=5"" target=""_blank"">India News Live Today December 1, 2024: Drones to road projects: How is UP govt preparing to host Maha Kumbh 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Agriculture growth expected to remain strong in second half of FY25: Bank of Baroda - The Economic Times,https://news.google.com/rss/articles/CBMi8wFBVV95cUxNUV9kQmRSUWtDZWxtZVBpZFBzUW1maW1LOC0yMjlUVWM3R0FjdFpneDlwc09fRXFfMlYtVy1MNlVrc2R5Q1dZV1FSTUpHdjY2d3BwWHBoUmRGVk9sWXQ2a25tX3JFcGNSRUFJUlFEcV9QZkdZa2VhTEtreVhVOHBBZ3dmWnp2MTY3cXhlNG44c0o4Y3lVcExmVjF1SDZ4aEd2TDdvbFlCUGs0VlczbHNEcms4VXFpZTRUb0t5V0RtUmFUOVdqM1Nrb2dZQ1F5Wi1fZUIxQ0F0SDY5ZnNERDN0QzJyOWJvdGhIY3p1UEdhWVVFZzjSAfgBQVVfeXFMTUlkcy1BMWgtTUVnRVZGOHJ5NjQ4aDhDYXBXa1dlTHZCUjcyTTAwQUI1NjRiWjQ1RERqRlRrZHNRMUFmVFVyaEJpbVJzZGYtdHpwUGV2Q2dCblUzVkcwQ1M2RGF6Q0RnVlFzeXRKVER0VTVEam9iYUctaW9HWDgtWUFYVUFvRnhJdEM5ZVYxS0VBVnYybW1WUTRJd2V6SDdqUzJhbXkxOU1KcU1PTUFjOEF2N093ek1KX3NpOWpoSXZIbXFQZ1FLanNvM0tFbWZoaUx6SElpc1pDSGtacGExLVBUNFZ5MFVIWjV3ZThMQVlnT21YeEJyRUg?oc=5,2024-12-02 09:01:10,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi8wFBVV95cUxNUV9kQmRSUWtDZWxtZVBpZFBzUW1maW1LOC0yMjlUVWM3R0FjdFpneDlwc09fRXFfMlYtVy1MNlVrc2R5Q1dZV1FSTUpHdjY2d3BwWHBoUmRGVk9sWXQ2a25tX3JFcGNSRUFJUlFEcV9QZkdZa2VhTEtreVhVOHBBZ3dmWnp2MTY3cXhlNG44c0o4Y3lVcExmVjF1SDZ4aEd2TDdvbFlCUGs0VlczbHNEcms4VXFpZTRUb0t5V0RtUmFUOVdqM1Nrb2dZQ1F5Wi1fZUIxQ0F0SDY5ZnNERDN0QzJyOWJvdGhIY3p1UEdhWVVFZzjSAfgBQVVfeXFMTUlkcy1BMWgtTUVnRVZGOHJ5NjQ4aDhDYXBXa1dlTHZCUjcyTTAwQUI1NjRiWjQ1RERqRlRrZHNRMUFmVFVyaEJpbVJzZGYtdHpwUGV2Q2dCblUzVkcwQ1M2RGF6Q0RnVlFzeXRKVER0VTVEam9iYUctaW9HWDgtWUFYVUFvRnhJdEM5ZVYxS0VBVnYybW1WUTRJd2V6SDdqUzJhbXkxOU1KcU1PTUFjOEF2N093ek1KX3NpOWpoSXZIbXFQZ1FLanNvM0tFbWZoaUx6SElpc1pDSGtacGExLVBUNFZ5MFVIWjV3ZThMQVlnT21YeEJyRUg?oc=5"" target=""_blank"">Agriculture growth expected to remain strong in second half of FY25: Bank of Baroda</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Explained: Prospects and concerns for the Rabi crop - The Indian Express,https://news.google.com/rss/articles/CBMiowFBVV95cUxPUmFrTlN3MVJmcDJWSnpqZmdQTDB4Njc2b2JSRkxjc0poNk1sQW1ySjBkNnJ1TE85eU40RTNhdmZIS1FmQjZRWFNCbWl1NDF6d05ZZ3ZaazBqZVRHa1F2c0ktakRoUUlTYmtacGZXNHVZem1LVTkzWGFUTkpFUzhiWHdFNFlBU1d6Zjhnem9lQUFCLTZ3T0cwcjFkSTgwQTJscG9B0gGqAUFVX3lxTFBLbjB1NzhoUWZCY3Nxb2dtVUZmbHpsN0N2WTdmUlJxcjk5QlJDSm84bHA5YnpDVkQ5UWlOblQ0V0FVbzN5N0ZfNHVNSFA5akpwRzN4MzB6TUNYN0JhZlRhSU84Ty00Y2w1Nkwtc0EzZE9ESWRFLXRzNnRxSDJYekhfTWNUaWJlbWtRY05xZzlOaHBEMUMwSDNhNW8yeW5iZVdVRjc2Y1hkai13?oc=5,2024-12-01 19:30:05,The Indian Express,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxPUmFrTlN3MVJmcDJWSnpqZmdQTDB4Njc2b2JSRkxjc0poNk1sQW1ySjBkNnJ1TE85eU40RTNhdmZIS1FmQjZRWFNCbWl1NDF6d05ZZ3ZaazBqZVRHa1F2c0ktakRoUUlTYmtacGZXNHVZem1LVTkzWGFUTkpFUzhiWHdFNFlBU1d6Zjhnem9lQUFCLTZ3T0cwcjFkSTgwQTJscG9B0gGqAUFVX3lxTFBLbjB1NzhoUWZCY3Nxb2dtVUZmbHpsN0N2WTdmUlJxcjk5QlJDSm84bHA5YnpDVkQ5UWlOblQ0V0FVbzN5N0ZfNHVNSFA5akpwRzN4MzB6TUNYN0JhZlRhSU84Ty00Y2w1Nkwtc0EzZE9ESWRFLXRzNnRxSDJYekhfTWNUaWJlbWtRY05xZzlOaHBEMUMwSDNhNW8yeW5iZVdVRjc2Y1hkai13?oc=5"" target=""_blank"">Explained: Prospects and concerns for the Rabi crop</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font>",
Climate crisis: A Plan B needed for wild weather - PressReader,https://news.google.com/rss/articles/CBMiigFBVV95cUxNWm05Vk1qRk4tdGRHUmtueUZjSU9odmlDQmVVRDFILUtmajFib000UkdxeFRtUEh5VnZQbkpZRWczaTVONXZwS0pJVk50cjJwYzZmby1XQW1Gb2ZsSjlyNjVUOXNLazU4d2RpcVk3Q2c3SE0zbVV6UjRoX1RHUERSZUwtQjRVZHJqcFE?oc=5,2024-12-01 16:10:37,PressReader,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxNWm05Vk1qRk4tdGRHUmtueUZjSU9odmlDQmVVRDFILUtmajFib000UkdxeFRtUEh5VnZQbkpZRWczaTVONXZwS0pJVk50cjJwYzZmby1XQW1Gb2ZsSjlyNjVUOXNLazU4d2RpcVk3Q2c3SE0zbVV6UjRoX1RHUERSZUwtQjRVZHJqcFE?oc=5"" target=""_blank"">Climate crisis: A Plan B needed for wild weather</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PressReader</font>",
"Delhi sees warmest November in 5 years, but a cold snap may be on the way - MSN",https://news.google.com/rss/articles/CBMivgFBVV95cUxOdlB3U195SzBMY05RaDl4WDRjcGZBTGtMQnN2UFZidFhHQnVGb3lJOG9BUFRyV0FGYlRhUHI5clp1MmpsMFZLaWRhVmYwSld6TlVQdzNsTzFmNXNERkVBSGNnbWYya1JKUmc1OTByX1R6Q0lOeXR2S1pudThoV1BNZW5UVDMzRl9sVnpMQlF0V2djTmtic1RIeHdTY2NOQThpMVBMTGRTTVVhMGZ6anliQThzNWRGTm9jQmZlMldR?oc=5,2024-12-01 20:06:13,MSN,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxOdlB3U195SzBMY05RaDl4WDRjcGZBTGtMQnN2UFZidFhHQnVGb3lJOG9BUFRyV0FGYlRhUHI5clp1MmpsMFZLaWRhVmYwSld6TlVQdzNsTzFmNXNERkVBSGNnbWYya1JKUmc1OTByX1R6Q0lOeXR2S1pudThoV1BNZW5UVDMzRl9sVnpMQlF0V2djTmtic1RIeHdTY2NOQThpMVBMTGRTTVVhMGZ6anliQThzNWRGTm9jQmZlMldR?oc=5"" target=""_blank"">Delhi sees warmest November in 5 years, but a cold snap may be on the way</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
