Title,Link,Date,Source,Summary,Place,Term,LanguageQueried
"India News Live Today February 5, 2025: Delhi election: Polling ends, 60.26% turnout recorded - Hindustan Times",https://news.google.com/rss/articles/CBMi2wFBVV95cUxNU05fNWNHc2pIWXg0alp3X2sxaHg5aVVyeWQ5VE95YXRVVlpEM1BOb1UwaDJuQTBnUzlUbUhpZjRZRzJHU1B1NDNCYlJUVGdpWjZuVURpN08xRTNlTHFUcllVdkplbFVWdWtsTjVBMnNXSDVmdWo5cmtyZVdDMmxFbFVBSE5VODJQb0F1WGdOYlJUd0ZrVmdubkRhVXdCU29XZmlUTlprazRpT21pRGtiSG93Q212VzYzUFVRR0FsVkZTTXNSeGdKeF8tdnFqbm45cnlBTzB0VzVZSjjSAeABQVVfeXFMTkVrblBPcGozQkJKQXh6Szd4QUFsOHdVYnZjMUtIdDN0SU1qa0N3YVNRZVQ3eW4wRDdjWlBPNVpXZHp2MG1oZ0lKWGx5eThWa0hrdGpZVk5keEt2MzVFRGJMM0E2bmlTSG1BZ2NMVXgtakVpVmlVQkgtM2JySUNxRm55dnRyVFdOUGYxVVloaERZczFBVGFoUlkxcXJlNmgwSkxVYWhUTFNkR3lNc25VTmduak1iN2NWa2F3TDNVMnphZDgxaVd3ZmVEa00zeUtQWTJaMnF2cHczNDJwTHF1cHo?oc=5,2025-02-05 23:07:26,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxNU05fNWNHc2pIWXg0alp3X2sxaHg5aVVyeWQ5VE95YXRVVlpEM1BOb1UwaDJuQTBnUzlUbUhpZjRZRzJHU1B1NDNCYlJUVGdpWjZuVURpN08xRTNlTHFUcllVdkplbFVWdWtsTjVBMnNXSDVmdWo5cmtyZVdDMmxFbFVBSE5VODJQb0F1WGdOYlJUd0ZrVmdubkRhVXdCU29XZmlUTlprazRpT21pRGtiSG93Q212VzYzUFVRR0FsVkZTTXNSeGdKeF8tdnFqbm45cnlBTzB0VzVZSjjSAeABQVVfeXFMTkVrblBPcGozQkJKQXh6Szd4QUFsOHdVYnZjMUtIdDN0SU1qa0N3YVNRZVQ3eW4wRDdjWlBPNVpXZHp2MG1oZ0lKWGx5eThWa0hrdGpZVk5keEt2MzVFRGJMM0E2bmlTSG1BZ2NMVXgtakVpVmlVQkgtM2JySUNxRm55dnRyVFdOUGYxVVloaERZczFBVGFoUlkxcXJlNmgwSkxVYWhUTFNkR3lNc25VTmduak1iN2NWa2F3TDNVMnphZDgxaVd3ZmVEa00zeUtQWTJaMnF2cHczNDJwTHF1cHo?oc=5"" target=""_blank"">India News Live Today February 5, 2025: Delhi election: Polling ends, 60.26% turnout recorded</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",,Disaster,en
"Jammu and Kashmir Weather Forecast and AQI Today on February 6, 2025: Today's temperature is -32.52 °C., Here's the latest weather forecast - MSN",https://news.google.com/rss/articles/CBMijwJBVV95cUxNZWU2aDBjYlFRbkE0QlE1Y1g4dUVzUzVXcGxEb2t0QmZTeDkzWUd0Uk0wMmM1alBZOE1XWGQxRzR3RW1NSTN6dlNmVzRVOXF5eEhiT0ppUHRHTWIyMjNfNkU5MERTWkR5LXphWkR4cmE2VW5KbXZIWTN6dlMySm53al9hVUtZVElJa3ZqeDRhdW1vdml1S1YwZmJGMEo5c2ZFR2NTNnNoY3lid2RnZzhrbDFyNl9mNlp5RWlMWUdzVlRvYlJob0lZRE9LLUs2bXhpN25PbmJPNmZXN1p1Y1RkcldPN3YtVW15cHBLbEtmRE85THY5NWFEbHh3YTduVl9NVEdTVkgwU213b2RqZGFN?oc=5,2025-02-06 08:05:00,MSN,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxNZWU2aDBjYlFRbkE0QlE1Y1g4dUVzUzVXcGxEb2t0QmZTeDkzWUd0Uk0wMmM1alBZOE1XWGQxRzR3RW1NSTN6dlNmVzRVOXF5eEhiT0ppUHRHTWIyMjNfNkU5MERTWkR5LXphWkR4cmE2VW5KbXZIWTN6dlMySm53al9hVUtZVElJa3ZqeDRhdW1vdml1S1YwZmJGMEo5c2ZFR2NTNnNoY3lid2RnZzhrbDFyNl9mNlp5RWlMWUdzVlRvYlJob0lZRE9LLUs2bXhpN25PbmJPNmZXN1p1Y1RkcldPN3YtVW15cHBLbEtmRE85THY5NWFEbHh3YTduVl9NVEdTVkgwU213b2RqZGFN?oc=5"" target=""_blank"">Jammu and Kashmir Weather Forecast and AQI Today on February 6, 2025: Today's temperature is -32.52 °C., Here's the latest weather forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",,Disaster,en
"J&K: Iltija Mufti accuses Centre, Omar’s NC govt, ‘Aap Jammu Kashmir ko jail bnana chahte hai…' - The Economic Times",https://news.google.com/rss/articles/CBMi6AFBVV95cUxPZ2RfMHU3ZHA0bllfOF9LSnVBMXVTYjF3SmEwUEdJWUFTS01nc25aU3lDZ01jTjg4Qk85dXZrbVR0R0l0azJYQXhHc0hRZklZWFZkb0xjTjdRU3JxQ2RBVnJNN1RwTml6UTdNZTFra19ZaG9fcldzWDhyOWdEZGYwWUNKZkFjZmUyanBTeU94eXZpNDNQaEg3blFNMFMzLUFKRTJpZVlyOUlPWUdYc0Njck1VV3JIekJSYzBnc1IyOWRHSWkyenpYMUJ1NXkyeEhMNXI5UEZzVHh0aGNJRTEwWmhXbDBUSTJQ0gHoAUFVX3lxTE9nZF8wdTdkcDRuWV84X0tKdUExdVNiMXdKYTBQR0lZQVNLTWdzblpTeUNnTWNOODhCTzl1dmttVHRHSXRrMlhBeEdzSFFmSVlYVmRvTGNON1FTcnFDZEFWck03VHBOaXpRN01lMWtrX1lob19yV3NYOHI5Z0RkZjBZQ0pmQWNmZTJqcFN5T3h5dmk0M1BoSDduUU0wUzMtQUpFMmllWXI5SU9ZR1hzQ2NyTVVXckh6QlJjMGdzUjI5ZEdJaTJ6elgxQnU1eTJ4SEw1cjlQRnNUeHRoY0lFMTBaaFdsMFRJMlA?oc=5,2025-02-05 20:58:00,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi6AFBVV95cUxPZ2RfMHU3ZHA0bllfOF9LSnVBMXVTYjF3SmEwUEdJWUFTS01nc25aU3lDZ01jTjg4Qk85dXZrbVR0R0l0azJYQXhHc0hRZklZWFZkb0xjTjdRU3JxQ2RBVnJNN1RwTml6UTdNZTFra19ZaG9fcldzWDhyOWdEZGYwWUNKZkFjZmUyanBTeU94eXZpNDNQaEg3blFNMFMzLUFKRTJpZVlyOUlPWUdYc0Njck1VV3JIekJSYzBnc1IyOWRHSWkyenpYMUJ1NXkyeEhMNXI5UEZzVHh0aGNJRTEwWmhXbDBUSTJQ0gHoAUFVX3lxTE9nZF8wdTdkcDRuWV84X0tKdUExdVNiMXdKYTBQR0lZQVNLTWdzblpTeUNnTWNOODhCTzl1dmttVHRHSXRrMlhBeEdzSFFmSVlYVmRvTGNON1FTcnFDZEFWck03VHBOaXpRN01lMWtrX1lob19yV3NYOHI5Z0RkZjBZQ0pmQWNmZTJqcFN5T3h5dmk0M1BoSDduUU0wUzMtQUpFMmllWXI5SU9ZR1hzQ2NyTVVXckh6QlJjMGdzUjI5ZEdJaTJ6elgxQnU1eTJ4SEw1cjlQRnNUeHRoY0lFMTBaaFdsMFRJMlA?oc=5"" target=""_blank"">J&amp;K: Iltija Mufti accuses Centre, Omar’s NC govt, ‘Aap Jammu Kashmir ko jail bnana chahte hai…'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",,Disaster,en
"Police solves burglary case in Srinagar, three arrested, stolen cash recovered - Kashmir Horizon",https://news.google.com/rss/articles/CBMiugFBVV95cUxPZVh1YmtPTFNiSUZ3Ykx0OERiVnVXWDhUMmw1NnJSaktienB5SkRYb1d1OHZhNTZnWTZMd0FiMFllaVhYLVFFYWFBVHI1bS0yTm10MEZvMk56QXVSX2lla3dnOV9vZjJHU2EwNUxhV2djSmg1RF8xeFZwbTY2V0lBTDhtUEN4eTBvSG5Rblk0QmxZWnF2djFBTmtGMzhKMXowNHdPa1FMX1VST3dhYkp6aEdjWlpWZVpRY1E?oc=5,2025-02-06 09:52:24,Kashmir Horizon,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxPZVh1YmtPTFNiSUZ3Ykx0OERiVnVXWDhUMmw1NnJSaktienB5SkRYb1d1OHZhNTZnWTZMd0FiMFllaVhYLVFFYWFBVHI1bS0yTm10MEZvMk56QXVSX2lla3dnOV9vZjJHU2EwNUxhV2djSmg1RF8xeFZwbTY2V0lBTDhtUEN4eTBvSG5Rblk0QmxZWnF2djFBTmtGMzhKMXowNHdPa1FMX1VST3dhYkp6aEdjWlpWZVpRY1E?oc=5"" target=""_blank"">Police solves burglary case in Srinagar, three arrested, stolen cash recovered</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Horizon</font>",,Disaster,en
"In a 1st, Hamas part of terror meet in PoK attended by Jaish, Lashkar leaders - India Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOM29FeHRiSUNlUEdjbzAtNVVKRW9NSy1aV1BzR00yb3c3WlZSb3pvVG9QWEd4OEh0S0I5NkpVWXd2UVppbFFNZ2Nxd21SbzUycmJsMk5LUjdjOXNpa2V1MHNSdzg4Q1RMdlhRNEoxM0Y1WXdwanhHTXJiWkVfZVU5WXJqOGZYdDhRWTdfNFJnVGtDc2tvazFiQnV1ajlHRld2cHVXX2QwTDhldklYR2JjN1o4cFQ5blhiRVlNNS1kanpYMWJLOGxFODBsekZWdFZwXzBr0gHYAUFVX3lxTE1hVlhubHpjRDRLS3VkeFNQM3l1YTkwQk9kR2k3eS05Wm9rRE9oc2pQaE1mai1kZS05bXg3SnkxQWQ4Wmk4UnY3NGN5cDd2RDFvMVRRT0daaWc2eS15R1VnYzlOaEs3eFhWaEN4d1ZnSXRaV0V1bW1OX0x2eThfUV9FQXA5bHBqN1hqZUZUTm9rMF9fSmY0REMxeGJsQUpNUVhDR3pzMlZwVERMcmdfeERxaVNab0tXMkpja0pSNVJNOFJ6OGRvbnpGdFNZZnNOQWlaQ2lITHJhNg?oc=5,2025-02-05 17:04:32,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxOM29FeHRiSUNlUEdjbzAtNVVKRW9NSy1aV1BzR00yb3c3WlZSb3pvVG9QWEd4OEh0S0I5NkpVWXd2UVppbFFNZ2Nxd21SbzUycmJsMk5LUjdjOXNpa2V1MHNSdzg4Q1RMdlhRNEoxM0Y1WXdwanhHTXJiWkVfZVU5WXJqOGZYdDhRWTdfNFJnVGtDc2tvazFiQnV1ajlHRld2cHVXX2QwTDhldklYR2JjN1o4cFQ5blhiRVlNNS1kanpYMWJLOGxFODBsekZWdFZwXzBr0gHYAUFVX3lxTE1hVlhubHpjRDRLS3VkeFNQM3l1YTkwQk9kR2k3eS05Wm9rRE9oc2pQaE1mai1kZS05bXg3SnkxQWQ4Wmk4UnY3NGN5cDd2RDFvMVRRT0daaWc2eS15R1VnYzlOaEs3eFhWaEN4d1ZnSXRaV0V1bW1OX0x2eThfUV9FQXA5bHBqN1hqZUZUTm9rMF9fSmY0REMxeGJsQUpNUVhDR3pzMlZwVERMcmdfeERxaVNab0tXMkpja0pSNVJNOFJ6OGRvbnpGdFNZZnNOQWlaQ2lITHJhNg?oc=5"" target=""_blank"">In a 1st, Hamas part of terror meet in PoK attended by Jaish, Lashkar leaders</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",,Disaster,en
"J&K faces 80% precipitation deficit this winter,Concerns rise over water shortage, early spring:MeT - News Vibes of India",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOYVlvRGxyZHJfNzYyMmkxdE9fazVTREZ1ZHNjTW5CX2Q0R2xFMDBSV0luZS1HMEZyRHFJY2RqdmhwM014dEpwcV9Tb3UxSHJjN0xqdzlrbkZrVjFlLWpmT1NnREh3dDZhT2RMNWQ2TU5KLUtaeXNmM0M1bm5nOHNiUG0zR2NuYnY4cDlWVkxYUFNoVUhkWFVySEF4ZXNha2ZlU2hVUFp4TVZLRjQ2SVpINVVNS1FfWHlMc0o0cFNCZmIzdVhUdk1FdkNhM1NPdXdFYWZ6Wg?oc=5,2025-02-05 17:11:57,News Vibes of India,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOYVlvRGxyZHJfNzYyMmkxdE9fazVTREZ1ZHNjTW5CX2Q0R2xFMDBSV0luZS1HMEZyRHFJY2RqdmhwM014dEpwcV9Tb3UxSHJjN0xqdzlrbkZrVjFlLWpmT1NnREh3dDZhT2RMNWQ2TU5KLUtaeXNmM0M1bm5nOHNiUG0zR2NuYnY4cDlWVkxYUFNoVUhkWFVySEF4ZXNha2ZlU2hVUFp4TVZLRjQ2SVpINVVNS1FfWHlMc0o0cFNCZmIzdVhUdk1FdkNhM1NPdXdFYWZ6Wg?oc=5"" target=""_blank"">J&amp;K faces 80% precipitation deficit this winter,Concerns rise over water shortage, early spring:MeT</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News Vibes of India</font>",,Disaster,en
"India News Today Live: Jammu and Kashmir Weather Forecast and AQI Today on February 6, 2025: Today's temperature is -32.52 °C., Here's the latest weather forecast - MSN",https://news.google.com/rss/articles/CBMi0AJBVV95cUxPZkxERzlqZUZHTGxkdWRrcm9Lak4xdTVaVXZ2UDlpYlZnNEtVSl9jeWYwSUVQc0NSeF9rcnNWM1haMEZzc1h4S1RiNnRmWEdQcldldXJ2Y3hvSWRhcFFpZzFWNjJxSnFpNlBvWHgydFJZMVMzYzYtXzRfNFhWMW91SDZ5VlBDNXVaSGNsTnBtMC1nVmZOSmZma1o5WmNMb1F2YktBbWxtbnB0WTk5Xy1taHVyZHNzYVNLUkRfTlVXSURPRG1oa3BvSTFvVmJPVDhLYkU5WnR2ZjNrM09RWklHaGtHZUl2eFVrb0tLMmtJZnNoV0dCanJQeGc3b3IybWkybVpjMjI1OUdXcGJGMEh2RzdicURXTVFYaEZndjhWQzRLNXBGTUtENFVReGdOQzNFRjY2enlpc3NFUGllb2owdmZNeUU2cFVNYWd0bENQMkQ?oc=5,2025-02-06 08:12:00,MSN,"<a href=""https://news.google.com/rss/articles/CBMi0AJBVV95cUxPZkxERzlqZUZHTGxkdWRrcm9Lak4xdTVaVXZ2UDlpYlZnNEtVSl9jeWYwSUVQc0NSeF9rcnNWM1haMEZzc1h4S1RiNnRmWEdQcldldXJ2Y3hvSWRhcFFpZzFWNjJxSnFpNlBvWHgydFJZMVMzYzYtXzRfNFhWMW91SDZ5VlBDNXVaSGNsTnBtMC1nVmZOSmZma1o5WmNMb1F2YktBbWxtbnB0WTk5Xy1taHVyZHNzYVNLUkRfTlVXSURPRG1oa3BvSTFvVmJPVDhLYkU5WnR2ZjNrM09RWklHaGtHZUl2eFVrb0tLMmtJZnNoV0dCanJQeGc3b3IybWkybVpjMjI1OUdXcGJGMEh2RzdicURXTVFYaEZndjhWQzRLNXBGTUtENFVReGdOQzNFRjY2enlpc3NFUGllb2owdmZNeUU2cFVNYWd0bENQMkQ?oc=5"" target=""_blank"">India News Today Live: Jammu and Kashmir Weather Forecast and AQI Today on February 6, 2025: Today's temperature is -32.52 °C., Here's the latest weather forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",,Disaster,en
"Jammu and Kashmir Weather Forecast and AQI Today on February 5, 2025: Today's temperature is -29.69 °C., Here's the latest weather forecast - MSN",https://news.google.com/rss/articles/CBMiiwJBVV95cUxQa01KQmRPUFktTHRsNU1BSDVKZkhWTWFmQzBNQndsZklJNXgzU21TQkVDbGFLUENSdWhrbi1nQmRGbF80REZ0X3VFMkZaRGlKNVN1OVNjSWdOcmowUDB5dEVJU2dkRUxYV1BKZktaWWdRTW1HVUp5S0dQOGJTVmpkT25EaTlzSU9ZSlJ0aHNPT0VXX2UzZVdENk9memRlUGJmMnQ1VDdDdFNicnkza3pzM1d3ZHJxQWZ2SEl5ZGJWRGZobE0tTGVFNFNDdlJVY1ByaWp1S2xmT0owNjRaaW5ZS2JvWXRhZmlTZUNXaXVLWGpMc0hwc2YteFFSdXhPQ0JSUW1mb0FOcUpBb0E?oc=5,2025-02-06 00:46:48,MSN,"<a href=""https://news.google.com/rss/articles/CBMiiwJBVV95cUxQa01KQmRPUFktTHRsNU1BSDVKZkhWTWFmQzBNQndsZklJNXgzU21TQkVDbGFLUENSdWhrbi1nQmRGbF80REZ0X3VFMkZaRGlKNVN1OVNjSWdOcmowUDB5dEVJU2dkRUxYV1BKZktaWWdRTW1HVUp5S0dQOGJTVmpkT25EaTlzSU9ZSlJ0aHNPT0VXX2UzZVdENk9memRlUGJmMnQ1VDdDdFNicnkza3pzM1d3ZHJxQWZ2SEl5ZGJWRGZobE0tTGVFNFNDdlJVY1ByaWp1S2xmT0owNjRaaW5ZS2JvWXRhZmlTZUNXaXVLWGpMc0hwc2YteFFSdXhPQ0JSUW1mb0FOcUpBb0E?oc=5"" target=""_blank"">Jammu and Kashmir Weather Forecast and AQI Today on February 5, 2025: Today's temperature is -29.69 °C., Here's the latest weather forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",,Disaster,en
Traffic Plan & Advisory for February 06 - State Times,https://news.google.com/rss/articles/CBMib0FVX3lxTE01N25hcGk3TmJKVmFsSllodWY0cktZN2ZNVUNKQVQ1a2hMSm01SFVpZjk2NkVEb2JDdURFMVYxVDVyaHE0czc0eTlNS2dpcTZ0SXR4V3N0Zm9LUmhFdDlHVFRuRHVUN2xKcndpRnhJMNIBdEFVX3lxTE0xUW9Yd3UxTHgzLVYwdEs4WTF4WC1aU2o3S1JrYVZlYUVmSXJKZ2llNWRNeXJpNC1ORDFNdHktNUdjWWx6N2xnblFtMTdBeGxjWWVxdzV5M3FiMm1jQWl6dFdHT3g4cWVjUGRYaTlPa2RES1Z6?oc=5,2025-02-05 19:30:35,State Times,"<a href=""https://news.google.com/rss/articles/CBMib0FVX3lxTE01N25hcGk3TmJKVmFsSllodWY0cktZN2ZNVUNKQVQ1a2hMSm01SFVpZjk2NkVEb2JDdURFMVYxVDVyaHE0czc0eTlNS2dpcTZ0SXR4V3N0Zm9LUmhFdDlHVFRuRHVUN2xKcndpRnhJMNIBdEFVX3lxTE0xUW9Yd3UxTHgzLVYwdEs4WTF4WC1aU2o3S1JrYVZlYUVmSXJKZ2llNWRNeXJpNC1ORDFNdHktNUdjWWx6N2xnblFtMTdBeGxjWWVxdzV5M3FiMm1jQWl6dFdHT3g4cWVjUGRYaTlPa2RES1Z6?oc=5"" target=""_blank"">Traffic Plan & Advisory for February 06</a>&nbsp;&nbsp;<font color=""#6f6f6f"">State Times</font>",,Disaster,en
ISRAEL – PALESTINE – UNITED STATES Sister Nabila: Trump's (and Netanyahu's) plan for Gaza is ‘unimaginable’ - AsiaNews,https://news.google.com/rss/articles/CBMiywFBVV95cUxPWGlvTi1rZjd5M1d4SWh4RlY2eVBSeWJHS08yLTdLa3F2X2Y5M0xRNzFoM2tuRnRRS0dtTVFMTWRoQW9ITDV2WlZva2w2eDI0X0gtZmRTNmJoMkxDVU9lWkRRWGN0VS1UVmlhZGZwYnZMenE1S2pjRTQ5TkxJT25tdU5aUEdsWGpjUE1DR2RGb3lUMmtoZTZPbElNemJtYlZja2RhejNDQ1RhX2hKc1J1Y3lOOEdHaW1abzdhLUpsYzZreWllNlI5S0ttcw?oc=5,2025-02-05 20:35:57,AsiaNews,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPWGlvTi1rZjd5M1d4SWh4RlY2eVBSeWJHS08yLTdLa3F2X2Y5M0xRNzFoM2tuRnRRS0dtTVFMTWRoQW9ITDV2WlZva2w2eDI0X0gtZmRTNmJoMkxDVU9lWkRRWGN0VS1UVmlhZGZwYnZMenE1S2pjRTQ5TkxJT25tdU5aUEdsWGpjUE1DR2RGb3lUMmtoZTZPbElNemJtYlZja2RhejNDQ1RhX2hKc1J1Y3lOOEdHaW1abzdhLUpsYzZreWllNlI5S0ttcw?oc=5"" target=""_blank"">ISRAEL – PALESTINE – UNITED STATES Sister Nabila: Trump's (and Netanyahu's) plan for Gaza is ‘unimaginable’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AsiaNews</font>",,Disaster,en
