Title,Link,Date,Source,Summary,Term,LanguageQueried
"Severe weather update today: 22 dead in UP, Schools collapse, heat hits 48°C - Ground Report",https://news.google.com/rss/articles/CBMikAFBVV95cUxQbDdqcnZkdmV2cmc3SXRHYXdvYlBUbWY4WExwSlF3VjU3bkdNUDZEc0JBelpWRmdKS0d1UDkxNkozRHpKQjU3NThPMHVPa0ROYlI1Vm5CS2NWLXVicTNaY2MxTU81TU5peHpycFJkZG5FUXNyY2lORmpzNkhOSW9NUXVNQm5BRkY0TExPTHVsSEM?oc=5,2025-05-22 11:13:39,Ground Report,"<a href=""https://news.google.com/rss/articles/CBMikAFBVV95cUxQbDdqcnZkdmV2cmc3SXRHYXdvYlBUbWY4WExwSlF3VjU3bkdNUDZEc0JBelpWRmdKS0d1UDkxNkozRHpKQjU3NThPMHVPa0ROYlI1Vm5CS2NWLXVicTNaY2MxTU81TU5peHpycFJkZG5FUXNyY2lORmpzNkhOSW9NUXVNQm5BRkY0TExPTHVsSEM?oc=5"" target=""_blank"">Severe weather update today: 22 dead in UP, Schools collapse, heat hits 48°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ground Report</font>",Disaster,en
Delhi Weather: IMD Predicts Thunderstorms With Rain for Weekend – Check Full Forecast - Times Now,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbzNSZm1FSGZpUDNkRWZ0U0U2S0lVTUtEYzdtV2UzSE12NUp3NVRMSjdGcFhsU3BERTZESmZvb29mOVJ2YkpySUxkMmIxYUZ3Yms0eTVSWUd0ODhhWTd0QlF2Ti1ZdTRySjNUZ1l1NWlXQTZ3VkplNVRmMFZZTWFzT0J0N0g2UUp4bjNNd28yYk1YSnN5cjhTR3QwWUlCSW1DTy1IYXM4NVN5N0g1SVljYU4xdlprUU9WeVZPcFNHZUs3MndNem5RWG1yOEI5RFpE0gHWAUFVX3lxTE9hMWVCNk5fNndZbXMtZThzQkxqNHVrbWt0dWFpSzRReXh3TkZ5LWlGYWx6MGhMckl4Zm13Q0dFN1JxNThMQnFlUHdOWjlMT2JYa2tMS0JWRk1rVnYzX1pzOTd5b3FHMEp4am1rNU52V1Rwc1Z2VXV2ankwSWZnck5uNXNJV2lPYWFHTk5heWR0UFZKWEF6S2VtN1llYVFtNTBtYXI5bWw0emxPS0xWNlhnUml3OUEwemNCQnEtWk1yd1dfaVlFbVYtdFZfMXJQWWVhWVo1Vmc?oc=5,2025-05-22 21:46:24,Times Now,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxNbzNSZm1FSGZpUDNkRWZ0U0U2S0lVTUtEYzdtV2UzSE12NUp3NVRMSjdGcFhsU3BERTZESmZvb29mOVJ2YkpySUxkMmIxYUZ3Yms0eTVSWUd0ODhhWTd0QlF2Ti1ZdTRySjNUZ1l1NWlXQTZ3VkplNVRmMFZZTWFzT0J0N0g2UUp4bjNNd28yYk1YSnN5cjhTR3QwWUlCSW1DTy1IYXM4NVN5N0g1SVljYU4xdlprUU9WeVZPcFNHZUs3MndNem5RWG1yOEI5RFpE0gHWAUFVX3lxTE9hMWVCNk5fNndZbXMtZThzQkxqNHVrbWt0dWFpSzRReXh3TkZ5LWlGYWx6MGhMckl4Zm13Q0dFN1JxNThMQnFlUHdOWjlMT2JYa2tMS0JWRk1rVnYzX1pzOTd5b3FHMEp4am1rNU52V1Rwc1Z2VXV2ankwSWZnck5uNXNJV2lPYWFHTk5heWR0UFZKWEF6S2VtN1llYVFtNTBtYXI5bWw0emxPS0xWNlhnUml3OUEwemNCQnEtWk1yd1dfaVlFbVYtdFZfMXJQWWVhWVo1Vmc?oc=5"" target=""_blank"">Delhi Weather: IMD Predicts Thunderstorms With Rain for Weekend – Check Full Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font>",Disaster,en
"IMD forecast: India braces for stormy weather, heatwaves, early monsoon - Business Standard",https://news.google.com/rss/articles/CBMi0gFBVV95cUxQeUNueENyQ1EwSUE3VmgzcXVENS1mRzV1OTRUcFdBVjcxbEFpY25xb1h6QzhOYllpc1NJVGdsdU14Yk9mOFE0UU9QUHhXRkVkTWN5SUpzdVlDUHo3UFJubGRuY1NVWDdqd28tU0ZSOEVuZjhWdExxS2owc3RxR29DZEc3NUZxdHJwVW9NYnc2a3otMTBvNmxDU3BmWmJKZ0Nfdlgya2UwMXBxYU42bHp1OHNYRW1pcDJMMlFWY3hGVHN0NUxTSzNRQndZUmo4M2s5LXfSAdcBQVVfeXFMT0hMZlZSMV9hUWRRSVcxc3otN1NMYm4xRHVITWt2X1RWRUllbTVIS0Z3Z2IzZllQdVpxRk9UZ1FmMEdCMll4angwSVNSZGVJNjlvYmpVV2kwSTNRWW1DeVRGc0htZ05TWTJ4czBwTmdKR3NiYl8xcThXc3pQOEVSN2lWck1KZGZTUDhwdVlyT0gxT3AyVjBWTFhxZjNvcXk3S013VDQ4dFFTNDRqTEFrV3ZOcjhrSVNXaXcwZTFqNEhfQ254OWZuanhLN0FEc0ZEM2R3aVFtUTA?oc=5,2025-05-22 11:06:53,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxQeUNueENyQ1EwSUE3VmgzcXVENS1mRzV1OTRUcFdBVjcxbEFpY25xb1h6QzhOYllpc1NJVGdsdU14Yk9mOFE0UU9QUHhXRkVkTWN5SUpzdVlDUHo3UFJubGRuY1NVWDdqd28tU0ZSOEVuZjhWdExxS2owc3RxR29DZEc3NUZxdHJwVW9NYnc2a3otMTBvNmxDU3BmWmJKZ0Nfdlgya2UwMXBxYU42bHp1OHNYRW1pcDJMMlFWY3hGVHN0NUxTSzNRQndZUmo4M2s5LXfSAdcBQVVfeXFMT0hMZlZSMV9hUWRRSVcxc3otN1NMYm4xRHVITWt2X1RWRUllbTVIS0Z3Z2IzZllQdVpxRk9UZ1FmMEdCMll4angwSVNSZGVJNjlvYmpVV2kwSTNRWW1DeVRGc0htZ05TWTJ4czBwTmdKR3NiYl8xcThXc3pQOEVSN2lWck1KZGZTUDhwdVlyT0gxT3AyVjBWTFhxZjNvcXk3S013VDQ4dFFTNDRqTEFrV3ZOcjhrSVNXaXcwZTFqNEhfQ254OWZuanhLN0FEc0ZEM2R3aVFtUTA?oc=5"" target=""_blank"">IMD forecast: India braces for stormy weather, heatwaves, early monsoon</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
Pak rejected IndiGo pilot's request to use airspace to avoid turbulence - India Today,https://news.google.com/rss/articles/CBMiywFBVV95cUxPSEVNRE5xell0WXdDc2duenA2OHpxQXlyZ2p3c3haOWtHdFpEQ0RSeWlGeUpFLXRsbFE1cG52WTlsZmJabElabTQyR1FqdEx2c1ZqMnNZcVRMZ09ZdUlvYmVud1NjREQyd1VxaHkyRmtqOS11VnBZWFZIa21ibHhkOHN0VUY4aGFZSDltQ19GRUtEM3ZSSEs2QjlSd2ZjSTJsVE5JSTlvRVV2TmR5c0JfRjlHUVlscFJtQXFnTnI3c2tIX3BkT0JzaDFPMNIB0AFBVV95cUxNeXVyQzRlNVZBelR1RTVJNkpLNVVvTi1RemoySTZka1ZWbkpLWUdGb3p0WEJOOG9wT2VZQ1FFanEtXzc3dl9SV1BKRTdzTWJpdGlteWVtZlBvVUNGeTJ6T01YTDU3NEI3b2V2ZERoeF9vaF9xQVdBT1JQaUpRRVBlNGk0NVdXUjVGVHljdXpMQzRzbWtVaHUwZDdLaGdoYlN0NDY3SkNSWTdId0ZmeENLMWFZUm9YLVdVZGt2YzFwLTRJbzRwM05BTVo3aF9TS0xh?oc=5,2025-05-22 23:04:14,India Today,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPSEVNRE5xell0WXdDc2duenA2OHpxQXlyZ2p3c3haOWtHdFpEQ0RSeWlGeUpFLXRsbFE1cG52WTlsZmJabElabTQyR1FqdEx2c1ZqMnNZcVRMZ09ZdUlvYmVud1NjREQyd1VxaHkyRmtqOS11VnBZWFZIa21ibHhkOHN0VUY4aGFZSDltQ19GRUtEM3ZSSEs2QjlSd2ZjSTJsVE5JSTlvRVV2TmR5c0JfRjlHUVlscFJtQXFnTnI3c2tIX3BkT0JzaDFPMNIB0AFBVV95cUxNeXVyQzRlNVZBelR1RTVJNkpLNVVvTi1RemoySTZka1ZWbkpLWUdGb3p0WEJOOG9wT2VZQ1FFanEtXzc3dl9SV1BKRTdzTWJpdGlteWVtZlBvVUNGeTJ6T01YTDU3NEI3b2V2ZERoeF9vaF9xQVdBT1JQaUpRRVBlNGk0NVdXUjVGVHljdXpMQzRzbWtVaHUwZDdLaGdoYlN0NDY3SkNSWTdId0ZmeENLMWFZUm9YLVdVZGt2YzFwLTRJbzRwM05BTVo3aF9TS0xh?oc=5"" target=""_blank"">Pak rejected IndiGo pilot's request to use airspace to avoid turbulence</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"IMD Weather LIVE Updates: Southern States To Witness Widespread Rainfall Till May 27, Orange Alert In Delhi - news24online.com",https://news.google.com/rss/articles/CBMijwJBVV95cUxOV0FNdFdJekNnR19OVzluNTlObGxUdXpGSGljMThIWndiaTJNdmhja1RDTTlKT01LeW4zSlNHekVBemludGJtTEVwTVMyeFZBXzhVWkJXWFRTNWJEOF9xTTJ6X2huVVNiRkQ3QjFyVUtLQS1FdWg2TlpaSlYtXzFBMFFWamZYQ01vRjF4REFOS1NMRXE5bjBRamNOcU00TnRTX19CQWt6NndVOWYwaTltT2dLY1dlS2psYk54WnZfaktkTGUwam5KMTNubDJIQWlvbzVPc0xDZ3ExT3p0U3dyTjA1Y2hUVjhFZWt2UmMxNE5JVl81OVZwVkZpSUJrZWV1MV9kUm9tRzgyQ2Nsb2VF?oc=5,2025-05-22 14:25:20,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMijwJBVV95cUxOV0FNdFdJekNnR19OVzluNTlObGxUdXpGSGljMThIWndiaTJNdmhja1RDTTlKT01LeW4zSlNHekVBemludGJtTEVwTVMyeFZBXzhVWkJXWFRTNWJEOF9xTTJ6X2huVVNiRkQ3QjFyVUtLQS1FdWg2TlpaSlYtXzFBMFFWamZYQ01vRjF4REFOS1NMRXE5bjBRamNOcU00TnRTX19CQWt6NndVOWYwaTltT2dLY1dlS2psYk54WnZfaktkTGUwam5KMTNubDJIQWlvbzVPc0xDZ3ExT3p0U3dyTjA1Y2hUVjhFZWt2UmMxNE5JVl81OVZwVkZpSUJrZWV1MV9kUm9tRzgyQ2Nsb2VF?oc=5"" target=""_blank"">IMD Weather LIVE Updates: Southern States To Witness Widespread Rainfall Till May 27, Orange Alert In Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Disaster,en
"Delhi-NCR Storm Kills 6, IndiGo Flight Faces Scary Turbulence: A Night of Fear and Survival - newslivetv.com",https://news.google.com/rss/articles/CBMifEFVX3lxTE94T1EtcWJHZWdoMWZta1psaEpJcWpzRXg1NGRaUmFzUlhQZVdnRUxKTUl2aDdoeHJZVTdDZlZjWlZKZWdpbDVMMVRzZDNlbl90WGxTb3BhalRjWG1wcVF2M1AwY0tlYlBfTHdndmRHOVYtT1Izc2NjLU1nMUM?oc=5,2025-05-22 12:07:57,newslivetv.com,"<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE94T1EtcWJHZWdoMWZta1psaEpJcWpzRXg1NGRaUmFzUlhQZVdnRUxKTUl2aDdoeHJZVTdDZlZjWlZKZWdpbDVMMVRzZDNlbl90WGxTb3BhalRjWG1wcVF2M1AwY0tlYlBfTHdndmRHOVYtT1Izc2NjLU1nMUM?oc=5"" target=""_blank"">Delhi-NCR Storm Kills 6, IndiGo Flight Faces Scary Turbulence: A Night of Fear and Survival</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newslivetv.com</font>",Disaster,en
"Operation Sindoor: India Responds Decisively to Pakistan, Destroys 5 Border Posts and 1 Terror Launchpad - KKN Live",https://news.google.com/rss/articles/CBMimAFBVV95cUxORThJWWZ1clQ2eTQ0QmdFc2VRSk40Zk9oVlc3UkhKcWc1M01pZHozZElFSkRVUWJjb0FfWm5VcTNTLWpGREdEd2JOOHQ1TjJmUmtTYUVwWEJYR3pEeFhETWRmSHVGRGZoMzNBbkRDM04wQlNiRTZjSi00U0pYSFNsd2U0cmRJcHYtaWNYc2NQRGJtd0ZXbUduONIBmAFBVV95cUxORThJWWZ1clQ2eTQ0QmdFc2VRSk40Zk9oVlc3UkhKcWc1M01pZHozZElFSkRVUWJjb0FfWm5VcTNTLWpGREdEd2JOOHQ1TjJmUmtTYUVwWEJYR3pEeFhETWRmSHVGRGZoMzNBbkRDM04wQlNiRTZjSi00U0pYSFNsd2U0cmRJcHYtaWNYc2NQRGJtd0ZXbUduOA?oc=5,2025-05-22 11:12:14,KKN Live,"<a href=""https://news.google.com/rss/articles/CBMimAFBVV95cUxORThJWWZ1clQ2eTQ0QmdFc2VRSk40Zk9oVlc3UkhKcWc1M01pZHozZElFSkRVUWJjb0FfWm5VcTNTLWpGREdEd2JOOHQ1TjJmUmtTYUVwWEJYR3pEeFhETWRmSHVGRGZoMzNBbkRDM04wQlNiRTZjSi00U0pYSFNsd2U0cmRJcHYtaWNYc2NQRGJtd0ZXbUduONIBmAFBVV95cUxORThJWWZ1clQ2eTQ0QmdFc2VRSk40Zk9oVlc3UkhKcWc1M01pZHozZElFSkRVUWJjb0FfWm5VcTNTLWpGREdEd2JOOHQ1TjJmUmtTYUVwWEJYR3pEeFhETWRmSHVGRGZoMzNBbkRDM04wQlNiRTZjSi00U0pYSFNsd2U0cmRJcHYtaWNYc2NQRGJtd0ZXbUduOA?oc=5"" target=""_blank"">Operation Sindoor: India Responds Decisively to Pakistan, Destroys 5 Border Posts and 1 Terror Launchpad</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KKN Live</font>",Disaster,en
"Trump Takes Credit for India-Pakistan Ceasefire, Cites Trade as Diplomatic Tool - KKN Live",https://news.google.com/rss/articles/CBMitwFBVV95cUxOdHBqM3lJVXNfUnlIVjY1czJLR1lpWk9xMEFQdU9Xc0VlT25mcFhWaEVTcGZiZFpJUWZPTnRKYjNHN0VEbG9PYndrdmNNYlhPclBPSUZyUm5DcUdtSkpibHF1dFBZb2pKNHY0TFpGRENkNUNycnJXVjhNb21HNGxYLUttU1JTTjEtQVdmV1E5ZE9DVHdwZzBPeENZaENZVWdtcnQyNXNqUDA4ZFpoVHQ4WUUybVZQRDDSAbcBQVVfeXFMTnRwajN5SVVzX1J5SFY2NXMyS0dZaVpPcTBBUHVPV3NFZU9uZnBYVmhFU3BmYmRaSVFmT050SmIzRzdFRGxvT2J3a3ZjTWJYT3JQT0lGclJuQ3FHbUpKYmxxdXRQWW9qSjR2NExaRkRDZDVDcnJyV1Y4TW9tRzRsWC1LbVNSU04xLUFXZldROWRPQ1R3cGcwT3hDWWhDWVVnbXJ0MjVzalAwOGRaaFR0OFlFMm1WUEQw?oc=5,2025-05-22 11:19:46,KKN Live,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOdHBqM3lJVXNfUnlIVjY1czJLR1lpWk9xMEFQdU9Xc0VlT25mcFhWaEVTcGZiZFpJUWZPTnRKYjNHN0VEbG9PYndrdmNNYlhPclBPSUZyUm5DcUdtSkpibHF1dFBZb2pKNHY0TFpGRENkNUNycnJXVjhNb21HNGxYLUttU1JTTjEtQVdmV1E5ZE9DVHdwZzBPeENZaENZVWdtcnQyNXNqUDA4ZFpoVHQ4WUUybVZQRDDSAbcBQVVfeXFMTnRwajN5SVVzX1J5SFY2NXMyS0dZaVpPcTBBUHVPV3NFZU9uZnBYVmhFU3BmYmRaSVFmT050SmIzRzdFRGxvT2J3a3ZjTWJYT3JQT0lGclJuQ3FHbUpKYmxxdXRQWW9qSjR2NExaRkRDZDVDcnJyV1Y4TW9tRzRsWC1LbVNSU04xLUFXZldROWRPQ1R3cGcwT3hDWWhDWVVnbXJ0MjVzalAwOGRaaFR0OFlFMm1WUEQw?oc=5"" target=""_blank"">Trump Takes Credit for India-Pakistan Ceasefire, Cites Trade as Diplomatic Tool</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KKN Live</font>",Disaster,en
"Delhi may see light rain, thunder till May 25; monsoon onset over Kerala, Karnataka, Tamil Nadu in 2-3 days: IMD - Business Today",https://news.google.com/rss/articles/CBMi-gFBVV95cUxOWnRYWFk2dU9FcDhUbF9iQjBncGJyU2lJeDNCcm1taDl5czdoMEc2cVdPNkJKU1JPZ0x6ZTRmNHdpVFl2SzM1N1pMMGo3MlZvdUxYUm9vU01CbzBJRC1mSHBONVJraHZvSm9zSUVFNnNOTGRvWnByeld3dUNYZklWR0xrdHhpSXBnOU5OWEdtMHlGNjZwTWlfNHVXMVRFdGtyU2diSEp2TzVTd2ZXSnZtYU5UOGhYT0w5aG43dEFtcGxyZUFPajRkNmJUUmI5VDFUdEZWaHNGUFBSZWlEWjRXcmhnaUlkQUl3WDJSU1BXSnNUOWlBTnREZVR30gH_AUFVX3lxTE5QSVdfd1BoQlVvNHVaSGtiVUNGdDN6RUlpNnJLMXZScEhPWGR3SHBVSnkyWW5UVEp2X3JWV3VPSDRvRjJwRmNfLUZrWlZpTkMxdlNPZG8yU2hFd2t2eXo0ck41dlRKRUlJNHNkR0dIUHg1MENyU2RnSUJWWkZkdUV3aURjMXY1cnBwZUxfVk9FNFdyVHJ1UlY4UDFWeW8tTnNENFlNYU1JQVhHdjlkZ3JaYWtyR1pUMzNHOVNRMHFtczJKS1hhMF9YLTlPVjJZMUI4cVM5VlhlVU1UckFDVDBoSFBaWTBKdUlyR0RSZEI1c1hZTUlwY3RMU2x1aUR6MA?oc=5,2025-05-22 16:35:34,Business Today,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxOWnRYWFk2dU9FcDhUbF9iQjBncGJyU2lJeDNCcm1taDl5czdoMEc2cVdPNkJKU1JPZ0x6ZTRmNHdpVFl2SzM1N1pMMGo3MlZvdUxYUm9vU01CbzBJRC1mSHBONVJraHZvSm9zSUVFNnNOTGRvWnByeld3dUNYZklWR0xrdHhpSXBnOU5OWEdtMHlGNjZwTWlfNHVXMVRFdGtyU2diSEp2TzVTd2ZXSnZtYU5UOGhYT0w5aG43dEFtcGxyZUFPajRkNmJUUmI5VDFUdEZWaHNGUFBSZWlEWjRXcmhnaUlkQUl3WDJSU1BXSnNUOWlBTnREZVR30gH_AUFVX3lxTE5QSVdfd1BoQlVvNHVaSGtiVUNGdDN6RUlpNnJLMXZScEhPWGR3SHBVSnkyWW5UVEp2X3JWV3VPSDRvRjJwRmNfLUZrWlZpTkMxdlNPZG8yU2hFd2t2eXo0ck41dlRKRUlJNHNkR0dIUHg1MENyU2RnSUJWWkZkdUV3aURjMXY1cnBwZUxfVk9FNFdyVHJ1UlY4UDFWeW8tTnNENFlNYU1JQVhHdjlkZ3JaYWtyR1pUMzNHOVNRMHFtczJKS1hhMF9YLTlPVjJZMUI4cVM5VlhlVU1UckFDVDBoSFBaWTBKdUlyR0RSZEI1c1hZTUlwY3RMU2x1aUR6MA?oc=5"" target=""_blank"">Delhi may see light rain, thunder till May 25; monsoon onset over Kerala, Karnataka, Tamil Nadu in 2-3 days: IMD</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Today</font>",Disaster,en
IMD Issues Alert: Heatwave and Heavy Rain Forecast Across India for Next 5 Days - The Hindustan Gazette,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOYWJUWkJMLTJtbWJxU0FqLVQ2MHZweEF1d2prYU9GelQ1RktGVDROWFdoc2NrR0VwRkkwUGE0MmZMallDV0ZPaGZkQ3RTeDFDYWd3bnVweF9neXh0YmFQMHhPdnJCd1V2VnREcmtSUHVROFFEZWJYdUh1MXprbGFqdUZUUUJ2eWxKcGNianBnNEtJN2pwcThIQWM0U2ktdFVwaER5enBnb0VHRVFoTXY4eDkxUlhrVVhWOVlPMWc3ODRrMlNYZXE4LUtRYnU5R0Vs?oc=5,2025-05-22 12:42:39,The Hindustan Gazette,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOYWJUWkJMLTJtbWJxU0FqLVQ2MHZweEF1d2prYU9GelQ1RktGVDROWFdoc2NrR0VwRkkwUGE0MmZMallDV0ZPaGZkQ3RTeDFDYWd3bnVweF9neXh0YmFQMHhPdnJCd1V2VnREcmtSUHVROFFEZWJYdUh1MXprbGFqdUZUUUJ2eWxKcGNianBnNEtJN2pwcThIQWM0U2ktdFVwaER5enBnb0VHRVFoTXY4eDkxUlhrVVhWOVlPMWc3ODRrMlNYZXE4LUtRYnU5R0Vs?oc=5"" target=""_blank"">IMD Issues Alert: Heatwave and Heavy Rain Forecast Across India for Next 5 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hindustan Gazette</font>",Disaster,en
