Title,Link,Date,Source,Summary,Term,LanguageQueried
Heatwave and warm nights in parts of state between April 23 and 26: Met - Times of India,https://news.google.com/rss/articles/CBMi2wFBVV95cUxQMlFETmtHZU9wZEx1c0Z5a293WDFoNEtZVUpLUVJ5UTh2T2pjYTcyRmtPMU1qcDZwazd6LUE3M1BrQURacXR1NDhXWTJab2ZabUxxRDhJbk95a1JBT2FhY3diamJBTDR3NkxMMVhvZEJIYUwtVlg2NGIyM19NZXQ2NXVjR2c1dlZWbl9pcmtmQWxCSzNqdVdPUkdxTnQxVXJGbTBNWnFpbEhmQnlveGpJS1RUNDRWRGUzdXdQbTl5RjQwSjJPemdtbThjblllb2kycXRUanl6Qjh1SGfSAeABQVVfeXFMUG8wTnpmOGhDbl82anhnOHhyOHUtUXNvNHZyZ1FZMVlza0s1NlNzNU9ycG1oTGhHSloxOHNrZmpwVmdvVlR0ZnBpeFpkOVZYNVY1VGZRRkd0a1pqTUh6Tm1jakQzeFBLWlRwZVdlVVBxTmdnMjZmNUJINUJlWlRlR3lJWjdKYUdkc3ZJb3gtZ253N2UzTmZVcHN6Z2l1WGlhSHgzUnBjMU5uT3dOUWY5dHU0enZBMDk2V1hQY2JPVU9DMGdnOG5UQUNJU2ZybDM1blJhTmFTbVJBV2diWF9NWXc?oc=5,2025-04-22 21:40:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi2wFBVV95cUxQMlFETmtHZU9wZEx1c0Z5a293WDFoNEtZVUpLUVJ5UTh2T2pjYTcyRmtPMU1qcDZwazd6LUE3M1BrQURacXR1NDhXWTJab2ZabUxxRDhJbk95a1JBT2FhY3diamJBTDR3NkxMMVhvZEJIYUwtVlg2NGIyM19NZXQ2NXVjR2c1dlZWbl9pcmtmQWxCSzNqdVdPUkdxTnQxVXJGbTBNWnFpbEhmQnlveGpJS1RUNDRWRGUzdXdQbTl5RjQwSjJPemdtbThjblllb2kycXRUanl6Qjh1SGfSAeABQVVfeXFMUG8wTnpmOGhDbl82anhnOHhyOHUtUXNvNHZyZ1FZMVlza0s1NlNzNU9ycG1oTGhHSloxOHNrZmpwVmdvVlR0ZnBpeFpkOVZYNVY1VGZRRkd0a1pqTUh6Tm1jakQzeFBLWlRwZVdlVVBxTmdnMjZmNUJINUJlWlRlR3lJWjdKYUdkc3ZJb3gtZ253N2UzTmZVcHN6Z2l1WGlhSHgzUnBjMU5uT3dOUWY5dHU0enZBMDk2V1hQY2JPVU9DMGdnOG5UQUNJU2ZybDM1blJhTmFTbVJBV2diWF9NWXc?oc=5"" target=""_blank"">Heatwave and warm nights in parts of state between April 23 and 26: Met</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"India heats up: Nagpur hottest, Delhi warmer than normal, heatwave in Rajasthan | Weather updates - MSN",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPRi1aSkk4UFd0eGlzUFI5V1RNdkhkNWJldVVjOVM3U2d1aXg5SkRrTk02N294eC1JOUNxd2lfZ0UyXzI4aFI4X1FvOVVPU1Y5VUY5aDlfSFNzUXR5am5zTGEtZ0VTX0pKbUxSdHZOdC1fdWRtZFpqdi1YcEpzWDVYLUlzMFVhMWh1U3lfWWs5UTlFWTdCaG1LWURacUlxXzhrOFBNWDYzZDlUMmI2bDQ5S1VIdUh4YXItNmEzV08zUm1PQmtpZVQtdkFPRlIxOV9ScTFJZ0w3MjVxaWxWWTRaQzQ1R09FTG9qMDBXTWNld0ZFWld2cFNQZWxGOA?oc=5,2025-04-23 01:06:32,MSN,"<a href=""https://news.google.com/rss/articles/CBMi-wFBVV95cUxPRi1aSkk4UFd0eGlzUFI5V1RNdkhkNWJldVVjOVM3U2d1aXg5SkRrTk02N294eC1JOUNxd2lfZ0UyXzI4aFI4X1FvOVVPU1Y5VUY5aDlfSFNzUXR5am5zTGEtZ0VTX0pKbUxSdHZOdC1fdWRtZFpqdi1YcEpzWDVYLUlzMFVhMWh1U3lfWWs5UTlFWTdCaG1LWURacUlxXzhrOFBNWDYzZDlUMmI2bDQ5S1VIdUh4YXItNmEzV08zUm1PQmtpZVQtdkFPRlIxOV9ScTFJZ0w3MjVxaWxWWTRaQzQ1R09FTG9qMDBXTWNld0ZFWld2cFNQZWxGOA?oc=5"" target=""_blank"">India heats up: Nagpur hottest, Delhi warmer than normal, heatwave in Rajasthan | Weather updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Delhi Forecast IMD Yellow Alert for Thunderstorms in Multiple States - urbanacres.in,https://news.google.com/rss/articles/CBMilgFBVV95cUxPM2MtRENxNksxZnRiRUkzRFJaVWxCSVRQaDZpU0Q3YzZ0X2pyOERqUkYtVnFQc3dWQkZOaHhrdHRyZ1pEcklIaGlnUjVvWWNzZU05UkRIcVBmTGFMN1lCTllRTU5qWTNwbGF0NUFJSDVWNDA2WGNPUEZhMW40cDVWWDNFLTFwcndBRlNfQ0FEWlVSTWNsUFE?oc=5,2025-04-23 09:36:25,urbanacres.in,"<a href=""https://news.google.com/rss/articles/CBMilgFBVV95cUxPM2MtRENxNksxZnRiRUkzRFJaVWxCSVRQaDZpU0Q3YzZ0X2pyOERqUkYtVnFQc3dWQkZOaHhrdHRyZ1pEcklIaGlnUjVvWWNzZU05UkRIcVBmTGFMN1lCTllRTU5qWTNwbGF0NUFJSDVWNDA2WGNPUEZhMW40cDVWWDNFLTFwcndBRlNfQ0FEWlVSTWNsUFE?oc=5"" target=""_blank"">Delhi Forecast IMD Yellow Alert for Thunderstorms in Multiple States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">urbanacres.in</font>",Heatwave,en
Severe Heatwave In Jharsuguda Pushes Temp To 44.8°C By 2.30PM; Sultry Summer Ahead In Odisha - Odisha Bytes,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSUFvME9DOUJYQWljOEJxdE9VRjN3a1ZZVW92N2dhdElkNjkzb3RXUHZOcWNYTEJsU0l5N0tJNmN2QVlsWDBMX19qUmh0SWppWGxSVnMzakdnLW9EUGJkZHk5WEdRcGxtS3AweTNDc2paQzhtQTNYZmtiZGE1NGlaM1IybnM2V2gxNXlYaDV1UVVJOUM3bzRma2pBaGtfaTU4bENyVkw4NEozTzZ0RnFWSkZDNWJaSUNWTmJJ0gG7AUFVX3lxTE5JQW8wT0M5QlhBaWM4QnF0T1VGM3drVllVb3Y3Z2F0SWQ2OTNvdFdQdk5xY1hMQmxTSXk3S0k2Y3ZBWWxYMExfX2pSaHRJamlYbFJWczNqR2ctb0RQYmRkeTlYR1FwbG1LcDB5M0NzalpDOG1BM1hma2JkYTU0aVozUjJuczZXaDE1eVhoNXVRVUk5QzdvNGZrakFoa19pNThsQ3JWTDg0SjNPNnRGcVZKRkM1YlpJQ1ZOYkk?oc=5,2025-04-22 16:17:55,Odisha Bytes,"<a href=""https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSUFvME9DOUJYQWljOEJxdE9VRjN3a1ZZVW92N2dhdElkNjkzb3RXUHZOcWNYTEJsU0l5N0tJNmN2QVlsWDBMX19qUmh0SWppWGxSVnMzakdnLW9EUGJkZHk5WEdRcGxtS3AweTNDc2paQzhtQTNYZmtiZGE1NGlaM1IybnM2V2gxNXlYaDV1UVVJOUM3bzRma2pBaGtfaTU4bENyVkw4NEozTzZ0RnFWSkZDNWJaSUNWTmJJ0gG7AUFVX3lxTE5JQW8wT0M5QlhBaWM4QnF0T1VGM3drVllVb3Y3Z2F0SWQ2OTNvdFdQdk5xY1hMQmxTSXk3S0k2Y3ZBWWxYMExfX2pSaHRJamlYbFJWczNqR2ctb0RQYmRkeTlYR1FwbG1LcDB5M0NzalpDOG1BM1hma2JkYTU0aVozUjJuczZXaDE1eVhoNXVRVUk5QzdvNGZrakFoa19pNThsQ3JWTDg0SjNPNnRGcVZKRkM1YlpJQ1ZOYkk?oc=5"" target=""_blank"">Severe Heatwave In Jharsuguda Pushes Temp To 44.8°C By 2.30PM; Sultry Summer Ahead In Odisha</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Odisha Bytes</font>",Heatwave,en
"Monsoon Forecast - Warning Very Heavy rain, heatwave alert in 8 states, Here Latest Update - Times Bull",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPRjZzMWNDU1otMUMxTm85a3hYam8wRVI2UlNFOUJGYTB0RU1xcnljSW45M3FoSkpTLWw2MGV2SzBWWUNlbHR3TGJ6R2FaTkZ1a1d5SHIwTXhRVmtQRWhKV3ZhdmMyaVp2OVZzVTdTTnJMTHlOekpHSlhvNVNMSU4tMDI4dFNiOVJCOHFkSVU2OWJ1SU8xMjkxVXloZDhpSVlkdHpldlZ4MFEyWVA0aXczeS1rSl9xS2Q1MVM0V0xNVldPdi1KVTBNX0pZc3VtX2E0?oc=5,2025-04-22 10:59:49,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxPRjZzMWNDU1otMUMxTm85a3hYam8wRVI2UlNFOUJGYTB0RU1xcnljSW45M3FoSkpTLWw2MGV2SzBWWUNlbHR3TGJ6R2FaTkZ1a1d5SHIwTXhRVmtQRWhKV3ZhdmMyaVp2OVZzVTdTTnJMTHlOekpHSlhvNVNMSU4tMDI4dFNiOVJCOHFkSVU2OWJ1SU8xMjkxVXloZDhpSVlkdHpldlZ4MFEyWVA0aXczeS1rSl9xS2Q1MVM0V0xNVldPdi1KVTBNX0pZc3VtX2E0?oc=5"" target=""_blank"">Monsoon Forecast - Warning Very Heavy rain, heatwave alert in 8 states, Here Latest Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
NDMA urges citizens to remain cautious amidst countrywide heatwave - Dawn,https://news.google.com/rss/articles/CBMiogFBVV95cUxPLVcwTHVvVHFDU1N1ekpLRVpXVi00c1Y4YXZmTFZWb3hPVUdIaXJNenlXOFZ3Tl81dzkzQ0czNkUzRUVJbmNjVlplajE2VXZXTUNVcnVCMUczRFQwdlVXcmp6U1VkYmRVcXRGbnpvTzRXZ0xjQmkyazhPdnZpZmJ0RDVZV1c0RnRLVDhUSUNmSzFJUjIwb2ZEQUZFeWJOdnNKYkHSAU5BVV95cUxQQ3F5ekFhWGlnQWFtSGVtMHZZRUVMTTBkdEF5SXRUVUJxR3RkUlBRR2FlaExlYlRlVGk2djNNaDFlbk5JS1ZKN0pjZjZXdkE?oc=5,2025-04-22 12:39:15,Dawn,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxPLVcwTHVvVHFDU1N1ekpLRVpXVi00c1Y4YXZmTFZWb3hPVUdIaXJNenlXOFZ3Tl81dzkzQ0czNkUzRUVJbmNjVlplajE2VXZXTUNVcnVCMUczRFQwdlVXcmp6U1VkYmRVcXRGbnpvTzRXZ0xjQmkyazhPdnZpZmJ0RDVZV1c0RnRLVDhUSUNmSzFJUjIwb2ZEQUZFeWJOdnNKYkHSAU5BVV95cUxQQ3F5ekFhWGlnQWFtSGVtMHZZRUVMTTBkdEF5SXRUVUJxR3RkUlBRR2FlaExlYlRlVGk2djNNaDFlbk5JS1ZKN0pjZjZXdkE?oc=5"" target=""_blank"">NDMA urges citizens to remain cautious amidst countrywide heatwave</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Dawn</font>",Heatwave,en
Heatwave to hit across Pakistan from April 22 to 27 - Times Of Karachi,https://news.google.com/rss/articles/CBMijAFBVV95cUxQTWx2RGlxSHNrSWxhYmpURjdWaW1yaUtBMGNHQURvQ1h1cTltOFoxd0k1M0I4aHNpczk5M2ZxTmJOMUJiLTFGUTF6VFZHYU4xWmF6TjlGc3FRUVVtVUI3TTN4SjJyX2pxWDVmSTJiQWFwLUluQVBOd0o2WHlZRDdYYlJydmJmVnRZQzZoTg?oc=5,2025-04-22 17:33:59,Times Of Karachi,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxQTWx2RGlxSHNrSWxhYmpURjdWaW1yaUtBMGNHQURvQ1h1cTltOFoxd0k1M0I4aHNpczk5M2ZxTmJOMUJiLTFGUTF6VFZHYU4xWmF6TjlGc3FRUVVtVUI3TTN4SjJyX2pxWDVmSTJiQWFwLUluQVBOd0o2WHlZRDdYYlJydmJmVnRZQzZoTg?oc=5"" target=""_blank"">Heatwave to hit across Pakistan from April 22 to 27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Of Karachi</font>",Heatwave,en
NDMA issues heatwave alert from April 22 to 27 - MSN,https://news.google.com/rss/articles/CBMimwFBVV95cUxPUkxreElsdlBZaWUteC1uUnZLUHh2MWU0SzdXRVJJODJCSXZPN3MwdlAwT200U3d5NTZOUHFTb2FqWExEUEZpX2dFWlRJamxPRE1qR1V6ak1YVWVIZEpCcFFjc3RTZ0E2ZERsbkg1NE1Nd3J5WW91S05XQ0FRTWdwTnRuS0V0WUtIS04zeWNPclhDSXJSSkJhNThtRQ?oc=5,2025-04-22 23:28:46,MSN,"<a href=""https://news.google.com/rss/articles/CBMimwFBVV95cUxPUkxreElsdlBZaWUteC1uUnZLUHh2MWU0SzdXRVJJODJCSXZPN3MwdlAwT200U3d5NTZOUHFTb2FqWExEUEZpX2dFWlRJamxPRE1qR1V6ak1YVWVIZEpCcFFjc3RTZ0E2ZERsbkg1NE1Nd3J5WW91S05XQ0FRTWdwTnRuS0V0WUtIS04zeWNPclhDSXJSSkJhNThtRQ?oc=5"" target=""_blank"">NDMA issues heatwave alert from April 22 to 27</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
"Lahore, Islamabad, Pakistan weather; Heatwave likely to persist until April 27, 2025 - Pakistan Observer",https://news.google.com/rss/articles/CBMiqAFBVV95cUxPX3IwT0ZMNDZpVkNnSVBUZ0JCeGpSaGRiYTdmWGU5TndSaUpzZkdyUDMxeXR2T0JvS0pqNXM4Ymdjb25USHpxRGhucGREbHNLTk5aMU80WXcyLVJjZ3Z4OHA2V1BGSTNIUmlYMkZOWjBxYlluYUpzUk8zbXNGcTNvd2VQblppRGpuLUZJYTdlY3dzU2E3WnU0V01Jenlma1U1YVp0RmhOSXo?oc=5,2025-04-22 13:03:40,Pakistan Observer,"<a href=""https://news.google.com/rss/articles/CBMiqAFBVV95cUxPX3IwT0ZMNDZpVkNnSVBUZ0JCeGpSaGRiYTdmWGU5TndSaUpzZkdyUDMxeXR2T0JvS0pqNXM4Ymdjb25USHpxRGhucGREbHNLTk5aMU80WXcyLVJjZ3Z4OHA2V1BGSTNIUmlYMkZOWjBxYlluYUpzUk8zbXNGcTNvd2VQblppRGpuLUZJYTdlY3dzU2E3WnU0V01Jenlma1U1YVp0RmhOSXo?oc=5"" target=""_blank"">Lahore, Islamabad, Pakistan weather; Heatwave likely to persist until April 27, 2025</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Pakistan Observer</font>",Heatwave,en
"IB officer, newlywed Navy lieutenant among 26 killed in Pahalgam attack - Business Standard",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNNWhCYzEtXzZYWG1uSEZXaERyemRFWWxWVXo1cUltWWpjNUs4TDBHOE1uM1NGYnFKOUNNNVZ0WF9Dc212NDczRGNoeFNSdTE0M0pfRmtOQkpvenF6WENheExmbHhNNjMwQWl3dmpOVy1qaWdsUlR3VWxacDVQVy1SZlpKMWNtNkI1VkxTVUc2WDhqNENiQTFNM0NDY0xPR1MybTdpSTZoZTd3VEN5c1ZiRnNjanpfMjI1OGJGQWN3U0c3d9IBxwFBVV95cUxOVTYxLTlBSXpoNEdIV0Q5anVDbWw3aHdDRXNNb0JwbmZNSXE3N3dNZTZhQlRnMlNYWEpLZ19RMmZYQWoyZmRzYUxnUElKZHY4QmMtbVpfMHFYSHBPMzNWQVVsdDNNY0VIX3JTM3kyTW91cG5lci15RXJIaXpSbWV3MFhJLUtUWFNCYnVPYWNTYlhEQmFRNmpJRGw3d0FSNVVsNGRfYkFMTXZ3N1RIT21hcm5Sb1ctWFJhRXZyMXVDZDlrdF9IeUZV?oc=5,2025-04-23 08:58:04,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiwgFBVV95cUxNNWhCYzEtXzZYWG1uSEZXaERyemRFWWxWVXo1cUltWWpjNUs4TDBHOE1uM1NGYnFKOUNNNVZ0WF9Dc212NDczRGNoeFNSdTE0M0pfRmtOQkpvenF6WENheExmbHhNNjMwQWl3dmpOVy1qaWdsUlR3VWxacDVQVy1SZlpKMWNtNkI1VkxTVUc2WDhqNENiQTFNM0NDY0xPR1MybTdpSTZoZTd3VEN5c1ZiRnNjanpfMjI1OGJGQWN3U0c3d9IBxwFBVV95cUxOVTYxLTlBSXpoNEdIV0Q5anVDbWw3aHdDRXNNb0JwbmZNSXE3N3dNZTZhQlRnMlNYWEpLZ19RMmZYQWoyZmRzYUxnUElKZHY4QmMtbVpfMHFYSHBPMzNWQVVsdDNNY0VIX3JTM3kyTW91cG5lci15RXJIaXpSbWV3MFhJLUtUWFNCYnVPYWNTYlhEQmFRNmpJRGw3d0FSNVVsNGRfYkFMTXZ3N1RIT21hcm5Sb1ctWFJhRXZyMXVDZDlrdF9IeUZV?oc=5"" target=""_blank"">IB officer, newlywed Navy lieutenant among 26 killed in Pahalgam attack</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Heatwave,en
