Title,Link,Date,Source,Summary,Place
"Pakistan Monsoon Floods 2024 Situation Report - August 29, 2024 - ReliefWeb",https://news.google.com/rss/articles/CBMinwFBVV95cUxQa2hDcjNXZEdmNkdxTG53Wk90QVRBeU4yTkk3Q2g1MXpVdUhqdDFCUy1HOXdqNmNRU0liWFMxcnpZTE82MHd4TDlOeFJsN05vcTc1bWlmSjhIbmJxWVZPSnpPYnNLYnZjVTFFLW9PLWYzOEZqMjRZWGl2YkZLRnFwNlpDTmhVb0l0UEQ2eXZ2ckN4dDhuSjdIbnloSUtRZ2c?oc=5,2024-08-30 15:45:04,ReliefWeb,"<a href=""https://news.google.com/rss/articles/CBMinwFBVV95cUxQa2hDcjNXZEdmNkdxTG53Wk90QVRBeU4yTkk3Q2g1MXpVdUhqdDFCUy1HOXdqNmNRU0liWFMxcnpZTE82MHd4TDlOeFJsN05vcTc1bWlmSjhIbmJxWVZPSnpPYnNLYnZjVTFFLW9PLWYzOEZqMjRZWGl2YkZLRnFwNlpDTmhVb0l0UEQ2eXZ2ckN4dDhuSjdIbnloSUtRZ2c?oc=5"" target=""_blank"">Pakistan Monsoon Floods 2024 Situation Report - August 29, 2024</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ReliefWeb</font>",
India's agriculture growth dips in Q1 as heatwave stings crop output - Business Standard,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQNlp6dllKOEJldUdYbm9OOGJCRld3aHg0MDhJM1pPWTY0elhvcFpBdzF1d2ttTm9rdWxiRUtaR210ZkVQb2RZQ2h3REZYVUNmUUNId1RVdUNYdE9ubmNtLTZYMmNlS3ZDRm5QNWl6TFdFOE5nMW85UlpXRVJHRGVmcjB0NUU2Y25WOGN2YTk3WjRLc3lzM1NWUkxiYUdmeHg1ZWpqZHhBYVVXSzgyUFh4b0dBRUF3Z3luUHBlTktUdGNIVEh2a0JmbVd3bEtWcm1nRGdHaEU0YWYyZlZxRFdn0gHkAUFVX3lxTFBLZF8tUzYxYkMwU0tyd2s3SUpzSmtTdE83X1c2MEFtLTUycF9lTG9RRi0yU2N4aE9MaWU0NTlWWk0yQUNWNlhiczB5MUw3YjlxbGVNaXJQU1ZNOWtEMjloQ0E1UVZaNVVwU1ppQ09vbm9BNEE0Y0pDOGZ1c3VjeGtzeER1bWNiMzhRNTNiOFY2RUFRdDNsdndDcXRyNWhrSlVxSDZfVXFSbFRvbWpSRlM2V3UxWG1DMVJ3RHdfVGF0NDNsOUhoNEhNRkQwM1dWLWpuajBIUnJ3c09mOUM0TzNQRzFKcg?oc=5,2024-08-30 21:20:03,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxQNlp6dllKOEJldUdYbm9OOGJCRld3aHg0MDhJM1pPWTY0elhvcFpBdzF1d2ttTm9rdWxiRUtaR210ZkVQb2RZQ2h3REZYVUNmUUNId1RVdUNYdE9ubmNtLTZYMmNlS3ZDRm5QNWl6TFdFOE5nMW85UlpXRVJHRGVmcjB0NUU2Y25WOGN2YTk3WjRLc3lzM1NWUkxiYUdmeHg1ZWpqZHhBYVVXSzgyUFh4b0dBRUF3Z3luUHBlTktUdGNIVEh2a0JmbVd3bEtWcm1nRGdHaEU0YWYyZlZxRFdn0gHkAUFVX3lxTFBLZF8tUzYxYkMwU0tyd2s3SUpzSmtTdE83X1c2MEFtLTUycF9lTG9RRi0yU2N4aE9MaWU0NTlWWk0yQUNWNlhiczB5MUw3YjlxbGVNaXJQU1ZNOWtEMjloQ0E1UVZaNVVwU1ppQ09vbm9BNEE0Y0pDOGZ1c3VjeGtzeER1bWNiMzhRNTNiOFY2RUFRdDNsdndDcXRyNWhrSlVxSDZfVXFSbFRvbWpSRlM2V3UxWG1DMVJ3RHdfVGF0NDNsOUhoNEhNRkQwM1dWLWpuajBIUnJ3c09mOUM0TzNQRzFKcg?oc=5"" target=""_blank"">India's agriculture growth dips in Q1 as heatwave stings crop output</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Changing patterns in precipitation and temperature affect Kashmir’s ecosystem - Kashmir Convener,https://news.google.com/rss/articles/CBMitwFBVV95cUxObGJEejA2a3lOVVhJem0tREJPcGlLb3p6R2RyTnFIeGxVU09BMXZ4cno2cDdhMVhGNGVEQzBjeW1NMTJ3ZXFIZmNOdVZvRjJLTVlFcDZEc2dBLXFQME9NMU03RHdZS05qaWF6TFg4TTZhcVVmRVNyMlBBR241aWd2MzVoNEZSazJHLWRsY1JlaU5xYTBVbWNQbWVfcmxEc3d2RFVvaFJ0VEt3UmZpYS1EY3U3bW1Vdzg?oc=5,2024-08-30 20:35:33,Kashmir Convener,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxObGJEejA2a3lOVVhJem0tREJPcGlLb3p6R2RyTnFIeGxVU09BMXZ4cno2cDdhMVhGNGVEQzBjeW1NMTJ3ZXFIZmNOdVZvRjJLTVlFcDZEc2dBLXFQME9NMU03RHdZS05qaWF6TFg4TTZhcVVmRVNyMlBBR241aWd2MzVoNEZSazJHLWRsY1JlaU5xYTBVbWNQbWVfcmxEc3d2RFVvaFJ0VEt3UmZpYS1EY3U3bW1Vdzg?oc=5"" target=""_blank"">Changing patterns in precipitation and temperature affect Kashmir’s ecosystem</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Convener</font>",
Karnataka MUDA Scam: HC to Hear Siddaramaiah's Petition Challenging Guv's Nod Today | LIVE - Republic World,https://news.google.com/rss/articles/CBMi_gRBVV95cUxPN0lyN2lWQ3NZSVFjbmhzLTFGbExQbk5wVnpUYVFOM2ZCMUFBczlsMkt0QzI2OV9TZVZQWnRObVdZdGxLSW00S1BYNGJtRWMya3kteVB4WS15dEl6ZlJOeFQza1NvQ3hZQXZwNEdmUHFMTl9YQk4wV3pWWUZCaW8td1A2NTlKSmlUNVhYeE8zSWdueVROM21vZjE2Tlc4WW5ORF83aVRDOXM0TlNZNWdaN2VzdS1EX3Jhd0pnbGcyOXFJU0ZqS0g3bVVXTWJ1cUFKTkcyN3FaSkFQaTlUX0syeGZRS1REc3VJNjItaFo5YUxSaG9MRTNLMUlpd1JzeEpETW93RVNhSktrdnp0dUF6aXR3Q3BIUDdVMFVDemsyYjJTbVU5VFZlWHRkcVhkcEVhVzkxcmlmQXZPaG1IVm5YWWhBQXZYVWdfbDJvZVdmZjNFa2xKRlJYS2tEVF9oVzdYRFdQNThwbnNEN1FMcFk3M2ZTU0dxNjQ2dmFUeE9DdGxZM1ZoSnZPR19QTmw5Y3VMaTJZUy11REdqNWxyRVlJaXppeHdsUGlJY3FXSVJqWlY4ZG82ZnUyTk1XeUNuZ2tZT20zY1VTZXZLNHRseVhTMnlPVHEzUmVOTV8xZUpYUUFVZTJaWkd5RF9ackRDM0c1R3lnYkFEdC12NUZTVjBJekZqc1Bic2RYd1I5OGNiSXNSbzZEQ1Zib094TFNHSFZYMDRRMVZ2dWxaWkdIcXFpZWZHb0NsTTh0cVc5NmxTRHNMZ1dCamxkczZkVHZtY0YtbERla1dRQldwV09rRC0xQWNJZmR6MC0wLTFtRGJlQ1lfSkY0Vjk3aWs4RzduZw?oc=5,2024-08-31 08:27:44,Republic World,"<a href=""https://news.google.com/rss/articles/CBMi_gRBVV95cUxPN0lyN2lWQ3NZSVFjbmhzLTFGbExQbk5wVnpUYVFOM2ZCMUFBczlsMkt0QzI2OV9TZVZQWnRObVdZdGxLSW00S1BYNGJtRWMya3kteVB4WS15dEl6ZlJOeFQza1NvQ3hZQXZwNEdmUHFMTl9YQk4wV3pWWUZCaW8td1A2NTlKSmlUNVhYeE8zSWdueVROM21vZjE2Tlc4WW5ORF83aVRDOXM0TlNZNWdaN2VzdS1EX3Jhd0pnbGcyOXFJU0ZqS0g3bVVXTWJ1cUFKTkcyN3FaSkFQaTlUX0syeGZRS1REc3VJNjItaFo5YUxSaG9MRTNLMUlpd1JzeEpETW93RVNhSktrdnp0dUF6aXR3Q3BIUDdVMFVDemsyYjJTbVU5VFZlWHRkcVhkcEVhVzkxcmlmQXZPaG1IVm5YWWhBQXZYVWdfbDJvZVdmZjNFa2xKRlJYS2tEVF9oVzdYRFdQNThwbnNEN1FMcFk3M2ZTU0dxNjQ2dmFUeE9DdGxZM1ZoSnZPR19QTmw5Y3VMaTJZUy11REdqNWxyRVlJaXppeHdsUGlJY3FXSVJqWlY4ZG82ZnUyTk1XeUNuZ2tZT20zY1VTZXZLNHRseVhTMnlPVHEzUmVOTV8xZUpYUUFVZTJaWkd5RF9ackRDM0c1R3lnYkFEdC12NUZTVjBJekZqc1Bic2RYd1I5OGNiSXNSbzZEQ1Zib094TFNHSFZYMDRRMVZ2dWxaWkdIcXFpZWZHb0NsTTh0cVc5NmxTRHNMZ1dCamxkczZkVHZtY0YtbERla1dRQldwV09rRC0xQWNJZmR6MC0wLTFtRGJlQ1lfSkY0Vjk3aWs4RzduZw?oc=5"" target=""_blank"">Karnataka MUDA Scam: HC to Hear Siddaramaiah's Petition Challenging Guv's Nod Today | LIVE</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font>",
"PMD warns of early onset of fog, smog due to less rains post monsoo - Daily Times",https://news.google.com/rss/articles/CBMiowFBVV95cUxOeWJURHZwYVQ0cnpEaEJCYVNfclJJWEcySU11RjZHdllZSnRVaHc1NllvZ0NKYVRwbG1Vd2VrNXJUejNBLXRMRE0wc29JMEhqZWtxbEZENUd2ZVFQWlBYald3cmI2SW83Qk1jWERHVXd4Z3ptRUFLMUotdGI0MHRxZFpUUnNTd3ZLbDd5SGlfRU1GWWlWNWF3ZWYzczJJd3NDOG1J0gGoAUFVX3lxTFBrWnRhWVM3NU9zR2dPdWE4RGlxMV95Sld4cWVtMDg5YThVZ19wYzBIWlEwaW1tR1ZNU09jYU5aS282VUFGSG85ai1ka3BUMlVCSmU0XzVwMnZGaWpZQ0RDRUtqekpOdng0MUgyM2xOdjBlSHdVQ0R3LVZGT1hfbG9hbWkwakdVTERQWXlTMVlraWw4a2xGX2Z4VnBHeVhTendaQ2tNcnZpVw?oc=5,2024-08-31 00:50:33,Daily Times,"<a href=""https://news.google.com/rss/articles/CBMiowFBVV95cUxOeWJURHZwYVQ0cnpEaEJCYVNfclJJWEcySU11RjZHdllZSnRVaHc1NllvZ0NKYVRwbG1Vd2VrNXJUejNBLXRMRE0wc29JMEhqZWtxbEZENUd2ZVFQWlBYald3cmI2SW83Qk1jWERHVXd4Z3ptRUFLMUotdGI0MHRxZFpUUnNTd3ZLbDd5SGlfRU1GWWlWNWF3ZWYzczJJd3NDOG1J0gGoAUFVX3lxTFBrWnRhWVM3NU9zR2dPdWE4RGlxMV95Sld4cWVtMDg5YThVZ19wYzBIWlEwaW1tR1ZNU09jYU5aS282VUFGSG85ai1ka3BUMlVCSmU0XzVwMnZGaWpZQ0RDRUtqekpOdng0MUgyM2xOdjBlSHdVQ0R3LVZGT1hfbG9hbWkwakdVTERQWXlTMVlraWw4a2xGX2Z4VnBHeVhTendaQ2tNcnZpVw?oc=5"" target=""_blank"">PMD warns of early onset of fog, smog due to less rains post monsoo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Daily Times</font>",
Heavy Rains Force Closure of Mughal Road in Jammu Kashmir - Kashmir Life,https://news.google.com/rss/articles/CBMikwFBVV95cUxQcl9sSVBGQTlQS2RwTUdqS0FLMXdQSDRSSkxlZ1lIN2pKVWxYek1wTVZ3ZmZNZXdoRnRmOUNGRXRoWEE3dGVCZ2h1aENEV0J4RFQwOW1rcmdqeS10YTVhS05wcTZxZ1FuQkJOLWdhaTREZ0l4RV9FSlhCWENSc3h3NkY0ZWYxVlE4V1dUV003SEh1RFk?oc=5,2024-08-30 17:37:35,Kashmir Life,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxQcl9sSVBGQTlQS2RwTUdqS0FLMXdQSDRSSkxlZ1lIN2pKVWxYek1wTVZ3ZmZNZXdoRnRmOUNGRXRoWEE3dGVCZ2h1aENEV0J4RFQwOW1rcmdqeS10YTVhS05wcTZxZ1FuQkJOLWdhaTREZ0l4RV9FSlhCWENSc3h3NkY0ZWYxVlE4V1dUV003SEh1RFk?oc=5"" target=""_blank"">Heavy Rains Force Closure of Mughal Road in Jammu Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Kashmir Life</font>",
"India's July-August rainfall hits 30-year high, La Niña delayed to November - Business Standard",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQOWdFRC1feEpQZmkxS0Y5LV9aaWJYOUlYRm5lelVkTGNPRzVkT3hzcEpWNEVlUjV1UkhnUG1GWE5XNk02czFMRXk0RlZTcDN2MzdzZUxjeXdxNDM4OTRlTkk3cXpIcmFHMjBWSUtSS1ZKVUFGR1BmWnc1b3VSY3N3LVNQLXBoLVBPNVRmMnFHNUVDeEZsRDUxaFp2Q1VwbThsbnZuSUZIUUM3dEpFUkMzaE9aMk5TZXhCME1MbjIzUS15MHR3VUU5WnZFeTZfNjJVVGdBVmp30gHbAUFVX3lxTE40aUxfT01vc052MVl6aUROczM1bzdPbU02RHNSOFlVVEVIQTB3eVZuYUVVbk1Fd1FoVk9NYlppdHZkdUh4bjd6RzRpVU1nZVJMdU9EMkIwOVpOUTFGVElMX2R3M0pOTkprSXNra2o2NmxXdTZ2WUZ0ZDdiNmV2RjhrU3RVeVc4SFVwQVl1MkdaelVxMFlmc3l4ZXpsZ3hKUkItT0JtSERFeU5lRjJoY3p4WDNPNlU4ejQ3NG9pN1JRRFpVXzQwOHZRbzdtSjEyRlN6bWRRYXV5R2g4VQ?oc=5,2024-08-30 13:34:43,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1gFBVV95cUxQOWdFRC1feEpQZmkxS0Y5LV9aaWJYOUlYRm5lelVkTGNPRzVkT3hzcEpWNEVlUjV1UkhnUG1GWE5XNk02czFMRXk0RlZTcDN2MzdzZUxjeXdxNDM4OTRlTkk3cXpIcmFHMjBWSUtSS1ZKVUFGR1BmWnc1b3VSY3N3LVNQLXBoLVBPNVRmMnFHNUVDeEZsRDUxaFp2Q1VwbThsbnZuSUZIUUM3dEpFUkMzaE9aMk5TZXhCME1MbjIzUS15MHR3VUU5WnZFeTZfNjJVVGdBVmp30gHbAUFVX3lxTE40aUxfT01vc052MVl6aUROczM1bzdPbU02RHNSOFlVVEVIQTB3eVZuYUVVbk1Fd1FoVk9NYlppdHZkdUh4bjd6RzRpVU1nZVJMdU9EMkIwOVpOUTFGVElMX2R3M0pOTkprSXNra2o2NmxXdTZ2WUZ0ZDdiNmV2RjhrU3RVeVc4SFVwQVl1MkdaelVxMFlmc3l4ZXpsZ3hKUkItT0JtSERFeU5lRjJoY3p4WDNPNlU4ejQ3NG9pN1JRRFpVXzQwOHZRbzdtSjEyRlN6bWRRYXV5R2g4VQ?oc=5"" target=""_blank"">India's July-August rainfall hits 30-year high, La Niña delayed to November</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
Champai Soren Joins BJP Days After Resigning From JMM - Republic World,https://news.google.com/rss/articles/CBMiowVBVV95cUxNM0lwX0FVYlJEaGRsZ3RUWGxVMXcyV3JkX3JEbjdZUmV2OUxGamFjY1BTbkZmRFlkMV9VNlY5WW1WTUFBNEV6OE1hQUNyYXVNd0RMRHdVcTVDQlYtcTdtVF9obUkwOWtGUkNPM3dhbFVsMTF5dXNxU3pOcmRnN0FfOHJ1M2tVOW1uOGp5N0lyMGFfbzA4bzFFU2pTX3F6a2lmQ082cklzLTZTc1AtNjhMR2QzanNXY2dRUFlKX1pQclRId1p1ekM3MVpMRE1WeUxQWTZjd1N5S241cGR4bkp6T2VBX3FUMzN4N01IbU9UQkpBa1lHM3NUQ3dkNGhtQVN4SWZKWlE4QTcwS1lVbGhybFUyY0diRnNGazg4OEVUY0t4LWtwQ3dFLVRLR3NDYzN1aTVYTmtUazJNTU5BZE81SHhmUWNWME00eUVlVUVTUDFsTjN2S3F0MTgya2QxbmZOdDEtX01lTzRxdWUtNW9iWmNkTUNVMndCY2EzdU92cEYxV1pGZW1NMFZvS1FZNzAyNnE2YmJJcW8zZ29oNVViOFlxcWV4ZkJOTWNDUFJNQmx3cHUzeTJmWmJDQWNXdFlDeXdHR1ducllfX0pTM25MdmFmQnBFTVgwTHVXczg2d00yZS1JaUZLVGxVaExrMm0yNFZwZzl2dXhudDRQa1JrbGVlSTR4YXM2X1Vnb0dSZm9DcGRQeF90Uk5ubDM5dDc2MzdBd3NMRVNBei02UGhGYS1GLXVWd1pRVWJNR3V4QTBuU3EyRG80WEg3N2J0U1RCRGl6UHRwdlBNeVlNRkhyZlhuYk1jSWhLcmJ5YUhPUUZvMFlQTlRJaGFoX2p6eXNSZ2hzRzFpcUpTS2IwNi1JSXlnLUFMUjBuNUI4TFJsS0lITnM?oc=5,2024-08-30 23:29:04,Republic World,"<a href=""https://news.google.com/rss/articles/CBMiowVBVV95cUxNM0lwX0FVYlJEaGRsZ3RUWGxVMXcyV3JkX3JEbjdZUmV2OUxGamFjY1BTbkZmRFlkMV9VNlY5WW1WTUFBNEV6OE1hQUNyYXVNd0RMRHdVcTVDQlYtcTdtVF9obUkwOWtGUkNPM3dhbFVsMTF5dXNxU3pOcmRnN0FfOHJ1M2tVOW1uOGp5N0lyMGFfbzA4bzFFU2pTX3F6a2lmQ082cklzLTZTc1AtNjhMR2QzanNXY2dRUFlKX1pQclRId1p1ekM3MVpMRE1WeUxQWTZjd1N5S241cGR4bkp6T2VBX3FUMzN4N01IbU9UQkpBa1lHM3NUQ3dkNGhtQVN4SWZKWlE4QTcwS1lVbGhybFUyY0diRnNGazg4OEVUY0t4LWtwQ3dFLVRLR3NDYzN1aTVYTmtUazJNTU5BZE81SHhmUWNWME00eUVlVUVTUDFsTjN2S3F0MTgya2QxbmZOdDEtX01lTzRxdWUtNW9iWmNkTUNVMndCY2EzdU92cEYxV1pGZW1NMFZvS1FZNzAyNnE2YmJJcW8zZ29oNVViOFlxcWV4ZkJOTWNDUFJNQmx3cHUzeTJmWmJDQWNXdFlDeXdHR1ducllfX0pTM25MdmFmQnBFTVgwTHVXczg2d00yZS1JaUZLVGxVaExrMm0yNFZwZzl2dXhudDRQa1JrbGVlSTR4YXM2X1Vnb0dSZm9DcGRQeF90Uk5ubDM5dDc2MzdBd3NMRVNBei02UGhGYS1GLXVWd1pRVWJNR3V4QTBuU3EyRG80WEg3N2J0U1RCRGl6UHRwdlBNeVlNRkhyZlhuYk1jSWhLcmJ5YUhPUUZvMFlQTlRJaGFoX2p6eXNSZ2hzRzFpcUpTS2IwNi1JSXlnLUFMUjBuNUI4TFJsS0lITnM?oc=5"" target=""_blank"">Champai Soren Joins BJP Days After Resigning From JMM</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font>",
"India News Live Updates: Pensioners' body demands minimum Rs 7,500 monthly pension - The Economic Times",https://news.google.com/rss/articles/CBMihwNBVV95cUxQdHVNUFh1enBEUkZrMnBpdzBONHl0RkhhWFdGQVhCQWViQlhqRER0ZktkdE96TS1oX2s4bWt6WU1ualFRMElwdjVCTUg0el93NldvbEMzc2I5QnpaelU1V0JwZktaM3FDSnZ1LU9SM2JnVVVaLWxrRzhyUHUtR01uQlNIckh3QTRYQTAxVnpmd0ZJQ0VneFhxOTNJRzJEQVdiamlzVE5fQXFEWklZTndwZTRNbVZaNnZ1T0JySlJaZ3B0ZFJFSTI3ZmxidEp2T2hacFV2VlBEMUtwMHFtVXYwLXZ1S1VNZXdFR3hHcFp0ZmF5UC1lWVRnaFNMQ0xkUnBScW1rcnMxMXgwZ3VsZ0htcm5iSnhsNnk4VjRRZW92SWRZZndZdEVVQ0E3aF9BeG9hQ0kzRzJwSkI3R3JsRExlQjRNRmlOV1lnZVNMZ2M4M2kzbnlSc3V6RHNtbVdxUlMxQ2x0ZnBVZFJWQTNwMW9lUS1iOHVSeC1tVTRIczkxeW5XSmplUmVv0gGMA0FVX3lxTE9ONWhkQURYcXN2QzRZZ1Y3WVgyUzlPV1NMOHM1bmlOb2I5NGZHZEx3ZnNHaG15Y0ZPNjY4RVFLOGlZbjVicnNqNnROZFRobXBOd1RPczJLQ3ZYbm5KMFZzR3hMUGhQaWhsWUZmdGFHUlo3a3FyM2cxd203VFlpZjRNa3pHSnAxSFE4eDZsSFJ1aERIMUpOVDZBQ3BrMjNRaXNoVlJhMlFXRmt6a0RJWk1CbWc0dVlsVmNxczBPdHFRT3ljaEVGNkg0THJGdkg2VjdCUThaNm40Z0puRjVKNUtvb0FxV3IwaHRJdGhwR3llbnNfcnV2VEU4OWdDVEhsaGhMd1IzUGlKbTJIcnlQbUtWMEpjSTVHZUhRZ2VMMF9QeUNkWV9GM2NQR1BuNVE0ZlNacnh1MFBrMDVOcFB5cVh0RUIzbkJCN1E2eWgxY2c5UFY4VVN0b01HQmcxRDZMZ2NUdkduVnVKcF9GOW01VVpIaVhyREhEZHpjR3N2blpUejF2LUNIRzh0U3hTNA?oc=5,2024-08-31 00:18:38,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMihwNBVV95cUxQdHVNUFh1enBEUkZrMnBpdzBONHl0RkhhWFdGQVhCQWViQlhqRER0ZktkdE96TS1oX2s4bWt6WU1ualFRMElwdjVCTUg0el93NldvbEMzc2I5QnpaelU1V0JwZktaM3FDSnZ1LU9SM2JnVVVaLWxrRzhyUHUtR01uQlNIckh3QTRYQTAxVnpmd0ZJQ0VneFhxOTNJRzJEQVdiamlzVE5fQXFEWklZTndwZTRNbVZaNnZ1T0JySlJaZ3B0ZFJFSTI3ZmxidEp2T2hacFV2VlBEMUtwMHFtVXYwLXZ1S1VNZXdFR3hHcFp0ZmF5UC1lWVRnaFNMQ0xkUnBScW1rcnMxMXgwZ3VsZ0htcm5iSnhsNnk4VjRRZW92SWRZZndZdEVVQ0E3aF9BeG9hQ0kzRzJwSkI3R3JsRExlQjRNRmlOV1lnZVNMZ2M4M2kzbnlSc3V6RHNtbVdxUlMxQ2x0ZnBVZFJWQTNwMW9lUS1iOHVSeC1tVTRIczkxeW5XSmplUmVv0gGMA0FVX3lxTE9ONWhkQURYcXN2QzRZZ1Y3WVgyUzlPV1NMOHM1bmlOb2I5NGZHZEx3ZnNHaG15Y0ZPNjY4RVFLOGlZbjVicnNqNnROZFRobXBOd1RPczJLQ3ZYbm5KMFZzR3hMUGhQaWhsWUZmdGFHUlo3a3FyM2cxd203VFlpZjRNa3pHSnAxSFE4eDZsSFJ1aERIMUpOVDZBQ3BrMjNRaXNoVlJhMlFXRmt6a0RJWk1CbWc0dVlsVmNxczBPdHFRT3ljaEVGNkg0THJGdkg2VjdCUThaNm40Z0puRjVKNUtvb0FxV3IwaHRJdGhwR3llbnNfcnV2VEU4OWdDVEhsaGhMd1IzUGlKbTJIcnlQbUtWMEpjSTVHZUhRZ2VMMF9QeUNkWV9GM2NQR1BuNVE0ZlNacnh1MFBrMDVOcFB5cVh0RUIzbkJCN1E2eWgxY2c5UFY4VVN0b01HQmcxRDZMZ2NUdkduVnVKcF9GOW01VVpIaVhyREhEZHpjR3N2blpUejF2LUNIRzh0U3hTNA?oc=5"" target=""_blank"">India News Live Updates: Pensioners' body demands minimum Rs 7,500 monthly pension</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Economy in medium term could grow at 7%: CEA V Anantha Nageswaran - Business Standard,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQTk44YnZod1g0dFBkcFRyU05NOFR2dGJzNGRMYkEtdUROS3ZUTmtKWVNnVU5HZGo1SkVRNlQ5Z1ZCSzRSVFp1V2RwSjlZMVRLYXlTN2F2dnF2WHJmcmhOT214WnhNWmV6cDJSYW9OR1Q0bU9Nay1hR1l1NGV3VkhvZ1J3V1Zsd05PaTkySlB5Z0d3Q3NjcXotM0lVN1pvNjZpNFBXNlM1YUcwWTNILU1hQXJ1RXR0UWZabnk4MFJNeG5DeDhVcmhiMzdNcjVqRWpDYnZ2OdIB2gFBVV95cUxPNUZ0eTgwRFNiQldBYlp0UkZnQ2lGSzVvUHEtR1BXUmJMRUtJSzlVNUFRM2RNSjN2aDl1YmRtQkpCMnV0c1BqQWlkc3BEc19tdFNBb0JjdUM1XzJHblgtTndyV1R1QTJnR3Fmc3Q2Rk1TVHZnMTdzTzJQR0ZYX2hoZ2o4aDFlcUFZMWZCYnFoTDd3ZHBMYTdDemxYeFFIVU1VandQWWZvSmVuTmlkb0o1VmVOUmQ1U2pPMXpfTVdhNlpmaTBJd1dhOVRnVEZnckt3d0E0ai0yeWhZdw?oc=5,2024-08-30 19:46:05,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxQTk44YnZod1g0dFBkcFRyU05NOFR2dGJzNGRMYkEtdUROS3ZUTmtKWVNnVU5HZGo1SkVRNlQ5Z1ZCSzRSVFp1V2RwSjlZMVRLYXlTN2F2dnF2WHJmcmhOT214WnhNWmV6cDJSYW9OR1Q0bU9Nay1hR1l1NGV3VkhvZ1J3V1Zsd05PaTkySlB5Z0d3Q3NjcXotM0lVN1pvNjZpNFBXNlM1YUcwWTNILU1hQXJ1RXR0UWZabnk4MFJNeG5DeDhVcmhiMzdNcjVqRWpDYnZ2OdIB2gFBVV95cUxPNUZ0eTgwRFNiQldBYlp0UkZnQ2lGSzVvUHEtR1BXUmJMRUtJSzlVNUFRM2RNSjN2aDl1YmRtQkpCMnV0c1BqQWlkc3BEc19tdFNBb0JjdUM1XzJHblgtTndyV1R1QTJnR3Fmc3Q2Rk1TVHZnMTdzTzJQR0ZYX2hoZ2o4aDFlcUFZMWZCYnFoTDd3ZHBMYTdDemxYeFFIVU1VandQWWZvSmVuTmlkb0o1VmVOUmQ1U2pPMXpfTVdhNlpmaTBJd1dhOVRnVEZnckt3d0E0ai0yeWhZdw?oc=5"" target=""_blank"">Economy in medium term could grow at 7%: CEA V Anantha Nageswaran</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
