Title,Link,Date,Source,Summary,Place
Rahul Gandhi visits US on 3-day trip: Top things on agenda explained - Business Standard,https://news.google.com/rss/articles/CBMiygFBVV95cUxQbHZKV1FDWHBRVDI2ZUJSUEhsdGpHeU1oVHVCS0tSNk9xY2t5ZG1HTTRfcjZCZmdDeGFNc3NIWURSMldQYWc1cHNvbURZRGt3dXBMVE1YY3daVm5tUmJqR0xwdlpHb1JRQnpaTVlueTItNDdoOTRIc2EwM3JBekh5Y3JBbzNMWGFWcjU1QndQZ053MFRPS0ltTGV2SG85NDVEQ2MyQWxzRFVucy1OWTYyUU5RNnRySUF2dzIxbmEwbUh2SmtxcXZkclpR0gHPAUFVX3lxTE9TcGxWWkdMMkpadV8wTTNoeGQ2dnZnMDBMT3o5YkFaalRFZWp0RmdVck40QmUxd2Z4RXM0aDdNVWdXN3A4M3JsOU9QaTJxRmVMWFVPMXVaWmpqZlBkbHgtYnhMWk5rTC1scVZoQm53aV9BeUh2SVo1UEhEeGQwdmxwbEoyc1VVekQwVEcxNmdzYmdwQnlsWjBuSzF2LVdHSnNlc2tsNnRRbGVOd2cxMEYtYVlmTTdQY3lad0V6YzN5czE0RHQ3YTVrVDhyQVhjQQ?oc=5,2024-09-06 09:40:52,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxQbHZKV1FDWHBRVDI2ZUJSUEhsdGpHeU1oVHVCS0tSNk9xY2t5ZG1HTTRfcjZCZmdDeGFNc3NIWURSMldQYWc1cHNvbURZRGt3dXBMVE1YY3daVm5tUmJqR0xwdlpHb1JRQnpaTVlueTItNDdoOTRIc2EwM3JBekh5Y3JBbzNMWGFWcjU1QndQZ053MFRPS0ltTGV2SG85NDVEQ2MyQWxzRFVucy1OWTYyUU5RNnRySUF2dzIxbmEwbUh2SmtxcXZkclpR0gHPAUFVX3lxTE9TcGxWWkdMMkpadV8wTTNoeGQ2dnZnMDBMT3o5YkFaalRFZWp0RmdVck40QmUxd2Z4RXM0aDdNVWdXN3A4M3JsOU9QaTJxRmVMWFVPMXVaWmpqZlBkbHgtYnhMWk5rTC1scVZoQm53aV9BeUh2SVo1UEhEeGQwdmxwbEoyc1VVekQwVEcxNmdzYmdwQnlsWjBuSzF2LVdHSnNlc2tsNnRRbGVOd2cxMEYtYVlmTTdQY3lad0V6YzN5czE0RHQ3YTVrVDhyQVhjQQ?oc=5"" target=""_blank"">Rahul Gandhi visits US on 3-day trip: Top things on agenda explained</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Weather Update: Delhi-NCR Witnesses Light Showers; Heavy Rain Alert Issued For UP, Rajasthan | Check Forecast - Jagran English",https://news.google.com/rss/articles/CBMi_AFBVV95cUxOT0VtV09xLVk0Y0VYN3ppdXF1Q0NoZjVNTmhUNXdSZURnaVhhY0s2Qmh0bmYwTXlORHpPR2p1MWZjRHBmVEpudHhoTlJZTk9kYkQ4LThDVFpqNnlMaElQZW5hcDFYRUtCQmEweGxjLUtxX0dFaDl0QmxINnpEUEREV05GUjU0SHhCSGxEU1Y1b0YxaTlHZEMxQzhodTdTTWhsNGJBSmUwdjJPOHpPMm5LZDlxQi1aU3hGQkM5MnpwTTVyMzRYMUkzdlBNdTR1ZDkyODVDdlQyLW96RVRwVHdIRV9sMDNBOEthWVp0Q2lKNnVscTZ6aFdCVm9lRmrSAYMCQVVfeXFMTnpPQUYwRzhidmtBMmxqam4wNEZQdS1WdjBKcDMxWWFFUDlMb2E2YXBON1lQTmQxNVhjalQ2NkRoa0h4N1ZlbWJBUEJTS01vZVlzRm9Mak9iQUhqcEVseHZIeEwwMXo1MXlueFp5d2hYenBZX0tuR29zV2MtT2p4OFJIalp5WVBjNThHSkV1dEk1SXpZbm84RWw4NUp3VUtYa3FwRW01VUp4MDFxS2E2RXVjOEFWb1g1OUJvVll1dks3eE9fcWYwWTFpQThnblpiaW9HSXJNd3dUeG9lT1VESkh2RFJwd3Q3UWJRZ2pnRlAza1dvN2lWSTR5QUZNclBlUnozMA?oc=5,2024-09-06 08:20:00,Jagran English,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxOT0VtV09xLVk0Y0VYN3ppdXF1Q0NoZjVNTmhUNXdSZURnaVhhY0s2Qmh0bmYwTXlORHpPR2p1MWZjRHBmVEpudHhoTlJZTk9kYkQ4LThDVFpqNnlMaElQZW5hcDFYRUtCQmEweGxjLUtxX0dFaDl0QmxINnpEUEREV05GUjU0SHhCSGxEU1Y1b0YxaTlHZEMxQzhodTdTTWhsNGJBSmUwdjJPOHpPMm5LZDlxQi1aU3hGQkM5MnpwTTVyMzRYMUkzdlBNdTR1ZDkyODVDdlQyLW96RVRwVHdIRV9sMDNBOEthWVp0Q2lKNnVscTZ6aFdCVm9lRmrSAYMCQVVfeXFMTnpPQUYwRzhidmtBMmxqam4wNEZQdS1WdjBKcDMxWWFFUDlMb2E2YXBON1lQTmQxNVhjalQ2NkRoa0h4N1ZlbWJBUEJTS01vZVlzRm9Mak9iQUhqcEVseHZIeEwwMXo1MXlueFp5d2hYenBZX0tuR29zV2MtT2p4OFJIalp5WVBjNThHSkV1dEk1SXpZbm84RWw4NUp3VUtYa3FwRW01VUp4MDFxS2E2RXVjOEFWb1g1OUJvVll1dks3eE9fcWYwWTFpQThnblpiaW9HSXJNd3dUeG9lT1VESkh2RFJwd3Q3UWJRZ2pnRlAza1dvN2lWSTR5QUZNclBlUnozMA?oc=5"" target=""_blank"">Weather Update: Delhi-NCR Witnesses Light Showers; Heavy Rain Alert Issued For UP, Rajasthan | Check Forecast</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran English</font>",
India News Highlights: National Medical Commission withdraws new MBBS curriculum - The Economic Times,https://news.google.com/rss/articles/CBMi_wJBVV95cUxNRkFhUl9TR05jY2IzbnhhQV9kMjBZN1Ztb2g4NWxHZWhjSGhENU5DREVkeHJGZmo3cUhZZXNUMVBBWVMxWUt3VTQxZDJEdk1tLTc4N2p0WXpmNVdJV0d5SW5rRHFLc0k2dDFtSVl3QkJ1SzkyeTlBd3I5Tl9lYVhqaTVkcUVtd2JKUDA0S0cxOG9sRWdTaXZwTU1HZlpuQ2p2cVVzSzNtakJFX0E1Z1NwUEtrYmNpYXZwQWUyaHlfeEhjaVB2VHh0aUI3ZUNHUXI0NmlTazhNaFhkX1hINUNVWTBTMGdWWWFVZ0ZsVW1uMGVBcHZkbXFtTXFES0pCZGxacFU5NzF2bzZkMDNsYzdtM0k4bWdSMWdZaUNpcHE2ODNlZlExSUxiNUJmZ2lsbnl5WTJQQ1pHWmtnWl9VZF9uQ0E2Z1l1X0E5ZEk1Mkt6STUtTzZNVVdEeF9QNEhPLXh0d1l4WHh5bVhvcW5ldU9lbGVZLWN0YjFEc290QVlqQdIBhANBVV95cUxPLTlkX2p0ODRmRlNCTmJOeXFieFNQOWpvN2lHNlZzV1FmNHppVUZNY0UzbENGY1lPb2M0XzZsdWhZZGpVc0o4X3FwQ3JYanhUZUhkRnBUX2FEcHJRdFFuRTd0YmVpeXlnNUJrUl9MMkJ5OHg4c1RFWGJWNjRidHNLX1h3QjhHLThaUW9yUTdZMU5veXA4aFFLVDRmSFJIXy1GMzlrTWk4dGJXdzRQb3FEeG82ekJBZmdZdEd5a25OZGNpcFZzQl9mdDhrNE9WZV8xZUdaQ0xtLTE3NV92amkwNHFKcWg1cTNrSXpJVmtrWk94cXo3U2N3blZVNGM0UHhOSm1uWHBHd0ZPTTlUMlpSb3dXRmhzQ1M1LWFOZDFPVmYyT3l6MmpzTTZfR2Z4NFJJUUlsRUpUekJTaThSX1FpVVRPRjgtMWljeWJUUmpBOHFsUG1qR1ZyZTg1aHpyRmFzb0tuU3UxbUFvSW9LVi1wVC1zMm5NYzBPZVRmZ2VyNFlvdk8y?oc=5,2024-09-06 00:52:34,The Economic Times,"<a href=""https://news.google.com/rss/articles/CBMi_wJBVV95cUxNRkFhUl9TR05jY2IzbnhhQV9kMjBZN1Ztb2g4NWxHZWhjSGhENU5DREVkeHJGZmo3cUhZZXNUMVBBWVMxWUt3VTQxZDJEdk1tLTc4N2p0WXpmNVdJV0d5SW5rRHFLc0k2dDFtSVl3QkJ1SzkyeTlBd3I5Tl9lYVhqaTVkcUVtd2JKUDA0S0cxOG9sRWdTaXZwTU1HZlpuQ2p2cVVzSzNtakJFX0E1Z1NwUEtrYmNpYXZwQWUyaHlfeEhjaVB2VHh0aUI3ZUNHUXI0NmlTazhNaFhkX1hINUNVWTBTMGdWWWFVZ0ZsVW1uMGVBcHZkbXFtTXFES0pCZGxacFU5NzF2bzZkMDNsYzdtM0k4bWdSMWdZaUNpcHE2ODNlZlExSUxiNUJmZ2lsbnl5WTJQQ1pHWmtnWl9VZF9uQ0E2Z1l1X0E5ZEk1Mkt6STUtTzZNVVdEeF9QNEhPLXh0d1l4WHh5bVhvcW5ldU9lbGVZLWN0YjFEc290QVlqQdIBhANBVV95cUxPLTlkX2p0ODRmRlNCTmJOeXFieFNQOWpvN2lHNlZzV1FmNHppVUZNY0UzbENGY1lPb2M0XzZsdWhZZGpVc0o4X3FwQ3JYanhUZUhkRnBUX2FEcHJRdFFuRTd0YmVpeXlnNUJrUl9MMkJ5OHg4c1RFWGJWNjRidHNLX1h3QjhHLThaUW9yUTdZMU5veXA4aFFLVDRmSFJIXy1GMzlrTWk4dGJXdzRQb3FEeG82ekJBZmdZdEd5a25OZGNpcFZzQl9mdDhrNE9WZV8xZUdaQ0xtLTE3NV92amkwNHFKcWg1cTNrSXpJVmtrWk94cXo3U2N3blZVNGM0UHhOSm1uWHBHd0ZPTTlUMlpSb3dXRmhzQ1M1LWFOZDFPVmYyT3l6MmpzTTZfR2Z4NFJJUUlsRUpUekJTaThSX1FpVVRPRjgtMWljeWJUUmpBOHFsUG1qR1ZyZTg1aHpyRmFzb0tuU3UxbUFvSW9LVi1wVC1zMm5NYzBPZVRmZ2VyNFlvdk8y?oc=5"" target=""_blank"">India News Highlights: National Medical Commission withdraws new MBBS curriculum</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Economic Times</font>",
Monsoon progress: Excess rains this month likely to spoil the party - Business Standard,https://news.google.com/rss/articles/CBMiywFBVV95cUxNOWMtR29ZU0dyNGowWlVydjdqQzlWMk44dTRlaklULU5ERDVZT0hPeGhhUGV0c3J5YjBPZ3RUZ1Fac1p0bGdQQnRUeDRpQ0Vqd2NjOW1pN0RmS0UyMzFkb0l3THV4NFBMb3NiRGV1U1lZTzhxVzg4VTlvOU9LcXU2Q0o0VUUyOEF3NXlIbnZOTTBEcG9DTVotY2dOcmVsQm5yNWltT3MwRUlHdW1FSm8tZUs2MW5LdEJfNWtCU1dQUmRBSEktUnc3TG8yRdIB0AFBVV95cUxOVU1heC03MXhVaFM0b1RNcl80NFVuNVlHZGtGU01NYjJVRnhEM25XRFg4QlVqLVhkQmtIOUJnVkF6VjZEQWh5LTh6LXRieFI0Rmd1elBaUk1aN0FqYURwUEZRLWJVUldmdVgyVkVNVGlEeng0QXN4UFRBbEdyUmFPUGxkS2tEVjJaUVViVmVPZ2N5UG53cnFqUlplMkxBMVBZVF9INDY0bWpLQzlFeHVkcGFCUExpZHRiTFU2RTl5QlVnaUcwMWY5UDljS2hRYTlf?oc=5,2024-09-05 23:03:10,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNOWMtR29ZU0dyNGowWlVydjdqQzlWMk44dTRlaklULU5ERDVZT0hPeGhhUGV0c3J5YjBPZ3RUZ1Fac1p0bGdQQnRUeDRpQ0Vqd2NjOW1pN0RmS0UyMzFkb0l3THV4NFBMb3NiRGV1U1lZTzhxVzg4VTlvOU9LcXU2Q0o0VUUyOEF3NXlIbnZOTTBEcG9DTVotY2dOcmVsQm5yNWltT3MwRUlHdW1FSm8tZUs2MW5LdEJfNWtCU1dQUmRBSEktUnc3TG8yRdIB0AFBVV95cUxOVU1heC03MXhVaFM0b1RNcl80NFVuNVlHZGtGU01NYjJVRnhEM25XRFg4QlVqLVhkQmtIOUJnVkF6VjZEQWh5LTh6LXRieFI0Rmd1elBaUk1aN0FqYURwUEZRLWJVUldmdVgyVkVNVGlEeng0QXN4UFRBbEdyUmFPUGxkS2tEVjJaUVViVmVPZ2N5UG53cnFqUlplMkxBMVBZVF9INDY0bWpLQzlFeHVkcGFCUExpZHRiTFU2RTl5QlVnaUcwMWY5UDljS2hRYTlf?oc=5"" target=""_blank"">Monsoon progress: Excess rains this month likely to spoil the party</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Monsoon Parliament Session: Budget, Economic Survey, six bills and more to lead a stormy session starting July 22 - MSN",https://news.google.com/rss/articles/CBMihgNBVV95cUxOc3lqWDZXTmFVNXFNQTVsVWozVllWa0I2c2tuMjRuM1lLZmVYeURLSnNNWHdnYkpNRU80Z243VWRHajF1c2ZzZENuSjI3MmFzdlVMUlRCUXRsWDFObkg2NnNld1QtMTZzeU1YNTRRMEdoZUEyOWdDdUt3cS1rUWZmZTVtSVg4MEpoUXdOanh5TEF0NzFOY2x6aVg3a1hyTWl5azU5bWphZHFUb1FLRHI2TXpONVgxeHpDU2w2M3FIT0pvSUl1eDA0S0hmdngxWk8zMFEzb3JIanl6Q1R0ZzdCLWRlZkJBTXl6Q0xLZjBXZ0FMb1FNY3hEblpJMklJVnNnQVlTbkF0LXpYWkx0bWRxNHpBRUFjcU1ycTVPX3FNa2diNTZxMkxRSEJYa2xOQ1gyZzd6T3dYajZIQkpKNF9DVF85bV9mSklKS1ZKSS1IS3Mwb05TczUtRVQ2SE1YNkhUNUpIeENCdTQ5MWRRMl9zTGdBSkE1MHgzaHBZdFRjNUc1Y0Yzc1E?oc=5,2024-09-06 06:34:14,MSN,"<a href=""https://news.google.com/rss/articles/CBMihgNBVV95cUxOc3lqWDZXTmFVNXFNQTVsVWozVllWa0I2c2tuMjRuM1lLZmVYeURLSnNNWHdnYkpNRU80Z243VWRHajF1c2ZzZENuSjI3MmFzdlVMUlRCUXRsWDFObkg2NnNld1QtMTZzeU1YNTRRMEdoZUEyOWdDdUt3cS1rUWZmZTVtSVg4MEpoUXdOanh5TEF0NzFOY2x6aVg3a1hyTWl5azU5bWphZHFUb1FLRHI2TXpONVgxeHpDU2w2M3FIT0pvSUl1eDA0S0hmdngxWk8zMFEzb3JIanl6Q1R0ZzdCLWRlZkJBTXl6Q0xLZjBXZ0FMb1FNY3hEblpJMklJVnNnQVlTbkF0LXpYWkx0bWRxNHpBRUFjcU1ycTVPX3FNa2diNTZxMkxRSEJYa2xOQ1gyZzd6T3dYajZIQkpKNF9DVF85bV9mSklKS1ZKSS1IS3Mwb05TczUtRVQ2SE1YNkhUNUpIeENCdTQ5MWRRMl9zTGdBSkE1MHgzaHBZdFRjNUc1Y0Yzc1E?oc=5"" target=""_blank"">Monsoon Parliament Session: Budget, Economic Survey, six bills and more to lead a stormy session starting July 22</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",
Weather Update - SHAHARBEEN TIMES,https://news.google.com/rss/articles/CBMiV0FVX3lxTE8xYlQ5aDByR0dnY1NWZDVIVzk2ZFR5a09iS0V6N1RGc09sYjlvRHo0UzZtQVNyQ04wajdUeW8tcWZBSy1zUFo3RFVQbWI3MFlTbl9mdGI5RQ?oc=5,2024-09-05 13:13:59,SHAHARBEEN TIMES,"<a href=""https://news.google.com/rss/articles/CBMiV0FVX3lxTE8xYlQ5aDByR0dnY1NWZDVIVzk2ZFR5a09iS0V6N1RGc09sYjlvRHo0UzZtQVNyQ04wajdUeW8tcWZBSy1zUFo3RFVQbWI3MFlTbl9mdGI5RQ?oc=5"" target=""_blank"">Weather Update</a>&nbsp;&nbsp;<font color=""#6f6f6f"">SHAHARBEEN TIMES</font>",
Delhi breathes clean air for 128 days in first half of 2024: Report - Business Standard,https://news.google.com/rss/articles/CBMiywFBVV95cUxNc194RndIT0ZZWGRvNFBIbzU5cktMd2J5My1VWk5lR0RmT0xnMktod0tJMDlCTTIxelFOMG9vR2VTLTVRZDdIN1QtWGdDckNReDdWQ2M2WlRXdUJsV3FkMmJ5STJ5ZEtZS3VLbjNHMXd5ZzhIMTFadUlHOHkwdHkzQzVpY3haQVlqNkxXZXBkeExYZTUyeFRjbTBudndYTGs5NjhLd1N2UHJvV2tMUXpneWVITnNYeDJoaW5DaDhBT3ZSbGtHQ3lNSmNvMNIB0AFBVV95cUxOMElvcFhSaGtnNms4bzlLX1NLa3ZNeDhkQ3dCRlhaMGhTY2hOZ3Z6ZWFWOF9EOEVHMXNlOGltemNMRTdrY0lyaFEtRDlMOUM0VzZNaVNUNHZDS0tXeW9BaTRaNUNpc2dvOGtDc29ITUQ0cGlxbG1TRWR5aUZVNlcwWld1c0E1aTUxS2Z0TGhmNW9JeUtoUjltd0ZFemlzXzVER2xUbGxwV196V05KVXVrTmVWWUtNVWo3Zjk1M0xjXzd1TFRVM0xPOS1uaE9kYzVJ?oc=5,2024-09-05 22:11:32,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNc194RndIT0ZZWGRvNFBIbzU5cktMd2J5My1VWk5lR0RmT0xnMktod0tJMDlCTTIxelFOMG9vR2VTLTVRZDdIN1QtWGdDckNReDdWQ2M2WlRXdUJsV3FkMmJ5STJ5ZEtZS3VLbjNHMXd5ZzhIMTFadUlHOHkwdHkzQzVpY3haQVlqNkxXZXBkeExYZTUyeFRjbTBudndYTGs5NjhLd1N2UHJvV2tMUXpneWVITnNYeDJoaW5DaDhBT3ZSbGtHQ3lNSmNvMNIB0AFBVV95cUxOMElvcFhSaGtnNms4bzlLX1NLa3ZNeDhkQ3dCRlhaMGhTY2hOZ3Z6ZWFWOF9EOEVHMXNlOGltemNMRTdrY0lyaFEtRDlMOUM0VzZNaVNUNHZDS0tXeW9BaTRaNUNpc2dvOGtDc29ITUQ0cGlxbG1TRWR5aUZVNlcwWld1c0E1aTUxS2Z0TGhmNW9JeUtoUjltd0ZFemlzXzVER2xUbGxwV196V05KVXVrTmVWWUtNVWo3Zjk1M0xjXzd1TFRVM0xPOS1uaE9kYzVJ?oc=5"" target=""_blank"">Delhi breathes clean air for 128 days in first half of 2024: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"News updates: Rain lashes central Delhi, minimum temp settles at 23.3 deg C - Business Standard",https://news.google.com/rss/articles/CBMinwJBVV95cUxORGRfOXdrUktVQTBlTW1tSmxWX1BnZDA2bjNHTFR4UVVEdFVEeHJxVGEwb1VwazRSeS16VVZKUDAzY29VTmxLdEh3bjQxUzhFVDVxYnFVTzd3ZFMtTzhpSDExeXJIbWIzWHdlN3Y5bUdSbm1ua2V0Mkd1NEJDTTZyMGNYNk95TjJiMjdOd0s5NUR1U3A4dmZqVVp5cll4YlNEdUdhWG5FVXNxNllPaEVaejhDZDhyMHJJQTRDUXdXSjlDNVA1NTcyWlpDT2wwU0Q5RzdaSUZQOHIwN2F3OXdpMzhocUw4cmpEdnNGRGd1dkxVeXFDaGpXdHN1VzFaMUxPRTNZdG1FaHBXcGRzc09raVNDLVE1bVQ1QnVhQjE0TdIBpAJBVV95cUxNbVkyYktnS3pVRDFlRTBJWnQzdDU2NWlmV3ZFY180RXBSd2F5YnZuQ2pkVHhpbUxNR3kyQjFYT3gyMWx3OTB5SGtLWDlGU2NJeDRfV3Z2cjhBZ3dsU1NGZ0FlOHZsNVpxN1p6WktZZmRVWXNENTY3RjRjR3pMYjhvQ2xOOVpnTlhFdEFDcDVoOFpBX0Z1RU1OT0l2TlNrc3J5UGRWSVBTMGJmT1NxUGxDbVF0MFBuaVZnR0xLczhtVUxBQzQtSUs5Uzl3d09xTXAxRGh3TXdYM0tNZ2hXSnhhc0FzRnNWY0hwMXJGYkJHZHd2eGR2S25VNnBaVWxwYk14OUE2c1NBNWdKQ3ZUN0ZWQ3RRc3RDaUpuRU5wUnU4UDVqVUd3?oc=5,2024-09-05 22:00:37,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMinwJBVV95cUxORGRfOXdrUktVQTBlTW1tSmxWX1BnZDA2bjNHTFR4UVVEdFVEeHJxVGEwb1VwazRSeS16VVZKUDAzY29VTmxLdEh3bjQxUzhFVDVxYnFVTzd3ZFMtTzhpSDExeXJIbWIzWHdlN3Y5bUdSbm1ua2V0Mkd1NEJDTTZyMGNYNk95TjJiMjdOd0s5NUR1U3A4dmZqVVp5cll4YlNEdUdhWG5FVXNxNllPaEVaejhDZDhyMHJJQTRDUXdXSjlDNVA1NTcyWlpDT2wwU0Q5RzdaSUZQOHIwN2F3OXdpMzhocUw4cmpEdnNGRGd1dkxVeXFDaGpXdHN1VzFaMUxPRTNZdG1FaHBXcGRzc09raVNDLVE1bVQ1QnVhQjE0TdIBpAJBVV95cUxNbVkyYktnS3pVRDFlRTBJWnQzdDU2NWlmV3ZFY180RXBSd2F5YnZuQ2pkVHhpbUxNR3kyQjFYT3gyMWx3OTB5SGtLWDlGU2NJeDRfV3Z2cjhBZ3dsU1NGZ0FlOHZsNVpxN1p6WktZZmRVWXNENTY3RjRjR3pMYjhvQ2xOOVpnTlhFdEFDcDVoOFpBX0Z1RU1OT0l2TlNrc3J5UGRWSVBTMGJmT1NxUGxDbVF0MFBuaVZnR0xLczhtVUxBQzQtSUs5Uzl3d09xTXAxRGh3TXdYM0tNZ2hXSnhhc0FzRnNWY0hwMXJGYkJHZHd2eGR2S25VNnBaVWxwYk14OUE2c1NBNWdKQ3ZUN0ZWQ3RRc3RDaUpuRU5wUnU4UDVqVUd3?oc=5"" target=""_blank"">News updates: Rain lashes central Delhi, minimum temp settles at 23.3 deg C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"Expect new members in MPC to be appointed in time, says RBI Guv Das - Business Standard",https://news.google.com/rss/articles/CBMiywFBVV95cUxNTExQODZlVzJFRzN5cUNTcEptNEN1NnRMY1VHc2tsLXNya1FrVU9WNUliWFVMMm5PUm9hcTVnd3J6MkdoRkx6djN4dmY4em5qVzZ1WUt6VWpQOVcxdi1vUWRrbGxseVB3REVqTm8wTkRqZ0VSYWYxYUxGcHE5Ukd1TURtcjcxejluQzREQmFXcy1LOWlLbnVSY1pBUkhiN3d4cUR3ZkVrSm9mRFhYWGwwYXU5VklEYWY5NGtMZnJuUWZEYm1UVWV4WFg5d9IB0AFBVV95cUxNZmtUbFhXTnpYcEFkMjdSMEZ6aXRscFhOVXh5M0RhS29hM2hsejlpWWR6b1VROHphRGQzUFRKMl9lYWxkcjRycndib05fVGE0MUhjYXhBNHJMZTNIZ2ZsS1lMd25tc1h0QnhQRkJtNER5cFE2ZkhZTmtaYkoxZzV2em1xN2ZJQnpKTVhma2VnXzVuS0hXaFhDMW5RWXRiTFlHS1dBcmN3SUVkTElOLTRtdGFQMWhSN183MHAzb0JMRVFpSmxlelVCNkEzWHFDcS1U?oc=5,2024-09-05 22:16:39,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxNTExQODZlVzJFRzN5cUNTcEptNEN1NnRMY1VHc2tsLXNya1FrVU9WNUliWFVMMm5PUm9hcTVnd3J6MkdoRkx6djN4dmY4em5qVzZ1WUt6VWpQOVcxdi1vUWRrbGxseVB3REVqTm8wTkRqZ0VSYWYxYUxGcHE5Ukd1TURtcjcxejluQzREQmFXcy1LOWlLbnVSY1pBUkhiN3d4cUR3ZkVrSm9mRFhYWGwwYXU5VklEYWY5NGtMZnJuUWZEYm1UVWV4WFg5d9IB0AFBVV95cUxNZmtUbFhXTnpYcEFkMjdSMEZ6aXRscFhOVXh5M0RhS29hM2hsejlpWWR6b1VROHphRGQzUFRKMl9lYWxkcjRycndib05fVGE0MUhjYXhBNHJMZTNIZ2ZsS1lMd25tc1h0QnhQRkJtNER5cFE2ZkhZTmtaYkoxZzV2em1xN2ZJQnpKTVhma2VnXzVuS0hXaFhDMW5RWXRiTFlHS1dBcmN3SUVkTElOLTRtdGFQMWhSN183MHAzb0JMRVFpSmxlelVCNkEzWHFDcS1U?oc=5"" target=""_blank"">Expect new members in MPC to be appointed in time, says RBI Guv Das</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
"DPCC prohibits idol immersion in Yamuna, water bodies ahead of festivals - Business Standard",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPWEhqeVlfcDJ4NG55cUllZ21XSFNmSFA4eFpWcWlXTmdyeVgtWUJOSTAxejZCSTdjalJVQ1RLSm9zWFBtRVl3ZkhjdGkwS25fdjFZalJEa2U5TnBIdkVSOWFtWGhJUy00Q0ZVZHJQSk9PdnhSRms0OTl3bDlCM1FaVWc4VTFnWXJIMDFFWlBkdUdhblJOY1RWTTE0ZzVQMVJNMWJ4LVZLclYydWhIX0YyU3Z1aFVYZEplQ0tIc1ptNHk1eVFPaXJ4T3Bnak5Cd0JYT3fSAdcBQVVfeXFMUEJPWDBXVWUwVUVyUExfa0huZFpiZXJkZm5rVzNxWW9WTzFsLTlQZ0tqS0VoMXV2MWJHaVp5UWI0OEpzMUo4Q29CUUpoQ3B1SmlzamhWXzJoMU1rTllVdTY1X2kwLWR5Vi1ydHQza0txTlV1ajJYR1ZZd3RaUzlfMEZfRXA0bjRFYTBPcWJsZnFPeV9hT24yMUZoOWQ2X29VVmNwT1pqcG96YnBtQk5sSElVNTc0czBURWVOSlQzaTZoM204MXgyd2pNcVM1SnM2R2tlYVh2NVk?oc=5,2024-09-05 22:27:28,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPWEhqeVlfcDJ4NG55cUllZ21XSFNmSFA4eFpWcWlXTmdyeVgtWUJOSTAxejZCSTdjalJVQ1RLSm9zWFBtRVl3ZkhjdGkwS25fdjFZalJEa2U5TnBIdkVSOWFtWGhJUy00Q0ZVZHJQSk9PdnhSRms0OTl3bDlCM1FaVWc4VTFnWXJIMDFFWlBkdUdhblJOY1RWTTE0ZzVQMVJNMWJ4LVZLclYydWhIX0YyU3Z1aFVYZEplQ0tIc1ptNHk1eVFPaXJ4T3Bnak5Cd0JYT3fSAdcBQVVfeXFMUEJPWDBXVWUwVUVyUExfa0huZFpiZXJkZm5rVzNxWW9WTzFsLTlQZ0tqS0VoMXV2MWJHaVp5UWI0OEpzMUo4Q29CUUpoQ3B1SmlzamhWXzJoMU1rTllVdTY1X2kwLWR5Vi1ydHQza0txTlV1ajJYR1ZZd3RaUzlfMEZfRXA0bjRFYTBPcWJsZnFPeV9hT24yMUZoOWQ2X29VVmNwT1pqcG96YnBtQk5sSElVNTc0czBURWVOSlQzaTZoM204MXgyd2pNcVM1SnM2R2tlYVh2NVk?oc=5"" target=""_blank"">DPCC prohibits idol immersion in Yamuna, water bodies ahead of festivals</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",
