Title,Link,Date,Source,Summary,Term,LanguageQueried
"IMD Warns of Mixed Weather: Snow in North, Heat in South from March 9-13 - Nativeplanet",https://news.google.com/rss/articles/CBMitwFBVV95cUxOSFBTT0xWUHJMWDd2a1JfQ1RVWVNPNElQSjdZVjB4X2FCTVJSTzlGUzNVcGxmQWQ1dlhuU3R5RDJRcEZHbHk3TEYzVGplVXhLYzNlSmV1eXh6cUZxLVNtbXhZRklFTGVOMXU5a3lYYzUzVDFVT2kzN2ZkRE9wa0w5aTlSZ2YyZUtTQ0VxWUNLODBKaHJyLUxVOVoyOC1GY2Fkd3FXUjlWQXRHR3dJcWZJRTlwRDk4bzg?oc=5,2025-03-08 15:30:11,Nativeplanet,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOSFBTT0xWUHJMWDd2a1JfQ1RVWVNPNElQSjdZVjB4X2FCTVJSTzlGUzNVcGxmQWQ1dlhuU3R5RDJRcEZHbHk3TEYzVGplVXhLYzNlSmV1eXh6cUZxLVNtbXhZRklFTGVOMXU5a3lYYzUzVDFVT2kzN2ZkRE9wa0w5aTlSZ2YyZUtTQ0VxWUNLODBKaHJyLUxVOVoyOC1GY2Fkd3FXUjlWQXRHR3dJcWZJRTlwRDk4bzg?oc=5"" target=""_blank"">IMD Warns of Mixed Weather: Snow in North, Heat in South from March 9-13</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nativeplanet</font>",Heatwave,en
"Weather Update: IMD Issues Rain Alert in North India, Delhi-NCR to Experience Scorching Heat - Jagran TV",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNcVhtVTZOMldYQ3FoSVFKZ2pOTkJrWk5rM3N6Q3h3aFRtM1VfSEsyV2lQNVVRLVQxX1gxWmZhTnR4czR0V2l3anY3LVVEYVZjMms0RlBLUGxjck94RWV2T2Q3VTBBUmFub1UxeDJ4YXpTa2VuZmxmSDZXUjdWUk5MZ3g0RExVTk80cWRYbG92eXpmTVc2cTN4MWVsQWpjZGZwRWVVbkxudFFka3BaM2VLckV5M3BrVlJLd3QyT21vWHFoMng0aS1jS2VjNXR2Wm1rVlc1M2RqUTBlT29lNjFZ0gHkAUFVX3lxTE9TWjl0RHJ0QllfWHlfRmFkUTNPenNFcE4ybGhzY2JydXJjakozalNlYk5XbldXdHB6UFZVeFV1NEFSTURYNVRMbDZRNG1hczF1UHpGZXVrUE1lRnh1RmNCaXpXdUh0c2hDdzQ1RVZ0UVF0YmtIX3d1Z05QZ3g5c3YzRG5kMkRuNnN0X0RkY3hmMXQ1a2pfRnlSb0NwVloxd2N6ZExOWDRTMnp0Rjl0TW54cFlBN1VLZmhUT0tldmJtNGNjbGdZLUNfc0dhcTRBUG95TnIwMWhQVlRkSk5XRTAtWFhHag?oc=5,2025-03-08 10:30:41,Jagran TV,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNcVhtVTZOMldYQ3FoSVFKZ2pOTkJrWk5rM3N6Q3h3aFRtM1VfSEsyV2lQNVVRLVQxX1gxWmZhTnR4czR0V2l3anY3LVVEYVZjMms0RlBLUGxjck94RWV2T2Q3VTBBUmFub1UxeDJ4YXpTa2VuZmxmSDZXUjdWUk5MZ3g0RExVTk80cWRYbG92eXpmTVc2cTN4MWVsQWpjZGZwRWVVbkxudFFka3BaM2VLckV5M3BrVlJLd3QyT21vWHFoMng0aS1jS2VjNXR2Wm1rVlc1M2RqUTBlT29lNjFZ0gHkAUFVX3lxTE9TWjl0RHJ0QllfWHlfRmFkUTNPenNFcE4ybGhzY2JydXJjakozalNlYk5XbldXdHB6UFZVeFV1NEFSTURYNVRMbDZRNG1hczF1UHpGZXVrUE1lRnh1RmNCaXpXdUh0c2hDdzQ1RVZ0UVF0YmtIX3d1Z05QZ3g5c3YzRG5kMkRuNnN0X0RkY3hmMXQ1a2pfRnlSb0NwVloxd2N6ZExOWDRTMnp0Rjl0TW54cFlBN1VLZmhUT0tldmJtNGNjbGdZLUNfc0dhcTRBUG95TnIwMWhQVlRkSk5XRTAtWFhHag?oc=5"" target=""_blank"">Weather Update: IMD Issues Rain Alert in North India, Delhi-NCR to Experience Scorching Heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran TV</font>",Heatwave,en
"Rain Alert: New Western Disturbance active, these states will receive rain for 6 days - informalnewz",https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5,2025-03-09 08:23:07,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5"" target=""_blank"">Rain Alert: New Western Disturbance active, these states will receive rain for 6 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
Weather Alert: Western Disturbance to Bring Rain for 6 Days | Heatwave in Gujarat - Udaipur Kiran,https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnpaNmxwNkNwdjhxYVJpUmwtQUwyRTZ5Q09SUlNLb0MxWTRxdEtCVUVPakFQUWhpZ0ZsWGVTcnZfamtrOGRxX3B2TlVGYTFib2N0MjR2ak9UUEVURnZVYWJnRXg5SlNSV1FzaEZWM3k1UTdtZlVGV1F1Y2VnTTNTb09uUlVUemtNUmNXSjVLWDBCTVg1Um5Lakp4akNNQU43Q1U2dA?oc=5,2025-03-08 16:37:31,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnpaNmxwNkNwdjhxYVJpUmwtQUwyRTZ5Q09SUlNLb0MxWTRxdEtCVUVPakFQUWhpZ0ZsWGVTcnZfamtrOGRxX3B2TlVGYTFib2N0MjR2ak9UUEVURnZVYWJnRXg5SlNSV1FzaEZWM3k1UTdtZlVGV1F1Y2VnTTNTb09uUlVUemtNUmNXSjVLWDBCTVg1Um5Lakp4akNNQU43Q1U2dA?oc=5"" target=""_blank"">Weather Alert: Western Disturbance to Bring Rain for 6 Days | Heatwave in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
Climate Alert: Western Disruption to Bring Rainfall for 6 Days - Udaipur Kiran,https://news.google.com/rss/articles/CBMijwFBVV95cUxORC1RTGlXeW5DYmlzOV9heWN0YWZfNVRjamp5d3FnNzFyMHFSOWNxcWl1UkltNzBWbC1pZndnUGxBODU3N0NVcmFtRGpIcW9NUlg4WFNGQTE4UmNhUDQyWDB0bkpuNk43WS1OTzA3ek9RaWpSRGJLUFB1dVZldDI3SEFTQVVOZ0UzdkNmNkhFRQ?oc=5,2025-03-08 16:37:55,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxORC1RTGlXeW5DYmlzOV9heWN0YWZfNVRjamp5d3FnNzFyMHFSOWNxcWl1UkltNzBWbC1pZndnUGxBODU3N0NVcmFtRGpIcW9NUlg4WFNGQTE4UmNhUDQyWDB0bkpuNk43WS1OTzA3ek9RaWpSRGJLUFB1dVZldDI3SEFTQVVOZ0UzdkNmNkhFRQ?oc=5"" target=""_blank"">Climate Alert: Western Disruption to Bring Rainfall for 6 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
"IMD Warns of Mixed Weather: Snow in North, Heat in South from March 9-13 - Nativeplanet",https://news.google.com/rss/articles/CBMitwFBVV95cUxOSFBTT0xWUHJMWDd2a1JfQ1RVWVNPNElQSjdZVjB4X2FCTVJSTzlGUzNVcGxmQWQ1dlhuU3R5RDJRcEZHbHk3TEYzVGplVXhLYzNlSmV1eXh6cUZxLVNtbXhZRklFTGVOMXU5a3lYYzUzVDFVT2kzN2ZkRE9wa0w5aTlSZ2YyZUtTQ0VxWUNLODBKaHJyLUxVOVoyOC1GY2Fkd3FXUjlWQXRHR3dJcWZJRTlwRDk4bzg?oc=5,2025-03-08 15:30:11,Nativeplanet,"<a href=""https://news.google.com/rss/articles/CBMitwFBVV95cUxOSFBTT0xWUHJMWDd2a1JfQ1RVWVNPNElQSjdZVjB4X2FCTVJSTzlGUzNVcGxmQWQ1dlhuU3R5RDJRcEZHbHk3TEYzVGplVXhLYzNlSmV1eXh6cUZxLVNtbXhZRklFTGVOMXU5a3lYYzUzVDFVT2kzN2ZkRE9wa0w5aTlSZ2YyZUtTQ0VxWUNLODBKaHJyLUxVOVoyOC1GY2Fkd3FXUjlWQXRHR3dJcWZJRTlwRDk4bzg?oc=5"" target=""_blank"">IMD Warns of Mixed Weather: Snow in North, Heat in South from March 9-13</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Nativeplanet</font>",Heatwave,en
"Weather Update: IMD Issues Rain Alert in North India, Delhi-NCR to Experience Scorching Heat - Jagran TV",https://news.google.com/rss/articles/CBMi3wFBVV95cUxNcVhtVTZOMldYQ3FoSVFKZ2pOTkJrWk5rM3N6Q3h3aFRtM1VfSEsyV2lQNVVRLVQxX1gxWmZhTnR4czR0V2l3anY3LVVEYVZjMms0RlBLUGxjck94RWV2T2Q3VTBBUmFub1UxeDJ4YXpTa2VuZmxmSDZXUjdWUk5MZ3g0RExVTk80cWRYbG92eXpmTVc2cTN4MWVsQWpjZGZwRWVVbkxudFFka3BaM2VLckV5M3BrVlJLd3QyT21vWHFoMng0aS1jS2VjNXR2Wm1rVlc1M2RqUTBlT29lNjFZ0gHkAUFVX3lxTE9TWjl0RHJ0QllfWHlfRmFkUTNPenNFcE4ybGhzY2JydXJjakozalNlYk5XbldXdHB6UFZVeFV1NEFSTURYNVRMbDZRNG1hczF1UHpGZXVrUE1lRnh1RmNCaXpXdUh0c2hDdzQ1RVZ0UVF0YmtIX3d1Z05QZ3g5c3YzRG5kMkRuNnN0X0RkY3hmMXQ1a2pfRnlSb0NwVloxd2N6ZExOWDRTMnp0Rjl0TW54cFlBN1VLZmhUT0tldmJtNGNjbGdZLUNfc0dhcTRBUG95TnIwMWhQVlRkSk5XRTAtWFhHag?oc=5,2025-03-08 10:30:41,Jagran TV,"<a href=""https://news.google.com/rss/articles/CBMi3wFBVV95cUxNcVhtVTZOMldYQ3FoSVFKZ2pOTkJrWk5rM3N6Q3h3aFRtM1VfSEsyV2lQNVVRLVQxX1gxWmZhTnR4czR0V2l3anY3LVVEYVZjMms0RlBLUGxjck94RWV2T2Q3VTBBUmFub1UxeDJ4YXpTa2VuZmxmSDZXUjdWUk5MZ3g0RExVTk80cWRYbG92eXpmTVc2cTN4MWVsQWpjZGZwRWVVbkxudFFka3BaM2VLckV5M3BrVlJLd3QyT21vWHFoMng0aS1jS2VjNXR2Wm1rVlc1M2RqUTBlT29lNjFZ0gHkAUFVX3lxTE9TWjl0RHJ0QllfWHlfRmFkUTNPenNFcE4ybGhzY2JydXJjakozalNlYk5XbldXdHB6UFZVeFV1NEFSTURYNVRMbDZRNG1hczF1UHpGZXVrUE1lRnh1RmNCaXpXdUh0c2hDdzQ1RVZ0UVF0YmtIX3d1Z05QZ3g5c3YzRG5kMkRuNnN0X0RkY3hmMXQ1a2pfRnlSb0NwVloxd2N6ZExOWDRTMnp0Rjl0TW54cFlBN1VLZmhUT0tldmJtNGNjbGdZLUNfc0dhcTRBUG95TnIwMWhQVlRkSk5XRTAtWFhHag?oc=5"" target=""_blank"">Weather Update: IMD Issues Rain Alert in North India, Delhi-NCR to Experience Scorching Heat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jagran TV</font>",Heatwave,en
"Rain Alert: New Western Disturbance active, these states will receive rain for 6 days - informalnewz",https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5,2025-03-09 08:23:07,informalnewz,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MNIBswFBVV95cUxQX1pfUGtqb3RaNTVmSE9IdDE0VndWMVJELTRXT0Y2ZlQzUnFwaDBMRjF0amZGOUl0cXVZNW4yOWRpQ2VJMlZVa2tpeHRKZlRpZzdBN04zYk0yZVZXWFktMTVKclNFQ0ZzSTc4Qjh6cFlZY2pfUDJTUHI1bXJjSXNvZ0xnd3dLZG1wemRya25QZUZZWFNrbDlSaTZEMmVxWGZOOTBkTWlYb0k4OGNXRjJhZkN4MA?oc=5"" target=""_blank"">Rain Alert: New Western Disturbance active, these states will receive rain for 6 days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">informalnewz</font>",Heatwave,en
Weather Alert: Western Disturbance to Bring Rain for 6 Days | Heatwave in Gujarat - Udaipur Kiran,https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnpaNmxwNkNwdjhxYVJpUmwtQUwyRTZ5Q09SUlNLb0MxWTRxdEtCVUVPakFQUWhpZ0ZsWGVTcnZfamtrOGRxX3B2TlVGYTFib2N0MjR2ak9UUEVURnZVYWJnRXg5SlNSV1FzaEZWM3k1UTdtZlVGV1F1Y2VnTTNTb09uUlVUemtNUmNXSjVLWDBCTVg1Um5Lakp4akNNQU43Q1U2dA?oc=5,2025-03-08 16:37:31,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnpaNmxwNkNwdjhxYVJpUmwtQUwyRTZ5Q09SUlNLb0MxWTRxdEtCVUVPakFQUWhpZ0ZsWGVTcnZfamtrOGRxX3B2TlVGYTFib2N0MjR2ak9UUEVURnZVYWJnRXg5SlNSV1FzaEZWM3k1UTdtZlVGV1F1Y2VnTTNTb09uUlVUemtNUmNXSjVLWDBCTVg1Um5Lakp4akNNQU43Q1U2dA?oc=5"" target=""_blank"">Weather Alert: Western Disturbance to Bring Rain for 6 Days | Heatwave in Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
Climate Alert: Western Disruption to Bring Rainfall for 6 Days - Udaipur Kiran,https://news.google.com/rss/articles/CBMijwFBVV95cUxORC1RTGlXeW5DYmlzOV9heWN0YWZfNVRjamp5d3FnNzFyMHFSOWNxcWl1UkltNzBWbC1pZndnUGxBODU3N0NVcmFtRGpIcW9NUlg4WFNGQTE4UmNhUDQyWDB0bkpuNk43WS1OTzA3ek9RaWpSRGJLUFB1dVZldDI3SEFTQVVOZ0UzdkNmNkhFRQ?oc=5,2025-03-08 16:37:55,Udaipur Kiran,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxORC1RTGlXeW5DYmlzOV9heWN0YWZfNVRjamp5d3FnNzFyMHFSOWNxcWl1UkltNzBWbC1pZndnUGxBODU3N0NVcmFtRGpIcW9NUlg4WFNGQTE4UmNhUDQyWDB0bkpuNk43WS1OTzA3ek9RaWpSRGJLUFB1dVZldDI3SEFTQVVOZ0UzdkNmNkhFRQ?oc=5"" target=""_blank"">Climate Alert: Western Disruption to Bring Rainfall for 6 Days</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Udaipur Kiran</font>",Heatwave,en
