Title,Link,Date,Source,Summary,Term,LanguageQueried
Pahalgam hottest ever as heatwave sweeps Kashmir - Statetimes,https://news.google.com/rss/articles/CBMie0FVX3lxTE5BUGxLSG5qOTZ5WDkzeDJkWnd3MjhfMm93Zjh5a25iZWdiTnBzbGl6cUlRSUZTdkNxcVBBODI1ZHIyUU0tZVlocDJTbTRfNmFjOXJ5MXJITzAyc25YTDBWelpsQndmX1RuX25QbGQtRnFneW9FQWVhUTh5Y9IBgAFBVV95cUxOZWhjdGtSMXY5aEE1b29GTnVmMDdhZTdVazBRZFFRVWZwUUVGdEdqTzFxRlhfSTFCbUd1dEdILXBiWmlTdkc3SWpEUGVzc25FM3ByWm95cmhOUXJWTXNKOTlfY05hVXVyT09tcHRIR0NjdGk1WTZJODhqYjZkZURrbw?oc=5,2025-04-29 20:56:06,Statetimes,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE5BUGxLSG5qOTZ5WDkzeDJkWnd3MjhfMm93Zjh5a25iZWdiTnBzbGl6cUlRSUZTdkNxcVBBODI1ZHIyUU0tZVlocDJTbTRfNmFjOXJ5MXJITzAyc25YTDBWelpsQndmX1RuX25QbGQtRnFneW9FQWVhUTh5Y9IBgAFBVV95cUxOZWhjdGtSMXY5aEE1b29GTnVmMDdhZTdVazBRZFFRVWZwUUVGdEdqTzFxRlhfSTFCbUd1dEdILXBiWmlTdkc3SWpEUGVzc25FM3ByWm95cmhOUXJWTXNKOTlfY05hVXVyT09tcHRIR0NjdGk1WTZJODhqYjZkZURrbw?oc=5"" target=""_blank"">Pahalgam hottest ever as heatwave sweeps Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Statetimes</font>",Heatwave,en
Daily weather tracker: Rainfall in East & Central India; Northwest shows mixed picture - Down To Earth,https://news.google.com/rss/articles/CBMixwFBVV95cUxQelh3cjlhNkN1elRRcEVHYWFNVGJub1I0RmhwQ21naWN0YWJGVU1BQTVSRDNMMWRjblZvSXczdklvWFFCWTlZT3dVWU94bkU1NEdTYzBNRUFQZW9KSmZraVBoQVpFZlZMbktSQ3RkUlBEUjJudXpEaU0ybUlIVjZFZU12dHFodGhscHFpb09taHh0azdqd043d3VYeUtJMkhGczF1S3FrQTluaGI3dDJmREcxTkQxX2k1UXBPdno1ZkJsdDBVYmdF0gHUAUFVX3lxTE9udXdIOXJzODZIRnI5U1hMZVJnNERzTTUteF9IMF94dkpBQ1RwSkFjX21LSWtxT2szNDlIb3RIOC15UGJrc1NOMldwaEktYURFSlBIZmlBS0VSNjRsY0dJUUs1UDVoSENwWnNiaVdVTnlrcllVbDhNV2Rpd0xWRUpMR09iaE95NHhORHl6V1ctZE44WUhoalM1ZnZNbTlhS3ZYeGktRDlpVHZoTXhNeTV3NkVyQWowc2VvMDlaNHNlYUFLMk1UdjJzMDBWRU5DTXk5dko3?oc=5,2025-04-29 14:12:53,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQelh3cjlhNkN1elRRcEVHYWFNVGJub1I0RmhwQ21naWN0YWJGVU1BQTVSRDNMMWRjblZvSXczdklvWFFCWTlZT3dVWU94bkU1NEdTYzBNRUFQZW9KSmZraVBoQVpFZlZMbktSQ3RkUlBEUjJudXpEaU0ybUlIVjZFZU12dHFodGhscHFpb09taHh0azdqd043d3VYeUtJMkhGczF1S3FrQTluaGI3dDJmREcxTkQxX2k1UXBPdno1ZkJsdDBVYmdF0gHUAUFVX3lxTE9udXdIOXJzODZIRnI5U1hMZVJnNERzTTUteF9IMF94dkpBQ1RwSkFjX21LSWtxT2szNDlIb3RIOC15UGJrc1NOMldwaEktYURFSlBIZmlBS0VSNjRsY0dJUUs1UDVoSENwWnNiaVdVTnlrcllVbDhNV2Rpd0xWRUpMR09iaE95NHhORHl6V1ctZE44WUhoalM1ZnZNbTlhS3ZYeGktRDlpVHZoTXhNeTV3NkVyQWowc2VvMDlaNHNlYUFLMk1UdjJzMDBWRU5DTXk5dko3?oc=5"" target=""_blank"">Daily weather tracker: Rainfall in East & Central India; Northwest shows mixed picture</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
"IMD Forecasts Thunderstorms In Some States, Heatwave In Others - ETV Bharat",https://news.google.com/rss/articles/CBMiswFBVV95cUxNdk9SaE0xdXVDMlpVRm1od2lMcFVtb0NmMGJpR1lIYW1welFfOHVsOXZHb0ppbkxYbXc3a1FDaXBuZm5pdXhCR1A2cm9PMC1zWVM1YVJDX2RpaUFFZTJlT0NfckY3WUg5MVFMemFIV3dUZ0JxVVlicE8wUFpJZU9rVkJ3alhMYTdUV0VGbDZFaVJXMDgyVy1VTk9LVjVsM1VWTU9EdXlNZnZtTFB1UXJtcGtDQdIBuAFBVV95cUxQS0tIWHRsdUJ1UVgwdEJQSHppSjVlOUxueHJWR19wX0VMRWZtZXBpQTlkamxvQ3lhaVhWOUxuZG9Id2tUZ1RFS2NNMnYtMHBTTEVfS1RzTDVtZWhSM1hpb0IzaTJsaXdKejUzazZNdzNJYi1hOGtkSjJVbWlJamh2b01tc2dGNm4tQ1liMDg0TXdMS01HSHJiaHgwMm1RZU1qbnZCTmJzU3pWZjYwU1R4MGgzQnlPTW0w?oc=5,2025-04-29 13:33:14,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNdk9SaE0xdXVDMlpVRm1od2lMcFVtb0NmMGJpR1lIYW1welFfOHVsOXZHb0ppbkxYbXc3a1FDaXBuZm5pdXhCR1A2cm9PMC1zWVM1YVJDX2RpaUFFZTJlT0NfckY3WUg5MVFMemFIV3dUZ0JxVVlicE8wUFpJZU9rVkJ3alhMYTdUV0VGbDZFaVJXMDgyVy1VTk9LVjVsM1VWTU9EdXlNZnZtTFB1UXJtcGtDQdIBuAFBVV95cUxQS0tIWHRsdUJ1UVgwdEJQSHppSjVlOUxueHJWR19wX0VMRWZtZXBpQTlkamxvQ3lhaVhWOUxuZG9Id2tUZ1RFS2NNMnYtMHBTTEVfS1RzTDVtZWhSM1hpb0IzaTJsaXdKejUzazZNdzNJYi1hOGtkSjJVbWlJamh2b01tc2dGNm4tQ1liMDg0TXdMS01HSHJiaHgwMm1RZU1qbnZCTmJzU3pWZjYwU1R4MGgzQnlPTW0w?oc=5"" target=""_blank"">IMD Forecasts Thunderstorms In Some States, Heatwave In Others</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"Barmer records 46 degrees, Dust storms & thunderstorms expected across India - Ground Report",https://news.google.com/rss/articles/CBMisgFBVV95cUxQWmZnRVJwSjE4bXh1YXlOWlo4eDh5SktrQlAxYTNHUzR5R0ZLWjFRaUxOSkZaVWF5RUMyd0kwS0E2eDJYdmhVTGswV29PcTRITndMZFo0QzV6cU0tck8xUmF6bjUtUXNjTHpWTDFtMzJ4Ry1WNmNWaHJhVmd3M0hVVm5rOElIRmlVTUF3U0phbW05OGxnb1dqNC1UdUVCTUZWSFd0SElHNHFOdkxBcTltZkZn?oc=5,2025-04-29 11:44:12,Ground Report,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQWmZnRVJwSjE4bXh1YXlOWlo4eDh5SktrQlAxYTNHUzR5R0ZLWjFRaUxOSkZaVWF5RUMyd0kwS0E2eDJYdmhVTGswV29PcTRITndMZFo0QzV6cU0tck8xUmF6bjUtUXNjTHpWTDFtMzJ4Ry1WNmNWaHJhVmd3M0hVVm5rOElIRmlVTUF3U0phbW05OGxnb1dqNC1UdUVCTUZWSFd0SElHNHFOdkxBcTltZkZn?oc=5"" target=""_blank"">Barmer records 46 degrees, Dust storms & thunderstorms expected across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ground Report</font>",Heatwave,en
"Rain, Thunderstorm To Break Heatwave Spell Over Tense Jammu And Kashmir- News18 - News18",https://news.google.com/rss/articles/CBMiuAFBVV95cUxONTJSN0VLUmUwcS1DYWdaTFhnMnYxVHJKZEpZcWpOVF9NdkE5UFVRU3l0dDMtMWxsSF9MclNKQ0dYWnlHUF9VMkhUWGtTZENfT2t6eEpIenVKSGUwbUFZdE50dHRoS2RNdW9MVGpkV0JCZElHblVBWE9PQ2o5c2RSdzdVa0hScV9mamtkQ0p5bzlSTFc0eFpDUmxoXzBnSkZDMksyRkpVa0ROMUdSZDUtWkdHZ1dtemhf0gG-AUFVX3lxTE5iaFVLMVBnZVlJTXFQM1dqRFFIUzRCTllXc1lnYVVJZXFveFlDWVRNM2ZERTBrNmZ0SHA1Y1lWMGVEQkhkVzJ2OGhWcFdDUTViVHlxa0xMa0YtdVZjckZFMG90RFlsQ1IwS0NkM090azB4WjE2d0pFbDRpNm9RMEt4dGxYeW5ENjhRTjd2ZjkxZnNJZ2lWQVRidWw4S1lKTmxfa2RLV3B4V0NOUU9DS0UwWEZLbm1mY0w4c3IySUE?oc=5,2025-04-29 19:33:53,News18,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxONTJSN0VLUmUwcS1DYWdaTFhnMnYxVHJKZEpZcWpOVF9NdkE5UFVRU3l0dDMtMWxsSF9MclNKQ0dYWnlHUF9VMkhUWGtTZENfT2t6eEpIenVKSGUwbUFZdE50dHRoS2RNdW9MVGpkV0JCZElHblVBWE9PQ2o5c2RSdzdVa0hScV9mamtkQ0p5bzlSTFc0eFpDUmxoXzBnSkZDMksyRkpVa0ROMUdSZDUtWkdHZ1dtemhf0gG-AUFVX3lxTE5iaFVLMVBnZVlJTXFQM1dqRFFIUzRCTllXc1lnYVVJZXFveFlDWVRNM2ZERTBrNmZ0SHA1Y1lWMGVEQkhkVzJ2OGhWcFdDUTViVHlxa0xMa0YtdVZjckZFMG90RFlsQ1IwS0NkM090azB4WjE2d0pFbDRpNm9RMEt4dGxYeW5ENjhRTjd2ZjkxZnNJZ2lWQVRidWw4S1lKTmxfa2RLV3B4V0NOUU9DS0UwWEZLbm1mY0w4c3IySUE?oc=5"" target=""_blank"">Rain, Thunderstorm To Break Heatwave Spell Over Tense Jammu And Kashmir- News18</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Heatwave,en
Pahalgam hottest ever as heatwave sweeps Kashmir - Statetimes,https://news.google.com/rss/articles/CBMie0FVX3lxTE5BUGxLSG5qOTZ5WDkzeDJkWnd3MjhfMm93Zjh5a25iZWdiTnBzbGl6cUlRSUZTdkNxcVBBODI1ZHIyUU0tZVlocDJTbTRfNmFjOXJ5MXJITzAyc25YTDBWelpsQndmX1RuX25QbGQtRnFneW9FQWVhUTh5Y9IBgAFBVV95cUxOZWhjdGtSMXY5aEE1b29GTnVmMDdhZTdVazBRZFFRVWZwUUVGdEdqTzFxRlhfSTFCbUd1dEdILXBiWmlTdkc3SWpEUGVzc25FM3ByWm95cmhOUXJWTXNKOTlfY05hVXVyT09tcHRIR0NjdGk1WTZJODhqYjZkZURrbw?oc=5,2025-04-29 20:56:06,Statetimes,"<a href=""https://news.google.com/rss/articles/CBMie0FVX3lxTE5BUGxLSG5qOTZ5WDkzeDJkWnd3MjhfMm93Zjh5a25iZWdiTnBzbGl6cUlRSUZTdkNxcVBBODI1ZHIyUU0tZVlocDJTbTRfNmFjOXJ5MXJITzAyc25YTDBWelpsQndmX1RuX25QbGQtRnFneW9FQWVhUTh5Y9IBgAFBVV95cUxOZWhjdGtSMXY5aEE1b29GTnVmMDdhZTdVazBRZFFRVWZwUUVGdEdqTzFxRlhfSTFCbUd1dEdILXBiWmlTdkc3SWpEUGVzc25FM3ByWm95cmhOUXJWTXNKOTlfY05hVXVyT09tcHRIR0NjdGk1WTZJODhqYjZkZURrbw?oc=5"" target=""_blank"">Pahalgam hottest ever as heatwave sweeps Kashmir</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Statetimes</font>",Heatwave,en
Daily weather tracker: Rainfall in East & Central India; Northwest shows mixed picture - Down To Earth,https://news.google.com/rss/articles/CBMixwFBVV95cUxQelh3cjlhNkN1elRRcEVHYWFNVGJub1I0RmhwQ21naWN0YWJGVU1BQTVSRDNMMWRjblZvSXczdklvWFFCWTlZT3dVWU94bkU1NEdTYzBNRUFQZW9KSmZraVBoQVpFZlZMbktSQ3RkUlBEUjJudXpEaU0ybUlIVjZFZU12dHFodGhscHFpb09taHh0azdqd043d3VYeUtJMkhGczF1S3FrQTluaGI3dDJmREcxTkQxX2k1UXBPdno1ZkJsdDBVYmdF0gHUAUFVX3lxTE9udXdIOXJzODZIRnI5U1hMZVJnNERzTTUteF9IMF94dkpBQ1RwSkFjX21LSWtxT2szNDlIb3RIOC15UGJrc1NOMldwaEktYURFSlBIZmlBS0VSNjRsY0dJUUs1UDVoSENwWnNiaVdVTnlrcllVbDhNV2Rpd0xWRUpMR09iaE95NHhORHl6V1ctZE44WUhoalM1ZnZNbTlhS3ZYeGktRDlpVHZoTXhNeTV3NkVyQWowc2VvMDlaNHNlYUFLMk1UdjJzMDBWRU5DTXk5dko3?oc=5,2025-04-29 14:12:53,Down To Earth,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxQelh3cjlhNkN1elRRcEVHYWFNVGJub1I0RmhwQ21naWN0YWJGVU1BQTVSRDNMMWRjblZvSXczdklvWFFCWTlZT3dVWU94bkU1NEdTYzBNRUFQZW9KSmZraVBoQVpFZlZMbktSQ3RkUlBEUjJudXpEaU0ybUlIVjZFZU12dHFodGhscHFpb09taHh0azdqd043d3VYeUtJMkhGczF1S3FrQTluaGI3dDJmREcxTkQxX2k1UXBPdno1ZkJsdDBVYmdF0gHUAUFVX3lxTE9udXdIOXJzODZIRnI5U1hMZVJnNERzTTUteF9IMF94dkpBQ1RwSkFjX21LSWtxT2szNDlIb3RIOC15UGJrc1NOMldwaEktYURFSlBIZmlBS0VSNjRsY0dJUUs1UDVoSENwWnNiaVdVTnlrcllVbDhNV2Rpd0xWRUpMR09iaE95NHhORHl6V1ctZE44WUhoalM1ZnZNbTlhS3ZYeGktRDlpVHZoTXhNeTV3NkVyQWowc2VvMDlaNHNlYUFLMk1UdjJzMDBWRU5DTXk5dko3?oc=5"" target=""_blank"">Daily weather tracker: Rainfall in East & Central India; Northwest shows mixed picture</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Down To Earth</font>",Heatwave,en
"IMD Forecasts Thunderstorms In Some States, Heatwave In Others - ETV Bharat",https://news.google.com/rss/articles/CBMiswFBVV95cUxNdk9SaE0xdXVDMlpVRm1od2lMcFVtb0NmMGJpR1lIYW1welFfOHVsOXZHb0ppbkxYbXc3a1FDaXBuZm5pdXhCR1A2cm9PMC1zWVM1YVJDX2RpaUFFZTJlT0NfckY3WUg5MVFMemFIV3dUZ0JxVVlicE8wUFpJZU9rVkJ3alhMYTdUV0VGbDZFaVJXMDgyVy1VTk9LVjVsM1VWTU9EdXlNZnZtTFB1UXJtcGtDQdIBuAFBVV95cUxQS0tIWHRsdUJ1UVgwdEJQSHppSjVlOUxueHJWR19wX0VMRWZtZXBpQTlkamxvQ3lhaVhWOUxuZG9Id2tUZ1RFS2NNMnYtMHBTTEVfS1RzTDVtZWhSM1hpb0IzaTJsaXdKejUzazZNdzNJYi1hOGtkSjJVbWlJamh2b01tc2dGNm4tQ1liMDg0TXdMS01HSHJiaHgwMm1RZU1qbnZCTmJzU3pWZjYwU1R4MGgzQnlPTW0w?oc=5,2025-04-29 13:33:14,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNdk9SaE0xdXVDMlpVRm1od2lMcFVtb0NmMGJpR1lIYW1welFfOHVsOXZHb0ppbkxYbXc3a1FDaXBuZm5pdXhCR1A2cm9PMC1zWVM1YVJDX2RpaUFFZTJlT0NfckY3WUg5MVFMemFIV3dUZ0JxVVlicE8wUFpJZU9rVkJ3alhMYTdUV0VGbDZFaVJXMDgyVy1VTk9LVjVsM1VWTU9EdXlNZnZtTFB1UXJtcGtDQdIBuAFBVV95cUxQS0tIWHRsdUJ1UVgwdEJQSHppSjVlOUxueHJWR19wX0VMRWZtZXBpQTlkamxvQ3lhaVhWOUxuZG9Id2tUZ1RFS2NNMnYtMHBTTEVfS1RzTDVtZWhSM1hpb0IzaTJsaXdKejUzazZNdzNJYi1hOGtkSjJVbWlJamh2b01tc2dGNm4tQ1liMDg0TXdMS01HSHJiaHgwMm1RZU1qbnZCTmJzU3pWZjYwU1R4MGgzQnlPTW0w?oc=5"" target=""_blank"">IMD Forecasts Thunderstorms In Some States, Heatwave In Others</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"Barmer records 46 degrees, Dust storms & thunderstorms expected across India - Ground Report",https://news.google.com/rss/articles/CBMisgFBVV95cUxQWmZnRVJwSjE4bXh1YXlOWlo4eDh5SktrQlAxYTNHUzR5R0ZLWjFRaUxOSkZaVWF5RUMyd0kwS0E2eDJYdmhVTGswV29PcTRITndMZFo0QzV6cU0tck8xUmF6bjUtUXNjTHpWTDFtMzJ4Ry1WNmNWaHJhVmd3M0hVVm5rOElIRmlVTUF3U0phbW05OGxnb1dqNC1UdUVCTUZWSFd0SElHNHFOdkxBcTltZkZn?oc=5,2025-04-29 11:44:12,Ground Report,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxQWmZnRVJwSjE4bXh1YXlOWlo4eDh5SktrQlAxYTNHUzR5R0ZLWjFRaUxOSkZaVWF5RUMyd0kwS0E2eDJYdmhVTGswV29PcTRITndMZFo0QzV6cU0tck8xUmF6bjUtUXNjTHpWTDFtMzJ4Ry1WNmNWaHJhVmd3M0hVVm5rOElIRmlVTUF3U0phbW05OGxnb1dqNC1UdUVCTUZWSFd0SElHNHFOdkxBcTltZkZn?oc=5"" target=""_blank"">Barmer records 46 degrees, Dust storms & thunderstorms expected across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ground Report</font>",Heatwave,en
"Rain, Thunderstorm To Break Heatwave Spell Over Tense Jammu And Kashmir- News18 - News18",https://news.google.com/rss/articles/CBMiuAFBVV95cUxONTJSN0VLUmUwcS1DYWdaTFhnMnYxVHJKZEpZcWpOVF9NdkE5UFVRU3l0dDMtMWxsSF9MclNKQ0dYWnlHUF9VMkhUWGtTZENfT2t6eEpIenVKSGUwbUFZdE50dHRoS2RNdW9MVGpkV0JCZElHblVBWE9PQ2o5c2RSdzdVa0hScV9mamtkQ0p5bzlSTFc0eFpDUmxoXzBnSkZDMksyRkpVa0ROMUdSZDUtWkdHZ1dtemhf0gG-AUFVX3lxTE5iaFVLMVBnZVlJTXFQM1dqRFFIUzRCTllXc1lnYVVJZXFveFlDWVRNM2ZERTBrNmZ0SHA1Y1lWMGVEQkhkVzJ2OGhWcFdDUTViVHlxa0xMa0YtdVZjckZFMG90RFlsQ1IwS0NkM090azB4WjE2d0pFbDRpNm9RMEt4dGxYeW5ENjhRTjd2ZjkxZnNJZ2lWQVRidWw4S1lKTmxfa2RLV3B4V0NOUU9DS0UwWEZLbm1mY0w4c3IySUE?oc=5,2025-04-29 19:33:53,News18,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxONTJSN0VLUmUwcS1DYWdaTFhnMnYxVHJKZEpZcWpOVF9NdkE5UFVRU3l0dDMtMWxsSF9MclNKQ0dYWnlHUF9VMkhUWGtTZENfT2t6eEpIenVKSGUwbUFZdE50dHRoS2RNdW9MVGpkV0JCZElHblVBWE9PQ2o5c2RSdzdVa0hScV9mamtkQ0p5bzlSTFc0eFpDUmxoXzBnSkZDMksyRkpVa0ROMUdSZDUtWkdHZ1dtemhf0gG-AUFVX3lxTE5iaFVLMVBnZVlJTXFQM1dqRFFIUzRCTllXc1lnYVVJZXFveFlDWVRNM2ZERTBrNmZ0SHA1Y1lWMGVEQkhkVzJ2OGhWcFdDUTViVHlxa0xMa0YtdVZjckZFMG90RFlsQ1IwS0NkM090azB4WjE2d0pFbDRpNm9RMEt4dGxYeW5ENjhRTjd2ZjkxZnNJZ2lWQVRidWw4S1lKTmxfa2RLV3B4V0NOUU9DS0UwWEZLbm1mY0w4c3IySUE?oc=5"" target=""_blank"">Rain, Thunderstorm To Break Heatwave Spell Over Tense Jammu And Kashmir- News18</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font>",Heatwave,en
