Title,Link,Date,Source,Summary,Term,LanguageQueried
"Cyclone Ditwah to bring heavy rain in Tamil Nadu, Andhra today; alerts issued - India Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5,2025-11-28 07:29:21,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5"" target=""_blank"">Cyclone Ditwah to bring heavy rain in Tamil Nadu, Andhra today; alerts issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"Orange alert as cyclone 'Ditwah' nears coasts of TN, Puducherry - ANI News",https://news.google.com/rss/articles/CBMiygFBVV95cUxOeWpCTS1YeXJGN0FVX1UyVGxWT1N4VTdOMGw1V3BYYnB0Qlp5cTFsTVJ1VUVlSC03cEVNNFdobGRFRmpMMjRWWnpkRC1uZlB3OUdfSndhMzc1RHJvaFh1OHQ3Umx4QkFzRDQtQW10aTM0RUVHS1RIRXZ3cFRvVnBXaXdpU3V1NkliTjlaUm1XaFljSUlWRkttcFFGbDdBazZscURRMFNLRExOWFMwMWhhaE1OOWNXQi1QczVUVWlXMDZYeVdfc0Z4a2p30gHKAUFVX3lxTE55akJNLVh5ckY3QVVfVTJUbFZPU3hVN04wbDVXcFhicHRCWnlxMWxNUnVVRWVILTdwRU00V2hsZEVGakwyNFZaemRELW5mUHc5R19Kd2EzNzVEcm9oWHU4dDdSbHhCQXNENC1BbXRpMzRFRUdLVEhFdndwVG9WcFdpd2lTdXU2SWJOOVpSbVdoWWNJSVZGS21wUUZsN0FrNmxxRFEwU0tETE5YUzAxaGFoTU45Y1dCLVBzNVRVaVcwNlh5V19zRnhranc?oc=5,2025-11-28 07:19:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOeWpCTS1YeXJGN0FVX1UyVGxWT1N4VTdOMGw1V3BYYnB0Qlp5cTFsTVJ1VUVlSC03cEVNNFdobGRFRmpMMjRWWnpkRC1uZlB3OUdfSndhMzc1RHJvaFh1OHQ3Umx4QkFzRDQtQW10aTM0RUVHS1RIRXZ3cFRvVnBXaXdpU3V1NkliTjlaUm1XaFljSUlWRkttcFFGbDdBazZscURRMFNLRExOWFMwMWhhaE1OOWNXQi1QczVUVWlXMDZYeVdfc0Z4a2p30gHKAUFVX3lxTE55akJNLVh5ckY3QVVfVTJUbFZPU3hVN04wbDVXcFhicHRCWnlxMWxNUnVVRWVILTdwRU00V2hsZEVGakwyNFZaemRELW5mUHc5R19Kd2EzNzVEcm9oWHU4dDdSbHhCQXNENC1BbXRpMzRFRUdLVEhFdndwVG9WcFdpd2lTdXU2SWJOOVpSbVdoWWNJSVZGS21wUUZsN0FrNmxxRFEwU0tETE5YUzAxaGFoTU45Y1dCLVBzNVRVaVcwNlh5V19zRnhranc?oc=5"" target=""_blank"">Orange alert as cyclone 'Ditwah' nears coasts of TN, Puducherry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",Disaster,en
"Ditwah Cyclone Live Tracking: Current Location, Speed, Path, Landfall and Latest Updates - Oneindia",https://news.google.com/rss/articles/CBMixwFBVV95cUxPU204bzNhTFZkakhpNzBudEpOR1VSdExEYlB1bDNCbFN5WGRKYUY3cnBGT3F3aWdjTHUzckp6cjY4WmtTZUl2M1BJdjIwY3RVTnVvTldjYm5yZzl3MnJyemlGaDRYVHNDay02U1pYbEtVaU9lbHBiT2FtQ29IN19ZQ00yejBraExtaGtNdlRXN2MzbG9TQkZiQklJMEROZEFIMGVSYklLcEduU0J1S2xBb1RYRlVPZnZMUmlCdWRxNU5LUGlmcThZ?oc=5,2025-11-28 09:37:10,Oneindia,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPU204bzNhTFZkakhpNzBudEpOR1VSdExEYlB1bDNCbFN5WGRKYUY3cnBGT3F3aWdjTHUzckp6cjY4WmtTZUl2M1BJdjIwY3RVTnVvTldjYm5yZzl3MnJyemlGaDRYVHNDay02U1pYbEtVaU9lbHBiT2FtQ29IN19ZQ00yejBraExtaGtNdlRXN2MzbG9TQkZiQklJMEROZEFIMGVSYklLcEduU0J1S2xBb1RYRlVPZnZMUmlCdWRxNU5LUGlmcThZ?oc=5"" target=""_blank"">Ditwah Cyclone Live Tracking: Current Location, Speed, Path, Landfall and Latest Updates</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Oneindia</font>",Disaster,en
Cyclone Ditwah to hit Tamil Nadu coast on November 30; CM Stalin holds review meet - India TV News,https://news.google.com/rss/articles/CBMi_AFBVV95cUxNQ2VISmJLeXFFZGpHSVY1YXFmQWVITGh3eDdFQU5KcHZ0S2xHUV9ZUC1PZ21qQTNnRzVDREk4UWJzOUdKSDhMdWdxUmxCSGZKQ196TVJRMmdtcXRpbkU4UjBHNndNeU9yT2htZ1RBZlhhQXpGNklQZXdFb0ZUN2pXNkQxSUVCb2hoTURULUNYN0x6YkxYQjNjS3NwYkdkZWhTOTdWRkRfaHMwSzFkNXlhYUU0anl0SUNvN3VONWdaZzRoYlh4MS1ZZWpHZ2xrSmlaT2diTVVFNC1POHdId3BjcEx6c25QZEt4ODJkNVYwMTFybUVRVlo0b1VUTjDSAYICQVVfeXFMUHhlVGFOd0NFR3dfUEZiTDFFZEl4ZUNyN2ZrNkFYdGRXb2hZVlZmcGp2M1R2TGJHanZQYmxIUG1KdWczWFdiTXk1UkUzdVBVREltSjFBLUNuTUtQMTBQaVRfZmx0RjF4aENXVkZ2MmlJUjlIcC0xanpzSmdRb0JKWlV4OEI2bG5CX0FvbkVSLUNPcV8wSUhNTHFsUVFzdUdoTkJHclJvOE5CSVVucFRUTnhrTkVaamtOak42UmVXM1otdWsyZHFlV2FVZHFyd2gyTml3aGpZVno2bVJwQXZiZUtueWhPQ3Eyd0RhQk5nS0QtWG16bkJDWlRWTVpudk5ydGtn?oc=5,2025-11-27 22:08:49,India TV News,"<a href=""https://news.google.com/rss/articles/CBMi_AFBVV95cUxNQ2VISmJLeXFFZGpHSVY1YXFmQWVITGh3eDdFQU5KcHZ0S2xHUV9ZUC1PZ21qQTNnRzVDREk4UWJzOUdKSDhMdWdxUmxCSGZKQ196TVJRMmdtcXRpbkU4UjBHNndNeU9yT2htZ1RBZlhhQXpGNklQZXdFb0ZUN2pXNkQxSUVCb2hoTURULUNYN0x6YkxYQjNjS3NwYkdkZWhTOTdWRkRfaHMwSzFkNXlhYUU0anl0SUNvN3VONWdaZzRoYlh4MS1ZZWpHZ2xrSmlaT2diTVVFNC1POHdId3BjcEx6c25QZEt4ODJkNVYwMTFybUVRVlo0b1VUTjDSAYICQVVfeXFMUHhlVGFOd0NFR3dfUEZiTDFFZEl4ZUNyN2ZrNkFYdGRXb2hZVlZmcGp2M1R2TGJHanZQYmxIUG1KdWczWFdiTXk1UkUzdVBVREltSjFBLUNuTUtQMTBQaVRfZmx0RjF4aENXVkZ2MmlJUjlIcC0xanpzSmdRb0JKWlV4OEI2bG5CX0FvbkVSLUNPcV8wSUhNTHFsUVFzdUdoTkJHclJvOE5CSVVucFRUTnhrTkVaamtOak42UmVXM1otdWsyZHFlV2FVZHFyd2gyTml3aGpZVno2bVJwQXZiZUtueWhPQ3Eyd0RhQk5nS0QtWG16bkJDWlRWTVpudk5ydGtn?oc=5"" target=""_blank"">Cyclone Ditwah to hit Tamil Nadu coast on November 30; CM Stalin holds review meet</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font>",Disaster,en
Cyclonic storm 'Ditwah' inches closer to TN CM holds review meeting - theweek.in,https://news.google.com/rss/articles/CBMiiAFBVV95cUxOWmNCdlJ6V1dpQnpNWG1yeVp6WktsRTZveVNWakQzRlBXdlp1a0d5YUFrRmJHRno3bHJPM3lwSlltbDI3Y1dsMHhaV0FndE52dTVNYl83LVFGb2RJVk9fTEJjOXNhQWZUQ1M1NWktcXZtY2FVSV9UTDhPU1F6TDd5c01McDN3QVVw0gGIAUFVX3lxTE5aY0J2UnpXV2lCek1YbXJ5WnpaS2xFNm95U1ZqRDNGUFd2WnVrR3lhQWtGYkdGejdsck8zeXBKWW1sMjdjV2wweFpXQWd0TnZ1NU1iXzctUUZvZElWT19MQmM5c2FBZlRDUzU1aS1xdm1jYVVJX1RMOE9TUXpMN3lzTUxwM3dBVXA?oc=5,2025-11-27 19:36:37,theweek.in,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxOWmNCdlJ6V1dpQnpNWG1yeVp6WktsRTZveVNWakQzRlBXdlp1a0d5YUFrRmJHRno3bHJPM3lwSlltbDI3Y1dsMHhaV0FndE52dTVNYl83LVFGb2RJVk9fTEJjOXNhQWZUQ1M1NWktcXZtY2FVSV9UTDhPU1F6TDd5c01McDN3QVVw0gGIAUFVX3lxTE5aY0J2UnpXV2lCek1YbXJ5WnpaS2xFNm95U1ZqRDNGUFd2WnVrR3lhQWtGYkdGejdsck8zeXBKWW1sMjdjV2wweFpXQWd0TnZ1NU1iXzctUUZvZElWT19MQmM5c2FBZlRDUzU1aS1xdm1jYVVJX1RMOE9TUXpMN3lzTUxwM3dBVXA?oc=5"" target=""_blank"">Cyclonic storm 'Ditwah' inches closer to TN CM holds review meeting</a>&nbsp;&nbsp;<font color=""#6f6f6f"">theweek.in</font>",Disaster,en
"Cyclone Senyar: IMD warns Chennai, Puducherry as storm likely to intensify - Business Standard",https://news.google.com/rss/articles/CBMizAFBVV95cUxNb1hTaVFiRTc0UWtkSGpzSjFBeWpiT2I5MVhFNDFWZDhSN3VBNENSRm4wNkZaUF9MMHh1U1RoaE1aajhZNmVwYWpnczNObS1zSFpSemtMU1V3a3FkNTV5XzhpT1FhYVhPWjE4cF9DMW9CUWNRcmRSLWx0dzFhUWRrT0hDbUtGeUMyV1l0VDZNcE5XXzM0MnVDMmFBS3pEckhROGR4YkFaMFlIOHhUMFBqV20wai0xZGN0YjNMS0NQRExxV1lmbFU1OHAzazbSAdIBQVVfeXFMTzlaSmVQYk14d0pkN1czc2Nuc3dVSlgtUUNCMzk2bFJxYnI3ZmxLOVR1VmtHdlI5NXhiLVN1WUpINmZ5NmN2c25Ea3VGSHhjNTZfNEw2UzVqR3A5Z3g1SEpvQlViUkVtRTBkQlNsMHg2T3BkdFdsXzFwR29HRWxTT0Z6bF9HQzV1T0d2YkwtSWhoMU5lc01QNHB0OC15c0N2czZPVExzNmYzbmdYc21yc0M4SG0wTDdsaTFSYzFxUGlDMjdzWHdvM1dWdUUzdWJaQThR?oc=5,2025-11-27 10:40:30,Business Standard,"<a href=""https://news.google.com/rss/articles/CBMizAFBVV95cUxNb1hTaVFiRTc0UWtkSGpzSjFBeWpiT2I5MVhFNDFWZDhSN3VBNENSRm4wNkZaUF9MMHh1U1RoaE1aajhZNmVwYWpnczNObS1zSFpSemtMU1V3a3FkNTV5XzhpT1FhYVhPWjE4cF9DMW9CUWNRcmRSLWx0dzFhUWRrT0hDbUtGeUMyV1l0VDZNcE5XXzM0MnVDMmFBS3pEckhROGR4YkFaMFlIOHhUMFBqV20wai0xZGN0YjNMS0NQRExxV1lmbFU1OHAzazbSAdIBQVVfeXFMTzlaSmVQYk14d0pkN1czc2Nuc3dVSlgtUUNCMzk2bFJxYnI3ZmxLOVR1VmtHdlI5NXhiLVN1WUpINmZ5NmN2c25Ea3VGSHhjNTZfNEw2UzVqR3A5Z3g1SEpvQlViUkVtRTBkQlNsMHg2T3BkdFdsXzFwR29HRWxTT0Z6bF9HQzV1T0d2YkwtSWhoMU5lc01QNHB0OC15c0N2czZPVExzNmYzbmdYc21yc0M4SG0wTDdsaTFSYzFxUGlDMjdzWHdvM1dWdUUzdWJaQThR?oc=5"" target=""_blank"">Cyclone Senyar: IMD warns Chennai, Puducherry as storm likely to intensify</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Business Standard</font>",Disaster,en
"Rain to continue in Kerala, Cyclone Ditwah to hit Tamil Nadu, Andhra Pradesh by Nov 30 - Onmanorama",https://news.google.com/rss/articles/CBMivgFBVV95cUxPR3paZ2JUSnkyTWpXOWNMTnNSejlmU3ZxOXBrM3N2bDZVaS1pUTlGQm9vSVZfODhNVFVfM21qXzB6dkEtX2ZGdng2OW9YZFlPdjJEaGJpa0ZZcUJCRU42YXR0WThXbFBJU2xzdkQyVFlUWHI1TVpxTHhWU1hVd0hERHZHc3Y2bUZBWGJFVVV5aGg2WnhTWEtldHRPT0ZZVVBFbTYxVlVqSHpHUjIzWGFUU1lIT2ZIempmUzU5MzNn?oc=5,2025-11-27 16:30:33,Onmanorama,"<a href=""https://news.google.com/rss/articles/CBMivgFBVV95cUxPR3paZ2JUSnkyTWpXOWNMTnNSejlmU3ZxOXBrM3N2bDZVaS1pUTlGQm9vSVZfODhNVFVfM21qXzB6dkEtX2ZGdng2OW9YZFlPdjJEaGJpa0ZZcUJCRU42YXR0WThXbFBJU2xzdkQyVFlUWHI1TVpxTHhWU1hVd0hERHZHc3Y2bUZBWGJFVVV5aGg2WnhTWEtldHRPT0ZZVVBFbTYxVlVqSHpHUjIzWGFUU1lIT2ZIempmUzU5MzNn?oc=5"" target=""_blank"">Rain to continue in Kerala, Cyclone Ditwah to hit Tamil Nadu, Andhra Pradesh by Nov 30</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Onmanorama</font>",Disaster,en
Cyclone 'Senyar' alert: IMD predicts heavy rainfall in Tamil Nadu - NewsBytes,https://news.google.com/rss/articles/CBMipgFBVV95cUxOX05DQ2J2c25hMGdlVndDZVFfUG5QeGt0VU9KUjBoRVpBMTRuTS1LOFRzMU8tbWt6eWk0Wk9qRWVFWVdIZVFfalQ4cjdNUXRSTktwVkt6bk1xT3U5VWpUOURCbkU2MW5YOHl5OXBSeXFSbzJlM0FOQVBLYm8yQ3lJdF9qVG9Md2RKdGRNWERNT2VibVpRWHk5QnpUNVpYd3ZVZXZzVkdR?oc=5,2025-11-27 13:10:11,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMipgFBVV95cUxOX05DQ2J2c25hMGdlVndDZVFfUG5QeGt0VU9KUjBoRVpBMTRuTS1LOFRzMU8tbWt6eWk0Wk9qRWVFWVdIZVFfalQ4cjdNUXRSTktwVkt6bk1xT3U5VWpUOURCbkU2MW5YOHl5OXBSeXFSbzJlM0FOQVBLYm8yQ3lJdF9qVG9Md2RKdGRNWERNT2VibVpRWHk5QnpUNVpYd3ZVZXZzVkdR?oc=5"" target=""_blank"">Cyclone 'Senyar' alert: IMD predicts heavy rainfall in Tamil Nadu</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Disaster,en
"Cyclone Ditwah to bring heavy rain in Tamil Nadu, Andhra today; alerts issued - India Today",https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5,2025-11-28 07:29:21,India Today,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxNQUdRXzRoY2dsSGdkdHphX0Zvc3Y3eDlaZWFtOWdNeUIwcjZ4UTQ1aHB2c1ZwdkFMS1U1MXNPTEhfTC1sdUJvSE9heVdaeU5iaVpQMHhCaXJ6X1g5aVJqR1BfejE2Z3VwaG85S29CbDc1VXpRM0E4TmRKNVNWemVjMVZkOWQ2V2JqRWN1WWprZ2Foa1lrSl9pVG5aWm1McVF0SVI1UjB4QUxlVkpSb0FLZFR3dWpwQW96aXMyanAwMzJBekFLNWhxN1o2bnhJVHBreC1j0gHYAUFVX3lxTE5IQTQ5bkRjbk5kbHZQQjA3ckRuOHk1ZzBzWHFnektjTmZQNXFNNlhkZEZ2eWhxU0JYRktyMG9kSmQ0aDhad1U0UGhuUDRGeGJnZmhWWU9GaVVZWTM3djNCZmpsUnhuSWcyYzZnRmV3ek5kOWZvT0FxX0N6YmZCMm1wRjNsNXhXZFRjSU40Wm9WcmY2N1pOcFk2VTdWd3doOV9KcW53QXdSZ0MydW9qSFVMX2FsTXdCVENuNElIZGZocUdLVUg1TlhQUmZhSThocWJ2UlZ6V2FfUg?oc=5"" target=""_blank"">Cyclone Ditwah to bring heavy rain in Tamil Nadu, Andhra today; alerts issued</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Today</font>",Disaster,en
"Orange alert as cyclone 'Ditwah' nears coasts of TN, Puducherry - ANI News",https://news.google.com/rss/articles/CBMiygFBVV95cUxOeWpCTS1YeXJGN0FVX1UyVGxWT1N4VTdOMGw1V3BYYnB0Qlp5cTFsTVJ1VUVlSC03cEVNNFdobGRFRmpMMjRWWnpkRC1uZlB3OUdfSndhMzc1RHJvaFh1OHQ3Umx4QkFzRDQtQW10aTM0RUVHS1RIRXZ3cFRvVnBXaXdpU3V1NkliTjlaUm1XaFljSUlWRkttcFFGbDdBazZscURRMFNLRExOWFMwMWhhaE1OOWNXQi1QczVUVWlXMDZYeVdfc0Z4a2p30gHKAUFVX3lxTE55akJNLVh5ckY3QVVfVTJUbFZPU3hVN04wbDVXcFhicHRCWnlxMWxNUnVVRWVILTdwRU00V2hsZEVGakwyNFZaemRELW5mUHc5R19Kd2EzNzVEcm9oWHU4dDdSbHhCQXNENC1BbXRpMzRFRUdLVEhFdndwVG9WcFdpd2lTdXU2SWJOOVpSbVdoWWNJSVZGS21wUUZsN0FrNmxxRFEwU0tETE5YUzAxaGFoTU45Y1dCLVBzNVRVaVcwNlh5V19zRnhranc?oc=5,2025-11-28 07:19:00,ANI News,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxOeWpCTS1YeXJGN0FVX1UyVGxWT1N4VTdOMGw1V3BYYnB0Qlp5cTFsTVJ1VUVlSC03cEVNNFdobGRFRmpMMjRWWnpkRC1uZlB3OUdfSndhMzc1RHJvaFh1OHQ3Umx4QkFzRDQtQW10aTM0RUVHS1RIRXZ3cFRvVnBXaXdpU3V1NkliTjlaUm1XaFljSUlWRkttcFFGbDdBazZscURRMFNLRExOWFMwMWhhaE1OOWNXQi1QczVUVWlXMDZYeVdfc0Z4a2p30gHKAUFVX3lxTE55akJNLVh5ckY3QVVfVTJUbFZPU3hVN04wbDVXcFhicHRCWnlxMWxNUnVVRWVILTdwRU00V2hsZEVGakwyNFZaemRELW5mUHc5R19Kd2EzNzVEcm9oWHU4dDdSbHhCQXNENC1BbXRpMzRFRUdLVEhFdndwVG9WcFdpd2lTdXU2SWJOOVpSbVdoWWNJSVZGS21wUUZsN0FrNmxxRFEwU0tETE5YUzAxaGFoTU45Y1dCLVBzNVRVaVcwNlh5V19zRnhranc?oc=5"" target=""_blank"">Orange alert as cyclone 'Ditwah' nears coasts of TN, Puducherry</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ANI News</font>",Disaster,en
